Over-expression (Z score)	Gene	Common	GeneBank	Description
4.115	220301_at	C18orf14	NM_024781	hypothetical protein FLJ23594
4.114	203131_at	PDGFRA	NM_006206	plateletderived growth factor receptor, alpha polypeptide
4.113	208335_s_at	FY	NM_002036	Duffy blood group
4.104	212667_at	SPARC	AL575922	secreted protein, acidic, cysteinerich (osteonectin)
4.091	207173_x_at	CDH11	D21254	cadherin 11, type 2, OBcadherin (osteoblast)
4.085	210839_s_at	ENPP2	D45421	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)
4.084	212192_at	KCTD12	AI718937	potassium channel tetramerisation domain containing 12
4.083	226804_at	FAM20A	AI632223	family with sequence similarity 20, member A
4.08	232113_at		N90870	MRNA; cDNA DKFZp564B182 (from clone DKFZp564B182)
4.053	225681_at	CTHRC1	AA584310	collagen triple helix repeat containing 1
4.048	225897_at	MARCKS	AI709406	myristoylated alaninerich protein kinase C substrate
4.039	202411_at	IFI27	NM_005532	interferon, alphainducible protein 27
4.015	226408_at	TEAD2	AA905942	CD37 antigen
4.006	208451_s_at	C4A	NM_000592	complement component 4A
4.004	203979_at	CYP27A1	NM_000784	cytochrome P450, family 27, subfamily A, polypeptide 1
3.984	222453_at	CYBRD1	AL136693	cytochrome b reductase 1
3.975	210986_s_at	TPM1	Z24727	tropomyosin 1 (alpha)
3.943	202555_s_at	MYLK	NM_005965	myosin, light polypeptide kinase
3.935	205392_s_at	CCL14	NM_004166	chemokine (CC motif) ligand 15
3.918	202202_s_at	LAMA4	NM_002290	laminin, alpha 4
3.914	202238_s_at	NNMT	NM_006169	nicotinamide Nmethyltransferase
3.908	220005_at	GPR86	NM_023914	G proteincoupled receptor 86
3.906	207714_s_at	SERPINH1	NM_004353	synonyms: CBP1, CBP2, gp46, HSP47, RAA47, SERPINH2; collagenbinding protein 1; colligin1; collagenbinding protein 2; colligin2; heat shock protein 47; rheumatoid arthritis antigen A47; go_component: endoplasmic reticulum [goid 0005783] [evidence TAS] [pmid 7656593]; go_function: collagen binding [goid 0005518] [evidence NR]; go_function: serine protease inhibitor activity [goid 0004867] [evidence P] [pmid 1309665]; go_function: heat shock protein activity [goid 0003773] [evidence TAS] [pmid 1309665]; go_function: serpin [goid 0004868] [evidence IEA]; go_process: response to stress [goid 0006950] [evidence TAS] [pmid 1309665]; go_process: heat shock response [goid 0006951] [evidence P]; Homo sapiens serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) (SERPINH1), mRNA.
3.88	225040_s_at	RPE	AV699857	AV699857 GKC Homo sapiens cDNA clone GKCGFG07 3, mRNA sequence.
3.876	232458_at	COL3A1	AU146808	collagen, type III, alpha 1 (EhlersDanlos syndrome type IV, autosomal dominant)
3.863	221210_s_at	NPL	NM_030769	Nacetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
3.859	201279_s_at	DAB2	BC003064	disabled homolog 2, mitogenresponsive phosphoprotein (Drosophila)
3.839	207030_s_at	CSRP2	NM_001321	cysteine and glycinerich protein 2
3.838	200974_at	ACTA2	NM_001613	actin, alpha 2, smooth muscle, aorta
3.836	227235_at		AI758408	CDNA FLJ42250 fis, clone TKIDN2007828
3.834	211959_at	IGFBP5	AW007532	ws52h07.x1 NCI_CGAP_Brn25 Homo sapiens cDNA clone IMAGE:2500861 3, mRNA sequence.
3.831	221958_s_at	FLJ23091	AA775681	putative NFkB activating protein 373
3.823	1552798_a_at	TLR4	NM_138557	tolllike receptor 4
3.805	213869_x_at	THY1	AA218868	zr01g01.s1 Stratagene NT2 neuronal precursor 937230 Homo sapiens cDNA clone IMAGE:650256 3, mRNA sequence.
3.783	206295_at	IL18	NM_001562	interleukin 18 (interferongammainducing factor)
3.78	203324_s_at	CAV2	NM_001233	caveolin 2
3.766	211651_s_at	LAMB1	M20206	laminin, beta 1
3.763	228176_at	EDG3	AA534817	endothelial differentiation, sphingolipid Gproteincoupled receptor, 3
3.74	221748_s_at	TNS	AL046979	tensin
3.729	203817_at	GUCY1B3	W93728	guanylate cyclase 1, soluble, beta 3
3.724	217890_s_at	PARVA	NM_018222	parvin, alpha
3.71	212698_s_at	SEPT10	BF966021	septin 10
3.703	238332_at	ANKRD29	AI307802	hypothetical protein LOC147463
3.693	201280_s_at	DAB2	NM_001343	disabled homolog 2, mitogenresponsive phosphoprotein (Drosophila)
3.68	210139_s_at	PMP22	L03203	peripheral myelin protein 22
3.676	202436_s_at	CYP1B1	AU144855	cytochrome P450, family 1, subfamily B, polypeptide 1
3.658	224894_at	YAP1	BF247906	Yesassociated protein 1, 65kDa
3.625	203570_at	LOXL1	NM_005576	lysyl oxidaselike 1
3.613	219918_s_at	ASPM	NM_018123	synonyms: MCPH5, FLJ10517, FLJ10549; microcephaly, primary autosomal recessive 5; Homo sapiens asp (abnormal spindle)like, microcephaly associated (Drosophila) (ASPM), mRNA.
3.61	224694_at	ANTXR1	AF279145	anthrax toxin receptor 1
3.584	203473_at	SLCO2B1	NM_007256	solute carrier organic anion transporter family, member 2B1
3.579	212226_s_at	PPAP2B	AA628586	phosphatidic acid phosphatase type 2B
3.561	211966_at	COL4A2	AA909035	collagen, type IV, alpha 2
3.556	228581_at	KCNJ10	AW071744	potassium inwardlyrectifying channel, subfamily J, member 10
3.555	225868_at	TRIM47	AW249467	tripartite motifcontaining 47
3.545	203454_s_at	ATOX1	NM_004045	ATX1 antioxidant protein 1 homolog (yeast)
3.543	202017_at	EPHX1	NM_000120	epoxide hydrolase 1, microsomal (xenobiotic)
3.541	212647_at	RRAS	NM_006270	related RAS viral (rras) oncogene homolog
3.524	204677_at	CDH5	NM_001795	cadherin 5, type 2, VEcadherin (vascular epithelium)
3.519	205943_at	TDO2	NM_005651	tryptophan 2,3dioxygenase
3.516	226837_at	SPRED1	BE967019	sproutyrelated, EVH1 domain containing 1
3.511	227297_at	ITGA9	AI479176	integrin, alpha 9
3.51	228772_at	HNMT	AU157303	histamine Nmethyltransferase
3.471	228220_at	LOC115548	AI627666	hypothetical protein BC014311
3.451	214880_x_at	CALD1	D90453	caldesmon 1
3.449	208851_s_at	THY1	AL161958	Thy1 cell surface antigen
3.434	225442_at	DDR2	AI799915	discoidin domain receptor family, member 2
3.431	223204_at	DKFZp434L142	AF260333	hypothetical protein DKFZp434L142
3.428	202920_at	ANK2	BF726212	ankyrin 2, neuronal
3.426	209568_s_at	RGL1	AF186779	ral guanine nucleotide dissociation stimulatorlike 1
3.392	229218_at	COL1A2	AA628535	collagen, type I, alpha 2
3.384	229121_at		BE857553	CDNA FLJ44441 fis, clone UTERU2020242
3.374	210757_x_at	DAB2	AF188298	disabled homolog 2, mitogenresponsive phosphoprotein (Drosophila)
3.37	202357_s_at	BF	NM_001710	Bfactor, properdin
3.369	203910_at	PARG1	NM_004815	PTPL1associated RhoGAP 1
3.353	225646_at	CTSC	AI246687	cathepsin C
3.35	229800_at		AI129626	CDNA FLJ41433 fis, clone BRHIP2007307
3.349	203632_s_at	GPRC5B	NM_016235	G proteincoupled receptor, family C, group 5, member B
3.34	209487_at	RBPMS	D84109	RNA binding protein with multiple splicing
3.311	221246_x_at	TNS	NM_018274
3.285	225242_s_at	URB	AW303375	steroid sensitive gene 1
3.283	203058_s_at	PAPSS2	AW299958	3phosphoadenosine 5phosphosulfate synthase 2
3.276	202087_s_at	CTSL	NM_001912	cathepsin L
3.267	221900_at	COL8A2	AI806793	collagen, type VIII, alpha 2
3.249	200663_at	CD63	NM_001780	CD63 antigen (melanoma 1 antigen)
3.245	208161_s_at	ABCC3	NM_020037	ATPbinding cassette, subfamily C (CFTR/MRP), member 3
3.214	228776_at		AA430014	Transcribed sequence with moderate similarity to protein ref:NP_055301.1 (H.sapiens) neuronal thread protein [Homo sapiens]
3.212	212354_at	SULF1	BE500977	sulfatase 1
3.21	240440_at	NPL	AI368358	Nacetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
3.204	213817_at		AL049435	MRNA; cDNA DKFZp586B0220 (from clone DKFZp586B0220)
3.18	226000_at	DKFZp547A023	AI423056	hypothetical protein DKFZp547A023
3.18	202011_at	TJP1	NM_003257	tight junction protein 1 (zona occludens 1)
3.164	228143_at	CP	AI684991	ceruloplasmin (ferroxidase)
3.148	219385_at	SLAMF8	NM_020125	SLAM family member 8
3.142	233461_x_at	ZNF226	AK023091	zinc finger protein 226
3.138	225308_s_at	KIAA1728	AB051515	KIAA1728 protein
3.13	229802_at	WISP1	AA147884	WNT1 inducible signaling pathway protein 1
3.103	212606_at	WDFY3	AL536319	AL536319 Homo sapiens FETAL BRAIN Homo sapiens cDNA clone CS0DF015YG13 3PRIME, mRNA sequence.
3.1	204359_at	FLRT2	NM_013231	fibronectin leucine rich transmembrane protein 2
3.093	221584_s_at	KCNMA1	U11058	potassium large conductance calciumactivated channel, subfamily M, alpha member 1
3.076	223503_at	DKFZP566N034	AF255647	hypothetical protein DKFZp566N034
3.066	230291_s_at	NFIB	T90642	nuclear factor I/B
3.019	239577_at		AV699781	AV699781 GKC Homo sapiens cDNA clone GKCEKC01 3, mRNA sequence.
3.005	207836_s_at	RBPMS	NM_006867	RNA binding protein with multiple splicing
2.982	202878_s_at	C1QR1	NM_012072	complement component 1, q subcomponent, receptor 1
2.968	204517_at	PPIC	BE962749	601656143R1 NIH_MGC_66 Homo sapiens cDNA clone IMAGE:3855754 3, mRNA sequence.
2.961	235571_at		AW300953	xk10b12.x1 NCI_CGAP_Co20 Homo sapiens cDNA clone IMAGE:2666303 3, mRNA sequence.
2.946	210163_at	CXCL11	AF030514	chemokine (CXC motif) ligand 11
2.918	208923_at	CYFIP1	BC005097	cytoplasmic FMR1 interacting protein 1
2.912	201431_s_at	DPYSL3	NM_001387	dihydropyrimidinaselike 3
2.866	200771_at	LAMC1	NM_002293	laminin, gamma 1 (formerly LAMB2)
2.859	240481_at		BE502509	Transcribed sequences
2.853	212950_at	GPR116	BF941499	G proteincoupled receptor 116
2.846	209652_s_at	PGF	BC001422	placental growth factor, vascular endothelial growth factorrelated protein
2.834	218231_at	NAGK	NM_017567	Nacetylglucosamine kinase
2.817	221898_at	T1A2	AU154455	AU154455 NT2RP4 Homo sapiens cDNA clone NT2RP4001145 3, mRNA sequence.
2.771	1554018_at	GPNMB	BC011595	glycoprotein (transmembrane) nmb
2.719	226103_at	NEXN	AF114264	nexilin (F actin binding protein)
2.706	209596_at	DKFZp564I1922	AF245505	adlican
2.695	201809_s_at	ENG	NM_000118	endoglin (OslerRenduWeber syndrome 1)
2.694	228186_s_at	THSD2	BF589322	thrombospondin, type I, domain 2
2.674	221667_s_at	HSPB8	AF133207	heat shock 27kDa protein 8
2.613	226834_at	ASAM	BG112263	adipocytespecific adhesion molecule
2.613	212412_at	LIM	AV715767	LIM protein (similar to rat protein kinase Cbinding enigma)
2.563	205003_at	DOCK4	NM_014705	dedicator of cytokinesis 4
2.546	227792_at		AA490685	CDNA: FLJ22994 fis, clone KAT11918
2.525	226603_at	FLJ39885	BE966604	601660289R1 NIH_MGC_71 Homo sapiens cDNA clone IMAGE:3905950 3, mRNA sequence.
2.512	216620_s_at	ARHGEF10	AF009205	Rho guanine nucleotide exchange factor (GEF) 10
2.472	204037_at	EDG2	BF055366	endothelial differentiation, lysophosphatidic acid Gproteincoupled receptor, 2
2.467	209785_s_at	PLA2G4C	AF065214	phospholipase A2, group IVC (cytosolic, calciumindependent)
2.46	202976_s_at	RHOBTB3	NM_014899	Rhorelated BTB domain containing 3
2.458	203052_at	C2	NM_000063	complement component 2
2.397	225202_at	RHOBTB3	BE620739	Rhorelated BTB domain containing 3
2.33	1552626_a_at	DKFZP566N034	NM_030923	hypothetical protein DKFZp566N034
