Gene ID	Gene Identifier	ANOVA P value	B&H P value	mean 1	mean 2	mean 3	mean 4	SEM 1	SEM 2	SEM 3	SEM 4	Quality 1	Quality 2	Quality 3	Quality 4	Gene Title	Other ID	UG Cluster	LocusLink	Chromosome
CLK1	AI251890	0.0003	0.003427869	13.010	12.083	12.558	12.298	0.065	0.195	0.048	0.019	13.010	12.083	12.558	12.298	CDC-like kinase 1	MmugDNA.26905.1.S1_at	Hs.433732	1195	2
CNOT8	AI769416	0.006687	0.022949521	10.059	10.590	10.505	10.431	0.079	0.127	0.098	0.029	10.059	10.590	10.505	10.431	CCR4-NOT transcription complex, subunit 8	MmugDNA.5543.1.S1_at	Hs.26703	9337	5
COL4A3	M81379	0.006398	0.022239746	7.834	7.048	7.055	6.973	0.263	0.116	0.039	0.117	7.834	7.048	7.055	6.973	Collagen, type IV, alpha 3 (Goodpasture antigen)	MmugDNA.5619.1.S1_at	Hs.570065	1285	2
CREG1	NM_003851	0.014615	0.038802241	10.248	9.814	9.843	10.053	0.047	0.116	0.095	0.078	10.248	9.814	9.843	10.053	Cellular repressor of E1A-stimulated genes 1	MmugDNA.34748.1.S1_at	Hs.5710	8804	1
CRIP2	U36190	0.000242	0.002995825	9.697	10.365	10.402	10.440	0.138	0.106	0.041	0.040	9.697	10.365	10.402	10.440	Cysteine-rich protein 2	MmugDNA.14020.1.S1_at	Hs.534309	1397	14
CSGALNACT1	NM_018371	0.013019	0.035883765	10.952	10.093	10.672	10.839	0.056	0.233	0.195	0.102	10.952	10.093	10.672	10.839	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	MmugDNA.9158.1.S1_at	Hs.655166	55790	8
CSRP2	U46006	0.00228	0.011495458	8.702	9.709	9.854	9.844	0.266	0.184	0.176	0.058	8.702	9.709	9.854	9.844	Cysteine and glycine-rich protein 2	MmugDNA.11225.1.S1_s_at	Hs.530904	1466	12
CTNNA1	AI826881	0.014275	0.038139073	10.678	10.885	10.956	10.879	0.070	0.049	0.026	0.052	10.678	10.885	10.956	10.879	Catenin (cadherin-associated protein), alpha 1, 102kDa	MmugDNA.17673.1.S1_at	Hs.534797	1495	5
CUL3	NM_003590	0.009608	0.029274554	9.042	8.205	8.392	8.626	0.142	0.130	0.218	0.046	9.042	8.205	8.392	8.626	Cullin 3	MmugDNA.35562.1.S1_at	Hs.372286	8452	2
CUZD1	NM_022034	0.010925	0.0318164	5.445	5.172	5.183	5.259	0.064	0.041	0.058	0.043	5.445	5.172	5.183	5.259	CUB and zona pellucida-like domains 1	MmugDNA.34884.1.S1_at	Hs.647182	50624	10
DAB2	AF188298	0.01325	0.036255443	10.894	11.356	11.163	11.342	0.108	0.123	0.070	0.044	10.894	11.356	11.163	11.342	Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	MmugDNA.43623.1.S1_s_at	Hs.481980	1601	5
DERL2	NM_016041	0.007699	0.025254521	9.098	9.465	9.203	9.272	0.082	0.041	0.077	0.026	9.098	9.465	9.203	9.272	Der1-like domain family, member 2	MmugDNA.36612.1.S1_s_at	Hs.286131	51009	17
DHCR7	AW150953	0.017039	0.043091473	7.613	8.481	7.905	7.835	0.072	0.302	0.105	0.027	7.613	8.481	7.905	7.835	7-dehydrocholesterol reductase	MmugDNA.40849.1.S1_at	Hs.503134	1717	11
DLG5	AB011155	0.000009	0.000573432	10.825	11.665	11.483	11.698	0.095	0.030	0.101	0.051	10.825	11.665	11.483	11.698	Discs, large homolog 5 (Drosophila)	MmugDNA.24723.1.S1_at	Hs.654829	9231	10
DRD2	S62137	0.009434	0.028932191	6.732	6.694	6.463	6.519	0.051	0.069	0.049	0.041	6.732	6.694	6.463	6.519	Dopamine receptor D2	MmugDNA.26154.1.S1_at	Hs.73893	1813	11
DTYMK	AU121224	0.007721	0.025315855	4.006	3.802	3.795	3.733	0.072	0.022	0.041	0.037	4.006	3.802	3.795	3.733	Deoxythymidylate kinase (thymidylate kinase)	MmugDNA.837.1.S1_at	Hs.471873	1841	2
E2F1	NM_005225	0.001891	0.01026307	6.541	6.970	6.624	6.655	0.023	0.103	0.051	0.039	6.541	6.970	6.624	6.655	E2F transcription factor 1	MmugDNA.12570.1.S1_at	Hs.654393	1869	20
EDN1	NM_001955	0.000223	0.00286229	9.643	8.693	8.945	8.636	0.096	0.132	0.103	0.139	9.643	8.693	8.945	8.636	Endothelin 1	MmugDNA.37775.1.S1_at	Hs.511899	1906	6
EGFR	U48722	0.000011	0.000626265	6.118	6.856	7.090	7.056	0.037	0.028	0.124	0.110	6.118	6.856	7.090	7.056	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	MmugDNA.29407.1.S1_s_at	Hs.488293	1956	7
EHF	AI763378	0.000074	0.001592211	9.992	11.568	12.107	12.338	0.092	0.396	0.261	0.038	9.992	11.568	12.107	12.338	Ets homologous factor	MmugDNA.17230.1.S1_at	Hs.653859	26298	11
EHF	AF203977	0.000998	0.006966616	6.892	8.219	8.825	8.973	0.163	0.437	0.332	0.070	6.892	8.219	8.825	8.973	Ets homologous factor	MmugDNA.6318.1.S1_at	Hs.653859	26298	11
EHF	AA565141	0.012017	0.033968664	6.447	6.948	7.198	7.160	0.144	0.087	0.234	0.038	6.447	6.948	7.198	7.160	Ets homologous factor	MmugDNA.35527.1.S1_at	Hs.653859	26298	11
EPO	NM_000799	0.015121	0.039734254	5.564	5.463	5.295	5.317	0.062	0.041	0.062	0.054	5.564	5.463	5.295	5.317	Erythropoietin	MmugDNA.38562.1.S1_at	Hs.2303	2056	7
EPS15	NM_001981	0.013279	0.036300247	11.128	10.728	10.679	10.777	0.047	0.084	0.129	0.066	11.128	10.728	10.679	10.777	Epidermal growth factor receptor pathway substrate 15	MmugDNA.38576.1.S1_s_at	Hs.83722	2060	1
ERBB4	AW772192	0.006633	0.022808437	6.116	6.409	7.056	7.505	0.160	0.363	0.171	0.221	6.116	6.409	7.056	7.505	V-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	MmugDNA.15032.1.S1_at	Hs.390729	2066	2
ERCC1	NM_001983	0.007241	0.02423236	9.027	9.495	9.269	9.239	0.064	0.052	0.100	0.075	9.027	9.495	9.269	9.239	Excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequenc	MmugDNA.38581.1.S1_at	Hs.435981	2067	19
ERG	AI351043	0.008683	0.027384245	9.272	8.804	9.052	9.009	0.044	0.074	0.113	0.059	9.272	8.804	9.052	9.009	V-ets erythroblastosis virus E26 oncogene homolog (avian)	MmugDNA.23850.1.S1_at	Hs.473819	2078	21
EVI1	BG261252	0.000427	0.004217015	10.127	11.842	11.660	11.919	0.098	0.290	0.334	0.117	10.127	11.842	11.660	11.919	Ecotropic viral integration site 1	MmugDNA.30464.1.S1_at	Hs.656395	2122	3
EVI1	BE466525	0.000892	0.006500916	9.794	11.422	11.303	11.527	0.102	0.307	0.348	0.123	9.794	11.422	11.303	11.527	Ecotropic viral integration site 1	MmugDNA.30462.1.S1_at	Hs.656395	2122	3
EVI1	AI458437	0.014155	0.037900531	3.648	4.843	4.605	5.135	0.090	0.352	0.357	0.224	3.648	4.843	4.605	5.135	Ecotropic viral integration site 1	MmugDNA.33073.1.S1_at	Hs.656395	2122	3
FGF2	NM_002006	0.003391	0.014719425	9.308	8.430	8.601	8.556	0.098	0.165	0.188	0.080	9.308	8.430	8.601	8.556	Fibroblast growth factor 2 (basic)	MmugDNA.39325.1.S1_at	Hs.284244	2247	4
FGFR3	NM_000142	0.01734	0.043612612	8.527	7.939	7.891	8.041	0.192	0.098	0.130	0.065	8.527	7.939	7.891	8.041	Fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	MmugDNA.36354.1.S1_at	Hs.1420	2261	4
FOXC1	AU145890	0.000474	0.004479242	8.166	6.790	7.432	7.611	0.130	0.184	0.163	0.151	8.166	6.790	7.432	7.611	Forkhead box C1	MmugDNA.15749.1.S1_at	Hs.348883	2296	6
FOXO4	NM_005938	0.000038	0.001110595	8.862	7.826	8.178	8.221	0.059	0.150	0.075	0.052	8.862	7.826	8.178	8.221	Forkhead box O4	MmugDNA.37343.1.S1_at	Hs.584654	4303	X
FOXP1	AW080845	0.005857	0.020961079	12.807	12.214	12.642	12.665	0.072	0.175	0.038	0.026	12.807	12.214	12.642	12.665	Forkhead box P1	MmugDNA.31335.1.S1_at	Hs.431498	27086	3
FOXP1	AK026898	0.001754	0.009794551	12.745	11.952	12.373	12.436	0.034	0.198	0.060	0.034	12.745	11.952	12.373	12.436	Forkhead box P1	MmugDNA.31334.1.S1_at	Hs.431498	27086	3
FST	NM_006350	0.000322	0.003560732	5.820	5.445	5.800	5.995	0.024	0.055	0.066	0.085	5.820	5.445	5.800	5.995	Follistatin	MmugDNA.26915.1.S1_at	Hs.9914	10468	5
FST	NM_013409	0.009664	0.029397602	7.736	7.233	7.805	7.848	0.075	0.105	0.150	0.123	7.736	7.233	7.805	7.848	Follistatin	MmugDNA.26912.1.S1_at	Hs.9914	10468	5
FST	BF438173	0.004438	0.017404678	6.653	5.270	6.514	6.901	0.144	0.286	0.222	0.364	6.653	5.270	6.514	6.901	Follistatin	MmugDNA.16891.1.S1_at	Hs.9914	10468	5
GAB1	AK022142	0.012937	0.035713387	10.438	9.877	9.998	10.126	0.054	0.125	0.130	0.082	10.438	9.877	9.998	10.126	GRB2-associated binding protein 1	MmugDNA.42570.1.S1_at	Hs.80720	2549	4
GDF11	AF028333	0.001355	0.008357832	6.343	7.754	7.393	7.514	0.147	0.283	0.226	0.040	6.343	7.754	7.393	7.514	Growth differentiation factor 11	MmugDNA.38439.1.S1_at	Hs.643604	10220	12
GINS1	NM_021067	0.000114	0.001977462	9.764	10.424	10.439	10.424	0.092	0.032	0.089	0.089	9.764	10.424	10.439	10.424	GINS complex subunit 1 (Psf1 homolog)	MmugDNA.27204.1.S1_at	Hs.658464	9837	20
GLI3	BC032660	0.014259	0.038105177	7.918	7.019	6.873	6.890	0.184	0.307	0.239	0.034	7.918	7.019	6.873	6.890	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)	MmugDNA.24751.1.S1_at	Hs.21509	2737	7
GNB1	AI741124	0.000017	0.0007667	10.582	10.983	10.747	10.606	0.036	0.045	0.015	0.042	10.582	10.983	10.747	10.606	Guanine nucleotide binding protein (G protein), beta polypeptide 1	MmugDNA.8768.1.S1_at	Hs.709208	2782	1
GNG2	AF493870	0.000423	0.004195525	6.072	6.538	6.014	5.843	0.094	0.091	0.049	0.085	6.072	6.538	6.014	5.843	Guanine nucleotide binding protein (G protein), gamma 2	MmugDNA.38247.1.S1_s_at	Hs.709082	54331	14
GNG2	AU118419	0.002521	0.01229221	7.769	8.367	7.667	7.356	0.051	0.186	0.137	0.164	7.769	8.367	7.667	7.356	Guanine nucleotide binding protein (G protein), gamma 2	MmugDNA.15003.1.S1_at	Hs.713545	54331	14
GNG2	AK026424	0.000626	0.005303361	9.814	10.029	9.277	9.002	0.024	0.166	0.156	0.148	9.814	10.029	9.277	9.002	Guanine nucleotide binding protein (G protein), gamma 2	MmugDNA.15004.1.S1_at	Hs.713545	54331	14
GNRH1	AW296153	0.000883	0.006445536	9.057	8.139	8.488	8.723	0.058	0.118	0.169	0.089	9.057	8.139	8.488	8.723	Gonadotropin-releasing hormone 1 (luteinizing-releasing hormone)	MmugDNA.700.1.S1_at	Hs.82963	2796	8
GNRH1	NM_000825	0.000915	0.006603676	7.112	6.083	6.360	6.631	0.129	0.158	0.164	0.037	7.112	6.083	6.360	6.631	Gonadotropin-releasing hormone 1 (luteinizing-releasing hormone)	MmugDNA.15592.1.S1_at	Hs.82963	2796	8
GPC3	L47125	0.003798	0.015808505	9.488	8.802	10.677	10.587	0.180	0.404	0.370	0.297	9.488	8.802	10.677	10.587	Glypican 3	MmugDNA.18659.1.S1_at	Hs.713537	2719	X
GPC4	AF064826	0.000091	0.001772304	7.599	8.147	8.568	8.595	0.144	0.060	0.138	0.065	7.599	8.147	8.568	8.595	Glypican 4	MmugDNA.25216.1.S1_at	Hs.58367	2239	X
GPX1	NM_000581	0.01823	0.04522819	11.906	12.255	12.126	12.168	0.070	0.083	0.020	0.075	11.906	12.255	12.126	12.168	Glutathione peroxidase 1	MmugDNA.167.1.S1_at	Hs.76686	2876	3
GRN	NM_002087	0.00194	0.010411092	11.235	11.909	11.883	12.143	0.174	0.157	0.049	0.093	11.235	11.909	11.883	12.143	Granulin	MmugDNA.16397.1.S1_s_at	Hs.514220	2896	17
HDGF	NM_004494	0.000002	0.000289321	10.968	11.502	11.290	11.312	0.029	0.058	0.012	0.024	10.968	11.502	11.290	11.312	Hepatoma-derived growth factor (high-mobility group protein 1-like)	MmugDNA.28352.1.S1_s_at	Hs.506748	3068	1
HDGF	NM_004494	0.004112	0.016598826	10.684	11.276	11.070	10.937	0.156	0.014	0.025	0.084	10.684	11.276	11.070	10.937	Hepatoma-derived growth factor (high-mobility group protein 1-like)	MmugDNA.28352.1.S1_at	Hs.506748	3068	1
HELLS	AU150825	0.000253	0.003065992	5.112	6.487	5.706	5.601	0.201	0.164	0.113	0.091	5.112	6.487	5.706	5.601	Helicase, lymphoid-specific	MmugDNA.9901.1.S1_at	Hs.655830	3070	10
