p Value	CloneID	Description	Locus	CytoBand
0.0003779	1564155	Cullin 3	CUL3	2q36.3
0.0003923	147257	Clone 114 tumor rejection antigen	NA	NA
0.0004032	1392091	Hypothetical LOC400614	NA	17q24.2
0.0004066	1723100	Transcribed locus	NA	NA
0.0004109	153043	Transcribed locus	NA	NA
0.0004147	197838	Metal response element binding transcription factor 2	M96	1p22.1
0.0004168	243852	3-phosphoadenosine 5-phosphosulfate synthase 1	PAPSS1	4q24
0.0004181	26884	Oligodendrocyte lineage transcription factor 2	OLIG2	21q22.11
0.0004188	928315	Carbohydrate kinase-like	CARKL	17p13
0.000429	1184179	KIAA0809 protein	SRISNF2L	3p21.2
0.0004333	212634	Ubiquitin-conjugating enzyme variant Kua	Kua	20q13.2
0.0004493	22573	Kelch-like 11 (Drosophila)	KLHL11	17q21.2
0.0004533	29949	Fibroblast growth factor 1 (acidic)	FGF1	5q31
0.0004599	1000314	CDNA FLJ33139 fis, clone UTERU1000109	NA	NA
0.0004629	283453	Chromosome 6 open reading frame 70	C6orf70	6q27
0.0004662	266199	Lipoma HMGIC fusion partner-like 3	LHFPL3	7q22.2-q22.3
0.0004739	1552081	Gastrulation brain homeo box 2	GBX2	2q37
0.0004804	30957	Syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa)	SNTB2	16q22-q23
0.0004947	149698	MRNA; cDNA DKFZp779M2422 (from clone DKFZp779M2422)	NA	NA
0.0005066	243703	Protein phosphatase 1, regulatory (inhibitor) subunit 3F	PPP1R3F	Xp11.23
0.0005084	276782	Transcribed locus	NA	NA
0.0005087	30986	KIAA1944 protein	KIAA1944	12q24.32-q24.33
0.0005295	269809	Similar to hypothetical protein FLJ13659	LOC115648	19p12
0.0005336	152364	Splicing factor, arginine/serine-rich 1 (splicing factor 2)	SFRS1	17q21.3-q22
0.0005378	173188	Pregnancy-induced growth inhibitor	OKL38	16q23.3
0.0005435	142728	Ring finger protein 8	RNF8	6p21.3
0.0005568	1567220	Transcribed locus	NA	NA
0.0005719	758200	Hypothetical protein LOC254559	LOC254559	15q25.3
0.0005829	141069	Zinc finger protein 630	ZNF630	Xp11.3-p11.1
0.0005877	124913	Ficolin (collagen/fibrinogen domain containing) 1	FCN1	9q34
0.0005923	23548	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein,	YWHAZ	8q23.1
0.0006003	127496	NA	NA	NA
0.0006046	39167	Acyl-Coenzyme A oxidase 3, pristanoyl	ACOX3	4p15.3
0.0006114	297628	F-box and leucine-rich repeat protein 12	FBXL12	19p13.2
0.0006129	770018	Chromosome 10 open reading frame 119	C10orf119	10q26.12
0.0006164	272288	Chromosome 20 open reading frame 26	C20orf26	20p11.23
0.0006169	23776	Quinoid dihydropteridine reductase	QDPR	4p15.31
0.0006199	149932	Matrix metalloproteinase 19	MMP19	12q14
0.0006248	754376	Hypothetical protein FLJ39441	FLJ39441	11p15.1
0.0006258	125296	Transcribed locus	NA	NA
0.0006281	120969	Phospholipase A1 member A	PLA1A	3q13.13-q13.2
0.0006433	214714	Protein Z, vitamin K-dependent plasma glycoprotein	PROZ	13q34
0.0006441	1940710	CDK5 regulatory subunit associated protein 1-like 1	CDKAL1	6p22.3
0.0006596	1390002	Vacuolar protein sorting 45A (yeast)	VPS45A	1q21-q22
0.0006644	1390676	Hypothetical protein MGC20983	MGC20983	19p13.2
0.0006879	29789	CD14 antigen	CD14	5q22-q32
0.0006957	241975	Ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)	UBE2H	7q32
0.0007027	809883	PDLIM1 interacting kinase 1 like	PDIK1L	1p36.11
0.0007057	705026	Protein prenyltransferase alpha subunit repeat containing 1	PTAR1	9q21.11
0.0007121	153979	Plasmalemma vesicle associated protein	PLVAP	19p13.2
0.0007183	35661	Protein phosphatase 2, regulatory subunit B (B56), beta isoform	PPP2R5B	11q12-q13
0.0007345	142593	Full length insert cDNA clone YI49F05	NA	NA
0.0007366	201519	NA	NA	NA
0.000739	705106	Transcribed locus, moderately similar to XP_495815.1	NA	NA
0.0007459	24843	Tripartite motif-containing 11	TRIM11	1q42.13
0.0007496	1635661	MARVEL domain containing 2	MARVELD2	5q13.2
0.000752	140725	Transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	TGFBR1	9q22
0.0007671	154985	N-acetyltransferase 5 (ARD1 homolog, S. cerevisiae)	NAT5	20p11.23
0.0007732	34855	Ganglioside-induced differentiation-associated protein 1-like 1	GDAP1L1	20q12
0.0007737	159376	Sperm equatorial segment protein 1	SPESP1	15q23
0.000775	1639962	RAB22A, member RAS oncogene family	RAB22A	20q13.32
0.0007765	41192	Serine hydrolase-like	SERHL	22q13.2-q13.31
0.0007801	37603	Rho GTPase-activating protein	RICS	11q24-q25
0.0007945	1574120	Transcribed locus	NA	NA
0.0008014	207959	Phosphatidylinositol binding clathrin assembly protein	PICALM	11q14
0.0008054	1557313	CDNA FLJ42069 fis, clone SYNOV2011233	NA	NA
0.0008195	451646	Zinc finger protein 652	ZNF652	17q21.32
0.000829	199719	Transcribed locus	NA	NA
0.0008354	41550	Myozenin 3	MYOZ3	5q33.1
0.0008384	45037	IQ motif and WD repeats 1	IQWD1	1q24.2
0.0008408	109277	Zinc finger protein 28 homolog (mouse)	ZFP28	NA
0.0008662	1234407	YOD1 OTU deubiquinating enzyme 1 homolog ( yeast)	DKFZp451J1719	1q32.2
0.0008715	302990	Mitochondrial ribosomal protein L13	MRPL13	8q22.1-q22.3
0.0008799	195070	CDNA FLJ39641 fis, clone SMINT2003423	NA	NA
0.0008865	1877532	Ataxia telangiectasia mutated (includes complementation groups A, C and D)	ATM	11q22-q23
0.0008913	471001	WD repeat domain 61	REC14	15q25.1
0.0008963	44392	Tetratricopeptide repeat domain 3	TTC3	21q22.2
0.0009155	29797	Ethanolamine kinase 2	ETNK2	1q32.1
0.0009198	44303	Activity-dependent neuroprotector	ADNP	20q13.13
0.0009365	24601	ADP-ribosylation-like factor 6 interacting protein 6	ARL6IP6	2q23.3
0.0009479	123212	PAP associated domain containing 4	PAPD4	5q14.1
0.0009548	362759	Membrane-associated ring finger (C3HC4) 1	MARCH-I	4q32.2
0.000966	51817	Manic fringe homolog (Drosophila)	MFNG	22q12
0.0009692	110119	Membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	MPP7	10p12.1
0.0009782	725702	Pleckstrin homology domain containing, family A	PLEKHA2	8p11.23
0.0009788	759917	Centromere protein C 1	CENPC1	4q12-q13.3
0.0009864	37420	Dermatan 4 sulfotransferase 1	D4ST1	15q15.1
0.0009866	1751373	Hypothetical protein DKFZp434K1172	DKFZP434K1172	13q14.3
0.0009914	1030234	Ubiquitin carboxyl-terminal hydrolase L5	UCHL5	1q32
0.0009971	824544	3(2), 5-bisphosphate nucleotidase 1	BPNT1	1q41
0.001036	282633	Chromosome 20 open reading frame 26	C20orf26	20p11.23
0.001039	28343	G protein-coupled receptor 161	GPR161	1q24.2
0.001045	2329173	KIAA1432	KIAA1432	9p24.1
0.001046	122228	Chromosome 20 open reading frame 19	C20orf19	20pter-q11.23
0.001063	44222	Trinucleotide repeat containing 15	TNRC15	2q37.1
0.001067	299158	Zinc finger protein 217	ZNF217	20q13.2
0.00107	46250	NA	NA	NA
0.001072	247082	Hypothetical protein LOC149705	C20orf121	20q13.12
0.001081	1656423	Zinc finger protein 70 (Cos17)	ZNF70	22q11.2
0.001087	1557365	Male sterility domain containing 1	MLSTD1	12p11.22
0.001088	306893	NMDA receptor regulated 1	NARG1	4q31.1
0.001094	40175	Nuclear factor I/A	NFIA	1p31.3-p31.2
0.001094	134130	Tyrosylprotein sulfotransferase 1	TPST1	7q11.21
