Accession No.	Gene Title	Fold Difference	Function
T51255	casein kinase 1, epsilon	2.02	Signalling 
NM_005130	fibroblast growth factor binding protein 1	-1.91	Signalling 
M60278	heparin-binding EGF-like growth factor	2.46	Signalling 
BC020691	pre-B-cell colony enhancing factor 1	2.06	Signalling 
AF084462	Ras-like without CAAX 1	2.49	Signalling 
BG054844	Rho family GTPase 3	2.46	Signalling 
NM_001175	Rho GDP dissociation inhibitor (GDI) beta	-1.94	Signalling 
NM_003900	sequestosome 1	2.88	Signalling 
N30649	sequestosome 1	3.57	Signalling 
AA700167	son of sevenless homolog 1 (Drosophila)	1.7	Signalling 
BC000658	stanniocalcin 2	2.6	Signalling 
NM_015626	WD repeat and SOCS box-containing 1	1.69	Signalling 
NM_003392	wingless-type MMTV integration site family, member 5A	3.5	Signalling 
BF342661	microtubule-associated protein 2	5.3	STRUCTURAL
BE881590	ets variant gene 1	-3.68	Transcription
AL031313	eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa /// hypothetical protein LOC730021 /// hypothetical protein LOC732068	1.67	Transcription
D55672	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	-1.92	Transcription
NM_145039	hypothetical protein MGC16385	1.77	Transcription
AL045882	polycomb group ring finger 5	1.67	Transcription
AL049381	Pre-B-cell leukemia homeobox 1	-2.34	Transcription
BC002670	SERTA domain containing 1	1.89	Transcription
AI669815	SRY (sex determining region Y)-box 2	-4.31	Transcription
BC002493	transcription factor 19 (SC1)	-1.69	Transcription
NM_002359	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian) /// similar to v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G	1.99	Transcription
AW006067	zinc finger and BTB domain containing 8 /// similar to zinc finger and BTB domain containing 8	-1.77	Transcription
M27877	zinc finger protein 83	1.57	Transcription
NM_001969	eukaryotic translation initiation factor 5	2.06	Translation
AL080102	eukaryotic translation initiation factor 5	2.02	Translation
NM_006547	insulin-like growth factor 2 mRNA binding protein 3	1.95	Translation
NM_003161	ribosomal protein S6 kinase, 70kDa, polypeptide 1 /// similar to ribosomal protein S6 kinase, polypeptide 1	1.9	Translation
AF074393	ribosomal protein S6 kinase, 90kDa, polypeptide 5	-1.9	Translation
NM_018447	transmembrane protein 111	1.59	Translation
AW024925	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	2.17	Transport
NM_001695	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	2.1	Transport
AJ293392	choroideremia-like (Rab escort protein 2)	-2.85	Transport
AA083483	ferritin, heavy polypeptide 1	2.86	Transport
BG537190	ferritin, light polypeptide	2.67	Transport
BG538564	ferritin, light polypeptide	2.9	Transport
NM_004504	HIV-1 Rev binding protein	1.74	Transport
NM_020662	MRS2-like, magnesium homeostasis factor (S. cerevisiae)	1.6	Transport
BC002847	SAR1 gene homolog B (S. cerevisiae)	1.61	Transport
AI017770	SEC14-like 1 (S. cerevisiae)	1.88	Transport
NM_006749	solute carrier family 20 (phosphate transporter), member 2	2.06	Transport
AI025519	solute carrier family 26 (sulfate transporter), member 2	1.61	Transport
NM_014331	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	9.07	Transport
AB040875	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	5.19	Transport
AA488687	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	5.53	Transport
NM_003234	transferrin receptor (p90, CD71)	3.79	Transport
NM_001353	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	12.96	Xenobiotic metabolism
S68290	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	14.75	Xenobiotic metabolism
U05598	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	12.31	Xenobiotic metabolism
M33376	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	16.57	Xenobiotic metabolism
AB045829	aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	15.25	Xenobiotic metabolism
AI039874	NAD(P)H dehydrogenase, quinone 1	3.44	Xenobiotic metabolism
NM_000903	NAD(P)H dehydrogenase, quinone 1	3.01	Xenobiotic metabolism
BC000906	NAD(P)H dehydrogenase, quinone 1	2.64	Xenobiotic metabolism
AA543030	NA	6.75	MISC
AL534702	abhydrolase domain containing 3	2.73	MISC
AB037797	arrestin domain containing 3	1.77	MISC
N36085	CDNA clone IMAGE:5261213	1.7	MISC
AL049385	CDNA FLJ11313 fis, clone PLACE1010106, highly similar to Homo sapiens mRNA; cDNA DKFZp586M1418	-1.9	MISC
AV701723	CDNA FLJ38048 fis, clone CTONG2014264	-1.86	MISC
BE544748	CDNA FLJ38048 fis, clone CTONG2014264 /// CDNA FLJ39067 fis, clone NT2RP7014910	-1.89	MISC
BF338332	CDNA: FLJ21189 fis, clone CAS11887	1.85	MISC
AI252087	CDNA: FLJ23242 fis, clone COL01514	-3.12	MISC
NM_024053	centromere protein M	-1.99	MISC
U50529	CG016	2.24	MISC
AA534198	chondroitin sulfate glucuronyltransferase	1.82	MISC
AI659800	chromosome 13 open reading frame 31	1.72	MISC
BF511003	chromosome 14 open reading frame 149	2.2	MISC
BC006173	chromosome 14 open reading frame 151	1.76	MISC
BG403486	chromosome 16 open reading frame 72	2.65	MISC
BE326738	chromosome 18 open reading frame 19	1.87	MISC
BF593263	chromosome 20 open reading frame 58	2.15	MISC
NM_017994	chromosome 7 open reading frame 42	1.58	MISC
AI765280	chromosome 7 open reading frame 44	-1.69	MISC
AI581511	coiled-coil domain containing 23	-1.72	MISC
AA524895	coiled-coil domain containing 74A /// coiled-coil domain containing 74B	-1.73	MISC
BF057717	dpy-19-like 3 (C. elegans)	1.98	MISC
NM_007026	dual specificity phosphatase 14	1.99	MISC
BC005004	family with sequence similarity 64, member A	-1.94	MISC
W74643	FGFR1 oncogene partner 2	1.63	MISC
BF444916	fibronectin type III domain containing 3B	1.88	MISC
AW771314	FLJ42875 protein	5.39	MISC
NM_006851	GLI pathogenesis-related 1 (glioma)	1.97	MISC
AI709406	Homo sapiens, clone IMAGE:5547644, mRNA	-1.92	MISC
BC040700	Homo sapiens, clone IMAGE:5580334, mRNA	-1.8	MISC
AA810864	hypothetical gene supported by AF064843; AK025716 /// hypothetical LOC642361	2.14	MISC
BG535378	Hypothetical gene supported by AK091718	1.68	MISC
BF056746	hypothetical LOC654433	2.39	MISC
AI669535	hypothetical protein LOC729680	1.74	MISC
AF070569	hypothetical protein MGC14376	2.92	MISC
NM_002402	mesoderm specific transcript homolog (mouse)	-2.25	MISC
NM_000381	midline 1 (Opitz/BBB syndrome)	-1.66	MISC
AF278532	netrin 4	2.37	MISC
AB037925	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	1.84	MISC
AV734843	oligonucleotide/oligosaccharide-binding fold containing 2A	1.87	MISC
BF507862	phosphatidic acid phosphatase type 2 domain containing 2	1.74	MISC
AK025444	pleckstrin homology-like domain, family B, member 2	1.75	MISC
BF001941	RNA binding motif protein 35A	-1.65	MISC
AI819386	similar to NmrA-like family domain containing 1 /// hypothetical protein LOC652465	3.52	MISC
AI133452	Transcribed locus	1.77	MISC
AW271106	Transcribed locus	-2.34	MISC
NM_020127	tuftelin 1	2.16	MISC
NM_014847	ubiquitin associated protein 2-like	1.55	MISC
NM_025160	WD repeat domain 26	1.84	MISC
