Description	Map	UniGene	Gene	Ratios
ubiquitin specific protease 9, Y chromosome (fat facets-like Drosophila)	Yq11.2	Hs.193145	USP9Y	3.56
protein tyrosine kinase 9	12q12	Hs.82643	PTK9	3.57
thyroid receptor interacting protein 15	15q21.2	Hs.30212	TRIP15	3.58
solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	17q21–q22	Hs.185923	SLC4A1	3.61
heat shock70k Da protein 4	5q31.1–q31.2	Hs.90093	HSPA4	3.62
coatomer protein complex, subunit beta	11p15.2	Hs.3059	COPB	3.64
kinesin family member 5B	10pter–q22.1	Hs.149436	KIF5B	3.66
golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	3q13	Hs.7844	GOLGB1	3.66
hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	14q21–q24	Hs.197540	HIF1A	3.68
CDC10 cell division cycle 10 homolog (S. cerevisiae)	7p14.3–p14.1	Hs.184326	CDC10	3.68
paternally expressed 3	19q13.4	Hs.139033	PEG3	3.69
CCAAT-box-binding transcription factor	2p23.1	Hs.184760	CBF2	3.79
catenin (cadherin-associated protein), alpha-like 1	9q31.2	Hs.58488	CTNNAL1	3.82
topoisomerase (DNA) II beta 180kDa	3p24	Hs.75248	TOP2B	3.83
translocation protein 1	3q26.2–q27	Hs.8146	TLOC1	3.83
tumor rejection antigen (gp96) 1	12q24.2–q24.3	Hs.82689	TRA1	3.87
trans-activated by hepatitis C virus core protein 1	13q13.1	Hs.118087	TAHCCP1	3.98
hypothetical protein BC013764	13q21.33	Hs.109438	LOC115207	4.09
phosphatidylinositol-4-phosphate 5-kinase, type II, alpha	10p12.31	Hs.108966	PIP5K2A	4.3
Sjogren syndrome antigen B (autoantigen La)	2q31.1	Hs.83715	SSB	4.58
ESTs, moderately similar to zinc finger protein 267; zinc finger (C2H2) [Homo sapiens] [H.sapiens]	5	Hs.55168		4.61
eukaryotic translation initiation factor 3, subunit 6 48kDa	8q22–q23	Hs.106673	EIF3S6	4.67
vesicle transport-related protein	14q12	Hs.27023	RA410	4.72
matrin 3	5q31.2	Hs.78825	MATR3	4.72
serologically defined colon cancer antigen 1	14q22	Hs.388584	SDCCAG1	4.91
Rho-associated, coiled-coil containing protein kinase 1	18q11.1	Hs.17820	ROCK1	4.91
transcriptional intermediary factor 1	7q32–q34	Hs.183858	TIF1	5.07
Homo sapiens cDNA: FLJ21409 fis, clone COL03924, mRNA sequence	5	Hs.172129		5.14
H1 histone family, member X	X	Hs.75307	H1FX	5.55
matrin 3	5q31.2	Hs.78825	MATR3	5.56
nucleobindin 2	11p15.1–p14	Hs.3164	NUCB2	5.71
chondroitin sulfate proteoglycan 2 (versican)	5q14.3	Hs.81800	CSPG2	6.32
ras homolog gene family, member E	2q23.3	Hs.6838	ARHE	6.53
retinoid X receptor, gamma	1q22–q23	Hs.26550	RXRG	7.03
