p-rank 	p-value 	mean: ADL 	mean: NML 	ADL/ NML 	Affy Probe set 	description 	Genbank ID 	 
 81  	 0.0008622  	 198.4  	 444.4  	 0.45  	 U34683_at  	 glutathione synthetase  	 U34683  	
 82  	 0.0008708  	 235.6  	 110.9  	 2.12  	 M55422_at  	 Krueppel-related zinc finger protein  	 M55422  	
 83  	 0.0008871  	 1096.5  	 2227.0  	 0.49  	 D23662_at  	" neural precursor cell expressed, developmentally down-regulated 8  "	 D23662  	
 84  	 0.0008923  	 577.2  	 1094.4  	 0.53  	 HG4312-HT4582_s_at  	 Transcription Factor Iiia - Also Represents: D32257  	 HG4312-HT4582  	
 85  	 0.0008955  	 403.8  	 277.0  	 1.46  	 HG358-HT358_at  	" Homeotic Protein 7, Notch Group  "	 HG358-HT358  	
 86  	 0.0008986  	 3733.0  	 7109.6  	 0.53  	 U25789_at  	 ribosomal protein L21  	 U25789  	
 87  	 0.0009047  	 251.9  	 386.0  	 0.65  	 U46571_at  	" DnaJ (Hsp40) homolog, subfamily C, member 7  "	 U46571  	
 88  	 0.000914  	 135.5  	 257.3  	 0.53  	 J04058_at  	" electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)  "	 J04058  	
 89  	 0.000946  	 111.7  	 66.1  	 1.69  	 U82303_at  	 none  	 U82303  	
 90  	 0.0009701  	 836.3  	 1721.0  	 0.49  	 L76191_at  	 interleukin-1 receptor-associated kinase 1  	 L76191  	
 91  	 0.0009773  	 1451.8  	 2959.2  	 0.49  	 X77584_at  	 thioredoxin  	 X77584  	
 92  	 0.0009799  	 1266.3  	 1792.3  	 0.71  	 U20998_at  	 signal recognition particle 9kDa  	 U20998  	
 93  	 0.0009839  	 196.9  	 345.1  	 0.57  	 M92439_at  	 leucine-rich PPR-motif containing  	 M92439  	
 94  	 0.0010084  	 314.3  	 688.5  	 0.46  	 Z26653_at  	" laminin, alpha 2 (merosin, congenital muscular dystrophy)  "	 Z26653  	
 95  	 0.0010109  	 811.8  	 1261.2  	 0.64  	 U68566_at  	 HS1 binding protein  	 U68566  	
 96  	 0.0010136  	 259.0  	 394.7  	 0.66  	 D85433_at  	 none  	 D85433  	
 97  	 0.0010155  	 176.3  	 445.8  	 0.40  	 U75362_at  	 ubiquitin specific protease 13 (isopeptidase T-3)  	 U75362  	
 98  	 0.0010275  	 614.6  	 1039.0  	 0.59  	 J04501_at  	 glycogen synthase 1 (muscle)  	 J04501  	
 99  	 0.0010556  	 235.7  	 641.8  	 0.37  	 Z14244_at  	 cytochrome c oxidase subunit VIIb  	 Z14244  	
 100  	 0.0010835  	 105.2  	 173.7  	 0.61  	 M94065_at  	 dihydroorotate dehydrogenase  	 M94065  	
 101  	 0.0011026  	 432.0  	 743.8  	 0.58  	 U65579_at  	" NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)  "	 U65579  	
 102  	 0.00112  	 958.3  	 2099.5  	 0.46  	 M22538_at  	" NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa  "	 M22538  	
 103  	 0.0011205  	 444.0  	 1097.4  	 0.41  	 L77701_at  	" COX17 homolog, cytochrome c oxidase assembly protein (yeast)  "	 L77701  	
 104  	 0.0011209  	 796.7  	 443.8  	 1.80  	 Y13247_at  	" protein phosphatase 1, regulatory subunit 10  "	 Y13247  	
 105  	 0.0011294  	 2992.9  	 6004.7  	 0.50  	 J04823_rna1_ at  	 none  	 J04823  	
 106  	 0.0011572  	 1686.9  	 2934.3  	 0.58  	 X91257_at  	 seryl-tRNA synthetase  	 X91257  	
 107  	 0.001169  	 491.7  	 160.5  	 3.06  	 U01877_at  	 E1A binding protein p300  	 U01877  	
 108  	 0.0011982  	 268.3  	 714.4  	 0.38  	 U21090_at  	" polymerase (DNA directed), delta 2, regulatory subunit 50kDa  "	 U21090  	
 109  	 0.0012119  	 251.0  	 170.4  	 1.47  	 D45132_at  	" PR domain containing 2, with ZNF domain  "	 D45132  	
 110  	 0.0012147  	 3452.4  	 5193.2  	 0.67  	 L19605_at  	 annexin A11  	 L19605  	
 111  	 0.0012317  	 3644.4  	 5367.9  	 0.68  	 U00947_s_at  	 heterogeneous nuclear ribonucleoprotein A1  	 U00947  	
 112  	 0.0012674  	 693.7  	 1116.8  	 0.62  	 L21936_at  	" succinate dehydrogenase complex, subunit A, flavoprotein (Fp)  "	 L21936  	
 113  	 0.0012808  	 583.3  	 1001.2  	 0.58  	 M37104_at  	" ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6  "	 M37104  	
 114  	 0.0013087  	 580.1  	 831.4  	 0.70  	 D31766_at  	 glucosamine-6-phosphate isomerase  	 D31766  	
 115  	 0.00136  	 109.2  	 195.1  	 0.56  	 M77016_at  	 tropomodulin  	 M77016  	
 116  	 0.0013728  	 575.3  	 1439.6  	 0.40  	 U09510_s_at  	 glycyl-tRNA synthetase  	 U09510  	
 117  	 0.001383  	 1062.3  	 1948.7  	 0.55  	 D16562_at  	" ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1  "	 D16562  	
 118  	 0.0013973  	 825.1  	 1826.5  	 0.45  	 D87433_at  	 stabilin 1  	 D87433  	
 119  	 0.0014049  	 375.2  	 524.7  	 0.72  	 U09303_at  	 ephrin-B1  	 U09303  	
 120  	 0.001419  	 3747.3  	 7559.6  	 0.50  	 X53777_at  	 ribosomal protein L17  	 X53777  	
 121  	 0.001425  	 354.8  	 795.4  	 0.45  	 X92814_at  	 HRAS-like suppressor 3  	 X92814  	
 122  	 0.0014428  	 581.7  	 971.5  	 0.60  	 Z50853_at  	" ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)  "	 Z50853  	
 123  	 0.0014581  	 343.1  	 507.1  	 0.68  	 U56833_at  	 von Hippel-Lindau binding protein 1  	 U56833  	
 124  	 0.001482  	 1455.0  	 2449.0  	 0.59  	 D26600_at  	" proteasome (prosome, macropain) subunit, beta type, 4  "	 D26600  	
 125  	 0.0015035  	 223.8  	 355.2  	 0.63  	 L25931_s_at  	 lamin B receptor  	 L25931  	
 126  	 0.0015077  	 301.7  	 105.9  	 2.85  	 D10923_at  	 putative chemokine receptor; GTP-binding protein  	 D10923  	
 127  	 0.0015189  	 142.9  	 87.3  	 1.64  	 U66048_at  	 Homo sapiens clone 161455 breast expressed mRNA from chromosome X  	 U66048  	
 128  	 0.0015195  	 849.9  	 1235.1  	 0.69  	 Z49099_at  	 spermine synthase  	 Z49099  	
 129  	 0.0015224  	 1324.2  	 2625.2  	 0.50  	 M86667_at  	 nucleosome assembly protein 1-like 1  	 M86667  	
 130  	 0.0015283  	 876.2  	 1652.5  	 0.53  	 D32050_at  	 alanyl-tRNA synthetase  	 D32050  	
 131  	 0.0015432  	 1005.1  	 1957.4  	 0.51  	 L38810_at  	" proteasome (prosome, macropain) 26S subunit, ATPase, 5  "	 L38810  	
 132  	 0.0015449  	 1896.1  	 3126.1  	 0.61  	 D26599_at  	" proteasome (prosome, macropain) subunit, beta type, 2  "	 D26599  	
 133  	 0.0015509  	 130.6  	 260.4  	 0.50  	 Y08612_at  	 nucleoporin 88kDa  	 Y08612  	
 134  	 0.001561  	 3448.8  	 5624.9  	 0.61  	 X57959_at  	 ribosomal protein L7  	 X57959  	
 135  	 0.0015636  	 150.3  	 70.1  	 2.14  	 U67784_at  	 G protein-coupled receptor  	 U67784  	
 136  	 0.0015711  	 76.8  	 44.0  	 1.75  	 Y00083_s_at  	" transforming growth factor, beta 2  "	 Y00083  	
 137  	 0.0015905  	 10779.8  	 19340.8  	 0.56  	 D13413_rna1_ s_at  	 none  	 D13413  	
 138  	 0.0015987  	 4405.7  	 6763.7  	 0.65  	 U78027_rna3_ at  	 none  	 U78027  	
 139  	 0.0016043  	 311.3  	 480.0  	 0.65  	 U18919_at  	 nucleotide binding protein  	 U18919  	
 140  	 0.0016226  	 5115.9  	 9008.8  	 0.57  	 X55954_at  	 ribosomal protein L23  	 X55954  	
 141  	 0.0016317  	 159.8  	 292.7  	 0.55  	 HG4074-HT4344_at  	 Rad2  	 HG4074-HT4344  	
 142  	 0.0016784  	 207.5  	 450.6  	 0.46  	 U21858_at  	" TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa  "	 U21858  	
 143  	 0.0017403  	 7260.9  	 11070.9  	 0.66  	 S79522_at  	 ribosomal protein S27a  	 S79522  	
 144  	 0.0017549  	 1210.8  	 1875.3  	 0.65  	 L16842_at  	 ubiquinol-cytochrome c reductase core protein I  	 L16842  	
 145  	 0.0018239  	 1341.6  	 2980.1  	 0.45  	 U48959_at  	" myosin, light polypeptide kinase  "	 U48959  	
 146  	 0.0018262  	 4621.8  	 8971.6  	 0.52  	 J03592_at  	" solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6  "	 J03592  	
 147  	 0.0018315  	 403.2  	 593.0  	 0.68  	 L19711_at  	 dystroglycan 1 (dystrophin-associated glycoprotein 1)  	 L19711  	
 148  	 0.0018404  	 790.6  	 317.0  	 2.49  	 U49973_xpt1_ at  	 none  	 U49973  	
 149  	 0.0018761  	 238.7  	 343.9  	 0.69  	 L13761_rna1_ at  	 none  	 L13761  	
 150  	 0.0018766  	 1197.7  	 1917.8  	 0.63  	 M37583_at  	" H2A histone family, member Z  "	 M37583  	
 151  	 0.0018799  	 3953.5  	 6958.5  	 0.57  	 J03040_at  	" secreted protein, acidic, cysteine-rich (osteonectin)  "	 J03040  	
 152  	 0.0018812  	 1971.3  	 3126.2  	 0.63  	 D21260_at  	" clathrin, heavy polypeptide (Hc)  "	 D21260  	
 153  	 0.0018818  	 6121.4  	 9501.7  	 0.64  	 HG3342-HT3519_s_at  	 Id1 - Also Represents: S78825  	 HG3342-HT3519  	
 154  	 0.0018864  	 787.5  	 1657.9  	 0.48  	 M64497_at  	" nuclear receptor subfamily 2, group F, member 2  "	 M64497  	
 155  	 0.0018916  	 147.3  	 78.7  	 1.87  	 M21985_at  	" nuclear receptor subfamily 2, group C, member 1  "	 M21985  	
 156  	 0.0019095  	 445.0  	 795.8  	 0.56  	 U37022_rna1_ at  	 none  	 U37022  	
 157  	 0.0019221  	 840.5  	 2079.6  	 0.40  	 L33842_rna1_ at  	 none  	 L33842  	
 158  	 0.0019225  	 919.4  	 3219.6  	 0.29  	 HG2090-HT2152_s_at  	" External Membrane Protein, 130 Kda (Gb:Z22971) - Also Represents: Z22970  "	 HG2090-HT2152  	
 159  	 0.0019535  	 4839.4  	 9809.9  	 0.49  	 M14199_s_at  	" laminin receptor 1 (ribosomal protein SA, 67kDa)  "	 M14199  	
 160  	 0.001961  	 5995.9  	 8506.9  	 0.71  	 L25080_at  	" ras homolog gene family, member A  "	 L25080  	
 161  	 0.0019662  	 654.7  	 991.7  	 0.66  	 L03411_s_at  	 RD RNA-binding protein  	 L03411  	
 162  	 0.0019714  	 353.9  	 234.0  	 1.51  	 U60521_at  	" caspase 9, apoptosis-related cysteine protease  "	 U60521  	
 163  	 0.0019828  	 873.0  	 1364.7  	 0.64  	 M93651_at  	 SET translocation (myeloid leukemia-associated)  	 M93651  	
 164  	 0.0020837  	 101.6  	 173.8  	 0.58  	 D13642_at  	" splicing factor 3b, subunit 3, 130kDa  "	 D13642  	
 165  	 0.0021076  	 799.7  	 1105.7  	 0.72  	 AB003177_at  	" proteasome (prosome, macropain) 26S subunit, non-ATPase, 9  "	 AB003177  	
 166  	 0.002116  	 224.9  	 304.7  	 0.74  	 D38073_at  	 MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)  	 D38073  	
 167  	 0.0021181  	 1610.4  	 3302.9  	 0.49  	 AC002115_cd s1_at  	 none  	 AC002115  	
 168  	 0.0021555  	 154.9  	 272.6  	 0.57  	 U69141_at  	 glutaryl-Coenzyme A dehydrogenase  	 U69141  	
 169  	 0.0021889  	 629.0  	 1064.0  	 0.59  	 D90084_at  	 none  	 D90084  	
 170  	 0.0021951  	 1061.9  	 1405.3  	 0.76  	 U89336_cds4 _at  	 none  	 U89336  	
 171  	 0.0022098  	 1100.4  	 1960.0  	 0.56  	 U09587_at  	 glycyl-tRNA synthetase  	 U09587  	
 172  	 0.0022369  	 3881.4  	 6741.7  	 0.58  	 M64716_at  	 ribosomal protein S25  	 M64716  	
 173  	 0.0022805  	 614.5  	 916.9  	 0.67  	 M24899_at  	" thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)  "	 M24899  	
 174  	 0.0023398  	 4151.5  	 8801.2  	 0.47  	 X86693_at  	" SPARC-like 1 (mast9, hevin)  "	 X86693  	
 175  	 0.0023638  	 362.2  	 754.3  	 0.48  	 X61970_at  	" proteasome (prosome, macropain) subunit, alpha type, 5  "	 X61970  	
 176  	 0.0023769  	 139.0  	 52.8  	 2.63  	 L14269_at  	" solute carrier family 18 (vesicular monoamine), member 2  "	 L14269  	
 177  	 0.0023943  	 514.5  	 304.0  	 1.69  	 U00952_at  	 hematopoietic PBX-interacting protein  	 U00952  	
 178  	 0.0024016  	 413.1  	 748.1  	 0.55  	 J04605_at  	 peptidase D  	 J04605  	
 179  	 0.0024086  	 1096.1  	 1876.3  	 0.58  	 D21235_at  	 RAD23 homolog A (S. cerevisiae)  	 D21235  	
 180  	 0.0024336  	 2726.1  	 5731.1  	 0.48  	 J03827_at  	 nuclease sensitive element binding protein 1  	 J03827  	
 181  	 0.002529  	 701.0  	 1145.7  	 0.61  	 U70735_at  	" COP9 subunit 6 (MOV34 homolog, 34 kD)  "	 U70735  	
 182  	 0.0025474  	 346.2  	 489.4  	 0.71  	 D87444_at  	 KIAA0255 gene product  	 D87444  	
 183  	 0.0025801  	 1069.4  	 1726.8  	 0.62  	 M88108_at  	" KH domain containing, RNA binding, signal transduction associated 1  "	 M88108  	
 184  	 0.0025944  	 246.6  	 554.4  	 0.45  	 U73477_s_at  	" acidic (leucine-rich) nuclear phosphoprotein 32 family, member A  "	 U73477  	
 185  	 0.0025985  	 1617.2  	 3391.1  	 0.48  	 HG1515-HT1515_f_at  	 Transcription Factor Btf3b  	 HG1515-HT1515  	
 186  	 0.0026009  	 33.2  	 127.9  	 0.26  	 S83365_at  	 none  	 S83365  	
 187  	 0.002621  	 59.4  	 27.4  	 2.16  	 L49209_s_at  	 none  	 L49209  	
 188  	 0.002702  	 548.8  	 966.3  	 0.57  	 U47927_at  	 ubiquitin specific protease 5 (isopeptidase T)  	 U47927  	
 189  	 0.002716  	 91.6  	 194.3  	 0.47  	 U43944_at  	" malic enzyme 1, NADP(+)-dependent, cytosolic  "	 U43944  	
 190  	 0.0027162  	 428.2  	 865.4  	 0.50  	 S80343_at  	 arginyl-tRNA synthetase  	 S80343  	
 191  	 0.0027861  	 1094.2  	 2139.6  	 0.51  	 D26598_at  	" proteasome (prosome, macropain) subunit, beta type, 3  "	 D26598  	
 192  	 0.0027881  	 282.1  	 460.7  	 0.61  	 D49396_at  	 peroxiredoxin 3  	 D49396  	
 193  	 0.0028452  	 2566.2  	 4154.1  	 0.62  	 X80909_at  	 nascent-polypeptide-associated complex alpha polypeptide  	 X80909  	
 194  	 0.0028741  	 292.4  	 503.1  	 0.58  	 X85106_at  	" ribosomal protein S6 kinase, 90kDa, polypeptide 2  "	 X85106  	
 195  	 0.0029258  	 3823.9  	 7033.3  	 0.54  	 X52966_at  	 ribosomal protein L35a  	 X52966  	
 196  	 0.002967  	 285.5  	 383.6  	 0.74  	 D87447_at  	 KIAA0258 gene product  	 D87447  	
 197  	 0.0029689  	 1027.5  	 1482.6  	 0.69  	 U96915_at  	" sin3-associated polypeptide, 18kDa  "	 U96915  	
 198  	 0.0029712  	 2459.8  	 3440.1  	 0.72  	 X02317_at  	" superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))  "	 X02317  	
 199  	 0.0029731  	 331.9  	 585.3  	 0.57  	 L07548_at  	 aminoacylase 1  	 L07548  	
 200  	 0.0029826  	 4636.4  	 8754.3  	 0.53  	 HG311-HT311_at  	 Ribosomal Protein L30  	 HG311-HT311  	
 201  	 0.0030176  	 640.8  	 979.0  	 0.66  	 M74719_at  	 transcription factor 4  	 M74719  	
 202  	 0.0030476  	 819.2  	 308.4  	 2.66  	 L22009_at  	 heterogeneous nuclear ribonucleoprotein H1 (H)  	 L22009  	
 203  	 0.0030958  	 336.2  	 803.3  	 0.42  	 U51334_at  	" TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa  "	 U51334  	
 204  	 0.0031023  	 420.8  	 662.9  	 0.64  	 M60091_at  	 galactose-1-phosphate uridylyltransferase  	 M60091  	
 205  	 0.0031103  	 7421.1  	 12713.3  	 0.58  	 M77232_rna1 _at  	 none  	 M77232  	
