ProbeID	Gene Symbol	Gene Description	GenBank	GO	EntrezID	RefSeq	Cluster	p-value	log2(Moil_3h/DMSO)	log2(Moil_6h/DMSO)	log2(Moil_12h/DMSO)	log2(Moil_24h/DMSO)	log2(Moil_48h/DMSO)
scl0001590.1_160-S	1110004B13Rik	RIKEN cDNA 1110004B13 gene	NM_028336	GO:0016020; GO:0016021	66910	NM_025838; NM_025838; NP_080114; NM_028336; NP_082612	1	0.00418686	1.817296634	0.287021074	-3.777984747	-0.093212486	0.223291523
scl0001637.1_218-S	Luc7l	Luc7 homolog (S. cerevisiae)-like	NM_025881	GO:0005634; GO:0008270; GO:0045843; GO:0046872	66978	NM_025881; NM_025881; NP_080157; NM_028190; NP_082466	1	0.0132204	0.156600791	0.10330636	-0.01170592	0.22314739	0.13878295
scl0001949.1_5-S	Pde7a	phosphodiesterase 7A	NM_008802	GO:0003824; GO:0004114; GO:0005615; GO:0007165; GO:0016787	18583	NM_008802; NM_008802; NP_032828	1	0.036199853	0.346982041	0.294979413	-0.221410515	0.035502184	-0.00891446
scl000210.1_44-S	Eif4g2	eukaryotic translation initiation factor 4, gamma 2	NM_013507	GO:0003723; GO:0003743; GO:0003743; GO:0003743; GO:0005515; GO:0005737; GO:0006412; GO:0006417; GO:0006446; GO:0006446; GO:0006446; GO:0007050; GO:0008219; GO:0016281	13690	NM_001040131; NM_001040131; NP_001035221; NM_013507; NP_038535	1	0.040167716	0.024991005	-0.205052465	-0.415524856	0.247918876	0.110092603
scl000226.1_3-S	Mrpl48	mitochondrial ribosomal protein L48	NM_026971	GO:0003735; GO:0005622; GO:0005739; GO:0005840; GO:0006412; GO:0030529	52443	NM_026971; NM_026971; NP_081247; NM_198831; NP_942128	1	0.047745083	-0.111074453	0.165909252	-0.24137018	0.005340632	0.13424945
scl0002644.1_1164-S	NA	NA	XM_283954	NA	NA	NA	1	0.0415704	-0.098188203	-0.004063646	-0.627514615	0.335991904	-0.005848466
scl0002723.1_35-S	Med8	mediator of RNA polymerase II transcription, subunit 8 homolog (yeast)	NM_020000	GO:0000119; GO:0004872; GO:0005634; GO:0006350; GO:0006355	80509	NM_020000; NM_020000; NP_064384; NM_173719; NP_776067	1	0.02530516	-0.172920388	-0.000697451	-0.415131742	-0.01921331	0.121829656
scl0003146.1_50-S	Sdccag3	serologically defined colon cancer antigen 3	NM_026563	NA	68112	NM_026563; NM_026563; NP_080839; NM_030155; NP_084431	1	0.009835151	0.126997829	-0.049049823	-0.287180109	0.237799453	-0.259475042
scl0003147.1_18-S	Pacsin3	protein kinase C and casein kinase substrate in neurons 3	NM_028733	GO:0005515; GO:0005737; GO:0005802; GO:0006897; GO:0008092; GO:0016301; GO:0045806	80708	NM_028733; NM_028733; NP_083009; NM_030880; NP_112019	1	0.028023079	0.012874183	1.001984675	-0.76274962	1.541401833	-0.503598851
scl0003459.1_490-S	Lrrfip2	leucine rich repeat (in FLII) interacting protein 2	XM_284541	GO:0005515; GO:0016055	71268	XM_001000138; XM_001000138; XP_001000138; XM_001000168; XP_001000168; XM_001000201; XP_001000201; XM_001000235; XP_001000235; XM_284541; XP_284541; XM_895140; XP_900233; XM_903006; XP_908099; XM_903007; XP_908100; XM_903009; XP_908102; XM_903010; XP_90810	1	0.009256009	0.481030093	-0.095699481	-1.029839875	-0.108042194	-0.05588008
scl0003559.1_19-S	Yipf2	Yip1 domain family, member 2	NM_138303	GO:0016020; GO:0016021; GO:0030133	74766	NM_138303; NM_138303; NP_612176	1	0.03763182	0.310415885	0.404789185	-1.595663978	0.250902281	0.216305064
scl0003791.1_56-S	Slc6a15	solute carrier family 6 (neurotransmitter transporter), member 15	NM_175328	GO:0005328; GO:0005887; GO:0006810; GO:0006836; GO:0015293; GO:0016020; GO:0016021	103098	NM_175328; NM_175328; NP_780537	1	0.034618877	0.066398031	-0.134500203	-0.361976512	0.147323119	0.14354819
scl000532.1_17-S	Yif1a	Yip1 interacting factor homolog A (S. cerevisiae)	NM_026553	GO:0005783; GO:0006810; GO:0006888; GO:0015031; GO:0016020; GO:0016021	68090	NM_026553; NM_026553; NP_080829	1	0.018206122	-0.098319612	-0.001635676	-0.206289472	-0.020871467	0.054720094
scl0011432.2_96-S	Acp2	acid phosphatase 2, lysosomal	NM_007387	GO:0001501; GO:0003993; GO:0003993; GO:0005764; GO:0005764; GO:0007040; GO:0016787	11432	NM_007387; NM_007387; NP_031413	1	0.025797917	0.121524257	0.25339222	-0.476398086	0.085230745	0.168050744
scl0011820.2_119-S	App	amyloid beta (A4) precursor protein	NM_007471	GO:0000085; GO:0001967; GO:0003677; GO:0004866; GO:0004867; GO:0005488; GO:0005506; GO:0005507; GO:0005515; GO:0005624; GO:0005737; GO:0005794; GO:0005905; GO:0006378; GO:0006417; GO:0006878; GO:0006878; GO:0006897; GO:0006915; GO:0007155; GO:0007219; GO:	11820	NM_007471; NM_007471; NP_031497	1	0.000666434	1.39351845	-0.107602172	-4.223679393	0.466962662	-0.087164056
scl0012514.2_91-S	Cd68	CD68 antigen	NM_009853	GO:0005615; GO:0005764; GO:0005886; GO:0016020; GO:0016021	12514	NM_009853; NM_009853; NP_033983	1	0.008138636	3.060904384	2.373910006	-3.053111336	-0.327589819	1.188681124
scl00142682.1_213-S	Zcchc14	zinc finger, CCHC domain containing 14	NM_080855	GO:0003676; GO:0005575; GO:0008150; GO:0008270; GO:0046872	142682	NM_080855; NM_080855; NP_543131	1	0.022223793	0.255678033	-0.044617723	-0.221120264	0.173899082	-0.086261294
scl0016569.2_324-S	Kif3b	kinesin family member 3B	NM_008444	GO:0000166; GO:0003774; GO:0003777; GO:0005515; GO:0005524; GO:0005871; GO:0005874; GO:0005875; GO:0007017; GO:0007018	16569	NM_008444; NM_008444; NP_032470	1	0.01776311	0.094353531	0.430127178	-0.18351146	0.124961441	0.366489379
scl00170460.2_242-S	Stard5	StAR-related lipid transfer (START) domain containing 5	NM_023377	GO:0006694; GO:0006810; GO:0006869; GO:0008289; GO:0015485; GO:0015485; GO:0017127	170460	NM_023377; NM_023377; NP_075866	1	0.000393943	2.765073801	1.210731884	-1.670518459	0.969477121	-0.067302897
scl0017977.2_208-S	Ncoa1	nuclear receptor coactivator 1	NM_010881	GO:0003677; GO:0003682; GO:0003713; GO:0004402; GO:0004871; GO:0004872; GO:0005515; GO:0005634; GO:0006350; GO:0006355; GO:0007165; GO:0008415; GO:0016740; GO:0030528; GO:0045449; GO:0045941	17977	XM_001000135; XM_001000135; XP_001000135; XM_976948; XP_982042; NM_010881; NP_035011	1	0.006768361	-0.07078024	0.265439237	-0.120887744	0.220844901	-0.052505752
scl0019043.2_303-S	Ppm1b	protein phosphatase 1B, magnesium dependent, beta isoform	NM_011151	GO:0000287; GO:0003824; GO:0004721; GO:0004722; GO:0006470; GO:0008287; GO:0016787; GO:0030145; GO:0046872	19043	XM_984927; XM_984927; XP_990021; NM_011151; NP_035281	1	0.048767272	0.053442987	0.291580858	-0.094003267	0.238959785	-0.154541271
scl0019056.2_142-S	Ppp3cb	protein phosphatase 3, catalytic subunit, beta isoform	NM_008914	GO:0004721; GO:0004722; GO:0005506; GO:0005509; GO:0005516; GO:0005955; GO:0006470; GO:0007507; GO:0008270; GO:0016787; GO:0030217; GO:0046872	19056	NM_008914; NM_008914; NP_032940	1	0.029771969	0.113662046	0.204608178	-0.184613845	-0.011476413	0.195870469
scl0020773.2_115-S	Sptlc2	serine palmitoyltransferase, long chain base subunit 2	NM_011479	GO:0004758; GO:0005783; GO:0008152; GO:0008415; GO:0008483; GO:0009058; GO:0016020; GO:0016021; GO:0016740; GO:0016769	20773	NM_011479; NM_011479; NP_035609	1	0.013970469	0.433883062	0.326213671	-0.044543846	0.253656394	-0.149253949
scl00216395.2_163-S	Tmem5	transmembrane protein 5	NM_153059	GO:0004252; GO:0006508; GO:0016020; GO:0016021	216395	NM_153059; NM_153059; NP_694699	1	0.014632502	-0.059815927	0.377192934	-0.199291444	0.101305554	0.030880809
scl00216760.1_116-S	Mfap3	microfibrillar-associated protein 3	NM_145426	GO:0005578; GO:0005615; GO:0016020; GO:0016021	216760	NM_145426; NM_145426; NP_663401; NM_180599; NP_850930	1	0.009408876	0.112501986	0.078379555	-0.221071824	-0.007833844	0.118671236
scl00216971.1_119-S	BC017647	cDNA sequence BC017647	NM_145430	NA	216971	NM_145430; NM_145430; NP_663405	1	0.030317076	0.034694839	0.132299489	-0.202236092	0.096301982	0.072287418
scl00223455.2_26-S	6-Mar	membrane-associated ring finger (C3HC4) 6	NM_172606	GO:0005783; GO:0006512; GO:0008270; GO:0016020; GO:0016021; GO:0016874; GO:0046872	223455	NM_172606; NM_172606; NP_766194	1	0.039017771	0.063018057	0.029305642	-0.424769813	0.144561203	0.136106592
scl00319604.2_16-S	B930006L02Rik	RIKEN cDNA B930006L02 gene	NM_178764	NA	319604	NM_178764; NM_178764; NP_848879	1	0.02454408	0.281573255	0.164714525	-0.936454114	0.297938352	-0.073659588
scl00381314.1_0-S	Iars2	isoleucine-tRNA synthetase 2, mitochondrial	NM_198653	GO:0000166; GO:0004812; GO:0004822; GO:0005524; GO:0005739; GO:0006412; GO:0006418; GO:0006428; GO:0008270; GO:0016874	381314	XM_908122; XM_908122; XP_913215; NM_198653; NP_941055	1	0.015005473	0.010393495	0.085214456	-0.223594609	0.060207315	-0.298908923
scl0074201.1_33-S	Lrriq2	leucine-rich repeats and IQ motif containing 2	NM_028815	GO:0005515	74201	NM_028815; NM_028815; NP_083091	1	0.049578168	0.248580317	2.611257335	-0.958134852	0.188088673	-0.29734356
scl0075909.2_73-S	Tmem49	transmembrane protein 49	NM_029478	GO:0016021	75909	NM_029478; NM_029478; NP_083754	1	0.000100474	1.436201625	-1.263765654	-3.227581401	-0.111444751	-0.273381393
scl0080708.1_141-S	Pacsin3	protein kinase C and casein kinase substrate in neurons 3	NM_028733	GO:0005515; GO:0005737; GO:0005802; GO:0006897; GO:0008092; GO:0016301; GO:0045806	80708	NM_028733; NM_028733; NP_083009; NM_030880; NP_112019	1	0.041936677	-0.213132659	0.050370726	-0.269731015	0.336218669	0.028725675
scl0110279.7_217-S	NA	NA	XM_125706	NA	NA	NA	1	0.033644074	0.349640104	0.12747253	-0.090119586	0.201486015	-0.063898738
scl013046.9_64-S	Cugbp1	CUG triplet repeat, RNA binding protein 1	NM_198683	GO:0000166; GO:0000900; GO:0003676; GO:0003723; GO:0005625; GO:0005634; GO:0005634; GO:0005634; GO:0005737; GO:0006376; GO:0006397; GO:0007281; GO:0009790; GO:0016246; GO:0030529; GO:0042835	13046	NM_017368; NM_017368; NP_059064; NM_198683; NP_941955	1	0.043780381	0.220507195	0.110803409	-0.340839521	0.197378772	0.082719597
scl016396.2_0-S	Itch	itchy, E3 ubiquitin protein ligase	XM_192925	GO:0000151; GO:0003677; GO:0004842; GO:0004842; GO:0005515; GO:0005622; GO:0005634; GO:0006464; GO:0006511; GO:0006512; GO:0016874; GO:0045449	16396	XM_001004902; XM_001004902; XP_001004902; XM_001005744; XP_001005744; XM_192925; XP_192925; XM_895069; XP_900162; XM_902524; XP_907617; XM_902525; XP_907618; XM_902526; XP_907619; XM_902527; XP_907620; XM_902529; XP_907622; XM_907054; XP_912147; XM_976293	1	0.033413436	-0.45937713	0.526830067	-0.971270725	-0.324934175	-0.209181254
scl017990.3_27-S	Ndrl	N-myc downstream regulated-like	NM_008681	NA	17990	NM_008681; NM_008681; NP_032707	1	0.010114729	0.104639384	0.189290869	-0.309424756	0.1403362	0.100032356
scl018521.14_30-S	Pcbp2	poly(rC) binding protein 2	NM_011042	GO:0003676; GO:0003677; GO:0003723; GO:0005515; GO:0005634; GO:0006396; GO:0030529	18521	NM_011042; NM_011042; NP_035172	1	0.024026499	-0.02861118	-0.05059659	-0.249142345	-0.103840195	0.066101318
scl0208795.23_29-S	Tmem63a	transmembrane protein 63a	NM_144794	GO:0006350; GO:0016020; GO:0016021	208795	NM_144794; NM_144794; NP_659043	1	0.044825933	0.112498186	0.155431805	-0.296954045	0.055629893	0.045572883
scl0217718.1_28-S	Nek9	NIMA (never in mitosis gene a)-related expressed kinase 9	NM_145138	GO:0000166; GO:0000287; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0006468; GO:0007049; GO:0007067; GO:0016301; GO:0016740; GO:0046872; GO:0051301	217718	XM_994284; XM_994284; XP_999378; NM_145138; NP_660120	1	0.000660984	0.362778896	-0.051849704	-0.501397316	0.260716074	0.306589876
scl0217837.1_325-S	Itpk1	inositol 1,3,4-triphosphate 5/6 kinase	NM_172584	GO:0000166; GO:0000287; GO:0003824; GO:0005524; GO:0016301; GO:0016740; GO:0016787; GO:0016853; GO:0046872; GO:0047325	217837	NM_172584; NM_172584; NP_766172	1	0.048165643	0.061003524	0.271613141	-0.099911111	0.132380204	0.0733456
scl021981.1_87-S	Ppp1r13b	protein phosphatase 1, regulatory (inhibitor) subunit 13B	NM_011625	GO:0005515; GO:0005634; GO:0005634; GO:0005737; GO:0006915; GO:0006917; GO:0006952; GO:0045786	21981	NM_011625; NM_011625; NP_035755	1	0.007971478	0.001404564	0.015316002	-0.589057503	0.390760414	0.04974066
scl0224019.10_293-S	D16Bwg1494e	DNA segment, Chr 16, Brigham & Womens Genetics 1494 expressed	XM_358773	GO:0016021	224019	XM_358773; XM_358773; XP_358773; XM_910361; XP_915454; XM_984506; XP_989600	1	0.006630888	1.931123985	1.993963584	-1.045785175	0.034534906	0.262059582
scl0230661.11_0-S	Tesk2	testis-specific kinase 2	NM_146151	GO:0000166; GO:0000287; GO:0004672; GO:0004674; GO:0004674; GO:0004713; GO:0005524; GO:0005634; GO:0005634; GO:0006468; GO:0006468; GO:0006915; GO:0007242; GO:0007283; GO:0016301; GO:0016740; GO:0030036; GO:0030145; GO:0046872; GO:0048041	230661	NM_146151; NM_146151; NP_666263	1	0.028473875	-0.397425864	0.573575556	-1.822914601	0.127595898	0.203466124
scl0234373.9_64-S	Sfrs14	splicing factor, arginine/serine-rich 14	NM_172755	GO:0003676; GO:0003723; GO:0005622; GO:0005634; GO:0006396; GO:0006397; GO:0008380	234373	NM_172755; NM_172755; NP_766343	1	0.038932144	0.089545367	0.305251172	0.009544864	0.209171127	0.033743731
scl026901.3_41-S	Deb1	differentially expressed in B16F10 1	NM_026794	NA	26901	NM_026794; NM_026794; NP_081070	1	0.038859716	0.084604974	0.136981108	-0.463352195	-0.05278894	0.099580087
scl027967.3_2-S	Cherp	calcium homeostasis endoplasmic reticulum protein	NM_138585	GO:0003674; GO:0003723; GO:0005622; GO:0005737; GO:0006396; GO:0006874; GO:0008285	27967	NM_138585; NM_138585; NP_613051	1	0.047703553	0.097483362	-0.132852004	-0.287290186	0.009278301	-0.033784144
scl050790.1_73-S	Acsl4	acyl-CoA synthetase long-chain family member 4	NM_207625	GO:0000287; GO:0003824; GO:0004467; GO:0004467; GO:0005777; GO:0006629; GO:0006631; GO:0008152; GO:0016020; GO:0016021; GO:0016874; GO:0019217	50790	NM_001033600; NM_001033600; NP_001028772; NM_019477; NP_062350; NM_207625; NP_997508	1	0.004474213	0.294432011	-0.103724221	-0.419115163	0.350297461	0.025910376
scl057265.1_17-S	Fzd2	frizzled homolog 2 (Drosophila)	NM_020510	GO:0004871; GO:0004872; GO:0004926; GO:0004930; GO:0005515; GO:0005615; GO:0007165; GO:0007166; GO:0007186; GO:0007267; GO:0007275; GO:0016020; GO:0016021; GO:0016055; GO:0030855; GO:0030855	57265	NM_020510; NM_020510; NP_065256	1	0.0023449	1.082000008	0.734844569	-0.970698435	-0.060951685	-0.478458754
scl058887.4_0-S	Repin1	replication initiator 1	NM_175099	GO:0003676; GO:0003677; GO:0005622; GO:0005634; GO:0006260; GO:0008270; GO:0046872	58887	NM_001079901; NM_001079901; NP_001073370; NM_001079902; NP_001073371; NM_001079903; NP_001073372; NM_001079904; NP_001073373; NM_001079905; NP_001073374; NM_175099; NP_780308	1	0.003261696	0.298143136	-0.322373577	-0.618125187	-0.031175718	-0.053263855
scl071228.1_292-S	NA	NA	XM_127605	NA	NA	NA	1	0.042792156	0.227519389	0.217335646	-0.277363908	0.075942278	-0.089393759
scl073075.8_3-S	NA	NA	NA	NA	NA	NA	1	0.000549484	1.511432479	0	-1.061428374	0.404851262	0.26350321
scl073750.1_299-S	NA	NA	XM_196324	NA	NA	NA	1	0.032283235	0.816366695	-0.068064537	-2.845290633	0.181596946	0.257377654
scl074760.10_16-S	Rab3il1	RAB3A interacting protein (rabin3)-like 1	NM_144538	GO:0005515; GO:0017112	74760	NM_144538; NM_144538; NP_653121	1	0.00016915	0	4.74351804	-2.776270512	-0.947842761	0.766909303
scl076650.2_4-S	Srxn1	sulfiredoxin 1 homolog (S. cerevisiae)	NM_029688	GO:0000166; GO:0000287; GO:0003677; GO:0005524; GO:0005829; GO:0006979; GO:0016209; GO:0016491; GO:0016667	76650	NM_029688; NM_029688; NP_083964	1	0.044006114	0.190574486	0.496188689	0.039944159	0.218394516	0.016549626
scl077675.4_14-S	NA	NA	NA	NA	NA	NA	1	0.046244575	-0.434186521	1.186972629	-0.559589496	0.489217543	-0.056541103
scl077877.1_144-S	NA	NA	XM_127971	NA	NA	NA	1	0.008720592	0.340230273	0.492532848	-0.453687539	-0.029239113	0.021962621
scl078408.1_245-S	2900046G09Rik	RIKEN cDNA 2900046G09 gene	NM_133778	GO:0005215; GO:0006810	78408	NM_133778; NM_133778; NP_598539	1	3.70E-05	0	0	-3.664860802	0.943770103	0.603620782
scl15849.13_157-S	Psen2	presenilin 2	NM_011183	GO:0001708; GO:0005515; GO:0005515; GO:0005783; GO:0005783; GO:0005794; GO:0005887; GO:0006509; GO:0007219; GO:0007220; GO:0007242; GO:0008233; GO:0016020; GO:0016021; GO:0016485; GO:0016787; GO:0030326; GO:0042640; GO:0042987; GO:0043065; GO:0043085; GO:	19165	NM_011183; NM_011183; NP_035313	1	0.027356427	-0.260702721	2.018815961	-0.755649936	-0.31175358	-0.083845278
scl15933.11.1_5-S	Ly9	lymphocyte antigen 9	NM_008534	GO:0005515; GO:0005615; GO:0005886; GO:0006952; GO:0007155; GO:0016020; GO:0016021	17085	NM_008534; NM_008534; NP_032560	1	0.002558947	-0.221540621	-0.328749165	-1.79808066	0.120731611	0.085589735
scl15962.19.1_82-S	Ddr2	discoidin domain receptor family, member 2	NM_022563	GO:0000166; GO:0004672; GO:0004713; GO:0004714; GO:0004872; GO:0005524; GO:0006468; GO:0007155; GO:0007169; GO:0008284; GO:0016020; GO:0016021; GO:0016301; GO:0016740	18214	NM_022563; NM_022563; NP_072075	1	0.013546149	-0.043924535	-0.244068181	-0.452085374	0.135223847	-0.069101713
scl16035.21_615-S	Bat2d	BAT2 domain containing 1	XM_148990	GO:0003674; GO:0005575; GO:0008150	226562	XM_001002638; XM_001002638; XP_001002638; XM_148990; XP_148990; XM_886288; XP_891381; XM_896634; XP_901727; XM_896646; XP_901739; XM_896654; XP_901747; XM_917352; XP_922445; XM_924904; XP_929997; XM_924908; XP_930001; XM_976536; XP_981630; XM_976724; XP_9	1	0.015105223	0.100360687	0.243405192	-0.333971024	-0.045102795	-0.082354013
scl16375.7_22-S	Dbi	diazepam binding inhibitor	NM_007830	GO:0000062; GO:0005488; GO:0005739; GO:0006810; GO:0008289	13167	NM_001037999; NM_001037999; NP_001033088; NM_007830; NP_031856	1	0.018907683	-0.095240766	0.323195594	-0.255353589	-0.106321402	0.199402804
scl16695.1.1_170-S	NA	NA	NA	NA	NA	NA	1	0.044847004	0.124373405	0.431504561	-0.166176215	-0.075208734	0.220034886
scl17693.18_476-S	Atg16l1	autophagy-related 16-like 1 (yeast)	NM_029846	GO:0000045; GO:0005515; GO:0005776; GO:0006810; GO:0006914; GO:0015031; GO:0016020	77040	NM_029846; NM_029846; NP_084122	1	0.041641303	0.200696062	0.229078128	-0.05628111	0.134383174	-0.103715454
scl17747.8_208-S	Rhbdd1	rhomboid domain containing 1	NM_029777	GO:0004252; GO:0005615; GO:0008233; GO:0016020; GO:0016021; GO:0016787	76867	NM_029777; NM_029777; NP_084053	1	0.011183265	-0.135914101	-0.119138961	-0.328097203	0.192358487	-0.14654583
scl21325.10_415-S	Sephs1	selenophosphate synthetase 1	NM_175400	GO:0000166; GO:0003824; GO:0004756; GO:0005524; GO:0005525; GO:0006464; GO:0008430; GO:0016301; GO:0016740	109079	NM_175400; NM_175400; NP_780609	1	0.033105694	0.045217911	0.212117806	-0.477094013	0.184041426	-0.194562931
scl22717.15.1_30-S	Wdr47	WD repeat domain 47	NM_181400	NA	99512	NM_181400; NM_181400; NP_852065	1	0.032319424	0.689025054	0.352622508	-0.83404754	-0.164069209	0.172916761
scl23069.5_206-S	1110032E23Rik	RIKEN cDNA 1110032E23 gene	NM_133187	GO:0016021	68659	NM_133187; NM_133187; NP_573450	1	0.025725014	-0.675921836	2.385136033	-2.109511999	-0.130394264	-0.023990349
scl23745.1.1_303-S		erythrocyte protein band 4.1	NM_183428	GO:0003779; GO:0003779; GO:0005198; GO:0005488; GO:0005545; GO:0005634; GO:0005737; GO:0005856; GO:0008092; GO:0008360; GO:0015629; GO:0016020; GO:0030036; GO:0030507; GO:0030863; GO:0030866; GO:0043234	269587	NM_183428; NM_183428; NP_906273	1	0.030812524	0.182331176	0.439062225	-0.368934116	-0.288808652	-0.007107737
scl24532.13_158-S	Decr1	2,4-dienoyl CoA reductase 1, mitochondrial	NM_026172	GO:0005739; GO:0005739; GO:0008152; GO:0008670; GO:0016491	67460	NM_026172; NM_026172; NP_080448	1	0.037034214	0.279218892	0.228352934	-0.289844091	-0.167059443	0.171333291
scl25295.54.1_177-S	BC057079	cDNA sequence BC057079	XM_283973	NA	230393	XM_001001702; XM_001001702; XP_001001702; XM_283973; XP_283973; XM_899409; XP_904502; XM_899415; XP_904508; XM_899419; XP_904512; XM_899421; XP_904514; XM_899424; XP_904517; XM_913780; XP_918873; XM_922886; XP_927979; XM_922900; XP_927993; XM_922907; XP_9	1	0.002582566	0.044377013	0.288669765	-0.095953297	0.052220578	-0.079297246
scl25830.14_357-S	Ttyh3	tweety homolog 3 (Drosophila)	NM_175274	GO:0005254; GO:0016021	78339	NM_175274; NM_175274; NP_780483	1	0.004197353	-0.012177704	0.093768178	-0.244080403	0.308894666	-0.044087761
scl26321.12.1_10-S	Hpse	heparanase	NM_152803	GO:0000287; GO:0005509; GO:0005578; GO:0005764; GO:0016020; GO:0016787; GO:0030305	15442	XM_982223; XM_982223; XP_987317; NM_152803; NP_690016	1	0.013026599	-0.932849454	0.711674707	-1.279852493	0.276463928	-0.012556314
scl30470.4_40-S	H19	H19 fetal liver mRNA	NR_001592	GO:0005737; GO:0005844	14955	NR_001592	1	6.81E-05	3.186746774	0.409379843	-3.419538892	0	-0.734790651
scl30685.21_48-S	Atxn2l	ataxin 2-like	NM_183020	GO:0003674; GO:0008150; GO:0016020; GO:0016020	233871	NM_183020; NM_183020; NP_898841	1	0.030583484	-0.242572825	0.167722184	-0.275905979	0.267990311	0.05160673
scl33402.1_220-S	Thap11	THAP domain containing 11	NM_021513	GO:0003676; GO:0003677; GO:0005634; GO:0008270; GO:0046872	59016	NM_021513; NM_021513; NP_067488	1	0.032773007	0.036564307	0.281384817	-0.377234267	-0.095943007	-0.064450339
scl35154.1.15_20-S	NA	NA	XM_358687	NA	NA	NA	1	0.026924007	1.143751143	-0.627842938	-3.031967153	-0.143010878	0.494927903
scl35367.18_438-S	Sema3f	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3 F	NM_011349	GO:0001755; GO:0005615; GO:0007275; GO:0045499; GO:0048843; GO:0050919; GO:0050919	20350	NM_011349; NM_011349; NP_035479	1	0.042666577	0.200573232	0.189600902	-0.174796461	-0.08023884	0.098382075
scl35415.12_241-S	Acpp	acid phosphatase, prostate	NM_207668	GO:0003993; GO:0003993; GO:0005615; GO:0008150; GO:0016787	56318	NM_019807; NM_019807; NP_062781; NM_207668; NP_997551	1	0.034089853	0.852860521	0.343966146	-0.638283366	0.242148798	0.068870824
scl36644.3_0-S	Prss35	protease, serine, 35	NM_178738	GO:0004252; GO:0004263; GO:0004295; GO:0005615; GO:0006508; GO:0008233; GO:0016787	244954	NM_178738; NM_178738; NP_848853	1	0.002443358	2.831375952	3.385282396	-4.21321625	-0.685084841	-0.009570964
scl36871.20.1_240-S	NA	NA	XM_134863	NA	NA	NA	1	0.042563027	0.372774605	0.717454863	-0.039517097	0.132016087	-0.036935402
scl37811.6.1_5-S	Gstt1	glutathione S-transferase, theta 1	NM_008185	GO:0004364; GO:0005634; GO:0006749; GO:0016740	14871	NM_008185; NM_008185; NP_032211	1	0.003560663	0.756130426	2.231212129	-3.759739501	0.082349989	-0.346930568
scl38655.14_451-S	NA	NA	XM_150337	NA	NA	NA	1	0.049778113	-0.015567894	0.059754176	-0.233054153	0.138550548	-0.106909905
