rank	rank (according to supplemental table A)	accession	p-value	gene description
22	71	219866_at	0.001	gb:NM_016929.1 /DEF=Homo sapiens chloride intracellular channel 5 (CLIC5), mRNA. /FEA=mRNA /GEN=CLIC5 /PROD=chloride intracellular channel 5 /DB_XREF=gi:8393146 /UG=Hs.283021 chloride intracellular channel 5 /FL=gb:AF216941.1 gb:NM_016929.1
23	77	218152_at	0.001	gb:NM_018200.1 /DEF=Homo sapiens high-mobility group 20A (HMG20A), mRNA. /FEA=mRNA /GEN=HMG20A /PROD=high-mobility group 20A /DB_XREF=gi:8922632 /UG=Hs.69594 high-mobility group 20A /FL=gb:AF146222.1 gb:NM_018200.1
24	84	209962_at	0.002	gb:M34986.1 /DEF=Human erythropoietin receptor mRNA, complete cds. /FEA=mRNA /GEN=EPOR /DB_XREF=gi:182200 /UG=Hs.89548 erythropoietin receptor /FL=gb:M34986.1 gb:M60459.1 gb:NM_000121.2
25	106	220692_at	0.002	gb:NM_014147.1 /DEF=Homo sapiens HSPC047 protein (HSPC047), mRNA. /FEA=mRNA /GEN=HSPC047 /PROD=HSPC047 protein /DB_XREF=gi:7661749 /UG=Hs.278943 HSPC047 protein /FL=gb:AF161532.1 gb:NM_014147.1
26	109	218856_at	0.003	gb:NM_016629.1 /DEF=Homo sapiens hypothetical protein (LOC51323), mRNA. /FEA=mRNA /GEN=LOC51323 /PROD=hypothetical protein /DB_XREF=gi:7706171 /UG=Hs.65403 hypothetical protein /FL=gb:BC005192.1 gb:AF208860.1 gb:NM_016629.1
27	116	212154_at	0.003	Consensus includes gb:AI380298 /FEA=EST /DB_XREF=gi:4190151 /DB_XREF=est:tf99h06.x1 /CLONE=IMAGE:2107451 /UG=Hs.1501 syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)
28	123	213558_at	0.003	Consensus includes gb:AB011131.1 /DEF=Homo sapiens mRNA for KIAA0559 protein, partial cds. /FEA=mRNA /GEN=KIAA0559 /PROD=KIAA0559 protein /DB_XREF=gi:3043641 /UG=Hs.12376 piccolo (presynaptic cytomatrix protein)
29	124	207957_s_at	0.003	gb:NM_002738.1 /DEF=Homo sapiens protein kinase C, beta 1 (PRKCB1), mRNA. /FEA=mRNA /GEN=PRKCB1 /PROD=protein kinase C, beta 1 /DB_XREF=gi:4506068 /UG=Hs.77202 protein kinase C, beta 1 /FL=gb:NM_002738.1
30	131	208056_s_at	0.005	gb:NM_005187.2 /DEF=Homo sapiens core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (CBFA2T3), mRNA.  /FEA=mRNA /GEN=CBFA2T3 /PROD=core-binding factor, runt domain, alpha subunit2; translocated to, 3 /DB_XREF=gi:7427510 /UG=Hs.110099 core-binding factor, runt domain, alpha subunit 2; translocated to, 3 /FL=gb:NM_005187.2
31	165	203611_at	0.007	gb:NM_005652.1 /DEF=Homo sapiens telomeric repeat binding factor 2 (TERF2), mRNA. /FEA=mRNA /GEN=TERF2 /PROD=telomeric repeat binding factor 2 /DB_XREF=gi:5032168 /UG=Hs.100030 telomeric repeat binding factor 2 /FL=gb:AF002999.1 gb:NM_005652.1
32	170	204297_at	0.008	gb:NM_002647.1 /DEF=Homo sapiens phosphoinositide-3-kinase, class 3 (PIK3C3), mRNA. /FEA=mRNA /GEN=PIK3C3 /PROD=phosphoinositide-3-kinase, class 3 /DB_XREF=gi:4505800 /UG=Hs.32971 phosphoinositide-3-kinase, class 3 /FL=gb:NM_002647.1
33	172	206591_at	0.008	gb:NM_000448.1 /DEF=Homo sapiens recombination activating gene 1 (RAG1), mRNA. /FEA=mRNA /GEN=RAG1 /PROD=recombination activating gene 1 /DB_XREF=gi:4557840 /UG=Hs.73958 recombination activating gene 1 /FL=gb:M29474.1 gb:NM_000448.1
34	180	212399_s_at	0.008	Consensus includes gb:D50911.2 /DEF=Homo sapiens mRNA for KIAA0121 protein, partial cds. /FEA=mRNA /GEN=KIAA0121 /PROD=KIAA0121 protein /DB_XREF=gi:6633996 /UG=Hs.155584 KIAA0121 gene product
35	182	218627_at	0.009	gb:NM_018370.1 /DEF=Homo sapiens hypothetical protein FLJ11259 (FLJ11259), mRNA. /FEA=mRNA /GEN=FLJ11259 /PROD=hypothetical protein FLJ11259 /DB_XREF=gi:8922957 /UG=Hs.184465 hypothetical protein FLJ11259 /FL=gb:NM_018370.1
36	193	203464_s_at	0.009	gb:NM_014964.1 /DEF=Homo sapiens KIAA1065 protein (KIAA1065), mRNA. /FEA=mRNA /GEN=KIAA1065 /PROD=KIAA1065 protein /DB_XREF=gi:7662467 /UG=Hs.7407 KIAA1065 protein /FL=gb:AF062085.1 gb:AB028988.1 gb:NM_014964.1
37	205	210650_s_at	0.009	gb:BC001304.1 /DEF=Homo sapiens, Similar to aczonin, clone MGC:5486, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to aczonin /DB_XREF=gi:12654916 /UG=Hs.12376 piccolo (presynaptic cytomatrix protein) /FL=gb:BC001304.1
38	247	209035_at	0.012	gb:M69148.1 /DEF=Human midkine mRNA, complete cds. /FEA=mRNA /GEN=hMK-1 /PROD=midkine /DB_XREF=gi:182650 /UG=Hs.82045 midkine (neurite growth-promoting factor 2) /FL=gb:M69148.1 gb:NM_002391.1
39	255	202838_at	0.012	gb:NM_000147.1 /DEF=Homo sapiens fucosidase, alpha-L- 1, tissue (FUCA1), mRNA. /FEA=mRNA /GEN=FUCA1 /PROD=fucosidase, alpha-L- 1, tissue /DB_XREF=gi:4503802 /UG=Hs.576 fucosidase, alpha-L- 1, tissue /FL=gb:M29877.1 gb:NM_000147.1
40	259	218813_s_at	0.012	gb:NM_020145.1 /DEF=Homo sapiens SH3-containing protein SH3GLB2 (LOC56904), mRNA. /FEA=mRNA /GEN=LOC56904 /PROD=SH3-containing protein SH3GLB2 /DB_XREF=gi:9910351 /UG=Hs.30002 SH3-containing protein SH3GLB2 /FL=gb:AF257319.1 gb:NM_020145.1
41	292	213017_at	0.014	Consensus includes gb:AL534702 /FEA=EST /DB_XREF=gi:12798195 /DB_XREF=est:AL534702 /CLONE=CS0DF006YN17 (3 prime) /UG=Hs.13377 Homo sapiens clone 23649 and 23755 unknown mRNA, partial cds
42	299	206574_s_at	0.014	gb:NM_007079.1 /DEF=Homo sapiens protein tyrosine phosphatase type IVA, member 3 (PTP4A3), mRNA.  /FEA=mRNA /GEN=PTP4A3 /PROD=protein tyrosine phosphatase type IVA, member 3 /DB_XREF=gi:6857821 /UG=Hs.43666 protein tyrosine phosphatase type IVA, member 3 /FL=gb:AF041434.1 gb:NM_007079.1
43	308	209228_x_at	0.015	gb:U42349.1 /DEF=Human N33 mRNA, complete cds. /FEA=mRNA /GEN=N33 /DB_XREF=gi:1353672 /UG=Hs.71119 Putative prostate cancer tumor suppressor /FL=gb:U42349.1 gb:NM_006765.1
44	315	209963_s_at	0.015	gb:M34986.1 /DEF=Human erythropoietin receptor mRNA, complete cds. /FEA=mRNA /GEN=EPOR /DB_XREF=gi:182200 /UG=Hs.89548 erythropoietin receptor /FL=gb:M34986.1 gb:M60459.1 gb:NM_000121.2
45	426	205794_s_at	0.024	gb:NM_002515.1 /DEF=Homo sapiens neuro-oncological ventral antigen 1 (NOVA1), transcript variant 1, mRNA.  /FEA=mRNA /GEN=NOVA1 /PROD=neuro-oncological ventral antigen 1, isoform 1 /DB_XREF=gi:4505424 /UG=Hs.214 neuro-oncological ventral antigen 1 /FL=gb:U04840.1 gb:NM_002515.1
46	429	212063_at	0.025	Consensus includes gb:BE903880 /FEA=EST /DB_XREF=gi:10395551 /DB_XREF=est:601494678F1 /CLONE=IMAGE:3896970 /UG=Hs.323950 zinc finger protein 6 (CMPX1)
47	567	208910_s_at	0.036	gb:L04636.1 /DEF=Homo sapiens pre-mRNA splicing factor 2 p32 subunit (SF2p32) mRNA, complete cds.  /FEA=mRNA /PROD=splicing factor /DB_XREF=gi:338044 /UG=Hs.78614 complement component 1, q subcomponent binding protein /FL=gb:NM_001212.2 gb:BC000435.1 gb:L04636.1
48	578	218742_at	0.037	gb:NM_022493.1 /DEF=Homo sapiens hypothetical protein FLJ21988 (FLJ21988), mRNA. /FEA=mRNA /GEN=FLJ21988 /PROD=hypothetical protein FLJ21988 /DB_XREF=gi:11968050 /UG=Hs.22158 hypothetical protein FLJ21988 /FL=gb:NM_022493.1
