ID	Description	P	GenBank accession no.	Cytoband	Genomic imbalance at cytoband in NSCLC	References	More Information
36	hypothetical protein FLJ20585	0.00189	AI336134	2p14-q23.3			High in smokers and low in nonsmokers
37	general transcription factor IIA, 2 (12kD subunit)	0.00192	U21242	15q11.25-q22.33			High in smokers and low in nonsmokers
38	RNA-binding protein regulatory subunit, DJ1	0.00196	AA576779	1p36.33-p36.12	loss(1p36, 40%)	38	High in smokers and low in nonsmokers
39	ASB protein	0.00196	H40863	2q37	loss(2q33, 31%), loss(2q36-q37, 27%), loss(2q32, 63%)	18, 19, 47	High in smokers and low in nonsmokers
40	vesicle-associated soluble NSF attachment protein receptor	0.00211	AA777761	14q23.3			High in smokers and low in nonsmokers
41	DKFZP547E1010 protein	0.00212	AI039693	1p36.1	loss(10q23-q25, 43%), loss(1p36-pter, 64%)	18, 45	High in smokers and low in nonsmokers
42	hypothetical protein FLJ20027	0.00228	AA679314	10pter-q21.2	loss(10p11-q11, 36%), loss(10cen-q25, 100%)	38, 45	High in smokers and low in nonsmokers
43	signal peptidase complex (18kD)	0.00228	AA742432	15q11.2	loss(15q11, 50%), gain(15cen-q26, 52%)	45, 46	High in smokers and low in nonsmokers
44	ESTs	0.00232	AI276082				High in smokers and low in nonsmokers
45	CGI0 protein	0.00246	AA889621	14q22.1-q22.3			High in smokers and low in nonsmokers
