in_house ID	RefSeq ID	annotation
GS2800	NM_004369	Homo sapiens collagen, type VI, alpha 3 (COL6A3), transcript variant 1,mRNA.
GS3822	NA	NA
GS2259	NM_000269	Homo sapiens non-metastatic cells 1, protein (NM23A) expressed in(NME1), mRNA.
GS7765	NM_003752	Homo sapiens eukaryotic translation initiation factor 3, subunit 8,110kDa (EIF3S8), mRNA.
GS15655	NM_006893	Homo sapiens ligatin (LGTN), mRNA.
GS3880	NM_000088	Homo sapiens collagen, type I, alpha 1 (COL1A1), mRNA.
GS3954	NM_004889	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0complex, subunit f, isoform 2 (ATP5J2), mRNA.
GS15141	NM_001511	Homo sapiens chemokine (C-X-C motif) ligand 1 (melanoma growthstimulating activity, alpha) (CXCL1), mRNA.
GS2256	NM_004176	Homo sapiens sterol regulatory element binding transcription factor 1(SREBF1), mRNA.
GS15300	NM_022104	Homo sapiens chromosome 20 open reading frame 67 (C20orf67), mRNA.
GS14821	NA	NA
GS6765	NM_004356	Homo sapiens CD81 antigen (target of antiproliferative antibody 1)(CD81), mRNA.
GS15851	NM_020246	Homo sapiens cation-chloride cotransporter-interacting protein(CIP1), mRNA.
GS6406	NA	NA
GS559	NM_020644	Homo sapiens chromosome 11 open reading frame 15 (C11orf15), mRNA.
GS3645	NM_030978	Homo sapiens hypothetical protein similar to actin related protein2/3 complex, subunit 5 (MGC3038), mRNA.
GS1860	NM_001307	Homo sapiens claudin 7 (CLDN7), mRNA.
GS3044	NM_004870	Homo sapiens mannose-P-dolichol utilization defect 1 (MPDU1), mRNA.
GS388	NA	NA
GS1178	NM_002018	Homo sapiens flightless I homolog (Drosophila) (FLII), mRNA.
GS785	NA	NA
GS3668	NM_138820	Homo sapiens hypothetical protein MGC2198 (MGC2198), mRNA.
GS282	NM_000214	Homo sapiens jagged 1 (Alagille syndrome) (JAG1), mRNA.
LT62	J02611	apolipoprotein D mRNA
GS3271	NM_007262	Homo sapiens RNA-binding protein regulatory subunit (DJ-1), mRNA.
GS145	NM_001006	Homo sapiens ribosomal protein S3A (RPS3A), mRNA.
GS1767	NA	NA
GS15150	NM_006867	Homo sapiens RNA-binding protein gene with multiple splicing (RBPMS),mRNA.
GS2131	NG_001158	Homo sapiens metallothionein 2 pseudogene 1 (processed) (MT2P1) onchromosome 4.
GS14979	NM_000521	Homo sapiens hexosaminidase B (beta polypeptide) (HEXB), mRNA.
GS4343	NM_002801	Homo sapiens proteasome (prosome, macropain) subunit, beta type, 10(PSMB10), mRNA.
GS4679	NM_148919	Homo sapiens proteasome (prosome, macropain) subunit, beta type, 8(large multifunctional protease 7) (PSMB8), transcriptvariant 2, mRNA.
GS14741	NM_000547	Homo sapiens thyroid peroxidase (TPO), nuclear gene encodingmitochondrial protein, mRNA.
GS10198	NM_006389	Homo sapiens hypoxia up-regulated 1 (HYOU1), mRNA.
GS1375	NM_000294	Homo sapiens phosphorylase kinase, gamma 2 (testis) (PHKG2), mRNA.
GS14954	NM_022126	Homo sapiens phospholysine phosphohistidine inorganic pyrophosphatephosphatase (LHPP), mRNA.
GS4438	NM_018475	Homo sapiens TPA regulated locus (TPARL), mRNA.
GS2196	NM_017432	Homo sapiens prostate tumor over expressed gene 1 (PTOV1), mRNA.
GS4083	NM_006284	Homo sapiens TAF10 RNA polymerase II, TATA box binding protein(TBP)-associated factor, 30kDa (TAF10), mRNA.
GS701	NM_003753	Homo sapiens eukaryotic translation initiation factor 3, subunit 7zeta, 66/67kDa (EIF3S7), mRNA.
GS12646	NM_015439	Homo sapiens chemokine C-C motif receptor-like 1 adjacent (CCRL1AP),mRNA.
GS7512	NA	NA
GS2557	NM_005678	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant1, mRNA.
GS4351	NA	NA
GS2282	NM_022551	Homo sapiens ribosomal protein S18 (RPS18), mRNA.
GS688	NM_021212	Homo sapiens HCF-binding transcription factor Zhangfei (ZF), mRNA.
GS367	NM_012423	Homo sapiens ribosomal protein L13a (RPL13A), mRNA.
GS4266	NM_005324	Homo sapiens H3 histone, family 3B (H3.3B) (H3F3B), mRNA.
GS15876	NM_015666	Homo sapiens GTP binding protein 5 (putative) (GTPBP5), mRNA.
GS15315	NM_014454	Homo sapiens p53 regulated PA26 nuclear protein (PA26), mRNA.
GS191	NM_005594	Homo sapiens nascent-polypeptide-associated complex alphapolypeptide (NACA), mRNA.
LT30	J02761	pulmonary surfactant-associated protein SP-B
GS4301	NM_001009	Homo sapiens ribosomal protein S5 (RPS5), mRNA.
GS1911	NM_172369	Homo sapiens complement component 1, q subcomponent, gammapolypeptide (C1QG), mRNA.
GS5925	NM_000093	Homo sapiens collagen, type V, alpha 1 (COL5A1), mRNA.
GS6979	NM_018083	Homo sapiens zinc finger protein 358 (ZNF358), mRNA.
GS7292	NM_001674	Homo sapiens activating transcription factor 3 (ATF3), mRNA.
GS3416	NM_032272	Homo sapiens homolog of yeast MAF1 (MAF1), mRNA.
GS2564	NM_002046	Homo sapiens glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.
GS10965	NM_145309	Homo sapiens Hypothetical 55.1 kDa protein F09G8.5 in chromosome III(LOC220074), mRNA.
GS15349	NM_002023	Homo sapiens fibromodulin (FMOD), mRNA.
GS15114	NG_001547	Homo sapiens lectin, galactoside-binding, soluble, 9 (galectin 9)pseudogene (LOC147158) on chromosome 17.
GS1774	NM_001312	Homo sapiens cysteine-rich protein 2 (CRIP2), mRNA.
GS827	NM_002121	Homo sapiens major histocompatibility complex, class II, DP beta 1(HLA-DPB1), mRNA.
GS2290	NM_004902	Homo sapiens RNA-binding region (RNP1, RRM) containing 2 (RNPC2),mRNA.
GS1771	NM_016311	Homo sapiens ATPase inhibitory factor 1 (ATPIF1), mRNA.
GS1744	NM_052951	Homo sapiens chromosome 20 open reading frame 167 (C20orf167), mRNA.
GS11899	NM_000120	Homo sapiens epoxide hydrolase 1, microsomal (xenobiotic) (EPHX1),mRNA.
GS4889	NA	NA
GS7262	NM_006184	Homo sapiens nucleobindin 1 (NUCB1), mRNA.
GS8037	NM_003928	Homo sapiens CAAX box 1 (CXX1), mRNA.
GS3284	NA	NA
GS15419	NM_000396	Homo sapiens cathepsin K (pycnodysostosis) (CTSK), mRNA.
GS8323	NM_018107	Homo sapiens RNA-binding region (RNP1, RRM) containing 4 (RNPC4),mRNA.
GS12637	NM_133443	Homo sapiens glutamic pyruvate transaminase (alanineaminotransferase) 2 (GPT2), mRNA.
GS4925	NM_004315	Homo sapiens N-acylsphingosine amidohydrolase (acid ceramidase) 1(ASAH1), mRNA.
GS9796	NM_139273	Homo sapiens cysteinyl-tRNA synthetase (CARS), transcript variant 1,mRNA.
GS14896	NM_015906	Homo sapiens tripartite motif-containing 33 (TRIM33), transcriptvariant alpha, mRNA.
GS15257	NM_145267	Homo sapiens similar to RIKEN cDNA 1110058L19 (LOC135154), mRNA.
GS1484	NM_002547	Homo sapiens oligophrenin 1 (OPHN1), mRNA.
GS3879	NA	NA
GS537	NM_007209	Homo sapiens ribosomal protein L35 (RPL35), mRNA.
GS6633	NA	NA
GS303	NM_013349	Homo sapiens secreted protein of unknown function (SPUF), mRNA.
GS11844	NM_004475	Homo sapiens flotillin 2 (FLOT2), mRNA.
GS10097	NM_014056	Homo sapiens likely ortholog of mouse hypoxia induced gene 1(HIG1), mRNA.
GS1906	NM_080748	Homo sapiens chromosome 20 open reading frame 52 (C20orf52), mRNA.
GS15710	NM_001033	Homo sapiens ribonucleotide reductase M1 polypeptide (RRM1), mRNA.
GS9440	NM_006644	Homo sapiens heat shock 105kD (HSP105B), mRNA.
GS3492	NM_019554	Homo sapiens S100 calcium binding protein A4 (calcium protein,calvasculin, metastasin, murine placental homolog)(S100A4), transcript variant 2, mRNA.
GS5558	NM_057092	Homo sapiens FK506 binding protein 2, 13kDa (FKBP2), transcriptvariant 2, mRNA.
GS6784	NM_014599	Homo sapiens melanoma antigen, family D, 2 (MAGED2), mRNA.
LT85	NM_005631	SMOH(smoothened (Drosophila) homolog)
GS4057	NM_004168	Homo sapiens succinate dehydrogenase complex, subunit A, flavoprotein(Fp) (SDHA), nuclear gene encoding mitochondrial protein,mRNA.
GS4062	NM_020650	Homo sapiens hypothetical protein LOC57333 (LOC57333), mRNA.
GS1417	NM_001487	Homo sapiens GCN5 general control of amino-acid synthesis 5-like 1(yeast) (GCN5L1), mRNA.
GS663	NM_003769	Homo sapiens splicing factor, arginine/serine-rich 9 (SFRS9), mRNA.
GS1250	NM_145690	Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenaseactivation protein, zeta polypeptide (YWHAZ), transcriptvariant 2, mRNA.
GS14749	NM_152367	Homo sapiens hypothetical protein FLJ38716 (FLJ38716), mRNA.
LT13	NM_001904	catenin (cadherin-associated protein), beta 1
GS15128	NM_001610	Homo sapiens acid phosphatase 2, lysosomal (ACP2), mRNA.
GS2499	NM_016139	Homo sapiens 16.7Kd protein (LOC51142), mRNA.
GS4251	NA	NA
GS193	NM_001023	Homo sapiens ribosomal protein S20 (RPS20), mRNA.
GS453	NM_001867	Homo sapiens cytochrome c oxidase subunit VIIc (COX7C), nucleargene encoding mitochondrial protein, mRNA.
GS3841	NM_002817	Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase,13 (PSMD13), mRNA.
GS4236	NM_005051	Homo sapiens glutaminyl-tRNA synthetase (QARS), mRNA.
GS3745	NM_005564	Homo sapiens lipocalin 2 (oncogene 24p3) (LCN2), mRNA.
GS969	NM_003343	Homo sapiens ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)(UBE2G2), mRNA.
GS1176	NM_004374	Homo sapiens cytochrome c oxidase subunit VIc (COX6C), nuclear geneencoding mitochondrial protein, mRNA.
GS1427	NM_024537	Homo sapiens hypothetical protein FLJ12118 (FLJ12118), mRNA.
GS3814	NM_002496	Homo sapiens NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa(NADH-coenzyme Q reductase) (NDUFS8), mRNA.
GS6228	NM_005038	Homo sapiens peptidylprolyl isomerase D (cyclophilin D) (PPID), mRNA.
LT32	U90441	prolyl 4-hydroxylase alpha (II) subunit mRNA
GS7778	NM_001833	Homo sapiens clathrin, light polypeptide (Lca) (CLTA), transcriptvariant nonbrain, mRNA.
GS1859	NM_002273	Homo sapiens keratin 8 (KRT8), mRNA.
GS599	NM_001011	Homo sapiens ribosomal protein S7 (RPS7), mRNA.
GS6135	NM_002084	Homo sapiens glutathione peroxidase 3 (plasma) (GPX3), mRNA.
GS3773	NM_005758	Homo sapiens heterogeneous nuclear ribonucleoprotein A3 (HNRPA3),mRNA.
GS3697	NM_006118	Homo sapiens HS1 binding protein (HAX1), mRNA.
GS3428	NM_003663	Homo sapiens CGG triplet repeat binding protein 1 (CGGBP1), mRNA.
GS273	NM_004046	Homo sapiens ATP synthase, H+ transporting, mitochondrial F1 complex,alpha subunit, isoform 1, cardiac muscle (ATP5A1), mRNA.
GS224	NM_021104	Homo sapiens ribosomal protein L41 (RPL41), mRNA.
GS6250	NM_002720	Homo sapiens protein phosphatase 4 (formerly X), catalytic subunit(PPP4C), mRNA.
GS4923	NM_003254	Homo sapiens tissue inhibitor of metalloproteinase 1 (erythroidpotentiating activity, collagenase inhibitor) (TIMP1),mRNA.
GS3329	NM_014944	Homo sapiens calsyntenin 1 (CLSTN1), mRNA.
GS6937	NA	NA
GS15575	NM_000270	Homo sapiens nucleoside phosphorylase (NP), mRNA.
GS1552	NM_005765	Homo sapiens ATPase, H+ transporting, lysosomal (vacuolar protonpump) membrane sector associated protein M8-9 (ATP6M8-9),mRNA.
GS1645	NM_016106	Homo sapiens vesicle transport-related protein (RA410), mRNA.
GS3418	NM_170679	Homo sapiens S-phase kinase-associated protein 1A (p19A) (SKP1A),transcript variant 2, mRNA.
GS672	NM_001015	Homo sapiens ribosomal protein S11 (RPS11), mRNA.
GS3926	NM_079423	Homo sapiens myosin, light polypeptide 6, alkali, smooth muscle andnon-muscle (MYL6), transcript variant 2, mRNA.
GS7670	NM_001261	Homo sapiens cyclin-dependent kinase 9 (CDC2-related kinase) (CDK9),mRNA.
GS9785	NA	NA
GS4839	NM_014740	Homo sapiens KIAA0111 gene product (KIAA0111), mRNA.
GS3980	NA	NA
GS4986	NM_006888	Homo sapiens calmodulin 1 (phosphorylase kinase, delta) (CALM1),mRNA.
GS12867	NM_014216	Homo sapiens inositol 1,3,4-triphosphate 5/6 kinase (ITPK1), mRNA.
GS2905	NM_003746	Homo sapiens dynein, cytoplasmic, light polypeptide 1 (DNCL1),mRNA.
GS15006	NM_017567	Homo sapiens N-acetylglucosamine kinase (NAGK), mRNA.
GS262	NM_000978	Homo sapiens ribosomal protein L23 (RPL23), mRNA.
GS1054	NM_003217	Homo sapiens testis enhanced gene transcript (TEGT), mRNA.
GS14876	NM_016486	Homo sapiens hypothetical protein LOC51249 (LOC51249), mRNA.
GS392	NG_001019	Homo sapiens immunoglobulin heavy locus (IGH.1@) on chromosome 14.
GS720	NM_001004	Homo sapiens ribosomal protein, large P2 (RPLP2), mRNA.
GS1949	NM_000942	Homo sapiens peptidylprolyl isomerase B (cyclophilin B) (PPIB),mRNA.
GS209	NM_001967	Homo sapiens eukaryotic translation initiation factor 4A, isoform 2(EIF4A2), mRNA.
GS3136	NM_001320	Homo sapiens casein kinase 2, beta polypeptide (CSNK2B), mRNA.
GS2783	NM_002791	Homo sapiens proteasome (prosome, macropain) subunit, alpha type, 6(PSMA6), mRNA.
GS13682	NM_006427	Homo sapiens CD27-binding (Siva) protein (SIVA), transcript variant1, mRNA.
GS228	NM_002823	Homo sapiens prothymosin, alpha (gene sequence 28) (PTMA), mRNA.
GS311	NM_001642	Homo sapiens amyloid beta (A4) precursor-like protein 2 (APLP2),mRNA.
GS337	NA	NA
GS3198	NM_005727	Homo sapiens tetraspan 1 (TSPAN-1), mRNA.
GS1459	NA	NA
GS15441	NM_012088	Homo sapiens 6-phosphogluconolactonase (PGLS), mRNA.
GS7535	NA	NA
GS12672	NM_015874	Homo sapiens H-2K binding factor-2 (KBF2), mRNA.
GS1079	NM_016630	Homo sapiens acid cluster protein 33 (ACP33), mRNA.
GS2237	NM_000977	Homo sapiens ribosomal protein L13 (RPL13), transcript variant 1,mRNA.
GS3336	NM_015638	Homo sapiens chromosome 20 open reading frame 188 (C20orf188), mRNA.
GS6780	NM_007121	Homo sapiens nuclear receptor subfamily 1, group H, member 2 (NR1H2),mRNA.
GS1317	NM_012158	Homo sapiens F-box and leucine-rich repeat protein 3A (FBXL3A), mRNA.
GS14186	NA	NA
GS8637	NM_018840	Homo sapiens putative Rab5-interacting protein (RIP5), mRNA.
GS1420	NM_005243	Homo sapiens Ewing sarcoma breakpoint region 1 (EWSR1), transcriptvariant EWS, mRNA.
GS2893	NA	NA
GS3390	NM_003944	Homo sapiens selenium binding protein 1 (SELENBP1), mRNA.
GS190	NM_000661	Homo sapiens ribosomal protein L9 (RPL9), mRNA.
GS13671	NM_002450	Homo sapiens metallothionein 1L (MT1L), mRNA.
GS1819	NM_015416	Homo sapiens cervical cancer 1 protooncogene (DKFZP586A011), mRNA.
GS15208	NM_138334	Homo sapiens hypothetical transmembrane protein SBBI54 (SBBI54),mRNA.
GS7539	NA	NA
GS2252	NM_000295	Homo sapiens serine (or cysteine) proteinase inhibitor, clade A(alpha-1 antiproteinase, antitrypsin), member 1(SERPINA1), mRNA.
GS1673	NM_004890	Homo sapiens sperm associated antigen 7 (SPAG7), mRNA.
GS4727	NM_000138	Homo sapiens fibrillin 1 (Marfan syndrome) (FBN1), mRNA.
GS10468	NM_000692	Homo sapiens aldehyde dehydrogenase 1 family, member B1 (ALDH1B1),nuclear gene encoding mitochondrial protein, mRNA.
GS1562	NA	NA
GS2782	NM_001288	Homo sapiens chloride intracellular channel 1 (CLIC1), mRNA.
GS2759	NM_017812	Homo sapiens hypothetical protein FLJ20420 (FLJ20420), mRNA.
GS376	NM_014977	Homo sapiens apoptotic chromatin condensation inducer in the nucleus(ACINUS), mRNA.
GS15119	NM_032203	Homo sapiens hypothetical protein FLJ21423 (FLJ21423), mRNA.
GS617	NM_001021	Homo sapiens ribosomal protein S17 (RPS17), mRNA.
GS2828	NG_000002	Homo sapiens immunoglobulin lambda locus (IGL@) on chromosome 22.
GS2882	NM_005770	Homo sapiens small EDRK-rich factor 2 (SERF2), mRNA.
GS2763	NM_006986	Homo sapiens melanoma antigen, family D, 1 (MAGED1), mRNA.
GS454	NM_002948	Homo sapiens ribosomal protein L15 (RPL15), mRNA.
GS1390	NM_021130	Homo sapiens peptidylprolyl isomerase A (cyclophilin A) (PPIA),mRNA.
GS3711	NM_006142	Homo sapiens stratifin (SFN), mRNA.
GS2803	NM_001305	Homo sapiens claudin 4 (CLDN4), mRNA.
GS2137	NA	NA
GS1834	NM_002087	Homo sapiens granulin (GRN), mRNA.
GS5511	NM_021131	Homo sapiens protein phosphatase 2A, regulatory subunit B (PR 53)(PPP2R4), mRNA.
GS15651	NM_006412	Homo sapiens 1-acylglycerol-3-phosphate O-acyltransferase 2(lysophosphatidic acid acyltransferase, beta) (AGPAT2),mRNA.
GS1332	NM_001551	Homo sapiens immunoglobulin (CD79A) binding protein 1 (IGBP1), mRNA.
GS15403	NM_015953	Homo sapiens eNOS interacting protein (NOSIP), mRNA.
GS15225	NM_020672	Homo sapiens S100 calcium binding protein A14 (S100A14), mRNA.
GS2181	NM_021128	Homo sapiens polymerase (RNA) II (DNA directed) polypeptide L,7.6kDa (POLR2L), mRNA.
GS14870	NM_006362	Homo sapiens nuclear RNA export factor 1 (NXF1), mRNA.
GS3295	NM_003226	Homo sapiens trefoil factor 3 (intestinal) (TFF3), mRNA.
GS1931	NM_013238	Homo sapiens DNAJ domain-containing (MCJ), mRNA.
GS4202	NM_004542	Homo sapiens NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3,9kDa (NDUFA3), mRNA.
GS1678	NM_000089	Homo sapiens collagen, type I, alpha 2 (COL1A2), mRNA.
GS3628	NG_000834	Homo sapiens immunoglobulin kappa locus, proximal V-cluster and J-Ccluster (IGK-proximal) on chromosome 2.
GS12411	NM_031407	Homo sapiens upstream regulatory element binding protein 1 (UREB1),mRNA.
GS4931	NM_003315	Homo sapiens tetratricopeptide repeat domain 2 (TTC2), mRNA.
GS7180	NM_002904	Homo sapiens RD RNA-binding protein (RDBP), mRNA.
GS10437	NM_003932	Homo sapiens suppression of tumorigenicity 13 (colon carcinoma)(Hsp70 interacting protein) (ST13), mRNA.
GS2419	NM_004500	Homo sapiens heterogeneous nuclear ribonucleoprotein C (C1/C2)(HNRPC), transcript variant 2, mRNA.
GS2242	NM_016039	Homo sapiens CGI-99 protein (CGI-99), mRNA.
GS6382	NM_001613	Homo sapiens actin, alpha 2, smooth muscle, aorta (ACTA2), mRNA.
GS2972	NM_001686	Homo sapiens ATP synthase, H+ transporting, mitochondrial F1 complex,beta polypeptide (ATP5B), nuclear gene encodingmitochondrial protein, mRNA.
GS15722	NM_000661	Homo sapiens ribosomal protein L9 (RPL9), mRNA.
GS3050	NM_018145	Homo sapiens hypothetical protein FLJ10579 (FLJ10579), mRNA.
GS4808	NM_004344	Homo sapiens centrin, EF-hand protein, 2 (CETN2), mRNA.
GS1800	NM_000018	Homo sapiens acyl-Coenzyme A dehydrogenase, very long chain (ACADVL),nuclear gene encoding mitochondrial protein, mRNA.
LT139	NM_004390	CTSH(cathepsin H isoform a preproprotein)
GS2919	NM_004152	Homo sapiens ornithine decarboxylase antizyme 1 (OAZ1), mRNA.
GS283	NM_032378	Homo sapiens eukaryotic translation elongation factor 1 delta(guanine nucleotide exchange protein) (EEF1D), transcriptvariant 1, mRNA.
GS13131	NM_006833	Homo sapiens COP9 subunit 6 (MOV34 homolog, 34 kD) (COPS6), mRNA.
GS741	NM_000992	Homo sapiens ribosomal protein L29 (RPL29), mRNA.
GS2881	NM_001688	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex,subunit b, isoform 1 (ATP5F1), mRNA.
GS6622	NM_006640	Homo sapiens MLL septin-like fusion (MSF), mRNA.
GS7198	NA	NA
GS1264	NM_001861	Homo sapiens cytochrome c oxidase subunit IV isoform 1 (COX4I1),nuclear gene encoding mitochondrial protein, mRNA.
LT46	X90858	mRNA for uridine phosphorylase
GS204	NA	NA
GS113	NM_000975	Homo sapiens ribosomal protein L11 (RPL11), mRNA.
GS786	NM_000999	Homo sapiens ribosomal protein L38 (RPL38), mRNA.
GS6601	NM_001769	Homo sapiens CD9 antigen (p24) (CD9), mRNA.
GS15636	NM_018396	Homo sapiens putative methyltransferase (METL), mRNA.
GS15155	NM_002945	Homo sapiens replication protein A1, 70kDa (RPA1), mRNA.
GS3272	NM_001640	Homo sapiens N-acylaminoacyl-peptide hydrolase (APEH), mRNA.
GS4918	NM_006809	Homo sapiens translocase of outer mitochondrial membrane 34 (TOMM34),mRNA.
GS242	NM_002966	Homo sapiens S100 calcium binding protein A10 (annexin II ligand,calpactin I, light polypeptide (p11)) (S100A10), mRNA.
GS8611	NM_032634	Homo sapiens phosphatidylinositol glycan class O (PIGO), transcriptvariant 1, mRNA.
GS5174	NM_006570	Homo sapiens Ras-related GTP-binding protein (RAGA), mRNA.
GS1847	NM_003089	Homo sapiens small nuclear ribonucleoprotein 70kDa polypeptide (RNPantigen) (SNRP70), mRNA.
GS15599	NM_004103	Homo sapiens protein tyrosine kinase 2 beta (PTK2B), mRNA.
GS137	NM_001030	Homo sapiens ribosomal protein S27 (metallopanstimulin 1) (RPS27),mRNA.
GS15624	NM_000305	Homo sapiens paraoxonase 2 (PON2), mRNA.
GS3087	NM_005717	Homo sapiens actin related protein 2/3 complex, subunit 5, 16kDa(ARPC5), mRNA.
GS2892	NM_004368	Homo sapiens calponin 2 (CNN2), mRNA.
GS15446	NM_025211	Homo sapiens protein kinase anchoring protein GKAP42 (GKAP42), mRNA.
GS4506	NM_017931	Homo sapiens hypothetical protein FLJ20699 (FLJ20699), mRNA.
GS3802	NM_018049	Homo sapiens likely ortholog of mouse guanine nucleotide releasingprotein x (GNRPX), mRNA.
GS292	NM_001032	Homo sapiens ribosomal protein S29 (RPS29), mRNA.
