Probe SetID	Gene Symbol	Gene Title
201860_s_at	PLAT	plasminogen activator, tissue
201886_at	WDR23	WD repeat domain 23
201890_at	RRM2	ribonucleotide reductase M2 polypeptide
201914_s_at	SEC63	SEC63 homolog (S. cerevisiae)
201916_s_at	SEC63	SEC63 homolog (S. cerevisiae)
201930_at	MCM6	minichromosome maintenance complex component 6
201938_at	CDK2AP1	cyclin-dependent kinase 2 associated protein 1
201948_at	GNL2	guanine nucleotide binding protein-like 2 (nucleolar)
201970_s_at	NASP	nuclear autoantigenic sperm protein (histone-binding)
201976_s_at	MYO10	myosin X
202001_s_at	NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa
202005_at	ST14	suppression of tumorigenicity 14 (colon carcinoma)
202080_s_at	TRAK1	trafficking protein, kinesin binding 1
202088_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6
202089_s_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6
202094_at	BIRC5	baculoviral IAP repeat-containing 5
202095_s_at	BIRC5	baculoviral IAP repeat-containing 5
202110_at	COX7B	cytochrome c oxidase subunit VIIb
202146_at	IFRD1	interferon-related developmental regulator 1
202147_s_at	IFRD1	interferon-related developmental regulator 1
202188_at	NUP93	nucleoporin 93kDa
202200_s_at	SRPK1	SFRS protein kinase 1
202204_s_at	AMFR	autocrine motility factor receptor
202208_s_at	ARL4C	ADP-ribosylation factor-like 4C
202233_s_at	UQCRH	ubiquinol-cytochrome c reductase hinge protein
202240_at	PLK1	polo-like kinase 1 (Drosophila)
202268_s_at	NAE1	NEDD8 activating enzyme E1 subunit 1
202269_x_at	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa
202270_at	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa
202276_at	SHFM1	split hand/foot malformation (ectrodactyly) type 1
202307_s_at	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
202329_at	CSK	c-src tyrosine kinase
202338_at	TK1	thymidine kinase 1, soluble
202357_s_at	C2	complement component 2 /// complement factor B
202370_s_at	CBFB	core-binding factor, beta subunit
202371_at	TCEAL4	transcription elongation factor A (SII)-like 4
202376_at	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
202409_at	IGF2	insulin-like growth factor 2 (somatomedin A) /// INS-IGF2 readthrough transcript
202412_s_at	USP1	ubiquitin specific peptidase 1
202454_s_at	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
202466_at	POLS	polymerase (DNA directed) sigma
202483_s_at	RANBP1	RANBP1 RAN binding protein 1
202494_at	PPIE	peptidylprolyl isomerase E (cyclophilin E)
202501_at	MAPRE2	microtubule-associated protein, RP/EB family, member 2
202511_s_at	ATG5	ATG5 autophagy related 5 homolog (S. cerevisiae)
202554_s_at	GSTM3	glutathione S-transferase mu 3 (brain)
202580_x_at	FOXM1	forkhead box M1
202589_at	TYMS	thymidylate synthetase
202599_s_at	NRIP1	nuclear receptor interacting protein 1
202613_at	CTPS	CTP synthase
202622_s_at	ATXN2	ataxin 2
202623_at	EAPP	E2F-associated phosphoprotein
202625_at	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
202641_at	ARL3	ADP-ribosylation factor-like 3
202679_at	NPC1	Niemann-Pick disease, type C1
202698_x_at	COX4I1	cytochrome c oxidase subunit IV isoform 1
202705_at	CCNB2	cyclin B2
202718_at	IGFBP2	insulin-like growth factor binding protein 2, 36kDa
202719_s_at	TES	testis derived transcript (3 LIM domains)
202720_at	TES	testis derived transcript (3 LIM domains)
202735_at	EBP	emopamil binding protein (sterol isomerase)
202752_x_at	SLC7A8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
202754_at	R3HDM1	R3H domain containing 1
202756_s_at	GPC1	glypican 1
202772_at	HMGCL	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase
202776_at	DNTTIP2	deoxynucleotidyltransferase, terminal, interacting protein 2
202779_s_at	LOC731049	similar to Ubiquitin-conjugating enzyme E2S (Ubiquitin-conjugating enzyme E2-24 kDa)
202808_at	C10orf26	chromosome 10 open reading frame 26
202814_s_at	HEXIM1	hexamethylene bis-acetamide inducible 1
202815_s_at	HEXIM1	hexamethylene bis-acetamide inducible 1
202819_s_at	TCEB3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)
202858_at	U2AF1	U2 small nuclear RNA auxiliary factor 1
202870_s_at	CDC20	cell division cycle 20 homolog (S. cerevisiae)
202896_s_at	SIRPA	signal-regulatory protein alpha
202908_at	WFS1	Wolfram syndrome 1 (wolframin)
202917_s_at	S100A8	S100 calcium binding protein A8
202932_at	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
202933_s_at	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
202951_at	STK38	serine/threonine kinase 38
202954_at	UBE2C	ubiquitin-conjugating enzyme E2C
202961_s_at	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2
202982_s_at	ACOT1	acyl-CoA thioesterase 1 /// acyl-CoA thioesterase 2
202996_at	POLD4	polymerase (DNA-directed), delta 4
203009_at	BCAM	basal cell adhesion molecule (Lutheran blood group)
203045_at	NINJ1	ninjurin 1
203050_at	TP53BP1	tumor protein p53 binding protein 1
203066_at	GALNAC4S-6ST	B cell RAG associated protein
203071_at	SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B
203073_at	COG2	component of oligomeric golgi complex 2
203120_at	TP53BP2	tumor protein p53 binding protein, 2
203139_at	DAPK1	death-associated protein kinase 1
203143_s_at	KIAA0040	KIAA0040
203144_s_at	KIAA0040	KIAA0040
203149_at	PVRL2	poliovirus receptor-related 2 (herpesvirus entry mediator B)
203173_s_at	C16orf62	C16orf62 chromosome 16 open reading frame 62
203187_at	DOCK1	dedicator of cytokinesis 1
203226_s_at	TSPAN31	tetraspanin 31
203234_at	UPP1	uridine phosphorylase 1
203246_s_at	TUSC4	tumor suppressor candidate 4
203263_s_at	ARHGEF9	Cdc42 guanine nucleotide exchange factor (GEF) 9
203276_at	LMNB1	lamin B1
203283_s_at	HS2ST1	heparan sulfate 2-O-sulfotransferase 1
203287_at	LAD1	ladinin 1
203315_at	NCK2	NCK adaptor protein 2
203358_s_at	EZH2	enhancer of zeste homolog 2 (Drosophila)
203362_s_at	MAD2L1
203396_at	PSMA4	MAD2 mitotic arrest deficient-like 1 (yeast)
203397_s_at	GALNT3	proteasome (prosome, macropain) subunit, alpha type, 4
203405_at	PSMG1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
203418_at	CCNA2	proteasome (prosome, macropain) assembly chaperone 1
203422_at	POLD1	cyclin A2
203428_s_at	ASF1A	polymerase (DNA directed), delta 1, catalytic subunit 125kDa
203430_at	HEBP2	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)
203438_at	STC2	heme binding protein 2
203439_s_at	STC2	stanniocalcin 2
203453_at	SCNN1A	stanniocalcin 2
203455_s_at	SAT1	sodium channel, nonvoltage-gated 1 alpha
203476_at	TPBG	spermidine/spermine N1-acetyltransferase 1
203513_at	SPG11	trophoblast glycoprotein
203538_at	CAMLG	spastic paraplegia 11 (autosomal recessive)
203554_x_at	PTTG1	calcium modulating ligand
203571_s_at	C10orf116	pituitary tumor-transforming 1
203604_at	ZNF516	chromosome 10 open reading frame 116
203614_at	UTP14C	zinc finger protein 516
203627_at	IGF1R	UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)
203628_at	IGF1R	insulin-like growth factor 1 receptor
203647_s_at	FDX1	insulin-like growth factor 1 receptor
203657_s_at	CTSF	ferredoxin 1
203663_s_at	COX5A	cathepsin F
203682_s_at	IVD	cytochrome c oxidase subunit Va
203685_at	BCL2	isovaleryl Coenzyme A dehydrogenase
203692_s_at	E2F3	B-cell CLL/lymphoma 2
203693_s_at	E2F3	E2F transcription factor 3
203696_s_at	RFC2	E2F transcription factor 3
203702_s_at	TTLL4	replication factor C (activator 1) 2, 40kDa
203710_at	ITPR1	tubulin tyrosine ligase-like family, member 4
203712_at	KIAA0020	inositol 1,4,5-triphosphate receptor, type 1
203740_at	MPHOSPH6	KIAA0020
203749_s_at	RARA	M-phase phosphoprotein 6
203755_at	BUB1B	retinoic acid receptor, alpha
203756_at	ARHGEF17	budding uninhibited by benzimidazoles 1 homolog beta (yeast)
203764_at	DLGAP5	Rho guanine nucleotide exchange factor (GEF) 17
203775_at	SLC25A13	discs, large (Drosophila) homolog-associated protein 5
203805_s_at	FANCA	solute carrier family 25, member 13 (citrin)
203806_s_at	FANCA	Fanconi anemia, complementation group A
203828_s_at	IL32	Fanconi anemia, complementation group A
203834_s_at	TGOLN2	interleukin 32
203856_at	VRK1	trans-golgi network protein 2
203859_s_at	PALM	vaccinia related kinase 1
203896_s_at	PLCB4	paralemmin
203921_at	CHST2	phospholipase C, beta 4
203927_at	NFKBIE	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
203928_x_at	MAPT	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon
203929_s_at	MAPT	microtubule-associated protein tau
203930_s_at	MAPT	microtubule-associated protein tau
203956_at	MORC2	microtubule-associated protein tau
203961_at	NEBL	MORC family CW-type zinc finger 2
203962_s_at	NEBL	nebulette
203963_at	CA12	nebulette
203964_at	NMI	carbonic anhydrase XII
203975_s_at	CHAF1A	N-myc (and STAT) interactor
203988_s_at	FUT8	chromatin assembly factor 1, subunit A (p150)
204023_at	RFC4	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
204029_at	CELSR2	replication factor C (activator 1) 4, 37kDa
204033_at	TRIP13	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)
204045_at	TCEAL1	thyroid hormone receptor interactor 13
204059_s_at	ME1	transcription elongation factor A (SII)-like 1
204060_s_at	PRKX	malic enzyme 1, NADP(+)-dependent, cytosolic
204061_at	PRKX	protein kinase, X-linked /// protein kinase, Y-linked
204067_at	SUOX	protein kinase, X-linked
204072_s_at	FRY	sulfite oxidase
204088_at	P2RX4	furry homolog (Drosophila)
204092_s_at	AURKA	purinergic receptor P2X, ligand-gated ion channel, 4
204117_at	PREP	aurora kinase A
204126_s_at	CDC45L	prolyl endopeptidase
204127_at	RFC3	CDC45 cell division cycle 45-like (S. cerevisiae)
204139_x_at	MZF1	replication factor C (activator 1) 3, 38kDa
204146_at	RAD51AP1	myeloid zinc finger 1
204162_at	NDC80	RAD51 associated protein 1
204165_at	WASF1	NDC80 homolog, kinetochore complex component (S. cerevisiae)
204170_s_at	CKS2	WAS protein family, member 1
204197_s_at	RUNX3	CDC28 protein kinase regulatory subunit 2
204198_s_at	RUNX3	runt-related transcription factor 3
204203_at	CEBPG	runt-related transcription factor 3
204217_s_at	RTN2	CCAAT/enhancer binding protein (C/EBP), gamma
204228_at	PPIH	reticulon 2
204231_s_at	FAAH	peptidylprolyl isomerase H (cyclophilin H)
204244_s_at	DBF4	fatty acid amide hydrolase
204259_at	MMP7	DBF4 homolog (S. cerevisiae)
204304_s_at	PROM1	matrix metallopeptidase 7 (matrilysin, uterine)
204315_s_at	GTSE1	prominin 1
204318_s_at	GTSE1	G-2 and S-phase expressed 1
204343_at	ABCA3	G-2 and S-phase expressed 1
204372_s_at	KHSRP	ATP-binding cassette, sub-family A (ABC1), member 3
204398_s_at	EML2	KH-type splicing regulatory protein
204401_at	KCNN4	echinoderm microtubule associated protein like 2
204430_s_at	SLC2A5	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
204444_at	KIF11	solute carrier family 2 (facilitated glucose/fructose transporter), member 5
204470_at	CXCL1	kinesin family member 11
204475_at	MMP1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)
204495_s_at	C15orf39	matrix metallopeptidase 1 (interstitial collagenase)
204497_at	ADCY9	chromosome 15 open reading frame 39
204500_s_at	AGTPBP1	adenylate cyclase 9
204508_s_at	CA12	ATP/GTP binding protein 1
204510_at	CDC7	carbonic anhydrase XII
204514_at	DPH2	cell division cycle 7 homolog (S. cerevisiae)
204533_at	CXCL10	DPH2 homolog (S. cerevisiae)
204541_at	SEC14L2	chemokine (C-X-C motif) ligand 10
204558_at	RAD54L	SEC14-like 2 (S. cerevisiae)
204568_at	KIAA0831	RAD54-like (S. cerevisiae)
204593_s_at	SMCR7L	KIAA0831
204603_at	EXO1	Smith-Magenis syndrome chromosome region, candidate 7-like
204605_at	CGRRF1	exonuclease 1
204613_at	PLCG2	cell growth regulator with ring finger domain 1
204623_at	TFF3	phospholipase C, gamma 2 (phosphatidylinositol-specific)
204649_at	TROAP	trefoil factor 3 (intestinal)
204667_at	FOXA1	trophinin associated protein (tastin)
204675_at	SRD5A1	forkhead box A1
204686_at	IRS1	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
204695_at	CDC25A	insulin receptor substrate 1
204702_s_at	NFE2L3	cell division cycle 25 homolog A (S. pombe)
204703_at	IFT88	nuclear factor (erythroid-derived 2)-like 3
204735_at	PDE4A	intraflagellar transport 88 homolog (Chlamydomonas)
204766_s_at	NUDT1	phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)
204767_s_at	FEN1	nudix (nucleoside diphosphate linked moiety X)-type motif 1
204769_s_at	TAP2	flap structure-specific endonuclease 1
204775_at	CHAF1B	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
204785_x_at	IFNAR2	chromatin assembly factor 1, subunit B (p60)
204786_s_at	IFNAR2	interferon (alpha, beta and omega) receptor 2
204798_at	MYB	interferon (alpha, beta and omega) receptor 2
204820_s_at	BTN3A2	v-myb myeloblastosis viral oncogene homolog (avian)
204822_at	TTK	butyrophilin, subfamily 3, member A2 /// butyrophilin, subfamily 3, member A3
204825_at	MELK	TTK protein kinase
204837_at	MTMR9	maternal embryonic leucine zipper kinase
204862_s_at	NME3	myotubularin related protein 9
204863_s_at	IL6ST	non-metastatic cells 3, protein expressed in
204881_s_at	UGCG	interleukin 6 signal transducer (gp130, oncostatin M receptor)
204887_s_at	PLK4	UDP-glucose ceramide glucosyltransferase
204913_s_at	SOX11	polo-like kinase 4 (Drosophila)
204914_s_at	SOX11	SRY (sex determining region Y)-box 11
204915_s_at	SOX11	SRY (sex determining region Y)-box 11
204934_s_at	HPN	SRY (sex determining region Y)-box 11
204947_at	E2F1	hepsin
204962_s_at	CENPA	E2F transcription factor 1
204966_at	BAI2	centromere protein A
204975_at	EMP2	brain-specific angiogenesis inhibitor 2
205008_s_at	CIB2	epithelial membrane protein 2
205009_at	TFF1	calcium and integrin binding family member 2
205016_at	TGFA	trefoil factor 1
205024_s_at	RAD51	transforming growth factor, alpha
205030_at	FABP7	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)
205034_at	CCNE2	fatty acid binding protein 7, brain
205046_at	CENPE	cyclin E2
205057_s_at	IDUA	centromere protein E, 312kDa
205059_s_at	IDUA	iduronidase, alpha-L-
205066_s_at	ENPP1	iduronidase, alpha-L-
205074_at	SLC22A5	ectonucleotide pyrophosphatase/phosphodiesterase 1
205081_at	CRIP1	solute carrier family 22 (organic cation/carnitine transporter), member 5
205109_s_at	ARHGEF4	cysteine-rich protein 1 (intestinal)
205141_at	ANG	Rho guanine nucleotide exchange factor (GEF) 4
205158_at	RNASE4	angiogenin, ribonuclease, RNase A family, 5
205160_at	PEX11A	ribonuclease, RNase A family, 4
205186_at	DNALI1	Peroxisomal biogenesis factor 11 alpha
205201_at	GLI3	dynein, axonemal, light intermediate chain 1
205214_at	STK17B	GLI family zinc finger 3
205240_at	GPSM2	serine/threonine kinase 17b
205339_at	STIL	G-protein signaling modulator 2 (AGS3-like, C. elegans)
205347_s_at	TMSB15A	SCL/TAL1 interrupting locus
205354_at	GAMT	thymosin beta 15a
205363_at	BBOX1	guanidinoacetate N-methyltransferase
205376_at	INPP4B	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1
205379_at	CBR3	inositol polyphosphate-4-phosphatase, type II, 105kDa
205380_at	PDZK1	carbonyl reductase 3
205381_at	LRRC17	PDZ domain containing 1
205395_s_at	MRE11A	leucine rich repeat containing 17
205403_at	IL1R2	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)
205436_s_at	H2AFX	interleukin 1 receptor, type II
205447_s_at	MAP3K12	H2A histone family, member X
205448_s_at	MAP3K12	mitogen-activated protein kinase kinase kinase 12
205471_s_at	DACH1	mitogen-activated protein kinase kinase kinase 12
205487_s_at	VGLL1	dachshund homolog 1 (Drosophila)
205495_s_at	GNLY	vestigial like 1 (Drosophila)
205548_s_at	BTG3	granulysin
205569_at	LAMP3	BTG family, member 3
205593_s_at	PDE9A	lysosomal-associated membrane protein 3
205596_s_at	SMURF2	phosphodiesterase 9A
205597_at	SLC44A4	SMAD specific E3 ubiquitin protein ligase 2
205613_at	SYT17	solute carrier family 44, member 4
205617_at	PRRG2	synaptotagmin XVII
205644_s_at	SNRPG	proline rich Gla (G-carboxyglutamic acid) 2
205646_s_at	PAX6	small nuclear ribonucleoprotein polypeptide G
205671_s_at	HLA-DOB	paired box 6
205683_x_at	TPSAB1	major histocompatibility complex, class II, DO beta
205696_s_at	GFRA1	tryptase alpha/beta 1
205711_x_at	ATP5C1	GDNF family receptor alpha 1
205714_s_at	ZMYND10	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
205730_s_at	ABLIM3	zinc finger, MYND-type containing 10
205733_at	BLM	actin binding LIM protein family, member 3
205734_s_at	AFF3	Bloom syndrome, RecQ helicase-like
205735_s_at	AFF3	AF4/FMR2 family, member 3
205776_at	FMO5	AF4/FMR2 family, member 3
205794_s_at	NOVA1	flavin containing monooxygenase 5
205819_at	MARCO	neuro-oncological ventral antigen 1
205860_x_at	FOLH1	macrophage receptor with collagenous structure
205862_at	GREB1	folate hydrolase (prostate-specific membrane antigen) 1
205917_at	ZNF264	GREB1 protein
205936_s_at	HK3	zinc finger protein 264
205943_at	TDO2	hexokinase 3 (white cell)
205948_at	PTPRT	tryptophan 2,3-dioxygenase
205967_at	HIST1H4C	protein tyrosine phosphatase, receptor type, T
206023_at	NMU	histone cluster 1, H4c
206055_s_at	SNRPA1	neuromedin U
206060_s_at	PTPN22	small nuclear ribonucleoprotein polypeptide A
206074_s_at	HMGA1	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)
206081_at	SLC24A1	high mobility group AT-hook 1
206102_at	GINS1	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1
206134_at	ADAMDEC1	GINS complex subunit 1 (Psf1 homolog)
206197_at	NME5	ADAM-like, decysin 1
206214_at	PLA2G7	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)
206245_s_at	IVNS1ABP	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)
206307_s_at	FOXD1	influenza virus NS1A binding protein
206364_at	KIF14	forkhead box D1
206366_x_at	XCL1	kinesin family member 14
206391_at	RARRES1	chemokine (C motif) ligand 1
206392_s_at	RARRES1	retinoic acid receptor responder (tazarotene induced) 1
206401_s_at	MAPT	retinoic acid receptor responder (tazarotene induced) 1
206407_s_at	CCL13	microtubule-associated protein tau
206469_x_at	AKR7A3	chemokine (C-C motif) ligand 13
206486_at	LAG3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)
206499_s_at	RCC1	lymphocyte-activation gene 3
206503_x_at	PML	regulator of chromosome condensation 1 /// SNHG3-RCC1 readthrough transcript
206600_s_at	LOC100133772	promyelocytic leukemia
206632_s_at	APOBEC3B	similar to MCT /// solute carrier family 16, member 5 (monocarboxylic acid transporter 6)
206734_at	JRKL	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
206754_s_at	CYP2B6	jerky homolog-like (mouse)
206869_at	CHAD	cytochrome P450, family 2, subfamily B, polypeptide 6
206974_at	CXCR6	chondroadherin
207030_s_at	CSRP2	chemokine (C-X-C motif) receptor 6
207038_at	SLC16A6	cysteine and glycine-rich protein 2
207039_at	CDKN2A	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
207076_s_at	ASS1	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)
207132_x_at	PFDN5	argininosuccinate synthetase 1
207153_s_at	GLMN	prefoldin subunit 5
207170_s_at	LETMD1	glomulin, FKBP associated protein
207351_s_at	SH2D2A	LETM1 domain containing 1
207551_s_at	MSL3	SH2 domain protein 2A
207828_s_at	CENPF	male-specific lethal 3 homolog (Drosophila)
207843_x_at	CYB5A	centromere protein F, 350/400ka (mitosin)
207891_s_at	HAUS7	cytochrome b5 type A (microsomal)
207998_s_at	CACNA1D	HAUS augmin-like complex, subunit 7 /// three prime repair exonuclease 2
208030_s_at	ADD1	calcium channel, voltage-dependent, L type, alpha 1D subunit
208079_s_at	AURKA	adducin 1 (alpha)
208092_s_at	FAM49A	aurora kinase A
208103_s_at	ANP32E	family with sequence similarity 49, member A
208140_s_at	LRRC48	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
208190_s_at	LSR	leucine rich repeat containing 48
208305_at	PGR	lipolysis stimulated lipoprotein receptor
208393_s_at	RAD50	progesterone receptor
208433_s_at	LRP8	RAD50 homolog (S. cerevisiae)
208451_s_at	C4A	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor
208503_s_at	GATAD1	complement component 4A (Rodgers blood group) /// complement component 4B (Chido blood group)
208517_x_at	BTF3	GATA zinc finger domain containing 1
208611_s_at	SPTAN1	basic transcription factor 3
208613_s_at	FLNB	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
208614_s_at	FLNB	filamin B, beta (actin binding protein 278)
208616_s_at	PTP4A2	filamin B, beta (actin binding protein 278)
208627_s_at	YBX1	protein tyrosine phosphatase type IVA, member 2
208628_s_at	YBX1	Y box binding protein 1
208682_s_at	MAGED2	Y box binding protein 1
208693_s_at	GARS	melanoma antigen family D, 2
208712_at	CCND1	glycyl-tRNA synthetase
208749_x_at	FLOT1	cyclin D1
208764_s_at	ATP5G2	flotillin 1
208788_at	ELOVL5	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)
