Symbol	Name	Keyword	Significance (p-log)	Average signal intensity	Up/down-regulation	Average increase (fold change)
HSPA1L	Homo sapiens HSPA1L mRNA for Heat shock protein 70 testis variant, complete cds; Heat shock 70kD protein-like 1	HSPA1L; Heat shock protein 70 testis variant	1.87E-06	4484	down	0.504
GRO2	Human mRNA for macrophage inflammatory protein-2alpha (MIP2alpha,; GRO2 oncogene	macrophage inflammatory protein	1.91E-06	7022	up	3.362
BAG4	Homo sapiens silencer of death domains (SODD) mRNA; BCL2-associated athanogene 4	Prevention of Constitutive TNF Receptor 1 Signaling by Silencer of Death Domains	3.13E-06	2319	up	2.616
RBBP4	Human chromatin assembly factor 1 p48 subunit (CAF1 p48 subunit); retinoblastoma-binding protein 4	binding protein; retinoblastoma binding protein	3.13E-06	5046	down	0.562
PRKDC	Homo sapiens DNA-dependent protein kinase catalytic subunit (DNA-PKcs) mRNA	DNA-dependent protein kinase catalytic subunit: a relative of phosphatidylinositol 3-kinase and the ataxia telangiectasia gene product	3.36E-06	1254	down	0.494
RASSF1	Homo sapiens putative tumor suppressor protein (RDA32) mRNA, complete cds	RDA32, a candidate tumor supressor gene with homology to mouse putative ras effector nore1, a gene located in the 3p21.3 small cell lung cancer homozygous deletion region	3.49E-06	1590	down	0.491
TOP2A	Human DNA topoisomerase II (top2) mRNA, complete cds	Cloning and sequencing of cDNA encoding human DNA topoisomerase II and localization of the gene to chromosome region 17q21-22	4.82E-06	1605	up	2.065
DAXX	Homo sapiens Fas-binding protein Daxx mRNA, complete cds	Cloning and expression of primate Daxx cDNAs and mapping of the human gene to chromosome 6p21.3 in the MHC region	5.16E-06	3353	down	0.631
EGF	Human mRNA for kidney epidermal growth factor (EGF) precursor; urogastrone	epidermal growth factor; glycoprotein; growth factor; membrane protein; signal peptide	5.74E-06	1879	down	0.678
NPR2L	Homo sapiens candidate tumor suppressor gene 21 protein mRNA, complete cds	Homologous to yeast nitrogen permease (candidate tumor suppressor)	1.13E-05	2447	down	0.649
ATM	Human ataxia telangiectasia (ATM) mRNA	The complete sequence of the coding region of the ATM gene reveals similarity to cell cycle regulators in different species	1.26E-05	1210	down	0.508
PPP3CB	Human calcineurin A2 mRNA;	Cloning of human calcineurin A: Evidence for two isozymes identification of a polyproline structural domain	1.32E-05	1647	down	0.565
CD79B	Human immunoglobulin superfamily member B cell receptor complex cell surface glycoprotein (IGB) mRNA, CD79B	B cell receptor complex; cell surface glycoprotein	1.68E-05	3053	down	0.575
HSPA1A	Homo sapiens heat shock 70kD protein 1 (HSPA1A), mRNA; Heat shock 70kD protein 1	Human major histocompatibility complex contains genes for the major heat shock protein HSP70	1.74E-05	46063	down	0.507
IL2RG	Human mRNA for interleukin 2 receptor gamma chain	interleukin 2 receptor; interleukin 2 receptor gamma chain	1.90E-05	3447	down	0.614
E2F4	Homo sapiens E2F transcription factor 4, p107/p130-binding (E2F4)	E2F-4, a new member of the E2F transcription factor family, interacts with p107	1.95E-05	1237	down	0.655
NR1D1	Homo sapiens mRNA for Rev-ErbAalpha protein (hRev gene).	Isolation of a cDNA encoding human Rev-ErbA alpha: transcription from the noncoding DNA strand of a thyroid hormone receptor gene results in a related protein that does not bind thyroid hormone	2.15E-05	3455	up	1.762
DTR	Human heparin-binding EGF-like growth factor mRNA (HBEGF); diphtheria toxin receptor (DTR)	heparin-binding EGF-like growth factor	2.36E-05	7963	up	2.3
MSH2	Human DNA mismatch repair protein MSH2	Mutations of a mutS homolog in hereditary nonpolyposis colorectal cancer	2.48E-05	3411	down	0.556
BCL3	Human B-cell lymphoma 3-encoded protein (bcl-3) mRNA, complete cds	The candidate proto-oncogene bcl-3 is related to genes implicated in cell lineage determination and cell cycle control	2.49E-05	5159	up	1.77
TGFB1	Human transforming growth factor-beta (TGF-beta; TGFB)	signal peptide; transforming growth factor-beta	2.52E-05	1476	down	0.482
GABPB1	Homo sapiens GA-binding protein transcription factor, beta subunit 1 (53kD); nuclear respiratory factor-2	Identity of GABP with NRF-2, a multisubunit activator of cytochrome oxidase expression, reveals a cellular role for an ETS domain activator of viral promoters	2.90E-05	2760	down	0.597
CDK10	Homo sapiens CDC2-related protein kinase (PISSLRE) mRNA; Cyclin-dependent kinase (CDC2-like) 10	PISSLRE, a human novel CDC2-related protein kinase	3.06E-05	1349	down	0.595
ADPRT	Human poly(ADP-ribose) polymerase mRNA (ADPRT), PARP	human fibroblast poly(ADP-ribose) polymerase	3.24E-05	13490	down	0.629
CD3D	Homo sapiens CD3D antigen, delta polypeptide (TiT3 complex) (CD3D), mRNA	Exon/intron organization of the genes coding for the delta chains of the human and murine T-cell receptor/T3 complex	3.56E-05	1769	down	0.66
ATP2C1	ATPase, Ca++-sequestering	Hailey-Hailey disease is caused by mutations in ATP2C1 encoding a novel Ca(2+) pump	3.59E-05	3775	down	0.658
STIP1	Homo sapiens stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)	Molecular cloning and expression of a transformation-sensitive human protein containing the TPR motif and sharing identity to the stress-inducible yeast protein STI1	3.66E-05	1107	down	0.615
AGTRL2	Homo sapiens angiotensin receptor-like 2 (AGTRL2)	Molecular cloning of a novel platelet protein showing homology to the angiotensin II receptor C-terminal domain	3.96E-05	1145	down	0.645
ISGF3G	Human IFN-responsive transcription factor subunit mRNA; Interferon-stimulated transcription factor 3, gamma (48kD); p48	DNA-binding protein; IFN-alpha responsive transcription factor; ISGF3-gamma protein	4.60E-05	6266	down	0.59
RAB9	Human small GTP binding protein Rab9 mRNA, complete cds.	Cloning and mapping of human Rab7 and Rab9 cDNA sequences and identification of a Rab9 pseudogene	1.36E-04	3390	down	0.592
