No	Probe Set ID	Gene Title	Gene Symbol	GO Biologic Process	GO Molecular Function
41	213737_x_at	Hypothetical LOC283768	LOC283768	NA	NA
42	212676_at	Neurofibromin 1	NF1	Cell cycle	Enzyme inhibitor activity
43	53202_at	Chromosome 7 open reading frame 25	C7orf25	NA	NA
44	212594_at	Programmed cell death 4	PDCD4	Apoptosis	NA
45	203789_s_at	Semaphoring 3C	SEMA3C	Immune response	NA
46	212760_at	Ubiquitin protein ligase E3 component n-recognin 2	UBR2	Protein ubiquitination	Ubiquitin-protein ligase activity
47	218604_at	LEM domain containing 3	LEMD3		Nucleotide binding
48	AFFX-DapX-5_at	NA	NA	NA	NA
49	203096_s_at	Rap guanine nucleotide exchange factor (GEF) 2	RAPGEF2	MAPKKK cascade	Signal transducer activity
50	203249_at	Enhancer of zeste homolog 1 (Drosophila)	EZH1	Transcription	DNA binding
51	201672_s_at	Ubiquitin specific protease 14	USP14	Ubiquitin-dependent protein catabolism	Cysteine-type endopeptidase activity
52	217774_s_at	Hypothetical protein HSPC152	HSPC152	NA	NA
53	219004_s_at	Chromosome 21 open reading frame 45	C21orf45	NA	NA
54	201909_at	Ribosomal protein S4, Y-linked 1	RPS4Y1	Protein biosynthesis	RNA binding
55	202589_at	Thymidylate synthetase	TYMS	Nucleic acid metabolism	Thymidylate synthase activity
56	217564_s_at	Carbamoyl-phosphate synthetase 1, mitochondrial	CPS1	Urea cycle	Nucleotide binding
57	201539_s_at	Four and a one-half LIM domains 1	FHL1	Muscle development	Zinc ion binding
58	205436_s_at	H2A histone family, member X	H2AFX	Nucleosome assembly	DNA binding
59	210655_s_at	Forkhead box O3A	FOXO3A	Transcription	Transcription factor activity
60	214737_x_at	Heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRPC	RNA splicing	Nucleotide binding
61	219090_at	Solute carrier family 24, member 3	SLC24A3	Ion transport	Calcium ion binding
62	202747_s_at	Integral membrane protein 2A	ITM2A	NA	NA
63	217294_s_at	Enolase 1, (alpha)	ENO1	Glycolysis	Magnesium ion binding
64	212679_at	Transducin (beta)-like 2	TBL2	NA	NA
65	202671_s_at	Pyridoxal (pyridoxine, vitamin B6) kinase	PDXK	NA	Nucleotide binding
66	201241_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	DDX1	Spliceosome assembly	Nucleotide binding
67	207740_s_at	Nucleoporin 62kDa	NUP62	Transport	Porin activity
68	216984_x_at	Immunoglobulin lambda variable 3–21	IGLC2	Immune response	Antigen binding
69	203572_s_at	TAF6 RNA polymerase II	TAF6	Transcription	Transcription factor activity
70	212626_x_at	Heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRPC	RNA splicing	Nucleotide binding
71	216952_s_at	Lamin B2	LMNB2	NA	Structural molecule activity
72	217466_x_at	Ribosomal protein S2	RPS2	Protein biosynthesis	RNA binding
73	212702_s_at	Bicaudal D homolog 2 (Drosophila)	BICD2	NA	NA
74	221851_at	Hypothetical protein BC002926	LOC90379	NA	NA
75	212481_s_at	Tropomyosin 4	TPM4	Muscle development	Actin binding
76	209026_x_at	Tubulin, beta polypeptide	TUBB	Microtubule-based movement	Nucleotide binding
77	200859_x_at	Filamin A, alpha (actin binding protein 280)	FLNA	Cell motility	Actin binding
78	218621_at	HemK methyltransferase family member 1	HEMK1	DNA methylation	DNA binding
79	214777_at	NA	NA	NA	NA
80	202870_s_at	CDC20 cell division cycle 20 homolog (S. cerevisiae)	CDC20	Regulation of cell cycle	NA
81	217946_s_at	SUMO-1 activating enzyme subunit 1	SAE1	Protein ubiquitination	Ubiquitin activating enzyme activity
82	218741_at	Chromosome 22 open reading frame 18	C22orf18		NA
83	211787_s_at	Eukaryotic translation initiation factor 4A, isoform	EIF4A1	Protein biosynthesis	Nucleotide binding
84	215665_at	Hydroxy-delta-5-steroid dehydrogenase, 3 beta 2	HSD3B2	C21-steroid hormone biosynthesis	3-beta-hydroxy-delta5-steroid dehydrogenase
85	200948_at	Myeloid leukemia factor 2	MLF2	Defense response	NA
86	201727_s_at	ELAV -like 1	ELAVL1	RNA catabolism	Nucleotide binding
87	208766_s_at	Heterogeneous nuclear ribonucleoprotein R	HNRPR	mRNA processing	Nucleotide binding
88	214967_at	CDNA FLJ12055 fis, clone HEMBB1002049	NA	NA	NA
89	208931_s_at	Interleukin enhancer binding factor 3, 90kDa	ILF3	M phase	DNA binding
90	211518_s_at	Bone morphogenetic protein 4	BMP4	Ossification	Signal transducer activity
91	215247_at	Hypothetical protein LOC339692	LOC339692
92	201231_s_at	Enolase 1, (alpha)	ENO1	Glycolysis	Magnesium ion binding
93	211479_s_at	5-hydroxytryptamine (serotonin) receptor 2C	HTR2C	Signal transduction	Rhodopsin-like receptor activity
94	211237_s_at	Fibroblast growth factor receptor 4	FGFR4	Protein amino acid phosphorylation	Nucleotide binding
95	201416_at	SRY (sex determining region Y)-box 4	SOX4	Transcription	Transcription factor activity
