Probe set	Common name	GeneBank	Description
210895_s_at	CD86	L25259	CD86 antigen (CD28 antigen ligand 2, B7-2 antigen)
210664_s_at	TFPI	AF021834	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
210663_s_at	KYNU	BC000879	kynureninase (L-kynurenine hydrolase)
210512_s_at	VEGF	AF022375	vascular endothelial growth factor
210340_s_at	CSF2RA	BC002635	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)
210146_x_at	LILRB2	AF004231	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2
210118_s_at	IL1A	M15329	interleukin 1, alpha
210073_at	SIAT8A	L32867	sialyltransferase 8A (alpha-N-acetylneuraminate: alpha-2,8-sialyltransferase, GD3 synthase)
209921_at	SLC7A11	AB040875	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
209901_x_at	AIF1	U19713	allograft inflammatory factor 1
209871_s_at	APBA2	AB014719	amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)
209774_x_at	CXCL2	M57731	chemokine (C-X-C motif) ligand 2
209684_at	RIN2	AL136924	Ras and Rab interactor 2
209683_at	DKFZP566A1524	AA243659	hypothetical protein DKFZp566A1524
209619_at	CD74	K01144	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
209458_x_at	HBA2	AF105974	hemoglobin, alpha 2
209312_x_at	HLA-DRB1	U65585	major histocompatibility complex, class II, DR beta 3
209191_at	MGC4083	BC002654	tubulin beta MGC4083
209184_s_at	IRS2	BF700086	602127569F1 NIH_MGC_56 Homo sapiens cDNA clone IMAGE:4284401 5, mRNA sequence.
209116_x_at	HBB	M25079	Human sickle cell beta-globin mRNA, complete cds.
208949_s_at	LGALS3	BC001120	lectin, galactoside-binding, soluble, 3 (galectin 3)
208894_at	HLA-DRA	M60334	major histocompatibility complex, class II, DR alpha
208890_s_at	PLXNB2	BC004542	plexin B2
208864_s_at	TXN	AF313911	thioredoxin
208594_x_at	ILT8	NM_024318	synonym: LILRB6; immunoglobulin-like transcript 8; Homo sapiens leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 6 (ILT8), mRNA.
208306_x_at	HLA-DRB3	NM_021983	major histocompatibility complex, class II, DR beta 3
208146_s_at	CPVL	NM_031311	carboxypeptidase, vitellogenic-like
207850_at	CXCL3	NM_002090	chemokine (C-X-C motif) ligand 3
207697_x_at	LILRB2	NM_005874	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2
207540_s_at	SYK	NM_003177	spleen tyrosine kinase
207085_x_at	CSF2RA	NM_006140	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)
206710_s_at	EPB41L3	NM_012307	erythrocyte membrane protein band 4.1-like 3
206632_s_at	APOBEC3B	NM_004900	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
206488_s_at	CD36	NM_000072	CD36 antigen (collagen type I receptor, thrombospondin receptor)
206380_s_at	PFC	NM_002621	properdin P factor, complement
206157_at	PTX3	NM_002852	pentaxin-related gene, rapidly induced by IL-1 beta
205997_at	ADAM28	NM_021778	a disintegrin and metalloproteinase domain 28
205859_at	LY86	NM_004271	lymphocyte antigen 86
205767_at	EREG	NM_001432	epiregulin
205559_s_at	PCSK5	NM_006200	proprotein convertase subtilisin/kexin type 5
205237_at	FCN1	NM_002003	ficolin (collagen/fibrinogen domain containing) 1
205207_at	IL6	NM_000600	interleukin 6 (interferon, beta 2)
205159_at	CSF2RB	AV756141	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
205067_at	IL1B	NM_000576	interleukin 1, beta
204971_at	CSTA	NM_005213	cystatin A (stefin A)
204793_at	GASP	NM_014710
204777_s_at	MAL	NM_002371	mal, T-cell differentiation protein
204748_at	PTGS2	NM_000963	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
204670_x_at	HLA-DRB3	NM_002125	major histocompatibility complex, class II, DR beta 3
204614_at	SERPINB2	NM_002575	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2
204249_s_at	LMO2	NM_005574	LIM domain only 2 (rhombotin-like 1)
204112_s_at	HNMT	NM_006895	histamine N-methyltransferase
204018_x_at	HBA2	NM_000558	hemoglobin, alpha 2
203932_at	HLA-DMB	NM_002118	major histocompatibility complex, class II, DM beta
203888_at	THBD	NM_000361	thrombomodulin
203887_s_at	THBD	NM_000361	thrombomodulin
203753_at	TCF4	NM_003199	transcription factor 4
203509_at	SORL1	NM_003105	sortilin-related receptor, L(DLR class) A repeats-containing
203413_at	NELL2	NM_006159	NEL-like 2 (chicken)
202949_s_at	FHL2	NM_001450	four and a half LIM domains 2
202933_s_at	YES1	NM_005433	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
202932_at	YES1	NM_005433	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
202897_at	PTPNS1	AB023430	protein tyrosine phosphatase, non-receptor type substrate 1
202503_s_at	KIAA0101	NM_014736	KIAA0101 gene product
202391_at	BASP1	NM_006317	brain abundant, membrane attached signal protein 1
202345_s_at	FABP5	NM_001444	fatty acid binding protein 5 (psoriasis-associated)
202286_s_at	TACSTD2	J04152	GA733-1 protein precursor; Human gastrointestinal tumor-associated antigen GA733-1 protein gene, complete cds, clone 05516.
202283_at	SERPINF1	NM_002615	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1
202262_x_at	DDAH2	NM_013974	dimethylarginine dimethylaminohydrolase 2
202241_at	TRIB1	NM_025195	phosphoprotein regulated by mitogenic pathways
202085_at	TJP2	NM_004817	tight junction protein 2 (zona occludens 2)
201887_at	IL13RA1	NM_001560	interleukin 13 receptor, alpha 1
201820_at	KRT5	NM_000424	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)
201798_s_at	FER1L3	NM_013451	fer-1-like 3, myoferlin (C. elegans)
201710_at	MYBL2	NM_002466	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
201670_s_at	MARCKS	M68956	myristoylated alanine-rich protein kinase C substrate
201669_s_at	MARCKS	NM_002356	myristoylated alanine-rich protein kinase C substrate
201656_at	ITGA6	NM_000210	integrin, alpha 6
201506_at	TGFBI	NM_000358	transforming growth factor, beta-induced, 68kDa
201489_at	PPIF	BC005020	peptidylprolyl isomerase F (cyclophilin F)
201425_at	ALDH2	NM_000690	aldehyde dehydrogenase 2 family (mitochondrial)
201422_at	IFI30	NM_006332	interferon, gamma-inducible protein 30
201360_at	CST3	NM_000099	cystatin C (amyloid angiopathy and cerebral hemorrhage)
201292_at	TOP2A	AL561834	topoisomerase (DNA) II alpha 170kDa
201212_at	LGMN	D55696	legumain
201137_s_at	HLA-DPB1	NM_002121	major histocompatibility complex, class II, DP beta 1
200871_s_at	PSAP	NM_002778	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)
200866_s_at	PSAP	M32221	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)
200839_s_at	CTSB	NM_001908	cathepsin B
200838_at	CTSB	NM_001908	cathepsin B
200788_s_at	PEA15	NM_003768	phosphoprotein enriched in astrocytes 15
200736_s_at	GPX1	NM_000581	glutathione peroxidase 1
200678_x_at	GRN	NM_002087	granulin
1569110_x_at	PDCD6	BC020552	programmed cell death 6
1567628_at	CD74	M28590	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
1558662_s_at	BANK1	BG200452	B-cell scaffold protein with ankyrin repeats 1
1556346_at		AJ227860	Partial mRNA; ID YG39-1A
1555745_a_at	LYZ	U25677	lysozyme (renal amyloidosis)
1554899_s_at	FCER1G	BC020763	Homo sapiens Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide, mRNA (cDNA clone MGC:22620 IMAGE:4704425), complete cds.
1552519_at	ACVR1C	NM_145259	activin A receptor, type IC
