Gene/protein	Accession number	Change between passages	Function
Chemokine LEC precursor	AB007454	2.2	Cell signaling, extracellular communication
Macrophage inhibitory cytokine 1 (MIC1)	AF019770	2	Cell signaling, extracellular communication
SDF1A, pre-B cell stimulating factor homolog	L36034	2.4	Cell signaling, extracellular communication
B-cell growth factor 1 precursor (BCGF1), 12 kDa BCGF	M15530	3.6	Cell signaling, extracellular communication
CXC chemokine precursor	AJ002211	4	Cell signaling, extracellular communication
IGF-binding protein 4 (IGFBP4, IBP4)	M62403	2.9	Cell signaling, extracellular communication
Growth arrest-specific protein 2 (GAS2)1	U95032	2.1	Cytoskeleton-motility proteins
Microtubule-associated protein 1B1	L06237	2.1	Cytoskeleton-motility proteins
Gravin1	M96322	2.3	Cytoskeleton-motility proteins
Type II cytoskeletal B keratin (KRT8), cytokeratin 8 (K8, CK8)	M34225	2	Cytoskeleton-motility proteins
Telomerase reverse transcriptase (hTRT)	AF015950	2.1	DNA binding and chromatin proteins
CHD31	AF006515	2.1	DNA synthesis, recombination and repair
G/T mismatch-specific thymine DNA glycosylase (TDG)	U51166	2.3	DNA synthesis, recombination and repair
Vitronectin precursor (VTN), serum spreading factor, S-protein1	X03168	2	Extracellular matrix proteins
Tenascin-R1	X98085	2.3	Extracellular matrix proteins
Versican core protein precursor, large fibroblast proteoglycan, chondroitin sulfate Proteoglycan core protein 2, glial hyaluronate-binding protein (GHAP)1	U16306, X15998, U26555, D32039	2.4	Extracellular matrix proteins
Collagen 4  alpha 2-subunit precursor (COL4A2)1	X05610	3.1	Extracellular matrix proteins
IFN-inducible protein 1-8D + 1-8U1	X57351, X57352	2	Functionally unclassified proteins
Clone 23815 (Soares library 1NIB from IMAGE Consortium)1	U90916	2.1	Functionally unclassified proteins
Adducin gamma subunit1	U37122	2.9	Functionally unclassified proteins
Protein kinase DYRK21	Y13493	2.1	Intracellular transducerseffectorsmodulators
Dual-specificity protein phosphatase 2, PAC-11	L11329	2.1	Intracellular transducerseffectorsmodulators
Lipid-activated protein kinase PRK1, PKN cell morphology-related protein kinase1	U33053	2.7	Intracellular transducerseffectorsmodulators
Adenomatous polyposis coli protein (APC protein), DP2.51	M74088, M73548	2.8	Intracellular transducerseffectorsmodulators
NF-kappa B transcription factor p65 subunit, RELA, NFKB3	L19067	2.7	Intracellular transducerseffectorsmodulators
High-affinity glutamate transporter, excitatory amino acid transporter 3, sodium-dependent glutamate/aspartate transporter 3, excitatory amino acid carrier 1 (EAAC1)1	U03506	2.5	Membrane channels and transporters
Ribonucleoside-diphosphate reductase M1 subunit, ribonucleotide reductase1	X59543	2.8	Metabolism
DR-nm231	U29656	4.3	Metabolism
Thioredoxin reductase	X91247	2.4	Metabolism
CMP-N-acetylneuraminate- Beta-galactosamide-alpha-2,3-sialyltransferase,  Beta-galactoside-alpha 2,3-sialyltransferase  Alpha2,3-ST), sialyltransferase 4A (SIAT4A)1	L13972	2.4	Posttranslational modification protein folding
Probable protein disulfide isomerase ER-60 precursor (ERP60), 58 kDa microsomal protein, phospholipase C alpha1	D16234,Z49835, D83485, U42068	3	Posttranslational modification protein folding
MMP13, collagenase 3 precursor	X75308	2.3	Protein turnover
Placental protein 11 precursor (PP11)	M32402	3.3	Protein turnover
(2-5) oligoadenylate synthetase 1 ((2-5) oligo(A) synthetase 1, 2-5A synthetase 1)	M11810	2.3	RNA procession, turnover and transport
GTP-binding nuclear protein RAN (TC4)	M31469	2.5	RNA procession, turnover and transport
Nuclear factor NF- kappa B p100 subunit, nuclear factor NF- kappa B p52 subunit, H2TF1, oncogene lyt-10	X61498	2	Transcription
TAX1-binding protein 151 (TXBP151)	U33821	2.1	Transcription
