Accession no.	Gene name	IMMORT	5AZA	Gene selection method
U15932	DUSP5 (dual specificity MAP kinase-phosphatase)	-8.9	12.6	N/ANOVA
M24594	Interferon-inducible 56 kDa protein	-8.6	36.6	N/ANOVA
AB020315	Dickkopf-1 (hdkk-1)	-8.3	14.4	ANOVA
J02931	Placental tissue factor (two forms)	-8.0	8.7	N
X86163	B2-bradykinin receptor, 3	-7.9	3.8	N
M13755	Interferon-induced 17 kDa/15 kDa protein	-7.6	17	N/ANOVA
L20817	Tyrosine protein kinase (CAK) gene	-7.5	5.7	N
AJ225089	(2–5) Oligoadenylate synthetase 59 kDa OAS-L	-7.4	40	N/ANOVA
AF085692	Multidrug resistance-associated protein 3B	-7.3	13.9	N
M26326	Keratin 18	-6.9	13.5	N
M22489	Bone morphogenetic protein 2A	-6.8	9.9	N
U37518	TNF-related apoptosis inducing ligand TRAIL	-6.7	42.2	N
M92357	B94 protein (tumor necrosis factor-alpha-inducible )	-6.7	5.5	N
X07523	Complement factor H	-6.6	6.8	N
AB018287	KIAA0744 protein	-6.5	8.6	N
U53831	Interferon regulatory factor 7	-6.3	17.5	N/ANOVA
X55110	Neurite outgrowth-promoting protein	-6.2	7.1	N
AL039458	Integral membrane glycoprotein LIG-1 (TM4SF1)	-6.1	5.2	N
AL021977	Transcription factor MAFF	-6.1	8.1	ANOVA
M65292	Factor H homolog	-5.8	7.5	N
D29992	Placental protein 5 (PP5)	-5.7	29.3	N
AF070533	Optineurin-like protein	-5.7	4.2	N
AF052135	Associated molecule with the SH3 domain of STAM	-5.6	7.6	ANOVA
D28915	Microtubular protein p44	-5.5	17.8	N/ANOVA
M62402	Insulin-like growth factor binding protein 6	-5.5	5.9	N/ANOVA
AF024714	Interferon-inducible protein AIM2 (absent in melanoma)	-5.3	21.6	N
M31165	Tumor necrosis factor-inducible (TSG-6)	-5.2	10.3	N
U81607	Gravin	-5.1	12.2	ANOVA
M30818	Interferon-inducible protein, myxovirus resistance, Mx2	-5.0	42	N
M25915	Complement cytolysis inhibitor (CLI)	-4.9	5.1	N
AB013382	DUSP6 (dual specificity MAP kinase-phosphatase)	-4.7	4.6	N
AB000115	mRNA expressed in osteoblast	-4.3	32.5	N/ANOVA
D50919	Tripartite motif-containing protein 14, TRIM14	-4.3	6.2	N
X58536	HLA class I locus C heavy chain	-4.1	5.7	N
AF010312	Pig 7	-4	9.4	ANOVA
AI985272	Neuromedin B precursor	-3.9	5.6	N
X57985	Genes for histones H2B.1 and H2A	-3.6	4.3	N
U07919	Aldehyde dehydrogenase 6	-3.5	4.1	N
AA883502	Ubiquitin-conjugating enzyme E2L 6 (UBE2L6)	-3.4	5.9	N
U22970	Interferon-inducible peptide (6-16)	-3.3	10.2	ANOVA
M87434	(2–5) oligoadenylate synthetase 69/71 kDa OAS-2	-2.7	19.6	N
M97935	Transcription factor ISGF-3 (Stat 1)	-1.9	7.6	N
