Gene Symbol	Gene Bank Accession	NKI dataset Systematic name	Affymetrix probeset (mapped via MAQC)	Average expression in poor prognosis samples	Average expression in good prognosis samples
CDCA7	AI992158	Contig55725_RC	224428_s_at	-0.0896756756756757	-0.3275271666666670
CDH13	NM_001257	NM_001257		-0.0166148648648649	-0.0496801321839080
CDT1	AF070552	AF070552	209832_s_at	0.0413513513513514	-0.0432771421500233
CES2	NM_003869	NM_003869	209667_at	0.0078205859969559	0.0015881429881949
CFI	NM_000204	NM_000204	203854_at	-0.0630337837837838	0.0043407758620690
CLDN1	AF101051	AF101051	218182_s_at	-0.0645878378378378	-0.0752664540229885
CNN3	NM_001839	NM_001839	201445_at	-0.0435945945945946	-0.0158344195402299
CPVL	AF217508	AF217508		-0.0542027027027027	-0.0582470862068966
CRAT	NM_000755	NM_000755	209522_s_at	-0.1332770270270270	-0.0569630229885057
CRAT	NM_004003	NM_004003		0.0070675675675676	0.0310594367816092
CRYAB	NM_001885	NM_001885	209283_at	-0.1935337837837840	-0.2234344712643680
CXADR	NM_001338	NM_001338		-0.0733648648648650	-0.0642962413793104
CXCR4	NM_003467	NM_003467	217028_at	-0.0311283783783784	-0.0797674597701150
CYP1B1	NM_000104	NM_000104	202437_s_at	-0.0799932432432433	-0.0942721233140655
DENND2D	AI494568	Contig53439_RC	221081_s_at	-0.0625878378378378	-0.0287088735632184
DTL	NM_016448	NM_016448	218585_s_at	0.0650743243243243	-0.0679427694505348
DUSP23	NM_017823	NM_017823	223402_at	0.0329722222222222	-0.0142847143736101
E2F2	AW137640	Contig48913_RC	228361_at	0.0434932432432432	-0.1274577528735630
EEF1A2	NM_001958	NM_001958	204540_at	-0.1831891891891890	-0.1868675344827590
ELF3	AA527180	Contig46868_RC		0.0019256756756757	-0.0134318160919540
ELF3	NM_004433	NM_004433		-0.0443513513513514	-0.0308428448275862
EMP3	NM_001425	NM_001425	203729_at	0.0213040540540541	0.0108019310344828
EPHA2	NM_004431	NM_004431	203499_at	-0.0065000000000000	-0.0480073793103448
EXO1	NM_003686	NM_003686	204603_at	0.0866891891891892	-0.0611460172413793
EXO1	NM_006027	NM_006027		0.0791824324324324	-0.0515690229885057
FAP	NM_004460	NM_004460	209955_s_at	-0.1578175675675680	-0.0817100402298850
FARP1	AI028516	Contig38580_RC		-0.1318513513513510	-0.0394333620689655
FARP1	NM_005766	NM_005766		-0.0182770270270270	-0.0042042068965517
FGFBP1	NM_005130	NM_005130	205014_at	-0.1678310810810810	-0.1534052586206900
FLRT3	NM_013281	NM_013281		-0.1194189189189190	-0.0331315402298851
FOXQ1	AI676059	Contig39891_RC	227475_at	-0.0511824324324324	-0.1024194942528740
FRMPD1	NM_014907	NM_014907	206774_at	0.0443581081081081	0.0398352068965517
FUCA1	NM_000147	NM_000147	202838_at	-0.0887567567567568	-0.0416350459770115
FUT3	NM_000149	NM_000149	214088_s_at	0.0331148648648649	0.0027814540229885
GALNT3	NM_004482	NM_004482	203398_s_at	-0.0458986486486486	-0.0472084942528736
GPNMB	NM_002510	NM_002510	201141_at	-0.0562297297297297	-0.0943240804597701
GSTA4	NM_001512	NM_001512	202967_at	0.0128175675675676	0.0053533160919540
HMMR	NM_012484	NM_012484	207165_at	0.0034594594594595	-0.0466654425287356
HRK	NM_003806	NM_003806	206864_s_at	-0.0023783783783784	-0.0562851321839080
HSPB1	NM_001540	NM_001540	201841_s_at	-0.0331283783783784	-0.0830411379310345
ICA1	NM_004968	NM_004968		-0.0242229729729730	0.0057655689655172
ID1	NM_002165	NM_002165	208937_s_at	-0.0161180555555556	0.0013991565057539
ID2	NM_002166	NM_002166	201565_s_at	0.0121301369863014	0.0175744335354725
ID3	NM_002167	NM_002167	207826_s_at	0.0124594594594595	-0.0092958160919540
ID3	X69111	X69111		0.0408958333333333	0.0421523709852773
IGFBP5	AF055033	AF055033	211959_at	-0.0024729729729730	-0.1353204367816090
IGFBP5	L27560	L27560		-0.0688445945945946	-0.1995905747126440
IGFBP5	NM_000599	NM_000599		-0.0897027027027027	-0.2114060114942530
IMPA2	NM_014214	NM_014214	203126_at	-0.0269189189189189	-0.1519694195402300
ITGA10	NM_003637	NM_003637	206766_at	0.0594662162162162	0.0529058724267722
ITGB2	NM_000211	NM_000211	202803_s_at	0.0017702702702703	-0.0427479367816092
KIF2C	NM_006845	NM_006845		0.0355675675675676	-0.1442553448275860
KLK7	NM_005046	NM_005046	239381_at	-0.4061148648648650	-0.3655788103448280
KRT10	NM_000421	NM_000421		-0.1534027777777780	-0.0947164485767666
KRT13	NM_002274	NM_002274		-0.4402364864864870	-0.3557130747126440
KRT7	NM_005556	NM_005556	209016_s_at	-0.0429662162162162	-0.0293865689655172
LAPTM5	NM_006762	NM_006762	201721_s_at	0.0028243243243243	-0.0458129029632583
LFNG	AA583350	Contig29647_RC		-0.0780608108108108	-0.0635260057471264
LY6E	NM_002346	NM_002346	202145_at	0.0308648648648649	-0.0759872758620690
MC1R	AI123000	Contig61366_RC	205458_at	0.0074729729729730	0.0170421845539120
MC1R	NM_002386	NM_002386		0.0333851351351351	0.0235363908045977
MCART1	AI268054	Contig30784_RC		0.0808581081081081	0.0715398333333333
MCM5	NM_006739	NM_006739	216237_s_at	0.0238175675675676	-0.0611690919540230
MCM7	D55716	D55716	208795_s_at	0.0414054054054054	-0.0577164890704937
MGP	NM_000900	NM_000900	202291_s_at	-0.2841901408450700	-0.1432557313177860
MT1G	N53454	Contig66143_RC		-0.1178108108108110	-0.1612321724137930
MT1G	NM_005950	NM_005950		-0.1064729729729730	-0.1455453735632180
MT2A	NM_005953	NM_005953		0.0116013513513514	-0.0226894712643678
MYO5C	NM_018728	NM_018728	218966_at	-0.1136824324324320	-0.0231488275862069
NUSAP1	NM_016359	NM_016359	218039_at	0.0681013513513513	-0.1180766264367820
NUSAP1	NM_018454	NM_018454		0.0949324324324324	-0.0202723656899874
PHF19	AL117477	AL117477	225533_at	0.0283648648648649	-0.0268998218390805
PHGDH	AI004352	Contig6114_RC	201397_at	-0.0049797297297297	-0.1646724712643680
PHGDH	NM_006623	NM_006623		0.0197027027027027	0.0126551140787988
PIR	NM_003662	NM_003662	207469_s_at	0.0593108108108108	-0.0872385977011494
PKP2	NM_004572	NM_004572		-0.0057291666666667	-0.0006870497076967
PLEK2	NM_016445	NM_016445	218644_at	0.0353986486486487	-0.0101067281908179
PMP22	NM_000304	NM_000304	210139_s_at	-0.0613377092846271	-0.0210373879940791
PRC1	NM_003981	NM_003981		0.0666689189189189	-0.1365778563218390
PRKD1	NM_002742	NM_002742		-0.0631216216216216	-0.0312609080459770
PSCA	NM_005672	NM_005672		-0.2390405405405410	-0.2753426724137930
RARRES1	NM_002888	NM_002888	206391_at	-0.1311283783783780	-0.1249915919540230
RERG	AW294092	Contig50719_RC	227758_at	-0.1991081081081080	-0.0631513563218391
RHOBTB3	AI040030	Contig4539	202976_s_at	-0.0708986486486486	-0.0674772420769384
RHOBTB3	NM_014899	NM_014899		-0.0737034817351598	-0.0712184792811748
RIN1	NM_004292	NM_004292	205211_s_at	0.0263581081081081	0.0170924885057471
SERPINA5	J02639	J02639		-0.1432297297297300	-0.0634124085775032
SERPINA5	NM_000624	NM_000624		-0.2503310810810810	-0.1589570459770110
SERPINB1	M93056	M93056	212268_at	-0.0471283783783784	-0.0057291321839081
SERPINF2	D00174	D00174	205075_at	-0.0568513513513513	-0.0423329270812571
SIGIRR	AA085764	Contig974_RC		0.0293040540540541	0.0121208563218391
SLC6A14	NM_007231	NM_007231	219795_at	-0.1205675675675680	-0.2001074942528740
SLCO2A1	NM_005630	NM_005630	204368_at	-0.0233310810810811	-0.0274570517241379
SPRED1	AI742347	Contig34355_RC		-0.0298648648648649	-0.0145794885057471
SPRY1	AF041037	AF041037	212558_at	-0.0420619292237443	-0.0065434269589658
ST3GAL5	NM_003896	NM_003896	203217_s_at	-0.0006824324324324	0.0038459425287356
ST6GALNAC2	NM_006456	NM_006456	204542_at	-0.0478918918918919	-0.0592792528735632
STC1	NM_003155	NM_003155	204597_x_at	-0.2473783783783780	-0.2237332236396250
TACC2	AF176646	AF176646	202289_s_at	-0.0198918918918919	-0.0041489310344828
TACSTD1	NM_002354	NM_002354	201839_s_at	-0.0593310810810811	-0.0975506896551724
TCEAL3	AI340029	Contig52641_RC		-0.0344797297297297	0.0002885689655172
TESK1	NM_006285	NM_006285	204106_at	0.0150675675675676	-0.0040065977011494
THBS1	AW139567	Contig42410_RC	201110_s_at	0.0263243243243243	-0.0142456225167763
THBS1	NM_003246	NM_003246		-0.0611756756756757	-0.0697565147166301
TLL1	NM_012464	NM_012464		0.0223716216216216	0.0555686034482759
TMEM125	AI628756	Contig54290_RC	225822_at	-0.0395270270270270	-0.0313580172413793
TROAP	NM_005480	NM_005480	204649_at	0.0690270270270270	-0.0155351770314265
TSPAN1	NM_005727	NM_005727		-0.2038851351351350	-0.1900224080459770
TUBB3	NM_006086	NM_006086		-0.0994189189189190	-0.2448362377250680
TUBG2	NM_016437	NM_016437		-0.0381351351351351	0.0057381264367816
TUFT1	NM_020127	NM_020127	205807_s_at	-0.0080878378378378	-0.0239102298850575
UBAP1	NM_016525	NM_016525	46270_at	0.0070675675675676	0.0024964597701149
UBE2C	NM_007019	NM_007019		0.0946148648648650	-0.0788783115407614
UGT1A6	NM_000463	NM_000463		0.0541701221769715	0.0664383202213250
UHRF1	NM_013282	NM_013282	225655_at	0.0543108108108108	0.0008945114942529
ZBTB5	NM_014872	NM_014872	203026_at	-0.0020137012012012	-0.0031744330545327
ZCCHC6	AI800829	Contig41991_RC	220933_s_at	-0.0145472972972973	0.0054469827586207
