Accesion #	Gene Name	U133 PCOS/NL	U133 p-value	U95A PCOS/NL	U95A p-value	Function	Specific Function
NM_001848	Collagen type VIalpha1	0.6	0.042	0.52	0.025	Cytoskeletal Proteins	Structural Proteins
NM_001855	Collagen type XValpha1	0.2	0.0001	0.24	0.001	Cytoskeletal Proteins	Structural Proteins
NM_021076	Neurofilament, heavy	1.88	0.001	2.07	0.0004	Cytoskeletal Proteins	Structural Proteins
NM_012334	Myosin X	1.53	0.022	1.89	0.006	Cytoskeletal Proteins	Structural Proteins
NM_002345	Lumican	0.47	0.003	0.59	0.027	Cytoskeletal Proteins	Structural Proteins
NM_000533	Proteolipid protein 1	0.62	0.038	0.68	0.097	Cytoskeletal Proteins	Structural Proteins
NM_004684	SPARC-like 1 (mast9, hevin)	0.31	0.0002	0.27	0.0008	Cytoskeletal Proteins	Cell Adhesion Factors
NM_004415	Desmoplakin	0.49	0.001	0.24	0.001	Cytoskeletal Proteins	Cell Adhesion Factors
NM_001078	VCAM1	3.27	0.001	4.08	0.006	Cytoskeletal Proteins	Cell Adhesion Factors
NM_002888	Tazarotene-induced 1 (TIG1)	4.24	0.015	5.7	0.073	Cytoskeletal Proteins	Cell Adhesion Factors
NM_000900	Matrix Gla protein	0.22	0.0001	0.9	0.49	Cytoskeletal Proteins	Cell Adhesion Factors
Y13786	A disintegrin and metalloproteinase domain 19	0.4	0.0004	0.54	0.006	Cytoskeletal Proteins	Cell Adhesion Factors
NM_002589	BH protocadherin	2.52	0.007	1.37	0.063	Cytoskeletal Proteins	Cell Adhesion Factors
NM_001423	Epithelial membrane protein 1 (EMP-1)	2.01	0.002	2.5	0.003	Cytoskeletal Proteins	Cell Adhesion Factors
M35252	Transmembrane 4 superfamily member 3	3.65	0.001	4.13	0.003	Cell Surface Antigens
NM_005139	Annexin A3	2.25	0.007	2.63	0.006	Cell Surface Antigens
NM_000587	Complement component 7	0.36	0.0009	0.35	0.003	Cell Surface Antigens
M81104	CD34 antigen	0.46	0.001	0.72	0.28	Cell Surface Antigens
NM_001779	CD58 antigen	1.53	0.049	1.08	0.599	Cell Surface Antigens
NM_000610	CD44 antigen	0.55	0.037	0.62	0.044	Cell Surface Antigens
AB020690	Paraneoplastic antigen MA2	2.95	0.003	2.46	0.068	Cell Surface Antigens
NM_005944	MRC OX-2 membrane glycoprotein	1.38	0.041	1.21	0.123	Cell Surface Antigens
AI025519	Solute carrier family 26, member 2	0.44	0.001	0.56	0.016	Pumps and Channels
NM_000617	Solute carrier family 11, member 2	1.72	0.014	1.99	0.0004	Pumps and Channels
NM_004170	Solute carrier family 1, member 1	1.82	0.048	1.78	0.11	Pumps and Channels
NM_002394	Solute carrier family 3, member 2	1.66	0.018	1.05	0.717	Pumps and Channels
NM_001151	Solute carrier family 25, member 4	1.58	0.026	1.54	0.01	Pumps and Channels
NM_001860	Solute carrier family 31, member 2	1.65	0.033	1.99	0.002	Pumps and Channels
NM_001859	Solute carrier family 31, member 1	1.63	0.004	1.1	0.449	Pumps and Channels
NM_005796	Nuclear transport factor 2	0.6	0.013	0.7	0.061	Pumps and Channels
NM_006554	Metaxin 2	1.46	0.013	1.44	0.019	Pumps and Channels
NM_001696	ATPase, H+ transporting, lysosomal	1.39	0.032	1.24	0.084	Pumps and Channels
NM_015993	Transmembrane 4, superfamily member 11	1.6	0.035	1.09	0.485	Pumps and Channels
AW068936	ATPase, class VI, type IIa	1.71	0.002	1.26	0.096	Pumps and Channels
NM_000504	Coagulation factor X	0.54	0.023	1.03	0.849	Miscellaneous
NM_006034	p53-induced protein	3.13	0.003	1.29	0.352	Miscellaneous
NM_015416	Cervical cancer 1 protooncogene	0.7	0.05	0.83	0.243	Miscellaneous
NM_002402	Mesoderm specific transcript	1.64	0.022	1.68	0.077	Miscellaneous
NM_014467	Sushi repeat protein	0.64	0.026	0.76	0.109	Miscellaneous
NM_015344	Leptin receptor overlapping transcript like 1	1.43	0.026	1.54	0.008	Miscellaneous
AL080169	DKFZp434C171	2.4	0.02	2.22	0.05	Expressed Sequence Tags
AL049435	DKFZp586B0220	2.05	0.014	2.29	0.05	Expressed Sequence Tags
D79983	KIAA0161 gene product	0.41	0.0008	0.34	0.002	Expressed Sequence Tags
AI700633	FLJ22642 fis, clone HSI06970	0.41	0.003	0.68	0.114	Expressed Sequence Tags
AL569804	clone CSODI002YJ15	0.39	0.002	0.22	0.001	Expressed Sequence Tags
AK027231	KIAA1102	2.27	0.042	2.76	0.008	Expressed Sequence Tags
NM_005808	HYAA22 protein	1.44	0.04	1.26	0.094	Expressed Sequence Tags
NM_015556	KIAA0440	0.66	0.048	0.94	0.653	Expressed Sequence Tags
NM_016468	LOC51241	1.42	0.026	1.33	0.151	Expressed Sequence Tags
NM_014846	KIAA0196	1.42	0.032	1.69	0.019	Expressed Sequence Tags
D87470	KIAA0280	0.67	0.033	1.28	0.107	Expressed Sequence Tags
NM_013303	HSU84971	0.62	0.035	1.02	0.688	Expressed Sequence Tags
BE144058	DKFZp586F1322	0.54	0.037	0.71	0.059	Expressed Sequence Tags
