Probe set	Gene Symbol	Gene Symbol before 2008	T:N Ratio	T Mean	N Mean	T SD	N SD	q value
219866_at	CLIC5 /// LOC100131610	CLIC5	0.12	-1.52	2.15	1.18	0.56	0.01
211343_s_at	COL13A1	COL13A1	0.21	-1.01	1.38	0.78	0.44	0.01
230867_at	COL6A6	COL6A6	0.12	-1.58	2.04	1.31	0.54	0.01
227178_at	CUGBP2	CUGBP2	0.21	-1.07	1.36	0.81	0.29	0.01
1555497_a_at	CYP4B1	CYP4B1	0.09	-1.69	2.20	1.26	0.93	0.01
210762_s_at	DLC1	DLC1	0.19	-1.20	1.64	1.19	0.48	0.01
224822_at	DLC1	DLC1	0.16	-1.33	1.79	1.20	0.40	0.01
203764_at	DLGAP5	DLG7	18.09	1.40	-2.27	1.53	0.36	0.01
205003_at	DOCK4	DOCK4	0.27	-0.93	1.19	0.90	0.32	0.01
219597_s_at	DUOX1	DUOX1	0.15	-1.29	1.74	1.08	0.60	0.01
204642_at	S1PR1	EDG1	0.20	-1.00	1.37	0.64	0.57	0.01
204271_s_at	EDNRB	EDNRB	0.11	-1.39	2.02	1.00	0.63	0.01
204273_at	EDNRB	EDNRB	0.08	-1.81	2.49	1.26	0.68	0.01
206701_x_at	EDNRB	EDNRB	0.10	-1.45	2.14	0.88	0.66	0.01
228967_at	EIF1	EIF1	0.27	-0.74	1.23	0.62	0.48	0.01
219436_s_at	EMCN	EMCN	0.15	-1.31	1.74	1.10	0.69	0.01
222885_at	EMCN	EMCN	0.17	-1.20	1.70	1.12	0.52	0.01
203980_at	FABP4	FABP4	0.09	-2.11	2.66	1.72	0.63	0.01
207547_s_at	FAM107A	FAM107A	0.10	-1.28	2.08	0.69	0.69	0.01
209074_s_at	FAM107A	FAM107A	0.08	-1.64	2.67	1.21	0.71	0.01
205866_at	FCN3	FCN3	0.07	-1.83	2.77	1.38	0.90	0.01
201540_at	FHL1	FHL1	0.14	-1.46	1.94	1.22	0.27	0.01
210299_s_at	FHL1	FHL1	0.11	-1.77	2.29	1.40	0.51	0.01
220170_at	FHL5	FHL5	0.16	-1.14	1.63	0.81	0.72	0.01
206742_at	FIGF	FIGF	0.08	-1.77	2.45	1.20	0.67	0.01
1556325_at	FILIP1	FILIP1	0.17	-1.17	1.73	1.00	0.61	0.01
228268_at	FMO2	FMO2	0.12	-1.45	2.17	1.33	0.48	0.01
205935_at	FOXF1	FOXF1	0.17	-1.09	1.62	0.84	0.59	0.01
228568_at	GCOM1 /// GRINL1A	Gcom1	0.15	-1.16	1.72	0.74	0.60	0.01
206159_at	GDF10	GDF10	0.12	-1.26	1.84	0.50	0.67	0.01
206102_at	GINS1	GINS1	15.94	1.47	-2.11	1.46	0.46	0.01
238222_at	GKN2	GKN2	0.08	-1.92	2.58	1.28	0.57	0.01
230360_at	GLDN	GLDN	0.11	-1.38	2.09	0.99	0.80	0.01
209469_at	GPM6A	GPM6A	0.11	-1.58	2.40	1.12	0.48	0.01
209470_s_at	GPM6A	GPM6A	0.09	-1.75	2.62	1.25	0.58	0.01
232267_at	GPR133	GPR133	0.20	-1.25	1.79	1.38	0.30	0.01
204396_s_at	GRK5	GRK5	0.24	-0.87	1.44	0.79	0.35	0.01
238018_at	FAM150B	hCG_1990170	0.09	-1.40	1.91	0.69	0.96	0.01
213069_at	HEG1	HEG1	0.28	-0.88	1.15	0.78	0.32	0.01
203914_x_at	HPGD	HPGD	0.11	-1.73	2.18	1.64	0.62	0.01
211548_s_at	HPGD	HPGD	0.11	-1.81	2.26	1.56	0.67	0.01
205700_at	HSD17B6	HSD17B6	0.12	-1.62	1.97	1.42	0.59	0.01
37512_at	HSD17B6	HSD17B6	0.12	-1.62	2.08	1.43	0.61	0.01
230670_at	IGSF10	IGSF10	0.18	-1.11	1.53	0.83	0.52	0.01
224061_at	INMT	INMT	0.12	-1.44	2.07	1.24	0.68	0.01
235666_at	---		0.14	-1.41	1.83	1.05	0.37	0.01
219064_at	ITIH5	ITIH5	0.22	-1.12	1.40	0.92	0.38	0.01
219213_at	JAM2	JAM2	0.23	-0.99	1.25	0.70	0.45	0.01
202503_s_at	KIAA0101	KIAA0101	13.20	1.34	-2.16	1.31	0.75	0.01
209408_at	KIF2C	KIF2C	9.03	1.15	-1.70	1.20	0.38	0.01
206481_s_at	LDB2	LDB2	0.18	-1.16	1.63	1.01	0.49	0.01
203766_s_at	LMOD1	LMOD1	0.22	-0.94	1.31	0.71	0.52	0.01
220244_at	LOH3CR2A	LOH3CR2A	0.12	-1.35	1.98	0.94	0.69	0.01
220003_at	LRRC36	LRRC36	0.19	-1.02	1.38	0.46	0.62	0.01
203362_s_at	MAD2L1	MAD2L1	13.64	1.28	-2.05	1.37	0.45	0.01
228885_at	MAMDC2	MAMDC2	0.07	-1.90	2.72	1.38	0.60	0.01
212713_at	MFAP4	MFAP4	0.13	-1.43	1.86	1.08	0.67	0.01
219909_at	MMP28	MMP28	0.23	-1.03	1.26	0.75	0.49	0.01
239272_at	MMP28	MMP28	0.16	-1.43	1.57	0.98	0.49	0.01
239273_s_at	MMP28	MMP28	0.26	-1.05	1.17	0.92	0.44	0.01
219091_s_at	MMRN2	MMRN2	0.22	-0.96	1.36	0.69	0.38	0.01
236262_at	MMRN2	MMRN2	0.19	-1.02	1.57	0.84	0.47	0.01
227417_at	MOSC2	MOSC2	0.21	-1.11	1.38	0.88	0.35	0.01
226856_at	MUSTN1	TMEM110	0.25	-0.86	1.20	0.61	0.65	0.01
212372_at	MYH10	MYH10	0.29	-0.77	1.13	0.70	0.37	0.01
237206_at	MYOCD	MYOCD	0.23	-0.85	1.22	0.52	0.63	0.01
204641_at	NEK2	NEK2	13.66	1.38	-1.92	1.37	0.29	0.01
223381_at	NUF2	NUF2	14.93	1.43	-1.94	1.47	0.30	0.01
218736_s_at	PALMD	PALMD	0.18	-1.21	1.46	0.83	0.56	0.01
227088_at	PDE5A	PDE5A	0.19	-1.15	1.42	0.82	0.47	0.01
209493_at	PDZD2	PDZD2	0.13	-1.70	1.85	1.29	0.44	0.01
208981_at	PECAM1	PECAM1	0.29	-0.84	1.14	0.77	0.30	0.01
206311_s_at	PLA2G1B	PLA2G1B	0.13	-1.46	1.96	1.04	0.73	0.01
227148_at	PLEKHH2	PLEKHH2	0.15	-1.30	1.72	0.95	0.47	0.01
201578_at	PODXL	PODXL	0.29	-0.81	1.05	0.65	0.40	0.01
227006_at	PPP1R14A	PPP1R14A	0.17	-1.12	1.70	1.00	0.55	0.01
226380_at	PTPN21	PTPN21	0.16	-1.23	1.73	0.96	0.52	0.01
205846_at	PTPRB	PTPRB	0.17	-1.13	1.65	0.85	0.63	0.01
230250_at	PTPRB	PTPRB	0.12	-1.46	2.11	1.25	0.59	0.01
205326_at	RAMP3	RAMP3	0.15	-1.08	1.70	0.72	0.69	0.01
210550_s_at	RASGRF1	RASGRF1	0.27	-0.91	1.03	0.68	0.59	0.01
205407_at	RECK	RECK	0.24	-1.01	1.29	0.88	0.42	0.01
243481_at	RHOJ	RHOJ	0.27	-0.79	1.13	0.57	0.61	0.01
226028_at	ROBO4	ROBO4	0.15	-1.12	1.81	0.79	0.50	0.01
235849_at	SCARA5	SCARA5	0.19	-1.10	1.19	0.67	0.86	0.01
236359_at	SCN4B	SCN4B	0.18	-0.97	1.64	0.76	0.77	0.01
222717_at	SDPR	SDPR	0.13	-1.44	2.21	1.36	0.51	0.01
215454_x_at	SFTPC	SFTPC	0.09	-1.85	2.38	1.39	0.51	0.01
226673_at	SH2D3C	SH2D3C	0.26	-0.80	1.18	0.60	0.57	0.01
218087_s_at	SORBS1	SORBS1	0.19	-1.31	1.79	1.26	0.42	0.01
215918_s_at	SPTBN1	SPTBN1	0.16	-1.08	1.75	0.74	0.39	0.01
227480_at	SUSD2	SUSD2	0.11	-1.77	2.33	1.52	0.40	0.01
234310_s_at	SUSD2	SUSD2	0.22	-0.95	1.30	0.62	0.51	0.01
209447_at	SYNE1	SYNE1	0.26	-0.94	1.22	0.92	0.33	0.01
200911_s_at	TACC1	TACC1	0.31	-0.82	1.04	0.77	0.21	0.01
204931_at	TCF21	TCF21	0.08	-1.76	2.21	1.01	0.60	0.01
229529_at	TCF21	TCF21	0.17	-1.08	1.54	0.68	0.69	0.01
206702_at	TEK	TEK	0.13	-1.35	1.97	1.00	0.48	0.01
219230_at	TMEM100	TMEM100	0.07	-2.11	2.84	1.64	0.94	0.01
209904_at	TNNC1	TNNC1	0.12	-1.45	2.35	1.30	0.47	0.01
221747_at	TNS1	TNS1	0.19	-1.05	1.53	0.79	0.38	0.01
221748_s_at	TNS1	TNS1	0.22	-0.98	1.51	0.97	0.33	0.01
206093_x_at	TNXA /// TNXB	TNXB	0.15	-1.17	1.64	0.70	0.49	0.01
213451_x_at	TNXA /// TNXB	TNXB	0.14	-1.19	1.76	0.70	0.51	0.01
216333_x_at	TNXA /// TNXB	TNXB	0.14	-1.19	1.70	0.69	0.49	0.01
201291_s_at	TOP2A	TOP2A	32.13	1.86	-2.84	1.65	0.82	0.01
201292_at	TOP2A	TOP2A	23.60	1.58	-2.47	1.60	0.41	0.01
210052_s_at	TPX2	TPX2	17.03	1.38	-2.15	1.53	0.39	0.01
202954_at	UBE2C	UBE2C	15.20	1.42	-1.96	1.46	0.36	0.01
223229_at	UBE2T	UBE2T	12.18	1.31	-1.91	1.21	0.34	0.01
232122_s_at	VEPH1	VEPH1	0.10	-1.76	2.19	1.19	0.55	0.01
220327_at	VGLL3	VGLL3	0.16	-1.30	1.74	0.92	0.47	0.01
205019_s_at	VIPR1	VIPR1	0.13	-1.08	2.05	1.00	0.94	0.01
222738_at	WWC2	WWC2	0.18	-1.12	1.52	0.73	0.51	0.01
1555800_at	ZNF385B	ZNF533	0.12	-1.70	1.95	1.36	0.83	0.01
