CloneID_Original(Stanford_Array)	Symbol	Systemic_name	unigene_new_Rosetta	Average_hypoxia_for_LR_training
741474	GPI	NM_000175	Hs.406458	0.012601333
454930	NAV2	Contig40599_RC	Hs.407934	-0.002995667
171916	CNTNAP1	NM_003632	Hs.408730	-0.012766778
263013	PLOD2	NM_000935	Hs.41270	0.004286111
244307	SERPINE1_A	A_NM_000602__M16006	Hs.414795	-0.093832667
714437	SEMA4B	Contig1386_RC	Hs.416077	-0.144547
129332	MEG3	NM_018514	Hs.418271	-0.102382111
753467	SLC2A3	NM_006931	Hs.419240	-0.009738111
79629	CXCR4	NM_003467	Hs.421986	0.014406778
2283783	CRA	NM_006697	Hs.425144	-0.022895222
66715	PPP5C	NM_006247	Hs.431861	0.004351222
1521706	JAG2_A	A_NM_002226__Contig51202_RC	Hs.433445	-0.008826444
1645668	PDK1	NM_002610	Hs.433611	0.038060222
42906	MPP2	NM_005374	Hs.436326	0.003175222
595078	BHLHB3_A	A_Contig50565__Contig2710_RC	Hs.437282	0.056897889
704049	LPIN2	NM_014646	Hs.437425	0.068263333
746007	FLJ10415	NM_018089	Hs.437647	-0.042419778
220658	MSH2	NM_000251	Hs.440394	-0.012978556
165921	CEP2_A	A_NM_007186__Contig33602_RC	Hs.440606	-0.004417833
774446	ADM	NM_001124	Hs.441047	-0.284719111
51843	PIAS2	Contig21098_RC	Hs.441069	0.019004444
1570311	FAM13A1	NM_014883	Hs.442818	0.062300556
929934	DST	AB018271	Hs.443518	-0.047968889
122982	EGLN3	Contig38674_RC	Hs.443906	-0.064411556
461759	OLR1	NM_002543	Hs.445299	0.016183444
725677	PCTK3_A	A_X66362__AL161977	Hs.445402	-0.078933556
197651		Contig42328_RC	Hs.446589	-0.014372667
1581582	ZNF292	AB011102	Hs.448341	-0.093166333
898218	IGFBP3	NM_000598	Hs.450230	0.017144556
626773	PLEKHA2	Contig3015_RC	Hs.470847	0.023420778
714493	FNBP2_A	A_AK000885__Contig38681_RC__AB007925	Hs.5003	-0.021319037
843046	MKNK2_A	A_NM_017572__AL137615	Hs.512094	-0.106599778
757462	E2IG5	NM_014367	Hs.5243	-0.093933667
130858	FAM29A_A	A_NM_017645__Contig42505_RC	Hs.54617	0.008571944
1643566	CA9	NM_001216	Hs.63287	-0.403902
51344	C14orf132	AK001590	Hs.6434	-0.052514222
48626	INSIG2	AL080184	Hs.7089	0.039227667
841664	CAV1_A	A_NM_001753__AF070648	Hs.74034	-0.070606944
771323	PLOD	NM_000302	Hs.75093	0.032653444
51532	ARL6IP	D31885	Hs.75249	0.015584
838802	P4HA1_A	A_NM_000917__Contig19530_RC	Hs.76768	-0.1042995
1420501	THOP1	NM_003249	Hs.78769	-0.070302778
949939	PGK1_A	A_S81916__NM_000291	Hs.78771	0.001408167
1881104	GNRH1_A	A_NM_000825__Contig40036_RC	Hs.82963	0.053903111
47481	CLECSF2	NM_005127	Hs.85201	-0.020784111
824933	NF1_A	A_NM_000267__AF055023	Hs.93207	-0.034026444
137554	C10orf10	NM_007021	Hs.93675	-0.006080889
1031747	ALKBH_A	A_NM_006020__Contig30575	Hs.94542	0.027065111
69002	ANGPTL4	NM_016109	Hs.9613	-0.288301
795178	LDHC	NM_002301	Hs.99881	0.027812333
