Spot ID	I.M.A.G.E. Clone ID	UniGene Cluster	Symbol	Name
487425	487425	Hs.528302	CETN3	centrin, EF-hand protein, 3 (CDC31 homolog, yeast)
488303	488303	Hs.153884	APACD	ATP binding protein associated with cell differentiation
810504	810504	Hs.77422	PLP2	proteolipid protein 2 (colonic epithelium-enriched)
283034	283034	Hs.372616	ARL1	ADP-ribosylation factor-like 1
788286	788286	Hs.439530	DYRK4	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
302310	302310	Hs.232058		CDNA FLJ36340 fis, clone THYMU2006468
782800	782800	Hs.355735	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1
289143	289143	Hs.421150	ZCWCC3	zinc finger, CW-type with coiled-coil domain 3
149013	149013	Hs.159118	AMD1	adenosylmethionine decarboxylase 1
878129	878129	Hs.157429	SOX3	SRY (sex determining region Y)-box 3
784319	784319	Data not found
839888	839888	Hs.7768	FIBP	fibroblast growth factor (acidic) intracellular binding protein
46786	46786	In multiple clusters
783721	783721	Hs.307944	8-Sep	septin 8
796198	796198	Hs.30942	EFNB2	ephrin-B2
204148	204148	Hs.188361	RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3
141966	141966	Hs.364941	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta-and steroid delta-isomerase 1
809648	809648	Hs.440835	SF1	splicing factor 1
814095	814095	Hs.81118	LTA4H	leukotriene A4 hydrolase
179534	179534	Hs.4975	KCNQ2	potassium voltage-gated channel, KQT-like subfamily, member 2
35077	35077	Hs.21639	APEG1	aortic preferentially expressed protein 1
	842884	Hs.115474	RFC3	replication factor C (activator 1) 3, 38kDa
276449	276449	Hs.255230	GUSB	glucuronidase, beta
884766	884766	Hs.35052	TEGT	testis enhanced gene transcript (BAX inhibitor 1)
291255	291255	Hs.406455	PSAP	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)
139009	139009	Hs.418138	FN1	fibronectin 1
34849	34849	In multiple clusters
80399	80399	Hs.68714	SFRS1	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)
120881	120881	Hs.223025	RAB31	RAB31, member RAS oncogene family
773922	773922	In multiple clusters
714210	714210	Hs.54649	RY1	putative nucleic acid binding protein RY-1
842971	842971	Hs.412597	DSG2	desmoglein 2
842863	842863	Hs.318567	NDRG1	N-myc downstream regulated gene 1
741831	741831	Hs.439312	PLTP	phospholipid transfer protein
824728	824728	Hs.25313	MCRS1	microspherule protein 1
782047	782047	Hs.428779	UNQ6077	AAAP6077
1474174	1474174	Hs.367877	MMP2	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
795191	795191	Hs.390623	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble
824552	824552	Hs.169388	CD99L2	CD99 antigen-like 2
950367	950367	Hs.7957	ADAR	adenosine deaminase, RNA-specific
49352	49352	Hs.386741	ANXA7	annexin A7
771084	771084	Hs.12272	BECN1	beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)
143306	143306	Hs.446566		CDNA clone IMAGE:4801360, with apparent retained intron
2095412	2095412	Hs.449070	RPL13A	ribosomal protein L13a
840990	840990	Hs.348387	GSTM4	glutathione S-transferase M4
810117	810117	Hs.75510	ANXA11	annexin A11
1404841	1404841	Data not found
120108	120108	Hs.445534	PER1	period homolog 1 (Drosophila)
35185	35185	Hs.89768	GABRB1	gamma-aminobutyric acid (GABA) A receptor, beta 1
810512	810512	Hs.164226	THBS1	thrombospondin 1
	80109	In multiple clusters
814381	814381	Hs.75189	DAP	death-associated protein
51447	51447	Hs.372679	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor for (CD16)
884355	884355	Data not found
49351	49351	Hs.21432	PLXN3	likely ortholog of mouse plexin 3
868575	868575	Hs.420569	DSIPI	delta sleep inducing peptide, immunoreactor
711768	711768	Hs.76057	GALE	galactose-4-epimerase, UDP-
703581	703581	Hs.1908	PRG1	proteoglycan 1, secretory granule
47021	47021	Hs.515694		Transcribed sequence with weak similarity to protein sp:O14640 (H.sapiens) DVL1_HUMAN Segment polarity protein dishevelled homolog DVL-1
487704	487704	In multiple clusters
840658	840658	Hs.227429	PTOV1	prostate tumor overexpressed gene 1
232826	232826	Hs.439511	ARPC3	actin related protein 2/3 complex, subunit 3, 21kDa
564846	564846	Hs.1540	THOC1	THO complex 1
814444	814444	Hs.279902	CRSP9	cofactor required for Sp1 transcriptional activation, subunit 9, 33kDa
243181	243181	Hs.110903	CLDN5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)
2021468	2021468	Hs.284275	PAK2	p21 (CDKN1A)-activated kinase 2
358643	358643	Hs.23111	FARSLA	phenylalanine-tRNA synthetase-like, alpha subunit
826459	826459	Hs.356739	PPP6C	protein phosphatase 6, catalytic subunit
488413	488413	Hs.149436	KIF5B	kinesin family member 5B
72395	72395	Hs.475654	MSTP9	macrophage stimulating, pseudogene 9
884673	884673	Hs.227823	LOC283820	hypothetical protein LOC283820
289677	289677	Hs.131727	PFAAP5	phosphonoformate immuno-associated protein 5
323474	323474	Hs.286221	ARF1	ADP-ribosylation factor 1
298155	298155	Hs.254593	ACADM	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain
363086	363086	Hs.425633	CKMT1	creatine kinase, mitochondrial 1 (ubiquitous)
811088	811088	Hs.26988	EFNB3	ephrin-B3
2393764	2393764	Hs.443227	RFC5	replication factor C (activator 1) 5, 36.5kDa
123980	123980	Hs.147189	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
824393	824393	Hs.29285	C9orf60	chromosome 9 open reading frame 60
789011	789011	Hs.83347	AAMP	angio-associated, migratory cell protein
760344	760344	Hs.2057	UMPS	uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5-decarboxylase)
627542	627542	Hs.435726	BLVRA	biliverdin reductase A
752873	752873	Data not found
810761	810761	Hs.26126	CLDN10	claudin 10
809784	809784	Hs.79361	KLK6	kallikrein 6 (neurosin, zyme)
591864	591864	Hs.1802	HLA-DOB	major histocompatibility complex, class II, DO beta
788832	788832	Hs.296638	GDF15	growth differentiation factor 15
824531	824531	Hs.270	PSCDBP	pleckstrin homology, Sec7 and coiled-coil domains, binding protein
83549	83549	Hs.376414	C1R	complement component 1, r subcomponent
781222	781222	Hs.354085	TIAF1	TGFB1-induced anti-apoptotic factor 1
43207	43207	Hs.441202	GFRA2	GDNF family receptor alpha 2
768377	768377	In multiple clusters
489626	489626	Hs.75160	PFKM	phosphofructokinase, muscle
810104	810104	Hs.355888	PLCB2	phospholipase C, beta 2
366481	366481	Hs.432677	KRT6B	keratin 6B
229579	229579	Hs.78979	GLG1	golgi apparatus protein 1
504236	504236	Hs.1905	PRL	prolactin
824041	824041	Hs.77608	SFRS9	splicing factor, arginine/serine-rich 9
796297	796297	Hs.443134	GBA2	glucosidase, beta (bile acid) 2
827013	827013	Hs.440968	TP53BP1	tumor protein p53 binding protein, 1
261519	261519	In multiple clusters
731257	731257	Hs.155001	UNC13B	unc-13 homolog B (C. elegans)
756565	756565	Hs.433201	CDK2AP1	CDK2-associated protein 1
305336	305336	Hs.208080	ROR2	receptor tyrosine kinase-like orphan receptor 2
788247	788247	Hs.82919	CUL2	cullin 2
433474	433474	Hs.423854	SURF1	surfeit 1
241365	241365	Hs.424552	MGC2198	hypothetical protein MGC2198
1723720	1723720	Hs.179735	ARHC	ras homolog gene family, member C
2107532	2107532	Hs.1741	ITGB7	integrin, beta 7
843028	843028	Hs.408488	MSLN	mesothelin
1473304	1473304	Hs.78183	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
127709	127709	Hs.250	XDH	xanthine dehydrogenase
486607	486607	Hs.163546	UBE2E1	ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)
824591	824591	Hs.808	HNRPF	heterogeneous nuclear ribonucleoprotein F
868332	868332	Hs.914	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
130153	130153	Hs.437056	SUPT5H	suppressor of Ty 5 homolog (S. cerevisiae)
774071	774071	Hs.39252	PICALM	phosphatidylinositol binding clathrin assembly protein
1470333	1470333	Hs.324125	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
813757	813757	Hs.433159	FOLR2	folate receptor 2 (fetal)
969914	969914	Hs.85769	HSU15552	acidic 82 kDa protein mRNA
245979	245979	Hs.274122	EPB49	erythrocyte membrane protein band 4.9 (dematin)
785371	785371	Hs.346743	NMT1	N-myristoyltransferase 1
810321	810321	Hs.304134	CARS	cysteinyl-tRNA synthetase
712401	712401	Hs.426967	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide
810899	810899	Hs.374378	CKS1B	CDC28 protein kinase regulatory subunit 1B
788695	788695	Hs.73454	TNNT3	troponin T3, skeletal, fast
259579	259579	Hs.125244	RAD51L3	RAD51-like 3 (S. cerevisiae)
843398	843398	Hs.73853	BMP2	bone morphogenetic protein 2
322079	322079	Hs.194660	CLN3	ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)
491001	491001	Hs.268849	GLO1	glyoxalase I
814101	814101	Hs.379018	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)
	744917	Hs.11342	NINJ1	ninjurin 1
759873	759873	Hs.288720	LRRC17	leucine rich repeat containing 17
1472775	1472775	Hs.114599	COL8A1	collagen, type VIII, alpha 1
767345	767345	Hs.507365		Similar to cadherin 12, type 2 preproprotein; Brcadherin; cadherin-12; N-cadherin 2; braincadherin; neuronal cadherin 2; cadherin, neural type, 2 (LOC391791), mRNA
949932	949932	Hs.512451		Transcribed sequence with strong similarity to protein pir:PS0015 (H.sapiens) PS0015 DNA-binding protein B - human
2361128	2361128	Hs.243491	CASP8	caspase 8, apoptosis-related cysteine protease
838262	838262	Hs.439144	THRAP1	thyroid hormone receptor associated protein 1
740914	740914	Hs.196083	CTBP1	C-terminal binding protein 1
795936	795936	Hs.75066	TSN	translin
1343971	1343971	Hs.172052	PLK4	polo-like kinase 4 (Drosophila)
144786	144786	Hs.821	BGN	biglycan
144816	144816	Hs.24030	SLC31A2	solute carrier family 31 (copper transporters), member 2
814246	814246	Hs.246240	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3
144932	144932	Hs.433201	CDK2AP1	CDK2-associated protein 1
809394	809394	Hs.235069	RECQL	RecQ protein-like (DNA helicase Q1-like)
774036	774036	Hs.11465	GSTO1	glutathione S-transferase omega 1
858153	858153	Hs.79334	NFIL3	nuclear factor, interleukin 3 regulated
469686	469686	Hs.446472	RIT1	Ras-like without CAAX 1
810331	810331	In multiple clusters
562927	562927	In multiple clusters
1055753	1055753	Hs.446279	TOPORS	topoisomerase I binding, arginine/serine-rich
80915	80915	Hs.440475	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
32632	32632	Hs.484927		Transcribed sequences
	711826	Hs.278526	USP6NL	USP6 N-terminal like
855547	855547	Hs.308026	HLA-DRB3	major histocompatibility complex, class II, DR beta 3
788421	788421	Hs.75862	MADH4	MAD, mothers against decapentaplegic homolog 4 (Drosophila)
841044	841044	Hs.356371	RPL28	ribosomal protein L28
669471	669471	Hs.11506	LOC157567	hypothetical protein LOC157567
814478	814478	Hs.227817	BCL2A1	BCL2-related protein A1
726703	726703	Hs.7888		CDNA FLJ44318 fis, clone TRACH3000780
628295	628295	Hs.334629	SLN	sarcolipin
713974	713974	Hs.174142	CSF1R	colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog
296880	296880	Hs.422215	MPP1	membrane protein, palmitoylated 1, 55kDa
823901	823901	Hs.13137	UVRAG	UV radiation resistance associated gene
49665	49665	Hs.82002	EDNRB	endothelin receptor type B
784593	784593	Hs.6838	ARHE	ras homolog gene family, member E
842820	842820	Hs.169900	PABPC4	poly(A) binding protein, cytoplasmic 4 (inducible form)
897669	897669	Hs.512640	PRKCSH	protein kinase C substrate 80K-H
756465	756465	Hs.154057	MMP19	matrix metalloproteinase 19
814989	814989	In multiple clusters
166934	166934	Hs.283794	PCDHGC3	protocadherin gamma subfamily C, 3
39274	39274	Hs.166091	LIG4	ligase IV, DNA, ATP-dependent
236059	236059	Hs.86859	GRB7	growth factor receptor-bound protein 7
840325	840325	Hs.325948	VDP	vesicle docking protein p115
509943	509943	Hs.4747	DKC1	dyskeratosis congenita 1, dyskerin
200814	200814	Hs.307734	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
774751	774751	Hs.1565	NEDD4	neural precursor cell expressed, developmentally down-regulated 4
742125	742125	Hs.65436	LOXL1	lysyl oxidase-like 1
1643268	1643268	Hs.156316	DCN	decorin
429182	429182	Hs.5085	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
796110	796110	In multiple clusters
855395	855395	Hs.75760	SCP2	sterol carrier protein 2
430614	430614	Hs.198365	BPGM	2,3-bisphosphoglycerate mutase
151501	151501	Hs.89640	TEK	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)
826142	826142	Hs.407520	CHN2	chimerin (chimaerin) 2
291965	291965	Hs.401414	WASPIP	Wiskott-Aldrich syndrome protein interacting protein
897641	897641	Hs.440898	FCN1	ficolin (collagen/fibrinogen domain containing) 1
506032	506032	Hs.20716	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)
321386	321386	Hs.373980	IQGAP2	IQ motif containing GTPase activating protein 2
203240	203240	Hs.81988	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)
825296	825296	Hs.82399	COG2	component of oligomeric golgi complex 2
755578	755578	Hs.184601	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
362278	362278	In multiple clusters
505573	505573	Hs.282417	PYGL	phosphorylase, glycogen; liver (Hers disease,  glycogen storage disease type VI)
783698	783698	Hs.81412	LPIN1	lipin 1
41345	41345	Hs.13321	RLF	rearranged L-myc fusion sequence
2489458	2489458	Hs.371974	ACVR1B	activin A receptor, type IB
712049	712049	Hs.411311	IL24	interleukin 24
45138	45138	Hs.79141	VEGFC	vascular endothelial growth factor C
375833	375833	Hs.396530	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)
82195	82195	Hs.159509	SERPINF2	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2
271744	271744	Hs.115263	EREG	epiregulin
853151	853151	Hs.397609	RPS16	ribosomal protein S16
781362	781362	Hs.79706	PLEC1	plectin 1, intermediate filament binding protein 500kDa
877644	877644	Hs.9629	PRCC	papillary renal cell carcinoma (translocation-associated)
740672	740672	Hs.14839	POLR2G	polymerase (RNA) II (DNA directed) polypeptide G
811678	811678	In multiple clusters
784744	784744	Hs.344400	MPHOSPH6	M-phase phosphoprotein 6
773383	773383	Hs.344524	DLEU1	deleted in lymphocytic leukemia, 1
712577	712577	Hs.211571	HCCS	holocytochrome c synthase (cytochrome c heme-lyase)
469369	469369	Hs.24301	POLR2E	polymerase (RNA) II (DNA directed) polypeptide E, 25kDa
544639	544639	Hs.95612	DSC2	desmocollin 2
759163	759163	Hs.296049	MFAP4	microfibrillar-associated protein 4
251875	251875	Hs.447521	MYEF2	myelin expression factor 2
43198	43198	Hs.1614	CHRNA5	cholinergic receptor, nicotinic, alpha polypeptide 5
704290	704290	Hs.232688	ECE1	endothelin converting enzyme 1
771303	771303	Hs.349470	SNCG	synuclein, gamma (breast cancer-specific protein 1)
450949	450949	Hs.436986	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b
810558	810558	Hs.211594	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4
882483	882483	Hs.7879	IFRD1	interferon-related developmental regulator 1
153411	153411	Hs.409805	HLA-DRA	major histocompatibility complex, class II, DR alpha
841357	841357	Hs.484782	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide
753897	753897	Hs.295137	AMFR	autocrine motility factor receptor
300474	300474	Hs.5344	AP1G1	adaptor-related protein complex 1, gamma 1 subunit
132122	132122	Hs.13321	RLF	rearranged L-myc fusion sequence
772912	772912	Hs.239370	GPSM1	G-protein signalling modulator 1 (AGS3-like, C. elegans)
825418	825418	Hs.8217	STAG2	stromal antigen 2
810496	810496	Hs.58167	ZNF282	zinc finger protein 282
448098	448098	Hs.528340	ZNF297B	zinc finger protein 297B
450307	450307	Hs.511762	C12orf8	chromosome 12 open reading frame 8
321389	321389	Hs.279574	GRIM19	cell death-regulatory protein GRIM19
727229	727229	Hs.390428	MAP3K4	mitogen-activated protein kinase kinase kinase 4
366132	366132	Hs.433982	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa
154651	154651	Hs.143288	MGC11271	hypothetical protein MGC11271
845519	845519	Hs.155433	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
784772	784772	Hs.197081	AKAP12	A kinase (PRKA) anchor protein (gravin) 12
840683	840683	Hs.448589	ANKRD1	ankyrin repeat domain 1 (cardiac muscle)
810612	810612	Hs.417004	S100A11	S100 calcium binding protein A11 (calgizzarin)
173392	173392	Hs.66581	PDIP	protein disulfide isomerase, pancreatic
179890	179890	Hs.89499	ALOX5	arachidonate 5-lipoxygenase
	510856	Hs.104925	ENC1	ectodermal-neural cortex (with BTB-like domain)
85840	85840	Hs.364345	NNMT	nicotinamide N-methyltransferase
782618	782618	Hs.418070		Transcribed sequence with strong similarity to protein sp:P42696 (H.sapiens) Y117_HUMAN Hypothetical RNA-binding protein KIAA0117
1854596	1854596	Hs.76090	TNFAIP1	tumor necrosis factor, alpha-induced protein 1 (endothelial)
814123	814123	Hs.196352	NCF4	neutrophil cytosolic factor 4, 40kDa
395711	395711	Hs.171942	RREB1	ras responsive element binding protein 1
262231	262231	Hs.353170	CALR	calreticulin
669435	669435	Hs.91161	PFDN4	prefoldin 4
80410	80410	Hs.335918	FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)
810142	810142	Hs.274485	HLA-C	major histocompatibility complex, class I, C
153541	153541	Hs.272311	EPHB1	EphB1
68977	68977	Hs.9661	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10
756687	756687	Hs.130981	SCARB1	scavenger receptor class B, member 1
180803	180803	Hs.32309	INPP1	inositol polyphosphate-1-phosphatase
1893775	1893775	Hs.512679	BGLAP	bone gamma-carboxyglutamate (gla) protein osteocalcin)
878815	878815	Hs.119177	ARF3	ADP-ribosylation factor 3
897021	897021	Hs.25314		MRNA full length insert cDNA clone EUROIMAGE 25206
812251	812251	Hs.75074	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2
109708	109708	Hs.406631	CDC27	cell division cycle 27
257523	257523	Hs.83147	GNL1	guanine nucleotide binding protein-like 1
	840404	Hs.93338	MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
856447	856447	Hs.14623	IFI30	interferon, gamma-inducible protein 30
781704	781704	Hs.77558	HMGN3	high mobility group nucleosomal binding domain 3
43826	43826	Hs.86905	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C, isoform 1
292217	292217	Hs.339425	USP15	ubiquitin specific protease 15
814460	814460	Hs.78354	SURF5	surfeit 5
501994	501994	Hs.66	IL1RL1	interleukin 1 receptor-like 1
85634	85634	Data not found
509887	509887	Hs.355861	NONO	non-POU domain containing, octamer-binding
146858	146858	Hs.249441	WEE1	WEE1 homolog (S. pombe)
727390	727390	Hs.3260	PSEN1	presenilin 1 (Alzheimer disease 3)
840364	840364	Hs.388004	AHCY	S-adenosylhomocysteine hydrolase
502582	502582	In multiple clusters
713839	713839	Hs.3005	TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)
136536	136536	Hs.283794	PCDHGC3	protocadherin gamma subfamily C, 3
770862	770862	Hs.386465	CHERP	calcium homeostasis endoplasmic reticulum protein
273546	273546	Hs.444439	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
248531	248531	Hs.144057	GMPS	guanine monphosphate synthetase
80948	80948	Hs.381568	IGJ	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides
826204	826204	Hs.531027	FLII	flightless I homolog (Drosophila)
236282	236282	Hs.2157	WAS	Wiskott-Aldrich syndrome (eczemathrombocytopenia)
359976	359976	Hs.512211	IFNAR2	interferon (alpha, beta and omega) receptor 2
868308	868308	Hs.386384	RPS23	ribosomal protein S23
838716	838716	In multiple clusters
2508930	2508930	Hs.74122	CASP4	caspase 4, apoptosis-related cysteine protease
796253	796253	Hs.489461	POLR2J	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa
392622	392622	Hs.406510	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
772951	772951	Hs.78060	PHKB	phosphorylase kinase, beta
878406	878406	Hs.247551	MTX1	metaxin 1
2205128	2205128	Hs.1573	GDF5	growth differentiation factor 5 (cartilage-derived morphogenetic protein-1)
824426	824426	Hs.278426	PDAP1	PDGFA associated protein 1
