RefSeq	Definition	Gene ID	Symbol	Name	Synonyms	Chr	Fold Change	p Value	Cluster Id
NM_000585	Homo sapiens interleukin 15 (IL15), transcript variant 3, mRNA.	3600	IL15	interleukin 15	IL-15|MGC9721	4	0.731	0.000604	2
NM_001008541	Homo sapiens MAX interactor 1 (MXI1), transcript variant 3, mRNA.	4601	MXI1	MAX interactor 1	MAD2|MGC43220|MXD2|MXI|bHLHc11	10	0.712	0.000279	2
NM_001003674	Homo sapiens chromosome 18 open reading frame 1 (C18orf1), transcript variant c1, mRNA.	753	C18orf1	chromosome 18 open reading frame 1	-	18	0.694	0.000226	2
NM_001003675	Homo sapiens chromosome 18 open reading frame 1 (C18orf1), transcript variant c2, mRNA.	753	C18orf1	chromosome 18 open reading frame 1	-	18	0.694	0.000226	2
NM_000573	Homo sapiens complement component (3b/4b) receptor 1 (Knops blood group) (CR1), transcript variant F, mRNA.	1378	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	C3BR|CD35|KN	1	0.619	0.000179	2
NM_000651	Homo sapiens complement component (3b/4b) receptor 1 (Knops blood group) (CR1), transcript variant S, mRNA.	1378	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	C3BR|CD35|KN	1	0.619	0.000179	2
NM_001005861	Homo sapiens RYK receptor-like tyrosine kinase (RYK), transcript variant 1, mRNA.	6259	RYK	RYK receptor-like tyrosine kinase	D3S3195|JTK5|JTK5A|RYK1	3	0.61	0.0000243	2
NM_001003828	Homo sapiens parvin, beta (PARVB), transcript variant 1, mRNA.	29780	PARVB	parvin, beta	CGI-56	22	0.6	0.0000501	2
NM_000885	Homo sapiens integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) (ITGA4), mRNA.	3676	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	CD49D|IA4|MGC90518	2	0.549	0.00017	2
NM_000110	Homo sapiens dihydropyrimidine dehydrogenase (DPYD), mRNA.	1806	DPYD	dihydropyrimidine dehydrogenase	DHP|DHPDHASE|DPD|MGC132008|MGC70799	1	0.525	0.00064	2
NM_000927	Homo sapiens ATP-binding cassette, sub-family B (MDR/TAP), member 1 (ABCB1), mRNA.	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	ABC20|CD243|CLCS|GP170|MDR1|MGC163296|P-GP|PGY1	7	0.506	0.00004	2
NM_000484	Homo sapiens amyloid beta (A4) precursor protein (APP), transcript variant 1, mRNA.	351	APP	amyloid beta (A4) precursor protein	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN2	21	0.456	0.0000307	2
NM_001012732	Homo sapiens dCMP deaminase (DCTD), transcript variant 1, mRNA.	1635	DCTD	dCMP deaminase	MGC111062	4	0.394	0.000000624	2
NM_001025076	Homo sapiens CUG triplet repeat, RNA binding protein 2 (CUGBP2), transcript variant 1, mRNA.	10659	CUGBP2	CUG triplet repeat, RNA binding protein 2	BRUNOL3|ETR-3|NAPOR	10	0.311	0.0000292	2
NM_001025077	Homo sapiens CUG triplet repeat, RNA binding protein 2 (CUGBP2), transcript variant 3, mRNA.	10659	CUGBP2	CUG triplet repeat, RNA binding protein 2	BRUNOL3|ETR-3|NAPOR	10	0.311	0.0000292	2
NM_001005413	Homo sapiens ZW10 interactor (ZWINT), transcript variant 3, mRNA.	11130	ZWINT	ZW10 interactor	HZwint-1|KNTC2AP|MGC117174|ZWINT1	10	7.176	0.000105	3
NM_001005414							7.176	0.000105	3
NM_001002799							5.579	0.000486	3
NM_001002800	Homo sapiens structural maintenance of chromosomes 4 (SMC4), transcript variant 2, mRNA.	10051	SMC4	structural maintenance of chromosomes 4	CAPC|SMC4L1|hCAP-C	3	5.579	0.000486	3
NM_000869	Homo sapiens 5-hydroxytryptamine (serotonin) receptor 3A (HTR3A), transcript variant 2, mRNA.	3359	HTR3A	5-hydroxytryptamine (serotonin) receptor 3A	5-HT-3|5-HT3A|5-HT3R|5HT3R|HTR3	11	3.658	0.0000726	3
NM_001024808	Homo sapiens B-cell CLL/lymphoma 7A (BCL7A), transcript variant 2, mRNA.	605	BCL7A	B-cell CLL/lymphoma 7A	BCL7	12	3.131	0.00000682	3
NM_000902	Homo sapiens membrane metallo-endopeptidase (MME), transcript variant 1, mRNA.	4311	MME	membrane metallo-endopeptidase	CALLA|CD10|DKFZp686O16152|MGC126681|MGC126707|NEP	3	2.783	0.0000144	3
NM_000791	Homo sapiens dihydrofolate reductase (DHFR), mRNA.	1719	DHFR	dihydrofolate reductase	-	5	2.653	0.000003	3
NM_000022	Homo sapiens adenosine deaminase (ADA), mRNA.	100	ADA	adenosine deaminase	-	20	2.644	0.00000714	3
NM_000690	Homo sapiens aldehyde dehydrogenase 2 family (mitochondrial) (ALDH2), nuclear gene encoding mitochondrial protein, mRNA.	217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	ALDH-E2|ALDHI|ALDM|MGC1806	12	2.326	0.000105	3
NM_001008938	Homo sapiens cytoskeleton associated protein 5 (CKAP5), transcript variant 1, mRNA.	9793	CKAP5	cytoskeleton associated protein 5	CHTOG|FLJ35359|KIAA0097|MSPS|TOG|TOGp|ch-TOG	11	2.157	0.0000727	3
NM_000179	Homo sapiens mutS homolog 6 (E. coli) (MSH6), mRNA.	2956	MSH6	mutS homolog 6 (E. coli)	GTBP|HNPCC5|HSAP	2	2.152	0.000396	3
NM_000319	Homo sapiens peroxisomal biogenesis factor 5 (PEX5), transcript variant 2, mRNA.	5830	PEX5	peroxisomal biogenesis factor 5	FLJ50634|FLJ50721|FLJ51948|PTS1-BP|PTS1R|PXR1	12	1.72	0.00000813	3
NM_000016	Homo sapiens acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain (ACADM), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	34	ACADM	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	ACAD1|FLJ18227|FLJ93013|FLJ99884|MCAD|MCADH	1	1.569	0.000017	3
NM_001007793	Homo sapiens budding uninhibited by benzimidazoles 3 homolog (yeast) (BUB3), transcript variant 2, mRNA.	9184	BUB3	budding uninhibited by benzimidazoles 3 homolog (yeast)	BUB3L|hBUB3	10	1.489	0.00038	3
NM_000317	Homo sapiens 6-pyruvoyltetrahydropterin synthase (PTS), mRNA.	5805	PTS	6-pyruvoyltetrahydropterin synthase	FLJ97081|PTPS	11	1.485	0.00000799	3
NM_000454	Homo sapiens superoxide dismutase 1, soluble (SOD1), mRNA.	6647	SOD1	superoxide dismutase 1, soluble	ALS|ALS1|IPOA|SOD|homodimer	21	1.482	0.000207	3
NM_001005339	Homo sapiens regulator of G-protein signaling 10 (RGS10), transcript variant 1, mRNA.	6001	RGS10	regulator of G-protein signaling 10	-	10	1.473	0.000234	3
NM_001009551							1.466	0.000903	3
NM_000788	Homo sapiens deoxycytidine kinase (DCK), mRNA.	1633	DCK	deoxycytidine kinase	MGC117410|MGC138632	4	1.433	0.000132	3
NM_001002258	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9) (ATP5G3), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA.	518	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	MGC125738|P3	2	1.386	0.000392	3
NM_001003703	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6 (ATP5J), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	522	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	ATP5|ATP5A|ATPM|CF6|F6	21	1.383	0.000256	3
NM_001003696	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6 (ATP5J), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA.	522	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	ATP5|ATP5A|ATPM|CF6|F6	21	1.379	0.000237	3
NM_001003697	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6 (ATP5J), nuclear gene encoding mitochondrial protein, transcript variant 4, mRNA.	522	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	ATP5|ATP5A|ATPM|CF6|F6	21	1.379	0.000237	3
NM_001003701	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6 (ATP5J), nuclear gene encoding mitochondrial protein, transcript variant 5, mRNA.	522	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	ATP5|ATP5A|ATPM|CF6|F6	21	1.379	0.000237	3
NM_000465	Homo sapiens BRCA1 associated RING domain 1 (BARD1), mRNA.	580	BARD1	BRCA1 associated RING domain 1	-	2	1.293	0.000019	3
NM_000234	Homo sapiens ligase I, DNA, ATP-dependent (LIG1), mRNA.	3978	LIG1	ligase I, DNA, ATP-dependent	MGC117397|MGC130025	19	1.287	0.0000216	3
NM_000535	Homo sapiens PMS2 postmeiotic segregation increased 2 (S. cerevisiae) (PMS2), transcript variant 1, mRNA.	5395	PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	HNPCC4|PMS2CL|PMSL2	7	1.252	0.000495	3
NM_001018040							1.252	0.000495	3
NM_000135	Homo sapiens Fanconi anemia, complementation group A (FANCA), transcript variant 1, mRNA.	2175	FANCA	Fanconi anemia, complementation group A	FA|FA-H|FA1|FAA|FACA|FAH|FANCH|MGC75158	16	1.249	0.0000826	3
NM_000952	Homo sapiens platelet-activating factor receptor (PTAFR), mRNA.	5724	PTAFR	platelet-activating factor receptor	PAFR	1	1.232	0.000652	3
NM_001025203	Homo sapiens U2 small nuclear RNA auxiliary factor 1 (U2AF1), transcript variant b, mRNA.	7307	U2AF1	U2 small nuclear RNA auxiliary factor 1	DKFZp313J1712|FP793|RN|RNU2AF1|U2AF35|U2AFBP	21	1.19	0.000102	3
NM_001025204	Homo sapiens U2 small nuclear RNA auxiliary factor 1 (U2AF1), transcript variant c, mRNA.	7307	U2AF1	U2 small nuclear RNA auxiliary factor 1	DKFZp313J1712|FP793|RN|RNU2AF1|U2AF35|U2AFBP	21	1.19	0.000102	3
NM_001005332	Homo sapiens melanoma antigen family D, 1 (MAGED1), transcript variant 3, mRNA.	9500	MAGED1	melanoma antigen family D, 1	DLXIN-1|NRAGE	X	1.174	0.000108	3
NM_001005333	Homo sapiens melanoma antigen family D, 1 (MAGED1), transcript variant 1, mRNA.	9500	MAGED1	melanoma antigen family D, 1	DLXIN-1|NRAGE	X	1.174	0.000108	3
NM_001007468	Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 (SMARCB1), transcript variant 2, mRNA.	6598	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	BAF47|INI1|RDT|SNF5|SNF5L1|Sfh1p|Snr1|hSNFS	22	1.161	0.000244	3
NM_000127	Homo sapiens exostoses (multiple) 1 (EXT1), mRNA.	2131	EXT1	exostoses (multiple) 1	EXT|LGCR|LGS|TRPS2|ttv	8	1.159	0.0000798	3
NM_001014763	Homo sapiens electron-transfer-flavoprotein, beta polypeptide (ETFB), transcript variant 2, mRNA.	2109	ETFB	electron-transfer-flavoprotein, beta polypeptide	FP585|MADD	19	1.152	0.000854	3
NM_000418	Homo sapiens interleukin 4 receptor (IL4R), transcript variant 1, mRNA.	3566	IL4R	interleukin 4 receptor	CD124|IL4RA	16	1.133	0.000309	3
NM_000086	Homo sapiens ceroid-lipofuscinosis, neuronal 3 (CLN3), transcript variant 2, mRNA.	1201	CLN3	ceroid-lipofuscinosis, neuronal 3	BATTENIN|BTS|JNCL|MGC102840	16	0.934	0.000103	4
NM_001006665	Homo sapiens ribosomal protein S6 kinase, 90kDa, polypeptide 1 (RPS6KA1), transcript variant 2, mRNA.	6195	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1	HU-1|MAPKAPK1A|RSK|RSK1	1	0.918	0.000201	4
NM_000070	Homo sapiens calpain 3, (p94) (CAPN3), transcript variant 1, mRNA.	825	CAPN3	calpain 3, (p94)	CANP3|CANPL3|LGMD2|LGMD2A|MGC10767|MGC11121|MGC14344|MGC4403|nCL-1|p94	15	0.887	0.000205	4
NM_001001522	Homo sapiens transgelin (TAGLN), transcript variant 1, mRNA.	6876	TAGLN	transgelin	DKFZp686P11128|SM22|SMCC|TAGLN1|WS3-10	11	0.878	0.000404	4
NM_001025160	Homo sapiens CD97 molecule (CD97), transcript variant 3, mRNA.	976	CD97	CD97 molecule	TM7LN1	19	0.872	0.000303	4
NM_001005360	Homo sapiens dynamin 2 (DNM2), transcript variant 1, mRNA.	1785	DNM2	dynamin 2	CMTDI1|CMTDIB|DI-CMTB|DYN2|DYNII	19	0.872	0.0000468	4
NM_001005361	Homo sapiens dynamin 2 (DNM2), transcript variant 2, mRNA.	1785	DNM2	dynamin 2	CMTDI1|CMTDIB|DI-CMTB|DYN2|DYNII	19	0.872	0.0000468	4
NM_001005362	Homo sapiens dynamin 2 (DNM2), transcript variant 4, mRNA.	1785	DNM2	dynamin 2	CMTDI1|CMTDIB|DI-CMTB|DYN2|DYNII	19	0.872	0.0000468	4
NM_000445	Homo sapiens plectin 1, intermediate filament binding protein 500kDa (PLEC1), transcript variant 1, mRNA.	5339	PLEC1	plectin 1, intermediate filament binding protein 500kDa	EBS1|EBSO|HD1|PCN|PLEC1b|PLTN	8	0.851	0.0000881	4
NM_001025579	Homo sapiens nudE nuclear distribution gene E homolog (A. nidulans)-like 1 (NDEL1), transcript variant 1, mRNA.	81565	NDEL1	nudE nuclear distribution gene E homolog (A. nidulans)-like 1	DKFZp451M0318|EOPA|MITAP1|NUDEL	17	0.84	0.000171	4
NM_001025242	Homo sapiens interleukin-1 receptor-associated kinase 1 (IRAK1), transcript variant 2, mRNA.	3654	IRAK1	interleukin-1 receptor-associated kinase 1	IRAK|pelle	X	0.836	0.0000604	4
NM_001025243	Homo sapiens interleukin-1 receptor-associated kinase 1 (IRAK1), transcript variant 3, mRNA.	3654	IRAK1	interleukin-1 receptor-associated kinase 1	IRAK|pelle	X	0.836	0.0000604	4
NM_000528	Homo sapiens mannosidase, alpha, class 2B, member 1 (MAN2B1), mRNA.	4125	MAN2B1	mannosidase, alpha, class 2B, member 1	LAMAN|MANB	19	0.817	0.000353	4
NM_000389	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 1, mRNA.	1026	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	6	0.737	0.0000902	4
NM_001024843	Homo sapiens trinucleotide repeat containing 6B (TNRC6B), transcript variant 2, mRNA.	23112	TNRC6B	trinucleotide repeat containing 6B	KIAA1093	22	0.734	0.000125	4
NM_000873	Homo sapiens intercellular adhesion molecule 2 (ICAM2), transcript variant 5, mRNA.	3384	ICAM2	intercellular adhesion molecule 2	CD102	17	0.686	0.000198	4
NM_000206	Homo sapiens interleukin 2 receptor, gamma (severe combined immunodeficiency) (IL2RG), mRNA.	3561	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	CD132|IMD4|SCIDX|SCIDX1	X	0.593	0.0000142	4
NM_000628	Homo sapiens interleukin 10 receptor, beta (IL10RB), mRNA.	3588	IL10RB	interleukin 10 receptor, beta	CDW210B|CRF2-4|CRFB4|D21S58|D21S66|IL-10R2	21	0.489	0.0000034	4
NM_001004196	Homo sapiens CD200 molecule (CD200), transcript variant 2, mRNA.	4345	CD200	CD200 molecule	MOX1|MOX2|MRC|OX-2	3	0.43	0.0000562	4
NM_001004197							0.43	0.0000562	4
NM_001024847	Homo sapiens transforming growth factor, beta receptor II (70/80kDa) (TGFBR2), transcript variant 1, mRNA.	7048	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	AAT3|FAA3|LDS1B|LDS2B|MFS2|RIIC|TAAD2|TGFR-2|TGFbeta-RII	3	0.359	0.000002	4
NM_000574	Homo sapiens CD55 molecule, decay accelerating factor for complement (Cromer blood group) (CD55), transcript variant 1, mRNA.	1604	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	CR|CROM|DAF|TC	1	0.311	0.00000404	4
NM_000443	Homo sapiens ATP-binding cassette, sub-family B (MDR/TAP), member 4 (ABCB4), transcript variant A, mRNA.	5244	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	ABC21|GBD1|MDR2|MDR2/3|MDR3|PFIC-3|PGY3	7	0.259	0.000000894	4
NM_000416	Homo sapiens interferon gamma receptor 1 (IFNGR1), mRNA.	3459	IFNGR1	interferon gamma receptor 1	CD119|FLJ45734|IFNGR	6	0.238	0.0000346	4
NM_000610	Homo sapiens CD44 molecule (Indian blood group) (CD44), transcript variant 1, mRNA.	960	CD44	CD44 molecule (Indian blood group)	CDW44|CSPG8|ECMR-III|HCELL|IN|LHR|MC56|MDU2|MDU3|MGC10468|MIC4|MUTCH-I|Pgp1	11	0.136	3.17E-08	4
NM_001001389	Homo sapiens CD44 molecule (Indian blood group) (CD44), transcript variant 2, mRNA.	960	CD44	CD44 molecule (Indian blood group)	CDW44|CSPG8|ECMR-III|HCELL|IN|LHR|MC56|MDU2|MDU3|MGC10468|MIC4|MUTCH-I|Pgp1	11	0.136	3.17E-08	4
NM_001001390	Homo sapiens CD44 molecule (Indian blood group) (CD44), transcript variant 3, mRNA.	960	CD44	CD44 molecule (Indian blood group)	CDW44|CSPG8|ECMR-III|HCELL|IN|LHR|MC56|MDU2|MDU3|MGC10468|MIC4|MUTCH-I|Pgp1	11	0.136	3.17E-08	4
NM_001001391	Homo sapiens CD44 molecule (Indian blood group) (CD44), transcript variant 4, mRNA.	960	CD44	CD44 molecule (Indian blood group)	CDW44|CSPG8|ECMR-III|HCELL|IN|LHR|MC56|MDU2|MDU3|MGC10468|MIC4|MUTCH-I|Pgp1	11	0.106	7.45E-08	4
NM_001001392	Homo sapiens CD44 molecule (Indian blood group) (CD44), transcript variant 5, mRNA.	960	CD44	CD44 molecule (Indian blood group)	CDW44|CSPG8|ECMR-III|HCELL|IN|LHR|MC56|MDU2|MDU3|MGC10468|MIC4|MUTCH-I|Pgp1	11	0.106	7.45E-08	4
NM_000600	Homo sapiens interleukin 6 (interferon, beta 2) (IL6), mRNA.	3569	IL6	interleukin 6 (interferon, beta 2)	BSF2|HGF|HSF|IFNB2|IL-6	7	0.048	0.000000481	4
NM_001025248	Homo sapiens deoxyuridine triphosphatase (DUT), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	1854	DUT	deoxyuridine triphosphatase	FLJ20622|dUTPase	15	1.886	0.00000908	5
NM_001025249	Homo sapiens deoxyuridine triphosphatase (DUT), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA.	1854	DUT	deoxyuridine triphosphatase	FLJ20622|dUTPase	15	1.886	0.00000908	5
NM_000852	Homo sapiens glutathione S-transferase pi 1 (GSTP1), mRNA.	2950	GSTP1	glutathione S-transferase pi 1	DFN7|FAEES3|GST3|PI	11	1.579	0.000384	5
NM_001003810	Homo sapiens heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) (HNRNPD), transcript variant 4, mRNA.	3184	HNRNPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	AUF1|AUF1A|HNRPD|P37|hnRNPD0	4	1.354	0.0000038	5
NM_001003713	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2 (ATP5J2), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	9551	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	ATP5JL	7	1.301	0.000266	5
NM_001008709	Homo sapiens protein phosphatase 1, catalytic subunit, alpha isoform (PPP1CA), transcript variant 3, mRNA.	5499	PPP1CA	protein phosphatase 1, catalytic subunit, alpha isoform	MGC15877|MGC1674|PP-1A|PPP1A	11	1.151	0.000104	5
NM_001004	Homo sapiens ribosomal protein, large, P2 (RPLP2), mRNA.	6181	RPLP2	ribosomal protein, large, P2	D11S2243E|MGC71408|P2|RPP2	11	0.993	0.000144	6
NM_001025158	Homo sapiens CD74 molecule, major histocompatibility complex, class II invariant chain (CD74), transcript variant 3, mRNA.	972	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	DHLAG|HLADG|Ia-GAMMA	5	0.98	0.000312	6
NM_001025159	Homo sapiens CD74 molecule, major histocompatibility complex, class II invariant chain (CD74), transcript variant 1, mRNA.	972	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	DHLAG|HLADG|Ia-GAMMA	5	0.98	0.000312	6
NM_001004106	Homo sapiens G protein-coupled receptor kinase 6 (GRK6), transcript variant 1, mRNA.	2870	GRK6	G protein-coupled receptor kinase 6	FLJ32135|GPRK6	5	0.946	0.000823	6
NM_001006658	Homo sapiens complement component (3d/Epstein Barr virus) receptor 2 (CR2), transcript variant 1, mRNA.	1380	CR2	complement component (3d/Epstein Barr virus) receptor 2	C3DR|CD21|SLEB9	1	0.757	0.000258	6
NM_000581	Homo sapiens glutathione peroxidase 1 (GPX1), transcript variant 1, mRNA.	2876	GPX1	glutathione peroxidase 1	GSHPX1|MGC14399|MGC88245	3	0.632	0.0000314	6
NM_000655	Homo sapiens selectin L (SELL), mRNA.	6402	SELL	selectin L	CD62L|LAM-1|LAM1|LECAM1|LNHR|LSEL|LYAM1|Leu-8|Lyam-1|PLNHR|TQ1|hLHRc	1	0.059	0.000000857	6
