Affymetrix ID	Symbol	Gene Name	Fold difference	P.Value
1435477_s_at	Fcgr2b	Fc receptor, IgG, low affinity IIb	19.0	4.18E-08
1419483_at	C3ar1	complement component 3a receptor 1	18.9	1.05E-09
1460419_a_at	Prkcb1	protein kinase C, beta 1	18.8	1.58E-05
1417377_at	Igsf4a	immunoglobulin superfamily, member 4A	18.6	8.85E-07
1417378_at	Igsf4a	immunoglobulin superfamily, member 4A	18.6	1.28E-05
1424111_at	Igf2r	insulin-like growth factor 2 receptor	18.4	4.13E-09
1418350_at	Dtr	diphtheria toxin receptor	18.4	1.22E-06
1448908_at	Ppap2b	phosphatidic acid phosphatase type 2B	17.7	1.65E-06
1451941_a_at	Fcgr2b	Fc receptor, IgG, low affinity IIb	17.7	4.23E-07
1451716_at	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	17.5	2.57E-10
1417381_at	C1qa	complement component 1, q subcomponent, alpha polypeptide	17.3	1.04E-07
1429183_at	Pkp2	plakophilin 2	17.3	2.03E-12
1421855_at	Fgl2	fibrinogen-like protein 2	17.1	6.19E-07
1449187_at	Pdgfa	platelet derived growth factor, alpha	16.8	2.32E-08
1448786_at	1100001H23Rik	RIKEN cDNA 1100001H23 gene	16.8	1.03E-07
1426622_a_at	Qpct	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	16.2	1.90E-08
1451418_a_at	Ssb4	SPRY domain-containing SOCS box 4	15.9	1.11E-10
1424727_at	Ccr5	chemokine (C-C motif) receptor 5	15.8	3.41E-07
1419127_at	Npy	neuropeptide Y	15.8	0.001057484
1450296_at	Klrb1a	killer cell lectin-like receptor subfamily B member 1A	15.7	0.00137679
1450779_at	Fabp7	fatty acid binding protein 7, brain	15.7	1.09E-07
1442118_at	---	---	15.5	2.05E-08
1427313_at	Ptgir	prostaglandin I receptor (IP)	15.1	4.79E-06
1437060_at	Olfm4	olfactomedin 4	14.8	1.23E-07
1416918_at	Dlgh3	discs, large homolog 3 (Drosophila)	14.7	1.37E-06
1418645_at	Hal	histidine ammonia lyase	14.7	9.79E-09
1447541_s_at	---	---	14.7	1.31E-05
1449153_at	Mmp12	matrix metalloproteinase 12	14.5	1.33E-08
1423754_at	Ifitm3	interferon induced transmembrane protein 3	14.2	1.01E-05
1448995_at	Cxcl4	chemokine (C-X-C motif) ligand 4	13.8	0.001276406
1448754_at	Rbp1	retinol binding protein 1, cellular	13.7	5.24E-07
1434510_at	1810018P12Rik	RIKEN cDNA 1810018P12 gene	13.5	2.71E-09
1426649_at	Tmeff1	transmembrane protein with EGF-like and two follistatin-like domains 1	13.3	3.12E-05
1454838_s_at	AW548124	expressed sequence AW548124	13.2	1.03E-07
1460227_at	Timp1	tissue inhibitor of metalloproteinase 1	13.0	6.75E-11
1416156_at	Vcl	vinculin	12.8	4.62E-07
1417928_at	Pdlim4	PDZ and LIM domain 4	12.6	2.55E-08
1424754_at	Ms4a7	membrane-spanning 4-domains, subfamily A, member 7	12.6	3.13E-07
1418318_at	Rnf128	ring finger protein 128	12.5	9.48E-09
1460220_a_at	Csf1	colony stimulating factor 1 (macrophage)	12.5	4.35E-09
1449036_at	Rnf128	ring finger protein 128	12.4	3.70E-08
1455812_x_at	Slitl2	Slit-like 2 (Drosophila)	12.4	5.43E-08
1448942_at	Gng11	guanine nucleotide binding protein (G protein), gamma 11	12.3	1.57E-08
1434325_x_at	Prkar1b	protein kinase, cAMP dependent regulatory, type I beta	12.2	3.89E-07
1429379_at	Xlkd1	extra cellular link domain-containing 1	12.1	6.30E-07
1433930_at	Hpse	heparanase	12.1	2.75E-08
1419532_at	Il1r2	interleukin 1 receptor, type II	12.1	1.53E-06
1433768_at	2410003B16Rik	RIKEN cDNA 2410003B16 gene	12.0	1.63E-05
1455333_at	Tens1	tensin-like SH2 domain containing 1	11.9	2.78E-10
1455096_at	Flrt2	fibronectin leucine rich transmembrane protein 2	11.8	1.20E-07
1452342_at	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	11.6	2.69E-07
1427660_x_at	D6Mit97	DNA segment, Chr 6, Massachusetts Institute of Technology 97	11.6	0.002950357
1423059_at	Ptk2	PTK2 protein tyrosine kinase 2	11.6	9.10E-07
1435436_at	---	---	11.6	4.12E-06
1419309_at	Gp38	glycoprotein 38	11.5	1.03E-06
1434909_at	Rragd	Ras-related GTP binding D	11.3	6.55E-05
1417290_at	Lrg1	leucine-rich alpha-2-glycoprotein 1	11.2	0.000768162
1453617_at	Zranb3	zinc finger, RAN-binding domain containing 3	11.2	4.48E-06
1442339_at	LOC268885	stefin 2-like	11.1	2.15E-08
1440837_at	H2-Ob	histocompatibility 2, O region beta locus	11.1	0.000167761
1423478_at	Prkcb1	protein kinase C, beta 1	11.1	1.36E-06
1433716_x_at	Gfra2	glial cell line derived neurotrophic factor family receptor alpha 2	11.0	5.59E-05
1422706_at	Tmepai	transmembrane, prostate androgen induced RNA	10.9	2.15E-06
1452035_at	Col4a1	procollagen, type IV, alpha 1	10.8	2.05E-09
1427381_at	Irg1	immunoresponsive gene 1	10.7	0.000268687
1444426_at	F730031O20Rik	RIKEN cDNA F730031O20 gene	10.6	5.71E-07
1424542_at	S100a4	S100 calcium binding protein A4	10.5	5.20E-06
1452283_at	AW123240	expressed sequence AW123240	10.5	1.59E-08
1437989_at	Pde8b	phosphodiesterase 8B	10.5	0.001563815
1449401_at	C1qg	complement component 1, q subcomponent, gamma polypeptide	10.4	1.95E-05
1449195_s_at	Cxcl16	chemokine (C-X-C motif) ligand 16	10.4	2.10E-07
1452661_at	Tfrc	transferrin receptor	10.3	2.02E-07
1428902_at	1110020P09Rik	RIKEN cDNA 1110020P09 gene	10.1	1.42E-05
1460329_at	B4galt6	UDP-Gal	10.1	7.30E-08
1438619_x_at	Zdhhc14	zinc finger, DHHC domain containing 14	9.8	1.05E-09
1455332_x_at	Fcgr2b	Fc receptor, IgG, low affinity IIb	9.7	1.24E-08
1434028_at	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	9.5	7.39E-07
1419289_a_at	Syngr1	synaptogyrin 1	9.4	4.16E-09
1453418_at	Col24a1	procollagen, type XXIV, alpha 1	9.3	0.001089658
1459860_x_at	Trim2	tripartite motif protein 2	9.3	2.01E-07
1419186_a_at	Siat8d	sialyltransferase 8 (alpha-2, 8-sialyltransferase) D	9.2	1.22E-06
1448383_at	Mmp14	matrix metalloproteinase 14 (membrane-inserted)	9.1	1.50E-06
1417376_a_at	Igsf4a	immunoglobulin superfamily, member 4A	9.1	3.24E-05
1460302_at	Thbs1	thrombospondin 1	8.9	7.00E-06
1452762_at	Rbms3	RNA binding motif, single stranded interacting protein	8.9	1.65E-05
1417110_at	Man1a	mannosidase 1, alpha	8.8	7.06E-09
1424560_at	Pstpip1	proline-serine-threonine phosphatase-interacting protein 1	8.8	8.15E-06
1443783_x_at	H2-Aa	histocompatibility 2, class II antigen A, alpha	8.8	0.006001457
1429637_at	1110032E23Rik	RIKEN cDNA 1110032E23 gene	8.8	3.31E-06
1436938_at	Rbms3	RNA binding motif, single stranded interacting protein	8.7	1.43E-06
1425125_at	Oit3	oncoprotein induced transcript 3	8.7	3.17E-10
1419482_at	C3ar1	complement component 3a receptor 1	8.7	7.01E-07
1456060_at	---	---	8.5	3.89E-05
1416411_at	Gstm2	glutathione S-transferase, mu 2	8.5	6.69E-06
1426642_at	Fn1	fibronectin 1	8.5	5.15E-07
1420361_at	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	8.4	1.07E-07
1452543_a_at	Scgb1a1	secretoglobin, family 1A, member 1 (uteroglobin)	8.4	0.000817172
1448021_at	---	---	8.4	2.61E-06
1437614_x_at	Zdhhc14	zinc finger, DHHC domain containing 14	8.4	3.85E-09
1417025_at	H2-Eb1	histocompatibility 2, class II antigen E beta	8.3	2.36E-05
1460218_at	Cd52	CD52 antigen	8.3	4.26E-05
1450488_at	Ccl24	chemokine (C-C motif) ligand 24	8.3	2.26E-05
1434140_at	Mcf2l	mcf.2 transforming sequence-like	8.2	2.87E-06
1417090_at	Rcn1	reticulocalbin 1	8.1	2.68E-06
1423668_at	Zdhhc14	zinc finger, DHHC domain containing 14	8.1	2.39E-07
1449084_s_at	Sh3d19	SH3 domain protein D19	8.0	2.88E-08
1439833_at	3-Sep	septin 3	8.0	0.000213586
1417654_at	Sdc4	syndecan 4	7.9	5.37E-06
1424254_at	Ifitm1	interferon induced transmembrane protein 1	7.9	2.12E-08
1417702_a_at	Hnmt	histamine N-methyltransferase	7.9	3.19E-05
1419394_s_at	S100a8	S100 calcium binding protein A8 (calgranulin A)	7.9	7.15E-07
1418394_a_at	Cd97	CD97 antigen	7.7	1.42E-08
1450884_at	Cd36	CD36 antigen	7.7	1.62E-08
1422892_s_at	H2-Ea	histocompatibility 2, class II antigen E alpha	7.6	0.004551923
1424769_s_at	Cald1	caldesmon 1	7.6	6.02E-06
1434499_a_at	Ldh2	lactate dehydrogenase 2, B chain	7.6	4.88E-06
1441890_x_at	Tmeff1	transmembrane protein with EGF-like and two follistatin-like domains 1	7.5	0.01705668
1449382_at	Slc6a12	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12	7.5	7.59E-07
1448914_a_at	Csf1	colony stimulating factor 1 (macrophage)	7.5	5.40E-08
1453152_at	Mamdc2	MAM domain containing 2	7.5	0.020228918
1438975_x_at	Zdhhc14	zinc finger, DHHC domain containing 14	7.5	1.40E-08
1434339_at	2610318I01Rik	RIKEN cDNA 2610318I01 gene	7.4	4.51E-05
1453234_at	1300002K09Rik	RIKEN cDNA 1300002K09 gene	7.3	6.04E-05
1433741_at	Cd38	CD38 antigen	7.3	1.26E-05
1436736_x_at	D0H4S114	DNA segment, human D4S114	7.2	1.68E-07
1436521_at	Slc36a2	solute carrier family 36 (proton/amino acid symporter), member 2	7.0	4.61E-09
1448788_at	Cd200	Cd200 antigen	7.0	1.21E-06
1435758_at	B4galt6	UDP-Gal	7.0	8.22E-07
1433453_a_at	AW539457	expressed sequence AW539457	6.9	0.003104854
1419219_at	Cyp4f18	cytochrome P450, family 4, subfamily f, polypeptide 18	6.8	7.19E-08
1424463_at	2210010L05Rik	RIKEN cDNA 2210010L05 gene	6.8	2.68E-05
1418711_at	Pdgfa	platelet derived growth factor, alpha	6.8	4.83E-09
1422789_at	Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2	6.8	0.000128713
1434875_a_at	Hmgn3	high mobility group nucleosomal binding domain 3	6.7	3.93E-08
1448752_at	Car2	carbonic anhydrase 2	6.7	2.41E-05
1416808_at	Nid1	nidogen 1	6.7	1.57E-07
1421037_at	Npas2	neuronal PAS domain protein 2	6.6	0.000949271
1424358_at	Ube2e2	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)	6.6	1.44E-06
1431777_a_at	Hmgn3	high mobility group nucleosomal binding domain 3	6.6	2.77E-05
1416498_at	Ppic	peptidylprolyl isomerase C	6.6	1.97E-05
1440342_at	---	---	6.5	0.029252209
1425450_at	Chi3l4	chitinase 3-like 4	6.5	1.66E-06
1451888_a_at	Odz4	odd Oz/ten-m homolog 4 (Drosophila)	6.5	6.48E-06
1455106_a_at	Ckb	creatine kinase, brain	6.5	0.000498005
1435945_a_at	Kcnn4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	6.5	0.001910805
1416306_at	Clca3	chloride channel calcium activated 3	6.5	3.71E-09
1418349_at	Dtr	diphtheria toxin receptor	6.5	4.54E-05
1435476_a_at	Fcgr2b	Fc receptor, IgG, low affinity IIb	6.4	4.21E-08
1452431_s_at	H2-Ea	histocompatibility 2, class II antigen E alpha	6.4	0.000105666
1455544_at	Zranb3	zinc finger, RAN-binding domain containing 3	6.4	0.00012796
1439906_at	---	---	6.4	0.00013329
1437356_at	Ebi2	Epstein-Barr virus induced gene 2	6.3	2.54E-05
1418057_at	Tiam1	T-cell lymphoma invasion and metastasis 1	6.3	1.51E-07
1452291_at	Centd1	centaurin, delta 1	6.3	0.000111243
1455549_at	Sestd1	SEC14 and spectrin domains 1	6.3	4.66E-06
1417688_at	BC004044	cDNA sequence BC004044	6.2	1.93E-06
1418872_at	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	6.2	1.11E-07
1453782_at	5730557B15Rik	RIKEN cDNA 5730557B15 gene	6.2	0.000124864
1419282_at	Ccl12	chemokine (C-C motif) ligand 12	6.2	0.005268622
1416009_at	Tm4sf8	transmembrane 4 superfamily member 8	6.2	7.37E-08
1436530_at	---	---	6.1	3.28E-07
1448269_a_at	Klhl13	kelch-like 13 (Drosophila)	6.1	0.000144471
1424051_at	Col4a2	procollagen, type IV, alpha 2	6.1	1.32E-09
1448613_at	Ecm1	extracellular matrix protein 1	6.1	0.000101015
1417785_at	Pla1a	phospholipase A1 member A	6.1	3.07E-06
1450140_a_at	Cdkn2a	cyclin-dependent kinase inhibitor 2A	6.1	0.000258591
1433720_s_at	Ndg2	Nur77 downstream gene 2	6.0	1.68E-08
1455019_x_at	Ckap4	cytoskeleton-associated protein 4	6.0	2.29E-07
1427102_at	Slfn4	schlafen 4	6.0	0.011428237
1436990_s_at	Ndg2	Nur77 downstream gene 2	6.0	2.31E-08
1449056_at	---	---	6.0	9.57E-08
1439221_s_at	Tnfrsf5	tumor necrosis factor receptor superfamily, member 5	5.9	1.30E-06
1419603_at	Ifi16	interferon, gamma-inducible protein 16	5.9	0.019252201
1427242_at	Ddx4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	5.9	0.0002819
1436907_at	Nav1	neuron navigator 1	5.9	2.01E-06
1422966_a_at	Tfrc	transferrin receptor	5.8	4.41E-07
1422804_at	Serpinb6b	serine (or cysteine) proteinase inhibitor, clade B, member 6b	5.8	3.22E-06
1436346_at	Cd109	CD109 antigen	5.8	9.83E-06
1425477_x_at	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	5.8	0.004171848
1428573_at	Chn2	chimerin (chimaerin) 2	5.8	0.013223703
1428386_at	Acsl3	acyl-CoA synthetase long-chain family member 3	5.7	1.25E-06
1440666_at	4933430I17Rik	RIKEN cDNA 4933430I17 gene	5.7	0.000100174
1448417_at	Ninj1	ninjurin 1	5.6	5.15E-06
1449077_at	Eraf	erythroid associated factor	5.6	0.000105973
1427005_at	Plk2	polo-like kinase 2 (Drosophila)	5.6	0.00320376
1424112_at	Igf2r	insulin-like growth factor 2 receptor	5.5	6.27E-05
1458438_at	4933415L06Rik	RIKEN cDNA 4933415L06 gene	5.5	5.92E-07
1454713_s_at	Hdc	histidine decarboxylase	5.5	1.48E-06
1451721_a_at	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	5.4	0.004019008
1417116_at	Slc6a8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	5.4	3.05E-08
1426719_at	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	5.4	4.48E-07
1456739_x_at	Armcx2	armadillo repeat containing, X-linked 2	5.4	0.001476987
1417023_a_at	Fabp4	fatty acid binding protein 4, adipocyte	5.4	0.000275111
1448411_at	Wfs1	Wolfram syndrome 1 homolog (human)	5.3	7.05E-05
1448831_at	Angpt2	angiopoietin 2	5.3	3.24E-05
1418191_at	Usp18	ubiquitin specific protease 18	5.3	0.03066381
1434130_at	Lhfpl2	lipoma HMGIC fusion partner-like 2	5.3	4.18E-05
1421792_s_at	Trem2	triggering receptor expressed on myeloid cells 2	5.3	0.000736516
1437932_a_at	Cldn1	claudin 1	5.3	0.000102708
1426696_at	Lrpap1	low density lipoprotein receptor-related protein associated protein 1	5.3	2.11E-08
1423269_a_at	Nedd4l	neural precursor cell expressed, developmentally down-regulated gene 4-like	5.2	5.44E-05
1423466_at	Ccr7	chemokine (C-C motif) receptor 7	5.2	2.28E-05
1437250_at	---	gene model 974, (NCBI)	5.2	0.000249306
1424831_at	Cpne2	copine II	5.2	0.000159599
1416412_at	Nsmaf	neutral sphingomyelinase (N-SMase) activation associated factor	5.2	1.97E-05
1433908_a_at	Cttn	cortactin	5.2	0.000654696
1418843_at	Slc30a4	solute carrier family 30 (zinc transporter), member 4	5.2	2.91E-06
1417976_at	Ada	adenosine deaminase	5.2	0.000633475
1450639_at	Slc28a2	solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	5.2	0.000155746
1421173_at	Irf4	interferon regulatory factor 4	5.1	1.50E-06
1437514_at	B430306N03Rik	RIKEN cDNA B430306N03 gene	5.1	1.07E-06
1429114_at	Sestd1	SEC14 and spectrin domains 1	5.1	4.92E-06
1452679_at	2410129E14Rik	RIKEN cDNA 2410129E14 gene	5.1	0.003917007
1452771_s_at	Acsl3	acyl-CoA synthetase long-chain family member 3	5.1	1.38E-08
1417111_at	Man1a	mannosidase 1, alpha	5.1	2.72E-08
1434773_a_at	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	5.1	9.13E-05
1415943_at	Sdc1	syndecan 1	5.1	0.000126665
1455257_at	Itgb3	integrin beta 3	5.0	2.08E-07
1435290_x_at	H2-Aa	histocompatibility 2, class II antigen A, alpha	5.0	0.004254773
1451411_at	Gprc5b	G protein-coupled receptor, family C, group 5, member B	5.0	0.017688045
1441281_s_at	Ninj1	ninjurin 1	5.0	1.63E-06
1417267_s_at	Fkbp11	FK506 binding protein 11	5.0	0.002937726
1418718_at	Cxcl16	chemokine (C-X-C motif) ligand 16	5.0	1.04E-06
1421977_at	Mmp19	matrix metalloproteinase 19	5.0	2.66E-06
1438030_at	Rasgrp3	RAS, guanyl releasing protein 3	5.0	7.59E-05
1422891_at	H2-Ea	histocompatibility 2, class II antigen E alpha	5.0	0.005754414
1460197_a_at	Tnfaip9	tumor necrosis factor, alpha-induced protein 9	5.0	4.24E-05
1422776_at	Serpinb8	serine (or cysteine) proteinase inhibitor, clade B, member 8	5.0	0.001534509
1457648_x_at	BC004044	cDNA sequence BC004044	5.0	5.03E-05
1440298_at	---	---	5.0	2.32E-05
1449856_at	Rgs18	regulator of G-protein signaling 18	5.0	0.003272724
1417925_at	Ccl22	chemokine (C-C motif) ligand 22	4.9	4.14E-06
1437226_x_at	Mlp	MARCKS-like protein	4.9	0.046832301
1438858_x_at	H2-Aa	histocompatibility 2, class II antigen A, alpha	4.9	0.033668873
1428167_a_at	Mpzl1	myelin protein zero-like 1	4.9	7.26E-06
1423166_at	Cd36	CD36 antigen	4.9	2.05E-07
1449216_at	Itgae	integrin, alpha E, epithelial-associated	4.8	0.002457056
1416239_at	Ass	argininosuccinate synthetase	4.8	2.74E-06
1457687_at	Bcl2	B-cell leukemia/lymphoma 2	4.8	2.76E-06
1438475_at	AB124611	cDNA sequence AB124611	4.8	1.47E-05
1419196_at	Hamp	hepcidin antimicrobial peptide	4.8	0.000266468
1425294_at	Slamf8	SLAM family member 8	4.8	7.84E-05
1418892_at	Rhoj	ras homolog gene family, member J	4.8	9.20E-06
1419647_a_at	Ier3	immediate early response 3	4.8	0.000214302
1424976_at	Rhov	ras homolog gene family, member V	4.8	3.62E-06
1434447_at	Tef	thyrotroph embryonic factor	4.8	5.86E-06
1456887_at	Cmklr1	chemokine-like receptor 1	4.7	0.0002018
1430635_at	Mlana	melan-A	4.7	0.000942279
1453021_at	Stxbp5	syntaxin binding protein 5 (tomosyn)	4.7	6.79E-07
1450648_s_at	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	4.7	0.005917221
1453304_s_at	Ly6e	lymphocyte antigen 6 complex, locus E	4.7	0.007962298
1437409_s_at	Gpr126	G protein-coupled receptor 126	4.7	2.21E-06
1448562_at	Upp1	uridine phosphorylase 1	4.7	0.001455128
1417492_at	Ctsb	cathepsin B	4.6	3.99E-06
1434260_at	Fchsd2	FCH and double SH3 domains 2	4.6	1.27E-06
1453287_at	5730557B15Rik	RIKEN cDNA 5730557B15 gene	4.6	8.80E-06
1455993_at	Odz4	odd Oz/ten-m homolog 4 (Drosophila)	4.6	3.25E-07
1452654_at	Zdhhc2	zinc finger, DHHC domain containing 2	4.6	0.003119663
1436238_at	Lgi3	leucine-rich repeat LGI family, member 3	4.6	0.001092232
1420909_at	Vegfa	vascular endothelial growth factor A	4.6	3.19E-05
1421947_at	Gng12	guanine nucleotide binding protein (G protein), gamma 12	4.6	1.85E-07
1422125_at	Htr2b	5-hydroxytryptamine (serotonin) receptor 2B	4.6	6.74E-06
1419135_at	Ltb	lymphotoxin B	4.6	0.015464204
1433743_at	Dach1	dachshund 1 (Drosophila)	4.6	0.00015634
1422046_at	Itgam	integrin alpha M	4.5	4.90E-06
1429682_at	4930431B09Rik	RIKEN cDNA 4930431B09 gene	4.5	1.13E-05
1431970_at	Tm7sf4	transmembrane 7 superfamily member 4	4.5	2.51E-05
1422438_at	Ephx1	epoxide hydrolase 1, microsomal	4.5	2.77E-07
1438498_at	Cxcl16	chemokine (C-X-C motif) ligand 16	4.5	0.000269845
1451419_at	Ssb4	SPRY domain-containing SOCS box 4	4.4	0.000372072
1426599_a_at	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	4.4	0.000215073
1456543_at	Gpr73	G protein-coupled receptor 73	4.4	0.000135715
1425958_at	Il1f9	interleukin 1 family, member 9	4.3	7.50E-07
1426754_x_at	Ckap4	cytoskeleton-associated protein 4	4.3	2.91E-05
1426755_at	Ckap4	cytoskeleton-associated protein 4	4.3	6.23E-05
1435627_x_at	Mlp	MARCKS-like protein	4.3	0.041614027
1448891_at	Msr2	macrophage scavenger receptor 2	4.3	0.013714806
1434129_s_at	Lhfpl2	lipoma HMGIC fusion partner-like 2	4.2	5.24E-07
1418649_at	Egln3	EGL nine homolog 3 (C. elegans)	4.2	4.06E-07
1460287_at	Timp2	tissue inhibitor of metalloproteinase 2	4.2	3.20E-07
1439618_at	Pde10a	phosphodiesterase 10A	4.2	4.96E-08
1426169_a_at	Wbscr5	Williams-Beuren syndrome chromosome region 5 homolog (human)	4.2	0.000208441
1424464_s_at	2210010L05Rik	RIKEN cDNA 2210010L05 gene	4.2	1.27E-05
1443536_at	---	---	4.1	0.022080498
1421366_at	Clecsf5	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 5	4.1	1.12E-05
1438928_x_at	Ninj1	ninjurin 1	4.1	8.34E-07
1435492_at	1500012M23Rik	RIKEN cDNA 1500012M23 gene	4.1	0.000103276
1448700_at	G0s2	G0/G1 switch gene 2	4.1	0.000327146
1419758_at	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	4.1	0.048159649
1450322_s_at	Slfn3	schlafen 3	4.1	0.000791447
1424923_at	Serpina3g	serine (or cysteine) proteinase inhibitor, clade A, member 3G	4.1	0.000304051
1443136_at	---	---	4.1	0.000204346
1448250_at	9030425E11Rik	RIKEN cDNA 9030425E11 gene	4.1	1.04E-05
1448596_at	Slc6a8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	4.1	1.24E-06
1422053_at	Inhba	inhibin beta-A	4.1	0.040791574
1455452_x_at	---	---	4.1	0.002405354
1422062_at	Msr1	macrophage scavenger receptor 1	4.1	1.50E-07
