Probe ID	P-Value	Gene Name	Description
1561214_at	0.041	LOC642775	Hypothetical protein LOC642775
1555575_a_at	0.0411	KDELR1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
200654_at	0.0416	P4HB	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide
235299_at	0.0416	---	Transcribed locus
396_f_at	0.0416	EPOR	erythropoietin receptor
222315_at	0.0426	---	Transcribed locus
202369_s_at	0.0427	TRAM2	translocation associated membrane protein 2
219799_s_at	0.0427	DHRS9	dehydrogenase/reductase (SDR family) member 9
225943_at	0.0427	NLN	neurolysin (metallopeptidase M3 family)
202368_s_at	0.0434	TRAM2	translocation associated membrane protein 2
242596_at	0.0434	---	Transcribed locus
223070_at	0.0438	SELK	selenoprotein K
235965_at	0.0438	BHLHB8	Basic helix-loop-helix domain containing, class B, 8
222412_s_at	0.0438	SSR3	signal sequence receptor, gamma (translocon-associated protein gamma)
201831_s_at	0.0438	PAK1	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)
222979_s_at	0.0438	SURF4	surfeit 4
203921_at	0.0438	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
244377_at	0.0438	SLC1A4	Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
207352_s_at	0.0438	GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta 2
200698_at	0.0443	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
241368_at	0.0443	---	Transcribed locus, strongly similar to XP_496282.1 PREDICTED: similar to RIKEN cDNA 2310076L09 [Homo sapiens]
224831_at	0.0449	CPEB4	cytoplasmic polyadenylation element binding protein 4
1568814_at	0.0449	DDX50	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50
219181_at	0.0449	LIPG	lipase, endothelial
223727_at	0.0455	KCNIP2	Kv channel interacting protein 2
202655_at	0.0458	ARMET	arginine-rich, mutated in early stage tumors
203102_s_at	0.0458	MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
205692_s_at	0.0458	CD38	CD38 molecule
201844_s_at	0.0458	RYBP	RING1 and YY1 binding protein
231114_at	0.0458	SPATA22	spermatogenesis associated 22
205448_s_at	0.0458	MAP3K12	mitogen-activated protein kinase kinase kinase 12
219259_at	0.046	SEMA4A	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A
1561944_at	0.046	---	CDNA clone IMAGE:5287444
206686_at	0.0467	PDK1	pyruvate dehydrogenase kinase, isozyme 1
1555889_a_at	0.0467	CRTAP	cartilage associated protein
209540_at	0.0468	IGF1	insulin-like growth factor 1 (somatomedin C)
242986_at	0.0468	NAV1	Neuron navigator 1
204999_s_at	0.0473	ATF5	activating transcription factor 5
224273_at	0.0475	C3orf20	chromosome 3 open reading frame 20
207571_x_at	0.0477	C1orf38	chromosome 1 open reading frame 38
224630_at	0.0484	C2orf30	chromosome 2 open reading frame 30
204805_s_at	0.0487	H1FX	H1 histone family, member X
202788_at	0.0488	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3
200929_at	0.0494	TMED10	transmembrane emp24-like trafficking protein 10 (yeast)
219236_at	0.0497	PAQR6	progestin and adipoQ receptor family member VI
230741_at	0.0497	---	Full length insert cDNA clone YX74D05
225637_at	0.0499	FLJ20186	hypothetical protein FLJ20186
