rank	Gene	GB accession	Gene Description
74	CA6	NM_001215	Carbonic anhydrase VI
75	THRA	NM_003250	Thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)
76	PRSS11	NM_002775	Protease, serine, 11 (IGF binding)
77	INVS	NM_014425	Inversin
78	HTRA3	AY040094	Serine protease HTRA3
79	EMP3	NM_001425	Epithelial membrane protein 3
80	GFRA1	NM_005264	GDNF family receptor alpha 1
81	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
82	COL18A1	AF018081	Collagen, type XVIII, alpha 1
83	MAN1B1	NM_016219	Mannosidase, alpha, class 1B, member 1
84	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
85	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
86	T1A-2	NM_013317	Lung type-I cell membrane-associated glycoprotein
87	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
88	DNCH1	AB002323	Dynein, cytoplasmic, heavy polypeptide 1
89	DKFZP434B044	NM_031476	Hypothetical protein DKFZp434B044
90	TGFB1	NM_000660	Transforming growth factor, beta 1
91	BC006132	BC006132	Homo sapiens, clone IMAGE:3627860, mRNA, partial cds
92	PDE4A	NM_006202	Phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)
93	CTGF	NM_001901	Connective tissue growth factor
94	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
95	LTBP2	NM_000428	Latent transforming growth factor beta binding protein 2
96	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
97	MIC2	NM_002414	Antigen identified by monoclonal antibodies 12E7, F21 and O13
98	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
99	LUM	NM_002345	Lumican
100	CALD1	NM_033138	Caldesmon 1
101	LABH1	NM_032604	Lung alpha/beta hydrolase 1
102	SREC	NM_003693	Acetyl LDL receptor; SREC
103	COL7A1	NM_000094	Collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)
104	SEMA3C	NM_006379	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
105	MMD	NM_012329	Monocyte to macrophage differentiation-associated
106	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
107	WDR13	NM_017883	WD repeat domain 13
108	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
109	DKFZp547D065	AL390147	Hypothetical protein DKFZp547D065
110	M6A	NM_019852	Putative methyltransferase
111	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
112	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
113	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
114	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
115	ARHC	NM_005167	Ras homolog gene family, member C
116	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
117	BC010607	BC010607	Homo sapiens, clone MGC:18216 IMAGE:4156235, mRNA, complete cds
118	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
119	AK056354	AK056354	Homo sapiens, clone MGC:23937 IMAGE:3930177, mRNA, complete cds
120	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
121	KIAA1140	AB032966	KIAA1140 protein
122	BC014245	BC014245	Homo sapiens, Similar to RIKEN cDNA 1110014B07 gene, clone MGC:20766 IMAGE:4586039, mRNA, complete c
123	TPM1	NM_000366	Tropomyosin 1 (alpha)
124	CSF2	NM_000758	Colony stimulating factor 2 (granulocyte-macrophage)
125	AK055294	AK055294	Homo sapiens cDNA FLJ30732 fis, clone FEBRA2000126, weakly similar to Mus musculus PDZ domain actin
126	KTN1	NM_004986	Kinectin 1 (kinesin receptor)
127	HARS	NM_002109	Histidyl-tRNA synthetase
128	MGC15737	NM_032926	Hypothetical protein MGC15737
129	TUBG2	NM_016437	Tubulin, gamma 2
130	HNRPL	NM_001533	Heterogeneous nuclear ribonucleoprotein L
131	MAGP2	NM_003480	Microfibril-associated glycoprotein-2
132	NLI-IF	NM_021198	Nuclear LIM interactor-interacting factor
133	ACTN1	NM_001102	Actinin, alpha 1
134	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
135	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
136	GLE1L	NM_001499	GLE1 RNA export mediator-like (yeast)
137	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
138	AP2M1	NM_004068	Adaptor-related protein complex 2, mu 1 subunit
139	CKTSF1B1	NM_013372	Cysteine knot superfamily 1, BMP antagonist 1
140	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
141	PGS1	NM_024419	Phosphatidylglycerophosphate Synthase
142	PDGFC	NM_016205	Platelet derived growth factor C
143	EDR2	NM_004427	Early development regulator 2 (polyhomeotic 2 homolog)
144	AK000745	AK000745	Homo sapiens mRNA; cDNA DKFZp564C1563 (from clone DKFZp564C1563)
145	CLTC	NM_004859	Clathrin, heavy polypeptide (Hc)
146	FLJ20989	NM_023080	Hypothetical protein FLJ20989
147	MATR3	NM_018834	Matrin 3
148	BC014584	BC014584	Homo sapiens, clone IMAGE:4047062, mRNA
149	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
150	IGFBP7	NM_001553	Insulin-like growth factor binding protein 7
151	KIAA1253	AB033079	KIAA1253 protein
152	GAPD	NM_002046	Glyceraldehyde-3-phosphate dehydrogenase
153	CDX1	NM_001804	Caudal type homeo box transcription factor 1
154	SPC18	NM_014300	Signal peptidase complex (18kD)
155	UGP2	NM_006759	UDP-glucose pyrophosphorylase 2
156	PIK4CA	NM_058004	Phosphatidylinositol 4-kinase, catalytic, alpha polypeptide
157	AK026349	AK026349	Homo sapiens cDNA: FLJ22696 fis, clone HSI11696
158	EIF4A2	NM_001967	Eukaryotic translation initiation factor 4A, isoform 2
159	SERPINE1	NM_000602	Serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1),
160	CAMK1	NM_003656	Calcium/calmodulin-dependent protein kinase I
161	BASP1	NM_006317	Brain abundant, membrane attached signal protein 1
162	BC012014	BC012014	Homo sapiens, clone IMAGE:4509827, mRNA, partial cds
163	BC016154	BC016154	Homo sapiens, clone MGC:13247 IMAGE:4040497, mRNA, complete cds
164	SERPINF1	NM_002615	Serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived
165	LAMB3	NM_000228	Laminin, beta 3 (nicein (125kD), kalinin (140kD), BM600 (125kD))
166	NSMAF	NM_003580	Neutral sphingomyelinase (N-SMase) activation associated factor
167	HT002	AK023070	HT002 protein; hypertension-related calcium-regulated gene
168	JWA	NM_006407	Vitamin A responsive; cytoskeleton related
169	HXB	NM_002160	Hexabrachion (tenascin C, cytotactin)
170	TRIO	NM_007118	Triple functional domain (PTPRF interacting)
171	AK026955	AK026955	Homo sapiens cDNA: FLJ23302 fis, clone HEP11143
172	ACTB	NM_001101	Actin, beta
173	LDHA	NM_005566	Lactate dehydrogenase A
174	NM_058229	NM_058229	Homo sapiens cDNA FLJ32424 fis, clone SKMUS2000954, moderately similar to Homo sapiens F-box protein
175	IGHM	X58529	Immunoglobulin heavy constant mu
176	BRUNOL4	NM_020180	Bruno-like 4, RNA binding protein (Drosophila)
177	SNRP70	NM_003089	Small nuclear ribonucleoprotein 70kD polypeptide (RNP antigen)
178	C6orf9	NM_022107	Chromosome 6 open reading frame 9
179	AMPD1	NM_000036	Adenosine monophosphate deaminase 1 (isoform M)
180	DDIT3	NM_004083	DNA-damage-inducible transcript 3
181	FLJ20396	NM_017801	Hypothetical protein FLJ20396
182	SMS	NM_004595	Spermine synthase
183	LOXL1	NM_005576	Lysyl oxidase-like 1
184	IL6	NM_000600	Interleukin 6 (interferon, beta 2)
185	PCMT1	NM_005389	Protein-L-isoaspartate (D-aspartate) O-methyltransferase
186	PLEC1	NM_000445	Plectin 1, intermediate filament binding protein, 500kD
187	AL109730	AL109730	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 68600
188	MUS81	NM_025128	MUS81 endonuclease
189	AK056805	AK056805	Homo sapiens cDNA FLJ32243 fis, clone PROST1000039
190	LDHA	NM_005566	Lactate dehydrogenase A
191	SRPUL	NM_014467	Sushi-repeat protein
192	DAP	NM_004394	Death-associated protein
193	LDHA	NM_005566	Lactate dehydrogenase A
194	DKFZP761H202	4 NM_031462	Hypothetical protein DKFZp761H2024
195	LDHA	NM_005566	Lactate dehydrogenase A
196	AK025055	AK025055	Homo sapiens cDNA: FLJ21402 fis, clone COL03734
197	LDHA	NM_005566	Lactate dehydrogenase A
198	EMAPL	NM_004434	Echinoderm microtubule-associated protein-like
199	DJ-1	NM_007262	RNA-binding protein regulatory subunit
200	KIFAP3	NM_014970	Kinesin-associated protein 3
201	LDHA	NM_005566	Lactate dehydrogenase A
202	LDHA	NM_005566	Lactate dehydrogenase A
203	TPTE	NM_013315	Transmembrane phosphatase with tensin homology
204	NIPSNAP1	NM_003634	Nipsnap homolog 1 (C. elegans)
205	AL110206	AL110206	Homo sapiens mRNA; cDNA DKFZp586N2022 (from clone DKFZp586N2022)
206	LDHA	NM_005566	Lactate dehydrogenase A
207	LDHA	NM_005566	Lactate dehydrogenase A
208	LDHA	NM_005566	Lactate dehydrogenase A
209	PRPF31	NM_015629	PRP31 pre-mRNA processing factor 31 homolog (yeast)
210	EIF4A2	NM_001967	Eukaryotic translation initiation factor 4A, isoform 2
211	ACTB	NM_001101	Actin, beta
212	AK021980	AK021980	Homo sapiens cDNA FLJ11918 fis, clone HEMBB1000272
213	LOC51142	NM_016139	16.7Kd protein
214	CBX3	NM_016587	Chromobox homolog 3 (HP1 gamma homolog, Drosophila)
215	ETV6	NM_001987	Ets variant gene 6 (TEL oncogene)
216	TNFRSF1A	NM_001065	Tumor necrosis factor receptor superfamily, member 1A
217	FLJ22593	NM_024703	Hypothetical protein FLJ22593
218	LDHA	NM_005566	Lactate dehydrogenase A
219	CAV2	NM_001233	Caveolin 2
220	TAC3	NM_013251	Tachykinin 3 (neuromedin K, neurokinin beta)
221	HSPC023	NM_014047	HSPC023 protein
222	LOC54543	AK027539	6.2 kd protein
223	CCND1	NM_053056	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)
224	MYBPH	NM_004997	Myosin binding protein H
225	INHA	NM_002191	Inhibin, alpha
226	CYP27B1	NM_000785	Cytochrome P450, subfamily XXVIIB (25-hydroxyvitamin D-1-alpha-hydroxylase), polypeptide 1
227	HSU47926	NM_014262	Hypothetical protein B
228	MGC5618	BC016015	Hypothetical protein MGC5618
229	ACTB	NM_001101	Actin, beta
230	MYO10	NM_012334	Myosin X
231	AK021693	AK021693	Homo sapiens cDNA FLJ11631 fis, clone HEMBA1004267
232	U80766	U80766	Human EST clone 22453 mariner transposon Hsmar1 sequence
233	SHFM3	AK056917	Split hand/foot malformation (ectrodactyly) type 3
234	LDHA	NM_005566	Lactate dehydrogenase A
235	TSC22	AK027071	Transforming growth factor beta-stimulated protein TSC-22
236	BIRC2	NM_001166	Baculoviral IAP repeat-containing 2
237	FLJ22559	NM_024928	Hypothetical protein FLJ22559
238	CL683	NM_015696	Weakly similar to glutathione peroxidase 2
239	C20orf30	NM_014145	Chromosome 20 open reading frame 30
240	AL133568	AL133568	Homo sapiens mRNA; cDNA DKFZp434N197 (from clone DKFZp434N197)
241	BF541376	BF541376	ESTs, Weakly similar to FRHUL ferritin light chain [H.sapiens]
242	LOC51326	NM_016632	ARF protein
243	MGC1136	NM_024025	Hypothetical protein MGC1136
244	PTDSS1	NM_014754	Phosphatidylserine synthase 1
245	KIAA1695	AB051482	Hypothetical protein FLJ22297
246	NME2	NM_002512	Non-metastatic cells 2, protein (NM23B) expressed in
247	SDCCAG1	NM_004713	Serologically defined colon cancer antigen 1
248	G22P1	NM_001469	Thyroid autoantigen 70kD (Ku antigen)
249	AK023616	AK023616	Homo sapiens cDNA FLJ13554 fis, clone PLACE1007478
250	CD14	NM_000591	CD14 antigen
251	RAG2	AF080577	Recombination activating gene 2
252	AF153502	AF153502	Homo sapiens SNAI1P pseudogene
253	SNAP23	BC003686	Synaptosomal-associated protein, 23kD
254	CCT6A	NM_001762	Chaperonin containing TCP1, subunit 6A (zeta 1)
255	NID2	NM_007361	Nidogen 2
256	MRPS24	NM_032014	Mitochondrial ribosomal protein S24
257	NDUFA10	NM_004544	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10 (42kD)
258	CAD	NM_004341	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
259	IRS2	AF073310	Insulin receptor substrate 2
260	PAG	NM_018440	Phosphoprotein associated with glycosphingolipid-enriched microdomains
261	SIVA	NM_006427	CD27-binding (Siva) protein
262	AK021991	AK021991	Homo sapiens cDNA FLJ11929 fis, clone HEMBB1000434
263	VTN	NM_000638	Vitronectin (serum spreading factor, somatomedin B, complement S-protein)
264	SRM	NM_003132	Spermidine synthase
265	ENO3	NM_001976	Enolase 3, (beta, muscle)
266	CALR	NM_004343	Calreticulin
267	SPARCL1	NM_004684	SPARC-like 1 (mast9, hevin)
268	HIVEP1	NM_002114	Human immunodeficiency virus type I enhancer binding protein 1
269	SCYB6	NM_002993	Small inducible cytokine subfamily B (Cys-X-Cys), member 6 (granulocyte chemotactic protein 2)
270	PAM	NM_000919	Peptidylglycine alpha-amidating monooxygenase
271	ENO1	NM_001428	Enolase 1, (alpha)
272	PABPC4	NM_003819	Poly(A) binding protein, cytoplasmic 4 (inducible form)
273	MSX1	NM_002448	Msh homeo box homolog 1 (Drosophila)
274	TMSB4X	AK055976	Thymosin, beta 4, X chromosome
275	LOC51087	NM_015982	Germ cell specific Y-box binding protein
276	IMPDH2	NM_000884	IMP (inosine monophosphate) dehydrogenase 2
277	DC6	NM_020189	DC6 protein
278	CDC34	NM_004359	Cell division cycle 34
279	POFUT1	AF375884	Protein O-fucosyltransferase 1
280	RPS4Y	NM_001008	Ribosomal protein S4, Y-linked
281	LAMA3	NM_000227	Laminin, alpha 3 (nicein (150kD), kalinin (165kD), BM600 (150kD), epilegrin)
282	DKFZP564A241	6 NM_015535	DKFZP564A2416 protein
283	LDHA	NM_005566	Lactate dehydrogenase A
284	AK054766	AK054766	Homo sapiens cDNA FLJ30204 fis, clone BRACE2001496
285	AK026673	AK026673	Homo sapiens cDNA: FLJ23020 fis, clone LNG00943
286	COX7A1	NM_001864	Cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)
287	MEG3	AK055725	Maternally expressed 3
288	GALNT2	NM_004481	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)
289	KIAA1595	AB046815	KIAA1595 protein
290	FLJ10257	AK001119	Hypothetical protein FLJ10257
291	MGP	NM_000900	Matrix Gla protein
292	HSPCA	AK056446	Heat shock 90kD protein 1, alpha
293	AL137712	AL137712	Homo sapiens mRNA; cDNA DKFZp434H0923 (from clone DKFZp434H0923)
294	MGC3181	NM_032627	Hypothetical protein MGC3181
295	PLVAP	NM_031310	Plasmalemma vesicle associated protein
296	DECR1	NM_001359	2,4-dienoyl CoA reductase 1, mitochondrial
297	FADS3	NM_021727	Fatty acid desaturase 3
298	AKR1B1	NM_001628	Aldo-keto reductase family 1, member B1 (aldose reductase)
299	LDHA	NM_005566	Lactate dehydrogenase A
300	X76785	X76785	H.sapiens genomic DNA, integration site for Epstein-Barr virus
301	ERH	NM_004450	Enhancer of rudimentary homolog (Drosophila)
302	ACLY	NM_001096	ATP citrate lyase
303	AK054565	AK054565	Homo sapiens, clone IMAGE:3632168, mRNA
304	SERPINH2	NM_001235	Serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 2
305	ICAP-1A	NM_004763	Integrin cytoplasmic domain-associated protein 1
306	AK001865	AK001865	Homo sapiens cDNA FLJ11003 fis, clone PLACE1002851
307	BTEB1	NM_001206	Basic transcription element binding protein 1
308	SLC2A4RG	NM_020062	SLC2A4 regulator
309	AK055659	AK055659	Homo sapiens cDNA FLJ31097 fis, clone IMR321000210
310	SF3B2	NM_006842	Splicing factor 3b, subunit 2, 145kD
311	FLJ11305	AK024478	Hypothetical protein FLJ11305
312	ABCB6	NM_005689	ATP-binding cassette, sub-family B (MDR/TAP), member 6
313	RHO	NM_000539	Rhodopsin (opsin 2, rod pigment) (retinitis pigmentosa 4, autosomal dominant)
314	DKFZP586G172	2 NM_015449	DKFZP586G1722 protein
315	CYC1	NM_001916	Cytochrome c-1
316	EEF1G	BC004215	Eukaryotic translation elongation factor 1 gamma
317	PKMYT1	NM_004203	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
318	AGPAT2	NM_006412	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)
319	RARRES2	NM_002889	Retinoic acid receptor responder (tazarotene induced) 2
320	BC013418	BC013418	Homo sapiens, clone MGC:4832 IMAGE:3604003, mRNA, complete cds
321	UNRIP	NM_007178	Unr-interacting protein
322	YY1	NM_003403	YY1 transcription factor
323	BRAF	NM_004333	V-raf murine sarcoma viral oncogene homolog B1
324	AGRN	AF016903	Agrin
325	HEP27	NM_005794	Short-chain alcohol dehydrogenase family member
326	LDHA	NM_005566	Lactate dehydrogenase A
327	NEUGRIN	NM_016645	Mesenchymal stem cell protein DSC92
328	C20orf11	NM_017896	Chromosome 20 open reading frame 11
329	COE2	AK001144	Similar to TRANSCRIPTION FACTOR COE2 (EARLY B-CELL FACTOR 2) (EBF-2) (OLF-1/EBF-LIKE 3) (OE-3) (O/E-
330	SPS2	NM_012248	Selenophosphate synthetase 2
331	LDHA	NM_005566	Lactate dehydrogenase A
332	GAL	M77140	Galanin
333	CALM2	AK055130	Calmodulin 2 (phosphorylase kinase, delta)
334	AK056926	AK056926	Homo sapiens cDNA FLJ32364 fis, clone PUAEN1000147
335	FLJ20038	AL117436	Hypothetical protein FLJ20038
336	ENPP3	NM_005021	Ectonucleotide pyrophosphatase/phosphodiesterase 3
337	AK057533	AK057533	Homo sapiens cDNA FLJ32971 fis, clone TESTI2008847
338	PGR1	NM_033296	T-cell activation protein
339	ADAMTS2	NM_014244	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2
340	ITPKA	NM_002220	Inositol 1,4,5-trisphosphate 3-kinase A
341	HSPA1A	NM_005345	Heat shock 70kD protein 1A
342	MAGEA12	NM_005367	Melanoma antigen, family A, 12
343	AK025194	AK025194	Homo sapiens cDNA: FLJ21541 fis, clone COL06166
344	CSRP3	NM_003476	Cysteine and glycine-rich protein 3 (cardiac LIM protein)
345	C20orf118	AL079335	Chromosome 20 open reading frame 118
346	GCN1L1	D86973	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)
347	AC_006328	AC_006328	Homo sapiens BAC clone RP11-102O5 from Y
348	DKFZP566M104	6 NM_032127	Hypothetical protein DKFZp566M1046
349	NPC2	NM_006432	Niemann-Pick disease, type C2
350	EIF4A2	NM_001967	Eukaryotic translation initiation factor 4A, isoform 2
351	RPL3	BC011860	Ribosomal protein L3
352	FHL1	NM_001449	Four and a half LIM domains 1
353	CREB3	NM_006368	CAMP responsive element binding protein 3 (luman)
354	EIF4A2	NM_001967	Eukaryotic translation initiation factor 4A, isoform 2
355	KIAA0110	NM_014628	Gene predicted from cDNA with a complete coding sequence
356	DARS	NM_001349	Aspartyl-tRNA synthetase
357	MYH7	NM_000257	Myosin, heavy polypeptide 7, cardiac muscle, beta
358	RPL7	NM_000971	Ribosomal protein L7
359	COL11A1	NM_001854	Collagen, type XI, alpha 1
360	SCYA3	NM_002983	Small inducible cytokine A3
361	RAMP1	NM_005855	Receptor (calcitonin) activity modifying protein 1
362	THBS4	NM_003248	Thrombospondin 4
363	KIAA1049	NM_014972	KIAA1049 protein
364	DKFZP434G145	BC007359	DKFZP434G145 protein
365	LOC51170	NM_016245	Retinal short-chain dehydrogenase/reductase retSDR2
366	IER3	NM_052815	Immediate early response 3
367	AK026722	AK026722	Homo sapiens cDNA: FLJ23069 fis, clone LNG05603
368	PTPRK	NM_002844	Protein tyrosine phosphatase, receptor type, K
369	STOML1	NM_004809	Stomatin (EBP72)-like 1
370	AK057648	AK057648	Homo sapiens cDNA FLJ33086 fis, clone TRACH2000461
371	AK021935	AK021935	Homo sapiens cDNA FLJ11873 fis, clone HEMBA1007066
372	FLJ20190	NM_017705	Hypothetical protein FLJ20190
373	AL133654	AL133654	Homo sapiens mRNA; cDNA DKFZp434D0917 (from clone DKFZp434D0917)
374	MGC3207	AK026666	Hypothetical protein MGC3207
375	FLJ23338	NM_024658	Hypothetical protein FLJ23338
376	TCF3	M31523	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)
377	LDHB	BC008952	Lactate dehydrogenase B
378	DNAI2	NM_023036	Dynein intermediate chain 2
379	PRO0659	AK054721	PRO0659 protein
380	BIN1	NM_004305	Bridging integrator 1
381	IL8	NM_000584	Interleukin 8
382	AK055875	AK055875	Homo sapiens cDNA FLJ31313 fis, clone LIVER1000230, highly similar to NADH-UBIQUINONE OXIDOREDUCTASE
383	MAPK1	AL157438	Mitogen-activated protein kinase 1
384	DKFZP586D091	9 AL050100	DKFZP586D0919 protein
385	PANX2	NM_052839	Pannexin 2
386	EIF4A2	NM_001967	Eukaryotic translation initiation factor 4A, isoform 2
387	EIF4A2	NM_001967	Eukaryotic translation initiation factor 4A, isoform 2
388	ADAMTS1	NM_006988	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1
389	CTSB	NM_001908	Cathepsin B
390	WAC	AB058747	WW domain-containing adapter with a coiled-coil region
391	KIAA1036	NM_014909	KIAA1036 protein
392	KCNQ5	NM_019842	Potassium voltage-gated channel, KQT-like subfamily, member 5
393	RPS23	NM_001025	Ribosomal protein S23
394	PSMB5	NM_002797	Proteasome (prosome, macropain) subunit, beta type, 5
395	APOA1	NM_000039	Apolipoprotein A-I
396	NFKBIA	NM_020529	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
397	SEC61G	NM_014302	Sec61 gamma
398	NIFK	NM_032390	Nucleolar protein interacting with the FHA domain of pKi-67
399	TDPGD	NM_014305	DTDP-D-glucose 4,6-dehydratase
400	ALCAM	Y10183	Activated leucocyte cell adhesion molecule
401	MMP26	NM_021801	Matrix metalloproteinase 26
402	PTOV1	NM_017432	Prostate tumor over expressed gene 1
403	RBP7	NM_052960	Retinoid binding protein 7
404	ANAPC11	NM_016476	APC11 anaphase promoting complex subunit 11 homolog (yeast)
405	RASAL2	NM_004841	RAS protein activator like 2
406	24432.00	NM_022914	Hypothetical protein 24432
