Inducer	Accession No.	Symbol	Gene function	p73 5h	p73 9h	p73 12h	p73 24h	p53 5h	p53 9h	p53 12h	p53 24h	Factor
p73	CAF022853	ABCC1	MDR-associated protein	2.4	2.2	2.3	3	1.4	1.5	2.5	1.6	Receptor
p73/p53	CU83993	P2RX4	Purinergic receptor ligand gated, ion channel	6.4	7.9	9.6	9.1	2.4	3.5	4.7	3.3	Receptor
p73	X99076	NRGN	Neurogranin (protein kinase C substrate, RC3)	2.1	2.2	2.4	1.2	0.6	0.4	0.4	1.1	Signaling
p73	AF023917	DUSP11	Dual specificity phosphatase 11	2.1	1.7	2	2.6	1.3	1.2	1.8	2	Signaling
p73	AF029778	JAG2	Jagged 2 Notch ligand, signaling development	1	2.9	2.5	2.2	1	0.9	0.6	0.6	Signaling
p73	L35545	PROCR	Protein C receptor, endothelial (EPCR)	1.5	2.4	2.6	2.9	1	1.2	1.3	1	Signaling
p73	M64572	PTPN3	Protein-tyrosine phosphatase type 3	1	4.9	3.6	2.9	1.4	1	1	1	Signaling
p73	L15388	GPRK5	G protein-coupled receptor kinase 5	2.2	2.1	2.3	1.3	1.9	1.7	1.1	1.3	Signaling
p73	CAF059617	SNK	Serum-inducible kinase	2.7	2.7	2.7	5.3	1.3	1.4	2	1.5	Signaling
p73	CL22342	SP110	Interferon-induced protein nuclear, PML-associated	3.1	2.6	4.4	3.8	2	2.1	1.8	1.7	Signaling
p73	AB011143	GAB2	GRB2-associated-binding protein 2	2.8	1.4	2.1	2.5	1.6	1.7	2.8	1.7	Signaling
p73	AF068179	CAMLG	Calcium-signaling modulating ligand	2.4	2.4	1.8	3.6	1.4	1.6	4.1	2	Signaling
p73/p53	AA485440	SPHK2	Sphingosine kinase type 2 isoform	3.7	3.4	2.3	3.7	2.7	3.1	2.3	1.2	Signaling
p73/p53	W29065	PTP4A3	Protein-tyrosin phosphatase type Iva	1.9	5.6	3.1	3.4	4.1	4.3	2.8	4.7	Signaling
p73/p53	W26524	PPP4R2	Protein phosphatase 4 regulatory subunit 2	2	2.6	2.5	4.2	3.5	3.1	4.1	1.7	Signaling
p73/p53	CAA457029	INPP4A	Inositol polyphosphate-4-phosphatase	2.4	5.9	2.7	5	3.2	2.1	2.2	1.6	Signaling
p73	X01683	SERPINA1	&#2;1-Antitrypsin	1	4.1	3.9	8.4	0.9	1.8	1.9	0.4	Matrix/protease inhibitors
p73	Y14690	COL5A2	Collagen, type V, a 2	0.9	2.1	2.4	2.2	1.7	1.5	1.5	1.4	Matrix/protease inhibitors
p73	AF001691	PPL	Periplakin	0.9	2.4	2	5.3	1.9	1.3	4.8	2.5	Matrix/protease inhibitors
p73	AA142964	ADAM17	TNF &#2;; converting metalloproteinase	2	1.9	2.5	2.4	1.3	1.5	2.3	2.1	Matrix/protease inhibitors
p73	U18543	TRIM32	Putative F3-ubiquitin ligase	2.3	2.2	1.6	2.1	1.2	1.4	1.3	1.1	Metabolism/protein degradation
p73	J00139	DHFR	Dihydrofolate reductase	2.3	3.3	2.6	1.4	0.9	1.9	0.9	1.3	Metabolism/protein degradation
p73	AF061741	SDR1	Short chain dehydrogenase/reductase 1	1.6	2.7	2.6	2.6	1.5	1.1	1.1	0.7	Metabolism/protein degradation
p73	CS52028	CTH	Cystathionase	2	3.5	4	3.7	1	1.4	2.6	1.4	Metabolism/protein degradation
p73	CAL050290	SAT	Spermine N1-acetyltransferase	2.7	2.2	3	5.1	1.3	1.2	2.2	1.7	Metabolism/protein degradation
p73	U25165	FXR1	Translation inhibition/RNA binding	2.4	2.2	1.1	2.7	1.8	1.7	3.8	2.4	Metabolism/protein degradation
p73	AL080177	UBL3	Ubiquitin-like 3	3.3	3.3	1.3	2.4	2.3	1.9	2	1.3	Metabolism/protein degradation
p73	X69433	IDH2	Isocitrate dehydrogenase 2	3.4	2.8	2.9	1.6	1.3	1.4	5.6	1.6	Metabolism/protein degradation
p73/p53	AF020761	UBE2D1	Ubiquitin-conjugating enzyme E2D 1	3.1	1	2.2	3.1	2.9	1.7	2.9	3.3	Metabolism/protein degradation
p73	M99701	TCEAL1	Transcription elongation factor A	2.3	2.6	2.2	3.2	1.6	1.5	1.4	1.4	Transcription factor
p73	AF044288	ARNTL	Aryl hydrocarbon receptor nuclear translocator-like	2.7	1.3	2.2	3.3	0.9	1.9	2.7	1.8	Transcription factor
p73	X51435	HIVEP1	HIV virus type I enhancer-binding protein 1	3	1.9	2.2	3.4	1.7	1.5	3.1	2.3	Transcription factor
p73	U03105	PNRC1	Proline-rich protein with nuclear-targeting signal	1.4	2	2.2	3.5	1.2	1.5	3.1	1.6	Transcription factor
p73/p53	U48213	DBP	Albumin promoter-binding protein	2.7	2.5	2.2	3.6	3.3	2.8	2.3	0.7	Transcription factor
p73	W27419	MT1E	Similar to metallothionein 1 E	1.8	4.4	3.4	3.1	0.5	1.1	0.9	0.4	Redox/metalloproteins
p73	M13485	MT1B	Metallothionein antioxidant	1.9	2.1	2.7	2.6	1.8	1.8	2.3	2.7	Redox/metalloproteins
p73/p53	A224832	MT1L	Metallothionein 1L	1.8	4.1	3.3	6.5	2.2	2.2	5.3	4	Redox/metalloproteins
p73	D50370	NAP1L3	Nucleosome assembly protein 1-like 3	2.1	2.1	2.2	2.5	0.8	0.9	1.1	0.6	Others/unknown
p73	AI655015		cDNA DKFZp586F2224	1.7	2.2	2	2.5	1.1	1.1	1.2	1.5	Others/unknown
p73	AB007969	KIAA0500	KIAA0500 protein	2	3.3	4.6	6.8	0.7	1	1.7	1.3	Others/unknown
p73	CF038202		Clone 23570 mRNA	2.8	2	2.4	2.8	1.3	1.4	2	1.8	Others/unknown
p73	CAL080133	SYNE-2	Synaptic nuclei expressed gene 2	2.2	1.5	2.3	2.9	1.4	1.7	2.3	1.5	Others/unknown
p73	F070569	MGC14376	Hypothetical protein MGC14376	2.4	1.1	2.1	2.1	1.4	1.2	1.7	2.5	Others/unknown
p73	AL049404	MFAP3	Microfibrillar-associated protein 3	2.3	0.9	2.9	2.4	3	1.1	1.9	4.6	Others/unknown
p73	W87858	HSA9761	Putative dimethyladenosine transferase	2.1	0.8	2	2.3	2	2.1	1.5	1.8	Others/unknown
p73	X79888	AUH	AU RNA-binding protein	2.3	1.3	2.3	2.5	1.8	1.8	2.9	3	Others/unknown
p73	AA398463		cDNA DKFZp564C1563	2.5	2.1	2.2	1.9	2.1	1.1	1.1	1.7	Others/unknown
p73	AI857458	UCN	Urocortin, secreted	2.5	2.2	2.6	1.1	2.3	1.5	3.3	1.9	Others/unknown
p73	AB007938	KIAA0469	KIAA0469 protein	2.8	1.7	2.1	2.1	1.8	1.4	1.7	2.1	Others/unknown
p73	AF038202		Clone 23570 mRNA sequence	2.8	2	2.4	2.8	1.3	1.4	2	1.8	Others/unknown
p73	AL050172		cDNA DKFZp586F1322	2.9	2.8	2.2	2.6	2.2	0.5	1.9	1.2	Others/unknown
p73	AL031447			1.8	3.2	2.7	2.7	2	2.8	1.5	0.7	Others/unknown
p73	AF042181	TSPYL	TSPY-like	3.8	3.4	1	5.1	4.5	1.3	1.1	1.5	Others/unknown
p73/p53	X13839	ACTA2	Actin, 2, smooth muscle, aorta	1.9	2.3	3.3	7.5	2.1	4.9	14.8	7.6	Others/unknown
p73/p53	D43636	KIAA0096	KIAA0096 protein	3.7	1.5	2.5	2.5	2.2	2.1	4.4	4.4	Others/unknown
p73/p53	D50419	ZNF175	Zinc finger protein 175	2.7	2.4	2.7	2.5	3.9	2.3	3.2	4.3	Others/unknown
p73/p53	D38037	FKBP1B	FK506-binding protein	1.4	2.8	2.2	6.3	2	2.8	4	2.2	Others/unknown
p73/p53	AA149637	TBL1	Transducin ()-like 1	3.1	2.4	1.7	2.9	2.7	1.1	2	3.1	Others/unknown
p73/p53	U79751	BLZF1	Basic leucine zipper nuclear factor 1 (JEM-1)	3.1	3.2	2.5	3.2	2.6	2.1	2.8	2.2	Others/unknown
p73/p53	M29386	PRL	Prolactin	2.6	3.3	1.8	2.8	2.6	1.1	2.1	2.1	Others/unknown
p73/p53	U07364	KCNJ4	Potassium inwardly-rectifying channel	2	2.4	0.7	2.1	2.6	2.1	2	2.3	Others/unknown
