Down-regulation (Z score)	Gene	Common	GeneBank	Description
4.642	238389_s_at		AI458208	Transcribed sequences
4.64	202388_at	RGS2	NM_002923	regulator of G-protein signalling 2, 24kDa
4.637	1568665_at	RNF103	BC022477	ring finger protein 103
4.633	219312_s_at	ZBTB10	NM_023929	zinc finger and BTB domain containing 10
4.613	226153_s_at	CNOT6L	AW514857	CCR4-NOT transcription complex, subunit 6-like
4.605	228562_at	ZBTB10	N29918	zinc finger and BTB domain containing 10
4.602	200731_s_at	PTP4A1	AW165960	protein tyrosine phosphatase type IVA, member 1
4.565	221563_at	DUSP10	N36770	dual specificity phosphatase 10
4.547	200733_s_at	PTP4A1	U48296	protein tyrosine phosphatase type IVA, member 1
4.535	216834_at	RGS1	S59049	regulator of G-protein signalling 1
4.503	201566_x_at	ID2	D13891	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
4.473	228812_at		AI652899	Transcribed sequence with weak similarity to protein ref:NP_060265.1 (H.sapiens) hypothetical protein FLJ20378 [Homo sapiens]
4.453	211458_s_at	GABARAPL1	AF180519	GABA(A) receptors associated protein like 3
4.444	216027_at	DJ971N18.2	AI005473	hypothetical protein DJ971N18.2
4.437	218280_x_at	HIST2H2AA	NM_003516	histone 2, H2aa
4.437	204141_at	TUBB	NM_001069	tubulin, beta polypeptide
4.436	202704_at	TOB1	AA675892	transducer of ERBB2, 1
4.417	235739_at		AA523939	Transcribed sequences
4.406	216236_s_at	SLC2A14	AL110298	solute carrier family 2 (facilitated glucose transporter), member 14
4.395	203752_s_at	JUND	NM_005354	jun D proto-oncogene
4.389	228097_at	MYLIP	AW292746	myosin regulatory light chain interacting protein
4.368	204794_at	DUSP2	NM_004418	dual specificity phosphatase 2
4.365	207574_s_at	GADD45B	NM_015675	growth arrest and DNA-damage-inducible, beta
4.362	205596_s_at	SMURF2	AY014180	E3 ubiquitin ligase SMURF2
4.357	218319_at	PELI1	NM_020651	pellino homolog 1 (Drosophila)
4.355	225199_at	PRO0149	AA526970	ni06c09.s1 NCI_CGAP_Br2 Homo sapiens cDNA clone IMAGE:967216 3, mRNA sequence.
4.353	212665_at	TIPARP	AL556438	TCDD-inducible poly(ADP-ribose) polymerase
4.342	235102_x_at		AI684439	Transcribed sequences
4.341	202988_s_at	RGS1	NM_002922	regulator of G-protein signalling 1
4.318	211998_at	H3F3B	AW138159	H3 histone, family 3B (H3.3B)
4.282	241985_at	JMY	AI814405	junction-mediating and regulatory protein
4.281	1556874_a_at	RKHD2	BC032952	Homo sapiens hypothetical protein LOC51320, mRNA (cDNA clone IMAGE:4828930), partial cds.
4.253	201565_s_at	ID2	NM_002166	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
4.239	212508_at	MOAP1	AK024029	modulator of apoptosis 1
4.225	204897_at	PTGER4	AA897516	prostaglandin E receptor 4 (subtype EP4)
4.223	1554036_at	ZBTB24	BC036731	zinc finger protein 450
4.201	221763_at	JMJD1C	AI694023	thyroid hormone receptor interactor 8
4.17	202147_s_at	IFRD1	NM_001550	interferon-related developmental regulator 1
4.15	217672_x_at	SUI1	BF114906	Transcribed sequence with weak similarity to protein pir:A43932 (H.sapiens) A43932 mucin 2 precursor, intestinal - human
4.139	208763_s_at	DSIPI	AL110191	delta sleep inducing peptide, immunoreactor
4.125	209185_s_at	IRS2	AF073310	insulin receptor substrate 2
4.125	41387_r_at	JMJD3	AB002344	jumonji domain containing 3
4.114	230048_at		BF061555	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
4.093	226034_at		BE222344	Clone IMAGE:3881549, mRNA
4.086	223310_x_at	IPLA2(GAMMA)	AF217519	intracellular membrane-associated calcium-independent phospholipase A2 gamma
4.082	223130_s_at	MYLIP	AF212221	myosin regulatory light chain interacting protein
4.069	218012_at	SE20-4	NM_022117	cutaneous T-cell lymphoma-associated tumor antigen se20-4
4.062	1557257_at	BCL10	AA994334	B-cell CLL/lymphoma 10
4.062	200730_s_at	PTP4A1	BF576710	602135085F1 NIH_MGC_81 Homo sapiens cDNA clone IMAGE:4290141 5, mRNA sequence.
4.046	227521_at	FBXO33	N22902	yx66e03.s1 Soares melanocyte 2NbHM Homo sapiens cDNA clone IMAGE:266716 3, mRNA sequence.
4.014	200920_s_at	BTG1	AL535380	B-cell translocation gene 1, anti-proliferative
4.011	202644_s_at	TNFAIP3	NM_006290	tumor necrosis factor, alpha-induced protein 3
4.008	211840_s_at	PDE4D	U50157	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)
3.99	205214_at	STK17B	NM_004226	serine/threonine kinase 17b (apoptosis-inducing)
3.973	1555411_a_at	CCNL1	AF367476	cyclin L1
3.972	222870_s_at	B3GNT1	AF288208	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1
3.961	201531_at	ZFP36	NM_003407	zinc finger protein 36, C3H type, homolog (mouse)
3.905	226352_at	JMY	BF447037	junction-mediating and regulatory protein
3.904	230820_at	SMURF2	BF111169	E3 ubiquitin ligase SMURF2
3.891	212689_s_at	JMJD1A	AA524505	jumonji domain containing 1
3.888	89948_at	C20orf67	AI743331	chromosome 20 open reading frame 67
3.856	210054_at	C4orf15	BC003648	hypothetical protein MGC4701
3.787	217739_s_at	PBEF1	NM_005746	pre-B-cell colony enhancing factor 1
3.778	203725_at	GADD45A	NM_001924	growth arrest and DNA-damage-inducible, alpha
3.769	202499_s_at	SLC2A3	NM_006931	solute carrier family 2 (facilitated glucose transporter), member 3
3.75	222309_at		AW972292	Transcribed sequence with strong similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry
3.743	204258_at	CHD1	NM_001270	chromodomain helicase DNA binding protein 1
3.729	1569136_at	MGAT4A	BC031487	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme A
3.726	208810_at	DNAJB6	AF080569	DnaJ (Hsp40) homolog, subfamily B, member 6
3.706	238893_at	LOC338758	AI377324	Hypothetical protein LOC338758, mRNA (cDNA clone IMAGE:5299152), partial cds
3.694	228702_at	FLJ43663	AL569506	hypothetical protein FLJ43663
3.689	231863_at	ING3	AF161419	inhibitor of growth family, member 3
3.68	212293_at	HIPK1	BG111260	homeodomain interacting protein kinase 1
3.648	214683_s_at	CLK1	AI251890	CDC-like kinase 1
3.645	202302_s_at	FLJ11021	NM_023012	similar to splicing factor, arginine/serine-rich 4
3.608	223982_s_at	IPLA2(GAMMA)	AB041261	intracellular membrane-associated calcium-independent phospholipase A2 gamma
3.605	244677_at	PER1	AA416756	period homolog 1 (Drosophila)
3.602	210396_s_at	LAT1-3TM	AF271775	Similar to My016 protein (LOC339088), mRNA
3.587	230156_x_at	CHD2	AI933049	chromodomain helicase DNA binding protein 2
3.581	236213_at		AI809760	Transcribed sequence with strong similarity to protein ref:NP_060117.2 (H.sapiens) FtsJ homolog 3
3.579	205027_s_at	MAP3K8	NM_005204	mitogen-activated protein kinase kinase kinase 8
3.577	1568627_at	KIAA1387	BC032531	KIAA1387 protein
3.559	224838_at	FOXP1	AK026898	forkhead box P1
3.557	225262_at	FOSL2	AI670862	FOS-like antigen 2
3.554	238623_at	MAP3K4	AI633559	mitogen-activated protein kinase kinase kinase 4
3.539	227044_at		AV705507	Transcribed sequences
3.529	1554037_a_at	ZBTB24	BC036731	zinc finger protein 450
3.498	1554929_at	KIAA0999	BC035583	KIAA0999 protein
3.491	224836_at	C20orf110	AL109824
3.457	218936_s_at	HSPC128	NM_014167	HSPC128 protein
3.452	222088_s_at	SLC2A14	AA778684	solute carrier family 2 (facilitated glucose transporter), member 14
3.441	239438_at	RAPGEF6	AW169970	Rap guanine nucleotide exchange factor (GEF) 6
3.424	226650_at	LOC90637	AI984061	hypothetical protein LOC90637
3.423	209184_s_at	IRS2	BF700086	602127569F1 NIH_MGC_56 Homo sapiens cDNA clone IMAGE:4284401 5, mRNA sequence.
3.412	223287_s_at	FOXP1	AF146696	forkhead box P1
3.412	224692_at	PPP1R15B	BF796046	protein phosphatase 1, regulatory (inhibitor) subunit 15B
3.412	203380_x_at	SFRS5	NM_006925	splicing factor, arginine/serine-rich 5
3.395	200921_s_at	BTG1	NM_001731	B-cell translocation gene 1, anti-proliferative
3.394	238228_at	COG3	AI732206	component of oligomeric golgi complex 3
3.388	210836_x_at	PDE4D	AF012073	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)
3.386	201465_s_at	JUN	BC002646	v-jun sarcoma virus 17 oncogene homolog (avian)
3.366	200892_s_at	SFRS10	BC000451	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)
3.353	227747_at	LOC196264	AA772172	hypothetical protein LOC196264
3.306	213958_at	CD6	AW134823	CD6 antigen
3.293	202393_s_at	TIEG	NM_005655	TGFB inducible early growth response
3.292	241027_at	OPA1	BE858373	optic atrophy 1 (autosomal dominant)
3.269	200732_s_at	PTP4A1	AL578310	protein tyrosine phosphatase type IVA, member 1
3.264	212493_s_at	HYPB	AI761110	huntingtin interacting protein B
3.255	1554661_s_at	FLJ32001	BC036200	hypothetical protein FLJ32001
3.254	1553736_at	MGC23401	NM_144982	hypothetical protein MGC23401
3.253	202861_at	PER1	NM_002616	period homolog 1 (Drosophila)
3.229	228967_at	SUI1	BE964053	putative translation initiation factor
3.205	237510_at	MYNN	AI939472	myoneurin
3.197	220319_s_at	MYLIP	NM_013262	myosin regulatory light chain interacting protein
3.193	201210_at	DDX3X	NM_001356	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked
3.169	209604_s_at	GATA3	BC003070	GATA binding protein 3
3.164	210275_s_at	ZNF216	AF062347	zinc finger protein 216
3.145	218603_at	HECA	NM_016217	headcase homolog (Drosophila)
3.132	200847_s_at	MGC8721	NM_016127	hypothetical protein MGC8721
3.132	1554089_s_at	SBDS	BC010183	Shwachman-Bodian-Diamond syndrome pseudogene
3.131	40446_at	PHF1	AL021366
3.128	210666_at	IDS	AF050145	iduronate 2-sulfatase (Hunter syndrome)
3.125	229844_at		AI699465	Transcribed sequences
3.101	217682_at	PRO0149	AW503390	PRO0149 protein
3.094	226970_at	FBXO33	AI690694	F-box only protein 33
3.062	228193_s_at	RGC32	AI744499	response gene to complement 32
3.056	220086_at	ZNFN1A5	NM_022466	zinc finger protein, subfamily 1A, 5
3.02	1556239_a_at		BC040322	Clone IMAGE:4828492, mRNA
2.993	231124_x_at	LY9	AI524095	lymphocyte antigen 9
2.991	223129_x_at	MYLIP	T63512	myosin regulatory light chain interacting protein
2.986	206035_at	REL	NM_002908	v-rel reticuloendotheliosis viral oncogene homolog (avian)
2.983	224454_at	EKI1	BC006111	ethanolamine kinase
2.973	239334_at		AI349167	Transcribed sequences
2.951	208924_at	RNF11	AB024703	ring finger protein 11
2.947	1554719_at	NDUFA10	BC031332	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa
2.946	200797_s_at	MCL1	AI275690	qw03a03.x1 NCI_CGAP_Ut3 Homo sapiens cDNA clone IMAGE:1989964 3, mRNA sequence.
2.931	205281_s_at	PIGA	NM_002641	phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)
2.901	240369_at	TTC7	AW195569	tetratricopeptide repeat domain 7
2.873	36829_at	PER1	AF022991	period homolog 1 (Drosophila)
2.849	224610_at	RNU22	AL530869	AL530869 Homo sapiens NEUROBLASTOMA COT 50-NORMALIZED Homo sapiens cDNA clone CS0DD008YK05 3-PRIME, mRNA sequence.
2.838	218871_x_at	GALNACT-2	NM_018590	chondroitin sulfate GalNAcT-2
2.805	228181_at	SLC30A1	AI553933	solute carrier family 30 (zinc transporter), member 1
2.8	239494_at		BF336159	Clone IMAGE:4860747, mRNA
2.796	201300_s_at	PRNP	NM_000311	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)
2.75	226830_x_at	CHD2	BG339245	chromodomain helicase DNA binding protein 2
2.735	1568768_s_at	BRE	AW080339	ribokinase
2.686	210954_s_at	KIAA0669	AF201292	KIAA0669 gene product
2.671	1554309_at	EIF4G3	BC030578	eukaryotic translation initiation factor 4 gamma, 3
2.669	237718_at	EIF4E	AA913840	eukaryotic translation initiation factor 4E
2.656	201197_at	AMD1	NM_001634	adenosylmethionine decarboxylase 1
2.625	203429_s_at	C1orf9	NM_016227	chromosome 1 open reading frame 9
2.545	208840_s_at	G3BP2	AU149503	Ras-GTPase activating protein SH3 domain-binding protein 2
2.266	222045_s_at	C20orf67	AI199589	chromosome 20 open reading frame 67
2.205	208615_s_at	PTP4A2	BF795101	protein tyrosine phosphatase type IVA, member 2
