probe set	Entrez (na.21)	name Nov04		Wang 76-gene prognostic signature	van t Veer 70-gene signature
213088_s_at	23234	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	---	---
213532_at	---	LOC285148	---	---	---
213647_at	1763	DNA2L	DNA2 DNA replication helicase 2-like (yeast)	---	---
214088_s_at	2525	FUT3	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included)	---	---
214370_at	6279	S100A8	S100 calcium binding protein A8 (calgranulin A)	---	---
214973_x_at	3495	NULL	immunoglobulin heavy constant delta	---	---
215243_s_at	2707	GJB3	gap junction protein, beta 3, 31kDa (connexin 31)	---	---
216510_x_at	152098 /// 23265 /// 2537 /// 3493 /// 3495 /// 3500 /// 3507 /// 3576	NULL	---	---	---
216557_x_at	2537 /// 3493 /// 3500 /// 3502 /// 3507 /// 647134 /// 652106	NULL	---	---	---
217384_x_at	388255 /// 440361 /// 652159	NULL	---	---	---
217755_at	51155	HN1	hematological and neurological expressed 1	---	---
218009_s_at	9055	PRC1	protein regulator of cytokinesis 1	---	2.521877
218039_at	51203	NUSAP1	nucleolar and spindle associated protein 1	---	1.49878
218257_s_at	56886	UGCGL1	UDP-glucose ceramide glucosyltransferase-like 1	---	---
218497_s_at	246243	RNASEH1	ribonuclease H1	---	---
218542_at	55165	C10orf3	centrosomal protein 55kDa	---	---
218564_at	55159	FLJ10520	ring finger and WD repeat domain 3	---	---
218817_at	60559	FLJ22649	signal peptidase complex subunit 3 homolog (S. cerevisiae)	---	---
218834_s_at	54972	HADHA	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) binding protein 1	---	---
219271_at	79623	GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)	---	---
219493_at	79801	SHCBP1	SHC SH2-domain binding protein 1	---	---
219502_at	55247	FLJ10858	nei endonuclease VIII-like 3 (E. coli)	---	---
219544_at	79866	FLJ22624	FLJ22624 protein	---	---
219634_at	50515	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11	---	---
220423_at	26279	PLA2G2D	phospholipase A2, group IID	---	---
221978_at	3134	HLA-F	major histocompatibility complex, class I, F	---	---
33304_at	3669	ISG20	interferon stimulated exonuclease gene 20kDa	---	---
38158_at	9700	ESPL1	extra spindle poles like 1 (S. cerevisiae)	---	---
203358_s_at	2146	EZH2	enhancer of zeste homolog 2 (Drosophila)	---	---
205282_at	7804	LRP8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	---	---
205394_at	1111	CHEK1	CHK1 checkpoint homolog (S. pombe)	---	---
32128_at	6362	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	---	---
221520_s_at	55143	CDCA8	cell division cycle associated 8	---	---
219105_x_at	23594	ORC6L	origin recognition complex, subunit 6 homolog-like (yeast)	---	1.820261
218726_at	55355	DKFZp762E1312	hypothetical protein DKFZp762E1312	---	---
213523_at	898	CCNE1	cyclin E1	---	---
210052_s_at	22974	TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)	---	---
209939_x_at	8837	CFLAR	CASP8 and FADD-like apoptosis regulator	---	---
204962_s_at	1058	CENPA	centromere protein A, 17kDa	---	2.171301
204061_at	5613	PRKX	protein kinase, X-linked	---	---
204033_at	9319	TRIP13	thyroid hormone receptor interactor 13	---	---
203418_at	890	CCNA2	cyclin A2	---	---
201755_at	4174	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	---	---
201195_s_at	8140	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	---	---
