Gene ontology (%)	Accession no.	Description	Ratio
Apoptosis (1.6%)	NM_002575	serpin peptidase inhibitor	133.32
Apoptosis (1.6%)	NM_000557	growth differentiation factor 5	14.79
Apoptosis (1.6%)	NM_003728	unc-5 homolog C (C. elegans)	9.6
Apoptosis (1.6%)	BF432648	tumor necrosis factor receptor superfamily	8.73
Apoptosis (1.6%)	NM_003551	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	6.8
ECM organization and biosynthesis (0.9%)	BC001186	protocadherin beta 5	15.9
ECM organization and biosynthesis (0.9%)	M25813	tenascin XB	12.46
ECM organization and biosynthesis (0.9%)	NM_002380	matrilin 2	4.89
ECM organization and biosynthesis (0.9%)	AY140646	periostin, osteoblast specific factor 2	4.89
ECM organization and biosynthesis (0.9%)	NM_004612	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53 kDa	4.56
