Probe set ID	Gene Symbol	Score (d)	Fold Change	q-value (%)
204917_s_at	MLLT3	4.6	2.8	1.4
220911_s_at	KIAA1305	4.6	4.4	1.4
218885_s_at	GALNT12	4.6	2.3	1.4
207610_s_at	EMR2	4.6	2.4	1.4
52940_at	SIGIRR	4.6	1.6	1.4
210100_s_at	ABCA2	4.6	2.2	1.4
205663_at	PCBP3	4.6	2	1.4
203239_s_at	CNOT3	4.6	1.6	1.4
218745_x_at	TMEM161A	4.6	1.9	1.4
209974_s_at	BUB3	4.5	1.5	1.4
210124_X_at	SEMA4F	4.5	1.8	1.4
204168_at	MGST2	4.5	1.9	1.4
218324_s_at	SPATS2	4.5	1.9	1.4
208611_s_at	SPTAN1	4.4	1.8	1.4
213600_at	SIPA1L3	4.4	1.5	1.4
221290_s_at	MUM1	4.4	1.9	1.4
202540_s_at	HMGCR	4.4	2.2	1.4
218466_at	TBC1D17	4.4	1.6	1.4
210235_s_at	PPFIA1	4.4	1.7	1.4
203340_s_at	SLC25A12	4.4	1.6	1.4
204866_at	PHF16	4.4	1.8	1.4
211052_s_at	TBCD	4.3	3.2	1.4
204890_s_at	LCK	4.3	5	1.4
214439_x_at	BIN1	4.3	1.9	1.4
218780_at	HOOK2	4.3	1.6	1.4
212371_at	C1orf121	4.3	1.5	1.4
202630_at	APPBP2	4.3	1.9	1.4
205854_at	TULP3	4.3	1.5	1.4
211392_s_at	PATZ1	4.3	1.6	1.4
219036_at	CEP70	4.3	3.1	1.4
218907_s_at	LRRC61	4.3	1.6	1.4
212775_at	OBSL1	4.3	3.3	1.4
202252_at	RAB13	4.2	3.2	1.4
212530_at	NEK7	4.2	1.7	1.4
218791_s_at	C15orf29	4.2	1.6	1.4
218610_s_at	FLJ11151	4.2	1.7	1.9
206997_s_at	HS6ST1/// LOC728969	4.2	1.8	1.9
212231_at	FBXO21	4.2	2	1.9
217838_s_at	EVL	4.2	2.4	1.9
209468_at	LRP5	4.2	1.6	1.9
219211_at	USP18/// LOC727996/// LOC728216/// LOC728438	4.2	1.7	1.9
218030_at	GIT1	4.1	1.6	1.9
202590_s_at	PDK2	4.1	1.7	1.9
210031_at	CD247	4.1	4.9	1.9
208788_at	ELOVL5	4.1	1.6	1.9
214684_at	MEF2A	4.1	1.5	1.9
219314_s_at	ZNF219	4.1	1.9	1.9
213489_at	MAPRE2	4.1	1.8	1.9
218608_at	ATP13A2	4.1	2.1	1.9
214452_at	BCAT1	4.1	2	1.9
203817_at	GUCY1B3	4.1	2.5	1.9
213610_s_at	KLHL23	4.1	2	1.9
202369_s_at	TRAM2	4	1.9	1.9
219911_s_at	SLC04A1	4	1.8	1.9
202066_at	PPFIA1	4	1.5	1.9
206452_x_at	PPP2R4	4	1.6	1.9
218338_at	PHC1///LOC653441	4	1.6	1.9
212944_at	SLC5A3	4	2	1.9
212367_at	FEM1B	4	1.7	1.9
202748_at	GBP2	4	2.5	1.9
222238_s_at	POLM	4	2.1	1.9
219361_at	LRP12	3.9	1.6	1.9
218409_s_at	DNAJC1	3.9	1.9	1.9
217226_s_at	SFXN3	3.9	1.6	1.9
221011_s_at	LBH	3.9	1.6	1.9
219573_at	LRRC16	3.9	1.6	1.9
212423_at	C10orf56	3.9	2	1.9
214276_at	KLF12	3.9	1.6	1.9
213618_at	CENTD1	3.9	1.7	1.9
204048_s_at	PHACTR2	3.9	1.8	1.9
212486_s_at	FYN	3.9	1.5	1.9
202594_at	LEPROTL1	3.9	1.7	1.9
208626_s_at	VAT1	3.9	1.7	1.9
219379_x_at	ZNF358	3.9	1.9	1.9
206429_at	F2RL1	3.9	1.6	1.9
220643_s_at	FAIM	3.9	2	1.9
219423_x_at	TNFRSF25	3.9	1.8	1.9
206566_at	SLC7A1	3.9	1.8	1.9
207595_s_at	BMP1	3.9	1.7	1.9
55872_at	GM632	3.8	2.3	1.9
204068_at	STK3	3.8	2.2	1.9
207781_s_at	ZNF711	3.8	3.8	1.9
208963_x_at	FADS1	3.8	2.7	1.9
201248_s_at	SREBF2	3.8	1.6	1.9
204529_s_at	TOX	3.8	3.2	1.9
220765_s_at	LIMS2	3.8	1.7	1.9
215280_s_at	PPFIA3	3.8	1.6	1.9
209688_s_at	CCDC93	3.8	1.7	1.9
203154_s_at	PAK4	3.8	1.8	1.9
209352_s_at	SIN3B	3.8	1.7	1.9
214695_at	UBAP2L	3.8	1.7	1.9
203228_at	PAFAH1B3	3.8	1.5	1.9
220040_x_at	KIAA1166	3.8	2	1.9
36612_at	KIAA0280	3.8	1.7	1.9
204918_s_at	MLLT3	3.8	1.6	2.4
213577_at	SQLE	3.8	3.1	2.4
218784_s_at	C6orf64	3.8	1.5	2.4
53720_at	FLJ11286	3.8	1.6	2.4
213623_at	KIF3A	3.8	2.1	2.4
204049_s_at	PHACTR2	3.8	1.9	2.4
44040_at	FBXO41	3.8	1.5	2.4
221906_at	TXNRD3	3.7	1.9	2.4
215785_s_at	CYFIP2	3.7	1.7	2.4
212070_at	GPR56	3.7	5.4	2.4
212599_at	AUTS2	3.7	2.3	2.4
202931_x_at	BIN1	3.7	1.8	2.4
202039_at	TIAF1///MYO18A	3.7	1.8	2.4
213193_x_at	TRBV19///TRBC1	3.7	3.5	2.4
203795_s_at	BCL7A	3.7	1.6	2.4
203859_s_at	PALM	3.7	2.3	2.4
218284_at	SMAD3	3.7	1.9	2.4
204831_at	CDK8	3.7	1.8	2.4
205798_at	IL7R	3.7	4	2.4
212881_at	PIAS4	3.7	1.6	2.4
206804_at	CD3G	3.7	3.1	2.4
209566_at	INSIG2	3.7	1.7	2.4
208397_at	FANCL	3.7	1.5	2.4
210581_x_at	PATZ1	3.7	1.5	2.4
221571_at	TRAF3	3.7	1.8	2.4
211144_x_at	TRGC2///TRGV9///TARP	3.7	5.1	2.4
206582_s_at	GPR56	3.7	3	2.4
221208_s_at	C11orf61	3.7	1.8	2.4
200050_at	ZNF146	3.7	1.6	2.4
203430_at	HEBP2	3.7	1.7	2.4
205574_x_at	BMP1	3.7	1.5	2.4
209035_at	MDK	3.7	3.2	2.4
206968_s_at	NFRKB	3.7	1.5	2.4
210039_s_at	PRKCQ	3.7	1.9	2.4
202332_at	CSNK1E	3.7	1.7	2.4
210038_at	PRKCQ	3.7	1.8	2.4
205333_s_at	RCE1	3.7	1.6	2.4
219922_s_at	LTBP3	3.6	2.8	2.4
209635_at	AP1S1	3.6	1.6	2.4
218501_at	ARHGEF3	3.6	2.1	2.4
212772_s_at	ABCA2	3.6	1.7	2.4
220591_s_at	EFHC2	3.6	2	2.4
221572_s_at	SLC26A6	3.6	1.8	2.4
205822_s_at	HMGCS1	3.6	1.9	2.4
214572_s_at	INSL3	3.6	1.7	2.4
210986_s_at	TPM1	3.6	1.9	2.4
212813_at	JAM3	3.6	3.3	2.4
213830_at	TRA@	3.6	3.5	2.4
212190_at	SERPINE2	3.6	4	2.4
203860_at	PCCA	3.6	2.2	2.4
218113_at	TMEM2	3.6	1.6	2.4
202679_at	NPC1	3.6	1.5	2.4
208988_at	FBXL11	3.6	1.5	2.4
215806_x_at	TRGC2///TRGV9///TARP	3.6	4.7	2.4
59631_at	TXNRD3	3.6	2.4	2.4
214643_x_at	BIN1	3.6	1.9	2.4
212558_at	SPRY1	3.6	2.6	2.4
210605_s_at	MFGE8	3.6	1.9	2.4
207417_s_at	ZNF177	3.6	1.7	2.4
217593_at	ZNF447	3.6	1.8	2.4
212209_at	THRAP2	3.6	1.7	2.4
217143_s_at	TRA@///TRD@	3.6	3.3	2.4
218429_s_at	FLJ11286	3.6	1.5	2.4
202247_s_at	MTA1	3.6	1.5	2.4
59697_at	RAB15	3.5	2.1	2.4
222240_s_at	ISYNA1	3.5	1.9	2.4
217200_x_at	CYB561	3.5	1.8	2.4
218921_at	SIGIRR	3.5	1.6	2.4
202269_x_at	GBP1	3.5	2	2.4
211796_s_at	TRBV21-1///TRBV19///TRBV7-2///TRBV5-4///TRBV3-1///TRBC1	3.5	3.4	2.4
219445_at	GLTSCR1	3.5	1.5	2.4
209813_x_at	TRGC2///TRGV9///TARP	3.5	5	2.4
216191_s_at	TRA@///TRD@///BCL11B	3.5	3.4	2.4
212764_at	NA	3.5	2.3	2.4
209695_at	PTP4A3	3.5	1.9	2.4
216920_s_at	TRGC2///TRGV9///TARP	3.5	4.5	2.4
