Probe ID	Symbol	UniGene	Description	fc	p
40872_at	COX6B1	Hs.431668	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	2.18	0.000006
33731_at	SLC7A7	Hs.513147	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	2.17	0.000671
36929_at	LAMB3	Hs.497636	laminin, beta 3	2.16	0.000246
32408_s_at	HNRNPC	Hs.449114, Hs.508848	heterogeneous nuclear ribonucleoprotein C (C1/C2)	2.15	0.000199
36497_at	AHNAK2	Hs.441783, Hs.632328	AHNAK nucleoprotein 2	2.15	0.000021
32738_at	NDUFS2	Hs.173611	NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)	2.14	0.000507
39812_at	MRPL12	Hs.109059	mitochondrial ribosomal protein L12	2.12	0.000004
33116_f_at	RPS12	Hs.546289	ribosomal protein S12	2.12	0.000170
40063_at	CALCOCO2	Hs.514920	calcium binding and coiled-coil domain 2	2.10	0.000132
39739_at	NACA	Hs.505735	nascent polypeptide-associated complex alpha subunit	2.10	0.000490
861_g_at	MSH2	Hs.597656	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	2.09	0.000639
192_at	TAF7	Hs.438838	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	2.03	0.000152
39129_at	SMPD4	Hs.516450	sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3)	2.03	0.000000
32211_at	PSMD13	Hs.134688	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	2.03	0.000000
39817_s_at	C6orf108	Hs.109752	chromosome 6 open reading frame 108	2.03	0.000202
39749_at	PSMD4	Hs.505059	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	2.01	0.000141
36549_at	SLC25A17	Hs.474938	solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17	-2.01	0.000234
1470_at	POLD2	Hs.306791	polymerase (DNA directed), delta 2, regulatory subunit 50kDa	-2.06	0.000912
39421_at	RUNX1	Hs.149261, Hs.612648	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	-2.13	0.000009
37947_at	BRD3	Hs.522472	bromodomain containing 3	-2.15	0.000112
35301_at	CRKL	Hs.592205	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	-2.16	0.000006
34340_at	CYB5B	Hs.461131	cytochrome b5 type B (outer mitochondrial membrane)	-2.19	0.000039
1612_s_at	JUND	Hs.2780	jun D proto-oncogene	-2.21	0.000070
35662_at	CASP6	Hs.654616	caspase 6, apoptosis-related cysteine peptidase	-2.29	0.000284
35145_at	MNT	Hs.626579, Hs.632239	MAX binding protein	-2.33	0.000005
585_at	XRCC5	Hs.388739	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	-2.34	0.000000
38733_at	XRCC5	Hs.388739	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	-2.34	0.000000
36998_s_at	ATXN2	Hs.76253	ataxin 2	-2.36	0.000698
35142_at	C5orf21	Hs.655651	chromosome 5 open reading frame 21	-2.39	0.000027
34216_at	KLF7	Hs.471221	Kruppel-like factor 7 (ubiquitous)	-2.50	0.000169
1553_r_at	CYP2A13	Hs.567252	cytochrome P450, family 2, subfamily A, polypeptide 13	-2.52	0.000071
41402_at	DKFZ P564O0823	Hs.105460, Hs.623905	DKFZP564O0823 protein	-2.52	0.000966
943_at	RUNX1	Hs.149261, Hs.612648	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	-2.53	0.000190
40492_at	FRYL	Hs.631525, Hs.646327, Hs.660485	FRY-like	-2.60	0.000248
40891_f_at	LAGE3	Hs.444619	L antigen family, member 3	-2.61	0.000035
33251_at	TMCC1	Hs.477547	transmembrane and coiled-coil domain family 1	-2.67	0.000072
39507_at	OGT	Hs.405410	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	-2.69	0.000289
39876_at	ENTPD6	Hs.500375	ectonucleoside triphosphate diphosphohydrolase 6 (putative function)	-2.69	0.000060
32791_at	TMEM97	Hs.199695	transmembrane protein 97	-2.86	0.000043
38842_at	AMOTL2	Hs.426312, Hs.653311	angiomotin like 2	-2.90	0.000175
34740_at	FOXO3	Hs.220950	forkhead box O3	-2.90	0.000291
39777_at	MYCBP2	Hs.591221	MYC binding protein 2	-2.91	0.000593
41421_at	CAMTA2	Hs.632242	calmodulin binding transcription activator 2	-3.01	0.000929
37405_at	SELENBP1	Hs.632460	selenium binding protein 1	-3.06	0.000001
34304_s_at	SAT1	Hs.28491	spermidine/spermine N1-acetyltransferase 1	-3.09	0.000059
31736_at	ELISC-1	Hs.128434	Homo sapiens ELISC-1 mRNA, partial cds	-3.50	0.000215
39744_at	DDX3X	Hs.380774	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	-3.50	0.000030
33911_at	PTPRD	Hs.446083	protein tyrosine phosphatase, receptor type, D	-4.66	0.000761
35961_at	MGAT5	Hs.651869	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	-4.71	0.000365
41772_at	MAOA	Hs.183109	monoamine oxidase A	-9.80	0.000006
