Probe Set	Identifier	LocusLink	Name	GeneOntology.txt	ProteinDomain.txt	Cytoband	Description
200600_at	NM_002444	4478	moesin	|5856|5737|5622|5623|6928|8151|5886|16020|5200|5198|	|769|373|	|X|Xq|Xq11|	gb:NM_002444.1 /DEF=Homo sapiens moesin (MSN), mRNA. /FEA=mRNA /GEN=MSN /PROD=moesin /DB_XREF=gi:4505256 /UG=Hs.170328 moesin /FL=gb:M69066.1 gb:NM_002444.1
200602_at	NM_000484	351	amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	|6915|8219|16265|5576|5794|5737|5622|5623|30003|6873|19725|8151|7165|7154|5783|4866|4857|30234|5887|5886|16020|16021|	|2177|14|	|21|21q|21q21|	gb:NM_000484.1 /DEF=Homo sapiens amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease) (APP), mRNA.  /FEA=mRNA /GEN=APP /PROD=amyloid beta (A4) precursor protein (proteasenexin-II, Alzheimer disease) /DB_XREF=gi:4502166 /UG=Hs.177486
200606_at	NM_004415	1832	desmoplakin (DPI, DPII)	|5856|5737|5622|5623|7398|7397|7345|7275|19815|16327|5886|16020|30054|5200|5198|7148|8151|	|1576|681|769|38|1664|	|6|6p|	gb:NM_004415.1 /DEF=Homo sapiens desmoplakin (DPI, DPII) (DSP), mRNA. /FEA=mRNA /GEN=DSP /PROD=desmoplakin (DPI, DPII) /DB_XREF=gi:4758199 /UG=Hs.74316 desmoplakin (DPI, DPII) /FL=gb:M77830.3 gb:NM_004415.1
200612_s_at	NM_001282	163	adaptor-related protein complex 2, beta 1 subunit	|6886|15031|6810|8151|	|1602|	|17|17q|17q11|	gb:NM_001282.1 /DEF=Homo sapiens adaptor-related protein complex 2, beta 1 subunit (AP2B1), mRNA.  /FEA=mRNA /GEN=AP2B1 /PROD=adaptor-related protein complex 2, beta 1subunit /DB_XREF=gi:4557468 /UG=Hs.74626 adaptor-related protein complex 2, beta 1 subu
200613_at	NM_004068	1173	adaptor-related protein complex 2, mu 1 subunit	|6886|15031|6810|8151|	|1217|928|	|3|3q|	gb:NM_004068.1 /DEF=Homo sapiens adaptor-related protein complex 2, mu 1 subunit (AP2M1), mRNA.  /FEA=mRNA /GEN=AP2M1 /PROD=adaptor-related protein complex 2, mu 1 subunit /DB_XREF=gi:4757993 /UG=Hs.152936 adaptor-related protein complex 2, mu 1 subunit
200614_at	NM_004859	1213	clathrin, heavy polypeptide (Hc)		|637|	|17|17q|17q11|	gb:NM_004859.1 /DEF=Homo sapiens clathrin, heavy polypeptide (Hc) (CLTC), mRNA. /FEA=mRNA /GEN=CLTC /PROD=clathrin heavy chain /DB_XREF=gi:4758011 /UG=Hs.178710 clathrin, heavy polypeptide (Hc) /FL=gb:D21260.1 gb:NM_004859.1
200616_s_at	BC000371	9761	KIAA0152 gene product			|12|	gb:BC000371.1 /DEF=Homo sapiens, KIAA0152 gene product, clone MGC:8341, mRNA, complete cds.  /FEA=mRNA /PROD=KIAA0152 gene product /DB_XREF=gi:12653206 /UG=Hs.181418 KIAA0152 gene product /FL=gb:BC000371.1 gb:D63486.1 gb:NM_014730.1
200618_at	NM_006148	3927	LIM and SH3 protein 1	|5066|5057|4871|	|18|880|412|	|17|17q|17q11|	gb:NM_006148.1 /DEF=Homo sapiens LIM and SH3 protein 1 (LASP1), mRNA. /FEA=mRNA /GEN=LASP1 /PROD=LIM and SH3 protein 1 /DB_XREF=gi:5453709 /UG=Hs.75080 LIM and SH3 protein 1 /FL=gb:NM_006148.1
200625_s_at	NM_006367	10487	adenylyl cyclase-associated protein	|7165|7154|7186|7166|6996|7028|16043|8151|	|1213|	|1|1p|1p34|	gb:NM_006367.2 /DEF=Homo sapiens adenylyl cyclase-associated protein (CAP), mRNA. /FEA=mRNA /GEN=CAP /PROD=adenylyl cyclase-associated protein /DB_XREF=gi:10938021 /UG=Hs.104125 adenylyl cyclase-associated protein /FL=gb:NM_006367.2 gb:L12168.1 gb:M98474
200629_at	NM_004184	7453	tryptophanyl-tRNA synthetase	|5737|5622|5623|5625|267|6412|9059|9058|8152|8151|6411|8285|8283|	|458|579|	|14|14q|14q32|	gb:NM_004184.2 /DEF=Homo sapiens tryptophanyl-tRNA synthetase (WARS), mRNA. /FEA=mRNA /GEN=WARS /PROD=tryptophanyl-tRNA synthetase /DB_XREF=gi:7710155 /UG=Hs.82030 tryptophanyl-tRNA synthetase /FL=gb:M77804.1 gb:M61715.1 gb:NM_004184.2
200635_s_at	AU145351	5792	protein tyrosine phosphatase, receptor type, F	|7155|7154|4725|4721|16791|16788|16787|3824|16302|5887|5886|5622|5623|16020|16021|4888|4872|4871|7167|7602|9582|9581|9605|9628|9314|7166|7165|	|41|782|102|	|1|1p|	Consensus includes gb:AU145351 /FEA=EST /DB_XREF=gi:11006872 /DB_XREF=est:AU145351 /CLONE=HEMBA1004591 /UG=Hs.75216 protein tyrosine phosphatase, receptor type, F /FL=gb:NM_002840.1
200644_at	NM_023009	65108	macrophage myristoylated alanine-rich C kinase substrate			|1|1p|1p34|	gb:NM_023009.1 /DEF=Homo sapiens macrophage myristoylated alanine-rich C kinase substrate (MACMARCKS), mRNA.  /FEA=mRNA /GEN=MACMARCKS /PROD=macrophage myristoylated alanine-rich C kinasesubstrate /DB_XREF=gi:13491173 /UG=Hs.75061 macrophage myristoylate
200649_at	BC002356	4924	nucleobindin 1	|3677|3676|5615|5576|		|19|19q|19q13|	gb:BC002356.1 /DEF=Homo sapiens, nucleobindin 1, clone MGC:8479, mRNA, complete cds. /FEA=mRNA /PROD=nucleobindin 1 /DB_XREF=gi:12803104 /UG=Hs.172609 nucleobindin 1 /FL=gb:BC002356.1 gb:M96824.1 gb:NM_006184.1
200652_at	NM_003145	6746	signal sequence receptor, beta (translocon-associated protein beta)	|5783|5737|5622|5623|4888|4872|4871|16021|16020|6605|6411|8152|8151|		|1|1q|1q21|	gb:NM_003145.2 /DEF=Homo sapiens signal sequence receptor, beta (translocon-associated protein beta) (SSR2), mRNA.  /FEA=mRNA /GEN=SSR2 /PROD=signal sequence receptor, beta precursor /DB_XREF=gi:6552341 /UG=Hs.74564 signal sequence receptor, beta (transl
200653_s_at	M27319	801	calmodulin 1 (phosphorylase kinase, delta)	|5737|5622|5623|5886|16020|5515|5488|5509|7186|7166|7165|7154|		|14|14q|14q24|	gb:M27319.1 /DEF=Human calmodulin mRNA, complete cds. /FEA=mRNA /PROD=calmodulin /DB_XREF=gi:179809 /UG=Hs.177656 calmodulin 1 (phosphorylase kinase, delta) /FL=gb:M27319.1 gb:NM_006888.1
200663_at	NM_001780	967	CD63 antigen (melanoma 1 antigen)	|5764|5737|5622|5623|5886|16020|5765|5887|16021|	|335|	|12|12q|12q12|	gb:NM_001780.1 /DEF=Homo sapiens CD63 antigen (melanoma 1 antigen) (CD63), mRNA. /FEA=mRNA /GEN=CD63 /PROD=CD63 antigen (melanoma 1 antigen) /DB_XREF=gi:4502678 /UG=Hs.76294 CD63 antigen (melanoma 1 antigen) /FL=gb:BC002349.1 gb:M59907.1 gb:NM_001780.1
200665_s_at	NM_003118	6678	secreted protein, acidic, cysteine-rich (osteonectin)	|7498|7397|7345|7275|5509|5488|5518|5515|5578|5576|	|50|	|5|5q|5q31|	gb:NM_003118.1 /DEF=Homo sapiens secreted protein, acidic, cysteine-rich (osteonectin) (SPARC), mRNA.  /FEA=mRNA /GEN=SPARC /PROD=secreted protein, acidic, cysteine-rich(osteonectin) /DB_XREF=gi:4507170 /UG=Hs.111779 secreted protein, acidic, cysteine-ri
200675_at	NM_004356	975	CD81 antigen (target of antiproliferative antibody 1)	|6952|9607|9605|7154|5886|5622|5623|16020|8283|8151|6461|6411|8152|5887|16021|	|335|	|11|11p|	gb:NM_004356.1 /DEF=Homo sapiens CD81 antigen (target of antiproliferative antibody 1) (CD81), mRNA.  /FEA=mRNA /GEN=CD81 /PROD=CD81 antigen (target of antiproliferativeantibody 1) /DB_XREF=gi:4757943 /UG=Hs.54457 CD81 antigen (target of antiproliferativ
200699_at	BE962456	11014	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	|4888|4872|4871|5794|5737|5622|5623|5783|16021|16020|6886|15031|6810|8151|	|810|	|7|7p|7p22|	Consensus includes gb:BE962456 /FEA=EST /DB_XREF=gi:11765376 /DB_XREF=est:601655751R1 /CLONE=IMAGE:3846156 /UG=Hs.118778 KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2 /FL=gb:NM_006854.2
200709_at	NM_000801	2280	FK506 binding protein 1A (12kD)	|4872|4871|5527|8144|5488|6457|6411|8152|8151|	|254|	|20|20p|	gb:NM_000801.1 /DEF=Homo sapiens FK506-binding protein 1A (12kD) (FKBP1A), mRNA. /FEA=mRNA /GEN=FKBP1A /PROD=FK506-binding protein 1A (12kD) /DB_XREF=gi:4503724 /UG=Hs.752 FK506-binding protein 1A (12kD) /FL=gb:BC001925.1 gb:M34539.1 gb:NM_000801.1
200714_x_at	NM_006812	10956	amplified in osteosarcoma	|5625|267|5623|8151|		|12|12q|	gb:NM_006812.1 /DEF=Homo sapiens amplified in osteosarcoma (OS-9), mRNA. /FEA=mRNA /GEN=OS-9 /PROD=amplified in osteosarcoma /DB_XREF=gi:5803108 /UG=Hs.76228 amplified in osteosarcoma /FL=gb:U41635.1 gb:AB002806.1 gb:NM_006812.1
200736_s_at	NM_000581	2876	glutathione peroxidase 1	|16684|16491|3824|	|255|	|3|3p|3p21|	gb:NM_000581.1 /DEF=Homo sapiens glutathione peroxidase 1 (GPX1), mRNA. /FEA=mRNA /GEN=GPX1 /PROD=glutathione peroxidase 1 /DB_XREF=gi:10834975 /UG=Hs.76686 glutathione peroxidase 1 /FL=gb:NM_000581.1 gb:BC000742.1 gb:M21304.1
200743_s_at	NM_000391	1200	ceroid-lipofuscinosis, neuronal 2, late infantile (Jansky-Bielschowsky disease)	|5764|5737|5622|5623|8233|16787|3824|7399|7398|7397|7345|7275|6629|8152|8151|6508|30163|9057|9056|6411|	|82|	|11|11p|	gb:NM_000391.2 /DEF=Homo sapiens ceroid-lipofuscinosis, neuronal 2, late infantile (Jansky-Bielschowsky disease) (CLN2), mRNA.  /FEA=mRNA /GEN=CLN2 /PROD=ceroid-lipofuscinosis, neuronal 2, lateinfantile (Jansky-Bielschowsky disease) /DB_XREF=gi:5597012 /
200745_s_at	AF070603	2782	guanine nucleotide binding protein (G protein), beta polypeptide 1	|7165|7154|7264|7242|157|5886|5622|5623|16020|3924|16818|16817|16787|3824|17076|166|5488|7186|7166|		|1|1p|1p36|	Consensus includes gb:AF070603.1 /DEF=Homo sapiens clone 24584 beta-subunit signal transducing proteins GSGI mRNA, partial cds.  /FEA=mRNA /PROD=beta-subunit signal transducing proteins GSGI /DB_XREF=gi:3387983 /UG=Hs.215595 guanine nucleotide binding pr
200746_s_at	NM_002074	2782	guanine nucleotide binding protein (G protein), beta polypeptide 1	|7165|7154|7264|7242|157|5886|5622|5623|16020|3924|16818|16817|16787|3824|17076|166|5488|7186|7166|		|1|1p|1p36|	gb:NM_002074.1 /DEF=Homo sapiens guanine nucleotide binding protein (G protein), beta polypeptide 1 (GNB1), mRNA.  /FEA=mRNA /GEN=GNB1 /PROD=guanine nucleotide binding protein (G protein),beta polypeptide 1 /DB_XREF=gi:11321584 /UG=Hs.215595 guanine nucl
200762_at	NM_001386	1808	dihydropyrimidinase-like 2	|7399|7398|7397|7345|7275|7165|7154|16810|16787|3824|6139|8152|8151|	|1979|744|	|8|8p|8p22|	gb:NM_001386.1 /DEF=Homo sapiens dihydropyrimidinase-like 2 (DPYSL2), mRNA. /FEA=mRNA /GEN=DPYSL2 /PROD=dihydropyrimidinase-like 2 /DB_XREF=gi:4503376 /UG=Hs.173381 dihydropyrimidinase-like 2 /FL=gb:U17279.1 gb:D78013.1 gb:U97105.1 gb:NM_001386.1
200770_s_at	J03202	3915	laminin, gamma 1 (formerly LAMB2)	|5604|5578|5576|7492|7397|7345|7275|6461|6411|8152|8151|	|1576|52|769|1406|1442|529|38|55|53|	|1|1q|	gb:J03202.1 /DEF=Human laminin B2 chain mRNA, complete cds. /FEA=mRNA /GEN=LAMB2 /DB_XREF=gi:186916 /UG=Hs.214982 laminin, gamma 1 (formerly LAMB2) /FL=gb:J03202.1 gb:NM_002293.2
200771_at	NM_002293	3915	laminin, gamma 1 (formerly LAMB2)	|5604|5578|5576|7492|7397|7345|7275|6461|6411|8152|8151|	|1576|52|769|1406|1442|529|38|55|53|	|1|1q|	gb:NM_002293.2 /DEF=Homo sapiens laminin, gamma 1 (formerly LAMB2) (LAMC1), mRNA. /FEA=mRNA /GEN=LAMC1 /PROD=laminin, gamma 1 precursor /DB_XREF=gi:9845497 /UG=Hs.214982 laminin, gamma 1 (formerly LAMB2) /FL=gb:J03202.1 gb:NM_002293.2
200782_at	NM_001154	308	annexin A5	|5509|5488|5543|8289|4859|4857|30234|	|191|	|4|4q|4q28|	gb:NM_001154.2 /DEF=Homo sapiens annexin A5 (ANXA5), mRNA. /FEA=mRNA /GEN=ANXA5 /PROD=annexin V /DB_XREF=gi:4809273 /UG=Hs.300711 annexin A5 /FL=gb:BC001429.1 gb:BC004993.1 gb:M18366.1 gb:J03745.1 gb:M21731.1 gb:M19384.1 gb:D00172.1 gb:NM_001154.2
200788_s_at	NM_003768	8682	phosphoprotein enriched in astrocytes 15		|1335|	|1|1q|1q21|	gb:NM_003768.1 /DEF=Homo sapiens phosphoprotein enriched in astrocytes 15 (PEA15), mRNA.  /FEA=mRNA /GEN=PEA15 /PROD=phosphoprotein enriched in astrocytes 15 /DB_XREF=gi:4505704 /UG=Hs.194673 phosphoprotein enriched in astrocytes 15 /FL=gb:BC002426.1 gb:
200808_s_at	NM_003461	7791	zyxin	|7155|7154|5194|5886|5622|5623|16020|7165|7267|5887|16021|	|412|	|7|7q|	gb:NM_003461.1 /DEF=Homo sapiens zyxin (ZYX), mRNA. /FEA=mRNA /GEN=ZYX /PROD=zyxin /DB_XREF=gi:4508046 /UG=Hs.75873 zyxin /FL=gb:NM_003461.1
200825_s_at	NM_006389	10525	oxygen regulated protein (150kD)	|6950|8151|5783|5737|5622|5623|	|2078|12|	|11|11q|11q23|	gb:NM_006389.2 /DEF=Homo sapiens oxygen regulated protein (150kD) (ORP150), mRNA. /FEA=mRNA /GEN=ORP150 /PROD=oxygen regulated protein precursor /DB_XREF=gi:13699861 /UG=Hs.277704 oxygen regulated protein (150kD) /FL=gb:NM_006389.2 gb:U65785.1
200827_at	NM_000302	5351	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)	|6464|6411|8152|8151|5783|5737|5622|5623|5489|5488|7398|7397|7345|7275|	|2062|	|1|1p|1p36|	gb:NM_000302.1 /DEF=Homo sapiens procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI) (PLOD), mRNA.  /FEA=mRNA /GEN=PLOD /PROD=procollagen-lysine 5-dioxygenase /DB_XREF=gi:4557836 /UG=Hs.75093 procollagen-
200833_s_at	NM_015646	5908	RAP1B, member of RAS oncogene family		|71|	|12|12q|	gb:NM_015646.1 /DEF=Homo sapiens RAP1B, member of RAS oncogene family (RAP1B), mRNA. /FEA=mRNA /GEN=RAP1B /PROD=DKFZP586H0723 protein /DB_XREF=gi:7661677 /UG=Hs.156764 RAP1B, member of RAS oncogene family /FL=gb:BC000176.2 gb:NM_015646.1
200859_x_at	NM_001456	2316	filamin A, alpha (actin binding protein 280)	|7399|7398|7397|7345|7275|6928|8151|15629|5856|5737|5622|5623|8092|5515|5488|7148|7166|7165|7154|	|630|307|	|X|Xq|	gb:NM_001456.1 /DEF=Homo sapiens filamin A, alpha (actin-binding protein-280) (FLNA), mRNA.  /FEA=mRNA /GEN=FLNA /PROD=filamin 1 (actin-binding protein-280) /DB_XREF=gi:4503744 /UG=Hs.195464 filamin A, alpha (actin-binding protein-280) /FL=gb:NM_001456.1
200862_at	NM_014762	1718	24-dehydrocholesterol reductase		|1565|	|1|1p|1p33|	gb:NM_014762.1 /DEF=Homo sapiens seladin-1 (KIAA0018), mRNA. /FEA=mRNA /GEN=KIAA0018 /PROD=seladin-1 /DB_XREF=gi:13375617 /UG=Hs.75616 seladin-1 /FL=gb:AF261758.1 gb:BC004375.1 gb:NM_014762.1
200880_at	AL534104	3301	DnaJ (Hsp40) homolog, subfamily A, member 1	|6457|6411|8152|8151|3773|3754|6951|9266|9628|9605|7154|6950|	|226|1556|684|	|9|9p|9p13|	Consensus includes gb:AL534104 /FEA=EST /DB_XREF=gi:12797597 /DB_XREF=est:AL534104 /CLONE=CS0DF005YF01 (3 prime) /UG=Hs.94 DnaJ (Hsp40) homolog, subfamily A, member 1 /FL=gb:D13388.1 gb:L08069.1 gb:NM_001539.1
200885_at	NM_005167	389	ras homolog gene family, member C	|3924|16818|16817|16787|3824|17076|166|5488|	|71|25|	|1|1p|1p21|	gb:NM_005167.1 /DEF=Homo sapiens ras homolog gene family, member C (ARHC), mRNA. /FEA=mRNA /GEN=ARHC /PROD=ras homolog gene family, member C /DB_XREF=gi:4885066 /UG=Hs.179735 ras homolog gene family, member C /FL=gb:L25081.1 gb:NM_005167.1
200887_s_at	NM_007315	6772	signal transducer and activator of transcription 1, 91kD	|5634|5622|5623|5737|3677|3676|7243|7242|7165|7154|8632|6915|8219|16265|74|7049|8151|3700|9613|9607|9605|6950|6350|6139|8152|6468|16310|6796|6464|6411|5062|5057|4871|	|1017|17|	|2|2q|2q32|	gb:NM_007315.1 /DEF=Homo sapiens signal transducer and activator of transcription 1, 91kD (STAT1), mRNA.  /FEA=mRNA /GEN=STAT1 /PROD=signal transducer and activator of transcription1, 91kD /DB_XREF=gi:6274551 /UG=Hs.21486 signal transducer and activator
200891_s_at	NM_003144	6745	signal sequence receptor, alpha (translocon-associated protein alpha)	|5783|5737|5622|5623|4888|4872|4871|16021|16020|6605|6411|8152|8151|8284|8283|		|6|6p|6p25|	gb:NM_003144.2 /DEF=Homo sapiens signal sequence receptor, alpha (translocon-associated protein alpha) (SSR1), mRNA.  /FEA=mRNA /GEN=SSR1 /PROD=signal sequence receptor, alpha /DB_XREF=gi:6552340 /UG=Hs.250773 signal sequence receptor, alpha (translocon-
200904_at	X56841	3133	major histocompatibility complex, class I, E	|3820|3819|3793|8529|4888|4872|4871|	|348|129|	|6|6p|6p21|	Consensus includes gb:X56841.1 /DEF=H.sapiens HLA-E gene. /FEA=mRNA /GEN=HLA-E /PROD=HLA-E /DB_XREF=gi:433491 /UG=Hs.181392 major histocompatibility complex, class I, E /FL=gb:BC002578.1 gb:NM_005516.1
200905_x_at	NM_005516	3133	major histocompatibility complex, class I, E	|3820|3819|3793|8529|4888|4872|4871|	|348|129|	|6|6p|6p21|	gb:NM_005516.1 /DEF=Homo sapiens major histocompatibility complex, class I, E (HLA-E), mRNA.  /FEA=mRNA /GEN=HLA-E /PROD=major histocompatibility complex, class I, E /DB_XREF=gi:5031744 /UG=Hs.181392 major histocompatibility complex, class I, E /FL=gb:BC
200911_s_at	NM_006283	6867	transforming, acidic coiled-coil containing protein 1		|1576|430|38|521|1496|	|8|8p|	gb:NM_006283.1 /DEF=Homo sapiens transforming, acidic coiled-coil containing protein 1 (TACC1), mRNA.  /FEA=mRNA /GEN=TACC1 /PROD=transforming, acidic coiled-coil containingprotein 1 /DB_XREF=gi:5454099 /UG=Hs.173159 transforming, acidic coiled-coil cont
200916_at	NM_003564	8407	transgelin 2		|402|307|	|1|1q|1q21|	gb:NM_003564.1 /DEF=Homo sapiens transgelin 2 (TAGLN2), mRNA. /FEA=mRNA /GEN=TAGLN2 /PROD=transgelin 2 /DB_XREF=gi:4507356 /UG=Hs.75725 transgelin 2 /FL=gb:D21261.1 gb:NM_003564.1
200960_x_at	NM_007096	1211	clathrin, light polypeptide (Lca)		|1086|	|9|9p|	gb:NM_007096.1 /DEF=Homo sapiens clathrin, light polypeptide (Lca) (CLTA), transcript variant brain-specific, mRNA.  /FEA=mRNA /GEN=CLTA /PROD=clathrin, light polypeptide A (Lca) isoform b /DB_XREF=gi:6005992 /UG=Hs.104143 clathrin, light polypeptide (Lc
200961_at	NM_012248	22928	selenophosphate synthetase 2		|586|2769|		gb:NM_012248.1 /DEF=Homo sapiens selenophosphate synthetase 2 (SPS2), mRNA. /FEA=mRNA /GEN=SPS2 /PROD=selenophosphate synthetase 2 /DB_XREF=gi:7657612 /UG=Hs.118725 selenophosphate synthetase 2 /FL=gb:BC002381.1 gb:U43286.1 gb:NM_012248.1
200967_at	NM_000942	5479	peptidylprolyl isomerase B (cyclophilin B)	|3754|5783|5737|5622|5623|	|160|	|15|15q|15q21|	gb:NM_000942.1 /DEF=Homo sapiens peptidylprolyl isomerase B (cyclophilin B) (PPIB), mRNA.  /FEA=mRNA /GEN=PPIB /PROD=peptidylprolyl isomerase B (cyclophilin B) /DB_XREF=gi:4758949 /UG=Hs.699 peptidylprolyl isomerase B (cyclophilin B) /FL=gb:BC001125.1 gb
200982_s_at	NM_001155	309	annexin A6	|5509|5488|5543|8289|	|191|	|5|5q|5q32|	gb:NM_001155.2 /DEF=Homo sapiens annexin A6 (ANXA6), transcript variant 1, mRNA. /FEA=mRNA /GEN=ANXA6 /PROD=annexin VI isoform 1 /DB_XREF=gi:4809274 /UG=Hs.118796 annexin A6 /FL=gb:J03578.1 gb:D00510.1 gb:NM_001155.2
200991_s_at	NM_014748	9784	sorting nexin 17		|787|	|2|2p|2p23|	gb:NM_014748.1 /DEF=Homo sapiens KIAA0064 gene product (KIAA0064), mRNA. /FEA=mRNA /GEN=KIAA0064 /PROD=KIAA0064 gene product /DB_XREF=gi:7661889 /UG=Hs.278569 sorting nexin 17 /FL=gb:BC002524.1 gb:BC002610.1 gb:D31764.1 gb:NM_014748.1
201028_s_at	U82164	4267	antigen identified by monoclonal antibodies 12E7, F21 and O13	|5737|5622|5623|5194|5886|16020|5887|16021|		|X|Xp|Xp22|	gb:U82164.1 /DEF=Human transmembrane protein CD99 type II mRNA, complete cds. /FEA=mRNA /GEN=CD99 /PROD=CD99 typeII /DB_XREF=gi:2149134 /UG=Hs.177543 antigen identified by monoclonal antibodies 12E7, F21 and O13 /FL=gb:BC002584.1 gb:BC003147.1 gb:M16279.
201029_s_at	NM_002414	4267	antigen identified by monoclonal antibodies 12E7, F21 and O13	|5737|5622|5623|5194|5886|16020|5887|16021|		|X|Xp|Xp22|	gb:NM_002414.1 /DEF=Homo sapiens antigen identified by monoclonal antibodies 12E7, F21 and O13 (MIC2), mRNA.  /FEA=mRNA /GEN=MIC2 /PROD=antigen identified by monoclonal antibodies12E7, F21 and O13 /DB_XREF=gi:4505182 /UG=Hs.177543 antigen identified by m
201030_x_at	NM_002300	3945	lactate dehydrogenase B	|16614|16491|3824|	|56|	|12|12p|12p12|	gb:NM_002300.1 /DEF=Homo sapiens lactate dehydrogenase B (LDHB), mRNA. /FEA=mRNA /GEN=LDHB /PROD=lactate dehydrogenase B /DB_XREF=gi:4557031 /UG=Hs.234489 lactate dehydrogenase B /FL=gb:BC002362.1 gb:NM_002300.1
201034_at	BE545756	3033	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	|5739|5737|5622|5623|16614|16491|3824|	|725|70|	|4|4q|4q22|	Consensus includes gb:BE545756 /FEA=EST /DB_XREF=gi:9774401 /DB_XREF=est:601076920F1 /CLONE=IMAGE:3462940 /UG=Hs.8110 L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain /FL=gb:BC000306.1 gb:NM_005327.1
