Affymetrix number	Gene Name	Gene Symbol	Reference Number	Above/Below mean
38091_at	lectin galactoside-binding soluble 9 galectin 9	LGALS9	Z49107	Below
41223_at	cytochrome c oxidase subunit Va	COX5A	M22760	Below
933_f_at	zinc finger protein 91 HPF7 HTF10	ZNF91	L11672	Below
37012_at	capping protein actin filament muscle Z-line beta	CAPZB	U03271	Below
35214_at	UDP-glucose dehydrogenase	UGDH	AF061016	Above
32434_at	myristoylated alanine-rich protein kinase C substrate MARCKS 80K-L	MACS	D10522	Above
38345_at	centrosomal protein 1	CEP1	AF083322	Below
40404_s_at	CDC16 cell division cycle 16 S. cerevisiae homolog	CDC16	U18291	Below
39096_at	SON DNA binding protein	SON	AB028942	Above
33429_at	DKFZP586M1523 protein	DKFZP586M1523	AL050225	Above
40641_at	TBP-associated factor 172	TAF-172	AF038362	Above
41381_at	KIAA0308 protein	KIAA0308	AB002306	Below
35135_at	Homo sapiens Similar to CG15084 gene product clone MGC 10471 mRNA complete cds	NA	X13956	Below
39421_at	runt-related transcription factor 1 acute myeloid leukemia 1 aml1 oncogene	RUNX1	D43969	Below
195_s_at	caspase 4 apoptosis-related cysteine protease	CASP4	U28014	Below
36898_r_at	primase polypeptide 2A 58kD	PRIM2A	X74331	Above
38792_at	spermine synthase	SMS	AD001528	Above
32643_at	glucan 1 4-alpha- branching enzyme 1 glycogen branching enzyme Andersen disease glycogen storage disease type IV	GBE1	L07956	Below
38808_at	cell membrane glycoprotein 110000M r surface antigen	GP110	D64154	Below
36062_at	Leupaxin	LPXN	AF062075	Below
300_f_at	transcription factor BTF3 homolog (GB:M90355)	NA	HG4518-HT4921	Below
1979_s_at	nucleolar protein 1 120kD	NOL1	X55504	Below
32230_at	eukaryotic translation initiation factor 3 subunit 2 beta 36kD	EIF3S2	U39067	Below
39893_at	guanine nucleotide binding protein G protein gamma 7	GNG7	AB010414	Below
34651_at	catechol-O-methyltransferase	COMT	M58525	Above
1052_s_at	CCAAT/enhancer binding protein C/EBP delta	CEBPD	M83667	Below
36272_r_at	peripheral myelin protein 2	PMP2	X62167	Below
2044_s_at	retinoblastoma 1 including osteosarcoma	RB1	M15400	Below
32135_at	sterol regulatory element binding transcription factor 1	SREBF1	U00968	Below
