Gene symbol	Gene description	Genbank accession	Fold change
GPR116	G protein-coupled receptor 116	NM_015234	15.8
SPTB	Spectrin beta	NM_001024858	16.9
SLC28A2	Solute carrier family 28, member 2	NM_004212	17.4
DERL3	Der1-like domain family, member 3	NM_198440	18.5
CHRM4	Cholinergic receptor, muscarinic 4	NM_000741	18.6
KCNH6	Similar to Rattus norvegicus potassium channel	AK090969	20
PCDH21	Protocadherin 21	BC038799	20.4
CGREF1	Cell growth regulator with EF-hand domain 1	NM_006569	20.7
GABRA4	Gamma-aminobutyric acid (GABA) A receptor, alpha 4	NM_000809	22.4
IGKC	Immunoglobulin kappa constant	BC073764	22.4
CNTNAP3	Contactin-associated protein-like 3	NM_033655	25
HOXB13	Homeobox B13	NM_006361	25.4
BPIL3	Bactericidal/permeability-increasing protein-like 3	NM_174897	25.8
TAC1	Tachykinin, precursor 1	NM_003182	26.3
ATCAY	Ataxia, cerebellar, Cayman type (caytaxin)	NM_033064	30.5
ENST00000298047	FAT tumour suppressor homolog 3		31.6
MRGPRX1	MAS-related GPR, member X1	NM_147199	33.5
SLURP1	Secreted LY6/PLAUR domain containing 1	NM_020427	33.9
SIGLEC12	Sialic acid-binding Ig-like lectin 12	NM_053003	43
HAVCR1	Hepatitis A virus cellular receptor 1	NM_012206	46.2
PIK3C2G	Phosphoinositide-3-kinase, class 2, gamma polypeptide	NM_004570	57.6
UPP2	Uridine phosphorylase 2	NM_173355	112.7
NM_130786	Alpha-1-B glycoprotein	NM_130786	355.9
COL11A1	Collagen, type XI, alpha 1	NM_080629	398
