Cluster	GeneID	Symbol	Description	Probeset(s)	GO Name
1.Inv3-c5-overlap-GO	ENSMUSG00000034708	Grn	granulin	93066_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99099_at|99100_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000020486	4-Sep	septin 4	94079_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000007458	M6pr	mannose-6-phosphate receptor, cation dependent	92847_s_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000021477	Ctsl	cathepsin L	101963_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000016534	Lamp2	lysosomal membrane glycoprotein 2	100136_at|101590_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000028076	Cd1d1	CD1d1 antigen	101897_g_at|103422_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000024610	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	101054_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000029426	Scarb2	scavenger receptor class B, member 2	101389_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000000594	Gm2a	GM2 ganglioside activator protein	99141_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000036594	H2-Aa	histocompatibility 2, class II antigen E alpha	92866_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000007891	Ctsd	cathepsin D	93810_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000030707	Coro1a	coronin, actin binding protein 1A	96648_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000018774	Cd68	CD68 antigen	103016_s_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000005142	Man2b1	mannosidase 2, alpha B1	99562_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000021190	Lgmn	legumain	93261_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000005802	Slc30a4	solute carrier family 30 (zinc transporter), member 4	95571_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000038642	Ctss	cathepsin S	98543_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000025351	Cd63	Cd63 antigen	160493_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000022620	Arsa	arylsulfatase A	100931_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000017760	Ppgb	protective protein for beta-galactosidase	101055_at	lysosome
1.Inv3-c5-overlap-GO	ENSMUSG00000007458	M6pr	mannose-6-phosphate receptor, cation dependent	92847_s_at	late endosome
1.Inv3-c5-overlap-GO	ENSMUSG00000028076	Cd1d1	CD1d1 antigen	101897_g_at|103422_at	late endosome
1.Inv3-c5-overlap-GO	ENSMUSG00000024610	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	101054_at	late endosome
1.Inv3-c5-overlap-GO	ENSMUSG00000018167	Stard3	START domain containing 3	95607_at	late endosome
1.Inv3-c5-overlap-GO	ENSMUSG00000021190	Lgmn	legumain	93261_at	late endosome
1.Inv3-c5-overlap-GO	ENSMUSG00000037722	Gnpnat1	glucosamine-phosphate N-acetyltransferase 1	94369_at	late endosome
1.Inv3-c5-overlap-GO	ENSMUSG00000016534	Lamp2	lysosomal membrane glycoprotein 2	100136_at|101590_at	late endosome
1.Inv3-c5-overlap-GO	ENSMUSG00000025351	Cd63	Cd63 antigen	160493_at	late endosome
1.Inv3-c5-overlap-GO	ENSMUSG00000015478	Rnf5	ring finger protein 5	101421_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000003873	Bax	Bcl2-associated X protein	93536_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000028063	Lmna	lamin A	98059_s_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000002332	Dhrs1	dehydrogenase/reductase (SDR family) member 1	93843_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000019370	Calm2	calmodulin 2	92632_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000002395	2010315L10Rik	USE1-like protein (D12 protein).	99188_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032011	Thy1	thymus cell antigen 1, theta	99057_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000045954	Sdpr	serum deprivation response	160373_i_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000039100	6-Mar	membrane-associated ring finger (C3HC4) 6	104621_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000059714	Flot1	flotillin 1	95095_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000009633	G0s2	G0/G1 switch gene 2	97531_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022404	Slc25a17	solute carrier family 25 (mitochondrial carrier, peroxisomal membrane protein), member 17	97472_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000020458	Rtn4	reticulon 4	160484_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025353	Ormdl2	ORM1-like 2 (S. cerevisiae)	160193_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022564	Grina	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)	99160_s_at|99161_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025351	Cd63	Cd63 antigen	160493_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031778	Cx3cl1	chemokine (C-X3-C motif) ligand 1	98008_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000001918	Slc1a5	solute carrier family 1 (neutral amino acid transporter), member 5	92582_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000029106	Add1	adducin 1 (alpha)	94535_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032038	St3gal4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	95599_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000041378	Cldn5	claudin 5	104516_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000001827	Folr1	folate receptor 1 (adult)	162302_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000039956	Mrap	melanocortin 2 receptor accessory protein	104325_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000001763	Tspan33	tetraspanin 33	104398_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025007	Aldh18a1	aldehyde dehydrogenase 18 family, member A1	95738_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000006932	Ctnnb1	catenin (cadherin associated protein), beta 1	160430_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022175	Lrp10	low-density lipoprotein receptor-related protein 10	96186_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000018774	Cd68	CD68 antigen	103016_s_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032336	Nptn	neuroplastin	93043_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032330	Cox7a2	cytochrome c oxidase, subunit VIIa 2	93820_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000021823	Vcl	vinculin	94963_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000020758	Itgb4	integrin beta 4	103305_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030208	Emp1	epithelial membrane protein 1	97426_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031278	Acsl4	acyl-CoA synthetase long-chain family member 4	102381_at|104017_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000037815	Ctnna1	catenin (cadherin associated protein), alpha 1	93364_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000039745	Htatip2	HIV-1 tat interactive protein 2, homolog (human)	103671_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000019997	Ctgf	connective tissue growth factor	93294_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000001247	Lsr	lipolysis stimulated lipoprotein receptor	99452_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000024969	Mark2	MAP/microtubule affinity-regulating kinase 2	99459_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030579	Tyrobp	TYRO protein tyrosine kinase binding protein	100397_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022797	Tfrc	transferrin receptor	103957_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000024962	Vegfb	vascular endothelial growth factor B	103001_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000057092	Fxyd3	FXYD domain-containing ion transport regulator 3	103059_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000058254	Tspan7	tetraspanin 7	93326_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000056666	Retsat	retinol saturase (all trans retinol 13,14 reductase)	95026_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000055782	Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	92913_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000005514	Por	P450 (cytochrome) oxidoreductase	99019_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000000149	Gna12	guanine nucleotide binding protein, alpha 12	97227_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025724	Sec11l1	Sec11-like 1 (S. cerevisiae)	99655_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000052459	Atp6v1a	ATPase, H+ transporting, lysosomal V1 subunit A	95745_g_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000023272	Creld2	cysteine-rich with EGF-like domains 2	160119_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000036636	Clcn7	chloride channel 7	104391_s_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031349	Nsdhl	NAD(P) dependent steroid dehydrogenase-like	98631_g_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000020733	Slc9a3r1	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	97243_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022257	Laptm4b	lysosomal-associated protein transmembrane 4B	100571_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031977	Galnt2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2	97553_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032412	Atp1b3	ATPase, Na+/K+ transporting, beta 3 polypeptide	99579_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025510	Cd151	CD151 antigen	97930_f_at|97932_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000003746	Man1a	mannosidase 1, alpha	160579_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000037722	Gnpnat1	glucosamine-phosphate N-acetyltransferase 1	94369_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000020585	Laptm4a	lysosomal-associated protein transmembrane 4A	96876_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031871	Cdh5	cadherin 5	104083_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000021998	Lcp1	lymphocyte cytosolic protein 1	94278_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000038607	Gng10	guanine nucleotide binding protein (G protein), gamma 10	99175_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000035212	Leprot	leptin receptor	93600_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025935	Tram1	translocating chain-associating membrane protein 1	160936_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000006304	Arpc2	actin related protein 2/3 complex, subunit 2	93288_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000027953	Rag1ap1	recombination activating gene 1 activating protein 1	102960_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000009291	Pttg1ip	pituitary tumor-transforming 1 interacting protein	94473_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000066026	Dhrs3	dehydrogenase/reductase (SDR family) member 3	102797_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000041189	Chrnb1	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)	93705_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000028552	Eps15	epidermal growth factor receptor pathway substrate 15	104367_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000044216	Kcnj4	potassium inwardly-rectifying channel, subfamily J, member 4	92522_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000047843	Bri3	brain protein I3	96037_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000005802	Slc30a4	solute carrier family 30 (zinc transporter), member 4	95571_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000028413	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	103002_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000034908	Sidt2	SID1 transmembrane family, member 2	95023_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031681	Smad1	MAD homolog 1 (Drosophila)	102984_g_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000006519	Cyba	cytochrome b-245, alpha polypeptide	100059_at|97013_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031808	Slc27a1	solute carrier family 27 (fatty acid transporter), member 1	93486_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031302	Nlgn3	neuroligin 3	103277_s_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030287	Itpr2	inositol 1,4,5-triphosphate receptor 2	101441_i_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000041417	Pik3r1	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	96592_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000010095	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	99133_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025203	Scd2	stearoyl-Coenzyme A desaturase 2	95758_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000027315	Spint1	serine protease inhibitor, Kunitz type 1	97206_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000006386	Tek	endothelial-specific receptor tyrosine kinase	102720_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000004071	5730403B10Rik	RIKEN cDNA 5730403B10 gene (5730403B10Rik), mRNA	100587_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000016024	Lbp	lipopolysaccharide binding protein	96123_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000026223	Itm2c	integral membrane protein 2C	96283_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000047730	9530053A07Rik	Fc fragment of IgG binding protein	97826_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000037095	Lrg1	leucine-rich alpha-2-glycoprotein 1	97420_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000021772	Nkiras1	NFKB inhibitor interacting Ras-like protein 1	160991_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025381	Tmem4	transmembrane protein 4	100039_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000024597	Slc12a2	solute carrier family 12, member 2	99500_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000038235	F11r	F11 receptor	103816_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030302	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	95324_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000047454	Gphn	gephyrin	99441_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000021133	4933426M11Rik	RIKEN cDNA 4933426M11 gene (4933426M11Rik), mRNA	96614_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000006373	Pgrmc1	progesterone receptor membrane component 1	101585_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000033965	Slc16a2	solute carrier family 16 (monocarboxylic acid transporters), member 2	100491_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000029426	Scarb2	scavenger receptor class B, member 2	101389_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000006273	Atp6v1b2	ATPase, H+ transporting, lysosomal V1 subunit B2	92598_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000007564	Ppp2r1a	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	92573_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000018001	Pscd3	pleckstrin homology, Sec7 and coiled-coil domains 3	103433_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022620	Arsa	arylsulfatase A	100931_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000028017	Egf	epidermal growth factor	102774_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025410	Dctn2	dynactin 2	94300_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000063684	Hadhb	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	96913_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031158	Timm17b	translocase of inner mitochondrial membrane 17b	96668_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030805	Stx4a	syntaxin 4A (placental)	103781_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030341	Tnfrsf1a	tumor necrosis factor receptor superfamily, member 1a	92793_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000024900	Cpt1a	carnitine palmitoyltransferase 1a, liver	93320_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000024610	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	101054_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000026688	Mgst3	microsomal glutathione S-transferase 3	96258_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000017756	Slc12a7	solute carrier family 12, member 7	104719_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000001098	Kctd10	potassium channel tetramerisation domain containing 10	94060_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000037902	Sirpa	signal-regulatory protein alpha	103070_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032679	Cd59a	CD59a antigen	101516_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000041891	Lman1	lectin, mannose-binding, 1	160270_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000021036	Sptlc2	serine palmitoyltransferase, long chain base subunit 2	100893_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000020122	Egfr	epidermal growth factor receptor	101842_g_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025786	Zdhhc3	zinc finger, DHHC domain containing 3	97857_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000020964	Sel1h	Sel1 (suppressor of lin-12) 1 homolog (C. elegans)	92870_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000038777	Sema6c	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	160700_i_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000038776	Ephx1	epoxide hydrolase 1, microsomal	101587_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030707	Coro1a	coronin, actin binding protein 1A	96648_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000053317	Sec61b	Sec61 beta subunit	93548_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000026923	Notch1	Notch gene homolog 1 (Drosophila)	97497_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000066720	Cldn9	claudin 9	94493_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032667	Pon2	paraoxonase 2	104378_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000021756	Il6st	interleukin 6 signal transducer	94345_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000002059	Rab34	RAB34, member of RAS oncogene family	160317_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000020717	Pecam1	platelet/endothelial cell adhesion molecule 1	97830_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000039062	Anpep	alanyl (membrane) aminopeptidase	99993_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000029550	Sppl3	signal peptide peptidase 3	98908_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000027932	Slc27a3	solute carrier family 27 (fatty acid transporter), member 3	92686_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000000958	Slc7a7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	103818_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000031633	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4	93084_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000034842	Art3	ADP-ribosyltransferase 3	98924_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022174	Dad1	defender against cell death 1	96008_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000029338	Antxr2	anthrax toxin receptor 2	104761_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030654	Arl6ip1	ADP-ribosylation factor-like 6 interacting protein 1	160371_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030516	Tjp1	tight junction protein 1	99935_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000036606	Plxnb2	plexin B2	160311_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000022443	Myh9	myosin, heavy polypeptide 9, non-muscle	100915_at|102108_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000016534	Lamp2	lysosomal membrane glycoprotein 2	100136_at|101590_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000036275	9530068E07Rik	Keratinocytes-associated transmembrane protein 2 precursor.	99624_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000028465	Tln1	talin 1	162089_r_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000015804	Med28	mediator of RNA polymerase II transcription, subunit 28 homolog (yeast)	95044_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000033998	Kcnk1	potassium channel, subfamily K, member 1	102335_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000010663	Fads1	fatty acid desaturase 1	160391_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000047139	Cd24a	CD24a antigen	100600_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000020911	Krt1-19	keratin complex 1, acidic, gene 19	92550_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000047797	Gjb1	gap junction membrane channel protein beta 1	93771_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000024621	Csf1r	colony stimulating factor 1 receptor	104354_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000066441	Rdh11	retinol dehydrogenase 11	99591_i_at|99592_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000032076	Igsf4a	immunoglobulin superfamily, member 4A	93604_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000021866	Anxa11	annexin A11	102815_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000002763	Pex6	peroxisomal biogenesis factor 6	99469_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000035504	Reep6	receptor accessory protein 6	96134_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000038668	Edg2	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	100435_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000007041	Clic1	chloride intracellular channel 1	95654_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000027338	Prnp	prion protein	100606_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000025810	Nrp1	neuropilin 1	95016_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000019433	Gipc1	GIPC PDZ domain containing family, member 1	93733_r_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000006731	B4galnt1	beta-1,4-N-acetyl-galactosaminyl transferase 1	103367_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030324	Rho	rhodopsin	161871_f_at	membrane
1.Inv3-c5-overlap-GO	ENSMUSG00000030427	Pira3	paired-Ig-like receptor A3	100328_s_at	membrane
