Probe Set ID	Gene Symbol	Gene Description
209718_at	NCAPH2	non-SMC condensin II complex, subunit H2
209740_s_at	PNPLA4	patatin-like phospholipase domain containing 4
209773_s_at	RRM2	ribonucleotide reductase M2 polypeptide
209786_at	HMGN4	high mobility group nucleosomal binding domain 4
209787_s_at	HMGN4	high mobility group nucleosomal binding domain 4
209832_s_at	CDT1	chromatin licensing and DNA replication factor 1
209932_s_at	DUT	deoxyuridine triphosphatase
210244_at	CAMP	cathelicidin antimicrobial peptide
210334_x_at	BIRC5	baculoviral IAP repeat-containing 5
210559_s_at	CDC2	cell division cycle 2, G1 to S and G2 to M
210638_s_at	FBXO9	F-box protein 9
210731_s_at	LGALS8	lectin, galactoside-binding, soluble, 8
210759_s_at	PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1
210925_at	CIITA	class II, major histocompatibility complex, transactivator
211277_x_at	APP	amyloid beta (A4) precursor protein
211323_s_at	ITPR1	inositol 1,4,5-triphosphate receptor, type 1
211373_s_at	PSEN2	presenilin 2 (Alzheimer disease 4)
211381_x_at	SPAG11B	sperm associated antigen 11B
211545_at	GHRHR	growth hormone releasing hormone receptor
211657_at	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
211686_s_at	MAK16	MAK16 homolog (S. cerevisiae)
211792_s_at	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
212020_s_at	MKI67	antigen identified by monoclonal antibody Ki-67
212021_s_at	MKI67	antigen identified by monoclonal antibody Ki-67
212022_s_at	MKI67	antigen identified by monoclonal antibody Ki-67
212023_s_at	MKI67	antigen identified by monoclonal antibody Ki-67
212122_at	RHOQ	ras homolog gene family, member Q
212124_at	ZMIZ1	zinc finger, MIZ-type containing 1
212321_at	SGPL1	sphingosine-1-phosphate lyase 1
212330_at	TFDP1	transcription factor Dp-1
212375_at	EP400	E1A binding protein p400
212395_s_at	KIAA0090	KIAA0090
212473_s_at	MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2
212531_at	LCN2	lipocalin 2
212640_at	PTPLB	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b
212660_at	PHF15	PHD finger protein 15
212749_s_at	RCHY1	ring finger and CHY zinc finger domain containing 1
212766_s_at	ISG20L2	interferon stimulated exonuclease gene 20kDa-like 2
212798_s_at	ANKMY2	ankyrin repeat and MYND domain containing 2
212801_at	CIT	citron (rho-interacting, serine/threonine kinase 21)
212818_s_at	ASB1	ankyrin repeat and SOCS box-containing 1
212904_at	LRRC47	leucine rich repeat containing 47
212957_s_at	LOC92249	hypothetical LOC92249
213123_at	MFAP3	microfibrillar-associated protein 3
213226_at	CCNA2	cyclin A2
213278_at	MTMR9	myotubularin related protein 9
213288_at	MBOAT2	membrane bound O-acyltransferase domain containing 2
213291_s_at	UBE3A	ubiquitin protein ligase E3A
213300_at	ATG2A	ATG2 autophagy related 2 homolog A (S. cerevisiae)
213346_at	C13orf27	chromosome 13 open reading frame 27
213366_x_at	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
213392_at	IQCK	IQ motif containing K
213520_at	RECQL4	RecQ protein-like 4
213523_at	CCNE1	cyclin E1
213625_at	ZKSCAN4	zinc finger with KRAB and SCAN domains 4
213916_at	ZNF20	zinc finger protein 20
214364_at	MTERFD2	MTERF domain containing 2
214464_at	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)
214786_at	MAP3K1	mitogen-activated protein kinase kinase kinase 1
214953_s_at	APP	amyloid beta (A4) precursor protein
215000_s_at	FEZ2	fasciculation and elongation protein zeta 2 (zygin II)
215082_at	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
215087_at	C15orf39	chromosome 15 open reading frame 39
215184_at	DAPK2	death-associated protein kinase 2
215493_x_at	BTN2A1	butyrophilin, subfamily 2, member A1
216026_s_at	POLE	polymerase (DNA directed), epsilon
216167_at	LRRN2	leucine rich repeat neuronal 2
216192_at	FABP7	fatty acid binding protein 7, brain
216250_s_at	LPXN	leupaxin
216772_at	---	---
216921_s_at	KRT35	keratin 35
217276_x_at	SERHL2	serine hydrolase-like 2
217766_s_at	TMEM50A	transmembrane protein 50A
217795_s_at	TMEM43	transmembrane protein 43
217881_s_at	CDC27	cell division cycle 27 homolog (S. cerevisiae)
218009_s_at	PRC1	protein regulator of cytokinesis 1
218039_at	NUSAP1	nucleolar and spindle associated protein 1
218355_at	KIF4A	kinesin family member 4A
218363_at	EXD2	exonuclease 3-5 domain containing 2
218395_at	ACTR6	ARP6 actin-related protein 6 homolog (yeast)
218409_s_at	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1
218627_at	DRAM	damage-regulated autophagy modulator
218638_s_at	SPON2	spondin 2, extracellular matrix protein
218667_at	PJA1	praja ring finger 1
218726_at	HJURP	Holliday junction recognition protein
218732_at	PTRH2	peptidyl-tRNA hydrolase 2
218741_at	CENPM	centromere protein M
218875_s_at	FBXO5	F-box protein 5
218996_at	TFPT	TCF3 (E2A) fusion partner (in childhood Leukemia)
219076_s_at	PXMP2	peroxisomal membrane protein 2, 22kDa
219133_at	OXSM	3-oxoacyl-ACP synthase, mitochondrial
219262_at	SUV39H2	suppressor of variegation 3-9 homolog 2 (Drosophila)
219342_at	CASD1	CAS1 domain containing 1
219351_at	TRAPPC2	trafficking protein particle complex 2
219352_at	HERC6	hect domain and RLD 6
219405_at	TRIM68	tripartite motif-containing 68
219493_at	SHCBP1	SHC SH2-domain binding protein 1
219556_at	C16orf59	chromosome 16 open reading frame 59
219633_at	TTPAL	tocopherol (alpha) transfer protein-like
219661_at	RANBP17	RAN binding protein 17
219811_at	DGCR8	DiGeorge syndrome critical region gene 8
219828_at	C9orf86	chromosome 9 open reading frame 86
219885_at	SLFN12	schlafen family member 12
219978_s_at	NUSAP1	nucleolar and spindle associated protein 1
219990_at	E2F8	E2F transcription factor 8
220053_at	GDF3	growth differentiation factor 3
220373_at	DCHS2	dachsous 2 (Drosophila)
220456_at	SPTLC3	serine palmitoyltransferase, long chain base subunit 3
221250_s_at	MXD3	MAX dimerization protein 3
221342_at	C6orf25	chromosome 6 open reading frame 25
221355_at	CHRNG	cholinergic receptor, nicotinic, gamma
222001_x_at	LOC728855	hypothetical LOC728855
222013_x_at	FAM86A	family with sequence similarity 86, member A
222039_at	KIF18B	kinesin family member 18B
222608_s_at	ANLN	anillin, actin binding protein
222752_s_at	TMEM206	transmembrane protein 206
223011_s_at	OCIAD1	OCIA domain containing 1
223014_at	UBE2R2	ubiquitin-conjugating enzyme E2R 2
223191_at	COX16	COX16 cytochrome c oxidase assembly homolog (S. cerevisiae)
223211_at	HACL1	2-hydroxyacyl-CoA lyase 1
223215_s_at	C14orf100	chromosome 14 open reading frame 100
223228_at	LDOC1L	leucine zipper, down-regulated in cancer 1-like
223267_at	RG9MTD1	RNA (guanine-9-) methyltransferase domain containing 1
223282_at	TSHZ1	teashirt zinc finger homeobox 1
223320_s_at	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10
223420_at	DNAJC14	DnaJ (Hsp40) homolog, subfamily C, member 14
223424_s_at	ZSCAN21	zinc finger and SCAN domain containing 21
223669_at	HEMGN	hemogen
223799_at	KIAA1826	KIAA1826
223887_at	GPR132	G protein-coupled receptor 132
223983_s_at	C19orf12	chromosome 19 open reading frame 12
224163_s_at	DMAP1	DNA methyltransferase 1 associated protein 1
224305_s_at	NPC1L1	NPC1 (Niemann-Pick disease, type C1, gene)-like 1
224609_at	SLC44A2	solute carrier family 44, member 2
224713_at	MKI67IP	MKI67 (FHA domain) interacting nucleolar phosphoprotein
224733_at	CMTM3	CKLF-like MARVEL transmembrane domain containing 3
224738_x_at	RPL7L1	ribosomal protein L7-like 1
224753_at	CDCA5	cell division cycle associated 5
224834_at	UBTD2	ubiquitin domain containing 2
224883_at	PLDN	pallidin homolog (mouse)
224899_s_at	MAGT1	magnesium transporter 1
225005_at	PHF13	PHD finger protein 13
225029_at	LOC550643	hypothetical LOC550643
225061_at	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4
225085_at	USP40	ubiquitin specific peptidase 40
225175_s_at	SLC44A2	solute carrier family 44, member 2
225228_at	TMEM77	transmembrane protein 77
225257_at	CCDC97	coiled-coil domain containing 97
225263_at	HS6ST1	heparan sulfate 6-O-sulfotransferase 1
225305_at	SLC25A29	solute carrier family 25, member 29
225306_s_at	SLC25A29	solute carrier family 25, member 29
225325_at	MFSD6	major facilitator superfamily domain containing 6
225393_at	GATAD2B	GATA zinc finger domain containing 2B
225607_at	CCDC43	coiled-coil domain containing 43
225619_at	SLAIN1	SLAIN motif family, member 1
225660_at	SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
225687_at	FAM83D	family with sequence similarity 83, member D
225863_s_at	C19orf12	chromosome 19 open reading frame 12
225927_at	MAP3K1	mitogen-activated protein kinase kinase kinase 1
226065_at	PRICKLE1	prickle homolog 1 (Drosophila)
226066_at	MITF	microphthalmia-associated transcription factor
226091_s_at	MRFAP1	Mof4 family associated protein 1
226109_at	C21orf91	chromosome 21 open reading frame 91
226215_s_at	KDM2B	lysine (K)-specific demethylase 2B
226245_at	KCTD1	potassium channel tetramerisation domain containing 1
226577_at	PSEN1	presenilin 1
226583_at	C12orf76	chromosome 12 open reading frame 76
226726_at	MBOAT2	membrane bound O-acyltransferase domain containing 2
226893_at	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)
226936_at	C6orf173	chromosome 6 open reading frame 173
226954_at	UBE2R2	ubiquitin-conjugating enzyme E2R 2
227019_at	C1orf226	chromosome 1 open reading frame 226
227022_at	GNPDA2	glucosamine-6-phosphate deaminase 2
227065_at	RNF216	ring finger protein 216
227109_at	CYP2R1	cytochrome P450, family 2, subfamily R, polypeptide 1
227125_at	NA	NA
227295_at	IKIP	IKK interacting protein
227605_at	SCYE1	small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)
227731_at	CNBP	CCHC-type zinc finger, nucleic acid binding protein
227741_at	PTPLB	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b
227792_at	ITPRIPL2	inositol 1,4,5-triphosphate receptor interacting protein-like 2
227880_s_at	LOC100132969 /// TMEM185A	hypothetical protein LOC100132969 /// transmembrane protein 185A
227952_at	NA	NA
227954_at	ITPRIPL2	inositol 1,4,5-triphosphate receptor interacting protein-like 2
227999_at	PWWP2B	PWWP domain containing 2B
228033_at	E2F7	E2F transcription factor 7
228107_at	LOC100127983	hypothetical protein LOC100127983
228272_at	DNLZ	DNL-type zinc finger
228340_at	TLE3	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)
228361_at	E2F2	E2F transcription factor 2
228376_at	GGTA1	glycoprotein, alpha-galactosyltransferase 1
228696_at	SLC45A3	solute carrier family 45, member 3
228868_x_at	CDT1	Chromatin licensing and DNA replication factor 1
228989_at	C18orf56	chromosome 18 open reading frame 56
229429_x_at	LOC728855	hypothetical LOC728855
229538_s_at	IQGAP3	IQ motif containing GTPase activating protein 3
229551_x_at	ZNF367	zinc finger protein 367
229640_x_at	NA	NA
229735_s_at	NA	NA
229751_s_at	PUS7L	pseudouridylate synthase 7 homolog (S. cerevisiae)-like
229911_at	TPM2	tropomyosin 2 (beta)
229984_at	DTWD1	DTW domain containing 1
230070_at	CNIH2	cornichon homolog 2 (Drosophila)
230266_at	RAB7B	RAB7B, member RAS oncogene family
230267_at	NA	NA
230427_s_at	BAG5	BCL2-associated athanogene 5
230509_at	SNX22	sorting nexin 22
230533_at	ZMYND8	zinc finger, MYND-type containing 8
230670_at	IGSF10	immunoglobulin superfamily, member 10
230743_at	LOC404266	hypothetical LOC404266
230866_at	CYSLTR1	cysteinyl leukotriene receptor 1
230988_at	NA	NA
231579_s_at	TIMP2	TIMP metallopeptidase inhibitor 2
231856_at	KIAA1244	KIAA1244
231896_s_at	DENR	density-regulated protein
232009_at	EMR2	egf-like module containing, mucin-like, hormone receptor-like 2
232077_s_at	YPEL3	yippee-like 3 (Drosophila)
232507_at	C15orf41	chromosome 15 open reading frame 41
232578_at	CLDN18	claudin 18
232816_s_at	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)
233333_x_at	AVIL	advillin
233592_at	ANKRD18A /// ANKRD18B /// ANKRD19 /// LOC728897 /// RP11-195B21.3 /// RP11-38M15.10	ankyrin repeat domain 18A /// ankyrin repeat domain 18B /// ankyrin repeat domain 19 /// hypothetical protein LOC728897 /// hypothetical LOC644249 /// coiled-coil domain containing 29-like
233649_at	KATNAL2	katanin p60 subunit A-like 2
234048_s_at	KIAA1632	KIAA1632
234311_s_at	GTPBP10	GTP-binding protein 10 (putative)
234713_x_at	NA	NA
234863_x_at	FBXO5	F-box protein 5
235096_at	LEO1	Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)
235228_at	CCDC85A	coiled-coil domain containing 85A
235275_at	BMP8B	Bone morphogenetic protein 8b
235302_at	NA	NA
235352_at	NA	NA
235378_at	NA	NA
235505_s_at	NA	NA
235521_at	HOXA3	homeobox A3
235588_at	ESCO2	establishment of cohesion 1 homolog 2 (S. cerevisiae)
235685_at	NA	NA
235830_at	NA	NA
235840_at	NA	NA
235876_at	NA	NA
236281_x_at	HTR7	5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled)
236297_at	NA	NA
236347_at	MMAA	methylmalonic aciduria (cobalamin deficiency) cblA type
236471_at	NFE2L3	nuclear factor (erythroid-derived 2)-like 3
236852_at	FBXO43	F-box protein 43
236976_at	FANCA	Fanconi anemia, complementation group A
237647_at	GHRL	Ghrelin/obestatin prepropeptide
238559_at	NA	NA
238647_at	C14orf28	chromosome 14 open reading frame 28
238759_at	CCDC88A	coiled-coil domain containing 88A
238861_at	NA	NA
239002_at	ASPM	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)
239205_s_at	CR1 /// CR1L	complement component (3b/4b) receptor 1 (Knops blood group) /// complement component (3b/4b) receptor 1-like
239219_at	AURKB	aurora kinase B
239225_at	NA	NA
239428_at	RAB1A	RAB1A, member RAS oncogene family
239503_at	NA	NA
240785_at	NA	NA
241108_at	NA	NA
241342_at	TMEM65	transmembrane protein 65
241745_at	NA	NA
241763_s_at	FBXO32	F-box protein 32
242057_at	NA	NA
242553_at	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
242705_x_at	NA	NA
243_g_at	MAP4	microtubule-associated protein 4
243368_at	NA	NA
243860_at	NA	NA
244038_at	WDR89	WD repeat domain 89
244570_at	LOC100130360	hypothetical protein LOC100130360
244599_at	NA	NA
38158_at	ESPL1	extra spindle pole bodies homolog 1 (S. cerevisiae)
48808_at	DHFR	dihydrofolate reductase
55065_at	MARK4	MAP/microtubule affinity-regulating kinase 4
