rank	Gene	GB accession	Gene Description
143	AL050204	AL050204	Homo sapiens mRNA; cDNA DKFZp586F1223 (from clone DKFZp586F1223)
144	PRO0514	NM_014131	PRO0514 protein
145	AK057423	AK057423	Homo sapiens cDNA FLJ32861 fis, clone TESTI2003589
146	MGC4171	NM_024307	Hypothetical protein MGC4171
147	BC016153	BC016153	Homo sapiens, Similar to hypothetical protein FLJ10134, clone MGC:13208 IMAGE:3841102, mRNA, complet
148	KRT6B	NM_005555	Keratin 6B
149	TG737	NM_006531	Probe hTg737 (polycystic kidney disease, autosomal recessive, in)
150	DBI	NM_020548	Diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)
151	LOC57099	NM_020371	Cell death regulator aven
152	EMP2	NM_001424	Epithelial membrane protein 2
153	ETFA	NM_000126	Electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)
154	AL137734	AL137734	Homo sapiens mRNA; cDNA DKFZp586C0721 (from clone DKFZp586C0721); partial cds
155	AJ420458	AJ420458	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1630957
156	C20orf26	AL117439	Chromosome 20 open reading frame 26
157	AJ420542	AJ420542	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1090104
158	ANXA11	NM_001157	Annexin A11
159	FLJ10116	NM_018000	Hypothetical protein FLJ10116
160	AK055817	AK055817	Homo sapiens cDNA FLJ31255 fis, clone KIDNE2005603, moderately similar to 2-OXOGLUTARATE DEHYDROGENA
161	AK023404	AK023404	Homo sapiens cDNA FLJ13342 fis, clone OVARC1001950
162	S100A8	NM_002964	S100 calcium binding protein A8 (calgranulin A)
163	TGM3	NM_003245	Transglutaminase 3 (E polypeptide, protein-glutamine-gamma-glutamyltransferase)
164	AK024243	AK024243	Homo sapiens cDNA FLJ14181 fis, clone NT2RP2004300
165	BC009462	BC009462	Homo sapiens, Similar to RIKEN cDNA 2310038H17 gene, clone MGC:15974 IMAGE:3542748, mRNA, complete c
166	SPTBN4	NM_025213	Spectrin, beta, non-erythrocytic 4
167	EMP1	NM_001423	Epithelial membrane protein 1
168	DEFB2	NM_004942	Defensin, beta 2
169	AK023559	AK023559	Homo sapiens cDNA FLJ13497 fis, clone PLACE1004518
170	GOV	AF019226	Glioblastoma overexpressed
171	ID1	NM_002165	Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein
172	TOM1L2	AK055959	Target of myb1-like 2 (chicken)
173	RAB6A	AK057157	RAB6A, member RAS oncogene family
174	AL049328	AL049328	Homo sapiens mRNA; cDNA DKFZp564E026 (from clone DKFZp564E026)
175	AL133645	AL133645	Homo sapiens mRNA; cDNA DKFZp434C107 (from clone DKFZp434C107)
176	FLJ22457	NM_024901	Hypothetical protein FLJ22457
177	ELF3	NM_004433	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
178	AK055550	AK055550	Homo sapiens cDNA FLJ30988 fis, clone HLUNG1000030
179	HSPC159	NM_014181	HSPC159 protein
180	NICE-1	NM_019060	NICE-1 protein
181	SDC1	NM_002997	Syndecan 1
182	EDAG-1	NM_018437	Hypothetical protein EDAG-1
183	AL050021	AL050021	Homo sapiens mRNA; cDNA DKFZp564D016 (from clone DKFZp564D016)
184	ABLIM	NM_002313	Actin binding LIM protein
185	AL133611	AL133611	Homo sapiens mRNA; cDNA DKFZp434O1317 (from clone DKFZp434O1317)
186	PPP2R2A	NM_002717	Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform
187	BE961032	BE961032	Human DNA sequence from BAC 15E1 on chromosome 12. Contains Cytochrome C Oxidase Polypeptide VIa-liv
188	DLK1	NM_003836	Delta-like 1 homolog (Drosophila)
189	SEMA4D	NM_006378	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (se
190	COX7B	NM_001866	Cytochrome c oxidase subunit VIIb
191	FLJ20258	NM_017729	Hypothetical protein FLJ20258
192	FLJ20433	NM_017820	Hypothetical protein FLJ20433
193	ATF7	NM_006856	Activating transcription factor 7
194	AK024653	AK024653	Homo sapiens cDNA: FLJ21000 fis, clone CAE03359
195	KRT2A	NM_000423	Keratin 2A (epidermal ichthyosis bullosa of Siemens)
196	AK025726	AK025726	Homo sapiens cDNA: FLJ22073 fis, clone HEP11868
197	H2AFKP	Z80777	H2A histone family, member K, pseudogene
198	BE551792	BE551792	EST, Highly similar to A48118 major epidermal calcium-binding protein profilaggrin [H.sapiens]
199	AK024800	AK024800	Homo sapiens cDNA: FLJ21147 fis, clone CAS09371
200	SMARCC1	NM_003074	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1
201	S100A12	NM_005621	S100 calcium binding protein A12 (calgranulin C)
202	BC008941	BC008941	Homo sapiens, Similar to hypothetical protein FLJ20515, clone MGC:2696 IMAGE:2820596, mRNA, complete
203	ARHGAP6	NM_001174	Rho GTPase activating protein 6
204	NFATC2	NM_012340	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2
205	PYY2	NM_021093	Peptide YY, 2 (seminalplasmin)
206	GBE1	NM_000158	Glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen stora
207	LEP16	NM_032563	Epidermal differentiation complex protein like protein
208	DDC	NM_000790	Dopa decarboxylase (aromatic L-amino acid decarboxylase)
209	BC008122	BC008122	Homo sapiens, clone MGC:18053 IMAGE:4148889, mRNA, complete cds
210	TPP2	NM_003291	Tripeptidyl peptidase II
211	HBP17	NM_005130	Heparin-binding growth factor binding protein
212	AK055428	AK055428	Homo sapiens cDNA FLJ30866 fis, clone FEBRA2004110, highly similar to PHOSPHOLIPASE ADRAB-B PRECURSO
213	PCTK2	NM_002595	PCTAIRE protein kinase 2
214	AK023854	AK023854	Homo sapiens cDNA FLJ13792 fis, clone THYRO1000072, weakly similar to MYOSIN LIGHT CHAIN KINASE, SMO
215	CLDN7	NM_001307	Claudin 7
216	AK026045	AK026045	Homo sapiens cDNA: FLJ22392 fis, clone HRC07868
217	C1orf29	NM_006820	Chromosome 1 open reading frame 29
218	KIAA0942	NM_015310	KIAA0942 protein
219	GYPA	NM_002099	Glycophorin A (includes MN blood group)
220	FLJ10852	NM_019028	Hypothetical protein similar to ankyrin repeat-containing priotein AKR1
221	KIAA0303	AB002301	KIAA0303 protein
222	KIAA0469	NM_014851	KIAA0469 gene product
223	BC018033	BC018033	Homo sapiens, clone IMAGE:4800052, mRNA, partial cds
224	KLK7	NM_005046	Kallikrein 7 (chymotryptic, stratum corneum)
225	KCNJ3	NM_002239	Potassium inwardly-rectifying channel, subfamily J, member 3
226	BC016149	BC016149	Homo sapiens, clone MGC:12909 IMAGE:4040087, mRNA, complete cds
227	OSBP2	AF288741	Oxysterol binding protein 2
228	EPOR	NM_000121	Erythropoietin receptor
229	DAF	NM_000574	Decay accelerating factor for complement (CD55, Cromer blood group system)
230	ELMO1	AL136787	Engulfment and cell motility 1 (ced-12 homolog, C. elegans)
231	MRPS36	NM_033281	Mitochondrial ribosomal protein S36
232	FLJ21324	AL161960	Hypothetical protein FLJ21324
233	AK021431	AK021431	Homo sapiens cDNA FLJ11369 fis, clone HEMBA1000338
234	LOC51137	NM_016128	Coat protein gamma-cop
235	FLJ20637	NM_017912	Hypothetical protein FLJ20637
236	FLJ11585	NM_023075	Hypothetical protein FLJ11585
237	AL080073	AL080073	Homo sapiens mRNA; cDNA DKFZp564B1462 (from clone DKFZp564B1462)
238	AK026112	AK026112	Homo sapiens cDNA: FLJ22459 fis, clone HRC10045
239	MAPK6	NM_002748	Mitogen-activated protein kinase 6
240	LOC51328	NM_016637	Ncaml
241	PPIG	NM_004792	Peptidyl-prolyl isomerase G (cyclophilin G)
242	PARVB	NM_013327	Parvin, beta
243	KIAA0841	AB020648	KIAA0841 protein
244	KIAA1733	AB051520	KIAA1733 protein
245	PROL1	NM_021225	Proline-rich 1
246	NUF2R	NM_031423	Hypothetical protein NUF2R
247	AK024906	AK024906	Homo sapiens cDNA: FLJ21253 fis, clone COL01316
248	TAPBP	AF029750	TAP binding protein (tapasin)
249	AK021887	AK021887	Homo sapiens cDNA FLJ11825 fis, clone HEMBA1006494
250	ANXA1	NM_000700	Annexin A1
251	PPIF	NM_005729	Peptidylprolyl isomerase F (cyclophilin F)
252	AK026731	AK026731	Homo sapiens cDNA: FLJ23078 fis, clone LNG05870
253	RARRES3	NM_004585	Retinoic acid receptor responder (tazarotene induced) 3
254	AK000293	AK000293	Homo sapiens cDNA FLJ20286 fis, clone HEP04358
255	MAP7	NM_003980	Microtubule-associated protein 7
256	BC008642	BC008642	Homo sapiens, clone IMAGE:3868989, mRNA, partial cds
257	AF144233	AF144233	Homo sapiens DNA binding peptide mRNA, partial cds
258	OR1E3P	U53583	Olfactory receptor, family 1, subfamily E, member 3 pseudogene
259	RALBP1	NM_006788	RalA binding protein 1
260	FLJ11783	NM_024891	Hypothetical protein FLJ11783
261	DEFB1	NM_005218	Defensin, beta 1
262	DKFZP586A052	2 NM_014033	DKFZP586A0522 protein
263	AL137581	AL137581	Homo sapiens mRNA; cDNA DKFZp434B0610 (from clone DKFZp434B0610); partial cds
264	IDI1	NM_004508	Isopentenyl-diphosphate delta isomerase
265	TOM1L1	NM_005486	Target of myb1-like 1 (chicken)
266	FLJ23584	NM_024588	Hypothetical protein FLJ23584
267	AF130062	AF130062	Homo sapiens clone FLB7715 PRO2051 mRNA, complete cds
268	AK024098	AK024098	Homo sapiens cDNA FLJ14036 fis, clone HEMBA1004709
269	FLJ22408	NM_024794	Hypothetical protein FLJ22408
270	PLA2R1	U17033	Phospholipase A2 receptor 1, 180kD
271	TYROBP	NM_003332	TYRO protein tyrosine kinase binding protein
272	SOX5	NM_006940	SRY (sex determining region Y)-box 5
273	AK055310	AK055310	Homo sapiens cDNA FLJ30748 fis, clone FEBRA2000399, moderately similar to ZINC FINGER PROTEIN 45
274	AK021983	AK021983	Homo sapiens cDNA FLJ11921 fis, clone HEMBB1000318
275	AK022228	AK022228	Homo sapiens cDNA FLJ12166 fis, clone MAMMA1000616
276	MMPL1	NM_004142	Matrix metalloproteinase-like 1
277	SYCP1	NM_003176	Synaptonemal complex protein 1
278	FLJ12994	NM_022841	Hypothetical protein FLJ12994
279	H2AFY	NM_004893	H2A histone family, member Y
280	ETS2	NM_005239	V-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
281	CRACC	AB027233	19A24 protein
282	BM88	NM_016564	BM88 antigen
283	AK022320	AK022320	Homo sapiens cDNA FLJ12258 fis, clone MAMMA1001510
284	TFAP4	NM_003223	Transcription factor AP-4 (activating enhancer binding protein 4)
285	CITED2	AF109161	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
286	AF127771	AF127771	Homo sapiens cell-line E8CASS clone E24L estradiol-induced mRNA sequence
287	AK001638	AK001638	Homo sapiens cDNA FLJ10776 fis, clone NT2RP4000323
288	DKFZp547M236	NM_018713	Hypothetical protein DKFZp547M236
289	AK025177	AK025177	Homo sapiens cDNA: FLJ21524 fis, clone COL05921
290	KIAA1201	AB033027	KIAA1201 protein
291	AK055957	AK055957	Homo sapiens cDNA FLJ31395 fis, clone NT2NE1000122
292	FOS	NM_005252	V-fos FBJ murine osteosarcoma viral oncogene homolog
293	KIAA1115	NM_014931	KIAA1115 protein
294	AK024924	AK024924	Homo sapiens cDNA: FLJ21271 fis, clone COL01751
295	PLSCR1	NM_021105	Phospholipid scramblase 1
296	PARVB	NM_013327	Parvin, beta
297	CORO1A	NM_007074	Coronin, actin binding protein, 1A
298	AK021479	AK021479	Homo sapiens cDNA FLJ11417 fis, clone HEMBA1000960
299	AK025794	AK025794	Homo sapiens cDNA: FLJ22141 fis, clone HEP21327
300	AK056507	AK056507	Homo sapiens cDNA FLJ31945 fis, clone NT2RP7006980
301	AK022022	AK022022	Homo sapiens cDNA FLJ11960 fis, clone HEMBB1001008
302	AK057203	AK057203	Homo sapiens cDNA FLJ32641 fis, clone SYNOV2001035
303	MP1	NM_014889	Metalloprotease 1 (pitrilysin family)
304	KRT16	NM_005557	Keratin 16 (focal non-epidermolytic palmoplantar keratoderma)
305	AKR1B10	NM_020299	Aldo-keto reductase family 1, member B10 (aldose reductase)
306	SLC35A1	NM_006416	Solute carrier family 35 (CMP-sialic acid transporter), member 1
307	ABCA3	NM_001089	ATP-binding cassette, sub-family A (ABC1), member 3
308	RABGGTA	NM_004581	Rab geranylgeranyltransferase, alpha subunit
309	AL049369	AL049369	Homo sapiens mRNA; cDNA DKFZp586D0518 (from clone DKFZp586D0518)
310	PTK6	NM_005975	PTK6 protein tyrosine kinase 6
311	BC014899	BC014899	Homo sapiens, clone IMAGE:3912307, mRNA
312	STK24	NM_003576	Serine/threonine kinase 24 (STE20 homolog, yeast)
313	PTPRC	NM_002838	Protein tyrosine phosphatase, receptor type, C
314	NDUFV3	NM_021075	NADH dehydrogenase (ubiquinone) flavoprotein 3 (10kD)
315	GBP2	NM_004120	Guanylate binding protein 2, interferon-inducible
316	AK022065	AK022065	Homo sapiens cDNA FLJ12003 fis, clone HEMBB1001537
317	KIAA0977	NM_014900	KIAA0977 protein
318	SDCCAG8	AF039690	Serologically defined colon cancer antigen 8
319	SIM1	NM_005068	Single-minded homolog 1 (Drosophila)
320	KIAA0483	AB007952	KIAA0483 protein
321	PRO1853	NM_018607	Hypothetical protein PRO1853
322	MGC17528	BC010541	Hypothetical protein MGC17528
323	AL080233	AL080233	Homo sapiens mRNA; cDNA DKFZp586L111 (from clone DKFZp586L111)
324	AL049275	AL049275	Homo sapiens mRNA; cDNA DKFZp564H213 (from clone DKFZp564H213)
325	POU4F3	NM_002700	POU domain, class 4, transcription factor 3
326	SDCBP2	NM_015685	Syndecan binding protein (syntenin) 2
327	KIAA1138	AB032964	KIAA1138 protein
328	C20orf129	AK055793	Chromosome 20 open reading frame 129
329	PCNT2	NM_006031	Pericentrin 2 (kendrin)
330	SGNE1	NM_003020	Secretory granule, neuroendocrine protein 1 (7B2 protein)
331	ITPR2	NM_002223	Inositol 1,4,5-triphosphate receptor, type 2
332	WNT3	NM_030753	Wingless-type MMTV integration site family, member 3
333	AF070602	AF070602	Homo sapiens clone 24504 mRNA sequence
334	R33729_1	Z78330	Hypothetical protein R33729_1
335	AK057367	AK057367	Homo sapiens cDNA FLJ32805 fis, clone TESTI2002690
336	SLC6A12	U27699	Solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12
337	AK024123	AK024123	Homo sapiens cDNA FLJ14061 fis, clone HEMBB1000749
338	SP3	X68560	Sp3 transcription factor
339	UBC	M26880	Ubiquitin C
340	SNK	NM_006622	Serum-inducible kinase
341	AK025451	AK025451	Homo sapiens cDNA: FLJ21798 fis, clone HEP00573
342	BC006284	BC006284	Homo sapiens, clone IMAGE:3957135, mRNA, partial cds
343	ID3	NM_002167	Inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
344	GABARAP	NM_007278	GABA(A) receptor-associated protein
345	FLJ20654	AB040940	Hypothetical protein FLJ20654
346	DAP13	NM_018838	13kDa differentiation-associated protein
347	C9orf15	NM_025072	Chromosome 9 open reading frame 15
348	TRIM22	NM_006074	Tripartite motif-containing 22
349	AL080078	AL080078	Homo sapiens mRNA; cDNA DKFZp564D1462 (from clone DKFZp564D1462)
350	AK023520	AK023520	Homo sapiens cDNA FLJ13458 fis, clone PLACE1003361
351	HDAC3	AF130111	Histone deacetylase 3
352	MGC10471	NM_030818	Hypothetical protein MGC10471
353	CAC-1	NM_033504	CAC-1
354	KAP4.14	NM_033059	Keratin associated protein 4.14
355	OAS3	NM_006187	2’-5’-oligoadenylate synthetase 3 (100 kD)
356	IFIT1	NM_001548	Interferon-induced protein with tetratricopeptide repeats 1
357	NRCAM	NM_005010	Neuronal cell adhesion molecule
358	LOC51030	NM_016078	CGI-148 protein
359	DDX3	NM_001356	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3
360	AK027724	AK027724	Homo sapiens cDNA FLJ14818 fis, clone OVARC1000168
361	PPP2CB	NM_004156	Protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform
362	AK026499	AK026499	Homo sapiens cDNA: FLJ22752 fis, clone KAIA0555
363	AK021604	AK021604	Homo sapiens mRNA; cDNA DKFZp434O0227 (from clone DKFZp434O0227)
364	ECGF1	NM_001953	Endothelial cell growth factor 1 (platelet-derived)
365	TST	NM_003312	Thiosulfate sulfurtransferase (rhodanese)
366	APOL1	AF323540	Apolipoprotein L, 1
367	H41	AF103803	Hypothetical protein
368	AK056932	AK056932	Homo sapiens cDNA FLJ32370 fis, clone PUAEN1000322
369	BC017586	BC017586	Homo sapiens, Similar to RIKEN cDNA 1700028N11 gene, clone MGC:26610 IMAGE:4837506, mRNA, complete c
370	LOC118430	NM_058173	Small breast epithelial mucin
371	BG912466	BG912466	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 152428
372	STXBP1	NM_003165	Syntaxin binding protein 1
373	DKFZp667O241	6 AK056427	Hypothetical protein DKFZp667O2416
374	PCCX2	AB031230	Protein containing CXXC domain 2
375	PRO2086	NM_014111	PRO2086 protein
376	HSD3B1	NM_000862	Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1
377	NIF3L1	NM_021824	NIF3 NGG1 interacting factor 3-like 1 (S. pombe)
378	ABCA8	NM_007168	ATP-binding cassette, sub-family A (ABC1), member 8
379	MORC	NM_014429	Microrchidia homolog (mouse)
380	STATH	NM_003154	Statherin
381	AY039026	AY039026	Homo sapiens immunoglobulin mu chain antibody MO30 (IgM) mRNA, complete cds
382	PAPA-1	NM_031288	PAP-1 binding protein
