Affymetrix number	Gene Name	Gene Symbol	Reference Number	Above/Below mean
37276_at	IQ motif containing GTPase activating protein 2	IQGAP2	U51903	Below
38763_at	L-iditol-2 dehydrogenase gene	NA	L29254	Below
40960_at	UDP-Gal betaGlcNAc beta 1 4- galactosyltransferase polypeptide 1	B4GALT1	D29805	Below
1127_at	ribosomal protein S6 kinase 90kD polypeptide 1	RPS6KA1	L07597	Below
37359_at	KIAA0102 gene product	KIAA0102	D14658	Below
38968_at	SH3-domain binding protein 5 BTK-associated	SH3BP5	AB005047	Below
39135_at	KIAA0767 protein	KIAA0767	AB018310	Below
36128_at	transmembrane trafficking protein	TMP21	L40397	Below
1158_s_at	calmodulin 3 phosphorylase kinase delta	CALM3	J04046	Above
34782_at	jumonji mouse homolog	JMJ	AL021938	Below
37893_at	protein tyrosine phosphatase non-receptor type 2	PTPN2	AI828880	Below
39758_f_at	Lysosomal-associated membrane protein 1	LAMP1	J04182	Below
35151_at	tumor suppressor deleted in oral cancer-related 1	DOC-1R	AF089814	Below
38096_f_at	major histocompatibility complex class II DP beta 1	HLA-DPB1	M83664	Above
40467_at	succinate dehydrogenase complex subunit D integral membrane protein	SDHD	AB006202	Below
39712_at	S100 calcium-binding protein A13	S100A13	AI541308	Below
41812_s_at	KIAA0906 protein	KIAA0906	AB020713	Below
34336_at	lysyl-tRNA synthetase	KARS	D32053	Below
38336_at	KIAA1013 protein	KIAA1013	AB023230	Below
32253_at	arginine-glutamic acid dipeptide RE repeats	RERE	AB007927	Below
35731_at	integrin alpha 4 antigen CD49D alpha 4 subunit of VLA-4 receptor	ITGA4	X16983	Below
40698_at	C-type calcium dependent carbohydrate-recognition domain lectin superfamily member 2 activation-induced	CLECSF2	X96719	Below
840_at	zinc finger protein 220	ZNF220	U47742	Above
41171_at	proteasome prosome macropain activator subunit 2 PA28 beta	PSME2	D45248	Above
34877_at	Janus kinase 1 a protein tyrosine kinase	JAK1	AL039831	Above
37190_at	WAS protein family member 1	WASF1	D87459	Below
31690_at	Glutamate dehydrogenase-2	GLUD2	U08997	Below
40961_at	SWI/SNF related matrix associated actin dependent regulator of chromatin subfamily a member 2	SMARCA2	X72889	Below
38149_at	KIAA0053 gene product	KIAA0053	D29642	Above
2061_at	integrin alpha 4 antigen CD49D alpha 4 subunit of VLA-4 receptor	ITGA4	L12002	Below
2012_s_at	protein kinase DNA-activated catalytic polypeptide	PRKDC	U34994	Below
36878_f_at	major histocompatibility complex class II DQ beta 1	HLA-DQB1	M60028	Above
34821_at	DKFZP586D0623 protein	DKFZP586D0623	AL050197	Below
36980_at	proline-rich protein with nuclear targeting signal	B4-2	U03105	Below
853_at	nuclear factor erythroid-derived 2 like 2	NFE2L2	S74017	Below
39320_at	caspase 1 apoptosis-related cysteine protease interleukin 1 beta convertase	CASP1	U13697	Below
32572_at	ubiquitin specific protease 9 X chromosome Drosophila fat facets related	USP9X	X98296	Below
387_at	cyclin-dependent kinase 9 CDC2-related kinase	CDK9	X80230	Below
35300_at	glutamyl-prolyl-tRNA synthetase	EPRS	X54326	Below
36155_at	KIAA0275 gene product	KIAA0275	D87465	Below
37625_at	Interferon regulatory factor 4	IRF4	U52682	Below
35763_at	KIAA0540 protein	KIAA0540	AB011112	Below
39077_at	DR1-associated protein 1 negative cofactor 2 alpha	DRAP1	U41843	Below
40132_g_at	Follistatin-like 1	FSTL1	D89937	Below
32615_at	aspartyl-tRNA synthetase	DARS	J05032	Below
38357_at	Homo sapiens mRNA cDNA DKFZp564D156 from clone DKFZp564D156	NA	AL049321	Above
34817_s_at	ataxin 2 related protein	A2LP	U70671	Above
40856_at	serine or cysteine proteinase inhibitor clade F alpha-2 antiplasmin pigment epithelium derived factor member 1	SERPINF1	U29953	Below
39784_at	eukaryotic translation initiation factor 2 subunit 1 alpha 35kD	EIF2S1	U26032	Below
37600_at	extracellular matrix protein 1	ECM1	U68186	Below
40839_at	ubiquitin-like 3	UBL3	AL080177	Below
34832_s_at	KIAA0763 gene product	KIAA0763	AB018306	Below
33244_at	chimerin chimaerin 2	CHN2	U07223	Below
31516_f_at	basic transcription factor 3 like 1	BTF3L1	M90354	Below
35266_at	bladder cancer associated protein	BLCAP	AL049288	Above
253_g_at	(clone GPCR W) G protein-linked receptor gene (GPCR) gene	NA	L42324	Below
35227_at	retinoblastoma-binding protein 8	RBBP8	U72066	Below
41073_at	G protein-coupled receptor 49	GPR49	AI743745	Below
38084_at	chromobox homolog 3 Drosophila HP1 gamma	CBX3	AI797801	Below
39025_at	6.2 kd protein	LOC54543	AI557912	Below
32085_at	KIAA0981 protein	KIAA0981	AB023198	Above
38902_r_at	Activating transcription factor 2	ATF2	X15875	Below
