Gene	ID	t1/2
KIAA0375	W49494	75
KIAA0419	AA625653	58
KIAA0426	AA708279	45
KIAA0431	AA172053	44
KIAA0438	AA142966	63
KIAA0441	N24789	27
KIAA0475	AA419200	75
KIAA0476	AA282577	730
KIAA0537	AA774839	110
KIAA0560	AA121387	69
KIAA0628	N56973	42
KIAA0669	W60983	50
KIAA0680	AA700164	136
KIAA0685	AA490924	272
KIAA0711	AA702544	60
KIAA0798	T90374	32
KIAA0808	N66992	60
KIAA0844	AW131755	316
KIAA0938	AA705735	40
KIAA0970	R36431	47
KIAA0982	AA017133	71
KIAA0997	R28471	38
KIAA1041	AA629800	70
KIAA1046	R78541	66
KLHL2	AI348818	541
KMO	R44396	105
KNSL1	AA504625	83
KNTC1	AA157787	79
KPNA1	AA180046	175
KRAS2	AA505084	65
LEPR	AI208285	72
LEPROTL1	T62031	134
LIF	R50354	117
LIM	R92455	52
LIV-1	H29407	127
LMAN1	AA446103	112
LOC51026	R69622	87
LOC51071	N74602	80
LPL	AA633835	175
LRP8	AA527256	168
LTA	W72329	66
M6PR	AA465223	189
MADD	AA282445	154
MAN1	AA520992	67
MATN3	AI375563	41
MBL2	T69359	17
MBTPS1	AA447393	112
MEF2C	AA234897	60
METAP2	AA283030	180
MICB	H69835	59
MLLT2	AA057425	53
MMD	AA487643	147
MMP1	AA143201	112
MNAT1	AA481759	247
MPP2	H39068	68
MRPL33	AA489478	81
MTHFD2	AI361330	192
MTM1	AA491225	128
MTMR2	AA436164	94
MTR	AA233650	64
MYC	AA464600	32
MYO1E	AA029956	49
NAB1	N91896	118
NCAM2	AA709271	95
NEK4	AA496013	44
NEURL	N30706	55
NFE2L2	AA629687	51
NFKBIA	W55872	23
NGFB	T56316	46
NICE-3	N76101	138
NMT2	AA664135	33
NOVA1	AI362062	144
NR3C1	AA664219	93
NR4A1	N94487	278
NR4A3	H37761	99
NR6A1	AA853954	226
OGDH	AA856769	744
ORC6L	N90667	57
OSR1	R98985	213
P115	AA504342	79
PAIP1	AA598533	104
PARG1	AA629603	26
PCDHA9	AA437139	56
PCK1	AA405769	47
PDE4B	AA453293	23
PDE7A	AA992565	48
PDGFB	W68169	70
PDX1	N48320	125
PER1	T95053	34
PEX1	AA598527	148
PGK1	AA599187	163
PIGN	AA033974	138
PIK3CD	AA281784	100
PKD1	N27758	56
PLAT	R38933	163
PLAU	AA284668	62
PLCL1	AI222930	37
PLOD2	H99816	204
PM5	AA025160	895
POU6F1	N63968	71
PPP1R8	N99208	143
PPP2CA	AA599092	79
PPP3CA	AA682631	52
PPP3CB	AA015621	82
PRC1	AA449336	69
PREI3	AA410302	53
PREP	AA664056	93
PRG4	AA280514	127
PRKX	AA778448	38
PSMD10	R77104	256
PSMD12	AA497132	85
PTBP1	AA677517	156
PTK2B	R85257	331
PTPN1	T57321	365
PTPRA	H82419	79
PTPRC	H74265	249
PWP2H	H50886	299
RABIF	AA012984	53
RAD21	AA683102	84
RB1	AA045192	87
RB1CC1	AA047435	59
RBBP8	H23021	96
RBL2	N50554	79
RCN2	AA598676	81
REL	AI247359	111
RGS16	AA453774	14
RI58	W24246	71
RIPK2	AA913804	72
RMS1	R77718	42
RNF11	W94868	80
RNF14	N62157	70
RNGTT	AW137353	57
ROR2	AA149251	96
RTVP1	AA251800	91
RYK	T77810	84
SAC2	R69354	43
SBB103	AI299601	166
SC5DL	AA216535	63
SCAP2	R81177	49
SCYA11	W69211	53
SCYA16	T58775	59
SCYD1	R66139	75
SDFR1	AA130671	187
SEMA3B	AA455145	82
15-Sep	AA999842	191
SERPINB2	T49159	33
SFRS11	AA481054	239
SHOX2	AA425419	81
SIP	W87541	121
SIRPB1	AI088704	38
SIRT1	AA460952	41
SLC26A4	AI139968	32
SLC2A1	R17667	42
SLC2A3	H52531	33
SLC35A2	H51549	370
SLC9A6	R45009	45
SLK	W17289	143
SMN1	AA004858	64
SNAP25	AA663884	456
SNAPC3	AA043334	268
SNK	AA460152	23
SPG4	AA171421	61
SPTBN1	H98241	117
SRF	AA487973	152
SRPK1	AA630604	140
SRPR	AA598621	327
SRRM1	R26536	65
SSFA2	AA496804	167
ST13	H65676	170
STAU	AA669068	217
STIM1	AA157018	287
STIP1	AA487635	157
STK17A	AA453754	78
STK3	AA136675	43
SYBL1	R27644	172
TACC1	AA664006	105
TAF7	AA461518	79
TBCC	AA954188	43
TBP	N50549	146
TBX2	N99243	209
TCF12	AA488497	54
TCFL4	AA134555	66
TDE1	AA679489	221
TDG	T91074	62
TEB4	H67086	64
TG737	AA481585	63
THBD	H59861	53
THBS1	AA464630	54
TIEG	AI348177	18
TIMM17A	AA708446	69
TMEM1	N94245	122
TNF	AA699697	8
TNFAIP6	W93163	145
TNFSF9	AA778663	36
TOMM20	AA644550	74
TOPBP1	R97785	48
TPD52	AA459318	123
TPP2	T77959	63
TRAF4	AA598826	239
TRAF5	AA102634	53
TRAP240	AA434084	105
TRPM1	N35472	40
TSNAX	AA477514	133
TWIST	AI220198	30
TXNRD1	AA453335	113
UAP1	N68465	116
UBA2	H11320	69
UBE2A	AA600173	204
UBE2H	AA520978	150
UBE2V2	AA448676	80
UBL3	AA151852	126
UGCG	N90204	125
UGDH	AA992570	59
UK114	AI301696	207
USP6	AI203661	40
USP8	AI299198	59
VBP1	AA478108	162
VEGF	R19956	106
VPS26	AA064946	108
VPS41	AA143559	137
WBP4	AA702632	69
WDR3	AA775806	97
WHSC1	AA159311	121
WRB	AA099383	93
WS-3	AA451781	415
WSB1	AA025807	64
WTAP	AA598802	200
XBP1	W90128	52
XPR1	AA453474	123
YES1	H56929	49
ZFX	AI740859	97
ZMPSTE24	AA001403	115
ZNF198	AA251581	114
ZNF207	N59119	71
ZNF238	R79722	79
ZNF297B	AA702698	47
