Parametric p-value	Fold difference of geometric means (R vs T)	Description	Clone	UG cluster	Gene symbol	Map
8.20E-06	0.355	Rho GTPase-activating protein	2283906	Hs.111138	RICS	11q24-q25
0.0003702	0.355	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	1615557	Hs.78867	PTPRZ1	7q31.3
0.0004568	0.36	statherin	1825492	Hs.37048	STATH	4q11-q13
1.00E-07	0.361	Homo sapiens cDNA FLJ13510 fis, clone PLACE1005146.	64451	Hs.37896	NA	2
0.0001212	0.367	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1988412	Hs.166096	ELF3	1q32.2
2.40E-06	0.37	hypothetical protein FLJ22418	2816379	Hs.36563	FLJ22418	1p11.1
0.0007074	0.374	protease, serine, 3 (mesotrypsin)	2792982	Hs.58247	PRSS3	9p11.2
0.0004099	0.376	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included)	2354446	Hs.169238	FUT3	19p13.3
5.80E-05	0.377	keratin 7	1649959	Hs.23881	KRT7	12q12-q13
5.22E-05	0.379	keratin 7	1962141	Hs.23881	KRT7	12q12-q13
3.04E-05	0.38	KIAA0790 protein	1722691	Hs.12002	KIAA0790	6q24.3
4.32E-05	0.38	hypothetical protein MGC29643	2016229	Hs.372651	MGC29643	2q21.1
6.09E-05	0.387	calpastatin	1453748	Hs.359682	CAST	5q15-q21
0.0001728	0.39	hypothetical protein MGC16491	3408084	Hs.59771	MGC16491	1p35.3
5.23E-05	0.393	nuclear receptor coactivator 6 interacting protein	2239295	Hs.179909	NCOA6IP	8q11
9.28E-05	0.396	transmembrane protease, serine 2	991163	Hs.318545	TMPRSS2	21q22.3
0.0001896	0.399	dihydropyrimidine dehydrogenase	1485479	Hs.1602	DPYD	1p22
0.0004989	0.403	myosin ID	1556011	Hs.39871	MYO1D	17q11-q12
0.0007907	0.411	transmembrane 4 superfamily member 6	1701627	Hs.121068	TM4SF6	Xq22
0.0002794	0.417	coagulation factor II (thrombin) receptor-like 1	1801553	Hs.154299	F2RL1	5q13
0.0002119	0.419	Homo sapiens cDNA: FLJ20869 fis, clone ADKA02377.	3143579	Hs.194101	NA	12
0.0006584	0.43	hypothetical protein from clone 643	1451876	Hs.206501	LOC57228	12q13.12
0.0009365	0.437	epithelial membrane protein 1	1624024	Hs.79368	EMP1	12p12.3
0.0007938	0.442	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	2060621	Hs.278573	CD59	11p13
0.0005395	0.443	galactose-4-epimerase, UDP-	1807294	Hs.76057	GALE	1p36-p35
p < 1e-07	0.445	protein tyrosine phosphatase, receptor type, U	2941607	Hs.19718	PTPRU	1p35.3-p35.1
0.0002042	0.445	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	2098990	Hs.91139	SLC1A1	9p24
3.14E-05	0.453	FK506 binding protein 1B, 12.6 kDa	1288118	Hs.77643	FKBP1B	2p24.1
0.0005611	0.457	Ste20-related serine/threonine kinase	1968259	Hs.105751	SLK	10q24.32
4.22E-05	0.458	PTK6 protein tyrosine kinase 6	3255437	Hs.51133	PTK6	20q13.3
0.0008648	0.458	KIAA0089 protein	1803418	Hs.82432	KIAA0089	3p22.3
0.000323	0.459	PlSC domain containing hypothetical protein	1889837	Hs.352614	LOC254531	15q13.2
0.0005902	0.461	ADP-ribosylation factor 4-like	2852403	Hs.183153	ARF4L	17q12-q21
0.0004429	0.464	occludin	3980393	Hs.171952	OCLN	5q13.1
0.0003935	0.468	transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)	459817	Hs.22	TGM1	14q11.2
0.0006267	0.469	interleukin 1 receptor accessory protein	1431707	Hs.173880	IL1RAP	3q28
4.20E-06	0.478	inositol polyphosphate-4-phosphatase, type II, 105kDa	3032739	Hs.153687	INPP4B	4q31.1
0.0005236	0.479	apolipoprotein D	3948420	Hs.75736	APOD	3q26.2-qter
0.0001591	0.484	formyltetrahydrofolate dehydrogenase	2104145	Hs.9520	FTHFD	3q21.2
0.0005966	0.486	diaphorase (NADH/NADPH) (cytochrome b-5 reductase)	2637222	NA	NA	NA
0.0004412	0.487	cytochrome P450, family 24, subfamily A, polypeptide 1	3118873	Hs.89663	CYP24A1	20q13
0.0005154	0.488	nei endonuclease VIII-like 1 (E. coli)	1926409	Hs.28355	NEIL1	15q22.33
0.0002433	0.489	EphB3	1227385	Hs.2913	EPHB3	3q21-qter
0.000889	0.49	histamine receptor H1	1210839	Hs.1570	HRH1	3p25
1.00E-06	0.492	ESTs	2136337	Hs.110044	NA	9
3.80E-06	0.505	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)	2815133	Hs.271923	GALNT4	12q21.3-q22
0.0006595	0.506	histone 1, H1c	1574890	Hs.7644	HIST1H1C	6p21.3
0.0009171	0.51	enthoprotin	1561222	Hs.132853	ENTH	5q23.1-q33.3
0.0005141	0.513	guanine nucleotide binding protein (G protein), gamma 4	1756834	Hs.32976	GNG4	1q42.3
0.0007522	0.527	tumor necrosis factor receptor superfamily, member 21	1991290	Hs.159651	TNFRSF21	6p21.1-12.2
0.000952	0.528	Meis1, myeloid ecotropic viral integration site 1 homolog 3 (mouse)	1662216	Hs.380923	MEIS3	17p11.2
0.0007614	0.529	hairy and enhancer of split 1, (Drosophila)	2058935	Hs.250666	HES1	3q28-q29
5.36E-05	0.536	tripartite motif-containing 16	1996011	Hs.241305	TRIM16	17p11.2
6.51E-05	0.537	Homo sapiens DNA from chromosome 19, cosmid F21856	3615515	NA	NA	NA
3.06E-05	0.547	hypothetical protein BC010682	1493357	Hs.4896	LOC90550	10q22.2
0.0007885	0.572	sortilin 1	2706090	NA	NA	NA
0.0008931	0.582	peroxisome proliferative activated receptor, delta	2640712	Hs.106415	PPARD	6p21.2-p21.1
0.0001597	0.584	5-nucleotidase, cytosolic II	2474690	Hs.138593	NT5C2	10q24.32
6.90E-06	0.599	Fanconi anemia, complementation group A	1647354	NA	NA	NA
0.0008396	0.6	ESTs	1984918	Hs.165795	NA	14
0.0006036	0.603	dual adaptor of phosphotyrosine and 3-phosphoinositides	1304879	Hs.62643	DAPP1	4q25-q27
0.0006974	0.607	period homolog 3 (Drosophila)	2289901	Hs.12592	PER3	1p36.22
6.21E-05	0.609	hypothetical protein FLJ32029	2929840	Hs.26612	FLJ32029	11q13.3
0.000887	0.616	ESTs	1888036	Hs.427773	NA	2
8.05E-05	0.628	hypothetical protein FLJ22004	2768580	Hs.108812	FLJ22004	2q13
0.000367	0.643	KIAA1295 protein	1208611	Hs.26204	KIAA1295	5q35.2
0.0007872	0.661	retinoic acid receptor, beta	2148583	Hs.171495	RARB	3p24
0.0003683	0.672	hypothetical protein FLJ11560	1990361	Hs.301696	FLJ11560	9p13.1
0.0001513	0.679	DKFZP434C212 protein	1282176	Hs.172069	DKFZP434C212	9q34.11
0.0005234	1.243	chromosome 14 open reading frame 117	2652746	Hs.103189	C14orf117	14q24.1
0.0002028	1.322	zinc finger protein 161 homolog (mouse)	2487368	Hs.156000	ZFP161	18pter-p11.2
0.0002129	1.328	phosphatidylinositol glycan, class F	1557568	Hs.426142	PIGF	2p21-p16
0.0006941	1.378	Homo sapiens, clone IMAGE:4152387, mRNA	2070637	Hs.46791	NA	9
0.0005802	1.385	hypothetical protein LOC150819	2250987	Hs.84063	LOC150819	2q12.3
2.73E-05	1.405	Splicing factor, arginine/serine-rich, 46kD	2511735	Hs.155160	SRP46	11q22
4.56E-05	1.425	tumor necrosis factor receptor superfamily, member 9	191843	Hs.73895	TNFRSF9	1p36
0.0006411	1.445	KIAA1340 protein	2917963	Hs.51743	KIAA1340	12p11.23
0.0009423	1.471	KIAA0117 protein	1238619	NA	NA	NA
0.0002355	1.476	M-phase phosphoprotein 9	2508608	Hs.351230	MPHOSPH9	12q24.31
0.0002067	1.479	pogo transposable element with ZNF domain	1877933	Hs.107088	POGZ	1q21.2
0.0001549	1.502	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	471870	Hs.31176	SIRT1	10q22.1
0.0005706	1.506	embryonic ectoderm development	2914968	Hs.151461	EED	11q14.2-q22.3
0.0001167	1.508	zinc finger protein with interaction domain	3728922	Hs.3053	ZID	9q34.11
0.0002195	1.528	D15F37 (pseudogene)	2739109	Hs.426451	MN7	15q11-q13
0.0005221	1.545	hypothetical protein MGC9084	960406	Hs.33922	MGC9084	1q23.2
0.0009827	1.551	zinc finger protein 265	1845253	Hs.194718	ZNF265	1p31
0.0007871	1.554	Homo sapiens clone HQ0290	639847	Hs.446574	NA	1
0.0006602	1.557	ubiquitin specific protease 14 (tRNA-guanine transglycosylase)	1707220	Hs.75981	USP14	18p11.32
0.0005359	1.573	chromosome 21 open reading frame 66	1358710	Hs.283771	C21orf66	21q21.3
0.0009143	1.579	Homo sapiens cDNA FLJ14232 fis, clone NT2RP4000035.	2243954	Hs.101810	NA	6
0.000893	1.608	kinetochore associated 1	789903	Hs.333355	KNTC1	12q24.31
0.0003913	1.614	Bardet-Biedl syndrome 2	1723772	Hs.332633	BBS2	16q21
4.71E-05	1.618	nucleoporin-like protein 1	1922694	Hs.168352	NLP_1	7p15
4.26E-05	1.625	centromere protein A, 17kDa	2444942	Hs.1594	CENPA	2p24-p21
0.0008911	1.628	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	2457759	Hs.30035	SFRS10	3q26.2-q27
0.0002741	1.656	heterogeneous nuclear ribonucleoprotein C (C1/C2)	2458656	Hs.418901	HNRPC	14q11.1
0.0006728	1.667	sterile alpha and HEAT/Armadillo motif protein, ortholog of Drosophila	2612729	Hs.128759	SARM	17
3.79E-05	1.675	ESTs, Weakly similar to hypothetical	2285350	Hs.99216		15
0.0003634	1.675	polymerase (DNA directed), alpha	1719446	Hs.267289	POLA	Xp22.1-p21.3
3.11E-05	1.684	high mobility group nucleosomal binding domain 4	1748670	Hs.236774	HMGN4	6p21.3
0.000571	1.694	mannosidase, beta A, lysosomal	1805840	Hs.115945	MANBA	4q22-q25
0.0005927	1.699	regulator of G-protein signalling 16	1890243	Hs.183601	RGS16	1q25-q31
0.0001148	1.704	hypothetical protein FLJ21016	1447393	Hs.289069	FLJ21016	1q42.12
6.30E-06	1.712	RNA binding motif protein 15	1379395	Hs.46670	RBM15	1p13
0.0004109	1.747	TED protein	2409533	Hs.87619	TED	Xq13.1
0.0007374	1.764	heterogeneous nuclear ribonucleoprotein A1	1236655	Hs.376844	HNRPA1	12q13.1
8.72E-05	1.785	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	1994721	Hs.285013	ANP32A	15q22.3-q23
0.0003067	1.798	ESTs, Weakly similar to hypothetical protein FLJ22184 [Homo sapiens] [H.sapiens]	1451756	Hs.23272		6
0.0001401	1.812	thymopoietin	2289176	Hs.406660	TMPO	12q22
0.0003649	1.812	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2056149	Hs.90280	ATIC	2q35
7.51E-05	1.826	lamin B receptor	1803808	Hs.152931	LBR	1q42.1
0.0001458	1.948	lamin B receptor	564104	Hs.152931	LBR	1q42.1
0.0005024	2.179	vascular cell adhesion molecule 1	1642361	Hs.109225	VCAM1	1p32-p31
0.0002484	2.25	TBC1 domain family, member 4	924189	Hs.173802	TBC1D4	13q21.33
6.30E-06	2.263	lymphocyte adaptor protein	1959371	Hs.13131	LNK	12q24
0.000283	2.317	baculoviral IAP repeat-containing 3	1603857	Hs.127799	BIRC3	11q22
2.60E-06	2.34	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	1782172	Hs.1501	SDC2	8q22-q23
