Probe Set ID	Gene Symbol	Gene Description
204468_s_at	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1
204485_s_at	TOM1L1	target of myb1 (chicken)-like 1
204512_at	HIVEP1	human immunodeficiency virus type I enhancer binding protein 1
204561_x_at	APOC2 /// APOC4	apolipoprotein C-II /// apolipoprotein C-IV
204616_at	UCHL3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
204677_at	CDH5	cadherin 5, type 2 (vascular endothelium)
204699_s_at	C1orf107	chromosome 1 open reading frame 107
204778_x_at	HOXB7	homeobox B7
204779_s_at	HOXB7	homeobox B7
204810_s_at	CKM	creatine kinase, muscle
204906_at	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2
204998_s_at	ATF5	activating transcription factor 5
205181_at	ZNF193	zinc finger protein 193
205366_s_at	HOXB6	homeobox B6
205453_at	HOXB2	homeobox B2
205527_s_at	GEMIN4	gem (nuclear organelle) associated protein 4
205562_at	RPP38	ribonuclease P/MRP 38kDa subunit
205632_s_at	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase, type I, beta
205683_x_at	TPSAB1	tryptase alpha/beta 1
205751_at	SH3GL2	SH3-domain GRB2-like 2
205762_s_at	DUS4L	dihydrouridine synthase 4-like (S. cerevisiae)
205801_s_at	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)
205986_at	AATK	apoptosis-associated tyrosine kinase
206134_at	ADAMDEC1	ADAM-like, decysin 1
206138_s_at	PI4KB	phosphatidylinositol 4-kinase, catalytic, beta
206298_at	ARHGAP22	Rho GTPase activating protein 22
206480_at	LTC4S	leukotriene C4 synthase
206683_at	ZNF165	zinc finger protein 165
206761_at	CD96	CD96 molecule
207023_x_at	KRT10	keratin 10
207114_at	LY6G6C	lymphocyte antigen 6 complex, locus G6C
207134_x_at	TPSB2	tryptase beta 2
207408_at	SLC22A14	solute carrier family 22, member 14
207708_at	ALOXE3	arachidonate lipoxygenase 3
207741_x_at	TPSAB1	tryptase alpha/beta 1
207998_s_at	CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit
208116_s_at	MAN1A1	mannosidase, alpha, class 1A, member 1
208401_s_at	GLP1R	glucagon-like peptide 1 receptor
208490_x_at	HIST1H2BF	histone cluster 1, H2bf
208527_x_at	HIST1H2BE	histone cluster 1, H2be
208557_at	HOXA6	homeobox A6
208579_x_at	H2BFS	H2B histone family, member S
208672_s_at	SFRS3	splicing factor, arginine/serine-rich 3
208673_s_at	SFRS3	splicing factor, arginine/serine-rich 3
208886_at	H1F0	H1 histone family, member 0
209067_s_at	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like
209355_s_at	PPAP2B	phosphatidic acid phosphatase type 2B
209392_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2
209426_s_at	AMACR /// C1QTNF3	alpha-methylacyl-CoA racemase /// C1q and tumor necrosis factor related protein 3
209757_s_at	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
209806_at	HIST1H2BK	histone cluster 1, H2bk
209825_s_at	UCK2	uridine-cytidine kinase 2
209935_at	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1
209958_s_at	BBS9	Bardet-Biedl syndrome 9
210080_x_at	CELA3A	chymotrypsin-like elastase family, member 3A
210084_x_at	TPSAB1	tryptase alpha/beta 1
210150_s_at	LAMA5	laminin, alpha 5
210244_at	CAMP	cathelicidin antimicrobial peptide
210411_s_at	GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B
210549_s_at	CCL23	chemokine (C-C motif) ligand 23
210638_s_at	FBXO9	F-box protein 9
210722_at	PNLIPRP1	pancreatic lipase-related protein 1
210839_s_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2
210843_s_at	MFAP3L	microfibrillar-associated protein 3-like
211106_at	NA	NA
211279_at	NRF1	nuclear respiratory factor 1
211381_x_at	SPAG11B	sperm associated antigen 11B
211493_x_at	DTNA	dystrobrevin, alpha
211517_s_at	IL5RA	interleukin 5 receptor, alpha
211545_at	GHRHR	growth hormone releasing hormone receptor
211686_s_at	MAK16	MAK16 homolog (S. cerevisiae)
211727_s_at	COX11	COX11 homolog, cytochrome c oxidase assembly protein (yeast)
211741_x_at	PSG3	pregnancy specific beta-1-glycoprotein 3
212020_s_at	MKI67	antigen identified by monoclonal antibody Ki-67
212162_at	KIDINS220	kinase D-interacting substrate, 220kDa
212226_s_at	PPAP2B	phosphatidic acid phosphatase type 2B
212418_at	ELF1	E74-like factor 1 (ets domain transcription factor)
212448_at	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like
212490_at	DNAJC8	DnaJ (Hsp40) homolog, subfamily C, member 8
212502_at	ADO	2-aminoethanethiol (cysteamine) dioxygenase
212768_s_at	OLFM4	olfactomedin 4
212801_at	CIT	citron (rho-interacting, serine/threonine kinase 21)
212912_at	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2
213086_s_at	CSNK1A1	casein kinase 1, alpha 1
213216_at	OTUD3	OTU domain containing 3
213260_at	FOXC1	forkhead box C1
213287_s_at	KRT10	keratin 10
213346_at	C13orf27	chromosome 13 open reading frame 27
213366_x_at	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
213392_at	IQCK	IQ motif containing K
213620_s_at	ICAM2	intercellular adhesion molecule 2
213804_at	INPP5B	inositol polyphosphate-5-phosphatase, 75kDa
213823_at	HOXA11	homeobox A11
213890_x_at	RPS16	ribosomal protein S16
213916_at	ZNF20	zinc finger protein 20
214106_s_at	GMDS	GDP-mannose 4,6-dehydratase
214455_at	HIST1H2BC	histone cluster 1, H2bc
214464_at	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)
214522_x_at	HIST1H2AD /// HIST1H3D	histone cluster 1, H2ad /// histone cluster 1, H3d
214729_at	TWISTNB	TWIST neighbor
214795_at	ZMYND8	zinc finger, MYND-type containing 8
214921_at	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
214953_s_at	APP	amyloid beta (A4) precursor protein
215000_s_at	FEZ2	fasciculation and elongation protein zeta 2 (zygin II)
215071_s_at	HIST1H2AC	histone cluster 1, H2ac
215087_at	C15orf39	chromosome 15 open reading frame 39
215382_x_at	TPSAB1	tryptase alpha/beta 1
215501_s_at	DUSP10	dual specificity phosphatase 10
215947_s_at	FAM136A	family with sequence similarity 136, member A
216021_s_at	GLRA3	glycine receptor, alpha 3
216026_s_at	POLE	polymerase (DNA directed), epsilon
216192_at	FABP7	fatty acid binding protein 7, brain
216424_at	CD4	CD4 molecule
216474_x_at	TPSAB1 /// TPSB2	tryptase alpha/beta 1 /// tryptase beta 2
216669_at	NA	NA
216711_s_at	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa
216860_s_at	GDF11	growth differentiation factor 11
216921_s_at	KRT35	keratin 35
216973_s_at	HOXB7	homeobox B7
217023_x_at	TPSAB1 /// TPSB2	tryptase alpha/beta 1 /// tryptase beta 2
217276_x_at	SERHL2	serine hydrolase-like 2
217999_s_at	PHLDA1	pleckstrin homology-like domain, family A, member 1
218069_at	DCTPP1	dCTP pyrophosphatase 1
218170_at	ISOC1	isochorismatase domain containing 1
218236_s_at	PRKD3	protein kinase D3
218280_x_at	HIST2H2AA3 /// HIST2H2AA4	histone cluster 2, H2aa3 /// histone cluster 2, H2aa4
218415_at	VPS33B	vacuolar protein sorting 33 homolog B (yeast)
218446_s_at	FAM18B	family with sequence similarity 18, member B
218584_at	TCTN1	tectonic family member 1
218638_s_at	SPON2	spondin 2, extracellular matrix protein
218667_at	PJA1	praja ring finger 1
218853_s_at	MOSPD1	motile sperm domain containing 1
219039_at	SEMA4C	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C
219047_s_at	ZNF668	zinc finger protein 668
219078_at	GPATCH2	G patch domain containing 2
219304_s_at	PDGFD	platelet derived growth factor D
219366_at	AVEN	apoptosis, caspase activation inhibitor
219405_at	TRIM68	tripartite motif-containing 68
219526_at	C14orf169	chromosome 14 open reading frame 169
219540_at	ZNF267	zinc finger protein 267
219675_s_at	UXS1	UDP-glucuronate decarboxylase 1
219986_s_at	ACAD10	acyl-Coenzyme A dehydrogenase family, member 10
220156_at	EFCAB1	EF-hand calcium binding domain 1
220793_at	SAGE1	sarcoma antigen 1
220979_s_at	ST6GALNAC5	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5
221039_s_at	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
221250_s_at	MXD3	MAX dimerization protein 3
221389_at	PLA2G2E	phospholipase A2, group IIE
221502_at	KPNA3	karyopherin alpha 3 (importin alpha 4)
221563_at	DUSP10	dual specificity phosphatase 10
221566_s_at	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)
221621_at	C17orf86	chromosome 17 open reading frame 86
221966_at	GPR137	G protein-coupled receptor 137
222050_at	FXR2	Fragile X mental retardation, autosomal homolog 2
222308_x_at	NA	NA
222675_s_at	BAIAP2L1	BAI1-associated protein 2-like 1
223211_at	HACL1	2-hydroxyacyl-CoA lyase 1
223267_at	RG9MTD1	RNA (guanine-9-) methyltransferase domain containing 1
223339_at	ATPIF1	ATPase inhibitory factor 1
223397_s_at	NIP7	nuclear import 7 homolog (S. cerevisiae)
223431_at	CNO	cappuccino homolog (mouse)
223511_at	C1orf124	chromosome 1 open reading frame 124
224057_s_at	THAP4	THAP domain containing 4
224163_s_at	DMAP1	DNA methyltransferase 1 associated protein 1
224183_at	C6orf50	chromosome 6 open reading frame 50
224326_s_at	PCGF6	polycomb group ring finger 6
224461_s_at	AIFM2	apoptosis-inducing factor, mitochondrion-associated, 2
224477_s_at	NUDT16L1	nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1
224535_s_at	MRP63	mitochondrial ribosomal protein 63
224578_at	RCC2	regulator of chromosome condensation 2
224623_at	LOC728554 /// THOC3	similar to THO complex 3 /// THO complex 3
224738_x_at	RPL7L1	ribosomal protein L7-like 1
224820_at	FAM36A	family with sequence similarity 36, member A
224872_at	DIP2B	DIP2 disco-interacting protein 2 homolog B (Drosophila)
225029_at	LOC550643	hypothetical LOC550643
225083_at	GTF3C6	general transcription factor IIIC, polypeptide 6, alpha 35kDa
225141_at	---	---
225268_at	KPNA4	karyopherin alpha 4 (importin alpha 3)
225305_at	SLC25A29	solute carrier family 25, member 29
225306_s_at	SLC25A29	solute carrier family 25, member 29
225577_at	HCG18	HLA complex group 18
225607_at	CCDC43	coiled-coil domain containing 43
225615_at	IFFO2	intermediate filament family orphan 2
225619_at	SLAIN1	SLAIN motif family, member 1
225703_at	FBRSL1	fibrosin-like 1
225806_at	JUB	jub, ajuba homolog (Xenopus laevis)
225853_at	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1
225862_at	SLC25A26	solute carrier family 25, member 26
225889_at	AEBP2	AE binding protein 2
225932_s_at	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1
225936_at	EID2	EP300 interacting inhibitor of differentiation 2
226048_at	MAPK8	mitogen-activated protein kinase 8
226059_at	TOMM40L	translocase of outer mitochondrial membrane 40 homolog (yeast)-like
226065_at	PRICKLE1	prickle homolog 1 (Drosophila)
226066_at	MITF	microphthalmia-associated transcription factor
226069_at	PRICKLE1	prickle homolog 1 (Drosophila)
226166_x_at	STK36	serine/threonine kinase 36, fused homolog (Drosophila)
226199_at	UPRT	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)
226229_s_at	SSU72	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)
226245_at	KCTD1	potassium channel tetramerisation domain containing 1
226295_at	ITFG2	integrin alpha FG-GAP repeat containing 2
226298_at	RUNDC1	RUN domain containing 1
226416_at	ERI1	exoribonuclease 1
226526_s_at	LOC100130905	hypothetical protein LOC100130905
226578_s_at	LOC100129026	hypothetical protein LOC100129026
226583_at	C12orf76	chromosome 12 open reading frame 76
226715_at	FOXK1	forkhead box K1
226726_at	MBOAT2	membrane bound O-acyltransferase domain containing 2
226784_at	TWISTNB	TWIST neighbor
227022_at	GNPDA2	glucosamine-6-phosphate deaminase 2
227042_at	YDJC	YdjC homolog (bacterial)
227045_at	ZNF614	zinc finger protein 614
227085_at	H2AFV	H2A histone family, member V
227106_at	LOC100133666 /// LOC440104	hypothetical protein LOC100133666 /// similar to RIKEN cDNA 1110012D08
227322_s_at	BCCIP	BRCA2 and CDKN1A interacting protein
227334_at	USP54	ubiquitin specific peptidase 54
227388_at	TUSC1	tumor suppressor candidate 1
227488_at	MGC16121	hypothetical protein MGC16121
227547_at	---	---
227966_s_at	CCDC74A /// CCDC74B	coiled-coil domain containing 74A /// coiled-coil domain containing 74B
227990_at	SLU7	SLU7 splicing factor homolog (S. cerevisiae)
228138_at	ZNF498	zinc finger protein 498
228225_at	PXMP3	peroxisomal membrane protein 3, 35kDa
228272_at	DNLZ	DNL-type zinc finger
228274_at	SDSL	serine dehydratase-like
228376_at	GGTA1	glycoprotein, alpha-galactosyltransferase 1
228444_at	NA	NA
228731_at	NA	NA
228812_at	NA	NA
228885_at	MAMDC2	MAM domain containing 2
228901_at	CDK9	Cyclin-dependent kinase 9
228904_at	HOXB3	homeobox B3
229290_at	DAPL1	death associated protein-like 1
229623_at	FLJ12993	Hypothetical LOC441027
229735_s_at	NA	NA
229784_at	MGC16121	hypothetical protein MGC16121
230212_at	LOC729345	hypothetical LOC729345
230381_at	C1orf186	chromosome 1 open reading frame 186
230407_at	NA	NA
230580_at	NA	NA
230652_at	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog
230655_at	NA	NA
230666_at	HOXA11AS	HOXA11 antisense RNA (non-protein coding)
230670_at	IGSF10	immunoglobulin superfamily, member 10
230708_at	PRICKLE1	prickle homolog 1 (Drosophila)
230743_at	LOC404266	hypothetical LOC404266
231233_at	NA	NA
231764_at	CHRAC1	chromatin accessibility complex 1
231767_at	HOXB4	homeobox B4
231896_s_at	DENR	density-regulated protein
232349_x_at	IQWD1	IQ motif and WD repeats 1
232393_at	ZNF462	zinc finger protein 462
232892_at	C20orf166	chromosome 20 open reading frame 166
232899_at	FAM41C /// RPL23AP7 /// RPL23AP82	family with sequence similarity 41, member C /// ribosomal protein L23a pseudogene 7 /// ribosomal protein L23a pseudogene 82
233122_at	KRTCAP2	keratinocyte associated protein 2
233173_x_at	GTF3C5	general transcription factor IIIC, polypeptide 5, 63kDa
233249_at	LOC730200	Hypothetical LOC730200
234577_at	NA	NA
234992_x_at	ECT2	epithelial cell transforming sequence 2 oncogene
235099_at	CMTM8	CKLF-like MARVEL transmembrane domain containing 8
235200_at	ZNF561	zinc finger protein 561
235273_at	DYX1C1	dyslexia susceptibility 1 candidate 1
235521_at	HOXA3	homeobox A3
235700_at	CT45A5	cancer/testis antigen family 45, member A5
235737_at	TSLP	thymic stromal lymphopoietin
235753_at	HOXA7	homeobox A7
235830_at	NA	NA
236090_at	NA	NA
236193_at	HIST1H2BC	histone cluster 1, H2bc
236553_at	NA	NA
236574_at	LOC284373	Hypothetical protein LOC284373
236660_at	NA	NA
236738_at	LOC401097	Similar to LOC166075
236807_at	NA	NA
236892_s_at	LOC100130740	similar to hCG2042068
237257_at	RAB4B	RAB4B, member RAS oncogene family
237596_at	NA	NA
237647_at	GHRL	Ghrelin/obestatin prepropeptide
238045_at	TMEM65	transmembrane protein 65
238147_at	TRIM46	tripartite motif-containing 46
238212_at	NA	NA
238470_at	SYS1	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)
238669_at	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
238725_at	IRF1	interferon regulatory factor 1
238935_at	RPS27L	ribosomal protein S27-like
239134_at	NA	NA
239406_at	ZNF193	zinc finger protein 193
239428_at	RAB1A	RAB1A, member RAS oncogene family
239669_at	NA	NA
239791_at	LOC100130740	similar to hCG2042068
239934_x_at	NA	NA
239950_at	HOXA11AS	HOXA11 antisense RNA (non-protein coding)
240514_at	PGA3	Pepsinogen 3, group I (pepsinogen A)
240671_at	NA	NA
241203_at	NA	NA
241342_at	TMEM65	transmembrane protein 65
241763_s_at	FBXO32	F-box protein 32
242298_x_at	NA	NA
242565_x_at	C21orf57	Chromosome 21 open reading frame 57
242705_x_at	NA	NA
242715_at	NA	NA
242762_s_at	FAM171B	family with sequence similarity 171, member B
243006_at	NA	NA
243776_at	NA	NA
32099_at	SAFB2	scaffold attachment factor B2
47560_at	LPHN1	latrophilin 1
57540_at	RBKS	ribokinase
65521_at	UBE2D4	ubiquitin-conjugating enzyme E2D 4 (putative)
74694_s_at	LOC100133585 /// RABEP2	similar to RABEP2 protein /// rabaptin, RAB GTPase binding effector protein 2
