Rank	GO category	GO term	GO description	Unique id	Annotations	Description	GB acc	UG cluster	Gene symbol	Map Location	Parametric p-value	Geom mean of ratios in class 1	Geom mean of ratios in class 2	Ratio of geom means
18	5581	CC	collagen	A_23_P500464	Info	COL2A1; collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	NM_001844	Hs.408182	COL2A1	chr12 (46,652,966-46,684,528)	0.3643498	0.966	0.704	1.372
19	5581	CC	collagen	A_24_P935491	Info		AF130082		COL3A1		0.3902298	36.214	26.094	1.388
20	5581	CC	collagen	A_23_P69030	Info	COL8A1; collagen, type VIII, alpha 1	NM_001850	Hs.114599	COL8A1	chr3 (100,678,355-100,836,059)	0.4069178	2.391	1.721	1.389
21	5581	CC	collagen	A_23_P1331	Info	COL13A1; collagen, type XIII, alpha 1	NM_005203	Hs.211933	COL13A1	chr10 (70,906,247-71,063,506)	0.4740476	0.968	0.865	1.119
22	5581	CC	collagen	A_23_P40108	Info	COL9A3; collagen, type IX, alpha 3	NM_001853	Hs.126248	COL9A3	chr20 (62,174,728-62,219,325)	0.5080345	0.201	0.153	1.314
23	5581	CC	collagen	A_23_P142533	Info		X01742		COL3A1	chr2 (190,041,588-190,080,016)	0.6700631	56.153	49.05	1.145
24	5581	CC	collagen	A_23_P11806	Info	COL11A1; collagen, type XI, alpha 1	NM_080629	Hs.439168	COL11A1	chr1 (102,805,918-103,036,975)	0.7508401	5.679	4.528	1.254
25	5581	CC	collagen	A_23_P45365	Info	COL4A5; collagen, type IV, alpha 5 (Alport syndrome)	NM_033380	Hs.169825	COL4A5	chrX (106,455,011-106,712,641)	0.9049948	0.699	0.669	1.045
26	44420	CC	extracellular matrix part	A_23_P131614	Info	COL6A3; collagen, type VI, alpha 3	NM_004369	Hs.233240	COL6A3	chr2 (238,519,411-238,609,570)	0.002916	3.267	1.821	1.794
27	44420	CC	extracellular matrix part	A_23_P94030	Info	LAMB1; laminin, beta 1	NM_002291	Hs.122645	LAMB1	chr7 (107,124,571-107,204,335)	0.0132621	1.254	0.547	2.293
28	44420	CC	extracellular matrix part	A_23_P211212	Info	COL18A1; collagen, type XVIII, alpha 1	NM_030582	Hs.413175	COL18A1	chr21 (45,731,605-45,789,835)	0.0195094	1.277	0.617	2.07
29	44420	CC	extracellular matrix part	A_23_P163087	Info	NID2; nidogen 2 (osteonidogen)	NM_007361	Hs.147697	NID2	chr14 (50,461,462-50,525,852)	0.0213484	1.151	0.532	2.164
30	44420	CC	extracellular matrix part	A_32_P32254	Info	COL6A1; collagen, type VI, alpha 1	NM_001848	Hs.415997	COL6A1	chr21 (46,257,853-46,281,164)	0.0379555	1.996	1.07	1.865
31	44420	CC	extracellular matrix part	A_23_P207520	Info	COL1A1; collagen, type I, alpha 1	NM_000088	Hs.172928	COL1A1	chr17 (48,735,288-48,753,674)	0.0474576	7.234	4.033	1.794
32	44420	CC	extracellular matrix part	A_24_P277934	Info	COL1A2; collagen, type I, alpha 2	NM_000089	Hs.232115	COL1A2	chr7 (93,635,983-93,672,639)	0.0550882	9.795	4.231	2.315
33	44420	CC	extracellular matrix part	A_23_P99063	Info	LUM; lumican	NM_002345	Hs.406475	LUM	chr12 (89,999,794-90,008,078)	0.0688856	4.404	2.174	2.026
34	44420	CC	extracellular matrix part	A_23_P65240	Info	COL4A1; collagen, type IV, alpha 1	NM_001845	Hs.437173	COL4A1	chr13 (108,499,310-108,657,505)	0.1070614	3.853	2.577	1.495
35	44420	CC	extracellular matrix part	A_23_P164057	Info	MFAP4; microfibrillar-associated protein 4	NM_002404	Hs.296049	MFAP4	chr17 (19,443,096-19,452,531)	0.1106133	1.438	0.623	2.308
36	44420	CC	extracellular matrix part	A_23_P70719	Info	LAMA2; laminin, alpha 2 (merosin, congenital muscular dystrophy)	NM_000426	Hs.445120	LAMA2	chr6 (129,184,912-129,818,286)	0.1168695	2.039	1.456	1.4
37	44420	CC	extracellular matrix part	A_23_P203920	Info	SSPN; sarcospan (Kras oncogene-associated gene)	NM_005086	Hs.183428	SSPN	chr12 (26,239,789-26,277,447)	0.1271198	2.785	2.002	1.391
38	44420	CC	extracellular matrix part	A_23_P254626	Info	SGCE; sarcoglycan, epsilon	NM_003919	Hs.409798	SGCE	chr7 (93,826,563-93,897,552)	0.1382578	1.075	1.417	0.759
39	44420	CC	extracellular matrix part	A_23_P211233	Info	COL6A2; collagen, type VI, alpha 2	NM_001849	Hs.420269	COL6A2	chr21 (46,374,214-46,408,981)	0.144013	0.869	0.553	1.571
40	44420	CC	extracellular matrix part	A_23_P160318	Info	COL16A1; collagen, type XVI, alpha 1	NM_001856	Hs.26208	COL16A1	chr1 (31,620,321-31,672,400)	0.1549549	3.343	2.049	1.632
41	44420	CC	extracellular matrix part	A_23_P133656	Info	LAMA4; laminin, alpha 4	NM_002290	Hs.437536	LAMA4	chr6 (112,475,526-112,621,372)	0.1595078	2.235	1.324	1.688
42	44420	CC	extracellular matrix part	A_23_P310956	Info	COL6A2; collagen, type VI, alpha 2	NM_058175	Hs.420269	COL6A2	chr21 (46,374,244-46,405,921)	0.1667522	0.88	0.657	1.339
43	44420	CC	extracellular matrix part	A_23_P33196	Info	COL5A2; collagen, type V, alpha 2	NM_000393	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.1684387	4.635	2.687	1.725
44	44420	CC	extracellular matrix part	A_23_P214168	Info	COL12A1; collagen, type XII, alpha 1	NM_004370	Hs.101302	COL12A1	chr6 (75,789,640-75,911,220)	0.1832721	5.991	3.36	1.783
45	44420	CC	extracellular matrix part	A_23_P112554	Info	COL15A1; collagen, type XV, alpha 1	NM_001855	Hs.409034	COL15A1	chr9 (97,086,028-97,213,309)	0.1952232	2.854	2.199	1.298
46	44420	CC	extracellular matrix part	A_23_P158593	Info	COL5A1; collagen, type V, alpha 1	NM_000093	Hs.528321	COL5A1	chr9 (132,972,977-133,174,868)	0.2193455	1.405	1.012	1.388
47	44420	CC	extracellular matrix part	A_24_P251599	Info	CAV3; caveolin 3	NM_001234	Hs.98303	CAV3	chr3 (8,750,496-8,763,455)	0.2623611	0.726	0.447	1.624
48	44420	CC	extracellular matrix part	A_23_P7642	Info	SPARC; secreted protein, acidic, cysteine-rich (osteonectin)	NM_003118	Hs.111779	SPARC	chr5 (151,070,197-151,095,241)	0.2635992	3.772	2.339	1.613
49	44420	CC	extracellular matrix part	A_23_P214144	Info	COL10A1; collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	NM_000493	Hs.179729	COL10A1	chr6 (116,485,643-116,492,866)	0.314874	3.792	2.332	1.626
50	44420	CC	extracellular matrix part	A_23_P10391	Info	COL5A2; collagen, type V, alpha 2	Y14690	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.3352506	3.363	2.34	1.437
51	44420	CC	extracellular matrix part	A_23_P205031	Info	COL4A2; collagen, type IV, alpha 2	NM_001846	Hs.407912	COL4A2	chr13 (108,657,632-108,863,556)	0.3451776	3.156	2.479	1.273
52	44420	CC	extracellular matrix part	A_23_P415510	Info	LAD1; ladinin 1	NM_005558	Hs.18141	LAD1	chr1 (198,637,729-198,656,994)	0.3488591	1.435	2.299	0.624
53	44420	CC	extracellular matrix part	A_23_P500464	Info	COL2A1; collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	NM_001844	Hs.408182	COL2A1	chr12 (46,652,966-46,684,528)	0.3643498	0.966	0.704	1.372
54	44420	CC	extracellular matrix part	A_23_P201636	Info	LAMC2; laminin, gamma 2	NM_005562	Hs.54451	LAMC2	chr1 (180,394,753-180,453,737)	0.3772785	2.282	3.089	0.739
55	44420	CC	extracellular matrix part	A_24_P365975	Info	COL8A2; collagen, type VIII, alpha 2	NM_005202	Hs.353001	COL8A2	chr1 (35,988,490-35,993,512)	0.3826913	9.291	6.439	1.443
56	44420	CC	extracellular matrix part	A_24_P935491	Info		AF130082		COL3A1		0.3902298	36.214	26.094	1.388
57	44420	CC	extracellular matrix part	A_23_P69030	Info	COL8A1; collagen, type VIII, alpha 1	NM_001850	Hs.114599	COL8A1	chr3 (100,678,355-100,836,059)	0.4069178	2.391	1.721	1.389
58	44420	CC	extracellular matrix part	A_23_P95029	Info	SNTB1; syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)	NM_021021	Hs.432544	SNTB1	chr8 (121,505,872-121,781,802)	0.433358	0.861	0.979	0.879
59	44420	CC	extracellular matrix part	A_23_P33444	Info	SNTB2; syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)	NM_006750	Hs.42219	SNTB2	chr16 (68,997,214-69,111,072)	0.4653273	0.851	0.972	0.876
60	44420	CC	extracellular matrix part	A_23_P1331	Info	COL13A1; collagen, type XIII, alpha 1	NM_005203	Hs.211933	COL13A1	chr10 (70,906,247-71,063,506)	0.4740476	0.968	0.865	1.119
61	44420	CC	extracellular matrix part	A_23_P40108	Info	COL9A3; collagen, type IX, alpha 3	NM_001853	Hs.126248	COL9A3	chr20 (62,174,728-62,219,325)	0.5080345	0.201	0.153	1.314
62	44420	CC	extracellular matrix part	A_23_P201628	Info	LAMC1; laminin, gamma 1 (formerly LAMB2)	NM_002293	Hs.432855	LAMC1	chr1 (180,231,974-180,354,414)	0.5085795	0.894	0.786	1.137
63	44420	CC	extracellular matrix part	A_23_P92928	Info	C6; complement component 6	NM_000065	Hs.1282	C6	chr5 (41,187,836-41,259,113)	0.5245636	1.306	1.124	1.162
64	44420	CC	extracellular matrix part	A_23_P142533	Info		X01742		COL3A1	chr2 (190,041,588-190,080,016)	0.6700631	56.153	49.05	1.145
65	44420	CC	extracellular matrix part	A_23_P213857	Info	C7; complement component 7	NM_000587	Hs.78065	C7	chr5 (40,955,021-41,028,544)	0.7312723	1.611	1.507	1.069
66	44420	CC	extracellular matrix part	A_23_P11806	Info	COL11A1; collagen, type XI, alpha 1	NM_080629	Hs.439168	COL11A1	chr1 (102,805,918-103,036,975)	0.7508401	5.679	4.528	1.254
67	44420	CC	extracellular matrix part	A_23_P71855	Info	C5; complement component 5	NM_001735	Hs.1281	C5	chr9 (119,090,602-119,188,600)	0.7559012	0.201	0.192	1.047
68	44420	CC	extracellular matrix part	A_23_P86012	Info	LAMB3; laminin, beta 3	NM_000228	Hs.436983	LAMB3	chr1 (206,867,360-206,905,299)	0.7803471	0.609	0.706	0.863
69	44420	CC	extracellular matrix part	A_24_P185854	Info	DMD; dystrophin (muscular dystrophy, Duchenne and Becker types)	NM_000109	Hs.169470	DMD		0.8231486	1.39	1.252	1.11
70	44420	CC	extracellular matrix part	A_23_P45365	Info	COL4A5; collagen, type IV, alpha 5 (Alport syndrome)	NM_033380	Hs.169825	COL4A5	chrX (106,455,011-106,712,641)	0.9049948	0.699	0.669	1.045
71	44420	CC	extracellular matrix part	A_23_P251104	Info	SGCB; sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	NM_000232	Hs.438953	SGCB		0.93577	0.739	0.725	1.019
72	44420	CC	extracellular matrix part	A_23_P89780	Info	LAMA3; laminin, alpha 3	NM_000227	Hs.83450	LAMA3	chr18 (19,704,977-19,787,022)	0.9404808	1.775	1.741	1.02
73	6817	BP	phosphate transport	A_23_P131614	Info	COL6A3; collagen, type VI, alpha 3	NM_004369	Hs.233240	COL6A3	chr2 (238,519,411-238,609,570)	0.002916	3.267	1.821	1.794
74	6817	BP	phosphate transport	A_24_P211565	Info	C1QTNF6; C1q and tumor necrosis factor related protein 6	NM_031910	Hs.22011	C1QTNF6	chr22 (35,819,245-35,827,371)	0.0166647	0.835	0.482	1.732
75	6817	BP	phosphate transport	A_23_P211212	Info	COL18A1; collagen, type XVIII, alpha 1	NM_030582	Hs.413175	COL18A1	chr21 (45,731,605-45,789,835)	0.0195094	1.277	0.617	2.07
76	6817	BP	phosphate transport	A_32_P32254	Info	COL6A1; collagen, type VI, alpha 1	NM_001848	Hs.415997	COL6A1	chr21 (46,257,853-46,281,164)	0.0379555	1.996	1.07	1.865
77	6817	BP	phosphate transport	A_23_P207520	Info	COL1A1; collagen, type I, alpha 1	NM_000088	Hs.172928	COL1A1	chr17 (48,735,288-48,753,674)	0.0474576	7.234	4.033	1.794
78	6817	BP	phosphate transport	A_24_P277934	Info	COL1A2; collagen, type I, alpha 2	NM_000089	Hs.232115	COL1A2	chr7 (93,635,983-93,672,639)	0.0550882	9.795	4.231	2.315
79	6817	BP	phosphate transport	A_23_P65240	Info	COL4A1; collagen, type IV, alpha 1	NM_001845	Hs.437173	COL4A1	chr13 (108,499,310-108,657,505)	0.1070614	3.853	2.577	1.495
80	6817	BP	phosphate transport	A_23_P111888	Info	CTHRC1; collagen triple helix repeat containing 1	NM_138455	Hs.283713	CTHRC1	chr8 (104,340,301-104,351,819)	0.1104428	4.409	1.842	2.394
81	6817	BP	phosphate transport	A_23_P211233	Info	COL6A2; collagen, type VI, alpha 2	NM_001849	Hs.420269	COL6A2	chr21 (46,374,214-46,408,981)	0.144013	0.869	0.553	1.571
82	6817	BP	phosphate transport	A_23_P160318	Info	COL16A1; collagen, type XVI, alpha 1	NM_001856	Hs.26208	COL16A1	chr1 (31,620,321-31,672,400)	0.1549549	3.343	2.049	1.632
83	6817	BP	phosphate transport	A_23_P310956	Info	COL6A2; collagen, type VI, alpha 2	NM_058175	Hs.420269	COL6A2	chr21 (46,374,244-46,405,921)	0.1667522	0.88	0.657	1.339
84	6817	BP	phosphate transport	A_23_P33196	Info	COL5A2; collagen, type V, alpha 2	NM_000393	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.1684387	4.635	2.687	1.725
85	6817	BP	phosphate transport	A_23_P214168	Info	COL12A1; collagen, type XII, alpha 1	NM_004370	Hs.101302	COL12A1	chr6 (75,789,640-75,911,220)	0.1832721	5.991	3.36	1.783
86	6817	BP	phosphate transport	A_23_P112554	Info	COL15A1; collagen, type XV, alpha 1	NM_001855	Hs.409034	COL15A1	chr9 (97,086,028-97,213,309)	0.1952232	2.854	2.199	1.298
87	6817	BP	phosphate transport	A_23_P158593	Info	COL5A1; collagen, type V, alpha 1	NM_000093	Hs.528321	COL5A1	chr9 (132,972,977-133,174,868)	0.2193455	1.405	1.012	1.388
88	6817	BP	phosphate transport	A_23_P122068	Info	C1QTNF3; C1q and tumor necrosis factor related protein 3	NM_030945	Hs.171929	C1QTNF3	chr5 (34,065,036-34,088,819)	0.2207338	1.589	1.183	1.343
89	6817	BP	phosphate transport	A_23_P122067	Info	C1QTNF3; C1q and tumor necrosis factor related protein 3	NM_030945	Hs.171929	C1QTNF3	chr5 (34,065,036-34,088,819)	0.2515906	1.447	1.161	1.246
90	6817	BP	phosphate transport	A_23_P165848	Info	EMILIN1; elastin microfibril interfacer 1	NM_007046	Hs.63348	EMILIN1	chr2 (27,276,469-27,283,799)	0.304136	1.149	0.956	1.202
91	6817	BP	phosphate transport	A_23_P214144	Info	COL10A1; collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	NM_000493	Hs.179729	COL10A1	chr6 (116,485,643-116,492,866)	0.314874	3.792	2.332	1.626
92	6817	BP	phosphate transport	A_23_P10391	Info	COL5A2; collagen, type V, alpha 2	Y14690	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.3352506	3.363	2.34	1.437
93	6817	BP	phosphate transport	A_23_P205031	Info	COL4A2; collagen, type IV, alpha 2	NM_001846	Hs.407912	COL4A2	chr13 (108,657,632-108,863,556)	0.3451776	3.156	2.479	1.273
94	6817	BP	phosphate transport	A_23_P52323	Info	COL17A1; collagen, type XVII, alpha 1	NM_000494	Hs.117938	COL17A1	chr10 (105,455,623-105,510,225)	0.3636983	0.898	0.716	1.254
95	6817	BP	phosphate transport	A_23_P500464	Info	COL2A1; collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	NM_001844	Hs.408182	COL2A1	chr12 (46,652,966-46,684,528)	0.3643498	0.966	0.704	1.372
96	6817	BP	phosphate transport	A_24_P365975	Info	COL8A2; collagen, type VIII, alpha 2	NM_005202	Hs.353001	COL8A2	chr1 (35,988,490-35,993,512)	0.3826913	9.291	6.439	1.443
97	6817	BP	phosphate transport	A_24_P935491	Info		AF130082		COL3A1		0.3902298	36.214	26.094	1.388
98	6817	BP	phosphate transport	A_23_P69030	Info	COL8A1; collagen, type VIII, alpha 1	NM_001850	Hs.114599	COL8A1	chr3 (100,678,355-100,836,059)	0.4069178	2.391	1.721	1.389
99	6817	BP	phosphate transport	A_23_P1331	Info	COL13A1; collagen, type XIII, alpha 1	NM_005203	Hs.211933	COL13A1	chr10 (70,906,247-71,063,506)	0.4740476	0.968	0.865	1.119
100	6817	BP	phosphate transport	A_23_P501010	Info	COL17A1; collagen, type XVII, alpha 1	NM_130778	Hs.117938	COL17A1	chr10 (105,455,628-105,510,254)	0.4808001	3.998	7.159	0.558
101	6817	BP	phosphate transport	A_23_P27306	Info	COLEC12; collectin sub-family member 12	NM_030781	Hs.29423	COLEC12	chr18 (309,568-470,766)	0.5054161	0.483	0.396	1.22
102	6817	BP	phosphate transport	A_23_P40108	Info	COL9A3; collagen, type IX, alpha 3	NM_001853	Hs.126248	COL9A3	chr20 (62,174,728-62,219,325)	0.5080345	0.201	0.153	1.314
103	6817	BP	phosphate transport	A_23_P142533	Info		X01742		COL3A1	chr2 (190,041,588-190,080,016)	0.6700631	56.153	49.05	1.145
104	6817	BP	phosphate transport	A_23_P137366	Info	C1QB; complement component 1, q subcomponent, beta polypeptide	NM_000491	Hs.8986	C1QB	chr1 (22,448,949-22,457,611)	0.7100311	12.614	11.319	1.114
105	6817	BP	phosphate transport	A_24_P222655	Info	C1QA; complement component 1, q subcomponent, alpha polypeptide	NM_015991	Hs.9641	C1QA		0.7444099	9.712	9.095	1.068
106	6817	BP	phosphate transport	A_23_P11806	Info	COL11A1; collagen, type XI, alpha 1	NM_080629	Hs.439168	COL11A1	chr1 (102,805,918-103,036,975)	0.7508401	5.679	4.528	1.254
107	6817	BP	phosphate transport	A_23_P94921	Info	SLC20A2; solute carrier family 20 (phosphate transporter), member 2	NM_006749	Hs.347527	SLC20A2	chr8 (42,291,350-42,425,295)	0.7787722	1.334	1.431	0.932
108	6817	BP	phosphate transport	A_23_P120125	Info	COLEC11; collectin sub-family member 11	NM_024027	Hs.32603	COLEC11	chr2 (3,207,147-3,256,747)	0.8123399	0.984	1.035	0.951
109	6817	BP	phosphate transport	A_23_P101992	Info	MARCO; macrophage receptor with collagenous structure	NM_006770	Hs.67726	MARCO	chr2 (119,794,886-119,847,390)	0.8691375	3.066	3.248	0.944
110	6817	BP	phosphate transport	A_23_P45365	Info	COL4A5; collagen, type IV, alpha 5 (Alport syndrome)	NM_033380	Hs.169825	COL4A5	chrX (106,455,011-106,712,641)	0.9049948	0.699	0.669	1.045
111	6817	BP	phosphate transport	A_24_P372223	Info	MSR1; macrophage scavenger receptor 1	NM_138715	Hs.436887	MSR1	chr8 (15,975,756-16,060,590)	0.9312767	5.332	5.196	1.026
112	5201	MF	extracellular matrix structural constituent	A_23_P211212	Info	COL18A1; collagen, type XVIII, alpha 1	NM_030582	Hs.413175	COL18A1	chr21 (45,731,605-45,789,835)	0.0195094	1.277	0.617	2.07
113	5201	MF	extracellular matrix structural constituent	A_32_P32254	Info	COL6A1; collagen, type VI, alpha 1	NM_001848	Hs.415997	COL6A1	chr21 (46,257,853-46,281,164)	0.0379555	1.996	1.07	1.865
114	5201	MF	extracellular matrix structural constituent	A_23_P207520	Info	COL1A1; collagen, type I, alpha 1	NM_000088	Hs.172928	COL1A1	chr17 (48,735,288-48,753,674)	0.0474576	7.234	4.033	1.794
115	5201	MF	extracellular matrix structural constituent	A_24_P277934	Info	COL1A2; collagen, type I, alpha 2	NM_000089	Hs.232115	COL1A2	chr7 (93,635,983-93,672,639)	0.0550882	9.795	4.231	2.315
116	5201	MF	extracellular matrix structural constituent	A_23_P99063	Info	LUM; lumican	NM_002345	Hs.406475	LUM	chr12 (89,999,794-90,008,078)	0.0688856	4.404	2.174	2.026
117	5201	MF	extracellular matrix structural constituent	A_23_P90436	Info	COMP; cartilage oligomeric matrix protein	NM_000095	Hs.1584	COMP	chr19 (18,754,559-18,763,151)	0.0779189	2.548	1.365	1.867
118	5201	MF	extracellular matrix structural constituent	A_24_P264943	Info	COMP; cartilage oligomeric matrix protein	NM_000095	Hs.1584	COMP	chr19 (18,754,559-18,763,151)	0.0955536	8.643	4.082	2.117
119	5201	MF	extracellular matrix structural constituent	A_23_P65240	Info	COL4A1; collagen, type IV, alpha 1	NM_001845	Hs.437173	COL4A1	chr13 (108,499,310-108,657,505)	0.1070614	3.853	2.577	1.495
120	5201	MF	extracellular matrix structural constituent	A_23_P34126	Info	BGN; biglycan	NM_001711	Hs.821	BGN	chrX (151,228,241-151,242,910)	0.1331481	1.598	1.319	1.212
121	5201	MF	extracellular matrix structural constituent	A_23_P371824	Info	TUFT1; tuftelin 1	NM_020127	Hs.283009	TUFT1	chr1 (148,729,363-148,772,640)	0.1331736	1.034	1.51	0.685
122	5201	MF	extracellular matrix structural constituent	A_23_P211233	Info	COL6A2; collagen, type VI, alpha 2	NM_001849	Hs.420269	COL6A2	chr21 (46,374,214-46,408,981)	0.144013	0.869	0.553	1.571
123	5201	MF	extracellular matrix structural constituent	A_23_P133656	Info	LAMA4; laminin, alpha 4	NM_002290	Hs.437536	LAMA4	chr6 (112,475,526-112,621,372)	0.1595078	2.235	1.324	1.688
124	5201	MF	extracellular matrix structural constituent	A_23_P310956	Info	COL6A2; collagen, type VI, alpha 2	NM_058175	Hs.420269	COL6A2	chr21 (46,374,244-46,405,921)	0.1667522	0.88	0.657	1.339
125	5201	MF	extracellular matrix structural constituent	A_23_P33196	Info	COL5A2; collagen, type V, alpha 2	NM_000393	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.1684387	4.635	2.687	1.725
126	5201	MF	extracellular matrix structural constituent	A_23_P204286	Info	MGP; matrix Gla protein	NM_000900	Hs.365706	MGP	chr12 (14,925,183-14,930,172)	0.1764576	13.206	7.533	1.753
127	5201	MF	extracellular matrix structural constituent	A_23_P214168	Info	COL12A1; collagen, type XII, alpha 1	NM_004370	Hs.101302	COL12A1	chr6 (75,789,640-75,911,220)	0.1832721	5.991	3.36	1.783
128	5201	MF	extracellular matrix structural constituent	A_23_P112554	Info	COL15A1; collagen, type XV, alpha 1	NM_001855	Hs.409034	COL15A1	chr9 (97,086,028-97,213,309)	0.1952232	2.854	2.199	1.298
129	5201	MF	extracellular matrix structural constituent	A_24_P119745	Info	FN1; fibronectin 1	NM_002026	Hs.418138	FN1	chr2 (216,428,128-216,503,335)	0.2074821	1.216	0.561	2.168
130	5201	MF	extracellular matrix structural constituent	A_23_P158593	Info	COL5A1; collagen, type V, alpha 1	NM_000093	Hs.528321	COL5A1	chr9 (132,972,977-133,174,868)	0.2193455	1.405	1.012	1.388
131	5201	MF	extracellular matrix structural constituent	A_23_P393620	Info	TFPI2; tissue factor pathway inhibitor 2	NM_006528	Hs.438231	TFPI2	chr7 (93,127,470-93,132,232)	0.2329235	0.048	0.027	1.778
132	5201	MF	extracellular matrix structural constituent	A_23_P165848	Info	EMILIN1; elastin microfibril interfacer 1	NM_007046	Hs.63348	EMILIN1	chr2 (27,276,469-27,283,799)	0.304136	1.149	0.956	1.202
133	5201	MF	extracellular matrix structural constituent	A_23_P27315	Info	EMILIN2; elastin microfibril interfacer 2	NM_032048	Hs.270143	EMILIN2	chr18 (2,837,028-2,904,090)	0.3197544	2.708	1.966	1.377
134	5201	MF	extracellular matrix structural constituent	A_23_P10391	Info	COL5A2; collagen, type V, alpha 2	Y14690	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.3352506	3.363	2.34	1.437
135	5201	MF	extracellular matrix structural constituent	A_24_P85539	Info	FN1; fibronectin 1	U42594	Hs.418138	FN1	chr2 (216,436,934-216,461,893)	0.3430905	0.647	0.44	1.47
136	5201	MF	extracellular matrix structural constituent	A_23_P205031	Info	COL4A2; collagen, type IV, alpha 2	NM_001846	Hs.407912	COL4A2	chr13 (108,657,632-108,863,556)	0.3451776	3.156	2.479	1.273
