Probe Set	Identifier	LocusLink	Name	GeneOntology.txt	ProteinDomain.txt	Cytoband	Description
204134_at	NM_002599	5138	phosphodiesterase 2A, cGMP-stimulated	|16792|16788|16787|3824|	|1590|233|		gb:NM_002599.1 /DEF=Homo sapiens phosphodiesterase 2A, cGMP-stimulated (PDE2A), mRNA. /FEA=mRNA /GEN=PDE2A /PROD=phosphodiesterase 2A, cGMP-stimulated /DB_XREF=gi:4505656 /UG=Hs.154437 phosphodiesterase 2A, cGMP-stimulated /FL=gb:U67733.1 gb:NM_002599.1
204438_at	NM_002438	4360	mannose receptor, C type 1	|4872|4871|6886|15031|6810|8151|5886|5622|5623|16020|5529|30246|5488|5887|16021|	|59|40|652|	|10|10p|	gb:NM_002438.1 /DEF=Homo sapiens mannose receptor, C type 1 (MRC1), mRNA. /FEA=mRNA /GEN=MRC1 /PROD=mannose receptor, C type 1 /DB_XREF=gi:4505244 /UG=Hs.75182 mannose receptor, C type 1 /FL=gb:J05550.1 gb:NM_002438.1
204468_s_at	NM_005424	7075	tyrosine kinase with immunoglobulin and epidermal growth factor homology domains	|7165|7154|7498|7397|7345|7275|5887|5886|5622|5623|16020|16021|4713|4672|16301|3824|16773|16772|16740|4888|4872|4871|	|41|69|65|53|	|1|1p|1p34|	gb:NM_005424.1 /DEF=Homo sapiens tyrosine kinase with immunoglobulin and epidermal growth factor homology domains (TIE), mRNA.  /FEA=mRNA /GEN=TIE /PROD=tyrosine kinase with immunoglobulin andepidermal growth factor homology domains /DB_XREF=gi:4885630 /
204470_at	NM_001511	2919	GRO1 oncogene (melanoma growth stimulating activity, alpha)	|5102|4871|8083|6935|6928|8151|7399|7398|7397|7345|7275|8047|30234|5625|267|5623|8283|7165|7154|5615|5576|6954|6952|9607|9605|9613|6950|9611|7242|8285|7186|7166|	|48|	|4|4q|	gb:NM_001511.1 /DEF=Homo sapiens GRO1 oncogene (melanoma growth stimulating activity, alpha) (GRO1), mRNA.  /FEA=mRNA /GEN=GRO1 /PROD=GRO1 oncogene (melanoma growth stimulatingactivity, alpha) /DB_XREF=gi:4504152 /UG=Hs.789 GRO1 oncogene (melanoma growth
204527_at	NM_000259	4644	myosin VA (heavy polypeptide 12, myoxin)	|3774|16821|16817|16787|3824|16887|16818|17076|166|5488|15629|5856|5737|5622|5623|6886|15031|6810|8151|	|1093|1843|1576|2168|63|769|	|15|15q|	gb:NM_000259.1 /DEF=Homo sapiens myosin VA (heavy polypeptide 12, myoxin) (MYO5A), mRNA.  /FEA=mRNA /GEN=MYO5A /PROD=myosin VA (heavy polypeptide 12, myoxin) /DB_XREF=gi:10835118 /UG=Hs.170157 myosin VA (heavy polypeptide 12, myoxin) /FL=gb:NM_000259.1 g
204556_s_at	AL568422	22873	zinc-finger protein DZIP1			|13|13q|13q32|	Consensus includes gb:AL568422 /FEA=EST /DB_XREF=gi:12922745 /DB_XREF=est:AL568422 /CLONE=CS0DE001YN18 (3 prime) /UG=Hs.60177 KIAA0996 protein /FL=gb:AB023213.1 gb:NM_014934.1
204588_s_at	NM_003982	9056	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	|5886|5622|5623|16020|6520|6519|8152|8151|6461|6411|5279|15203|5275|5215|15171|15291|15290|5386|15174|16021|5887|	|324|	|14|14q|14q11|	gb:NM_003982.1 /DEF=Homo sapiens solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 (SLC7A7), mRNA.  /FEA=mRNA /GEN=SLC7A7 /PROD=solute carrier family 7 (cationic amino acidtransporter, y+ system), member 7 /DB_XREF=gi:4507054
204602_at	NM_012242	22943	dickkopf homolog 1 (Xenopus laevis)	|8083|5102|4871|		|10|10q|10q11|	gb:NM_012242.1 /DEF=Homo sapiens dickkopf (Xenopus laevis) homolog 1 (DKK1), mRNA. /FEA=mRNA /GEN=DKK1 /PROD=dickkopf (Xenopus laevis) homolog 1 /DB_XREF=gi:7110718 /UG=Hs.40499 dickkopf (Xenopus laevis) homolog 1 /FL=gb:AF127563.1 gb:AF177394.1 gb:NM_01
204623_at	NM_003226	7033	trefoil factor 3 (intestinal)	|7586|7582|5576|6952|9607|9605|7154|	|88|	|21|21q|21q22|	gb:NM_003226.1 /DEF=Homo sapiens trefoil factor 3 (intestinal) (TFF3), mRNA. /FEA=mRNA /GEN=TFF3 /PROD=trefoil factor 3 (intestinal) /DB_XREF=gi:4507452 /UG=Hs.82961 trefoil factor 3 (intestinal) /FL=gb:L08044.1 gb:L15203.1 gb:NM_003226.1
204805_s_at	NM_006026	8971	H1 histone family, member X		|538|		gb:NM_006026.1 /DEF=Homo sapiens H1 histone family, member X (H1FX), mRNA. /FEA=mRNA /GEN=H1FX /PROD=H1 histone family, member X /DB_XREF=gi:5174448 /UG=Hs.109804 H1 histone family, member X /FL=gb:BC000426.1 gb:D64142.1 gb:NM_006026.1
204879_at	NM_006474	10630	lung type-I cell membrane-associated glycoprotein	|5887|5886|5622|5623|16020|16021|		|1|1p|	gb:NM_006474.1 /DEF=Homo sapiens lung type-I cell membrane-associated glycoprotein (T1A-2), transcript variant 2, mRNA.  /FEA=mRNA /GEN=T1A-2 /PROD=lung type-I cell membrane-associatedglycoprotein, isoform 2 precursor /DB_XREF=gi:5454097 /UG=Hs.135150 lu
205207_at	NM_000600	3569	interleukin 6 (interferon, beta 2)	|8083|5102|4871|8283|8151|5615|5576|7267|7154|7498|7397|7345|7275|6959|6955|6952|9607|9605|9613|6950|8285|8284|7166|7165|	|489|	|7|7p|	gb:NM_000600.1 /DEF=Homo sapiens interleukin 6 (interferon, beta 2) (IL6), mRNA. /FEA=mRNA /GEN=IL6 /PROD=interleukin 6 (interferon, beta 2) /DB_XREF=gi:10834983 /UG=Hs.93913 interleukin 6 (interferon, beta 2) /FL=gb:NM_000600.1 gb:M14584.1 gb:M18403.1 g
205247_at	AI743713	4855	Notch homolog 4 (Drosophila)	|5887|5886|5622|5623|16020|16021|	|23|66|	|6|6p|6p21|	Consensus includes gb:AI743713 /FEA=EST /DB_XREF=gi:5112001 /DB_XREF=est:wg53a06.x1 /CLONE=IMAGE:2368786 /UG=Hs.11689 Notch (Drosophila) homolog 4 /FL=gb:U95299.1 gb:NM_004557.1
205471_s_at	AW772082	1602	dachshund homolog (Drosophila)	|7456|7455|7398|7397|7345|7275|9653|	|2437|	|13|13q|	Consensus includes gb:AW772082 /FEA=EST /DB_XREF=gi:7704144 /DB_XREF=est:hn67b07.x1 /CLONE=IMAGE:3032917 /UG=Hs.63931 dachshund (Drosophila) homolog /FL=gb:NM_004392.1 gb:AF102546.1
205483_s_at	NM_005101	9636	interferon-stimulated protein, 15 kDa		|240|	|1|1p|1p36|	gb:NM_005101.1 /DEF=Homo sapiens interferon-stimulated protein, 15 kDa (ISG15), mRNA. /FEA=mRNA /GEN=ISG15 /PROD=interferon-stimulated protein, 15 kDa /DB_XREF=gi:4826773 /UG=Hs.833 interferon-stimulated protein, 15 kDa /FL=gb:M13755.1 gb:NM_005101.1
205550_s_at	NM_004899	9577	brain and reproductive organ-expressed (TNFRSF1A modulator)	|7165|7154|		|2|2p|2p23|	gb:NM_004899.1 /DEF=Homo sapiens brain and reproductive organ-expressed (TNFRSF1A modulator) (BRE), mRNA.  /FEA=mRNA /GEN=BRE /PROD=brain and reproductive organ-expressed (TNFRSF1Amodulator) /DB_XREF=gi:4757871 /UG=Hs.80426 brain and reproductive organ-e
205680_at	NM_002425	4319	matrix metalloproteinase 10 (stromelysin 2)	|8270|5505|5488|5615|5576|5578|8233|16787|3824|6508|30163|9057|9056|8152|8151|6411|	|413|45|1400|2051|	|11|11q|11q22|	gb:NM_002425.1 /DEF=Homo sapiens matrix metalloproteinase 10 (stromelysin 2) (MMP10), mRNA.  /FEA=mRNA /GEN=MMP10 /PROD=matrix metalloproteinase 10 preproprotein /DB_XREF=gi:4505204 /UG=Hs.2258 matrix metalloproteinase 10 (stromelysin 2) /FL=gb:BC002591.
205935_at	NM_001451	2294	forkhead box F1	|5634|5622|5623|5515|5488|3700|3677|3676|8134|5654|6350|6139|8152|8151|6355|	|250|	|16|16q|	gb:NM_001451.1 /DEF=Homo sapiens forkhead box F1 (FOXF1), mRNA. /FEA=mRNA /GEN=FOXF1 /PROD=forkhead box F1 /DB_XREF=gi:4503732 /UG=Hs.155591 forkhead box F1 /FL=gb:U13219.1 gb:NM_001451.1
206201_s_at	NM_005924	4223	mesenchyme homeo box 2 (growth arrest-specific homeo box)	|8015|7582|3700|3677|3676|7275|	|46|	|7|7p|7p22|	gb:NM_005924.1 /DEF=Homo sapiens mesenchyme homeo box 2 (growth arrest-specific homeo box) (MEOX2), mRNA.  /FEA=mRNA /GEN=MEOX2 /PROD=mesenchyme homeo box 2 /DB_XREF=gi:5174548 /UG=Hs.77858 mesenchyme homeo box 2 (growth arrest-specific homeo box) /FL=gb
206211_at	NM_000450	6401	selectin E (endothelial adhesion molecule 1)	|5194|5886|5622|5623|16020|6954|6952|9607|9605|7154|9613|6950|8151|9611|	|59|84|	|1|1q|1q22|	gb:NM_000450.1 /DEF=Homo sapiens selectin E (endothelial adhesion molecule 1) (SELE), mRNA.  /FEA=mRNA /GEN=SELE /PROD=selectin E precursor /DB_XREF=gi:4506870 /UG=Hs.89546 selectin E (endothelial adhesion molecule 1) /FL=gb:M30640.1 gb:NM_000450.1 gb:M2
206581_at	NM_001717	646	basonuclin	|5634|5622|5623|3700|3677|3676|7398|7397|7345|7275|8284|8283|8151|		|15|	gb:NM_001717.1 /DEF=Homo sapiens basonuclin (BNC), mRNA. /FEA=mRNA /GEN=BNC /PROD=basonuclin /DB_XREF=gi:4502438 /UG=Hs.64025 basonuclin /FL=gb:L03427.1 gb:NM_001717.1
206715_at	NM_012252	22797	transcription factor EC	|5634|5622|5623|3700|3677|3676|8134|5515|5488|		|7|7q|7q31|	gb:NM_012252.1 /DEF=Homo sapiens transcription factor EC (TFEC), mRNA. /FEA=mRNA /GEN=TFEC /PROD=transcription factor EC /DB_XREF=gi:6912701 /UG=Hs.113274 transcription factor EC /FL=gb:D43945.1 gb:NM_012252.1
206908_s_at	NM_005602	5010	claudin 11 (oligodendrocyte transmembrane protein)		|822|	|3|3q|3q26|	gb:NM_005602.3 /DEF=Homo sapiens claudin 11 (oligodendrocyte transmembrane protein) (CLDN11), mRNA.  /FEA=mRNA /GEN=CLDN11 /PROD=oligodendrocyte transmembrane protein /DB_XREF=gi:13518028 /UG=Hs.153297 claudin 11 (oligodendrocyte transmembrane protein) /
206941_x_at	NM_012431	9723	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	|6928|8151|5615|5576|	|1403|	|7|7q|7q21|	gb:NM_012431.1 /DEF=Homo sapiens sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E (SEMA3E), mRNA.  /FEA=mRNA /GEN=SEMA3E /PROD=sema domain, immunoglobulin domain (Ig), shortbasic domain, secreted, (semaphorin) 3E /DB
206953_s_at	NM_012302	23266	latrophilin		|2191|1825|2|	|1|1p|1p31|	gb:NM_012302.1 /DEF=Homo sapiens latrophilin (KIAA0786), mRNA. /FEA=mRNA /GEN=KIAA0786 /PROD=latrophilin /DB_XREF=gi:6912463 /UG=Hs.24212 latrophilin /FL=gb:AF104939.1 gb:NM_012302.1
207029_at	NM_000899	4254	KIT ligand	|8283|8151|7165|7154|7397|7345|7275|8083|5102|4871|		|12|12q|	gb:NM_000899.1 /DEF=Homo sapiens KIT ligand (KITLG), mRNA. /FEA=mRNA /GEN=KITLG /PROD=mast cell growth factor, isoform b, precursor /DB_XREF=gi:4505174 /UG=Hs.1048 KIT ligand /FL=gb:M59964.1 gb:NM_000899.1
207332_s_at	NM_003234	7037	transferrin receptor (p90, CD71)	|5768|5737|5622|5623|6812|6811|6810|8151|30003|6873|19725|4888|4872|4871|5887|5886|16020|16021|	|2225|	|3|3q|3q26|	gb:NM_003234.1 /DEF=Homo sapiens transferrin receptor (p90, CD71) (TFRC), mRNA. /FEA=mRNA /GEN=TFRC /PROD=transferrin receptor (p90, CD71) /DB_XREF=gi:4507456 /UG=Hs.77356 transferrin receptor (p90, CD71) /FL=gb:NM_003234.1
207528_s_at	NM_014331	23657	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	|6461|6411|8152|8151|16021|16020|5623|5279|15203|5275|5215|15171|15291|15290|5386|15175|15297|15179|99|15172|	|324|	|4|4q|4q28|	gb:NM_014331.1 /DEF=Homo sapiens solute carrier family 7, (cationic amino acid transporter, y+ system) member 11 (SLC7A11), mRNA.  /FEA=mRNA /GEN=SLC7A11 /PROD=solute carrier family 7, (cationic amino acidtransporter, y+ system) member 11 /DB_XREF=gi:765
207601_at	NM_014465	27284	sulfotransferase family, cytosolic, 1B, member 1	|16782|16740|3824|6576|9308|6519|8152|8151|6575|	|685|	|4|4q|4q13|	gb:NM_014465.1 /DEF=Homo sapiens thyroid hormone slfotransferase (ST1B2), mRNA. /FEA=mRNA /GEN=ST1B2 /PROD=thyroid hormone slfotransferase /DB_XREF=gi:7657620 /UG=Hs.129742 thyroid hormone slfotransferase /FL=gb:U95726.1 gb:D89479.1 gb:NM_014465.1
207616_s_at	NM_004180	10010	TRAF family member-associated NFKB activator	|5515|5488|7165|7154|	|1496|	|2|2q|2q24|	gb:NM_004180.1 /DEF=Homo sapiens TRAF family member-associated NFKB activator (TANK), mRNA.  /FEA=mRNA /GEN=TANK /PROD=TRAF family member-associated NFKB activator /DB_XREF=gi:4759249 /UG=Hs.146847 TRAF family member-associated NFKB activator /FL=gb:U638
207647_at	NM_004680	9085	chromodomain protein, Y chromosome, 1	|7283|7276|7275|	|385|378|	|Y|Yq|Yq11|	gb:NM_004680.1 /DEF=Homo sapiens chromodomain protein, Y chromosome, 1 (CDY1), mRNA. /FEA=mRNA /GEN=CDY1 /PROD=chromodomain protein, Y chromosome, 1 /DB_XREF=gi:4757965 /UG=Hs.159281 chromodomain protein, Y chromosome, 1 /FL=gb:AF000981.1 gb:AF080597.1 g
207689_at	NM_005995						gb:NM_005995.1 /DEF=Homo sapiens T-box 10 (TBX10) mRNA. /FEA=mRNA /GEN=TBX10 /PROD=T-box 10 /DB_XREF=gi:5174708 /UG=Hs.203847 T-box 10 /FL=gb:NM_005995.1
207691_x_at	NM_001776	953	ectonucleoside triphosphate diphosphohydrolase 1	|7155|7154|5194|5886|5622|5623|16020|7596|7599|7582|5624|267|7267|4002|16887|16818|16817|16787|3824|17076|166|5488|6959|6955|6952|9607|9605|9613|6950|8151|5887|16021|	|1150|	|10|10q|	gb:NM_001776.1 /DEF=Homo sapiens ectonucleoside triphosphate diphosphohydrolase 1 (ENTPD1), mRNA.  /FEA=mRNA /GEN=ENTPD1 /PROD=ectonucleoside triphosphate diphosphohydrolase1 /DB_XREF=gi:4502666 /UG=Hs.205353 ectonucleoside triphosphate diphosphohydrolas
207836_s_at	NM_006867	11030	RNA-binding protein gene with multiple splicing	|3723|3676|16070|6139|8152|8151|	|76|	|8|8p|8p12|	gb:NM_006867.1 /DEF=Homo sapiens RNA-binding protein gene with multiple splicing (RBPMS), mRNA.  /FEA=mRNA /GEN=RBPMS /PROD=RNA-binding protein gene with multiple splicing /DB_XREF=gi:5803140 /UG=Hs.80248 RNA-binding protein gene with multiple splicing /
208248_x_at	NM_001642	334	amyloid beta (A4) precursor-like protein 2		|2177|14|	|11|11q|	gb:NM_001642.1 /DEF=Homo sapiens amyloid beta (A4) precursor-like protein 2 (APLP2), mRNA.  /FEA=mRNA /GEN=APLP2 /PROD=amyloid beta (A4) precursor-like protein 2 /DB_XREF=gi:4502146 /UG=Hs.279518 amyloid beta (A4) precursor-like protein 2 /FL=gb:L09209.1
208337_s_at	NM_003822	2494	nuclear receptor subfamily 5, group A, member 2	|5634|5622|5623|4872|4871|9405|7582|3700|3677|3676|7345|7275|6350|6139|8152|8151|	|105|104|	|1|1q|1q32|	gb:NM_003822.1 /DEF=Homo sapiens nuclear receptor subfamily 5, group A, member 2 (NR5A2), mRNA.  /FEA=mRNA /GEN=NR5A2 /PROD=nuclear receptor subfamily 5, group A, member 2 /DB_XREF=gi:4504342 /UG=Hs.183123 nuclear receptor subfamily 5, group A, member 2
208704_x_at	BC000373	334	amyloid beta (A4) precursor-like protein 2		|2177|14|	|11|11q|	gb:BC000373.1 /DEF=Homo sapiens, Similar to amyloid beta (A4) precursor-like protein 2, clone MGC:8371, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to amyloid beta (A4) precursor-likeprotein 2 /DB_XREF=gi:12653210 /UG=Hs.279518 amyloid beta (A4) precurs
208721_s_at	BF967271	51433	anaphase promoting complex subunit 5	|7067|87|279|7049|8151|278|280|74|86|16881|16879|16874|3824|152|5634|5622|5623|151|6508|30163|9057|9056|8152|6411|		|12|12q|12q24|	Consensus includes gb:BF967271 /FEA=EST /DB_XREF=gi:12334486 /DB_XREF=est:602287103F1 /CLONE=IMAGE:4374504 /UG=Hs.7101 anaphase-promoting complex subunit 5 /FL=gb:BC001081.1 gb:BC001950.1 gb:AF191339.1 gb:NM_016237.1
208862_s_at	AW073672	1500	catenin (cadherin-associated protein), delta 1	|7155|7154|	|514|	|11|11q|	Consensus includes gb:AW073672 /FEA=EST /DB_XREF=gi:6028670 /DB_XREF=est:xb01b04.x1 /CLONE=IMAGE:2574991 /UG=Hs.166011 catenin (cadherin-associated protein), delta 1 /FL=gb:AF062328.1
