Affymetrix ID	Symbol	Gene Name	Fold difference	P.Value
1417110_at	Man1a	mannosidase 1, alpha	8.6	8.14E-09
1450627_at	Ank	progressive ankylosis	8.5	1.99E-08
1460302_at	Thbs1	thrombospondin 1	8.5	9.57E-06
1448233_at	Prnp	prion protein	8.4	3.93E-08
1452231_x_at	Ifi205	interferon activated gene 205	8.4	4.34E-08
1424770_at	Cald1	caldesmon 1	8.4	4.33E-08
1457270_at	B230343A10Rik	RIKEN cDNA B230343A10 gene	8.3	2.25E-05
1456739_x_at	Armcx2	armadillo repeat containing, X-linked 2	8.3	9.32E-05
1455318_at	Timd4	T-cell immunoglobulin and mucin domain containing 4	8.3	2.55E-08
1445539_at	Pde7b	phosphodiesterase 7B	8.1	8.53E-08
1422607_at	Etv1	ets variant gene 1	8.1	3.50E-07
1420421_s_at	Klrb1b	killer cell lectin-like receptor subfamily B member 1B	8.1	1.54E-06
1436584_at	Spry2	sprouty homolog 2 (Drosophila)	8.1	1.11E-05
1417702_a_at	Hnmt	histamine N-methyltransferase	8.1	2.73E-05
1438475_at	AB124611	cDNA sequence AB124611	8	4.06E-07
1451095_at	Asns	asparagine synthetase	8	1.24E-08
1419481_at	Sell	selectin, lymphocyte	7.8	7.58E-08
1435476_a_at	Fcgr2b	Fc receptor, IgG, low affinity IIb	7.8	1.15E-08
1424613_at	Gprc5b	G protein-coupled receptor, family C, group 5, member B	7.8	5.19E-05
1452291_at	Centd1	centaurin, delta 1	7.8	2.90E-05
1453196_a_at	Oasl2	2-5 oligoadenylate synthetase-like 2	7.8	0.002867657
1440173_x_at	Selp	selectin, platelet	7.7	0.00016202
1424727_at	Ccr5	chemokine (C-C motif) receptor 5	7.7	1.60E-05
1419135_at	Ltb	lymphotoxin B	7.6	0.000477639
1416683_at	Plxnb2	plexin B2	7.6	8.49E-08
1422776_at	Serpinb8	serine (or cysteine) proteinase inhibitor, clade B, member 8	7.6	8.86E-05
1452227_at	2310045A20Rik	RIKEN cDNA 2310045A20 gene	7.5	0.000255943
1459973_x_at	Dpp4	dipeptidylpeptidase 4	7.5	0.001432757
1447849_s_at	---	---	7.4	0.00043918
1425144_at	Klk11	kallikrein 11	7.4	3.26E-06
1425733_a_at	Eps8	epidermal growth factor receptor pathway substrate 8	7.4	7.37E-05
1424560_at	Pstpip1	proline-serine-threonine phosphatase-interacting protein 1	7.3	2.49E-05
1419186_a_at	Siat8d	sialyltransferase 8 (alpha-2, 8-sialyltransferase) D	7.3	4.94E-06
1441907_s_at	C1qr1	complement component 1, q subcomponent, receptor 1	7.2	0.000359264
1418711_at	Pdgfa	platelet derived growth factor, alpha	7.2	3.26E-09
1415964_at	Scd1	stearoyl-Coenzyme A desaturase 1	7.2	2.08E-05
1421551_s_at	Ifi202b	interferon activated gene 202B	7.2	3.23E-06
1424112_at	Igf2r	insulin-like growth factor 2 receptor	7.2	1.06E-05
1449216_at	Itgae	integrin, alpha E, epithelial-associated	7.1	0.00017002
1429514_at	---	---	7.1	1.79E-05
1457666_s_at	Ifi202b	interferon activated gene 202B	7.1	8.22E-07
1441836_x_at	1700006H03Rik	RIKEN cDNA 1700006H03 gene	7	3.39E-05
1448613_at	Ecm1	extracellular matrix protein 1	7	4.05E-05
1447863_s_at	Nr4a2	nuclear receptor subfamily 4, group A, member 2	7	0.005385275
1447693_s_at	Neo1	neogenin	7	4.58E-05
1448898_at	Ccl9	chemokine (C-C motif) ligand 9	6.9	6.61E-05
1422823_at	Eps8	epidermal growth factor receptor pathway substrate 8	6.9	2.12E-05
1417090_at	Rcn1	reticulocalbin 1	6.9	7.78E-06
1425182_x_at	Klk9	kallikrein 9	6.8	7.42E-06
1442019_at	B230343A10Rik	RIKEN cDNA B230343A10 gene	6.8	4.22E-06
1422824_s_at	Eps8	epidermal growth factor receptor pathway substrate 8	6.8	2.90E-07
1454169_a_at	Epsti1	epithelial stromal interaction 1 (breast)	6.8	3.42E-06
1456174_x_at	Ndrg1	N-myc downstream regulated gene 1	6.7	1.38E-05
1451418_a_at	Ssb4	SPRY domain-containing SOCS box 4	6.7	1.46E-08
1453782_at	5730557B15Rik	RIKEN cDNA 5730557B15 gene	6.6	7.82E-05
1456887_at	Cmklr1	chemokine-like receptor 1	6.6	1.91E-05
1443783_x_at	H2-Aa	histocompatibility 2, class II antigen A, alpha	6.5	0.031995138
1450750_a_at	Nr4a2	nuclear receptor subfamily 4, group A, member 2	6.5	0.000250066
1438266_at	Thsd6	thrombospondin, type I domain containing 6	6.5	1.93E-06
1424760_a_at	Smyd2	SET and MYND domain containing 2	6.5	1.10E-10
1422804_at	Serpinb6b	serine (or cysteine) proteinase inhibitor, clade B, member 6b	6.5	1.57E-06
1452463_x_at	D6Mit97	DNA segment, Chr 6, Massachusetts Institute of Technology 97	6.4	0.012554447
1450684_at	Etv1	ets variant gene 1	6.4	3.26E-05
1417654_at	Sdc4	syndecan 4	6.4	2.14E-05
1434413_at	Igf1	insulin-like growth factor 1	6.4	1.16E-06
1448908_at	Ppap2b	phosphatidic acid phosphatase type 2B	6.4	0.000396519
1453617_at	Zranb3	zinc finger, RAN-binding domain containing 3	6.4	0.000124568
1436530_at	---	---	6.4	2.58E-07
1451721_a_at	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	6.4	0.001399239
1438619_x_at	Zdhhc14	zinc finger, DHHC domain containing 14	6.3	1.63E-08
1441281_s_at	Ninj1	ninjurin 1	6.3	3.08E-07
1419766_at	Snf1lk	SNF1-like kinase	6.3	1.41E-05
1453179_at	---	---	6.3	0.000143511
1429114_at	Sestd1	SEC14 and spectrin domains 1	6.3	1.11E-06
1425538_x_at	Ceacam1	CEA-related cell adhesion molecule 1	6.3	5.28E-05
1420909_at	Vegfa	vascular endothelial growth factor A	6.2	3.09E-06
1425477_x_at	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	6.2	0.002714525
1426168_a_at	Tcra	T-cell receptor alpha chain	6.2	0.000993694
1437514_at	B430306N03Rik	RIKEN cDNA B430306N03 gene	6.1	2.79E-07
1455123_at	St18	suppression of tumorigenicity 18	6.1	0.002443797
1419519_at	Igf1	insulin-like growth factor 1	6.1	7.40E-06
1455096_at	Flrt2	fibronectin leucine rich transmembrane protein 2	6.1	6.22E-06
1457687_at	Bcl2	B-cell leukemia/lymphoma 2	6.1	4.96E-07
1450764_at	Aoah	acyloxyacyl hydrolase	6	3.41E-08
1419309_at	Gp38	glycoprotein 38	6	4.93E-05
1427329_a_at	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	6	0.001089734
1460329_at	B4galt6	UDP-Gal	6	1.90E-06
1452359_at	AA536743	expressed sequence AA536743	6	1.33E-06
1421031_a_at	2310016C08Rik	RIKEN cDNA 2310016C08 gene	5.9	0.000489166
1447854_s_at	Hist2h2bb	histone 2, H2bb	5.9	1.26E-05
1418776_at	5830443L24Rik	RIKEN cDNA 5830443L24 gene	5.9	0.014507613
1428142_at	Etv5	ets variant gene 5	5.9	0.000298681
1452117_a_at	Fyb	FYN binding protein	5.9	3.02E-05
1448417_at	Ninj1	ninjurin 1	5.8	3.95E-06
1451776_s_at	Hod	homeobox only domain	5.8	2.07E-06
1425248_a_at	Tyro3	TYRO3 protein tyrosine kinase 3	5.8	1.50E-07
1438928_x_at	Ninj1	ninjurin 1	5.7	5.82E-08
1417111_at	Man1a	mannosidase 1, alpha	5.7	1.06E-08
1437614_x_at	Zdhhc14	zinc finger, DHHC domain containing 14	5.7	4.78E-08
1417492_at	Ctsb	cathepsin B	5.7	7.86E-07
1428834_at	Dusp4	dual specificity phosphatase 4	5.7	0.006126006
1423602_at	Traf1	Tnf receptor-associated factor 1	5.7	1.64E-06
1418114_at	Rbpsuh	recombining binding protein suppressor of hairless (Drosophila)	5.6	1.58E-07
1454896_at	Rbpsuh	recombining binding protein suppressor of hairless (Drosophila)	5.6	2.66E-09
1434140_at	Mcf2l	mcf.2 transforming sequence-like	5.6	3.51E-05
1444432_at	D330040H18Rik	RIKEN cDNA D330040H18 gene	5.6	0.000449716
1449858_at	Cd86	CD86 antigen	5.6	3.99E-06
1417859_at	Gas7	growth arrest specific 7	5.5	1.40E-05
1452283_at	AW123240	expressed sequence AW123240	5.5	9.63E-07
1418191_at	Usp18	ubiquitin specific protease 18	5.5	0.024810443
1417960_at	Cpeb1	cytoplasmic polyadenylation element binding protein 1	5.5	4.09E-06
1438211_s_at	Dbp	D site albumin promoter binding protein	5.5	0.00119853
1434875_a_at	Hmgn3	high mobility group nucleosomal binding domain 3	5.5	1.75E-07
1426708_at	Antxr2	anthrax toxin receptor 2	5.5	3.83E-06
1456735_x_at	9430094M07Rik	RIKEN cDNA 9430094M07 gene	5.5	6.23E-09
1423668_at	Zdhhc14	zinc finger, DHHC domain containing 14	5.4	3.62E-06
1419532_at	Il1r2	interleukin 1 receptor, type II	5.4	0.000210597
1431777_a_at	Hmgn3	high mobility group nucleosomal binding domain 3	5.3	0.00012054
1448883_at	Lgmn	legumain	5.3	5.19E-06
1417420_at	Ccnd1	cyclin D1	5.3	4.36E-05
1437473_at	---	---	5.3	2.48E-05
1455549_at	Sestd1	SEC14 and spectrin domains 1	5.3	1.56E-05
1423266_at	Mell1	mel transforming oncogene-like 1	5.2	1.10E-07
1424011_at	Aqp9	aquaporin 9	5.2	2.27E-07
1436907_at	Nav1	neuron navigator 1	5.2	5.15E-06
1449227_at	Ch25h	cholesterol 25-hydroxylase	5.1	0.000298512
1460682_s_at	Ceacam2	CEA-related cell adhesion molecule 2	5.1	6.88E-09
1422062_at	Msr1	macrophage scavenger receptor 1	5.1	2.21E-08
1423725_at	Pls3	plastin 3 (T-isoform)	5.1	0.023921265
1435492_at	1500012M23Rik	RIKEN cDNA 1500012M23 gene	5.1	1.83E-05
1427243_at	AA536743	expressed sequence AA536743	5.1	4.74E-08
1460253_at	Cklfsf7	chemokine-like factor super family 7	5.1	1.68E-07
1433847_at	D330017J20Rik	RIKEN cDNA D330017J20 gene	5.1	0.030105212
1425675_s_at	Ceacam1	CEA-related cell adhesion molecule 1	5.1	4.38E-06
1425434_a_at	Msr1	macrophage scavenger receptor 1	5	0.000185707
1417640_at	Cd79b	CD79B antigen	5	0.034000745
1436037_at	Rp26	retinitis pigmentosa 26	5	4.58E-08
1452431_s_at	H2-Ea	histocompatibility 2, class II antigen E alpha	5	0.000594955
1449799_s_at	Pkp2	plakophilin 2	5	4.24E-05
1417333_at	Rasa4	RAS p21 protein activator 4	5	3.88E-07
1452514_a_at	Kit	kit oncogene	5	1.00E-05
1434028_at	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	4.9	5.40E-05
1419758_at	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	4.9	0.011876365
1448942_at	Gng11	guanine nucleotide binding protein (G protein), gamma 11	4.9	4.83E-06
1452205_x_at	Tcrb-V13	T-cell receptor beta, variable 13	4.9	0.000240123
1416007_at	Satb1	special AT-rich sequence binding protein 1	4.9	0.02181694
1458882_at	Serpinb8	serine (or cysteine) proteinase inhibitor, clade B, member 8	4.8	9.12E-06
1427347_s_at	Tubb2	tubulin, beta 2	4.8	3.95E-05
1426541_a_at	2310067E08Rik	RIKEN cDNA 2310067E08 gene	4.8	0.000263758
1422138_at	Plau	plasminogen activator, urokinase	4.8	0.002165383
1434431_x_at	Adora2b	adenosine A2b receptor	4.8	0.000324565
1452679_at	2410129E14Rik	RIKEN cDNA 2410129E14 gene	4.8	0.006506319
1448929_at	F13a1	coagulation factor XIII, A1 subunit	4.8	0.004644761
1419254_at	Mthfd2	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	4.8	2.05E-05
1417023_a_at	Fabp4	fatty acid binding protein 4, adipocyte	4.8	0.000685787
1418998_at	Kmo	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	4.7	0.000820647
1448957_at	Rbpsuh	recombining binding protein suppressor of hairless (Drosophila)	4.7	9.28E-08
1439221_s_at	Tnfrsf5	tumor necrosis factor receptor superfamily, member 5	4.7	7.58E-06
1457434_s_at	Ptpla	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a	4.7	3.70E-08
1452087_at	Epsti1	epithelial stromal interaction 1 (breast)	4.7	2.58E-05
1459601_at	Snf1lk	SNF1-like kinase	4.7	5.37E-07
1424831_at	Cpne2	copine II	4.7	0.00038451
1438982_s_at	2810417J12Rik	RIKEN cDNA 2810417J12 gene	4.7	2.32E-05
1425576_at	Ahcyl1	S-adenosylhomocysteine hydrolase-like 1	4.6	4.26E-08
1459529_at	---	---	4.6	0.01852912
1434430_s_at	Adora2b	adenosine A2b receptor	4.6	0.001354217
1453472_a_at	Slamf7	SLAM family member 7	4.6	0.000146447
1456061_at	Gm457	gene model 457, (NCBI)	4.6	7.48E-05
1460287_at	Timp2	tissue inhibitor of metalloproteinase 2	4.6	1.58E-07
1426065_a_at	Trib3	tribbles homolog 3 (Drosophila)	4.6	2.11E-07
1420558_at	Selp	selectin, platelet	4.6	2.51E-05
1437356_at	Ebi2	Epstein-Barr virus induced gene 2	4.6	0.000279103
1438975_x_at	Zdhhc14	zinc finger, DHHC domain containing 14	4.5	5.40E-07
1423413_at	Ndrg1	N-myc downstream regulated gene 1	4.5	0.004864432
1460220_a_at	Csf1	colony stimulating factor 1 (macrophage)	4.5	3.10E-06
1434222_at	Sipa1l1	signal-induced proliferation-associated 1 like 1	4.5	4.93E-05
1429778_at	Optn	optineurin	4.5	9.97E-05
1417688_at	BC004044	cDNA sequence BC004044	4.5	2.25E-05
1422449_s_at	Rcn2	reticulocalbin 2	4.5	1.76E-08
1421792_s_at	Trem2	triggering receptor expressed on myeloid cells 2	4.5	0.002532774
1430979_a_at	Prdx2	peroxiredoxin 2	4.5	0.000213268
1455812_x_at	Slitl2	Slit-like 2 (Drosophila)	4.5	3.77E-05
1417936_at	Ccl9	chemokine (C-C motif) ligand 9	4.5	3.94E-06
1428615_at	P2y5	purinergic receptor (family A group 5)	4.5	0.000121171
1438931_s_at	Sesn1	sestrin 1	4.4	0.002032993
1438030_at	Rasgrp3	RAS, guanyl releasing protein 3	4.4	0.0001899
1449124_at	Rgl1	ral guanine nucleotide dissociation stimulator,-like 1	4.4	0.000694514
1421187_at	Ccr2	chemokine (C-C motif) receptor 2	4.4	0.000174457
1456377_x_at	0610025L06Rik	RIKEN cDNA 0610025L06 gene	4.4	0.001847037
1450981_at	Cnn2	calponin 2	4.4	5.04E-07
1450884_at	Cd36	CD36 antigen	4.4	9.50E-07
1421366_at	Clecsf5	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 5	4.4	6.48E-06
1424754_at	Ms4a7	membrane-spanning 4-domains, subfamily A, member 7	4.4	0.000262821
1456315_a_at	Ptpla	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a	4.4	3.35E-08
1417061_at	Slc40a1	solute carrier family 40 (iron-regulated transporter), member 1	4.4	0.002452819
1438435_at	---	---	4.4	9.55E-07
1421947_at	Gng12	guanine nucleotide binding protein (G protein), gamma 12	4.4	2.72E-07
1419178_at	Cd3g	CD3 antigen, gamma polypeptide	4.4	0.001321619
1437250_at	---	gene model 974, (NCBI)	4.3	0.001052104
1449156_at	Ly9	lymphocyte antigen 9	4.3	0.000627146
1448061_at	Msr1	macrophage scavenger receptor 1	4.3	1.58E-07
1435084_at	C730049O14Rik	RIKEN cDNA C730049O14 gene	4.3	0.010000393
1435758_at	B4galt6	UDP-Gal	4.3	2.95E-05
1423466_at	Ccr7	chemokine (C-C motif) receptor 7	4.3	0.000107717
1448471_a_at	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	4.3	0.048452469
