RefSeq	Definition	Gene ID	Symbol	Name	Synonyms	Chr	Fold Change	p Value	Cluster Id
NM_000878	Homo sapiens interleukin 2 receptor, beta (IL2RB), mRNA.	3560	IL2RB	interleukin 2 receptor, beta	CD122|P70-75	22	2.946	0.000296	3
NM_000177	Homo sapiens gelsolin (amyloidosis, Finnish type) (GSN), transcript variant 1, mRNA.	2934	GSN	gelsolin (amyloidosis, Finnish type)	DKFZp313L0718	9	2.043	0.000151	3
NM_000701	Homo sapiens ATPase, Na+/K+ transporting, alpha 1 polypeptide (ATP1A1), transcript variant 1, mRNA.	476	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	MGC3285|MGC51750	1	1.227	0.000911	3
NM_001001586	Homo sapiens ATPase, Na+/K+ transporting, alpha 1 polypeptide (ATP1A1), transcript variant 2, mRNA.	476	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	MGC3285|MGC51750	1	1.227	0.000911	3
NM_000308	Homo sapiens cathepsin A (CTSA), transcript variant 1, mRNA.	5476	CTSA	cathepsin A	GLB2|GSL|NGBE|PPCA|PPGB	20	1.192	0.000218	3
NM_000883	Homo sapiens IMP (inosine monophosphate) dehydrogenase 1 (IMPDH1), transcript variant 1, mRNA.	3614	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1	DKFZp781N0678|IMPD|IMPD1|LCA11|RP10|sWSS2608	7	1.177	0.000631	3
NM_000889	Homo sapiens integrin, beta 7 (ITGB7), mRNA.	3695	ITGB7	integrin, beta 7	-	12	1.132	0.000381	3
NM_000887	Homo sapiens integrin, alpha X (complement component 3 receptor 4 subunit) (ITGAX), mRNA.	3687	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	CD11C|SLEB6	16	1.088	0.00016	3
NM_000202	Homo sapiens iduronate 2-sulfatase (IDS), transcript variant 1, mRNA.	3423	IDS	iduronate 2-sulfatase	MPS2|SIDS	X	1.062	0.000583	3
NM_000688	Homo sapiens aminolevulinate, delta-, synthase 1 (ALAS1), transcript variant 1, mRNA.	211	ALAS1	aminolevulinate, delta-, synthase 1	ALAS|ALAS3|ALASH|MIG4	3	1.056	0.000655	3
NM_001009932	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), transcript variant 2, mRNA.	1774	DNASE1L1	deoxyribonuclease I-like 1	DNAS1L1|DNASEX|DNL1L|XIB	X	1.051	0.000112	3
NM_001009933	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), transcript variant 3, mRNA.	1774	DNASE1L1	deoxyribonuclease I-like 1	DNAS1L1|DNASEX|DNL1L|XIB	X	1.051	0.000112	3
NM_001009934	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), transcript variant 4, mRNA.	1774	DNASE1L1	deoxyribonuclease I-like 1	DNAS1L1|DNASEX|DNL1L|XIB	X	1.051	0.000112	3
NM_001005271	Homo sapiens chromodomain helicase DNA binding protein 3 (CHD3), transcript variant 3, mRNA.	1107	CHD3	chromodomain helicase DNA binding protein 3	Mi-2a|Mi2-ALPHA|ZFH	17	0.935	0.000382	4
NM_001005273	Homo sapiens chromodomain helicase DNA binding protein 3 (CHD3), transcript variant 1, mRNA.	1107	CHD3	chromodomain helicase DNA binding protein 3	Mi-2a|Mi2-ALPHA|ZFH	17	0.935	0.000382	4
NM_001004722	Homo sapiens NCK adaptor protein 2 (NCK2), transcript variant 3, mRNA.	8440	NCK2	NCK adaptor protein 2	GRB4|NCKbeta	2	0.925	0.000981	4
NM_001004720	Homo sapiens NCK adaptor protein 2 (NCK2), transcript variant 2, mRNA.	8440	NCK2	NCK adaptor protein 2	GRB4|NCKbeta	2	0.925	0.000548	4
NM_000675	Homo sapiens adenosine A2a receptor (ADORA2A), mRNA.	135	ADORA2A	adenosine A2a receptor	ADORA2|RDC8|hA2aR	22	0.901	0.000744	4
NM_000443	Homo sapiens ATP-binding cassette, sub-family B (MDR/TAP), member 4 (ABCB4), transcript variant A, mRNA.	5244	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	ABC21|GBD1|MDR2|MDR2/3|MDR3|PFIC-3|PGY3	7	0.779	0.000926	4
NM_000873	Homo sapiens intercellular adhesion molecule 2 (ICAM2), transcript variant 5, mRNA.	3384	ICAM2	intercellular adhesion molecule 2	CD102	17	0.727	0.0000471	4
NM_000418	Homo sapiens interleukin 4 receptor (IL4R), transcript variant 1, mRNA.	3566	IL4R	interleukin 4 receptor	CD124|IL4RA	16	0.727	0.000276	4
NM_000600	Homo sapiens interleukin 6 (interferon, beta 2) (IL6), mRNA.	3569	IL6	interleukin 6 (interferon, beta 2)	BSF2|HGF|HSF|IFNB2|IL-6	7	0.521	0.000179	4
NM_001004196	Homo sapiens CD200 molecule (CD200), transcript variant 2, mRNA.	4345	CD200	CD200 molecule	MOX1|MOX2|MRC|OX-2	3	0.51	0.000873	4
NM_001004197							0.51	0.000873	4
NM_000631	Homo sapiens neutrophil cytosolic factor 4, 40kDa (NCF4), transcript variant 1, mRNA.	4689	NCF4	neutrophil cytosolic factor 4, 40kDa	MGC3810|NCF|P40PHOX|SH3PXD4	22	1.085	0.000554	5
NM_000626	Homo sapiens CD79b molecule, immunoglobulin-associated beta (CD79B), transcript variant 1, mRNA.	974	CD79B	CD79b molecule, immunoglobulin-associated beta	B29|IGB	17	0.791	0.0000407	6
