RefSeq	Definition	Gene ID	Symbol	Name	Synonyms	Chr	Fold Change	p Value	Cluster Id
NM_173354	Homo sapiens SNF1-like kinase (SNF1LK), mRNA.	150094	SIK1	salt-inducible kinase 1	MSK|SIK|SNF1LK	21	1.578	0.00000101	1
NM_130435	Homo sapiens protein tyrosine phosphatase, receptor type, E (PTPRE), transcript variant 2, mRNA.	5791	PTPRE	protein tyrosine phosphatase, receptor type, E	DKFZp313F1310|FLJ57799|FLJ58245|HPTPE|PTPE|R-PTP-EPSILON	10	1.547	0.000447	1
NM_006504	Homo sapiens protein tyrosine phosphatase, receptor type, E (PTPRE), transcript variant 1, mRNA.	5791	PTPRE	protein tyrosine phosphatase, receptor type, E	DKFZp313F1310|FLJ57799|FLJ58245|HPTPE|PTPE|R-PTP-EPSILON	10	1.547	0.000447	1
NM_005779	Homo sapiens lipoma HMGIC fusion partner-like 2 (LHFPL2), mRNA.	10184	LHFPL2	lipoma HMGIC fusion partner-like 2	DKFZp781E0375|KIAA0206	5	1.519	0.000000128	1
NM_001838	Homo sapiens chemokine (C-C motif) receptor 7 (CCR7), mRNA.	1236	CCR7	chemokine (C-C motif) receptor 7	BLR2|CD197|CDw197|CMKBR7|EBI1	17	1.514	0.00000286	1
NM_003929	Homo sapiens RAB7, member RAS oncogene family-like 1 (RAB7L1), transcript variant 1, mRNA.	8934	RAB7L1	RAB7, member RAS oncogene family-like 1	DKFZp686P1051|RAB7L	1	1.456	0.000039	1
NM_052815							1.444	0.000011	1
NM_003897	Homo sapiens immediate early response 3 (IER3), mRNA.	8870	IER3	immediate early response 3	DIF-2|DIF2|GLY96|IEX-1|IEX-1L|IEX1|PRG1	6	1.444	0.000011	1
NM_005524	Homo sapiens hairy and enhancer of split 1, (Drosophila) (HES1), mRNA.	3280	HES1	hairy and enhancer of split 1, (Drosophila)	FLJ20408|HES-1|HHL|HRY|bHLHb39	3	1.443	0.00045	1
NM_014779	Homo sapiens TSC22 domain family, member 2 (TSC22D2), mRNA.	9819	TSC22D2	TSC22 domain family, member 2	KIAA0669|TILZ4a|TILZ4b|TILZ4c	3	1.386	0.000138	1
NM_002228	Homo sapiens jun oncogene (JUN), mRNA.	3725	JUN	jun oncogene	AP-1|AP1|c-Jun	1	1.347	0.000166	1
NM_002123	Homo sapiens major histocompatibility complex, class II, DQ beta 1 (HLA-DQB1), mRNA.	3119	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	CELIAC1|HLA-DQB|IDDM1	6	1.345	0.0000107	1
NM_006765	Homo sapiens tumor suppressor candidate 3 (TUSC3), transcript variant 1, mRNA.	7991	TUSC3	tumor suppressor candidate 3	D8S1992|M33|MGC13453|MRT7|N33|OST3A	8	1.336	0.000324	1
NM_005204	Homo sapiens mitogen-activated protein kinase kinase kinase 8 (MAP3K8), mRNA.	1326	MAP3K8	mitogen-activated protein kinase kinase kinase 8	COT|EST|ESTF|FLJ10486|TPL2|Tpl-2|c-COT	10	1.335	0.0000102	1
NM_020686	Homo sapiens 4-aminobutyrate aminotransferase (ABAT), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	18	ABAT	4-aminobutyrate aminotransferase	FLJ17813|GABA-AT|GABAT|NPD009	16	1.275	0.000149	1
NM_000663	Homo sapiens 4-aminobutyrate aminotransferase (ABAT), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	18	ABAT	4-aminobutyrate aminotransferase	FLJ17813|GABA-AT|GABAT|NPD009	16	1.275	0.000149	1
XM_945818							1.271	0.0000702	1
NM_015335	Homo sapiens mediator complex subunit 13-like (MED13L), mRNA.	23389	MED13L	mediator complex subunit 13-like	DKFZp781D0112|FLJ21627|KIAA1025|PROSIT240|THRAP2|TRAP240L	12	1.26	0.000000366	1
NM_015570	Homo sapiens autism susceptibility candidate 2 (AUTS2), transcript variant 1, mRNA.	26053	AUTS2	autism susceptibility candidate 2	FBRSL2|KIAA0442|MGC13140	7	1.258	0.000408	1
NM_006313	Homo sapiens ubiquitin specific peptidase 15 (USP15), mRNA.	9958	USP15	ubiquitin specific peptidase 15	KIAA0529|MGC131982|MGC149838|MGC74854|UNPH4	12	1.257	0.000777	1
XM_942240							1.251	0.0000559	1
NM_002922	Homo sapiens regulator of G-protein signaling 1 (RGS1), mRNA.	5996	RGS1	regulator of G-protein signaling 1	1R20|BL34|IER1|IR20	1	1.217	0.00082	1
NM_005588	Homo sapiens meprin A, alpha (PABA peptide hydrolase) (MEP1A), mRNA.	4224	MEP1A	meprin A, alpha (PABA peptide hydrolase)	PPHA	6	1.203	0.000841	1
NM_005328	Homo sapiens hyaluronan synthase 2 (HAS2), mRNA.	3037	HAS2	hyaluronan synthase 2	MGC126241|MGC126242	8	1.2	0.000911	1
NM_004833	Homo sapiens absent in melanoma 2 (AIM2), mRNA.	9447	AIM2	absent in melanoma 2	PYHIN4	1	1.2	0.00067	1
NM_006399	Homo sapiens basic leucine zipper transcription factor, ATF-like (BATF), mRNA.	10538	BATF	basic leucine zipper transcription factor, ATF-like	B-ATF|BATF1|SFA-2|SFA2	14	1.199	0.0000153	1
NM_015346	Homo sapiens zinc finger, FYVE domain containing 26 (ZFYVE26), mRNA.	23503	ZFYVE26	zinc finger, FYVE domain containing 26	DKFZp686F19106|DKFZp781H1112|KIAA0321|SPG15	14	1.198	0.000000416	1
NM_021795	Homo sapiens ELK4, ETS-domain protein (SRF accessory protein 1) (ELK4), transcript variant b, mRNA.	2005	ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	SAP1	1	1.191	0.000028	1
NM_004780	Homo sapiens transcription elongation factor A (SII)-like 1 (TCEAL1), transcript variant 1, mRNA.	9338	TCEAL1	transcription elongation factor A (SII)-like 1	SIIR|p21|pp21	X	1.183	0.000504	1
NM_001006640	Homo sapiens transcription elongation factor A (SII)-like 1 (TCEAL1), transcript variant 3, mRNA.	9338	TCEAL1	transcription elongation factor A (SII)-like 1	SIIR|p21|pp21	X	1.183	0.000504	1
NM_001006639	Homo sapiens transcription elongation factor A (SII)-like 1 (TCEAL1), transcript variant 2, mRNA.	9338	TCEAL1	transcription elongation factor A (SII)-like 1	SIIR|p21|pp21	X	1.183	0.000504	1
NM_005130	Homo sapiens fibroblast growth factor binding protein 1 (FGFBP1), mRNA.	9982	FGFBP1	fibroblast growth factor binding protein 1	FGFBP|HBP17	4	1.166	0.000124	1
NR_001569		1587	ADAM3A	ADAM metallopeptidase domain 3A (cyritestin 1)	ADAM3|CYRN1|tMDCI	8	1.153	0.000241	1
NM_000508	Homo sapiens fibrinogen alpha chain (FGA), transcript variant alpha-E, mRNA.	2243	FGA	fibrinogen alpha chain	Fib2|MGC119422|MGC119423|MGC119425	4	1.152	0.000859	1
NM_005048	Homo sapiens parathyroid hormone 2 receptor (PTH2R), mRNA.	5746	PTH2R	parathyroid hormone 2 receptor	PTHR2	2	1.149	0.000669	1
NM_002829	Homo sapiens protein tyrosine phosphatase, non-receptor type 3 (PTPN3), mRNA.	5774	PTPN3	protein tyrosine phosphatase, non-receptor type 3	DKFZp686N0569|PTPH1	9	1.138	0.0000222	1
NM_198225	Homo sapiens Rho-related BTB domain containing 1 (RHOBTB1), transcript variant 2, mRNA.	9886	RHOBTB1	Rho-related BTB domain containing 1	KIAA0740|MGC33059|MGC33841	10	1.13	0.00064	1
NM_014836	Homo sapiens Rho-related BTB domain containing 1 (RHOBTB1), transcript variant 1, mRNA.	9886	RHOBTB1	Rho-related BTB domain containing 1	KIAA0740|MGC33059|MGC33841	10	1.13	0.00064	1
NM_001032380	Homo sapiens Rho-related BTB domain containing 1 (RHOBTB1), transcript variant 3, mRNA.	9886	RHOBTB1	Rho-related BTB domain containing 1	KIAA0740|MGC33059|MGC33841	10	1.13	0.00064	1
NM_012276	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4 (LILRA4), mRNA.	23547	LILRA4	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4	CD85g|ILT7|MGC129597|MGC129598	19	1.126	0.000743	1
NM_178584	Homo sapiens septin 10 (SEPT10), transcript variant 2, mRNA.	151011	SEPT10	septin 10	FLJ11619	2	1.121	0.00097	1
NM_144710	Homo sapiens septin 10 (SEPT10), transcript variant 1, mRNA.	151011	SEPT10	septin 10	FLJ11619	2	1.121	0.00097	1
NM_002930	Homo sapiens Ras-like without CAAX 2 (RIT2), mRNA.	6014	RIT2	Ras-like without CAAX 2	RIBA|RIN|ROC2	18	1.12	0.000816	1
NM_005245	Homo sapiens FAT tumor suppressor homolog 1 (Drosophila) (FAT1), mRNA.	2195	FAT1	FAT tumor suppressor homolog 1 (Drosophila)	CDHF7|FAT|ME5|hFat1	4	1.115	0.00059	1
NM_002407	Homo sapiens secretoglobin, family 2A, member 1 (SCGB2A1), mRNA.	4246	SCGB2A1	secretoglobin, family 2A, member 1	LPHC|MGB2|MGC71973|UGB3	11	1.113	0.000843	1
NM_001005747	Homo sapiens calcium channel, voltage-dependent, beta 4 subunit (CACNB4), transcript variant 1, mRNA.	785	CACNB4	calcium channel, voltage-dependent, beta 4 subunit	CAB4|CACNLB4|EA5|EJM	2	1.11	0.000195	1
NM_001005746	Homo sapiens calcium channel, voltage-dependent, beta 4 subunit (CACNB4), transcript variant 3, mRNA.	785	CACNB4	calcium channel, voltage-dependent, beta 4 subunit	CAB4|CACNLB4|EA5|EJM	2	1.11	0.000195	1
NM_000726	Homo sapiens calcium channel, voltage-dependent, beta 4 subunit (CACNB4), transcript variant 2, mRNA.	785	CACNB4	calcium channel, voltage-dependent, beta 4 subunit	CAB4|CACNLB4|EA5|EJM	2	1.11	0.000195	1
NM_203416	Homo sapiens CD163 molecule (CD163), transcript variant 2, mRNA.	9332	CD163	CD163 molecule	M130|MM130	12	1.102	0.000112	1
NM_003954	Homo sapiens mitogen-activated protein kinase kinase kinase 14 (MAP3K14), mRNA.	9020	MAP3K14	mitogen-activated protein kinase kinase kinase 14	FTDCR1B|HS|HSNIK|NIK	17	1.096	0.00000903	1
NM_015866	Homo sapiens PR domain containing 2, with ZNF domain (PRDM2), transcript variant 2, mRNA.	7799	PRDM2	PR domain containing 2, with ZNF domain	HUMHOXY1|KMT8|MTB-ZF|RIZ|RIZ1|RIZ2	1	1.094	0.000217	1
NM_001007257	Homo sapiens PR domain containing 2, with ZNF domain (PRDM2), transcript variant 3, mRNA.	7799	PRDM2	PR domain containing 2, with ZNF domain	HUMHOXY1|KMT8|MTB-ZF|RIZ|RIZ1|RIZ2	1	1.094	0.000217	1
NM_002738	Homo sapiens protein kinase C, beta (PRKCB), transcript variant 2, mRNA.	5579	PRKCB	protein kinase C, beta	MGC41878|PKC-beta|PKCB|PRKCB1|PRKCB2	16	1.093	0.000352	1
NM_005822	Homo sapiens regulator of calcineurin 2 (RCAN2), mRNA.	10231	RCAN2	regulator of calcineurin 2	CSP2|DSCR1L1|MCIP2|RCN2|ZAKI-4|ZAKI4|hRCN2	6	1.092	0.0000531	1
NM_001557	Homo sapiens interleukin 8 receptor, beta (IL8RB), mRNA.	3579	IL8RB	interleukin 8 receptor, beta	CD182|CDw128b|CMKAR2|CXCR2|IL8R2|IL8RA	2	1.091	0.000192	1
NM_005292	Homo sapiens G protein-coupled receptor 18 (GPR18), transcript variant 1, mRNA.	2841	GPR18	G protein-coupled receptor 18	-	13	1.09	0.000798	1
NM_003811	Homo sapiens tumor necrosis factor (ligand) superfamily, member 9 (TNFSF9), mRNA.	8744	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	4-1BB-L|CD137L	19	1.088	0.0000128	1
NM_013962	Homo sapiens neuregulin 1 (NRG1), transcript variant GGF2, mRNA.	3084	NRG1	neuregulin 1	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|NDF|SMDF	8	1.084	0.000126	1
NM_013959	Homo sapiens neuregulin 1 (NRG1), transcript variant SMDF, mRNA.	3084	NRG1	neuregulin 1	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|NDF|SMDF	8	1.084	0.000126	1
NM_013958	Homo sapiens neuregulin 1 (NRG1), transcript variant HRG-beta3, mRNA.	3084	NRG1	neuregulin 1	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|NDF|SMDF	8	1.084	0.000126	1
NM_005447	Homo sapiens Ras association (RalGDS/AF-6) domain family (N-terminal) member 9 (RASSF9), mRNA.	9182	RASSF9	Ras association (RalGDS/AF-6) domain family (N-terminal) member 9	P-CIP1|PAMCI	12	1.081	0.000761	1
NM_000428	Homo sapiens latent transforming growth factor beta binding protein 2 (LTBP2), mRNA.	4053	LTBP2	latent transforming growth factor beta binding protein 2	C14orf141|LTBP3|MSTP031	14	1.081	0.000878	1
NM_015254	Homo sapiens kinesin family member 13B (KIF13B), mRNA.	23303	KIF13B	kinesin family member 13B	GAKIN|KIAA0639	8	1.08	0.000223	1
NM_032960	Homo sapiens mitogen-activated protein kinase-activated protein kinase 2 (MAPKAPK2), transcript variant 2, mRNA.	9261	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	MK2	1	1.076	0.0000811	1
NM_006128	Homo sapiens bone morphogenetic protein 1 (BMP1), transcript variant BMP1-2, mRNA.	649	BMP1	bone morphogenetic protein 1	FLJ44432|PCOLC|PCP|TLD|pCP-2	8	1.072	0.0000456	1
NM_006365	Homo sapiens chromosome 1 open reading frame 61 (C1orf61), mRNA.	10485	C1orf61	chromosome 1 open reading frame 61	CROC4|FLJ38303	1	1.071	0.000982	1
NM_001199	Homo sapiens bone morphogenetic protein 1 (BMP1), transcript variant BMP1-1, mRNA.	649	BMP1	bone morphogenetic protein 1	FLJ44432|PCOLC|PCP|TLD|pCP-2	8	1.07	0.0000622	1
NM_005159	Homo sapiens actin, alpha, cardiac muscle 1 (ACTC1), mRNA.	70	ACTC1	actin, alpha, cardiac muscle 1	ACTC|CMD1R|CMH11	15	1.07	0.000626	1
NM_007052	Homo sapiens NADPH oxidase 1 (NOX1), transcript variant NOH-1L, mRNA.	27035	NOX1	NADPH oxidase 1	GP91-2|MOX1|NOH-1|NOH1	X	1.068	0.00076	1
NM_005366	Homo sapiens melanoma antigen family A, 11 (MAGEA11), transcript variant 1, mRNA.	4110	MAGEA11	melanoma antigen family A, 11	MAGE-11|MAGE11|MAGEA-11|MGC10511	X	1.067	0.000655	1
NM_001011544	Homo sapiens melanoma antigen family A, 11 (MAGEA11), transcript variant 2, mRNA.	4110	MAGEA11	melanoma antigen family A, 11	MAGE-11|MAGE11|MAGEA-11|MGC10511	X	1.067	0.000655	1
NM_199139	Homo sapiens XIAP associated factor 1 (XAF1), transcript variant 2, mRNA.	54739	XAF1	XIAP associated factor 1	BIRC4BP|HSXIAPAF1|XIAPAF1	17	1.066	0.000294	1
NM_017523	Homo sapiens XIAP associated factor 1 (XAF1), transcript variant 1, mRNA.	54739	XAF1	XIAP associated factor 1	BIRC4BP|HSXIAPAF1|XIAPAF1	17	1.066	0.000294	1
NM_015206	Homo sapiens KIAA1024 (KIAA1024), mRNA.	23251	KIAA1024	KIAA1024	-	15	1.066	0.000745	1
NM_000222	Homo sapiens v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog (KIT), transcript variant 1, mRNA.	3815	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	C-Kit|CD117|PBT|SCFR	4	1.062	0.000363	1
NM_004944	Homo sapiens deoxyribonuclease I-like 3 (DNASE1L3), mRNA.	1776	DNASE1L3	deoxyribonuclease I-like 3	DHP2|DNAS1L3|LSD	3	1.059	0.000616	1
NM_007175	Homo sapiens ER lipid raft associated 2 (ERLIN2), transcript variant 1, mRNA.	11160	ERLIN2	ER lipid raft associated 2	C8orf2|Erlin-2|MGC87072|SPFH2	8	1.054	0.000881	1
NM_004778	Homo sapiens G protein-coupled receptor 44 (GPR44), mRNA.	11251	GPR44	G protein-coupled receptor 44	CD294|CRTH2|DP2	11	1.052	0.000998	1
NM_000127	Homo sapiens exostoses (multiple) 1 (EXT1), mRNA.	2131	EXT1	exostoses (multiple) 1	EXT|LGCR|LGS|TRPS2|ttv	8	1.049	0.000209	1
NM_000773	Homo sapiens cytochrome P450, family 2, subfamily E, polypeptide 1 (CYP2E1), mRNA.	1571	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	CPE1|CYP2E|P450-J|P450C2E	10	1.047	0.000765	1
NM_003990	Homo sapiens paired box 2 (PAX2), transcript variant e, mRNA.	5076	PAX2	paired box 2	-	10	1.046	0.000741	1
NM_003987	Homo sapiens paired box 2 (PAX2), transcript variant a, mRNA.	5076	PAX2	paired box 2	-	10	1.046	0.000741	1
NM_000940	Homo sapiens paraoxonase 3 (PON3), mRNA.	5446	PON3	paraoxonase 3	-	7	1.044	0.000271	1
NM_001044	Homo sapiens solute carrier family 6 (neurotransmitter transporter, dopamine), member 3 (SLC6A3), mRNA.	6531	SLC6A3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	DAT|DAT1	5	1.032	0.000981	1
NM_005249	Homo sapiens forkhead box G1 (FOXG1), mRNA.	2290	FOXG1	forkhead box G1	BF1|BF2|FHKL3|FKH2|FKHL1|FKHL2|FKHL3|FKHL4|FOXG1A|FOXG1B|FOXG1C|HBF-1|HBF-2|HBF-3|HBF-G2|HBF2|HFK1|HFK2|HFK3|KHL2|QIN	14	1.03	0.000442	1
XM_939029							0.971	0.000823	2
NM_014659	Homo sapiens histidine acid phosphatase domain containing 2A (HISPPD2A), transcript variant 2, mRNA.	9677	HISPPD2A	histidine acid phosphatase domain containing 2A	DKFZp313L0221|IP6K|IPS1|KIAA0377|MGC51871|PPIP5K1|VIP1	15	0.971	0.000823	2
NM_001024463	Homo sapiens histidine acid phosphatase domain containing 2A (HISPPD2A), transcript variant 4, mRNA.	9677	HISPPD2A	histidine acid phosphatase domain containing 2A	DKFZp313L0221|IP6K|IPS1|KIAA0377|MGC51871|PPIP5K1|VIP1	15	0.971	0.000823	2
NM_145055	Homo sapiens chromosome 18 open reading frame 25 (C18orf25), transcript variant 1, mRNA.	147339	C18orf25	chromosome 18 open reading frame 25	ARKL1|MGC12909|MGC87799	18	0.962	0.000772	2
NM_001008239	Homo sapiens chromosome 18 open reading frame 25 (C18orf25), transcript variant 2, mRNA.	147339	C18orf25	chromosome 18 open reading frame 25	ARKL1|MGC12909|MGC87799	18	0.962	0.000772	2
NM_002012	Homo sapiens fragile histidine triad gene (FHIT), mRNA.	2272	FHIT	fragile histidine triad gene	AP3Aase|FRA3B	3	0.954	0.000372	2
NM_134422							0.951	0.000678	2
NM_002879							0.951	0.000678	2
NM_030615	Homo sapiens kinesin family member 25 (KIF25), transcript variant 1, mRNA.	3834	KIF25	kinesin family member 25	KNSL3|MGC163361	6	0.947	0.000419	2
NM_006730	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), transcript variant 1, mRNA.	1774	DNASE1L1	deoxyribonuclease I-like 1	DNAS1L1|DNASEX|DNL1L|XIB	X	0.945	0.0000119	2
NM_001009934	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), transcript variant 4, mRNA.	1774	DNASE1L1	deoxyribonuclease I-like 1	DNAS1L1|DNASEX|DNL1L|XIB	X	0.945	0.0000119	2
NM_001009933	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), transcript variant 3, mRNA.	1774	DNASE1L1	deoxyribonuclease I-like 1	DNAS1L1|DNASEX|DNL1L|XIB	X	0.945	0.0000119	2
NM_001009932	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), transcript variant 2, mRNA.	1774	DNASE1L1	deoxyribonuclease I-like 1	DNAS1L1|DNASEX|DNL1L|XIB	X	0.945	0.0000119	2
NM_005737	Homo sapiens ADP-ribosylation factor-like 4C (ARL4C), mRNA.	10123	ARL4C	ADP-ribosylation factor-like 4C	ARL7|LAK	2	0.944	0.000262	2
XM_941252							0.944	0.000931	2
XM_928685							0.944	0.000931	2
NM_002830	Homo sapiens protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte) (PTPN4), mRNA.	5775	PTPN4	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)	PTPMEG|PTPMEG1	2	0.943	0.00000751	2
NM_007249	Homo sapiens Kruppel-like factor 12 (KLF12), mRNA.	11278	KLF12	Kruppel-like factor 12	AP-2rep|AP2REP|HSPC122	13	0.942	0.000386	2
NM_172316	Homo sapiens Meis homeobox 2 (MEIS2), transcript variant h, mRNA.	4212	MEIS2	Meis homeobox 2	HsT18361|MGC2820|MRG1	15	0.938	0.000751	2
NM_172315	Homo sapiens Meis homeobox 2 (MEIS2), transcript variant g, mRNA.	4212	MEIS2	Meis homeobox 2	HsT18361|MGC2820|MRG1	15	0.938	0.000751	2
NM_170677	Homo sapiens Meis homeobox 2 (MEIS2), transcript variant a, mRNA.	4212	MEIS2	Meis homeobox 2	HsT18361|MGC2820|MRG1	15	0.938	0.000751	2
NM_170676	Homo sapiens Meis homeobox 2 (MEIS2), transcript variant d, mRNA.	4212	MEIS2	Meis homeobox 2	HsT18361|MGC2820|MRG1	15	0.938	0.000751	2
NM_170675	Homo sapiens Meis homeobox 2 (MEIS2), transcript variant c, mRNA.	4212	MEIS2	Meis homeobox 2	HsT18361|MGC2820|MRG1	15	0.938	0.000751	2
NM_170674	Homo sapiens Meis homeobox 2 (MEIS2), transcript variant b, mRNA.	4212	MEIS2	Meis homeobox 2	HsT18361|MGC2820|MRG1	15	0.938	0.000751	2
NM_020149							0.938	0.000751	2
NM_002399	Homo sapiens Meis homeobox 2 (MEIS2), transcript variant f, mRNA.	4212	MEIS2	Meis homeobox 2	HsT18361|MGC2820|MRG1	15	0.938	0.000751	2
NM_001032409	Homo sapiens 2,5-oligoadenylate synthetase 1, 40/46kDa (OAS1), transcript variant 3, mRNA.	4938	OAS1	2,5-oligoadenylate synthetase 1, 40/46kDa	IFI-4|OIAS|OIASI	12	0.936	0.000265	2
NM_004529	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (MLLT3), mRNA.	4300	MLLT3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	AF9|FLJ2035|YEATS3	9	0.935	0.000271	2
NM_002737	Homo sapiens protein kinase C, alpha (PRKCA), mRNA.	5578	PRKCA	protein kinase C, alpha	AAG6|MGC129900|MGC129901|PKC-alpha|PKCA|PRKACA	17	0.935	0.000527	2
NM_016816	Homo sapiens 2,5-oligoadenylate synthetase 1, 40/46kDa (OAS1), transcript variant 1, mRNA.	4938	OAS1	2,5-oligoadenylate synthetase 1, 40/46kDa	IFI-4|OIAS|OIASI	12	0.934	0.000284	2
NM_005355	Homo sapiens kinesin family member 25 (KIF25), transcript variant 2, mRNA.	3834	KIF25	kinesin family member 25	KNSL3|MGC163361	6	0.932	0.000266	2
NM_005876	Homo sapiens SPEG complex locus (SPEG), mRNA.	10290	SPEG	SPEG complex locus	APEG1|BPEG|KIAA1297|MGC12676|SPEGalpha|SPEGbeta	2	0.932	0.000301	2
NM_170662	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence b (CBLB), mRNA.	868	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	DKFZp686J10223|DKFZp779A0729|DKFZp779F1443|FLJ36865|FLJ41152|Nbla00127|RNF56	3	0.925	0.000972	2
NM_005935	Homo sapiens AF4/FMR2 family, member 1 (AFF1), mRNA.	4299	AFF1	AF4/FMR2 family, member 1	AF-4|AF4|AF4-MLL|MGC134969|MLL/AF4|MLLT2|PBM1	4	0.924	0.0000345	2
NM_017719	Homo sapiens SNF related kinase (SNRK), transcript variant 1, mRNA.	54861	SNRK	SNF related kinase	DKFZp779A1866|FLJ20224|HSNFRK|KIAA0096	3	0.923	0.0000937	2
NM_138448	Homo sapiens acylphosphatase 2, muscle type (ACYP2), mRNA.	98	ACYP2	acylphosphatase 2, muscle type	ACYM|ACYP	2	0.922	0.000715	2
NM_031267	Homo sapiens cell division cycle 2-like 5 (cholinesterase-related cell division controller) (CDC2L5), transcript variant 2, mRNA.	8621	CDC2L5	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	CDC2L|CHED|FLJ35215|KIAA1791	7	0.921	0.00077	2
NM_003718	Homo sapiens cell division cycle 2-like 5 (cholinesterase-related cell division controller) (CDC2L5), transcript variant 1, mRNA.	8621	CDC2L5	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	CDC2L|CHED|FLJ35215|KIAA1791	7	0.921	0.00077	2
NM_005646	Homo sapiens TAR (HIV-1) RNA binding protein 1 (TARBP1), mRNA.	6894	TARBP1	TAR (HIV-1) RNA binding protein 1	FLJ30482|TRM3|TRP-185|TRP185	1	0.921	0.00085	2
NM_002463	Homo sapiens myxovirus (influenza virus) resistance 2 (mouse) (MX2), mRNA.	4600	MX2	myxovirus (influenza virus) resistance 2 (mouse)	MXB	21	0.921	0.000566	2
XM_087386							0.92	0.00000706	2
NM_002895	Homo sapiens retinoblastoma-like 1 (p107) (RBL1), transcript variant 1, mRNA.	5933	RBL1	retinoblastoma-like 1 (p107)	CP107|MGC40006|PRB1|p107	20	0.919	0.0000877	2
