GenBank ID	Category	Gene Description	Cluster
AA800587	AntioxidantsandDNArepair Upregulatedgenes	Glutathionperoxidase2(3.5)	C
M76704	AntioxidantsandDNArepair Upregulatedgenes	O-6-methylguanidine	C
M14656	Extracellularmatrix,proteases,angiogenesis,andcytoskeletonUpregulatedgenes	Osteopontin(22.6)	C
AI233219	Extracellularmatrix,proteases,angiogenesis,andcytoskeletonUpregulatedgenes	Pinealspecificprotein(21.1)	C
AA946503	Extracellularmatrix,proteases,angiogenesis,andcytoskeletonUpregulatedgenes	Lipocalin-2(17.5)	C
U67910	Extracellularmatrix,proteases,angiogenesis,andcytoskeletonUpregulatedgenes	Mastcellprotease7;MCP-7(7.7)	C
AJ005642	Extracellularmatrix,proteases,angiogenesis,andcytoskeletonUpregulatedgenes	Brainserineprotease;BSP-2(5.9)	C
X98517	Extracellularmatrix,proteases,angiogenesis,andcytoskeletonUpregulatedgenes	MMP12(4.0)	C
AI169327	Extracellularmatrix,proteases,angiogenesis,andcytoskeletonUpregulatedgenes	TIMP-1(3.3)	C
X81448	Extracellularmatrix,proteases,angiogenesis,andcytoskeletonUpregulatedgenes	Keratin-18(3.2)	C
S69206	Extracellularmatrix,proteases,angiogenesis,andcytoskeletonUpregulatedgenes	Protease-1(3.1)	C
D88250	Extracellularmatrix,proteases,angiogenesis,andcytoskeletonUpregulatedgenes	Serineprotease(3.0)	C
S76054	Extracellularmatrix,proteases,angiogenesis,andcytoskeletonUpregulatedgenes	Cytokeratin8(2.8)	C
U44845	Extracellularmatrix,proteases,angiogenesis,andcytoskeleton Down regulated	Vitronectin(4.9)	H
R46974	Extracellularmatrix,proteases,angiogenesis,andcytoskeleton Down regulated	Collagena1-III(3.0)	H
M76532	Cell-cellinteraction Downregulatedgenes	Connexin37(3.5)	G
AI177621	Cell-cellinteraction Downregulatedgenes	ICAM-2(2.8)	H
U77697	Cell-cellinteraction Downregulatedgenes	PECAM-1(2.8)	G
U07619	Coagulationandfibrinolysis Upregulatedgenes	Tissuefactor(5.7)	C
J00735	Coagulationandfibrinolysis Upregulatedgenes	Fibrinogeng(4.2)	C
M24067	Coagulationandfibrinolysis Upregulatedgenes	PAI-1(16.0)	C
X71898	Coagulationandfibrinolysis Upregulatedgenes	uPAR-1(6.5)	C
M91599	Receptors Downregulatedgenes	FGFR4(6.5)	G
U93306	Receptors Downregulatedgenes	Flk-1(6.1)	G
AI176031	Receptors Downregulatedgenes	TIE-1(3.5)	G
U76206	Receptors Downregulatedgenes	VTR15-20(3.3)	H
U90610	Receptors Downregulatedgenes	CXCR-4(3.1)	G
L04672	Receptors Downregulatedgenes	Gprotein–coupledreceptor(3.0)	G
U10995	Receptors Downregulatedgenes	OrphanreceptorCOUP-TFI(2.8)	G
X57764	Receptors Downregulatedgenes	ET-Bendothelinreceptor(2.8)	G
M19651	Signaltransduction,transcriptionfactors,andcellcycle Upregulatedgenes	Fra-1(16.0)	C
L41275	Signaltransduction,transcriptionfactors,andcellcycle Upregulatedgenes	p21(12.1)	C
Y00396	Signaltransduction,transcriptionfactors,andcellcycle Upregulatedgenes	cmyc(4.3)	C
X06769	Signaltransduction,transcriptionfactors,andcellcycle Upregulatedgenes	c-Fos(3.5)	D
U17254	Signaltransduction,transcriptionfactors,andcellcycle Upregulatedgenes	NGFI-B(3.4)	D
M65149	Signaltransduction,transcriptionfactors,andcellcycle Upregulatedgenes	C/EBPy(3.2)	C
M18416	Signaltransduction,transcriptionfactors,andcellcycle Upregulatedgenes	NGFI-A(3.2)	D
X54686	Signaltransduction,transcriptionfactors,andcellcycle Upregulatedgenes	pJunB(3.0)	D
X70871	Signaltransduction,transcriptionfactors,andcellcycle Upregulatedgenes	CyclinG(3.0)	C
AA849036	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	GuanylatecyclaseIa3(7.5)	G
AI011503	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	SOX-7(5.3)	G
AA818381	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	c-kitproto-oncogene(5.3)	G
AA819900	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	Protocadherina(5.3)	H
AA848639	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	cFos-inducedgrowthfactor(4.3)	H
AA893235	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	G0s2(3.7)	G
AA997619	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	CadherinV(3.5)	G
AI233225	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	Guanylatecyclaseh1(3.2)	G
U76032	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	cGMP-specific	G
L09119	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	Ckinasesubstrate	H
AA875025	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	CRAB(3.0)	G
AA997870	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	RegulatorofG-protein	G
AA997477	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	Wnt2(2.8)
AI103349	Signaltransduction,transcriptionfactors,andcellcycle Downregulated genes	SOX-18(2.8)
X01118	Edemaandwaterchannels Upregulatedgenes	gatrialnatriureticpeptide;gANP(14.4)
D17695	Edemaandwaterchannels Upregulatedgenes	Aquaporin3;AQP3(4.3)
