Agilent id	Unigene id	Genbank id	Gene name	Description	EHSPEL; Undifferentiated F9=Cy3 (log ratio 2^n)	F9-diff; Undifferentiated F9=Cy3 (log ratio 2^n)	E13.5 PE; Undifferentiated F9=Cy3 (log ratio 2^n)	PE PYS2; Undifferentiated F9=Cy3 (log ratio 2^n)	EHSPEL; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	F9-diff; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	E13.5 PE; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	PYS2; NIH3T3 fibroblast=Cy3 (log ratio 2^n)
H3001F12-3	Mm.12559	NM_010474.1	Hs3st1	heparansulfate (glucosamine) 3-O-sulfotransferase1	3.887	2.064	3.822	2.102	3.647	1.469	3.612	2.129
J0422H09-3	Mm.200307	NM_145977.1	2210413P12Rik	Prosteinpr otein(prostate specific 11-membrane spanning protein)	3.788	1.861	4.426	2.863	3.852	1.637	4.255	2.332
C0936E01-3	Mm.3542	NM_011199.1	Pthr	parathyroid hormone receptor	3.774	3.573	3.291	3.817	3.326	3.35	3.335	3.905
L0296D08-3	Mm.29997	BC005487.1	6030455P07Rik	reticulocalbin3	3.765	2.502	4.105	2.746	2.574	1.122	3.623	1.702
J0460B01-3	Mm.23835	M31591.1	J0460B01-3	follistatin	3.74	5.483	6.465	5.065	5.773	3.973	5.543	4.231
L0264E10-3	Mm.14767	M15525.1	Lamb1-1	Laminin beta1	3.7	5.034	4.525	3.506	4.768	3.876	3.304	2.642
K0449D08-3	Mm.29644	BC011472.1	AI173274	KDEL (Lys-Asp-Glu-Leu) ER retention receptor 3	3.617	3.75	3.331	3.875	2.097	1.685	1.333	2.793
H3116C07-3	Mm.7952	NM_008817.1	Peg3	paternally expressed gene 3, zinc finger protein	3.581	2.053	3.485	1.949	4.504	3.188	4.449	3.457
H3031C01-3	Mm.6800	D90360.1	Krt2-8	keratinen do A (keratin8 )	3.475	2.87	4.459	3.79	4.936	3.979	5.35	5.087
H3078D11-3	Mm.46014	BC003909.1	shrm	Shroom, a PDZ domain-containing actin-binding protein	3.439	1.518	3.569	1.162	4.16	3.313	4.329	2.09
L0067D07-3	Mm.22708	NM_009825.1	Serpinh1	Heat Shock Protein 47 (Collagen Binding Protein)	3.439	3.511	4.162	3.415	2.164	2.032	2.835	2.294
C0631D07-3	Mm.30775	BCo13223.1	C0631D07-3	LOC236920:similar to KIAA0189 containing RhoGAP domain	3.429	1.989	1.664	1.583	4.328	2.543	2.535	2.468
C0651C07-3	Mm.29581	AK017285.1	Hey1	Hairyyenhancer-of-split related with YRPW motif 1	3.278	1.566	2.1	2.762	2.179	1.608	1.361	2.514
H3098A12-3	Mm.30239	BC006731.1	4933419D20Rik	zinc transporter, RIKEN cDNA 4933419D20 gene	3.254	2.197	3.904	1.815	2.574	1.487	3.103	1.305
H3054B07-3	Mm.177724	AK017150.1	2810484M10Rik	iron–sulfor binding protein	3.183	2.319	2.247	3.441	2.898	1.56	2.087	3.544
H3083D01-3	Mm.12289	AK018112.1	6330404C01Rik	hypothetical protein	3.11	3.007	4.739	2.261	3.17	2.642	2.934	1.769
H3043F01-3	Mm.28387	XM_128903.1	H3043F01-3	KIAA1695, formin homology 2 domain containing	2.918	1.771	3.188	1.359	4.755	3.357	4.898	2.888
H3115F09-3	Mm.8739	NM_011360.1	Sgce	sarcoglycan, epsilon subunit	2.862	1.481	1.025	2.363	3.629	2.965	2.555	3.591
J0229H03-3	Mm.1662	NM_008557.1	Fxyd3	FXYD domain-containing ion transport regulator 3	2.801	1.643	4.036	3.24	3.092	1.571	3.877	3.451
L0544B11-3	Mm.216823	NM_010174.1	L0544B11-3	fatty acid binding protein4	2.742	2.254	2.938	2.146	4.707	4.421	4.774	4.657
C0301G10-3	Mm83817	XM_110664.1	C0301G10-3	villin (brush border cytoskelton)-like protein	2.616	1.071	3.696	1.897	3.089	1.491	3.658	2.373
C0863H09-3	Mm.129639	AK008152.1	C0863H09-3	CAP trapper	2.57	1.577	2.591	1.311	2.52	1.728	2.503	1.324
L0834D03-3	Mm.218611	NM_019444.1	Ramp2	Calcitonin receptorActivity modifying protein 2	2.494	2.122	2.25	3.01	3.009	1.744	2.152	3.267
C0180H12-3	Mm.103456	BC005757	C0180H12-3	UNKNOWN: similar to MGC:11976 IMAGE:3601243(62AA protein)	2.454	1.285	3.232	2.217	2.904	1.798	3.334	2.132
C0267G10-3	Mm.155520	NM_022983.1	Edg7	endothelial differentiation, lysophosphatidic acid receptor 7	2.44	2.546	4.248	2.214	3.28	1.731	4.537	1.816
L0272C06-3	Mm.38888	BC002026.1	Serping1	complement component 1 inhibitor	2.433	2.408	2.872	2.111	2.732	2.46	3.193	2.701
C0182E06-3	Mm.4550	AK005071.1	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	2.417	1.062	2.243	2.506	5.201	3.407	5.045	5.204
H3075B10-3	Mm.29476	BC034079.1	AA408783	SPECs, small binding proteins for Cdc42	2.413	1.955	1.816	2.044	2.186	1.632	1.525	2.021
C0128A08-3	Mm.46749	AC_020978.8	AI643885	solute carrier family 7 member 6 (cationic amino acid transporter, y+ system)	2.399	2.499	2.861	2.143	1.98	1.686	2.848	1.988
C0450C01-3	Mm.27760	AK020184.1	Agpat4	1-acylglycerol-3-phosphate O-acyltransferase 1	2.327	3.007	3.118	2.966	1.657	2.344	2.802	2.827
C0607G01-3	Mm.200971	AF158748.3	AI894167	1110014H17Rik,arginyl aminopeptidase (aminopeptidase B)-like	2.312	1.441	2.549	1.211	2.107	1.164	2.402	1.256
C0925G06-3	Mm.24003	AC_010457.7	AW061234	A230075M04Rik	2.153	2.468	1.862	1.502	4.659	4.332	3.833	3.378
L0818A11-3	Mm.23017	XM_088525.1	2610528K11Rik	2610528K11Rik	2.152	2.77	2.153	2.473	1.436	2.134	1.631	2.024
H3080H11-3	Mm.154660	NM_008872.1	Plat	Tissue plasminogen activator	2.144	2.308	1.701	1.935	2.783	1.373	1.141	1.338
C0200H07-3		BC006672.1	C0200H07-3	Tle3: transducin-like enhancer of split 3, homolog of Drosophila E(spl)	2.03	1.164	2.083	1.537	2.255	1.586	2.402	2.263
L0242H11-3	Mm.87599	NM_023395.1	2310058A03Rik	Wfdc1 WAP four-disulfide core domain1	2.022	1.186	3.292	2.327	2.387	1.36	3.417	2.951
L0237G06-3	Mm.4620	NM_012026.1	Rgnef	Rho interacting protein 2 (Rho-guanine exchanging factor)	1.962	1.983	2.3	1.669	2.334	2.42	3.052	2.327
		NM_010664.1		Krt1-18	1.925	2.279	4.395	3.927	3.989	2.562	5.447	4.941
H3056F06-3	Mm.9838	AK020473.1	C87016	781 bp EST	1.837	1.696	1.47	1.428	1.763	1.097	1.025	1.55
L0280D07-3	Mm.43760	NM_019951.1	Spc18-pending	18 kD signal peptidase complex	1.834	1.51	1.393	1.241	1.449	1.157	1.12	1.273
C0117E11-3	Mm.8856	AF109906.1	Neu1	neuraminidase 1	1.819	1.539	1.303	1.6	2.62	1.705	1.678	2.375
H3093B09-3	Mm.71015	XM_130095.1	2700053F16Rik	Proteindisulfide isomerase-like	1.798	1.65	2.039	1.199	1.742	1.176	2.244	1.317
H3004H02-3	Mm.24277	AK012262.1	2700018N07Rik	2700018N07Rik 173AA protein	1.787	1.191	2.738	2.856	2.546	1.818	3.066	3.209
J0051F04-3	Mm.30241	AF309650.1	Ifi30	lysosomal thiol reductase precursoryinterferon gamma inducible protein 30	1.784	2.052	1.338	1.237	2.436	2.374	2.194	2.293
C0300G03-3		AK013906.1	C0300G03-3	3021401C12, 1322bp EST	1.761	2.483	1.481	2.034	1.739	3.258	1.649	2.293
H3009D03-5		BC010789.1	H3009D03-5	placenta-specific 8 (DUF614domain)	1.689	1.565	3.442	3.567	2.378	1.916	3.642	3.81
H3123B04-3	Mm.154570	BC017125.1	Erp29	endoplasmic reticulum lumenal protein 29	1.601	2.038	1.674	1.993	1.585	1.897	1.884	2.611
C0277D12-3	Mm.40617	AK017462.1	5630400D21Rik	glucosaminyl (N-acetyl) transferase 1, core 2	1.484	1.935	3.754	2.494	2.92	2.683	4.753	2.67
H3109C03-3	Mm.4793	NM_008064.1	Gaa	glucosidase, alpha, acid (Gaa)yALPHA-1,4-GLUCOSIDASE	1.459	2.233	2.068	2.063	1.672	1.226	1.206	1.523
H3104D07-3	Mm.22220	NM_010174.1	Fabp3	fatty acid binding protein 3, muscle and heart	1.45	1.783	1.825	1.758	3.677	2.592	3.395	2.31
H3104H08-3	Mm.24668	AC_022784.7	H3104H08-3	UNKNOWN: Similar to Homo sapiens chromosome 8, clone RP11-10A14	1.437	1.731	2.525	1.957	1.426	1.943	2.102	1.878
K0105B12-3	Mm.139787	AK020034.1	5930418K15Rik	5930418K15Rik, 1328bp EST,	1.414	1.069	1.444	1.773	1.789	1.155	1.644	2.136
K0219F03-3	Mm.41748	AK017670.1	5730456K23Rik	Carboxypeptidase M precursor-like	1.376	1.215	1.1	3.193	2.165	1.233	1.06	2.791
H3034H10-3	Mm.22270	BC029808.1	C76990	Tm4sf3 Transmembrane 4 superfamily member 3	1.33	1.969	4.552	2.065	1.075	1.84	4.604	2.029
H3006A07-3	Mm.1782	NM_011992.1	Rcn2	reticulocalbin 2	1.308	2.241	1.278	1.934	1.411	1.337	1.014	1.344
H3029G02-3	Mm.27827	BC022652.1	AW538212	transcription factor NFX1-related	1.277	1.783	1.213	1.262	1.68	1.756	1.163	1.869
