Illumina ID	Accession	Symbol	Gi_Accession	Involved in cell proliferation	GFP SEL A Log(2) Signal	GFP SEL B Log(2) Signal	GAB2 SEL A Log(2) Signal	GAB2 SEL B Log(2) Signal	GAB2 SEL / GFP SEL Log(2) Ratio
ILMN_10965	NM_002888.2	RARRES1	46255040	Yes	5.495	5.558	7.878	8.268	2.546
ILMN_2486	NM_001570.3	IRAK2	58530885		5.823	5.545	8.111	8.299	2.521
ILMN_138775	XM_936314.1	CAMK2B	89025915		4.931	5.190	7.590	7.565	2.517
ILMN_4070	NM_002354.1	TACSTD1	4505058		8.284	7.637	10.187	10.670	2.468
ILMN_2939	NM_004572.2	PKP2	52630430		6.272	5.900	8.644	8.414	2.443
ILMN_138896	NM_001692.2	ATP6V1B1	19913425		8.058	8.414	10.700	10.620	2.424
ILMN_5800	NM_006623.2	PHGDH	23308576		8.361	7.135	10.316	10.012	2.416
ILMN_13615	NM_004433.3	ELF3	40255034		6.426	6.732	8.898	9.044	2.392
ILMN_16665	NM_018478.2	C20orf35	56676381		8.997	8.527	11.023	11.222	2.361
ILMN_23395	NM_000170.1	GLDC	4504012		7.501	6.884	9.649	9.407	2.336
ILMN_22286	NM_005950.1	MT1G	10835229		6.498	6.564	8.729	8.959	2.313
ILMN_23106	NM_032501.2	ACSS1	28416952		5.787	7.076	8.861	8.612	2.305
ILMN_73404	Hs.66187	0	2795905		5.833	5.919	7.965	8.369	2.291
ILMN_8119	NM_000667.2	ADH1A	11496886		6.338	6.621	8.592	8.847	2.240
ILMN_12667	NM_015621.2	CCDC69	45935390		5.890	4.555	7.237	7.658	2.226
ILMN_19983	NM_001252.2	TNFSF7	24119161	Yes	7.573	7.670	9.832	9.803	2.196
ILMN_27148	NM_007231.1	SLC6A14	6005714		4.307	5.375	6.695	7.352	2.182
ILMN_10592	NM_000149.1	FUT3	4503808		6.123	6.178	8.447	8.189	2.167
ILMN_3057	NM_080668.2	CDCA5	34147481	Yes	6.641	6.648	8.614	8.949	2.137
ILMN_21545	NM_015864.2	C6orf32	14277689		6.033	5.629	7.830	8.055	2.111
ILMN_123833	Hs.571652	0	13579761		4.591	4.781	6.471	7.080	2.089
ILMN_4794	NM_153750.1	C21orf81	24371249		7.255	6.731	8.949	9.204	2.084
ILMN_18673	NM_002346.1	LY6E	4505048		10.127	9.887	12.074	12.103	2.081
ILMN_29702	NM_016448.1	DTL	7705575		6.375	6.879	8.594	8.787	2.063
ILMN_20794	NM_005564.2	LCN2	38455401		6.829	6.542	8.549	8.927	2.052
ILMN_22039	NM_000934.1	SERPINF2	11386142		6.770	6.493	8.634	8.707	2.039
ILMN_5259	NM_032432.2	ABLIM2	40316949		6.013	6.119	7.966	8.196	2.015
ILMN_18895	NM_030928.2	CDT1	19923847		6.759	6.711	8.893	8.594	2.008
ILMN_9313	NM_005130.3	FGFBP1	49574208	Yes	7.822	6.469	9.081	9.214	2.002
ILMN_24599	NM_003809.2	TNFSF12	23510442	Yes	5.714	6.284	7.873	8.085	1.980
ILMN_43594	XM_498969.2	LOC441019	88974818		9.553	9.414	11.350	11.544	1.964
ILMN_28594	NM_000900.2	MGP	49574513		5.450	5.267	6.954	7.679	1.958
ILMN_24333	NM_001025357.1	LOC441376	70778888		5.174	5.725	7.146	7.652	1.950
ILMN_25185	NM_002982.3	CCL2	56119169		5.963	5.585	7.480	7.965	1.948
ILMN_16225	NM_003155.2	STC1	61676083		5.728	5.609	7.370	7.828	1.931
ILMN_26854	NM_016095.1	Pfs2	7706366		6.370	6.217	8.257	8.188	1.929
ILMN_16900	NM_012485.1	HMMR	7108350		6.589	5.980	8.310	8.100	1.920
ILMN_635	NM_002281.2	KRTHB1	15431319		12.938	12.058	14.562	14.269	1.918
ILMN_138949	NM_005672.2	PSCA	29893565		5.661	6.375	8.084	7.735	1.891
ILMN_19849	NM_001067.2	TOP2A	19913405		6.874	6.580	8.599	8.634	1.890
ILMN_1375	NM_152594.1	SPRED1	22749220		7.360	7.465	9.390	9.211	1.888
ILMN_16399	NM_006086.2	TUBB3	50592995		7.648	6.982	9.337	9.061	1.884
ILMN_25781	NM_003504.3	CDC45L	34335230		4.755	3.818	6.090	6.225	1.871
ILMN_139316	NM_054111.2	IHPK3	55769529		5.667	5.561	7.419	7.545	1.868
ILMN_21714	NM_032814.1	TMEM118	14249505		5.482	5.049	7.071	7.178	1.859
ILMN_15264	NM_080757.1	C20orf127	50233782		9.726	8.978	11.181	11.235	1.856
ILMN_12145	NM_002742.1	PRKD1	4506074	Yes	5.916	4.991	7.138	7.480	1.855
ILMN_25474	NM_178229.3	IQGAP3	39753960		7.216	7.113	9.110	8.925	1.853
ILMN_15159	NM_207409.1	UNQ3045	46409449		4.959	5.322	7.003	6.966	1.844
ILMN_3512	NM_015894.2	STMN3	14670374		6.338	5.720	7.981	7.763	1.843
ILMN_79597	Hs.159264	0	1710274		4.921	5.104	6.609	7.093	1.838
ILMN_23984	NM_001338.3	CXADR	45827793		8.317	8.588	10.272	10.307	1.837
ILMN_20465	NM_003981.2	PRC1	40807441		7.796	7.132	9.227	9.337	1.818
ILMN_6398	NM_181803.1	UBE2C	32967290	Yes	7.550	6.533	8.799	8.917	1.816
ILMN_408	NM_018136.2	ASPM	24211028	Yes	7.031	6.674	8.360	8.965	1.810
ILMN_10261	NM_012137.2	DDAH1	31881756		5.100	5.240	6.705	7.255	1.809
ILMN_138577	NM_031311.2	CPVL	22027517		8.522	7.918	10.007	10.046	1.807
ILMN_2929	NM_001958.2	EEF1A2	25453470		4.959	5.049	6.828	6.744	1.782
ILMN_8234	NM_013271.2	PCSK1N	20336240		5.739	5.252	7.167	7.386	1.781
ILMN_10126	NM_000527.2	LDLR	8051613		9.982	9.340	11.363	11.517	1.779
ILMN_2142	NM_002727.2	PRG1	45935370		5.750	5.661	7.432	7.534	1.778
ILMN_3335	NM_006779.2	CDC42EP2	30089963		5.883	5.624	7.481	7.534	1.754
ILMN_4109	NM_000755.2	CRAT	21618330		6.670	6.109	8.359	7.921	1.751
ILMN_132978	Hs.580797	0	12402397		9.327	9.174	10.721	11.267	1.743
ILMN_3628	NM_024094.1	DCC1	13129095		5.766	5.830	7.446	7.634	1.742
ILMN_15254	NM_004701.2	CCNB2	10938017	Yes	8.128	7.113	9.346	9.325	1.715
ILMN_18800	NM_001089.1	ABCA3	4501848		6.119	5.692	7.707	7.530	1.713
ILMN_8681	NM_207362.1	MGC42367	46409355		6.926	6.967	8.511	8.804	1.711
ILMN_15358	NM_001839.2	CNN3	47080096		8.562	8.707	10.383	10.308	1.711
ILMN_27289	NM_002578.2	PAK3	46249379		7.126	6.821	8.676	8.667	1.697
ILMN_7092	NM_003686.3	EXO1	39995068		6.300	6.235	7.934	7.984	1.692
ILMN_28552	NM_032117.2	GAJ	38455411		4.838	5.579	6.910	6.884	1.689
ILMN_915	NM_020675.3	SPBC25	23510353		3.700	4.217	5.807	5.479	1.684
ILMN_12434	NM_032918.1	RERG	14249703	Yes	4.186	4.828	6.002	6.379	1.684
ILMN_12221	NM_000204.1	CFI	4504578		7.656	7.384	9.159	9.239	1.679
ILMN_7052	NM_005727.2	TSPAN1	21264577	Yes	6.489	6.320	8.012	8.155	1.679
ILMN_8225	NM_016343.3	CENPF	55770833	Yes	5.805	5.615	7.342	7.431	1.677
ILMN_24855	NM_021101.3	CLDN1	21536297		9.320	9.696	11.129	11.240	1.676
ILMN_90844	Hs.430502	0	79239592		5.492	5.975	7.555	7.244	1.666
ILMN_14069	NM_000147.2	FUCA1	24475878		7.250	6.843	8.577	8.845	1.665
ILMN_20249	NM_001006933.1	TCEAL3	55749430		7.049	6.693	8.662	8.387	1.653
ILMN_23549	NM_199327.1	SPRY1	40788000		5.202	5.594	6.891	7.209	1.653
ILMN_18797	NM_198282.1	LOC340061	38093658		7.098	6.940	8.674	8.647	1.642
ILMN_36990	XM_930914.1	LOC653108	89058118		5.909	5.664	7.262	7.588	1.638
ILMN_6505	NM_003282.2	TNNI2	50593000		7.676	7.965	9.410	9.498	1.634
ILMN_26085	NM_003467.2	CXCR4	56790928		5.820	5.304	7.051	7.333	1.630
ILMN_24466	NM_003641.2	IFITM1	40254449	Yes	6.272	6.184	7.895	7.816	1.628
ILMN_6876	NM_003632.1	CNTNAP1	4505462		6.127	5.825	7.673	7.527	1.624
ILMN_3836	NM_018367.3	PHCA	31543398		5.973	6.085	7.605	7.695	1.621
ILMN_15608	NM_005766.2	FARP1	48928036		7.183	7.002	8.795	8.589	1.600
ILMN_23044	NM_052972.2	LRG1	49574519		5.485	5.233	6.783	7.132	1.598
ILMN_108776	Hs.545615	0	2901934		6.309	6.520	7.919	8.100	1.594
ILMN_25536	NM_002386.2	MC1R	27477128		6.421	6.733	8.386	7.956	1.594
ILMN_137805	NM_004217.1	AURKB	4759177		6.036	6.106	7.727	7.571	1.578
ILMN_5694	NM_153322.1	PMP22	24430164	Yes	5.307	5.650	7.142	6.959	1.572
ILMN_25636	NM_152666.1	PLD5	22749352		6.104	5.274	7.234	7.278	1.567
ILMN_30361	NM_003896.2	ST3GAL5	28373079		4.986	5.079	6.681	6.503	1.559
ILMN_40146	XM_496129.2	LOC440349	89040448		6.227	6.075	7.466	7.941	1.553
ILMN_16130	NM_006997.2	TACC2	45827751		11.174	11.047	12.627	12.697	1.552
ILMN_27053	NM_003637.3	ITGA10	38569397		5.652	5.233	7.000	6.984	1.549
ILMN_10005	NM_031966.2	CCNB1	34304372	Yes	6.759	6.498	8.045	8.309	1.549
ILMN_19730	NM_004091.2	E2F2	34485718		6.020	5.591	7.336	7.365	1.545
ILMN_3597	NM_004431.2	EPHA2	32967310		8.283	8.673	10.275	9.755	1.537
ILMN_18617	NM_031426.2	C9orf58	50428929		9.093	8.994	10.673	10.417	1.501
ILMN_13141	NM_005480.2	TROAP	33438581		5.591	5.326	6.990	6.916	1.495
ILMN_26277	NM_024901.3	DENND2D	34147689		5.186	5.409	6.988	6.597	1.495
ILMN_13533	NM_016437.1	TUBG2	7706750		7.764	7.606	9.198	9.147	1.488
ILMN_9405	NM_016445.1	PLEK2	7706642		6.318	6.498	7.900	7.887	1.485
ILMN_12351	NM_001002876.1	C22orf18	50845413		6.629	5.995	7.807	7.771	1.476
ILMN_23620	NM_022346.3	HCAP-G	50658080	Yes	7.019	6.695	8.368	8.296	1.475
ILMN_9074	NM_001175.4	ARHGDIB	56676392		8.266	8.078	9.624	9.665	1.472
ILMN_1133	NM_182776.1	MCM7	33469921		9.595	9.620	11.093	11.045	1.461
ILMN_6272	NM_017823.3	DUSP23	56786143		11.433	11.594	12.951	12.955	1.439
ILMN_21136	NM_014411.2	NAG8	77404393		7.232	6.991	8.316	8.783	1.438
ILMN_79861	Hs.162734	0	2276759		6.508	6.508	7.830	8.055	1.434
ILMN_11198	NM_005953.2	MT2A	31543214		13.935	13.691	15.221	15.263	1.429
ILMN_25046	NM_006479.2	RAD51AP1	19923778		5.463	5.888	7.066	7.141	1.428
ILMN_20154	NM_018728.1	MYO5C	9055283		8.291	7.854	9.523	9.466	1.422
ILMN_138827	NM_145810.1	CDCA7	22027513	Yes	7.436	7.393	8.885	8.779	1.418
ILMN_20107	NM_006739.2	MCM5	23510447		5.890	5.928	7.176	7.477	1.417
ILMN_95224	Hs.473191	0	21750193		7.355	7.324	8.722	8.766	1.405
ILMN_22327	NM_033412.1	MCART1	15529971		12.615	12.944	14.243	14.121	1.403
ILMN_21027	NM_015651.1	PHF19	58331160		6.772	6.533	8.102	7.954	1.375
ILMN_12005	NM_013282.2	UHRF1	16507203		7.110	6.997	8.645	8.183	1.361
ILMN_1733	NM_198457.1	ZNF600	39930584		6.592	6.490	7.892	7.894	1.351
ILMN_25969	NM_006845.2	KIF2C	13699832	Yes	5.763	5.456	7.094	6.810	1.342
ILMN_14281	NM_016359.2	NUSAP1	59710089	Yes	7.704	7.807	9.139	9.051	1.339
ILMN_12202	NM_020127.1	TUFT1	9910595		7.420	7.354	8.613	8.816	1.327
ILMN_5047	NM_152308.1	MGC24665	24308244		6.079	6.096	7.319	7.500	1.322
ILMN_16427	NM_001237.2	CCNA2	16950653	Yes	6.477	6.651	7.736	8.036	1.322
ILMN_17477	NM_032199.1	ARID5B	74136548		8.807	8.595	9.904	10.132	1.317
ILMN_18194	NM_021805.1	SIGIRR	11141876		6.154	6.064	7.453	7.341	1.288
ILMN_21987	NR_001568.1	BCYRN1	34850482		9.587	9.520	10.871	10.809	1.287
ILMN_6355	NM_001010915.1	PTPLAD2	58219057		9.790	10.076	11.178	11.249	1.280
ILMN_6890	NM_021034.1	IFITM3	11995467		12.872	12.732	14.039	14.112	1.274
ILMN_20682	NM_004482.2	GALNT3	9945386		6.947	6.969	8.191	8.260	1.267
ILMN_6588	NM_001613.1	ACTA2	4501882		8.957	9.148	10.216	10.380	1.245
ILMN_1091	NM_024581.3	C6orf60	40255142		5.797	6.049	7.165	7.143	1.231
ILMN_10210	NM_030666.2	SERPINB1	20149554		8.976	8.964	10.174	10.226	1.229
ILMN_37765	XM_379668.3	LOC286208	89029959		7.301	7.257	8.543	8.462	1.223
ILMN_7673	NM_024298.2	LENG4	23308571		8.149	8.092	9.340	9.293	1.196
ILMN_12918	NM_022308.1	ICA1	12545396		9.005	9.006	10.204	10.200	1.196
ILMN_26916	NM_004292.2	RIN1	68989255		8.743	8.745	7.574	7.626	-1.144
ILMN_19302	NM_032823.3	C9orf3	24432057		8.423	8.535	7.311	7.313	-1.167
ILMN_22366	NM_024617.2	ZCCHC6	58331271		11.512	11.524	10.403	10.279	-1.177
ILMN_7864	NM_016525.3	UBAP1	22212941		10.120	9.984	8.809	8.839	-1.228
ILMN_9696	NM_014872.1	ZBTB5	7662073		7.985	8.136	6.645	6.955	-1.260
ILMN_5444	NM_006285.2	TESK1	66932998		8.705	8.709	7.468	7.401	-1.273
ILMN_71954	Hs.25318	0	4406612		9.975	9.822	8.562	8.630	-1.302
ILMN_6140	NM_174921.1	LOC201895	28372538		10.256	10.467	8.902	9.138	-1.342
ILMN_12831	NM_024302.3	MMP28	73808269		7.725	7.603	6.468	6.168	-1.346
ILMN_13962	NM_001752.2	CAT	60302919		10.147	10.092	8.744	8.802	-1.347
ILMN_25965	NM_002202.1	ISL1	4504736		7.464	7.408	5.986	6.154	-1.366
ILMN_28002	NM_181353.1	ID1	31317296		11.104	11.119	9.866	9.606	-1.375
ILMN_71591	Hs.19339	0	34191392		9.050	9.362	7.756	7.901	-1.377
ILMN_25748	NM_004432.1	ELAVL2	4758261		6.796	7.146	5.652	5.482	-1.403
ILMN_87528	Hs.363156	0	18204365		7.867	8.105	6.289	6.682	-1.500
ILMN_7334	NM_152574.1	C9orf52	22749190		8.734	8.928	7.296	7.329	-1.518
ILMN_10998	NM_014899.2	RHOBTB3	41281538		9.363	9.379	7.670	7.926	-1.573
ILMN_28967	NM_001540.2	HSPB1	4996892		15.340	15.213	13.665	13.742	-1.573
ILMN_29543	NM_022165.2	LIN7B	56676320		7.506	7.491	5.670	6.075	-1.626
ILMN_19881	NM_014214.1	IMPA2	7657235		11.886	11.636	10.041	10.189	-1.646
ILMN_15434	NM_012464.3	TLL1	22547220		7.141	7.258	5.629	5.453	-1.658
ILMN_13399	NM_001032278.1	MMP28	73808270		9.191	9.401	7.563	7.657	-1.686
ILMN_28493	NM_023944.1	CYP4F12	13184045		8.332	7.791	6.306	6.320	-1.749
ILMN_491	NM_021945.4	C6orf85	48526515		9.805	10.136	8.218	8.188	-1.768
ILMN_12568	NM_013281.2	FLRT3	38202220		11.298	11.262	9.412	9.611	-1.769
ILMN_19665	NM_198061.1	CES2	37622886		12.511	12.583	10.726	10.811	-1.778
ILMN_20221	NM_000896.1	CYP4F3	4503240		9.989	9.289	7.637	8.071	-1.785
ILMN_14614	NM_000104.2	CYP1B1	13325059		9.757	9.954	7.779	8.316	-1.808
ILMN_16111	NM_023938.4	C1orf116	56550121		10.183	10.415	8.503	8.460	-1.818
ILMN_8954	NM_001072.2	UGT1A6	45827764		7.604	7.731	5.698	5.975	-1.831
ILMN_13999	NM_001018109.1	PIR	66363696		11.156	10.976	9.006	9.424	-1.851
ILMN_18558	NM_001512.2	GSTA4	23065568		11.286	11.093	9.141	9.476	-1.881
ILMN_26717	NM_006308.1	HSPB3	5453687		6.670	7.335	5.450	4.787	-1.884
ILMN_17286	NM_002304.1	LFNG	58696421		7.679	7.992	6.198	5.600	-1.936
ILMN_3066	NM_000599.2	IGFBP5	46094066		7.516	7.814	5.907	5.536	-1.944
ILMN_22744	NM_004925.3	AQP3	22165421		8.002	7.766	5.865	5.963	-1.969
ILMN_26240	NM_001257.3	CDH13	61676095		9.924	9.931	7.832	8.061	-1.981
ILMN_9965	NM_033260.2	FOXQ1	32526906		9.762	10.181	7.942	7.937	-2.032
ILMN_11871	NM_003739.4	AKR1C3	24497582		13.929	13.528	11.627	11.708	-2.061
ILMN_15343	NM_153034.2	ZNF488	40255102		8.810	9.439	6.988	7.102	-2.080
ILMN_15188	NM_014689.1	DOCK10	58037090		7.811	7.347	5.178	5.807	-2.086
ILMN_22014	NM_001001548.1	CD36	48375179		7.526	7.709	5.133	5.860	-2.121
ILMN_6390	NM_000691.3	ALDH3A1	22907048		12.978	12.009	10.311	10.379	-2.148
ILMN_26004	NM_213600.2	PLA2G4F	67972428		7.237	7.156	5.463	4.632	-2.149
ILMN_6829	NM_002167.2	ID3	32171181		11.670	11.948	9.546	9.686	-2.193
ILMN_6827	NM_001885.1	CRYAB	4503056		8.985	9.125	6.820	6.758	-2.266
ILMN_139156	NM_001001669.1	FLJ41603	48717281		9.598	10.022	7.669	7.382	-2.285
ILMN_92725	Hs.444329	0	34365191		10.075	9.594	7.348	7.739	-2.291
ILMN_1890	NM_000421.2	KRT10	40354191		12.224	13.005	10.177	10.301	-2.375
ILMN_15305	NM_006456.1	ST6GALNAC2	5454091		9.604	10.207	7.223	7.524	-2.532
ILMN_20483	NM_001005340.1	GPNMB	52694751		9.470	11.604	7.834	8.150	-2.545
ILMN_23211	NM_002612.2	PDK4	33589822		10.919	10.492	8.033	8.265	-2.556
ILMN_10249	NM_205862.1	UGT1A6	45827766		8.645	8.804	5.807	6.458	-2.592
ILMN_796	NM_001218.3	CA12	45935381		11.675	11.715	9.061	9.047	-2.641
ILMN_11770	NM_005309.1	GPT	4885350		6.582	6.343	3.848	3.263	-2.907
ILMN_33314	XM_927593.1	ATP10B	88986422		8.347	9.330	6.178	5.591	-2.954
ILMN_28481	NM_002166.4	ID2	33946335		9.044	9.557	6.094	6.564	-2.972
ILMN_30616	XM_940680.1	LOC648517	89061897		12.827	12.382	9.410	9.443	-3.178
ILMN_11333	NM_014907.1	FRMPD1	7662415		6.933	6.604	2.459	4.555	-3.262
