rank	accession	p-value	gene description
11	220451_s_at	0	gb:NM_022161.1 /DEF=Homo sapiens livin inhibitor-of-apotosis (LIVIN), mRNA. /FEA=mRNA /GEN=LIVIN /PROD=livin inhibitor-of-apotosis /DB_XREF=gi:11545909 /UG=Hs.256126 baculoviral IAP repeat-containing 7 (livin) /FL=gb:AF311388.1 gb:NM_022161.1
12	37986_at	0	Cluster Incl. M60459:Human erythropoietin receptor mRNA, complete cds /cds=(105,1631) /gb=M60459 /gi=182244 /ug=Hs.89548 /len=1818
13	204750_s_at	0	Consensus includes gb:BF196457 /FEA=EST /DB_XREF=gi:11084425 /DB_XREF=est:hr86d10.x1 /CLONE=IMAGE:3135379 /UG=Hs.239727 desmocollin 2 /FL=gb:NM_004949.1
14	205412_at	0	gb:NM_000019.1 /DEF=Homo sapiens acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase) (ACAT1), nuclear gene encoding mitochondrial protein, mRNA.  /FEA=mRNA /GEN=ACAT1 /PROD=acetyl-Coenzyme A acetyltransferase 1 precursor /DB_XREF=gi:4557236 /UG=Hs.37 acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase) /FL=gb:NM_000019.1
15	203335_at	0	gb:NM_006214.1 /DEF=Homo sapiens phytanoyl-CoA hydroxylase (Refsum disease) (PHYH), mRNA.  /FEA=mRNA /GEN=PHYH /PROD=phytanoyl-CoA hydroxylase (Refsum disease) /DB_XREF=gi:5453883 /UG=Hs.172887 phytanoyl-CoA hydroxylase (Refsum disease) /FL=gb:AF023462.1 gb:AF112977.1 gb:NM_006214.1
16	209695_at	0	gb:BC003105.1 /DEF=Homo sapiens, Similar to protein tyrosine phosphatase type IVA, member 3, clone MGC:1950, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to protein tyrosine phosphatase typeIVA, member 3 /DB_XREF=gi:13111874 /UG=Hs.43666 protein tyrosine phosphatase type IVA, member 3 /FL=gb:BC003105.1
17	35820_at	0	Cluster Incl. X62078:H.sapiens mRNA for GM2 activator protein /cds=UNKNOWN /gb=X62078 /gi=313158 /ug=Hs.69743 /len=2436
18	203910_at	0	gb:NM_004815.1 /DEF=Homo sapiens PTPL1-associated RhoGAP 1 (PARG1), mRNA. /FEA=mRNA /GEN=PARG1 /PROD=PTPL1-associated RhoGAP 1 /DB_XREF=gi:4758881 /UG=Hs.70983 PTPL1-associated RhoGAP 1 /FL=gb:U90920.1 gb:NM_004815.1
19	205862_at	0	gb:NM_014668.1 /DEF=Homo sapiens KIAA0575 gene product (KIAA0575), mRNA. /FEA=mRNA /GEN=KIAA0575 /PROD=KIAA0575 gene product /DB_XREF=gi:7662187 /UG=Hs.193914 KIAA0575 gene product /FL=gb:AB011147.1 gb:NM_014668.1
20	206231_at	0	gb:NM_002248.2 /DEF=Homo sapiens potassium intermediatesmall conductance calcium-activated channel, subfamily N, member 1 (KCNN1), mRNA.  /FEA=mRNA /GEN=KCNN1 /PROD=potassium intermediatesmall conductancecalcium-activated channel, subfamily N, member 1 /DB_XREF=gi:6631091 /UG=Hs.158173 potassium intermediatesmall conductance calcium-activated channel, subfamily N, member 1 /FL=gb:U69883.2 gb:NM_002248.2
21	210427_x_at	0	gb:BC001388.1 /DEF=Homo sapiens, annexin A2, clone MGC:2257, mRNA, complete cds. /FEA=mRNA /PROD=annexin A2 /DB_XREF=gi:12655074 /UG=Hs.217493 annexin A2 /FL=gb:BC001388.1
22	207786_at	0	gb:NM_024514.1 /DEF=Homo sapiens hypothetical protein MGC4663 (MGC4663), mRNA. /FEA=mRNA /GEN=MGC4663 /PROD=hypothetical protein MGC4663 /DB_XREF=gi:13375649 /UG=Hs.326555 hypothetical protein MGC4663 /FL=gb:BC003642.1 gb:NM_024514.1
23	209485_s_at	0	Consensus includes gb:W19983 /FEA=EST /DB_XREF=gi:1295853 /DB_XREF=est:zb38d10.r1 /CLONE=IMAGE:305875 /UG=Hs.252716 Homo sapiens oxysterol-binding protein-related protein (ORP1) mRNA, complete cds /FL=gb:AF274714.1
24	217118_s_at	0	Consensus includes gb:AK025608.1 /DEF=Homo sapiens cDNA: FLJ21955 fis, clone HEP05265. /FEA=mRNA /DB_XREF=gi:10438177 /UG=Hs.13255 KIAA0930 protein
25	212158_at	0	Consensus includes gb:AL577322 /FEA=EST /DB_XREF=gi:12940338 /DB_XREF=est:AL577322 /CLONE=CS0DI085YI06 (3 prime) /UG=Hs.1501 syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)
26	203431_s_at	0	gb:NM_014715.1 /DEF=Homo sapiens KIAA0712 gene product (KIAA0712), mRNA. /FEA=mRNA /GEN=KIAA0712 /PROD=KIAA0712 gene product /DB_XREF=gi:7662261 /UG=Hs.111138 KIAA0712 gene product /FL=gb:AB018255.1 gb:NM_014715.1
27	218267_at	0	gb:NM_016550.1 /DEF=Homo sapiens from HeLa cyclin-dependent kinase 2 interacting protein (CINP), mRNA.  /FEA=mRNA /GEN=CINP /PROD=from HeLa cyclin-dependent kinase 2 interactingprotein /DB_XREF=gi:7705325 /UG=Hs.38205 from HeLa cyclin-dependent kinase 2 interacting protein /FL=gb:BC000600.1 gb:AF228148.1 gb:AF228149.1 gb:NM_016550.1
28	44790_s_at	0	Cluster Incl. AI129310:qc48a05.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1712816 /clone_end=3  /gb=AI129310 /gi=3597824 /ug=Hs.234923 /len=811
29	210153_s_at	0	gb:M55905.1 /DEF=Human mitochondrial NAD(P)+ dependent malic enzyme mRNA, complete cds.  /FEA=mRNA /GEN=NAD(P)+ -dependent malic enzyme /PROD=mitochondrial NAD(P)+ -dependent malic enzyme /DB_XREF=gi:187299 /UG=Hs.75342 malic enzyme 2, NAD(+)-dependent, mitochondrial /FL=gb:NM_002396.2 gb:M55905.1
30	216222_s_at	0	Consensus includes gb:AI561354 /FEA=EST /DB_XREF=gi:4511695 /DB_XREF=est:tq48e02.x1 /CLONE=IMAGE:2212058 /UG=Hs.61638 myosin X
31	201910_at	0	Consensus includes gb:BF213279 /FEA=EST /DB_XREF=gi:11106865 /DB_XREF=est:601844779F1 /CLONE=IMAGE:4070203 /UG=Hs.183738 FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived) /FL=gb:AB008430.1 gb:NM_005766.1
32	203300_x_at	0	gb:NM_003916.1 /DEF=Homo sapiens adaptor-related protein complex 1, sigma 2 subunit (AP1S2), mRNA.  /FEA=mRNA /GEN=AP1S2 /PROD=adaptor-related protein complex 1, sigma 2subunit /DB_XREF=gi:4506956 /UG=Hs.40368 adaptor-related protein complex 1, sigma 2 subunit /FL=gb:AF251295.1 gb:BC001117.1 gb:AB015320.1 gb:NM_003916.1
33	213503_x_at	0	Consensus includes gb:BE908217 /FEA=EST /DB_XREF=gi:10402569 /DB_XREF=est:601500477F1 /CLONE=IMAGE:3902323 /UG=Hs.217493 annexin A2
34	204160_s_at	0	Consensus includes gb:AW194947 /FEA=EST /DB_XREF=gi:6473915 /DB_XREF=est:xn32e06.x1 /CLONE=IMAGE:2695426 /UG=Hs.54037 ectonucleotide pyrophosphatasephosphodiesterase 4 (putative function) /FL=gb:AB020686.1 gb:NM_014936.1
35	219753_at	0	gb:NM_012447.1 /DEF=Homo sapiens stromal antigen 3 (STAG3), mRNA. /FEA=mRNA /GEN=STAG3 /PROD=stromal antigen 3 /DB_XREF=gi:6912685 /UG=Hs.20132 stromal antigen 3 /FL=gb:NM_012447.1
36	218625_at	0	gb:NM_016588.1 /DEF=Homo sapiens neuritin (LOC51299), mRNA. /FEA=mRNA /GEN=LOC51299 /PROD=neuritin /DB_XREF=gi:7706122 /UG=Hs.103291 neuritin /FL=gb:BC002683.1 gb:AF136631.1 gb:NM_016588.1
37	212770_at	0	Consensus includes gb:AW873621 /FEA=EST /DB_XREF=gi:8007674 /DB_XREF=est:ho64d03.x1 /CLONE=IMAGE:3042149 /UG=Hs.31305 KIAA1547 protein
38	219471_at	0	gb:NM_025113.1 /DEF=Homo sapiens hypothetical protein FLJ21562 (FLJ21562), mRNA. /FEA=mRNA /GEN=FLJ21562 /PROD=hypothetical protein FLJ21562 /DB_XREF=gi:13376686 /UG=Hs.288708 hypothetical protein FLJ21562 /FL=gb:NM_025113.1
39	205006_s_at	0	gb:NM_004808.1 /DEF=Homo sapiens N-myristoyltransferase 2 (NMT2), mRNA. /FEA=mRNA /GEN=NMT2 /PROD=glycylpeptide N-tetradecanoyltransferase 2 /DB_XREF=gi:4758815 /UG=Hs.122647 N-myristoyltransferase 2 /FL=gb:AF043325.1 gb:NM_004808.1
40	203474_at	0	gb:NM_006633.1 /DEF=Homo sapiens IQ motif containing GTPase activating protein 2 (IQGAP2), mRNA.  /FEA=mRNA /GEN=IQGAP2 /PROD=IQ motif containing GTPase activating protein 2 /DB_XREF=gi:5729886 /UG=Hs.78993 IQ motif containing GTPase activating protein 2 /FL=gb:U51903.1 gb:NM_006633.1
41	205005_s_at	0	Consensus includes gb:AW293531 /FEA=EST /DB_XREF=gi:6700167 /DB_XREF=est:UI-H-BI2-ahq-d-03-0-UI.s1 /CLONE=IMAGE:2727604 /UG=Hs.122647 N-myristoyltransferase 2 /FL=gb:AF043325.1 gb:NM_004808.1
42	204615_x_at	0	gb:NM_004508.1 /DEF=Homo sapiens isopentenyl-diphosphate delta isomerase (IDI1), mRNA. /FEA=mRNA /GEN=IDI1 /PROD=isopentenyl-diphosphate delta isomerase /DB_XREF=gi:4758583 /UG=Hs.76038 isopentenyl-diphosphate delta isomerase /FL=gb:NM_004508.1
43	201590_x_at	0	gb:NM_004039.1 /DEF=Homo sapiens annexin A2 (ANXA2), mRNA. /FEA=mRNA /GEN=ANXA2 /PROD=annexin A2 /DB_XREF=gi:4757755 /UG=Hs.217493 annexin A2 /FL=gb:BC001748.1 gb:D00017.1 gb:NM_004039.1
44	210024_s_at	0	gb:AB017644.1 /DEF=Homo sapiens mRNA for ubiquitin-conjugating enzyme E2, complete cds.  /FEA=mRNA /GEN=UbcH9 /PROD=ubiquitin-conjugating enzyme E2 /DB_XREF=gi:4586929 /UG=Hs.4890 ubiquitin-conjugating enzyme E2E 3 (homologous to yeast UBC45) /FL=gb:BC003554.1 gb:AB017644.1 gb:AF085362.1 gb:NM_006357.1
45	203925_at	0	gb:NM_002061.1 /DEF=Homo sapiens glutamate-cysteine ligase, modifier subunit (GCLM), mRNA.  /FEA=mRNA /GEN=GCLM /PROD=glutamate-cysteine ligase regulatory protein /DB_XREF=gi:4504010 /UG=Hs.89709 glutamate-cysteine ligase, modifier subunit /FL=gb:NM_002061.1 gb:L35546.1
46	203184_at	0	gb:NM_001999.2 /DEF=Homo sapiens fibrillin 2 (congenital contractural arachnodactyly) (FBN2), mRNA.  /FEA=mRNA /GEN=FBN2 /PROD=fibrillin 2 /DB_XREF=gi:4755135 /UG=Hs.79432 fibrillin 2 (congenital contractural arachnodactyly) /FL=gb:U03272.1 gb:NM_001999.2
47	206032_at	0	Consensus includes gb:AI797281 /FEA=EST /DB_XREF=gi:5362753 /DB_XREF=est:we86g02.x1 /CLONE=IMAGE:2348018 /UG=Hs.41690 desmocollin 3 /FL=gb:NM_001941.2
48	211794_at	0	gb:AF198052.1 /DEF=Homo sapiens EVH1 domain binding protein mRNA, complete cds. /FEA=CDS /PROD=EVH1 domain binding protein /DB_XREF=gi:7416992 /UG=Hs.58435 FYN-binding protein (FYB-120130) /FL=gb:AF198052.1
49	220227_at	0	gb:NM_024883.1 /DEF=Homo sapiens hypothetical protein FLJ22202 (FLJ22202), mRNA. /FEA=mRNA /GEN=FLJ22202 /PROD=hypothetical protein FLJ22202 /DB_XREF=gi:13376328 /UG=Hs.217754 hypothetical protein FLJ22202 /FL=gb:NM_024883.1
50	203710_at	0	gb:NM_002222.1 /DEF=Homo sapiens inositol 1,4,5-triphosphate receptor, type 1 (ITPR1), mRNA.  /FEA=mRNA /GEN=ITPR1 /PROD=inositol 1,4,5-triphosphate receptor, type 1 /DB_XREF=gi:10835022 /UG=Hs.198443 inositol 1,4,5-triphosphate receptor, type 1 /FL=gb:NM_002222.1 gb:D26070.1
51	212956_at	0	Consensus includes gb:AI348094 /FEA=EST /DB_XREF=gi:4085300 /DB_XREF=est:qp61g12.x1 /CLONE=IMAGE:1927558 /UG=Hs.90419 KIAA0882 protein
52	213714_at	0.001	Consensus includes gb:AI040163 /FEA=EST /DB_XREF=gi:3279357 /DB_XREF=est:ox42c02.s1 /CLONE=IMAGE:1658978 /UG=Hs.30941 calcium channel, voltage-dependent, beta 2 subunit /FL=gb:AF137376.1
53	208002_s_at	0.001	gb:NM_007274.1 /DEF=Homo sapiens cytosolic acyl coenzyme A thioester hydrolase (HBACH), mRNA.  /FEA=mRNA /GEN=HBACH /PROD=cytosolic acyl coenzyme A thioester hydrolase /DB_XREF=gi:6857796 /UG=Hs.8679 cytosolic acyl coenzyme A thioester hydrolase /FL=gb:U91316.1 gb:NM_007274.1
54	208886_at	0.001	gb:BC000145.1 /DEF=Homo sapiens, H1 histone family, member 0, clone MGC:5241, mRNA, complete cds.  /FEA=mRNA /PROD=H1 histone family, member 0 /DB_XREF=gi:12652786 /UG=Hs.226117 H1 histone family, member 0 /FL=gb:BC000145.1 gb:NM_005318.1
55	208407_s_at	0.001	gb:NM_001331.1 /DEF=Homo sapiens catenin (cadherin-associated protein), delta 1 (CTNND1), mRNA.  /FEA=mRNA /GEN=CTNND1 /PROD=catenin (cadherin-associated protein), delta 1 /DB_XREF=gi:10835009 /UG=Hs.166011 catenin (cadherin-associated protein), delta 1 /FL=gb:NM_001331.1 gb:AF062317.1
56	208816_x_at	0.001	gb:M62898.1 /DEF=Human lipocortin (LIP) 2 pseudogene mRNA, complete cds-like region. /FEA=mRNA /DB_XREF=gi:187147 /UG=Hs.217493 annexin A2 /FL=gb:M62898.1
57	203035_s_at	0.001	gb:NM_006099.1 /DEF=Homo sapiens protein inhibitor of activated STAT3 (PIAS3), mRNA. /FEA=mRNA /GEN=PIAS3 /PROD=protein inhibitor of activated STAT3 /DB_XREF=gi:5174628 /UG=Hs.76578 protein inhibitor of activated STAT3 /FL=gb:BC001154.1 gb:AB021868.1 gb:NM_006099.1
58	204915_s_at	0.001	gb:AB028641.1 /DEF=Homo sapiens mRNA for SOX11, complete cds. /FEA=mRNA /GEN=sox11 /PROD=SOX11 /DB_XREF=gi:6527111 /UG=Hs.32964 SRY (sex determining region Y)-box 11 /FL=gb:NM_003108.1 gb:AB028641.1 gb:U23752.1
59	206324_s_at	0.001	gb:NM_014326.1 /DEF=Homo sapiens death-associated protein kinase 2 (DAPK2), mRNA. /FEA=mRNA /GEN=DAPK2 /PROD=death-associated protein kinase 2 /DB_XREF=gi:7657004 /UG=Hs.129208 death-associated protein kinase 2 /FL=gb:AF052941.1 gb:AB018001.1 gb:NM_014326.1
60	208881_x_at	0.001	gb:BC005247.1 /DEF=Homo sapiens, isopentenyl-diphosphate delta isomerase, clone MGC:12281, mRNA, complete cds.  /FEA=mRNA /PROD=isopentenyl-diphosphate delta isomerase /DB_XREF=gi:13528899 /UG=Hs.76038 isopentenyl-diphosphate delta isomerase /FL=gb:BC005247.1
61	218804_at	0.001	gb:NM_018043.1 /DEF=Homo sapiens hypothetical protein FLJ10261 (FLJ10261), mRNA. /FEA=mRNA /GEN=FLJ10261 /PROD=hypothetical protein FLJ10261 /DB_XREF=gi:8922319 /UG=Hs.26176 hypothetical protein FLJ10261 /FL=gb:NM_018043.1
62	213792_s_at	0.001	Consensus includes gb:AA485908 /FEA=EST /DB_XREF=gi:2216132 /DB_XREF=est:ab38g07.s1 /CLONE=IMAGE:843132 /UG=Hs.89695 insulin receptor
63	214743_at	0.001	Consensus includes gb:BE046521 /FEA=EST /DB_XREF=gi:8363574 /DB_XREF=est:hn48g06.x2 /CLONE=IMAGE:3026938 /UG=Hs.147049 cut (Drosophila)-like 1 (CCAAT displacement protein)
64	219954_s_at	0.001	gb:NM_020973.1 /DEF=Homo sapiens cytosolic beta-glucosidase (GLUC), mRNA. /FEA=mRNA /GEN=GLUC /PROD=cytosolic beta-glucosidase /DB_XREF=gi:13273312 /UG=Hs.146182 cytosolic beta-glucosidase /FL=gb:AB017913.1 gb:AF317840.1 gb:NM_020973.1
65	213423_x_at	0.001	Consensus includes gb:AI884858 /FEA=EST /DB_XREF=gi:5590022 /DB_XREF=est:wl85f06.x1 /CLONE=IMAGE:2431715 /UG=Hs.71119 Putative prostate cancer tumor suppressor
66	212954_at	0.001	Consensus includes gb:AF263541.1 /DEF=Homo sapiens protein kinase DYRK4 (DYRK4) mRNA, partial cds. /FEA=mRNA /GEN=DYRK4 /PROD=protein kinase DYRK4 /DB_XREF=gi:9652079 /UG=Hs.17154 dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
67	204417_at	0.001	gb:NM_000153.1 /DEF=Homo sapiens galactosylceramidase (Krabbe disease) (GALC), mRNA. /FEA=mRNA /GEN=GALC /PROD=galactosylceramidase precursor /DB_XREF=gi:4557612 /UG=Hs.273 galactosylceramidase (Krabbe disease) /FL=gb:L23116.1 gb:NM_000153.1 gb:D25283.1
68	213947_s_at	0.001	Consensus includes gb:AI867102 /FEA=EST /DB_XREF=gi:5540136 /DB_XREF=est:wd99b10.x1 /CLONE=IMAGE:2339707 /UG=Hs.56966 KIAA0906 protein
69	203769_s_at	0.001	gb:NM_000351.2 /DEF=Homo sapiens steroid sulfatase (microsomal), arylsulfatase C, isozyme S (STS), mRNA.  /FEA=mRNA /GEN=STS /PROD=steroid sulfatase (microsomal), arylsulfatase C,isozyme S /DB_XREF=gi:13162281 /UG=Hs.79876 steroid sulfatase (microsomal), arylsulfatase C, isozyme S /FL=gb:NM_000351.2 gb:M16505.1 gb:J04964.1
70	212045_at	0.001	Consensus includes gb:N32761 /FEA=EST /DB_XREF=gi:1153160 /DB_XREF=est:yw91b08.s1 /CLONE=IMAGE:259575 /UG=Hs.78979 Golgi apparatus protein 1
71	219866_at	0.001	gb:NM_016929.1 /DEF=Homo sapiens chloride intracellular channel 5 (CLIC5), mRNA. /FEA=mRNA /GEN=CLIC5 /PROD=chloride intracellular channel 5 /DB_XREF=gi:8393146 /UG=Hs.283021 chloride intracellular channel 5 /FL=gb:AF216941.1 gb:NM_016929.1
72	201991_s_at	0.001	Consensus includes gb:BF223224 /FEA=EST /DB_XREF=gi:11130401 /DB_XREF=est:7q30g05.x1 /CLONE=IMAGE:3700017 /UG=Hs.149436 kinesin family member 5B /FL=gb:NM_004521.1
73	214004_s_at	0.001	Consensus includes gb:AI806207 /FEA=EST /DB_XREF=gi:5392773 /DB_XREF=est:wf26d03.x1 /CLONE=IMAGE:2356709 /UG=Hs.79025 KIAA0096 protein
74	222256_s_at	0.001	Consensus includes gb:AK000550.1 /DEF=Homo sapiens cDNA FLJ20543 fis, clone KAT11396, highly similar to AF065215 Homo sapiens cytosolic phospholipase A2 beta.  /FEA=mRNA /DB_XREF=gi:7020720 /UG=Hs.198161 phospholipase A2, group IVB (cytosolic)
75	201587_s_at	0.001	gb:NM_001569.2 /DEF=Homo sapiens interleukin-1 receptor-associated kinase 1 (IRAK1), mRNA.  /FEA=mRNA /GEN=IRAK1 /PROD=interleukin-1 receptor-associated kinase 1 /DB_XREF=gi:4755143 /UG=Hs.182018 interleukin-1 receptor-associated kinase 1 /FL=gb:L76191.1 gb:NM_001569.2
76	207666_x_at	0.001	gb:NM_021014.1 /DEF=Homo sapiens synovial sarcoma, X breakpoint 3 (SSX3), mRNA. /FEA=mRNA /GEN=SSX3 /PROD=synovial sarcoma, X breakpoint 3 /DB_XREF=gi:10337600 /UG=Hs.178749 synovial sarcoma, X breakpoint 3 /FL=gb:NM_021014.1 gb:U90840.1
77	218152_at	0.001	gb:NM_018200.1 /DEF=Homo sapiens high-mobility group 20A (HMG20A), mRNA. /FEA=mRNA /GEN=HMG20A /PROD=high-mobility group 20A /DB_XREF=gi:8922632 /UG=Hs.69594 high-mobility group 20A /FL=gb:AF146222.1 gb:NM_018200.1
78	212083_at	0.001	Consensus includes gb:BG170659 /FEA=EST /DB_XREF=gi:12677362 /DB_XREF=est:602323531F1 /CLONE=IMAGE:4426926 /UG=Hs.226138 Homo sapiens mRNA; cDNA DKFZp566H2446 (from clone DKFZp566H2446)
79	204161_s_at	0.002	gb:NM_014936.1 /DEF=Homo sapiens ectonucleotide pyrophosphatasephosphodiesterase 4 (putative function) (ENPP4), mRNA.  /FEA=mRNA /GEN=ENPP4 /PROD=ectonucleotide pyrophosphatasephosphodiesterase4 (putative function) /DB_XREF=gi:7662357 /UG=Hs.54037 ectonucleotide pyrophosphatasephosphodiesterase 4 (putative function) /FL=gb:AB020686.1 gb:NM_014936.1
80	212038_s_at	0.002	Consensus includes gb:AL515918 /FEA=EST /DB_XREF=gi:12779411 /DB_XREF=est:AL515918 /CLONE=CS0DA001YJ18 (3 prime) /UG=Hs.149155 voltage-dependent anion channel 1
81	216250_s_at	0.002	Consensus includes gb:X77598.1 /DEF=H.sapiens LAM A3 mRNA for laminin alpha 3 chain. /FEA=mRNA /DB_XREF=gi:9716101 /UG=Hs.83450 laminin, alpha 3 (nicein (150kD), kalinin (165kD), BM600 (150kD), epilegrin)
82	210059_s_at	0.002	gb:BC000433.1 /DEF=Homo sapiens, mitogen-activated protein kinase 13, clone MGC:8364, mRNA, complete cds.  /FEA=mRNA /PROD=mitogen-activated protein kinase 13 /DB_XREF=gi:12653328 /UG=Hs.178695 mitogen-activated protein kinase 13 /FL=gb:BC000433.1 gb:BC001641.1 gb:BC004428.1 gb:AF004709.1 gb:AF015256.1 gb:U93232.1 gb:NM_002754.1 gb:AF092535.1 gb:AF100546.1
83	217848_s_at	0.002	gb:NM_021129.1 /DEF=Homo sapiens pyrophosphatase (inorganic) (PP), nuclear gene encoding mitochondrial protein, mRNA.  /FEA=mRNA /GEN=PP /PROD=pyrophosphatase (inorganic) /DB_XREF=gi:11056043 /UG=Hs.184011 pyrophosphatase (inorganic) /FL=gb:NM_021129.1 gb:AF217186.1 gb:BC001022.1 gb:AF154065.1 gb:AB026723.1 gb:AF119665.1
84	209962_at	0.002	gb:M34986.1 /DEF=Human erythropoietin receptor mRNA, complete cds. /FEA=mRNA /GEN=EPOR /DB_XREF=gi:182200 /UG=Hs.89548 erythropoietin receptor /FL=gb:M34986.1 gb:M60459.1 gb:NM_000121.2
85	211323_s_at	0.002	gb:L38019.1 /DEF=Homo sapiens (clone HUM-IP3R1) inositol 1,4,5-trisphosphate receptor type 1 mRNA, complete cds.  /FEA=mRNA /GEN=ITPR1 /PROD=inositol 1,4,5-trisphosphate receptor type 1 /DB_XREF=gi:1464750 /UG=Hs.198443 inositol 1,4,5-triphosphate receptor, type 1 /FL=gb:L38019.1
86	212684_at	0.002	Consensus includes gb:AI752257 /FEA=EST /DB_XREF=gi:5130521 /DB_XREF=est:cn14f02.x1 /CLONE=NHTBC_cn14f02 (random) /UG=Hs.155470 zinc finger protein 38 (KOX 25)
87	203401_at	0.002	gb:NM_002765.1 /DEF=Homo sapiens phosphoribosyl pyrophosphate synthetase 2 (PRPS2), mRNA.  /FEA=mRNA /GEN=PRPS2 /PROD=phosphoribosyl pyrophosphate synthetase 2 /DB_XREF=gi:4506128 /UG=Hs.2910 phosphoribosyl pyrophosphate synthetase 2 /FL=gb:NM_002765.1
88	201487_at	0.002	gb:NM_001814.1 /DEF=Homo sapiens cathepsin C (CTSC), mRNA. /FEA=mRNA /GEN=CTSC /PROD=cathepsin C /DB_XREF=gi:4503140 /UG=Hs.10029 cathepsin C /FL=gb:NM_001814.1
89	209397_at	0.002	gb:BC000147.1 /DEF=Homo sapiens, Similar to malic enzyme 2, NAD(+)-dependent, mitochondrial, clone MGC:5187, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to malic enzyme 2, NAD(+)-dependent,mitochondrial /DB_XREF=gi:12652790 /UG=Hs.75342 malic enzyme 2, NAD(+)-dependent, mitochondrial /FL=gb:BC000147.1
90	200878_at	0.002	Consensus includes gb:AF052094.1 /DEF=Homo sapiens clone 23698 mRNA sequence. /FEA=mRNA /DB_XREF=gi:3360400 /UG=Hs.8136 endothelial PAS domain protein 1 /FL=gb:U51626.1 gb:U81984.1 gb:NM_001430.1
91	201989_s_at	0.002	Consensus includes gb:AL529409 /FEA=EST /DB_XREF=gi:12792902 /DB_XREF=est:AL529409 /CLONE=CS0DD006YM17 (3 prime) /UG=Hs.13313 cAMP responsive element binding protein-like 2 /FL=gb:AF039081.1 gb:NM_001310.1
