rank	accession	p-value	gene description
11	200099_s_at	0.026	Consensus includes gb:AL356115 /DEF=Human DNA sequence from clone RP11-486O22 on chromosome 10 Contains the 3part of a gene for KIAA1128 protein, a novel pseudogene, a gene for protein similar to RPS3A (ribosomal protein S3A), ESTs, STSs, GSSs and CpG islands /FEA=CDS_1 /DB_XREF=gi:9795038 /UG=Hs.307132 Human DNA sequence from clone RP11-486O22 on chromosome 10 Contains the 3part of a gene for KIAA1128 protein, a novel pseudogene, a gene for protein similar to RPS3A (ribosomal protein S3A), ESTs, STSs, GSSs and CpG islands
12	200741_s_at	0.026	gb:NM_001030.1 /DEF=Homo sapiens ribosomal protein S27 (metallopanstimulin 1) (RPS27), mRNA.  /FEA=mRNA /GEN=RPS27 /PROD=ribosomal protein S27 (metallopanstimulin 1) /DB_XREF=gi:4506710 /UG=Hs.195453 ribosomal protein S27 (metallopanstimulin 1) /FL=gb:U57847.1 gb:L19739.1 gb:NM_001030.1
13	201049_s_at	0.026	gb:NM_022551.1 /DEF=Homo sapiens ribosomal protein S18 (RPS18), mRNA. /FEA=mRNA /GEN=RPS18 /PROD=ribosomal protein S18 /DB_XREF=gi:11968181 /UG=Hs.275865 ribosomal protein S18 /FL=gb:NM_022551.1
14	201600_at	0.026	gb:NM_007273.1 /DEF=Homo sapiens B-cell associated protein (REA), mRNA. /FEA=mRNA /GEN=REA /PROD=B-cell associated protein /DB_XREF=gi:6005853 /UG=Hs.7771 B-cell associated protein /FL=gb:AF150962.1 gb:NM_007273.1 gb:AF126021.1 gb:AF178980.1
15	208695_s_at	0.026	gb:BC001019.1 /DEF=Homo sapiens, ribosomal protein L39, clone MGC:1636, mRNA, complete cds.  /FEA=mRNA /PROD=ribosomal protein L39 /DB_XREF=gi:12654388 /UG=Hs.300141 ribosomal protein L39 /FL=gb:BC001019.1 gb:U57846.1
16	212200_at	0.026	Consensus includes gb:AK025933.1 /DEF=Homo sapiens cDNA: FLJ22280 fis, clone HRC03841. /FEA=mRNA /DB_XREF=gi:10438600 /UG=Hs.100729 KIAA0692 protein
17	212886_at	0.026	Consensus includes gb:AL080169.1 /DEF=Homo sapiens mRNA; cDNA DKFZp434C171 (from clone DKFZp434C171); partial cds.  /FEA=mRNA /GEN=DKFZp434C171 /PROD=hypothetical protein /DB_XREF=gi:5262637 /UG=Hs.209100 DKFZP434C171 protein
18	212956_at	0.026	Consensus includes gb:AI348094 /FEA=EST /DB_XREF=gi:4085300 /DB_XREF=est:qp61g12.x1 /CLONE=IMAGE:1927558 /UG=Hs.90419 KIAA0882 protein
19	213941_x_at	0.026	Consensus includes gb:AI970731 /FEA=EST /DB_XREF=gi:5767485 /DB_XREF=est:wr14b05.x1 /CLONE=IMAGE:2481489 /UG=Hs.301547 ribosomal protein S7
20	217092_x_at	0.026	Consensus includes gb:AL031589 /DEF=Human DNA sequence from clone RP6-11O7 on chromosome 22 Contains an RPL7 (60S Ribosomal Protein L7) pseudogene, part of a putative novel gene, ESTs and GSSs /FEA=CDS /DB_XREF=gi:4914506 /UG=Hs.247871 Human DNA sequence from clone RP6-11O7 on chromosome 22 Contains an RPL7 (60S Ribosomal Protein L7) pseudogene, part of a putative novel gene, ESTs and GSSs
21	219019_at	0.026	gb:NM_018494.1 /DEF=Homo sapiens leucine rich repeat and death domain containing protein (LRDD), mRNA.  /FEA=mRNA /GEN=LRDD /PROD=leucine rich repeat and death domain containingprotein /DB_XREF=gi:8923912 /UG=Hs.123136 leucine rich repeat and death domain containing protein /FL=gb:AF229178.1 gb:NM_018494.1
22	221551_x_at	0.027	gb:AB035172.1 /DEF=Homo sapiens ST6GalNAc4 mRNA for N-acetylgalactosaminide alpha2,6-sialyltransferase, complete cds.  /FEA=mRNA /GEN=ST6GalNAc4 /PROD=N-acetylgalactosaminidealpha2,6-sialyltransferase /DB_XREF=gi:6468226 /UG=Hs.3972 NeuAc-alpha-2,3-Gal-beta-1,3-GalNAc-alpha-2, 6-sialyltransferase alpha2,6-sialyltransferase /FL=gb:AB035172.1
23	200061_s_at	0.028	gb:BC000523.1 /DEF=Homo sapiens, Similar to ribosomal protein S24, clone MGC:8595, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to ribosomal protein S24 /DB_XREF=gi:12653502 /UG=Hs.180450 ribosomal protein S24 /FL=gb:BC000523.1 gb:BC003149.1
24	200017_at	0.03	gb:NM_002954.1 /DEF=Homo sapiens ribosomal protein S27a (RPS27A), mRNA. /FEA=mRNA /GEN=RPS27A /PROD=ribosomal protein S27a /DB_XREF=gi:4506712 /UG=Hs.3297 ribosomal protein S27a /FL=gb:BC001392.1 gb:BC005328.1 gb:NM_002954.1
25	203186_s_at	0.031	gb:NM_002961.2 /DEF=Homo sapiens S100 calcium-binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog) (S100A4), transcript variant 1, mRNA.  /FEA=mRNA /GEN=S100A4 /PROD=S100 calcium-binding protein A4 /DB_XREF=gi:9845514 /UG=Hs.81256 S100 calcium-binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog) /FL=gb:NM_002961.2 gb:NM_019554.1
26	211623_s_at	0.031	gb:M30448.1 /DEF=Human casein kinase II beta subunit mRNA, complete cds. /FEA=mRNA /GEN=CSNK2B /DB_XREF=gi:181154 /FL=gb:M30448.1
27	216348_at	0.031	Consensus includes gb:AL049693 /DEF=Human DNA sequence from clone RP4-753D5 on chromosome 6p12.1-12.3. Contains the 3 end of the TFAP2B gene for transcription factor AP-2 beta (activating enhancer-binding protein 2 beta), the gene for a novel protein similar to RPS17 (40S ribosomal... /FEA=mRNA_1 /DB_XREF=gi:7378744 /UG=Hs.283833 Human DNA sequence from clone RP4-753D5 on chromosome 6p12.1-12.3. Contains the 3 end of the TFAP2B gene for transcription factor AP-2 beta (activating enhancer-binding protein 2 beta), the gene for a novel protein similar to RPS17 (40S ribosomal protein
28	218188_s_at	0.031	gb:NM_012458.1 /DEF=Homo sapiens translocase of inner mitochondrial membrane 13 (yeast) homolog B (TIMM13B), mRNA.  /FEA=mRNA /GEN=TIMM13B /PROD=translocase of inner mitochondrial membrane 13(yeast) homolog B /DB_XREF=gi:11024699 /UG=Hs.23410 translocase of inner mitochondrial membrane 13 (yeast) homolog B /FL=gb:NM_012458.1 gb:AF144700.1 gb:AF152352.1
29	210427_x_at	0.032	gb:BC001388.1 /DEF=Homo sapiens, annexin A2, clone MGC:2257, mRNA, complete cds. /FEA=mRNA /PROD=annexin A2 /DB_XREF=gi:12655074 /UG=Hs.217493 annexin A2 /FL=gb:BC001388.1
30	200705_s_at	0.033	gb:NM_001959.1 /DEF=Homo sapiens eukaryotic translation elongation factor 1 beta 2 (EEF1B2), mRNA.  /FEA=mRNA /GEN=EEF1B2 /PROD=eukaryotic translation elongation factor 1 beta2 /DB_XREF=gi:4503476 /UG=Hs.275959 eukaryotic translation elongation factor 1 beta 2 /FL=gb:BC004931.1 gb:NM_001959.1
31	200715_x_at	0.033	gb:BC000514.1 /DEF=Homo sapiens, ribosomal protein L13a, clone MGC:8547, mRNA, complete cds.  /FEA=mRNA /PROD=ribosomal protein L13a /DB_XREF=gi:12653484 /UG=Hs.119122 ribosomal protein L13a /FL=gb:BC000514.1 gb:NM_012423.1
32	201406_at	0.033	gb:NM_021029.1 /DEF=Homo sapiens ribosomal protein L44 (RPL44), mRNA. /FEA=mRNA /GEN=RPL44 /PROD=ribosomal protein L44 /DB_XREF=gi:10445222 /UG=Hs.178391 ribosomal protein L44 /FL=gb:NM_021029.1 gb:BC001781.1
33	201530_x_at	0.033	gb:NM_001416.1 /DEF=Homo sapiens eukaryotic translation initiation factor 4A, isoform 1 (EIF4A1), mRNA.  /FEA=mRNA /GEN=EIF4A1 /PROD=eukaryotic translation initiation factor 4A,isoform 1 /DB_XREF=gi:4503528 /UG=Hs.129673 eukaryotic translation initiation factor 4A, isoform 1 /FL=gb:NM_001416.1
34	203219_s_at	0.033	gb:NM_000485.1 /DEF=Homo sapiens adenine phosphoribosyltransferase (APRT), mRNA. /FEA=mRNA /GEN=APRT /PROD=adenine phosphoribosyltransferase /DB_XREF=gi:4502170 /UG=Hs.28914 adenine phosphoribosyltransferase /FL=gb:NM_000485.1
35	213060_s_at	0.033	Consensus includes gb:U58515.1 /DEF=Human chitinase (HUMTCHIT) mRNA, exon 1b form, partial cds. /FEA=mRNA /GEN=HUMTCHIT /PROD=chitinase /DB_XREF=gi:1439567 /UG=Hs.154138 chitinase 3-like 2
36	217336_at	0.033	Consensus includes gb:AL118510 /DEF=Human DNA sequence from clone RP5-858M22 on chromosome 20 Contains a pseudogene similar to 40S ribosomal protein S10, STSs and GSSs /FEA=CDS /DB_XREF=gi:6572394 /UG=Hs.272301 Human DNA sequence from clone RP5-858M22 on chromosome 20 Contains a pseudogene similar to 40S ribosomal protein S10, STSs and GSSs
37	221726_at	0.033	Consensus includes gb:BE250348 /FEA=EST /DB_XREF=gi:9120458 /DB_XREF=est:600943342T1 /CLONE=IMAGE:2959811 /UG=Hs.326249 Homo sapiens mRNA; cDNA DKFZp586E0524 (from clone DKFZp586E0524)
38	204093_at	0.034	gb:NM_001239.1 /DEF=Homo sapiens cyclin H (CCNH), mRNA. /FEA=mRNA /GEN=CCNH /PROD=cyclin H /DB_XREF=gi:4502622 /UG=Hs.514 cyclin H /FL=gb:BC005280.1 gb:NM_001239.1 gb:U12685.1 gb:U11791.1
39	212726_at	0.034	Consensus includes gb:AB014562.1 /DEF=Homo sapiens mRNA for KIAA0662 protein, partial cds. /FEA=mRNA /GEN=KIAA0662 /PROD=KIAA0662 protein /DB_XREF=gi:3327137 /UG=Hs.93868 KIAA0662 gene product
40	200092_s_at	0.035	Consensus includes gb:BF216701 /FEA=EST /DB_XREF=gi:11110287 /DB_XREF=est:601884615F1 /CLONE=IMAGE:4103235 /UG=Hs.179779 ribosomal protein L37
41	208904_s_at	0.035	gb:BC000354.1 /DEF=Homo sapiens, ribosomal protein S28, clone MGC:8658, mRNA, complete cds.  /FEA=mRNA /PROD=ribosomal protein S28 /DB_XREF=gi:12653172 /UG=Hs.153177 ribosomal protein S28 /FL=gb:BC000354.1
42	216342_x_at	0.035	Consensus includes gb:AL121916 /DEF=Human DNA sequence from clone RP1-189G13 on chromosome 20. Contains an RPL7A (60S ribosomal protein L7A) (SURF3) pseudogene, part of an RPS4 (40S ribosomal protein S4) pseudogene, ESTs, STSs and GSSs /FEA=CDS_2 /DB_XREF=gi:7406639 /UG=Hs.283838 Human DNA sequence from clone RP1-189G13 on chromosome 20. Contains an RPL7A (60S ribosomal protein L7A) (SURF3) pseudogene, part of an RPS4 (40S ribosomal protein S4) pseudogene, ESTs, STSs and GSSs
43	200963_x_at	0.036	gb:NM_000993.1 /DEF=Homo sapiens ribosomal protein L31 (RPL31), mRNA. /FEA=mRNA /GEN=RPL31 /PROD=ribosomal protein L31 /DB_XREF=gi:4506632 /UG=Hs.184014 ribosomal protein L31 /FL=gb:NM_000993.1
44	202808_at	0.036	Consensus includes gb:AK000161.1 /DEF=Homo sapiens cDNA FLJ20154 fis, clone COL08740. /FEA=mRNA /DB_XREF=gi:7020067 /UG=Hs.10346 hypothetical protein FLJ20154 /FL=gb:NM_017787.1
45	205005_s_at	0.036	Consensus includes gb:AW293531 /FEA=EST /DB_XREF=gi:6700167 /DB_XREF=est:UI-H-BI2-ahq-d-03-0-UI.s1 /CLONE=IMAGE:2727604 /UG=Hs.122647 N-myristoyltransferase 2 /FL=gb:AF043325.1 gb:NM_004808.1
46	211487_x_at	0.036	gb:BC004886.1 /DEF=Homo sapiens, ribosomal protein S17, clone MGC:11144, mRNA, complete cds.  /FEA=mRNA /PROD=ribosomal protein S17 /DB_XREF=gi:13436139 /UG=Hs.5174 ribosomal protein S17 /FL=gb:BC004886.1
47	212949_at	0.036	Consensus includes gb:D38553.1 /DEF=Homo sapiens HCAP-H mRNA, partial cds. /FEA=mRNA /GEN=HCAP-H /DB_XREF=gi:559714 /UG=Hs.1192 KIAA0074 protein
48	215823_x_at	0.036	Consensus includes gb:U64661 /DEF=Human poly(A)-binding protein processed pseudogene3 /FEA=mRNA /DB_XREF=gi:1519214 /UG=Hs.283767 poly(A)-binding protein, cytoplasmic, pseudogene 3
49	218509_at	0.036	gb:NM_022737.1 /DEF=Homo sapiens hypothetical protein FLJ13055 (FLJ13055), mRNA. /FEA=mRNA /GEN=FLJ13055 /PROD=hypothetical protein FLJ13055 /DB_XREF=gi:12232394 /UG=Hs.6846 hypothetical protein FLJ13055 /FL=gb:NM_022737.1
50	221865_at	0.036	Consensus includes gb:BF969986 /FEA=EST /DB_XREF=gi:12337201 /DB_XREF=est:602272821F1 /CLONE=IMAGE:4360804 /UG=Hs.170226 Homo sapiens clone 23579 mRNA sequence
51	218320_s_at	0.037	gb:NM_019056.1 /DEF=Homo sapiens similar to mouse neuronal protein 15.6 (FLJ20494), mRNA.  /FEA=mRNA /GEN=FLJ20494 /PROD=similar to mouse neuronal protein 15.6 /DB_XREF=gi:9506682 /UG=Hs.111497 similar to mouse neuronal protein 15.6 /FL=gb:NM_019056.1
52	221773_at	0.037	Consensus includes gb:AW575374 /FEA=EST /DB_XREF=gi:7246913 /DB_XREF=est:UI-HF-BL0-adc-c-12-0-UI.s1 /CLONE=IMAGE:3060887 /UG=Hs.288555 Homo sapiens cDNA: FLJ22425 fis, clone HRC08686
53	208816_x_at	0.037	gb:M62898.1 /DEF=Human lipocortin (LIP) 2 pseudogene mRNA, complete cds-like region. /FEA=mRNA /DB_XREF=gi:187147 /UG=Hs.217493 annexin A2 /FL=gb:M62898.1
54	219512_at	0.038	gb:NM_024918.1 /DEF=Homo sapiens hypothetical protein FLJ13346 (FLJ13346), mRNA. /FEA=mRNA /GEN=FLJ13346 /PROD=hypothetical protein FLJ13346 /DB_XREF=gi:13376387 /UG=Hs.266273 hypothetical protein FLJ13346 /FL=gb:NM_024918.1
55	221748_s_at	0.038	Consensus includes gb:AL046979 /FEA=EST /DB_XREF=gi:5435035 /DB_XREF=est:DKFZp586K0617_s1 /CLONE=DKFZp586K0617 /UG=Hs.9973 tensin
56	200036_s_at	0.039	gb:NM_007104.2 /DEF=Homo sapiens ribosomal protein L10a (RPL10A), mRNA. /FEA=mRNA /GEN=RPL10A /PROD=ribosomal protein L10a /DB_XREF=gi:6325471 /UG=Hs.252574 ribosomal protein L10a /FL=gb:U12404.1 gb:NM_007104.2
57	200779_at	0.039	gb:NM_001675.1 /DEF=Homo sapiens activating transcription factor 4 (tax-responsive enhancer element B67) (ATF4), mRNA.  /FEA=mRNA /GEN=ATF4 /PROD=activating transcription factor 4 /DB_XREF=gi:4502264 /UG=Hs.181243 activating transcription factor 4 (tax-responsive enhancer element B67) /FL=gb:M86842.1 gb:NM_001675.1
58	209066_x_at	0.039	gb:M26700.1 /DEF=Human mitochondrial ubiquinone-binding protein mRNA, complete cds. /FEA=mRNA /GEN=UQBP /DB_XREF=gi:190803 /UG=Hs.131255 ubiquinol-cytochrome c reductase binding protein /FL=gb:BC005230.1 gb:M26700.1
59	211542_x_at	0.039	gb:BC004334.1 /DEF=Homo sapiens, ribosomal protein S10, clone MGC:10943, mRNA, complete cds.  /FEA=mRNA /PROD=ribosomal protein S10 /DB_XREF=gi:13279259 /UG=Hs.76230 ribosomal protein S10 /FL=gb:BC004334.1
60	200031_s_at	0.039	gb:NM_001015.1 /DEF=Homo sapiens ribosomal protein S11 (RPS11), mRNA. /FEA=mRNA /GEN=RPS11 /PROD=ribosomal protein S11 /DB_XREF=gi:4506680 /UG=Hs.182740 ribosomal protein S11 /FL=gb:NM_001015.1
61	200674_s_at	0.039	gb:NM_000994.1 /DEF=Homo sapiens ribosomal protein L32 (RPL32), mRNA. /FEA=mRNA /GEN=RPL32 /PROD=ribosomal protein L32 /DB_XREF=gi:4506634 /UG=Hs.169793 ribosomal protein L32 /FL=gb:NM_000994.1
62	205006_s_at	0.039	gb:NM_004808.1 /DEF=Homo sapiens N-myristoyltransferase 2 (NMT2), mRNA. /FEA=mRNA /GEN=NMT2 /PROD=glycylpeptide N-tetradecanoyltransferase 2 /DB_XREF=gi:4758815 /UG=Hs.122647 N-myristoyltransferase 2 /FL=gb:AF043325.1 gb:NM_004808.1
63	213122_at	0.039	Consensus includes gb:AI096375 /FEA=EST /DB_XREF=gi:3446286 /DB_XREF=est:qb91e08.x1 /CLONE=IMAGE:1707494 /UG=Hs.173094 Homo sapiens mRNA for KIAA1750 protein, partial cds
64	217728_at	0.039	gb:NM_014624.2 /DEF=Homo sapiens S100 calcium-binding protein A6 (calcyclin) (S100A6), mRNA.  /FEA=mRNA /GEN=S100A6 /PROD=S100 calcium-binding protein A6 /DB_XREF=gi:9845517 /UG=Hs.275243 S100 calcium-binding protein A6 (calcyclin) /FL=gb:BC001431.1 gb:NM_014624.2
65	218267_at	0.039	gb:NM_016550.1 /DEF=Homo sapiens from HeLa cyclin-dependent kinase 2 interacting protein (CINP), mRNA.  /FEA=mRNA /GEN=CINP /PROD=from HeLa cyclin-dependent kinase 2 interactingprotein /DB_XREF=gi:7705325 /UG=Hs.38205 from HeLa cyclin-dependent kinase 2 interacting protein /FL=gb:BC000600.1 gb:AF228148.1 gb:AF228149.1 gb:NM_016550.1
66	221239_s_at	0.039	gb:NM_030764.1 /DEF=Homo sapiens SH2 domain-containing phosphatase anchor protein 1 (SPAP1), mRNA.  /FEA=mRNA /GEN=SPAP1 /PROD=SH2 domain-containing phosphatase anchor protein1 /DB_XREF=gi:13540524 /FL=gb:NM_030764.1
67	200755_s_at	0.04	Consensus includes gb:BF939365 /FEA=EST /DB_XREF=gi:12356685 /DB_XREF=est:nad87h04.x1 /CLONE=IMAGE:3410551 /UG=Hs.7753 calumenin /FL=gb:U67280.1 gb:AF013759.1 gb:NM_001219.2
68	200858_s_at	0.04	gb:NM_001012.1 /DEF=Homo sapiens ribosomal protein S8 (RPS8), mRNA. /FEA=mRNA /GEN=RPS8 /PROD=ribosomal protein S8 /DB_XREF=gi:4506742 /UG=Hs.151604 ribosomal protein S8 /FL=gb:NM_001012.1
69	201189_s_at	0.04	gb:NM_002224.1 /DEF=Homo sapiens inositol 1,4,5-triphosphate receptor, type 3 (ITPR3), mRNA.  /FEA=mRNA /GEN=ITPR3 /PROD=inositol 1,4,5-triphosphate receptor, type 3 /DB_XREF=gi:4504794 /UG=Hs.77515 inositol 1,4,5-triphosphate receptor, type 3 /FL=gb:D26351.1 gb:NM_002224.1 gb:U01062.1
70	206003_at	0.04	gb:NM_014645.1 /DEF=Homo sapiens KIAA0635 gene product (KIAA0635), mRNA. /FEA=mRNA /GEN=KIAA0635 /PROD=KIAA0635 gene product /DB_XREF=gi:7662215 /UG=Hs.185091 KIAA0635 gene product /FL=gb:AB014535.1 gb:NM_014645.1
71	206310_at	0.04	gb:NM_021114.1 /DEF=Homo sapiens serine protease inhibitor, Kazal type, 2 (acrosin-trypsin inhibitor) (SPINK2), mRNA.  /FEA=mRNA /GEN=SPINK2 /PROD=serine protease inhibitor, Kazal type, 2(acrosin-trypsin inhibitor) /DB_XREF=gi:10863910 /UG=Hs.98243 serine protease inhibitor, Kazal type, 2 (acrosin-trypsin inhibitor) /FL=gb:NM_021114.1
72	213550_s_at	0.04	Consensus includes gb:AA993683 /FEA=EST /DB_XREF=gi:3180228 /DB_XREF=est:ot97b04.s1 /CLONE=IMAGE:1624687 /UG=Hs.163867 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2 (8kD, B8)
73	213753_x_at	0.04	Consensus includes gb:BF541557 /FEA=EST /DB_XREF=gi:11628938 /DB_XREF=est:602067933F1 /CLONE=IMAGE:4066833 /UG=Hs.119140 eukaryotic translation initiation factor 5A
74	219599_at	0.04	gb:NM_018507.1 /DEF=Homo sapiens hypothetical protein PRO1843 (PRO1843), mRNA. /FEA=mRNA /GEN=PRO1843 /PROD=hypothetical protein PRO1843 /DB_XREF=gi:8924082 /UG=Hs.283330 hypothetical protein PRO1843 /FL=gb:AF119854.1 gb:NM_018507.1
75	217801_at	0.04	gb:NM_006886.1 /DEF=Homo sapiens ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit (ATP5E), mRNA.  /FEA=mRNA /GEN=ATP5E /PROD=ATP synthase, H+ transporting, mitochondrial F1complex, epsilon subunit /DB_XREF=gi:5901895 /UG=Hs.177530 ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit /FL=gb:BC001690.1 gb:BC003671.1 gb:AF077045.1 gb:NM_006886.1 gb:AF052955.1
76	220711_at	0.04	gb:NM_024978.1 /DEF=Homo sapiens hypothetical protein FLJ12121 (FLJ12121), mRNA. /FEA=mRNA /GEN=FLJ12121 /PROD=hypothetical protein FLJ12121 /DB_XREF=gi:13376479 /UG=Hs.287487 hypothetical protein FLJ12121 /FL=gb:NM_024978.1
77	200012_x_at	0.04	gb:NM_000982.1 /DEF=Homo sapiens ribosomal protein L21 (gene or pseudogene) (RPL21), mRNA.  /FEA=mRNA /GEN=RPL21 /PROD=ribosomal protein L21 (gene or pseudogene) /DB_XREF=gi:4506610 /UG=Hs.184108 ribosomal protein L21 /FL=gb:BC001603.1 gb:NM_000982.1 gb:U14967.1 gb:U25789.1
78	201094_at	0.04	gb:NM_001032.1 /DEF=Homo sapiens ribosomal protein S29 (RPS29), mRNA. /FEA=mRNA /GEN=RPS29 /PROD=ribosomal protein S29 /DB_XREF=gi:4506716 /UG=Hs.539 ribosomal protein S29 /FL=gb:L31610.1 gb:NM_001032.1 gb:U14973.1
79	201163_s_at	0.04	gb:NM_001553.1 /DEF=Homo sapiens insulin-like growth factor binding protein 7 (IGFBP7), mRNA.  /FEA=mRNA /GEN=IGFBP7 /PROD=insulin-like growth factor binding protein 7 /DB_XREF=gi:4504618 /UG=Hs.119206 insulin-like growth factor binding protein 7 /FL=gb:L19182.1 gb:NM_001553.1
80	201188_s_at	0.04	gb:D26351.1 /DEF=Human mRNA for type 3 inositol 1,4,5-trisphosphate receptor, complete cds.  /FEA=mRNA /PROD=human type 3 inositol 1,4,5-trisphosphatereceptor /DB_XREF=gi:450470 /UG=Hs.77515 inositol 1,4,5-triphosphate receptor, type 3 /FL=gb:D26351.1 gb:NM_002224.1 gb:U01062.1
81	201403_s_at	0.04	gb:NM_004528.1 /DEF=Homo sapiens microsomal glutathione S-transferase 3 (MGST3), mRNA. /FEA=mRNA /GEN=MGST3 /PROD=microsomal glutathione S-transferase 3 /DB_XREF=gi:4758713 /UG=Hs.111811 microsomal glutathione S-transferase 3 /FL=gb:BC000505.1 gb:BC003034.1 gb:AF026977.1 gb:NM_004528.1
82	201590_x_at	0.04	gb:NM_004039.1 /DEF=Homo sapiens annexin A2 (ANXA2), mRNA. /FEA=mRNA /GEN=ANXA2 /PROD=annexin A2 /DB_XREF=gi:4757755 /UG=Hs.217493 annexin A2 /FL=gb:BC001748.1 gb:D00017.1 gb:NM_004039.1
83	201737_s_at	0.04	gb:NM_005885.1 /DEF=Homo sapiens similar to S. cerevisiae SSM4 (TEB4), mRNA. /FEA=mRNA /GEN=TEB4 /PROD=similar to S. cerevisiae SSM4 /DB_XREF=gi:5032166 /UG=Hs.20141 similar to S. cerevisiae SSM4 /FL=gb:AF009301.1 gb:NM_005885.1
84	202028_s_at	0.04	Consensus includes gb:BC000603.1 /DEF=Homo sapiens, ribosomal protein L38, clone MGC:1637, mRNA, complete cds.  /FEA=mRNA /PROD=ribosomal protein L38 /DB_XREF=gi:12653644 /UG=Hs.2017 ribosomal protein L38 /FL=gb:BC000603.1 gb:NM_000999.1
85	207347_at	0.04	gb:NM_000124.1 /DEF=Homo sapiens excision repair cross-complementing rodent repair deficiency, complementation group 6 (ERCC6), mRNA.  /FEA=mRNA /GEN=ERCC6 /PROD=excision repair cross-complementing rodentrepair deficiency, complementation group 6 /DB_XREF=gi:4557564 /UG=Hs.99924 excision repair cross-complementing rodent repair deficiency, complementation group 6 /FL=gb:L04791.1 gb:NM_000124.1
86	207560_at	0.04	gb:U62966.1 /DEF=Human Na+nucleoside cotransporter (hCNT1a) mRNA, complete cds. /FEA=mRNA /GEN=hCNT1a /PROD=Na+nucleoside cotransporter /DB_XREF=gi:2072781 /UG=Hs.97207 solute carrier family 28 (sodium-coupled nucleoside transporter), member 1 /FL=gb:U62966.1 gb:U62967.1 gb:U62968.1 gb:NM_004213.1
