Gene Symbol	Accession Number
PRKACB	NM_002731
PTP4A2	NM_003479
PTPRK	NM_002844
PTPRN2	NM_002847
QDPR	NM_000320
RAB31	NM_006868
RAB5EP	NM_004703
RALGPS1A	NM_014636
RARRES3	NM_004585
RERG	NM_032918
RGS5	NM_003617
RNPC1	NM_017495
S100A1	NM_006271
S100A11	NM_005620
S100A8	NM_002964
SAA1	NM_000331
SAA2	NM_030754
SCNN1A	NM_001038
SCUBE2 (CEGP1)	NM_020974
SDC2	NM_002998
SELENBP1	NM_003944
SEMA3C	NM_006379
SIAH2	NM_005067
SIAT4C	NM_006278
SLC40A1 (SLC11A3)	NM_014585
SLC5A6	NM_021095
SLC7A5	NM_003486
SLI	AB001451
SLPI	NM_003064
SNCG	NM_003087
SORBS1	NM_015385
SOX7	NM_031439
SQLE	NM_003129
STARD3	NM_006804
STAT6	NM_003153
STK38	NM_007271
STK6	NM_003600
TCEA3	XM_114075
TCEAL1	NM_004780
TFF3	NM_003226
TFRC	NM_003234
TGFB2	NM_003238
TLE3	AB046767
TLE3	NM_005078
TMSB10	NM_021103
TNF	NM_000594
TNNI2	NM_003282
TOP2A	NM_001067
TP53BP2	NM_005426
TRAP100	NM_014815
TRIM29	NM_012101
UBE2C	NM_007019
VAV3	NM_006113
VGLL1	NM_016267
VWF	NM_000552
WWP1	NM_007013
XBP1	NM_005080
YWHAZ	NM_003406
