Accession No.	Gene Title	Fold change	Function
AA922068	cyclin-dependent kinase 6	2.12	CELL CYCLE/PROLIFERATION
NM_004417	dual specificity phosphatase 1	1.81	CELL CYCLE/PROLIFERATION
BC003143	dual specificity phosphatase 6	3.02	CELL CYCLE/PROLIFERATION
BC005047	dual specificity phosphatase 6	3.05	CELL CYCLE/PROLIFERATION
AJ010395	dyskeratosis congenita 1, dyskerin	2.11	CELL CYCLE/PROLIFERATION
NM_001363	dyskeratosis congenita 1, dyskerin	2.29	CELL CYCLE/PROLIFERATION
U59151	dyskeratosis congenita 1, dyskerin	2.49	CELL CYCLE/PROLIFERATION
AI341146	E2F transcription factor 7	2.88	CELL CYCLE/PROLIFERATION
NM_001432	epiregulin	4.65	CELL CYCLE/PROLIFERATION
NM_001423	epithelial membrane protein 1	2.25	CELL CYCLE/PROLIFERATION
NM_001423	epithelial membrane protein 1	2.5	CELL CYCLE/PROLIFERATION
M27968	fibroblast growth factor 2 (basic)	2.21	CELL CYCLE/PROLIFERATION
BG491844	jun oncogene	2.45	CELL CYCLE/PROLIFERATION
NM_002228	jun oncogene	3.15	CELL CYCLE/PROLIFERATION
NM_018518	minichromosome maintenance complex component 10	2.47	CELL CYCLE/PROLIFERATION
NM_004741	nucleolar and coiled-body phosphoprotein 1	2.53	CELL CYCLE/PROLIFERATION
AL136460	proliferation-associated 2G4, 38kDa /// proliferation-associated 2G4 pseudogene 5 /// proliferation-associated 2G4 pseudogene /// proliferation-associated 2G4 pseudogene 4	1.52	CELL CYCLE/PROLIFERATION
AW165960	protein tyrosine phosphatase type IVA, member 1	2.66	CELL CYCLE/PROLIFERATION
U48296	protein tyrosine phosphatase type IVA, member 1	2.61	CELL CYCLE/PROLIFERATION
AW664421	suppressor of cytokine signaling 5	1.72	CELL CYCLE/PROLIFERATION
U08839	plasminogen activator, urokinase receptor	3.83	CELL MOTILITY
AF007150	angiopoietin-like 2	-1.87	DEVELOPMENT
NM_001200	bone morphogenetic protein 2	5.21	DEVELOPMENT
AF138302	decorin	-1.53	DEVELOPMENT
AF138303	decorin	-1.6	DEVELOPMENT
NM_018482	development and differentiation enhancing factor 1	1.77	DEVELOPMENT
BF215018	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	2.83	DEVELOPMENT
M13436	inhibin, beta A (activin A, activin AB alpha polypeptide)	2.45	DIFFERENTIATION
NM_001550	interferon-related developmental regulator 1	2.26	DIFFERENTIATION
BC001327	interferon-related developmental regulator 2	1.86	DIFFERENTIATION
NM_000641	interleukin 11	24.95	DIFFERENTIATION
AI086864	5-nucleotidase, ecto (CD73)	4.36	DNA/REPLICATION/BINDING/REPAIR
BC015940	5-nucleotidase, ecto (CD73)	2.65	DNA/REPLICATION/BINDING/REPAIR
NM_014109	ATPase family, AAA domain containing 2	1.95	DNA/REPLICATION/BINDING/REPAIR
AK001261	denticleless homolog (Drosophila)	2.85	DNA/REPLICATION/BINDING/REPAIR
NM_001983	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	1.97	DNA/REPLICATION/BINDING/REPAIR
NM_014903	neuron navigator 3	5.03	DNA/REPLICATION/BINDING/REPAIR
J03250	topoisomerase (DNA) I	2.28	DNA/REPLICATION/BINDING/REPAIR
NM_002090	chemokine (C-X-C motif) ligand 3	3.69	IMMUNE RESPONSE
NM_002185	interleukin 7 receptor	2.12	IMMUNE RESPONSE
AF043179	T cell receptor beta variable 19 /// T cell receptor beta variable 7-2 /// T cell receptor beta variable 5-4 /// T cell receptor beta variable 3-1 /// T cell receptor beta constant 1	3.41	IMMUNE RESPONSE
NM_016006	abhydrolase domain containing 5	1.84	METABOLIC PROCESS
M21154	adenosylmethionine decarboxylase 1	2.12	METABOLIC PROCESS
NM_005589	aldehyde dehydrogenase 6 family, member A1	-2.8	METABOLIC PROCESS
AB037784	arylacetamide deacetylase-like 1	4.11	METABOLIC PROCESS
AL139812	chondroitin sulfate GalNAcT-2	2.91	METABOLIC PROCESS
NM_001905	CTP synthase	2.02	METABOLIC PROCESS
NM_020184	cyclin M4	2.13	METABOLIC PROCESS
AI830490	glycerol kinase	3.65	METABOLIC PROCESS
NM_000167	glycerol kinase	4.13	METABOLIC PROCESS
AI761561	hexokinase 2	3.54	METABOLIC PROCESS
BC012846	isocitrate dehydrogenase 1 (NADP+), soluble	-3.08	METABOLIC PROCESS
NM_005896	isocitrate dehydrogenase 1 (NADP+), soluble	-3.03	METABOLIC PROCESS
BC006236	lung cancer metastasis-associated protein	3.65	METABOLIC PROCESS
AA029155	Mannosidase, alpha, class 2A, member 1	1.81	METABOLIC PROCESS
BE958291	methylthioadenosine phosphorylase	2.75	METABOLIC PROCESS
BC006230	monoglyceride lipase	2.13	METABOLIC PROCESS
NM_000270	nucleoside phosphorylase	6.18	METABOLIC PROCESS
NM_002539	ornithine decarboxylase 1	3.21	METABOLIC PROCESS
U00238	phosphoribosyl pyrophosphate amidotransferase	2.81	METABOLIC PROCESS
AY151286	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	7.34	METABOLIC PROCESS
AL551971	protein arginine methyltransferase 3	2.28	METABOLIC PROCESS
BC021229	selenoprotein I	2.65	METABOLIC PROCESS
NM_017515	solute carrier family 35, member F2	4.09	METABOLIC PROCESS
BE971383	spermidine/spermine N1-acetyltransferase 1	3.74	METABOLIC PROCESS
NM_002970	spermidine/spermine N1-acetyltransferase 1	3.29	METABOLIC PROCESS
M55580	spermidine/spermine N1-acetyltransferase 1	3.5	METABOLIC PROCESS
NM_021972	sphingosine kinase 1	5.26	METABOLIC PROCESS
NM_003364	uridine phosphorylase 1	4.73	METABOLIC PROCESS
BC002906	uridine-cytidine kinase 2	2.19	METABOLIC PROCESS
AL034417	ERBB receptor feedback inhibitor 1	2.18	OXIDATIVE STRESS
AU152178	anthrax toxin receptor 2	2.72	PROTEIN BINDING/FOLDING/MODIFICATION
AA976536	brix domain containing 1	2.72	PROTEIN BINDING/FOLDING/MODIFICATION
NM_017723	chromosome 9 open reading frame 167	2.18	PROTEIN BINDING/FOLDING/MODIFICATION
NM_012328	DnaJ (Hsp40) homolog, subfamily B, member 9	2.49	PROTEIN BINDING/FOLDING/MODIFICATION
BC002682	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	1.97	PROTEIN BINDING/FOLDING/MODIFICATION
BC005147	FK506 binding protein 1A, 12kDa	2.82	PROTEIN BINDING/FOLDING/MODIFICATION
AI984421	GrpE-like 1, mitochondrial (E. coli)	3	PROTEIN BINDING/FOLDING/MODIFICATION
AL542571	GrpE-like 1, mitochondrial (E. coli)	2.38	PROTEIN BINDING/FOLDING/MODIFICATION
AA526844	myosin, light chain kinase	-2.4	PROTEIN BINDING/FOLDING/MODIFICATION
BC005020	peptidylprolyl isomerase F (cyclophilin F)	2.19	PROTEIN BINDING/FOLDING/MODIFICATION
NM_005729	peptidylprolyl isomerase F (cyclophilin F)	2.09	PROTEIN BINDING/FOLDING/MODIFICATION
NM_012394	prefoldin subunit 2	1.94	PROTEIN BINDING/FOLDING/MODIFICATION
AI446530	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	1.99	PROTEIN BINDING/FOLDING/MODIFICATION (CONTINUED)
NM_014837	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	1.5	PROTEIN BINDING/FOLDING/MODIFICATION (CONTINUED)
BF512188	spire homolog 1 (Drosophila)	2.33	PROTEIN BINDING/FOLDING/MODIFICATION (CONTINUED)
AI537887	stomatin	-1.53	PROTEIN BINDING/FOLDING/MODIFICATION (CONTINUED)
AI803633	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	2.73	PROTEIN BINDING/FOLDING/MODIFICATION (CONTINUED)
NM_018128	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	2.6	PROTEIN BINDING/FOLDING/MODIFICATION (CONTINUED)
N71063	ADAM metallopeptidase with thrombospondin type 1 motif, 6	3.67	PROTEOLYSIS
NM_002421	matrix metallopeptidase 1 (interstitial collagenase)	3.52	PROTEOLYSIS
NM_002422	matrix metallopeptidase 3 (stromelysin 1, progelatinase)	3.58	PROTEOLYSIS
NM_017824	membrane-associated ring finger (C3HC4) 5	1.9	PROTEOLYSIS
NM_002658	plasminogen activator, urokinase	5.39	PROTEOLYSIS
AF009664	protease, serine, 1 (trypsin 1) /// protease, serine, 2 (trypsin 2) /// protease, serine, 3 (mesotrypsin) /// trypsinogen C	3.19	PROTEOLYSIS
NM_002771	protease, serine, 3 (mesotrypsin)	2.77	PROTEOLYSIS
AI796687	small optic lobes homolog (Drosophila)	2.85	PROTEOLYSIS
BC000263	ubiquitin specific peptidase 10	1.83	PROTEOLYSIS
BG491842	block of proliferation 1 /// similar to block of proliferation 1	2.2	RNA BINDING/PROCESSING
NM_004398	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	3.85	RNA BINDING/PROCESSING
NM_019082	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56	1.74	RNA BINDING/PROCESSING
BE747342	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	2.26	RNA BINDING/PROCESSING
NM_016183	mRNA turnover 4 homolog (S. cerevisiae)	2.46	RNA BINDING/PROCESSING
AI743689	nuclear fragile X mental retardation protein interacting protein 2	1.94	RNA BINDING/PROCESSING
AF161528	nuclear import 7 homolog (S. cerevisiae)	3.07	RNA BINDING/PROCESSING
NM_020143	partner of NOB1 homolog (S. cerevisiae)	2.22	RNA BINDING/PROCESSING
AI184802	PRP4 pre-mRNA processing factor 4 homolog (yeast)	1.89	RNA BINDING/PROCESSING
U82756	PRP4 pre-mRNA processing factor 4 homolog (yeast)	2.07	RNA BINDING/PROCESSING
NM_024638	queuine tRNA-ribosyltransferase domain containing 1	2.49	RNA BINDING/PROCESSING
AA524053	splicing factor, arginine/serine-rich 7, 35kDa	2.38	RNA BINDING/PROCESSING
BE672181	synaptotagmin binding, cytoplasmic RNA interacting protein	1.6	RNA BINDING/PROCESSING
BC002492	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)	1.98	RNA BINDING/PROCESSING
AA046406	UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)	2.34	RNA BINDING/PROCESSING
NM_004335	bone marrow stromal cell antigen 2	-1.59	SIGNALLING
T51255	casein kinase 1, epsilon	2.69	SIGNALLING
BC002342	coronin, actin binding protein, 1C	2.03	SIGNALLING
NM_004431	EPH receptor A2	3.07	SIGNALLING
AB043703	frizzled homolog 8 (Drosophila)	10.12	SIGNALLING
NM_012341	GTP binding protein 4	2.46	SIGNALLING
NM_005261	GTP binding protein overexpressed in skeletal muscle	4.32	SIGNALLING
M60278	heparin-binding EGF-like growth factor	3.16	SIGNALLING
AA780381	Mitogen-activated protein kinase kinase 3	3.57	SIGNALLING
AA780381	Mitogen-activated protein kinase kinase 3	2.47	SIGNALLING
U56085	PWP2 periodic tryptophan protein homolog (yeast)	2.08	SIGNALLING
AL514445	regulator of G-protein signalling 4	6.37	SIGNALLING
AA586774	serine/threonine kinase 24 (STE20 homolog, yeast)	1.75	SIGNALLING
AA425633	signal-induced proliferation-associated 1 like 3	2.99	SIGNALLING
U46768	stanniocalcin 1	6.17	SIGNALLING
NM_005402	v-ral simian leukemia viral oncogene homolog A (ras related)	2.65	SIGNALLING
BE879367	A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 protein	2.49	STRUCTURAL
BC000018	actin related protein 2/3 complex, subunit 5-like	1.95	STRUCTURAL
NM_001613	actin, alpha 2, smooth muscle, aorta	-1.7	STRUCTURAL
AL575735	collagen, type V, alpha 2	-1.69	STRUCTURAL
NM_004010	dystrophin (muscular dystrophy, Duchenne and Becker types)	3.1	STRUCTURAL
AW515645	FERM domain containing 4A	2.59	STRUCTURAL
NM_016081	palladin, cytoskeletal associated protein	-1.86	STRUCTURAL
AL518328	basic leucine zipper and W2 domains 1 /// similar to basic leucine zipper and W2 domains 1	1.92	TRANSCRIPTION
AI459194	Early growth response 1	1.85	TRANSCRIPTION
AW575374	ELK3, ETS-domain protein (SRF accessory protein 2)	2.88	TRANSCRIPTION
BF438173	follistatin	3	TRANSCRIPTION
NM_006350	follistatin	4.34	TRANSCRIPTION
NM_013409	follistatin	2.95	TRANSCRIPTION
BG251266	FOS-like antigen 1	4.06	TRANSCRIPTION
NM_002131	high mobility group AT-hook 1	2.31	TRANSCRIPTION
NM_003483	high mobility group AT-hook 2	11.75	TRANSCRIPTION
AI990940	high mobility group AT-hook 2	2.67	TRANSCRIPTION
AA716425	jun dimerization protein 2	-3.23	TRANSCRIPTION
AI690205	Kruppel-like factor 9	-4.17	TRANSCRIPTION
N40555	MAX-like protein X	1.6	TRANSCRIPTION
AF323119	nuclear factor (erythroid-derived 2)-like 2	-1.69	TRANSCRIPTION
S77154	nuclear receptor subfamily 4, group A, member 2	3.82	TRANSCRIPTION
BF062139	polymerase (RNA) III (DNA directed) polypeptide G (32kD)	4.27	TRANSCRIPTION
NM_003082	small nuclear RNA activating complex, polypeptide 1, 43kDa	2.51	TRANSCRIPTION
AW173045	T-box 2	2.98	TRANSCRIPTION
AL021977	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	3.72	TRANSCRIPTION
BG231691	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)	3.17	TRANSCRIPTION
AB046808	zinc finger protein 317	1.96	TRANSCRIPTION
AW003092	zinc finger protein 697	2.24	TRANSCRIPTION
BC002719	eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa	1.95	TRANSLATION
AW268640	eukaryotic translation initiation factor 4E	1.82	TRANSLATION
NM_001969	eukaryotic translation initiation factor 5	1.86	TRANSLATION
NM_006547	insulin-like growth factor 2 mRNA binding protein 3	2.38	TRANSLATION
NM_016640	mitochondrial ribosomal protein S30	2.09	TRANSLATION
AA928506	ribosomal L1 domain containing 1	3.01	TRANSLATION
AK000822	ribosomal L1 domain containing 1	2.05	TRANSLATION
AF251062	RNA binding motif protein 13	2.33	TRANSLATION
BG290908	ATPase, Class I, type 8B, member 1	2.79	TRANSPORT
BC032237	choroideremia (Rab escort protein 1)	4.08	TRANSPORT
AF271159	exportin 5	2.03	TRANSPORT
NM_001444	fatty acid binding protein 5 (psoriasis-associated) /// similar to Fatty acid-binding protein, epidermal (E-FABP) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP)	3.43	TRANSPORT
NM_000271	Niemann-Pick disease, type C1	2.14	TRANSPORT
NM_013248	NTF2-like export factor 1	1.8	TRANSPORT
NM_014778	nucleoporin like 1	3.15	TRANSPORT
NM_012449	six transmembrane epithelial antigen of the prostate 1	5.37	TRANSPORT
NM_024628	solute carrier family 12 (potassium/chloride transporters), member 8	-2.79	TRANSPORT
AL513917	solute carrier family 16, member 3 (monocarboxylic acid transporter 4)	2.23	TRANSPORT
NM_006931	solute carrier family 2 (facilitated glucose transporter), member 3	3.04	TRANSPORT
R92925	Solute carrier family 25, member 37	2.05	TRANSPORT
AF053755	solute carrier family 4, sodium bicarbonate cotransporter, member 7	2.4	TRANSPORT
AI867198	solute carrier family 5 (inositol transporters), member 3	2.29	TRANSPORT
AI825998	syntaxin binding protein 5 (tomosyn)	2.32	TRANSPORT
NM_024640	yrdC domain containing (E. coli)	2.44	TRANSPORT
BF217861	metallothionein 1E	1.81	XENOBIOTIC METABOLISM
AL031602	metallothionein 1M	1.83	XENOBIOTIC METABOLISM
X55503	metallothionein 4	2.2	XENOBIOTIC METABOLISM
AF078844	---	1.75	MISC
AV650867	---	-1.57	MISC
BE877420	---	6.12	MISC
BF056275	adipocyte-specific adhesion molecule	2.03	MISC
BC005127	adipose differentiation-related protein	2.55	MISC
AA037664	Cbl-interacting protein Sts-1	3.08	MISC
AI927919	Cbl-interacting protein Sts-1	1.88	MISC
AI690169	CDNA clone IMAGE:4791887 /// MRNA; cDNA DKFZp564C0762 (from clone DKFZp564C0762)	2.22	MISC
AI343467	CDNA FLJ11041 fis, clone PLACE1004405	2.61	MISC
NM_017850	chromosome 1 open reading frame 109	2.69	MISC
AK024066	chromosome 1 open reading frame 75	2.39	MISC
BF439204	chromosome 12 open reading frame 29	2.14	MISC
BE264828	chromosome 12 open reading frame 45	1.58	MISC
H06491	chromosome 16 open reading frame 52	2.39	MISC
BC006151	chromosome 19 open reading frame 48	1.82	MISC
AL565741	chromosome 5 open reading frame 30	4.03	MISC
BE856336	chromosome 8 open reading frame 13	2.42	MISC
AI197841	chromosome 8 open reading frame 33	2	MISC
AL578336	cirrhosis, autosomal recessive 1A (cirhin)	1.83	MISC
BC005254	C-type lectin domain family 2, member B	2.77	MISC
AI720923	DEAH (Asp-Glu-Ala-His) box polypeptide 33	1.82	MISC
NM_024329	EF-hand domain family, member D2	2.21	MISC
AI964053	EP300 interacting inhibitor of differentiation 3	2.7	MISC
AI339710	family with sequence similarity 108, member C1	2.71	MISC
NM_024792	family with sequence similarity 57, member A	1.88	MISC
NM_014344	four jointed box 1 (Drosophila)	4.17	MISC
AI911518	G patch domain containing 4	2.72	MISC
AF087847	GABA(A) receptor-associated protein like 1	-2.48	MISC
AA037766	hypothetical LOC388610	2.24	MISC
NM_016391	hypothetical protein HSPC111	3.13	MISC
NM_004907	immediate early response 2	2.53	MISC
AL553774	KIAA1462	3.33	MISC
AL553774	KIAA1462	3.08	MISC
AA425726	KIAA1754	2.4	MISC
AA088177	KIAA1913	7.64	MISC
AL044056	murine retrovirus integration site 1 homolog	-3.19	MISC
AI802955	NudC domain containing 1	1.67	MISC
NM_017933	phosphotyrosine interaction domain containing 1	3.53	MISC
AI201534	SEH1-like (S. cerevisiae)	2.39	MISC
BC003379	small trans-membrane and glycosylated protein	2.78	MISC
NM_004623	tetratricopeptide repeat domain 4	2	MISC
AI374739	Transcribed locus	7.57	MISC
AI608902	Transcribed locus	15.77	MISC
BE326919	Transcribed locus	2.67	MISC
BF062629	transmembrane protein 158	3.39	MISC
BF975273	WD repeat domain 77	1.56	MISC
