GenBank Acc.	GeneSymbol	Cytoband	Bridge a	Description
NM_020819	FAM135A	6q13	0.142	family with sequence similarity 135, member A
NM_032181	FAM176A	2p12	20.096	family with sequence similarity 176, member A
NM_015687	FILIP1	6q14.1	20.188	filamin A interacting protein 1
NM_021784	FOXA2	20p11.21	0.184	forkhead box A2
NM_001454	FOXJ1	17q25.1	20.344	forkhead box J1
NM_000819	GART	21q22.11	0.14	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
NM_178172	GPIHBP1	8q24.3	0.147	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
NM_000189	HK2	2p13.1	20.087	hexokinase 2
NM_002118	HLA-DMB	6p21.32	20.288	major histocompatibility complex, class II, DM beta
NM_022465	IKZF4	12q13.2	20.092	IKAROS family zinc finger 4 (Eos)
NM_016584	IL23A	12q13.2	0.493	interleukin 23, alpha subunit p19
NM_006801	KDELR1	19q13.32	20.001	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
NM_014895	KIAA1009	6q14.3	20.15	KIAA1009
NM_017527	LY6K	8q24.3	0.226	lymphocyte antigen 6 complex, locus K
NM_005906	MAK	6p24.2	0.271	male germ cell-associated kinase
NM_024871	MAP6D1	3q27.1	20.038	MAP6 domain containing 1
NM_031417	MARK4	19q13.32	0.04	MAP/microtubule affinity-regulating kinase 4
NM_024298	MBOAT7	19q13.42	20.058	membrane bound O-acyltransferase domain containing 7
NM_002421	MMP1	11q22.2	20.336	matrix metallopeptidase 1 (interstitial collagenase)
NM_181526	MYL9	20q11.23	0.058	myosin, light chain 9, regulatory
NM_032344	NUDT22	11q13.1	0.198	nudix (nucleoside diphosphate linked moiety X)-type motif 22
NM_007224	NXPH4	12q13.3	20.31	neurexophilin 4
NM_015311	OBSL1	2q35	20.045	obscurin-like 1
NM_014982	PCNX	14q24.2	20.098	pecanex homolog (Drosophila)
NM_014317	PDSS1	10p12.1	0.001	prenyl (decaprenyl) diphosphate synthase, subunit 1
NM_024420	PLA2G4A	1q31.1	0.107	phospholipase A2, group IVA (cytosolic, calcium-dependent)
NM_016341	PLCE1	10q23.33	0.029	phospholipase C, epsilon 1
NM_001031745	RIBC1	Xp11.22	0.209	RIB43A domain with coiled-coils 1
NM_015653	RIBC2	22q13.31	0.053	RIB43A domain with coiled-coils 2
NM_006987	RPH3AL	17p13.3	20.043	rabphilin 3A-like (without C2 domains)
NM_001025070	RPS14	5q33.1	0.013	ribosomal protein S14
NM_152732	RSPH9	6p21.1	20.102	radial spoke head 9 homolog (Chlamydomonas)
NM_014433	RTDR1	22q11.22	0.034	rhabdoid tumor deletion region gene 1
NM_005500	SAE1	19q13.32	0.038	SUMO1 activating enzyme subunit 1
NM_020150	SAR1A	10q22.1	0.277	SAR1 homolog A (S. cerevisiae)
NM_031469	SH3BGRL2	6q14.1	20.281	SH3 domain binding glutamic acid-rich protein like 2
NM_003951	SLC25A14	Xq25	20.344	solute carrier family 25 (mitochondrial carrier, brain), member 14
NM_014585	SLC40A1	2q32.2	0.065	solute carrier family 40 (iron-regulated transporter), member 1
NM_052910	SLITRK1	13q31.1	20.314	SLIT and NTRK-like family, member 1
NM_172312	SPAG8	9p13.3	20.123	sperm associated antigen 8
NM_145263	SPATA18	4q12	0.041	spermatogenesis associated 18 homolog (rat)
NM_006100	ST3GAL6	3q12.1	20.192	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
NM_018414	ST6GALNAC1	17q25.1	20.175	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3) -N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
NM_032872	SYTL1	1p36.11	20.084	synaptotagmin-like 1
NM_014466	TEKT2	1p34.3	20.226	tektin 2 (testicular)
NM_005424	TIE1	1p34.2	0.25	tyrosine kinase with immunoglobulin-like and EGF-like domains 1
NM_198276	TMEM17	2p15	0.025	transmembrane protein 17
NM_199203	TMEM189	#NAME?	20q13.13	0.174	TMEM189-UBE2V1 readthrough transcript
NM_033550	TP53RK	20q13.12	0.054	TP53 regulating kinase
NM_139075	TPCN2	11q13.2	0.034	two pore segment channel 2
NM_018430	TSNAXIP1	16q22.1	0.17	translin-associated factor X interacting protein 1
NM_014023	WDR37	10p15.3	0.296	WD repeat domain 37
NM_018053	XKR8	1p35.3	0.106	XK, Kell blood group complex subunit-related family, member 8
NM_015896	ZMYND10	3p21.31	0.052	zinc finger, MYND-type containing 10
NM_005773	ZNF256	19q13.43	0.048	zinc finger protein 256
NM_024691	ZNF419	19q13.43	20.042	zinc finger protein 419
NM_021089	ZNF8	19q13.43	0.093	zinc finger protein 8
NM_017975	ZWILCH	15q22.31	20.074	Zwilch, kinetochore associated, homolog (Drosophila)
