Probe Set ID	Gene Symbol	Fold Change	Gene Title
211382_s_at	TACC2	3.268560648	transforming, acidic coiled-coil containing protein 2
214321_at	NOV	3.250309581	nephroblastoma overexpressed gene
209824_s_at	ARNTL	3.235993359	aryl hydrocarbon receptor nuclear translocator-like
219401_at	XYLT2	3.228279626	xylosyltransferase II
202484_s_at	MBD2	3.219719364	methyl-CpG binding domain protein 2
237737_at	LOC727770	3.215534716	similar to ankyrin repeat domain 20 family, member A1
241529_at	---	3.21218711	---
225525_at	CTA-221G9.4 /// LOC100131004	3.166012195	KIAA1671 protein /// hypothetical protein LOC100131004
213002_at	MARCKS	3.154074923	myristoylated alanine-rich protein kinase C substrate
231270_at	CA13	3.083345772	carbonic anhydrase XIII
202626_s_at	LYN	3.072062403	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
226420_at	EVI1	3.046251403	ecotropic viral integration site 1
239823_at	---	3.032493465	Transcribed locus
243780_at	---	3.003489207	CDNA FLJ46553 fis, clone THYMU3038879
219936_s_at	GPR87	2.987011753	G protein-coupled receptor 87
219901_at	FGD6	2.97257722	FYVE, RhoGEF and PH domain containing 6
219215_s_at	SLC39A4	2.899461971	solute carrier family 39 (zinc transporter), member 4
202289_s_at	TACC2	2.893415374	transforming, acidic coiled-coil containing protein 2
238017_at	RDHE2	2.855245473	epidermal retinal dehydrogenase 2
222714_s_at	LACTB2	2.837788177	lactamase, beta 2
1555241_at	C8orf59	2.837173243	chromosome 8 open reading frame 59
239082_at	---	2.830029997	CDNA clone IMAGE:5311370
226066_at	MITF	2.78923014	microphthalmia-associated transcription factor
218701_at	LACTB2	2.765056337	lactamase, beta 2
225618_at	ARHGAP27	2.74904347	Rho GTPase activating protein 27
225203_at	PPP1R16A	2.746338767	protein phosphatase 1, regulatory (inhibitor) subunit 16A
208735_s_at	CTDSP2	2.702219188	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2
214721_x_at	CDC42EP4	2.682788926	CDC42 effector protein (Rho GTPase binding) 4
228291_s_at	C20orf19	2.669712752	chromosome 20 open reading frame 19
204976_s_at	AMMECR1	2.650741795	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1
201324_at	EMP1	2.649968726	epithelial membrane protein 1
230361_at	KIAA1833	2.63384415	hypothetical protein KIAA1833
1556063_s_at	RPP30	2.628334393	ribonuclease P/MRP 30kDa subunit
223110_at	KIAA1429	2.614020202	KIAA1429
1557038_s_at	---	2.60483005	Clone IMAGE:110862, mRNA sequence
1568609_s_at	FAM91A2 /// FLJ39739	2.581074426	family with sequence similarity 91, member A2 /// hypothetical FLJ39739
224650_at	MAL2	2.570425561	mal, T-cell differentiation protein 2
228284_at	TLE1	2.552737463	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
219325_s_at	ELAC1	2.545069464	elaC homolog 1 (E. coli)
226438_at	---	2.545012607	CDNA: FLJ21447 fis, clone COL04468
227765_at	---	2.525023507	CDNA clone IMAGE:4820809
212543_at	AIM1	2.52453694	absent in melanoma 1
203780_at	MPZL2	2.493048458	myelin protein zero-like 2
201384_s_at	LOC100133166 /// NBR1	2.479850612	neighbor of BRCA1 gene 1 /// similar to neighbor of BRCA1 gene 1
206571_s_at	MAP4K4	2.476262854	mitogen-activated protein kinase kinase kinase kinase 4
218516_s_at	IMPAD1	2.472905952	inositol monophosphatase domain containing 1
220239_at	KLHL7	2.46301575	kelch-like 7 (Drosophila)
231769_at	FBXO6	2.456594041	F-box protein 6
229157_at	---	2.452194818	CDNA clone IMAGE:5274141
219603_s_at	ZNF226	2.444707889	zinc finger protein 226
238005_s_at	SIN3A	2.431396985	SIN3 homolog A, transcription regulator (yeast)
225798_at	JAZF1	2.417053632	JAZF zinc finger 1
208734_x_at	RAB2A	2.403145718	RAB2A, member RAS oncogene family
219745_at	TMEM180	2.397689636	transmembrane protein 180
223013_at	TBL1XR1	2.377402636	transducin (beta)-like 1 X-linked receptor 1
203414_at	MMD	2.367230958	monocyte to macrophage differentiation-associated
235205_at	LOC100128259 /// LOC346887	2.352353132	similar to solute carrier family 16 (monocarboxylic acid transporters), member 14 /// hypothetical protein LOC100128259
218035_s_at	RBM47	2.338912134	RNA binding motif protein 47
225864_at	FAM84B	2.333258391	family with sequence similarity 84, member B
232202_at	---	2.329100802	CDNA: FLJ21274 fis, clone COL01781
213568_at	OSR2	2.323170355	odd-skipped related 2 (Drosophila)
201325_s_at	EMP1	2.322083856	epithelial membrane protein 1
202625_at	LYN	2.310488025	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
225784_s_at	KIAA1166	2.308246246	KIAA1166
208731_at	RAB2A	2.302675536	RAB2A, member RAS oncogene family
229874_x_at	---	2.292909025	CDNA clone IMAGE:3960708
225269_s_at	C2orf12	2.292539987	chromosome 2 open reading frame 12
242069_at	CBX5	2.291694965	chromobox homolog 5 (HP1 alpha homolog, Drosophila)
206632_s_at	APOBEC3B	2.287335622	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
212230_at	PPAP2B	2.283756154	phosphatidic acid phosphatase type 2B
225681_at	CTHRC1	2.281998858	collagen triple helix repeat containing 1
201668_x_at	MARCKS	2.280371805	myristoylated alanine-rich protein kinase C substrate
1554053_at	SPTLC1	2.278662251	serine palmitoyltransferase, long chain base subunit 1
205103_at	C1orf61	2.267049288	chromosome 1 open reading frame 61
229885_at	---	2.261925105	Transcribed locus
202489_s_at	FXYD3	2.261053208	FXYD domain containing ion transport regulator 3
224164_at	TPM3	2.259646901	tropomyosin 3
227341_at	C10orf30	2.258565002	chromosome 10 open reading frame 30
213929_at	---	2.255598982	CDNA clone IMAGE:4733238
238444_at	ZNF618	2.245544159	zinc finger protein 618
213029_at	NFIB	2.23682312	nuclear factor I/B
214717_at	DKFZp434H1419	2.228464652	hypothetical protein DKFZp434H1419
218986_s_at	DDX60	2.22533929	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60
203560_at	GGH	2.214532995	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
203097_s_at	RAPGEF2	2.213664	Rap guanine nucleotide exchange factor (GEF) 2
244261_at	IL28RA	2.208369284	interleukin 28 receptor, alpha (interferon, lambda receptor)
219388_at	GRHL2	2.206885725	grainyhead-like 2 (Drosophila)
204254_s_at	VDR	2.206746564	vitamin D (1,25- dihydroxyvitamin D3) receptor
219961_s_at	C20orf19	2.192437948	chromosome 20 open reading frame 19
228357_at	UNK	2.188936121	unkempt homolog (Drosophila)
205505_at	GCNT1	2.186131112	glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)
225056_at	SIPA1L2	2.186125458	signal-induced proliferation-associated 1 like 2
203584_at	TTC35	2.181743473	tetratricopeptide repeat domain 35
222001_x_at	FAM91A2	2.178470446	family with sequence similarity 91, member A2
225897_at	MARCKS	2.163069599	myristoylated alanine-rich protein kinase C substrate
209289_at	NFIB	2.16259224	nuclear factor I/B
231249_at	---	2.153823002	Transcribed locus, strongly similar to NP_036437.1 adaptor-related protein complex 2, alpha 2 subunit [Homo sapiens]
235102_x_at	---	2.149355378	Transcribed locus
203140_at	BCL6	2.1466031	B-cell CLL/lymphoma 6 (zinc finger protein 51)
219078_at	GPATCH2	2.136962308	G patch domain containing 2
218642_s_at	CHCHD7	2.128788507	coiled-coil-helix-coiled-coil-helix domain containing 7
221827_at	RBCK1	2.122982977	RanBP-type and C3HC4-type zinc finger containing 1
226248_s_at	KIAA1324	2.110902864	KIAA1324
226817_at	DSC2	2.106127136	desmocollin 2
209358_at	TAF11	2.10294546	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa
214061_at	WDR67	2.101294931	WD repeat domain 67
226068_at	SYK	2.097628831	spleen tyrosine kinase
236097_at	---	2.0956308	CDNA FLJ25731 fis, clone TST05584
202723_s_at	FOXO1	2.090416654	forkhead box O1
209454_s_at	TEAD3	2.089532462	TEA domain family member 3
227356_at	---	2.080661084	CDNA: FLJ22198 fis, clone HRC01218
227828_s_at	TMEM166	2.075807278	transmembrane protein 166
212834_at	DDX52	2.072805073	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
214264_s_at	C14orf143	2.06521593	chromosome 14 open reading frame 143
226165_at	C8orf59	2.064202549	chromosome 8 open reading frame 59
223608_at	EFCAB2	2.062607671	EF-hand calcium binding domain 2
200740_s_at	SUMO3	2.052366968	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)
208146_s_at	CPVL	2.048245681	carboxypeptidase, vitellogenic-like
229892_at	EP400NL	2.038256584	EP400 N-terminal like
200958_s_at	SDCBP	2.027483566	syndecan binding protein (syntenin)
202447_at	DECR1	2.022944499	2,4-dienoyl CoA reductase 1, mitochondrial
204301_at	KBTBD11	2.012692741	kelch repeat and BTB (POZ) domain containing 11
225362_at	FAM122B	2.00275718	family with sequence similarity 122B
219587_at	TTC12	1.991690099	tetratricopeptide repeat domain 12
244246_at	MIPOL1	1.980524316	mirror-image polydactyly 1
209066_x_at	UQCRB	1.977471247	ubiquinol-cytochrome c reductase binding protein
219763_at	DENND1A	1.975684391	DENN/MADD domain containing 1A
209545_s_at	RIPK2	1.962506667	receptor-interacting serine-threonine kinase 2
224565_at	TncRNA	1.961332287	trophoblast-derived noncoding RNA
1568596_a_at	TROAP	1.929369826	trophinin associated protein (tastin)
226857_at	ARHGEF19	1.927419247	Rho guanine nucleotide exchange factor (GEF) 19
238183_at	---	1.925954536	Transcribed locus
206451_at	TBCCD1	1.92230667	TBCC domain containing 1
206104_at	ISL1	1.909210879	ISL LIM homeobox 1
231779_at	IRAK2	1.908577981	interleukin-1 receptor-associated kinase 2
220141_at	C11orf63	1.907224815	chromosome 11 open reading frame 63
236937_at	VPS8	1.906784844	Vacuolar protein sorting 8 homolog (S. cerevisiae)
214239_x_at	PCGF2	1.898155809	polycomb group ring finger 2
227067_x_at	NOTCH2NL	1.890276221	Notch homolog 2 (Drosophila) N-terminal like
219412_at	RAB38	1.878340706	RAB38, member RAS oncogene family
239579_at	ABHD7	1.860827328	abhydrolase domain containing 7
213681_at	CYHR1	1.860520233	cysteine/histidine-rich 1
219682_s_at	TBX3	1.83935398	T-box 3 (ulnar mammary syndrome)
212876_at	B4GALT4	1.837802921	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4
203935_at	ACVR1	1.831606575	activin A receptor, type I
216321_s_at	NR3C1	1.8268029	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
1556613_s_at	LOC203107	1.812971684	hypothetical protein LOC203107
222668_at	KCTD15	1.803017344	potassium channel tetramerisation domain containing 15
225181_at	ARID1B /// LOC729446	1.799561542	AT rich interactive domain 1B (SWI1-like) /// hypothetical LOC729446
239002_at	ASPM	1.795037283	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)
203966_s_at	PPM1A	1.778162806	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform
209868_s_at	RBMS1	1.763148684	RNA binding motif, single stranded interacting protein 1
1556228_a_at	VCPIP1	1.749061071	valosin containing protein (p97)/p47 complex interacting protein 1
226123_at	CHD7	1.747363092	chromodomain helicase DNA binding protein 7
230252_at	LPAR5	1.730336641	lysophosphatidic acid receptor 5
210036_s_at	KCNH2	1.716640129	potassium voltage-gated channel, subfamily H (eag-related), member 2
205761_s_at	DUS4L	1.709990089	dihydrouridine synthase 4-like (S. cerevisiae)
229396_at	OVOL1	1.695999248	ovo-like 1(Drosophila)
224952_at	TANC2	1.69538199	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2
219959_at	MOCOS	1.65706235	molybdenum cofactor sulfurase
228057_at	DDIT4L	0.59182231	DNA-damage-inducible transcript 4-like
202321_at	GGPS1	0.588588784	geranylgeranyl diphosphate synthase 1
202967_at	GSTA4	0.588519841	glutathione S-transferase A4
212912_at	RPS6KA2	0.564818078	ribosomal protein S6 kinase, 90kDa, polypeptide 2
218276_s_at	SAV1	0.553805437	salvador homolog 1 (Drosophila)
202215_s_at	NFYC	0.55200139	nuclear transcription factor Y, gamma
213428_s_at	COL6A1	0.551696037	collagen, type VI, alpha 1
36553_at	ASMTL	0.536672229	acetylserotonin O-methyltransferase-like
210377_at	ACSM3	0.536317056	acyl-CoA synthetase medium-chain family member 3
213803_at	---	0.519613946	Transcribed locus
227333_at	---	0.518471139	CDNA: FLJ23546 fis, clone LNG08361
202934_at	HK2	0.507212084	hexokinase 2
228340_at	TLE3	0.507121755	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)
235304_at	---	0.504521853	Transcribed locus
235264_at	HCFC2	0.499313018	host cell factor C2
203974_at	HDHD1A	0.499220078	haloacid dehalogenase-like hydrolase domain containing 1A
210150_s_at	LAMA5	0.497431427	laminin, alpha 5
203998_s_at	SYT1	0.496337322	synaptotagmin I
1554704_at	ATP8B3	0.492654732	ATPase, class I, type 8B, member 3
227617_at	TMEM201	0.490589124	transmembrane protein 201
227145_at	LOXL4	0.490420437	lysyl oxidase-like 4
1569369_at	ZFYVE28	0.489271008	zinc finger, FYVE domain containing 28
212623_at	TMEM41B	0.488646302	transmembrane protein 41B
226382_at	LOC283070	0.488408437	hypothetical protein LOC283070
221740_x_at	LRRC37A2	0.475096637	Leucine rich repeat containing 37, member A2 /// CDNA clone IMAGE:4902949
204759_at	RCBTB2	0.474614272	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2
207714_s_at	SERPINH1	0.470672739	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)
203820_s_at	IGF2BP3	0.468625311	insulin-like growth factor 2 mRNA binding protein 3
203624_at	SFRS17A	0.4679163	splicing factor, arginine/serine-rich 17A
222763_s_at	WDR33	0.467263747	WD repeat domain 33
36554_at	ASMTL	0.457783273	acetylserotonin O-methyltransferase-like
208760_at	UBE2I	0.457504914	Ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)
201124_at	ITGB5	0.455029775	integrin, beta 5
217979_at	TSPAN13	0.451371958	tetraspanin 13
266_s_at	CD24	0.446387192	CD24 molecule
210130_s_at	TM7SF2	0.446023068	transmembrane 7 superfamily member 2
235419_at	---	0.445877413	Transcribed locus
213260_at	FOXC1	0.442466616	forkhead box C1
225548_at	SHROOM3	0.441004131	shroom family member 3
203710_at	ITPR1	0.440539532	inositol 1,4,5-triphosphate receptor, type 1
239106_at	CA5BL	0.438874714	Carbonic anhydrase VB-like
222872_x_at	OBFC2A	0.437824416	oligonucleotide/oligosaccharide-binding fold containing 2A
222444_at	ARMCX3	0.437384984	armadillo repeat containing, X-linked 3
226223_at	---	0.437298851	Transcribed locus
208650_s_at	CD24	0.436965196	CD24 molecule
235456_at	---	0.436347807	CDNA clone IMAGE:4819084
225062_at	LOC100132181 /// LOC389831	0.435255312	hypothetical gene supported by AL713796 /// hypothetical protein LOC100132181
212361_s_at	ATP2A2	0.433456218	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
228425_at	LOC654433	0.432372829	hypothetical LOC654433
233085_s_at	OBFC2A	0.432050442	oligonucleotide/oligosaccharide-binding fold containing 2A
231183_s_at	JAG1	0.428412941	Jagged 1 (Alagille syndrome)
227696_at	EXOSC6	0.423293552	exosome component 6
203300_x_at	AP1S2	0.421976389	adaptor-related protein complex 1, sigma 2 subunit
216685_s_at	MTAP	0.421802114	methylthioadenosine phosphorylase
210273_at	PCDH7	0.41959786	protocadherin 7
203043_at	ZBED1	0.419345735	zinc finger, BED-type containing 1
208893_s_at	DUSP6	0.419337047	dual specificity phosphatase 6
206310_at	SPINK2	0.418947069	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)
202506_at	SSFA2	0.418811078	sperm specific antigen 2
204602_at	DKK1	0.408146187	dickkopf homolog 1 (Xenopus laevis)
214036_at	---	0.406839092	CDNA: FLJ22256 fis, clone HRC02860
205399_at	DCLK1	0.404249174	doublecortin-like kinase 1
242139_s_at	---	0.403845667	---
214770_at	MSR1	0.403322884	macrophage scavenger receptor 1
1555878_at	RPS24	0.402439965	Ribosomal protein S24
210269_s_at	SFRS17A	0.399892689	splicing factor, arginine/serine-rich 17A
227955_s_at	---	0.398354684	CDNA: FLJ22256 fis, clone HRC02860
236090_at	---	0.396265808	Transcribed locus
228280_at	ZC3HAV1L	0.396135617	zinc finger CCCH-type, antiviral 1-like
202627_s_at	SERPINE1	0.394957267	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
225594_at	CREBZF	0.393812896	CREB/ATF bZIP transcription factor
242671_at	---	0.392558743	---
219351_at	SEDLP /// TRAPPC2 /// ZNF547	0.391797313	trafficking protein particle complex 2 /// spondyloepiphyseal dysplasia, late, pseudogene /// zinc finger protein 547
212412_at	PDLIM5	0.388665257	PDZ and LIM domain 5
222719_s_at	PDGFC	0.388418659	platelet derived growth factor C
205932_s_at	MSX1	0.386654599	msh homeobox 1
202319_at	SENP6	0.385466471	SUMO1/sentrin specific peptidase 6
228188_at	FOSL2	0.385274275	FOS-like antigen 2
224953_at	YIPF5	0.385159048	Yip1 domain family, member 5
204060_s_at	PRKX /// PRKY	0.383647387	protein kinase, X-linked /// protein kinase, Y-linked
221760_at	MAN1A1	0.382563089	Mannosidase, alpha, class 1A, member 1
229713_at	---	0.381721838	Transcribed locus, strongly similar to XP_001145575.1 PREDICTED: hypothetical protein [Pan troglodytes]
209470_s_at	GPM6A	0.381643463	glycoprotein M6A
202741_at	PRKACB	0.378753408	protein kinase, cAMP-dependent, catalytic, beta
1553613_s_at	FOXC1	0.377679736	forkhead box C1
211363_s_at	MTAP	0.374397327	methylthioadenosine phosphorylase
222854_s_at	GEMIN8	0.373872844	gem (nuclear organelle) associated protein 8
235780_at	PRKACB	0.371251078	protein kinase, cAMP-dependent, catalytic, beta
225381_at	LOC399959	0.368654774	hypothetical gene supported by BX647608
238467_at	---	0.368380486	CDNA FLJ41419 fis, clone BRHIP2002339
203474_at	IQGAP2	0.367571732	IQ motif containing GTPase activating protein 2
204702_s_at	NFE2L3	0.367238285	nuclear factor (erythroid-derived 2)-like 3
201819_at	SCARB1	0.365719861	scavenger receptor class B, member 1
229435_at	GLIS3	0.365118397	GLIS family zinc finger 3
219637_at	ARMC9	0.363918007	armadillo repeat containing 9
216325_x_at	RTEL1	0.363796251	regulator of telomere elongation helicase 1
238554_at	CYB5B	0.362318237	cytochrome b5 type B (outer mitochondrial membrane)
229744_at	SSFA2	0.362197006	Sperm specific antigen 2
204867_at	GCHFR	0.359871368	GTP cyclohydrolase I feedback regulator
1552256_a_at	SCARB1	0.358378278	scavenger receptor class B, member 1
203438_at	STC2	0.35394802	stanniocalcin 2
1569629_x_at	LOC389906 /// LOC441528 /// LOC728687 /// LOC729162	0.347516585	similar to Serine/threonine-protein kinase PRKX (Protein kinase PKX1) /// hypothetical protein LOC441528 /// similar to hCG1981372 /// similar to LOC389906 protein
1552625_a_at	TRNT1	0.346922597	tRNA nucleotidyl transferase, CCA-adding, 1
239680_at	---	0.343385308	Transcribed locus
221994_at	PDLIM5	0.338206619	PDZ and LIM domain 5
235230_at	---	0.337667981	CDNA FLJ34317 fis, clone FEBRA2008475
228778_at	---	0.336027776	Transcribed locus
225046_at	LOC100132181	0.330284715	hypothetical protein LOC100132181
228885_at	MAMDC2	0.330102357	MAM domain containing 2
201438_at	COL6A3	0.327574189	collagen, type VI, alpha 3
202998_s_at	ENTPD4 /// LOXL2	0.323096334	lysyl oxidase-like 2 /// ectonucleoside triphosphate diphosphohydrolase 4
242140_at	---	0.321832918	---
229667_s_at	HOXB8	0.316059602	homeobox B8
212907_at	SLC30A1	0.315521509	Solute carrier family 30 (zinc transporter), member 1
213668_s_at	SOX4	0.312094478	SRY (sex determining region Y)-box 4
204061_at	PRKX	0.309238654	protein kinase, X-linked
203242_s_at	PDLIM5	0.307045022	PDZ and LIM domain 5
1554155_at	MCPH1	0.306274604	microcephalin 1
201417_at	SOX4	0.305296195	SRY (sex determining region Y)-box 4
202742_s_at	PRKACB	0.296553982	protein kinase, cAMP-dependent, catalytic, beta
235573_at	---	0.294832008	Transcribed locus
236471_at	NFE2L3	0.294779089	nuclear factor (erythroid-derived 2)-like 3
211681_s_at	PDLIM5	0.291737562	PDZ and LIM domain 5
203637_s_at	MID1	0.287077472	midline 1 (Opitz/BBB syndrome)
201110_s_at	THBS1	0.287075591	thrombospondin 1
238729_x_at	---	0.284285341	Transcribed locus, strongly similar to NP_068590.1 WW45 protein [Homo sapiens]
240421_x_at	---	0.27570011	CDNA clone IMAGE:5268630
212094_at	PEG10	0.265099199	paternally expressed 10
218963_s_at	KRT23	0.261400378	keratin 23 (histone deacetylase inducible)
201129_at	SFRS7	0.259668776	splicing factor, arginine/serine-rich 7, 35kDa
232007_at	AGPAT5	0.255380628	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)
201418_s_at	SOX4	0.252535993	SRY (sex determining region Y)-box 4
244841_at	SEC24A	0.252424764	SEC24 related gene family, member A (S. cerevisiae)
201109_s_at	THBS1	0.250014731	thrombospondin 1
201108_s_at	THBS1	0.248965736	thrombospondin 1
203636_at	MID1	0.233607315	midline 1 (Opitz/BBB syndrome)
218723_s_at	C13orf15	0.227386478	chromosome 13 open reading frame 15
229622_at	FAM132B	0.225754601	family with sequence similarity 132, member B
213684_s_at	PDLIM5	0.191919639	PDZ and LIM domain 5
216236_s_at	SLC2A14 /// SLC2A3	0.187068425	solute carrier family 2 (facilitated glucose transporter), member 3 /// solute carrier family 2 (facilitated glucose transporter), member 14
227164_at	SFRS1	0.183374168	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)
228640_at	PCDH7	0.173539699	protocadherin 7
201741_x_at	SFRS1	0.166401643	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)
244163_at	SEMA3A	0.158865448	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
214332_s_at	TSFM	0.154894113	Ts translation elongation factor, mitochondrial
227480_at	SUSD2	0.146111066	sushi domain containing 2
222088_s_at	SLC2A14 /// SLC2A3	0.145277484	solute carrier family 2 (facilitated glucose transporter), member 3 /// solute carrier family 2 (facilitated glucose transporter), member 14
206029_at	ANKRD1	0.143530413	ankyrin repeat domain 1 (cardiac muscle)
206805_at	SEMA3A	0.141918193	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
206504_at	CYP24A1	0.135652901	cytochrome P450, family 24, subfamily A, polypeptide 1
230748_at	SLC16A6	0.133643542	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
207038_at	SLC16A6	0.11427654	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
242334_at	NLRP4	0.11379892	NLR family, pyrin domain containing 4
202498_s_at	SLC2A3	0.107999571	solute carrier family 2 (facilitated glucose transporter), member 3
1564359_a_at	LOC339260	0.086190998	Hypothetical gene supported by BC072410
1564360_a_at	LOC339260	0.077861027	Hypothetical gene supported by BC072410
238419_at	PHLDB2	0.070882881	pleckstrin homology-like domain, family B, member 2
229669_at	LOC440416	0.06788151	hypothetical gene supported by BC072410
202499_s_at	SLC2A3	0.063404355	solute carrier family 2 (facilitated glucose transporter), member 3
219836_at	ZBED2	0.032794543	zinc finger, BED-type containing 2
