Mouse Probe Set ID	Gene Title	Gene Symbol	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Human Probe Set ID	Gene Symbol
1419373_at	ATPase, H+ transporting, V1 subunit B, isoform 1	Atp6v1b1	6754 // ATP biosynthesis // inferred from electronic annotation /// 6810 // transport // inferred from electronic annotation /// 6811 // ion transport // inferred from electronic annotation /// 6885 // regulation of pH // inferred from sequence or structural similarity /// 7605 // perception of sound // inferred from sequence or structural similarity /// 15992 // proton transport // inferred from electronic annotation	5624 // membrane fraction // inferred from direct assay /// 5739 // mitochondrion // inferred from electronic annotation /// 16323 // basolateral plasma membrane // inferred from direct assay /// 16324 // apical plasma membrane // inferred from direct assay	15078 // hydrogen ion transporter activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation	205473_at	ATP6V1B1
1420946_at	alpha thalassemia/mental retardation syndrome X-linked homolog (human)	Atrx	6281 // DNA repair // inferred from electronic annotation /// 6974 // response to DNA damage stimulus // inferred from electronic annotation	228 // nuclear chromosome // inferred from direct assay /// 792 // heterochromatin // inferred from direct assay /// 5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 4386 // helicase activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation	211022_s_at	ATRX
1424814_a_at	Bcl2-like 14 (apoptosis facilitator)	Bcl2l14	6915 // apoptosis // inferred from sequence or structural similarity /// 42981 // regulation of apoptosis // inferred from sequence or structural similarity	---	---	234533_at	BCL2L14
1418421_at	B-cell CLL/lymphoma 6, member B	Bcl6b	122 // negative regulation of transcription from RNA polymerase II promoter // inferred from direct assay	5634 // nucleus // inferred from direct assay	3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from direct assay /// 5515 // protein binding // inferred from physical interaction /// 5515 // protein binding // inferred from sequence or structural similarity /// 8270 // zinc ion binding // inferred from electronic annotation /// 16564 // transcriptional repressor activity // inferred from direct assay	242148_at	BCL6B
1442187_at	LOC432690	LOC432690	---	---	---	205870_at	BDKRB2
1420683_at	BCL2/adenovirus E1B 19kD interacting protein like	Bnipl	6915 // apoptosis // inferred from electronic annotation /// 6917 // induction of apoptosis // inferred from sequence or structural similarity	---	---	236534_at	BNIPL
1449211_at	bisphosphate 3-nucleotidase 1	Bpnt1	6355 // regulation of transcription, DNA-dependent // inferred from sequence or structural similarity	5615 // extracellular space // traceable author statement /// 5622 // intracellular // inferred from sequence or structural similarity	287 // magnesium ion binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from sequence or structural similarity /// 4437 // inositol or phosphatidylinositol phosphatase activity // inferred from sequence or structural similarity /// 8441 // 3(2),5-bisphosphate nucleotidase activity // inferred from direct assay /// 16787 // hydrolase activity // inferred from electronic annotation	219391_at	BPNT1
1450131_a_at	B-box and SPRY domain containing	Bspry	---	5622 // intracellular // inferred from sequence or structural similarity	8270 // zinc ion binding // inferred from sequence or structural similarity	222746_s_at	BSPRY
1433836_a_at	RIKEN cDNA 8430408G22 gene	8430408G22Rik	---	---	---	209182_s_at	C10orf10
1416619_at	RIKEN cDNA 4632428N05 gene	4632428N05Rik	---	5615 // extracellular space // traceable author statement /// 16021 // integral to membrane // traceable author statement	4872 // receptor activity // inferred from electronic annotation	225372_at	C10orf54
1428880_at	RIKEN cDNA 0610038F07 gene	0610038F07Rik	---	5615 // extracellular space // traceable author statement	---	223048_at	C11orf79
1419211_s_at	RIKEN cDNA 4933424B01 gene	4933424B01Rik	---	---	---	221652_s_at	C12orf11
1434767_at	expressed sequence C79407	C79407	6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from electronic annotation	244173_at	C14orf106
1427176_s_at	expressed sequence AI428936	AI428936	---	---	---	235515_at	C19orf46
1427996_at	cDNA sequence BC028528	BC028528	---	---	---	219506_at	C1orf54
1437726_x_at	complement component 1, q subcomponent, beta polypeptide	C1qb	6817 // phosphate transport // inferred from electronic annotation /// 6956 // complement activation // inferred from electronic annotation /// 6958 // complement activation, classical pathway // inferred from electronic annotation	5615 // extracellular space // traceable author statement /// 5737 // cytoplasm // inferred from electronic annotation	---	202953_at	C1QB
1460049_s_at	RIKEN cDNA 1500015O10 gene	1500015O10Rik	---	5615 // extracellular space // traceable author statement	---	223623_at	C2orf40
1439902_at	Transcribed locus	---	---	---	---	220088_at	C5AR1
1429087_at	RIKEN cDNA 2610312O17 gene	2610312O17Rik	---	---	---	223558_at	C9orf80
1449434_at	---	---	---	---	---	204865_at	CA3
1437385_at	Transcribed locus	---	---	---	---	242324_x_at	CCBE1
1428549_at	coiled-coil domain containing 3	Ccdc3	---	---	---	223316_at	CCDC3
1419426_s_at	chemokine (C-C motif) ligand 21b (serine) /// chemokine (C-C motif) ligand 21a (leucine) /// chemokine (C-C motif) ligand 21c (leucine)	Ccl21b /// Ccl21a /// Ccl21c	6935 // chemotaxis // inferred from electronic annotation /// 6954 // inflammatory response // inferred from electronic annotation /// 6955 // immune response // inferred from electronic annotation /// 7515 // lymph gland development // inferred from mutant phenotype /// 7600 // sensory perception // inferred from electronic annotation /// 50930 // induction of positive chemotaxis // inferred from direct assay /// 30595 // immune cell chemotaxis // inferred from sequence or structural similarity /// 45638 // negative regulation of myeloid blood cell differentiation // inferred from sequence or structural similarity	5576 // extracellular region // inferred from electronic annotation	5125 // cytokine activity // inferred from electronic annotation /// 8009 // chemokine activity // inferred from electronic annotation /// 8009 // chemokine activity // inferred from sequence or structural similarity	204606_at	CCL21
1417420_at	cyclin D1	Ccnd1	74 // regulation of cell cycle // inferred from direct assay /// 320 // re-entry into mitotic cell cycle // inferred from direct assay /// 910 // cytokinesis // inferred from electronic annotation /// 6468 // protein amino acid phosphorylation // inferred from direct assay /// 7049 // cell cycle // inferred from electronic annotation /// 45444 // adipocyte differentiation // inferred from direct assay	307 // cyclin-dependent protein kinase holoenzyme complex // inferred from physical interaction /// 5634 // nucleus // inferred from direct assay /// 5829 // cytosol // inferred from direct assay	4672 // protein kinase activity // inferred from direct assay /// 5515 // protein binding // inferred from physical interaction /// 16301 // kinase activity // inferred from direct assay /// 16538 // cyclin-dependent protein kinase regulator activity // inferred from direct assay	208712_at	CCND1
1458634_at	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	Cd47	7229 // integrin-mediated signaling pathway // inferred from electronic annotation /// 8228 // opsonization // inferred from direct assay /// 50766 // positive regulation of phagocytosis // inferred from direct assay	5615 // extracellular space // traceable author statement /// 5887 // integral to plasma membrane // inferred from direct assay	5515 // protein binding // inferred from physical interaction	213856_at	CD47
1419589_at	complement component 1, q subcomponent, receptor 1	C1qr1	6952 // defense response // inferred from electronic annotation /// 7155 // cell adhesion // inferred from electronic annotation	5615 // extracellular space // traceable author statement /// 5886 // plasma membrane // inferred from direct assay /// 16021 // integral to membrane // traceable author statement /// 16023 // cytoplasmic vesicle // inferred from direct assay	4872 // receptor activity // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation /// 5529 // sugar binding // inferred from electronic annotation	202878_s_at	CD93
1452040_a_at	cell division cycle associated 3	Cdca3	910 // cytokinesis // inferred from electronic annotation	---	---	221436_s_at	CDCA3
1423551_at	cadherin 13	Cdh13	7155 // cell adhesion // inferred from electronic annotation /// 7156 // homophilic cell adhesion // inferred from electronic annotation	5886 // plasma membrane // inferred from direct assay /// 9897 // external side of plasma membrane // inferred from direct assay /// 16020 // membrane // inferred from electronic annotation	5509 // calcium ion binding // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 42803 // protein homodimerization activity // inferred from direct assay	204726_at	CDH13
1438957_x_at	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2	Cds2	6644 // phospholipid metabolism // inferred from sequence or structural similarity /// 8654 // phospholipid biosynthesis // inferred from sequence or structural similarity	5743 // mitochondrial inner membrane // inferred from sequence or structural similarity /// 16020 // membrane // inferred from sequence or structural similarity /// 16021 // integral to membrane // traceable author statement	4605 // phosphatidate cytidylyltransferase activity // inferred from sequence or structural similarity /// 16740 // transferase activity // inferred from sequence or structural similarity /// 16779 // nucleotidyltransferase activity // inferred from sequence or structural similarity	233630_at	CDS2
1417257_at	carboxyl ester lipase	Cel	16042 // lipid catabolism // inferred from electronic annotation /// 46514 // ceramide catabolism // inferred from mutant phenotype	5615 // extracellular space // traceable author statement	3824 // catalytic activity // inferred from electronic annotation /// 4759 // serine esterase activity // inferred from electronic annotation /// 4806 // triacylglycerol lipase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation	205910_s_at	CEL
1419833_s_at	centaurin, delta 3	Centd3	7126 // meiosis // inferred from electronic annotation	5634 // nucleus // inferred from sequence or structural similarity	3677 // DNA binding // inferred from sequence or structural similarity /// 5096 // GTPase activator activity // inferred from electronic annotation	235806_at	CENTD3
1437932_a_at	claudin 1	Cldn1	---	5615 // extracellular space // traceable author statement /// 5923 // tight junction // inferred from direct assay /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	5198 // structural molecule activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction	218182_s_at	CLDN1
1419468_at	C-type lectin domain family 14, member a	Clec14a	---	16021 // integral to membrane // traceable author statement	5529 // sugar binding // inferred from sequence or structural similarity	226244_at	CLEC14A
1454866_s_at	chloride intracellular channel 6	Clic6	6810 // transport // inferred from electronic annotation /// 6811 // ion transport // inferred from electronic annotation /// 6821 // chloride transport // inferred from sequence or structural similarity	16020 // membrane // inferred from sequence or structural similarity	5216 // ion channel activity // inferred from electronic annotation /// 5244 // voltage-gated ion channel activity // inferred from electronic annotation /// 5247 // voltage-gated chloride channel activity // inferred from sequence or structural similarity	227742_at	CLIC6
1426662_at	cytidine monophospho-N-acetylneuraminic acid synthetase	Cmas	6055 // CMP-N-acetylneuraminate biosynthesis // inferred from sequence or structural similarity /// 9103 // lipopolysaccharide biosynthesis // inferred from sequence or structural similarity	5634 // nucleus // inferred from sequence or structural similarity	8781 // N-acylneuraminate cytidylyltransferase activity // inferred from sequence or structural similarity /// 16740 // transferase activity // inferred from electronic annotation /// 16779 // nucleotidyltransferase activity // inferred from electronic annotation	241065_x_at	CMAS
1434917_at	cordon-bleu	Cobl	1843 // neural tube closure // inferred from genetic interaction	---	---	213050_at	COBL
1420849_at	Crn, crooked neck-like 1 (Drosophila)	Crnkl1	398 // nuclear mRNA splicing, via spliceosome // inferred from sequence or structural similarity /// 6396 // RNA processing // inferred from electronic annotation /// 6397 // mRNA processing // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation /// 5681 // spliceosome complex // inferred from sequence or structural similarity	---	219913_s_at	CRNKL1
1437632_at	Transcribed locus	---	---	---	---	202612_s_at	CRSP2
1455660_at	Colony stimulating factor 2 receptor, beta 1, low-affinity (granulocyte-macrophage)	Csf2rb1	---	5615 // extracellular space // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	4872 // receptor activity // inferred from electronic annotation /// 4896 // hematopoietin/interferon-class (D200-domain) cytokine receptor activity // inferred from electronic annotation	205159_at	CSF2RB
1417491_at	cathepsin B	Ctsb	6508 // proteolysis and peptidolysis // inferred from electronic annotation /// 6605 // protein targeting // inferred from sequence or structural similarity	5615 // extracellular space // traceable author statement /// 5739 // mitochondrion // inferred from direct assay /// 5764 // lysosome // inferred from electronic annotation	4197 // cysteine-type endopeptidase activity // inferred from electronic annotation /// 4213 // cathepsin B activity // inferred from electronic annotation /// 4601 // peroxidase activity // inferred from sequence or structural similarity /// 8233 // peptidase activity // inferred from electronic annotation /// 8234 // cysteine-type peptidase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation	200838_at	CTSB
1437939_s_at	Cathepsin C	Ctsc	6508 // proteolysis and peptidolysis // inferred from electronic annotation	5615 // extracellular space // traceable author statement /// 5764 // lysosome // inferred from electronic annotation	4197 // cysteine-type endopeptidase activity // inferred from electronic annotation /// 4214 // dipeptidyl-peptidase I activity // inferred from electronic annotation /// 8233 // peptidase activity // inferred from electronic annotation /// 8234 // cysteine-type peptidase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation	225646_at	CTSC
1443084_at	cathepsin O	Ctso	6508 // proteolysis and peptidolysis // inferred from sequence or structural similarity	5615 // extracellular space // traceable author statement	4197 // cysteine-type endopeptidase activity // inferred from sequence or structural similarity /// 8233 // peptidase activity // inferred from electronic annotation /// 8234 // cysteine-type peptidase activity // inferred from sequence or structural similarity /// 16787 // hydrolase activity // inferred from electronic annotation	203758_at	CTSO
1418457_at	chemokine (C-X-C motif) ligand 14	Cxcl14	6955 // immune response // inferred from electronic annotation	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // traceable author statement	5125 // cytokine activity // inferred from electronic annotation /// 8009 // chemokine activity // inferred from electronic annotation	222484_s_at	CXCL14
1429163_at	RIKEN cDNA 3110041P15 gene	3110041P15Rik	---	---	---	222101_s_at	DCHS1
1443445_at	Diaphanous homolog 3 (Drosophila)	Diap3	16043 // cell organization and biogenesis // inferred from electronic annotation /// 30036 // actin cytoskeleton organization and biogenesis // inferred from electronic annotation	---	3676 // nucleic acid binding // inferred from sequence or structural similarity /// 3779 // actin binding // inferred from electronic annotation /// 4522 // pancreatic ribonuclease activity // inferred from sequence or structural similarity /// 17048 // Rho GTPase binding // inferred from electronic annotation	220997_s_at	DIAPH3
1440551_at	DnaJ (Hsp40) homolog, subfamily C, member 1	Dnajc1	6445 // regulation of translation // inferred from direct assay /// 6457 // protein folding // inferred from direct assay	5634 // nucleus // inferred from electronic annotation /// 5783 // endoplasmic reticulum // inferred from direct assay /// 5792 // microsome // inferred from direct assay /// 16021 // integral to membrane // inferred from electronic annotation	3677 // DNA binding // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 31072 // heat shock protein binding // inferred from electronic annotation /// 43022 // ribosome binding // inferred from physical interaction /// 51082 // unfolded protein binding // inferred from electronic annotation /// 51087 // chaperone binding // inferred from direct assay	222621_at	DNAJC1
1433596_at	DnaJ (Hsp40) homolog, subfamily C, member 6	Dnajc6	7049 // cell cycle // inferred from electronic annotation /// 45786 // negative regulation of cell cycle // inferred from electronic annotation	---	16787 // hydrolase activity // inferred from electronic annotation	204720_s_at	DNAJC6
1424229_at	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	Dyrk3	18108 // peptidyl-tyrosine phosphorylation // inferred from sequence or structural similarity	---	4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 4713 // protein-tyrosine kinase activity // inferred from sequence or structural similarity /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	210151_s_at	DYRK3
1451375_at	ets homologous factor	Ehf	6355 // regulation of transcription, DNA-dependent // inferred from sequence or structural similarity	5634 // nucleus // inferred from sequence or structural similarity	3677 // DNA binding // inferred from sequence or structural similarity /// 3700 // transcription factor activity // inferred from sequence or structural similarity	232361_s_at	EHF
1419555_at	E74-like factor 5	Elf5	6355 // regulation of transcription, DNA-dependent // inferred from sequence or structural similarity	5634 // nucleus // inferred from sequence or structural similarity	3677 // DNA binding // inferred from sequence or structural similarity /// 3700 // transcription factor activity // inferred from sequence or structural similarity	220625_s_at	ELF5
1418058_at	EGF, latrophilin seven transmembrane domain containing 1	Eltd1	7165 // signal transduction // inferred from electronic annotation /// 7186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 7218 // neuropeptide signaling pathway // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4871 // signal transducer activity // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 4930 // G-protein coupled receptor activity // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from electronic annotation	219134_at	ELTD1
1458768_at	Erythrocyte protein band 4.1-like 5		---	5856 // cytoskeleton // inferred from electronic annotation	5198 // structural molecule activity // inferred from electronic annotation	229292_at	EPB41L5
1434606_at	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	Erbb3	74 // regulation of cell cycle // inferred from electronic annotation /// 6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7422 // peripheral nervous system development // inferred from mutant phenotype /// 7507 // heart development // inferred from mutant phenotype /// 50875 // cellular physiological process // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation /// 16324 // apical plasma membrane // inferred from direct assay /// 16328 // lateral plasma membrane // inferred from direct assay	4672 // protein kinase activity // inferred from electronic annotation /// 4713 // protein-tyrosine kinase activity // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	226213_at	ERBB3
1460356_at	endothelial cell-specific adhesion molecule	Esam1	7156 // homophilic cell adhesion // inferred from direct assay /// 16338 // calcium-independent cell-cell adhesion // traceable author statement	5615 // extracellular space // traceable author statement /// 5886 // plasma membrane // inferred from direct assay /// 5912 // adherens junction // inferred from direct assay /// 5923 // tight junction // inferred from direct assay /// 16021 // integral to membrane // traceable author statement	---	225369_at	ESAM
1424239_at	RIKEN cDNA 2310066E14 gene	2310066E14Rik	---	---	3899 // DNA-directed RNA polymerase activity // inferred from electronic annotation	230806_s_at	FAM65A
1416036_at	FK506 binding protein 1a	Fkbp1a	6457 // protein folding // inferred from electronic annotation /// 6810 // transport // inferred from sequence or structural similarity	16020 // membrane // inferred from sequence or structural similarity	3755 // peptidyl-prolyl cis-trans isomerase activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from sequence or structural similarity /// 5528 // FK506 binding // inferred from sequence or structural similarity /// 16853 // isomerase activity // inferred from electronic annotation /// 42626 // ATPase activity, coupled to transmembrane movement of substances // inferred from sequence or structural similarity	210186_s_at	FKBP1A
1433512_at	Friend leukemia integration 1	Fli1	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from mutant phenotype /// 8015 // circulation // inferred from mutant phenotype /// 9887 // organogenesis // inferred from mutant phenotype /// 50875 // cellular physiological process // traceable author statement	5634 // nucleus // inferred from direct assay	3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation /// 16563 // transcriptional activator activity // traceable author statement	237722_at	FLI1
1424464_s_at	RIKEN cDNA 2210010L05 gene	2210010L05Rik	---	16021 // integral to membrane // inferred from electronic annotation	---	219858_s_at	FLJ20160
1438021_at	cDNA sequence BC013481	BC013481	---	---	---	229440_at	FLJ20273
1448786_at	RIKEN cDNA 1100001H23 gene	1100001H23Rik	---	5615 // extracellular space // traceable author statement	---	222639_s_at	FLJ22662
1419300_at	FMS-like tyrosine kinase 1	Flt1	1525 // angiogenesis // inferred from mutant phenotype /// 1569 // patterning of blood vessels // inferred from mutant phenotype /// 6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from electronic annotation /// 16477 // cell migration // inferred from genetic interaction /// 30154 // cell differentiation // inferred from electronic annotation	5615 // extracellular space // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4672 // protein kinase activity // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from sequence or structural similarity /// 4713 // protein-tyrosine kinase activity // inferred from electronic annotation /// 4714 // transmembrane receptor protein tyrosine kinase activity // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 5021 // vascular endothelial growth factor receptor activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	210287_s_at	FLT1
1421442_at	FMS-like tyrosine kinase 4	Flt4	6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from electronic annotation	5615 // extracellular space // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	4672 // protein kinase activity // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from sequence or structural similarity /// 4713 // protein-tyrosine kinase activity // inferred from electronic annotation /// 4714 // transmembrane receptor protein tyrosine kinase activity // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 5021 // vascular endothelial growth factor receptor activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	234379_at	FLT4
1415939_at	fibromodulin	Fmod	---	5578 // extracellular matrix (sensu Metazoa) // inferred from electronic annotation /// 5615 // extracellular space // traceable author statement	---	202709_at	FMOD
1452123_s_at	FERM domain containing 4B	Frmd4b	---	5856 // cytoskeleton // inferred from electronic annotation	---	216131_at	FRMD4B
1429235_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2	Galntl2	---	5794 // Golgi apparatus // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	5529 // sugar binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 30145 // manganese ion binding // inferred from electronic annotation	239461_at	GALNTL2
1418392_a_at	guanylate nucleotide binding protein 4	Gbp4	6955 // immune response // inferred from sequence or structural similarity	5829 // cytosol // inferred from direct assay	3924 // GTPase activity // inferred from sequence or structural similarity /// 5525 // GTP binding // inferred from sequence or structural similarity	235574_at	GBP4
1424374_at	GTPase, IMAP family member 4	Gimap4	---	---	5525 // GTP binding // inferred from electronic annotation	219243_at	GIMAP4
1456061_at	GTPase, IMAP family member 8	Gimap8	---	---	---	240646_at	GIMAP8
1422704_at	glycerol kinase	Gyk	5975 // carbohydrate metabolism // inferred from electronic annotation /// 6071 // glycerol metabolism // inferred from electronic annotation /// 6072 // glycerol-3-phosphate metabolism // inferred from electronic annotation	---	4370 // glycerol kinase activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	217167_x_at	GK
1439692_at	16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630042A05 product:unclassifiable, full insert sequence	---	---	---	---	242592_at	GPR137C
1454685_at	Transcribed locus	---	---	---	---	228770_at	GPR146
1452353_at	G protein-coupled receptor 155	Gpr155	---	---	4872 // receptor activity // inferred from electronic annotation	244509_at	GPR155
1448239_at	heme oxygenase (decycling) 1	Hmox1	6788 // heme oxidation // inferred from electronic annotation /// 50896 // response to stimulus // inferred from direct assay	5792 // microsome // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	4392 // heme oxygenase (decyclizing) activity // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation	203665_at	HMOX1
