probe	UGCluster	EntrezGene.ID	NAME	LumB	LumA	Normal	Basal	Her2
AGI_HUM1_OLIGO_A_23_P134176	Hs.384944	NA	superoxide dismutase 2, mitochondrial	-0.337	-0.613	0.013	1.038	-0.262
AGI_HUM1_OLIGO_A_23_P122304	Hs.3352	3066	histone deacetylase 2	-0.224	-0.426	-0.294	0.531	0.04
AGI_HUM1_OLIGO_A_23_P390504	Hs.348883	2296	forkhead box C1	-0.26	-0.263	0.82	1.857	-0.289
AGI_HUM1_OLIGO_A_23_P124200	Hs.397465	2899	homeodomain interacting protein kinase 2	-0.178	0.21	0.283	-0.085	-0.198
AGI_HUM1_OLIGO_A_23_P1691	Hs.83169	4312	matrix metalloproteinase 1 (interstitial collagenase)	-0.143	-0.467	-0.678	1.063	0.533
AGI_HUM1_OLIGO_A_23_P12874	Hs.215766	2356	GTP binding protein 4	-0.059	-0.354	-0.316	0.612	-0.118
AGI_HUM1_OLIGO_A_23_P200989	Hs.75216	NA	protein tyrosine phosphatase, receptor type, F	-0.299	0.101	-0.157	0.009	0.018
AGI_HUM1_OLIGO_A_23_P72737	Hs.458414	8519	interferon induced transmembrane protein 1 (9-27)	0.194	-0.009	-0.104	-0.084	0.025
AGI_HUM1_OLIGO_A_23_P10182	Hs.9795	8309	acyl-Coenzyme A oxidase 2, branched chain	0.763	0.573	0.652	-0.207	-0.234
AGI_HUM1_OLIGO_A_23_P309739	Hs.1657	NA	estrogen receptor 1	1.324	1.687	-0.214	-2.52	-1.385
AGI_HUM1_OLIGO_A_23_P20193	Hs.433506	1009	actin related protein 2/3 complex, subunit 1B, 41kDa	-0.026	-0.153	0.059	0.362	-0.116
AGI_HUM1_OLIGO_A_23_P129204	Hs.5337	3418	isocitrate dehydrogenase 2 (NADP+), mitochondrial	-0.077	-0.358	-0.034	0.128	0.019
AGI_HUM1_OLIGO_A_23_P161439	Hs.511763	10974	adipose specific 2	0.341	0.307	0.976	-1.11	-0.038
AGI_HUM1_OLIGO_A_23_P137525	Hs.75093	535	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)	-0.08	-0.164	0.11	0.32	-0.145
AGI_HUM1_OLIGO_A_23_P12343	Hs.2006	2947	glutathione S-transferase M3 (brain)	0.221	0.515	0.65	-0.768	0.168
AGI_HUM1_OLIGO_A_23_P89941	Hs.435051	1032	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	0.05	-0.297	-0.326	0.158	-0.2
AGI_HUM1_OLIGO_A_23_P54663	Hs.282975	8824	carboxylesterase 2 (intestine, liver)	0.092	-0.029	0.168	-0.185	-0.014
AGI_HUM1_OLIGO_A_23_P117494	Hs.435974	4522	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	-0.021	-0.273	0.126	-0.022	0.021
AGI_HUM1_OLIGO_A_23_P105553	Hs.17483	920	CD4 antigen (p55)	-0.215	-0.004	-0.131	0.023	-0.08
AGI_HUM1_OLIGO_A_23_P52058	Hs.151518	6894	TAR (HIV) RNA binding protein 1	-0.138	0.243	-0.491	0.209	-0.72
AGI_HUM1_OLIGO_A_23_P138507	Hs.334562	983	cell division cycle 2, G1 to S and G2 to M	0.265	-0.964	-1.621	0.715	0.344
AGI_HUM1_OLIGO_A_23_P50081	Hs.5753	3613	inositol(myo)-1(or 4)-monophosphatase 2	-0.135	-0.652	-0.532	0.77	-0.218
AGI_HUM1_OLIGO_A_23_P8452	Hs.159142	3955	lunatic fringe homolog (Drosophila)	-0.023	0.104	0.534	-0.39	0.14
AGI_HUM1_OLIGO_A_23_P200222	Hs.410784	NA	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	0.248	-0.768	-1.036	0.534	0.218
AGI_HUM1_OLIGO_A_23_P53176	Hs.73769	NA	folate receptor 1 (adult)	-0.195	-0.172	1.031	0.507	-0.269
AGI_HUM1_OLIGO_A_23_P150035	Hs.412842	NA	chromosome 10 open reading frame 7	-0.144	-0.267	-0.337	0.374	0.164
AGI_HUM1_OLIGO_A_23_P167328	Hs.174944	NA	CD38 antigen (p45)	-0.298	-0.443	0.059	0.214	0.09
AGI_HUM1_OLIGO_A_23_P81121	Hs.91728	5393	polymyositis/scleroderma autoantigen 1, 75kDa	0.079	-0.395	-0.257	0.268	0.02
AGI_HUM1_OLIGO_A_23_P59426	Hs.443881	2297	PAX transcription activation domain interacting protein 1 like	0.012	0.238	-0.198	-0.15	-0.439
AGI_HUM1_OLIGO_A_23_P19219	Hs.292316	25842	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	-0.429	0.631	-0.078	-0.33	-0.318
AGI_HUM1_OLIGO_A_23_P130824	Hs.369279	55655	NACHT, LRR and PYD containing protein 2	0.687	-0.377	0.502	0.494	0.026
AGI_HUM1_OLIGO_A_23_P139575	Hs.132977	NA	DKFZp564J157 protein	0.087	0.137	0.249	-0.362	-0.122
AGI_HUM1_OLIGO_A_23_P11543	Hs.576	NA	fucosidase, alpha-L- 1, tissue	-0.334	0.524	0.357	-0.538	-0.357
AGI_HUM1_OLIGO_A_23_P156687	Hs.69771	629	B-factor, properdin	0.164	0.707	-1.169	-0.348	-0.848
AGI_HUM1_OLIGO_A_23_P202978	Hs.2490	NA	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	-0.66	-0.252	0.265	0.396	0.107
AGI_HUM1_OLIGO_A_23_P253524	Hs.75573	1062	centromere protein E, 312kDa	0.019	-0.338	-0.557	0.17	0.038
AGI_HUM1_OLIGO_A_23_P143657	Hs.8128	2376	phosphatidylserine decarboxylase	0.265	0.099	0.448	-0.224	-0.096
AGI_HUM1_OLIGO_A_23_P112784	Hs.6111	9915	aryl-hydrocarbon receptor nuclear translocator 2	0.11	0.466	-0.49	-0.271	-0.621
AGI_HUM1_OLIGO_A_23_P14432	Hs.118722	NA	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	0.152	0.404	0.07	-0.588	0.004
AGI_HUM1_OLIGO_A_23_P71727	Hs.83758	1164	CDC28 protein kinase regulatory subunit 2	0.135	-0.409	-0.89	0.368	0.096
AGI_HUM1_OLIGO_A_23_P153745	Hs.14623	NA	interferon, gamma-inducible protein 30	-0.06	-0.255	-0.956	0.187	0.121
AGI_HUM1_OLIGO_A_23_P257296	Hs.82961	7033	trefoil factor 3 (intestinal)	1.11	1.069	0.171	-3.035	0.902
AGI_HUM1_OLIGO_A_23_P10121	Hs.7306	6422	secreted frizzled-related protein 1	-0.505	-0.014	1.103	0.624	-0.328
AGI_HUM1_OLIGO_A_23_P118543	Hs.187416	1213	clathrin, heavy polypeptide (Hc)	0.102	-0.229	0.025	-0.146	0.518
AGI_HUM1_OLIGO_A_23_P160148	Hs.76057	NA	galactose-4-epimerase, UDP-	-0.109	-0.032	-0.029	-0.196	-0.186
AGI_HUM1_OLIGO_A_23_P42664	Hs.333495	7979	split hand/foot malformation (ectrodactyly) type 1	-0.059	-0.205	-0.267	0.192	-0.149
AGI_HUM1_OLIGO_A_23_P7873	Hs.179565	4172	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	-0.084	-0.18	-0.382	0.425	-0.005
AGI_HUM1_OLIGO_A_23_P50167	Hs.79136	25800	solute carrier family 39 (metal ion transporter), member 6	1.945	2.189	-0.224	-1.828	-0.93
AGI_HUM1_OLIGO_A_23_P19543	Hs.369358	673	SFRS protein kinase 1	-0.151	-0.355	-0.442	0.614	0.046
AGI_HUM1_OLIGO_A_23_P143184	Hs.179718	4605	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	0.096	-1.031	-0.839	0.591	0.3
AGI_HUM1_OLIGO_A_23_P147431	Hs.80887	4067	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	-0.285	-0.384	0.492	0.553	-0.154
AGI_HUM1_OLIGO_A_23_P48669	Hs.84113	1033	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	0.185	-0.723	-0.832	0.316	0.065
AGI_HUM1_OLIGO_A_23_P43095	Hs.458973	7977	zinc finger homeodomain 4	-0.191	0.203	0.46	-0.235	-0.169
AGI_HUM1_OLIGO_A_23_P17392	Hs.90073	1434	CSE1 chromosome segregation 1-like (yeast)	0.028	-0.224	-0.279	0.061	0.024
AGI_HUM1_OLIGO_A_23_P213237	Hs.512793	848	hypothetical protein FLJ14431	0.011	0.185	-0.233	-0.416	0.09
AGI_HUM1_OLIGO_A_23_P206680	Hs.315485	NA	Nedd-4-like ubiquitin-protein ligase	-0.149	-0.087	0.343	-0.011	-0.055
AGI_HUM1_OLIGO_A_23_P64129	Hs.90753	1055	HIV-1 Tat interactive protein 2, 30kDa	0.074	-0.19	-0.402	0.333	-0.064
AGI_HUM1_OLIGO_A_23_P92441	Hs.79078	NA	MAD2 mitotic arrest deficient-like 1 (yeast)	0.4	-0.716	-0.999	0.408	0.251
AGI_HUM1_OLIGO_A_23_P44139	Hs.440603	NA	primase, polypeptide 2A, 58kDa	0.214	-0.222	-0.216	0.319	-0.082
AGI_HUM1_OLIGO_A_23_P85604	Hs.406339	8023	WD repeat domain 26	-0.341	0.078	-0.152	-0.283	0.04
AGI_HUM1_OLIGO_A_23_P75056	Hs.169946	2625	GATA binding protein 3	0.358	1.408	-0.505	-2.976	-1.032
AGI_HUM1_OLIGO_A_23_P26843	Hs.2316	NA	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	-0.698	0.064	0.048	0.416	-0.289
AGI_HUM1_OLIGO_A_23_P66682	Hs.98428	NA	homeo box B6	-0.029	0.485	-0.057	-0.068	-0.018
AGI_HUM1_OLIGO_A_23_P169117	Hs.432330	10670	Ras-related GTP binding A	-0.133	0.122	0.095	-0.364	-0.147
AGI_HUM1_OLIGO_A_23_P89249	Hs.446352	2064	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	0.115	-0.206	0.553	0.271	4.092
AGI_HUM1_OLIGO_A_23_P159390	Hs.91417	NA	topoisomerase (DNA) II binding protein	-0.049	-0.086	-0.612	0.218	-0.413
AGI_HUM1_OLIGO_A_23_P152516	Hs.180877	3021	H3 histone, family 3B (H3.3B)	0.134	-0.139	-0.049	-0.004	-0.006
AGI_HUM1_OLIGO_A_23_P140301	Hs.246240	5684	proteasome (prosome, macropain) subunit, alpha type, 3	-0.174	-0.08	-0.169	-0.215	0.049
AGI_HUM1_OLIGO_A_23_P59375	Hs.391392	3400	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	-0.651	-0.054	0.99	0.734	-0.199
AGI_HUM1_OLIGO_A_23_P1021	Hs.389137	4237	microfibrillar-associated protein 2	-0.487	0.028	0.407	0.043	-0.273
AGI_HUM1_OLIGO_A_23_P49928	Hs.433871	3860	keratin 13	0.172	-0.119	1.482	0.31	0.122
AGI_HUM1_OLIGO_A_23_P86917	Hs.86131	8772	Fas (TNFRSF6)-associated via death domain	0.424	-0.044	-0.103	-0.083	0.291
AGI_HUM1_OLIGO_A_23_P137196	Hs.285115	3597	interleukin 13 receptor, alpha 1	-0.185	0.275	0.29	-0.436	0.063
AGI_HUM1_OLIGO_A_23_P57306	Hs.75238	820	chromatin assembly factor 1, subunit B (p60)	0.143	-0.383	-0.554	0.489	-0.065
AGI_HUM1_OLIGO_A_23_P52031	Hs.1869	NA	phosphoglucomutase 1	-0.183	-0.16	0.274	0.331	-0.112
AGI_HUM1_OLIGO_A_23_P71148	Hs.435726	NA	biliverdin reductase A	0.291	0.233	-0.231	-0.665	0.186
AGI_HUM1_OLIGO_A_23_P19938	Hs.446645	1101	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	-0.199	-0.076	-0.176	-0.023	0.01
AGI_HUM1_OLIGO_A_23_P206359	Hs.194657	999	cadherin 1, type 1, E-cadherin (epithelial)	0.139	-0.181	-0.665	-0.26	0.467
AGI_HUM1_OLIGO_A_23_P3221	Hs.435468	58472	sulfide quinone reductase-like (yeast)	-0.417	0.249	-0.325	-0.431	0.193
AGI_HUM1_OLIGO_A_23_P60296	Hs.47011	26578	osteoclast stimulating factor 1	-0.059	-0.091	-0.052	-0.06	0.106
AGI_HUM1_OLIGO_A_23_P85903	Hs.114408	7100	toll-like receptor 5	-0.204	0.125	-0.148	0.035	-0.324
AGI_HUM1_OLIGO_A_23_P129064	Hs.75335	NA	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	-0.215	0.631	0.392	-0.329	0.143
AGI_HUM1_OLIGO_A_23_P259172	Hs.409223	6748	signal sequence receptor, delta (translocon-associated protein delta)	0.125	-0.198	-0.349	0.025	0.056
AGI_HUM1_OLIGO_A_23_P32404	Hs.105434	3669	interferon stimulated gene 20kDa	-0.091	-0.328	-0.661	0.405	0.686
AGI_HUM1_OLIGO_A_23_P201400	Hs.376314	5498	protoporphyrinogen oxidase	0	0.209	-0.297	-0.095	-0.122
AGI_HUM1_OLIGO_A_23_P142698	Hs.169910	9654	KIAA0173 gene product	0.047	-0.308	-0.385	0.565	-0.107
AGI_HUM1_OLIGO_A_23_P107644	Hs.86948	6632	small nuclear ribonucleoprotein D1 polypeptide 16kDa	0.113	-0.229	-0.241	0.19	-0.087
AGI_HUM1_OLIGO_A_23_P132956	Hs.76118	7345	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	-0.079	-0.138	0.379	0.764	0.016
AGI_HUM1_OLIGO_A_23_P118142	Hs.75249	23204	ADP-ribosylation factor-like 6 interacting protein	0.308	0.05	-0.454	-0.124	-0.007
AGI_HUM1_OLIGO_A_23_P92410	Hs.141125	836	caspase 3, apoptosis-related cysteine protease	-0.247	-0.028	-0.348	-0.085	0.202
AGI_HUM1_OLIGO_A_23_P68488	Hs.170195	655	bone morphogenetic protein 7 (osteogenic protein 1)	0.23	-0.278	0.041	0.087	0.303
AGI_HUM1_OLIGO_A_23_P215051	Hs.437091	55862	uncharacterized hypothalamus protein HCDASE	-0.401	-0.173	0.442	0.368	-0.314
AGI_HUM1_OLIGO_A_23_P128930	Hs.156171	5706	proteasome (prosome, macropain) 26S subunit, ATPase, 6	-0.014	-0.031	-0.367	-0.229	-0.051
AGI_HUM1_OLIGO_A_23_P63402	Hs.278338	NA	LGN protein	-0.049	-0.367	-0.607	0.462	-0.196
AGI_HUM1_OLIGO_A_23_P108200	Hs.27744	5864	RAB3A, member RAS oncogene family	0.06	-0.091	0.113	-0.02	-0.053
AGI_HUM1_OLIGO_A_23_P108303	Hs.19561	4701	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa	0.377	0.073	-0.277	-0.344	-0.209
AGI_HUM1_OLIGO_A_23_P145541	Hs.419998	989	Sac domain-containing inositol phosphatase 3	-0.183	0.155	0.247	-0.253	-0.142
AGI_HUM1_OLIGO_A_23_P18196	Hs.35120	5984	replication factor C (activator 1) 4, 37kDa	-0.014	-0.335	-0.666	0.552	-0.084
AGI_HUM1_OLIGO_A_23_P32294	Hs.446534	23196	chromosome 9 open reading frame 10	-0.06	0.197	0.089	-0.319	-0.261
AGI_HUM1_OLIGO_A_23_P104492	Hs.274230	9060	3-phosphoadenosine 5-phosphosulfate synthase 2	-0.137	-0.118	0.501	0.116	0.558
AGI_HUM1_OLIGO_A_23_P811	Hs.458485	9636	interferon, alpha-inducible protein (clone IFI-15K)	0.905	-0.483	-1.064	0.572	0.885
AGI_HUM1_OLIGO_A_23_P252335	Hs.49932	NA	chromosome 21 open reading frame 45	0.156	-0.346	-0.748	0.073	0.111
AGI_HUM1_OLIGO_A_23_P211007	Hs.155017	8204	nuclear receptor interacting protein 1	0.092	0.162	0.333	-0.419	-0.131
AGI_HUM1_OLIGO_A_23_P141484	Hs.295909	5573	hypothetical protein FLJ10700	0.011	0.065	-0.273	0.151	0.803
AGI_HUM1_OLIGO_A_23_P19944	Hs.5372	1364	claudin 4	0.12	-0.266	-0.028	0.17	0.21
AGI_HUM1_OLIGO_A_23_P254944	Hs.268573	NA	glutathione S-transferase theta 1	-0.105	-0.129	-0.155	-0.487	-0.526
AGI_HUM1_OLIGO_A_23_P35205	Hs.129319	NA	Down syndrome critical region gene 1-like 2	-0.15	-0.021	0.144	0.068	-0.263
AGI_HUM1_OLIGO_A_23_P250701	Hs.275999	65125	protein kinase, lysine deficient 1	0.029	-0.036	0.005	-0.116	-0.283
AGI_HUM1_OLIGO_A_23_P158143	Hs.352962	NA	HIV-1 Rev binding protein	0.015	-0.168	-0.164	0.253	0.24
AGI_HUM1_OLIGO_A_23_P201110	Hs.4113	NA	S-adenosylhomocysteine hydrolase-like 1	-0.171	0.43	0.036	-0.276	-0.234
AGI_HUM1_OLIGO_A_23_P39814	Hs.89421	NA	CBF1 interacting corepressor	-0.21	0.055	-0.055	-0.057	-0.276
AGI_HUM1_OLIGO_A_23_P151106	Hs.444499	11331	repressor of estrogen receptor activity	-0.176	-0.013	0.301	0.021	-0.273
AGI_HUM1_OLIGO_A_23_P28886	Hs.78996	5111	proliferating cell nuclear antigen	0.202	-0.257	-0.754	0.164	-0.163
AGI_HUM1_OLIGO_A_23_P201083	Hs.286221	375	ADP-ribosylation factor 1	-0.139	-0.019	-0.527	-0.098	-0.178
AGI_HUM1_OLIGO_A_23_P207507	Hs.90786	8714	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	-0.126	-0.151	0.16	0.056	1.595
AGI_HUM1_OLIGO_A_23_P92794	Hs.508741	NA	chromosome 5 open reading frame 13	-0.226	0.048	0.193	-0.197	-0.173
AGI_HUM1_OLIGO_A_23_P147845	Hs.439211	23042	KIAA0251 protein	-0.124	0.041	-0.326	-0.179	-0.232
AGI_HUM1_OLIGO_A_23_P53630	Hs.487883	NA	ring finger protein 10	0.022	0.014	0.137	-0.208	-0.038
AGI_HUM1_OLIGO_A_23_P75839	Hs.444556	7251	tumor susceptibility gene 101	0.141	0.137	-0.134	-0.266	-0.228
AGI_HUM1_OLIGO_A_23_P44724	Hs.10526	1466	cysteine and glycine-rich protein 2	-0.349	-0.257	0.121	0.837	-0.103
AGI_HUM1_OLIGO_A_23_P130020	Hs.441503	51096	CGI-48 protein	0.251	-0.175	-0.234	-0.043	0.414
AGI_HUM1_OLIGO_A_23_P202658	Hs.411509	2950	glutathione S-transferase pi	-0.651	-0.267	0.763	0.512	-0.413
AGI_HUM1_OLIGO_A_23_P108394	Hs.268012	2181	fatty-acid-Coenzyme A ligase, long-chain 3	-0.379	0.21	-0.035	-0.254	0.147
AGI_HUM1_OLIGO_A_23_P211550	Hs.373992	9978	ring-box 1	-0.114	-0.086	-0.435	0.007	-0.205
AGI_HUM1_OLIGO_A_23_P211661	Hs.356523	23542	mitogen-activated protein kinase 8 interacting protein 2	0.338	0.095	-0.23	-0.074	-0.028
AGI_HUM1_OLIGO_A_23_P82499	Hs.137476	NA	paternally expressed 10	0.108	-0.329	0.641	0.279	0.88
AGI_HUM1_OLIGO_A_23_P211727	Hs.343809	2257	fibroblast growth factor 12	0.099	-0.143	0.492	-0.119	-0.041
AGI_HUM1_OLIGO_A_23_P210540	Hs.202494	6484	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	-0.225	-0.208	-0.214	0.196	0.342
AGI_HUM1_OLIGO_A_23_P250462	Hs.6551	537	ATPase, H+ transporting, lysosomal accessory protein 1	0.551	-0.04	-0.199	-0.195	-0.03
AGI_HUM1_OLIGO_A_23_P200780	Hs.342874	7049	transforming growth factor, beta receptor III (betaglycan, 300kDa)	-0.204	0.273	1.465	0.043	-0.428
AGI_HUM1_OLIGO_A_23_P31073	Hs.407830	4602	v-myb myeloblastosis viral oncogene homolog (avian)	-0.07	0.754	0.566	-1.189	-0.453
AGI_HUM1_OLIGO_A_23_P134139	Hs.26770	NA	fatty acid binding protein 7, brain	-0.442	-0.68	0.38	2.367	-0.456
AGI_HUM1_OLIGO_A_23_P13524	Hs.108338	8423	hypothetical protein DKFZp586C1924	-0.228	0.099	-0.064	-0.103	-0.18
AGI_HUM1_OLIGO_A_23_P137856	Hs.89603	4582	mucin 1, transmembrane	-0.317	1.2	-0.92	-1.121	-0.147
AGI_HUM1_OLIGO_A_23_P164235	Hs.80986	516	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1	0.107	-0.13	-0.377	-0.014	0.147
AGI_HUM1_OLIGO_A_23_P117852	Hs.81892	9768	KIAA0101 gene product	0.114	-0.499	-0.808	0.256	0.217
AGI_HUM1_OLIGO_A_23_P40025	Hs.369761	NA	DAZ associated protein 2	-0.03	0.409	0.534	-0.512	-0.014
AGI_HUM1_OLIGO_A_23_P127220	Hs.260720	565	J domain containing protein 1	0.739	0.896	-0.349	-0.698	-0.279
AGI_HUM1_OLIGO_A_23_P116202	Hs.334360	56912	hypothetical protein FLJ21827	-0.096	0.58	0.419	-0.442	-0.238
AGI_HUM1_OLIGO_A_23_P133424	Hs.171626	6500	S-phase kinase-associated protein 1A (p19A)	-0.024	0.256	0.113	-0.312	-0.204
AGI_HUM1_OLIGO_A_23_P251992	Hs.209846	NA	LPS-responsive vesicle trafficking, beach and anchor containing	0.149	0.676	-0.227	-1.149	-0.071
AGI_HUM1_OLIGO_A_23_P100653	Hs.35096	57659	KAISO-like zinc finger protein 1	-0.069	0.462	0.628	-0.389	-0.335
AGI_HUM1_OLIGO_A_23_P89780	Hs.83450	3909	laminin, alpha 3	0.025	0.385	1.077	-0.291	-0.142
AGI_HUM1_OLIGO_A_23_P152593	Hs.396783	NA	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	1.241	0.237	-0.315	-0.818	0.475
AGI_HUM1_OLIGO_A_23_P138072	Hs.156324	5567	protein kinase, cAMP-dependent, catalytic, beta	0.381	0.636	0.28	-0.172	0.108
AGI_HUM1_OLIGO_A_23_P109185	Hs.89584	3642	insulinoma-associated 1	0.864	0.047	0.035	0.186	-0.116
AGI_HUM1_OLIGO_A_23_P111452	Hs.249728	11698	centaurin, gamma 3	-0.092	0.012	0.078	-0.039	-0.11
AGI_HUM1_OLIGO_A_23_P20045	Hs.164682	5189	peroxisome biogenesis factor 1	-0.028	0.068	-0.026	-0.131	-0.176
AGI_HUM1_OLIGO_A_23_P82176	Hs.357901	6659	SRY (sex determining region Y)-box 4	-0.064	-0.196	0.014	0.206	0.085
AGI_HUM1_OLIGO_A_23_P99324	Hs.406013	NA	keratin 18	0.468	0.064	-0.167	-0.811	0.265
AGI_HUM1_OLIGO_A_23_P18392	Hs.496511	5584	protein kinase C, iota	-0.16	0.199	-0.151	0.044	0.002
AGI_HUM1_OLIGO_A_23_P75523	Hs.278573	NA	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	-0.567	0.002	0.392	0.167	-0.268
AGI_HUM1_OLIGO_A_23_P57848	Hs.19236	4711	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa	0.025	0.018	-0.156	-0.045	-0.077
AGI_HUM1_OLIGO_A_23_P71017	Hs.25640	1365	claudin 3	0.641	-0.136	-0.01	0.005	-0.061
AGI_HUM1_OLIGO_A_23_P202750	Hs.8360	NA	PTD012 protein	-0.144	0.151	0.501	-0.156	-0.046
AGI_HUM1_OLIGO_A_23_P171249	Hs.3631	3476	immunoglobulin (CD79A) binding protein 1	-0.105	0.114	0.46	-0.389	-0.208
AGI_HUM1_OLIGO_A_23_P49155	Hs.191842	NA	cadherin 3, type 1, P-cadherin (placental)	-0.775	-0.413	0.864	0.921	0.347
AGI_HUM1_OLIGO_A_23_P49972	Hs.405958	NA	CDC6 cell division cycle 6 homolog (S. cerevisiae)	0.29	-0.497	-0.783	0.437	0.54
AGI_HUM1_OLIGO_A_23_P46306	Hs.196769	1104	chromosome condensation 1	0.013	-0.223	-0.142	0.028	0.099
AGI_HUM1_OLIGO_A_23_P118834	Hs.156346	NA	topoisomerase (DNA) II alpha 170kDa	0.234	-0.827	-0.857	0.358	0.166
AGI_HUM1_OLIGO_A_23_P122001	Hs.42674	NA	mutS homolog 3 (E. coli)	-0.061	0.106	-0.136	-0.261	-0.239
AGI_HUM1_OLIGO_A_23_P53856	Hs.131727	1044	hypothetical protein from BCRA2 region	-0.107	0.137	0.316	-0.362	-0.09
AGI_HUM1_OLIGO_A_23_P163989	Hs.86859	2886	growth factor receptor-bound protein 7	0.115	-0.435	0.044	0.535	3.827
