Gene cluster	GenBank acc. No.	Gene symbol	Location	S	Gene description	Putative function
N505 25	X95456	ARHN	17q23.3	1	ras homologue gene family, member N; Rho7 protein	May be specifically involved in neuronal and hepatic functions.
N505 26	U37122	ADD3	10q25.1	1	adducin 3 gamma	Membrane cytoskeleton-associated protein that promotes the assembly of the spectrin-actin network. Binds to calmodulin.
N505 27	D63878	NEDD5	2q37.3	1	neural precursor cell expressed, developmentally down-regulated 5	Mammalian septin is a novel cytoskeletal component interacting with actin-based structures
N505 28	U90916	clone 23815		1	Human clone 23815	Soares library 1NIB from IMAGE Consortium
N505 29	U72649	BTG2	1q32.1	1	btg protein; NGF-inducible antiproliferative protein PC3	Antiproliferative protein.
N566 1	X15879	COL6A1	21q22.3	0	collagen, type VI,  alpha-1	Collagen VI acts as a cell-binding protein.
N566 2	X02761	FN1	2q35	1	fibronectin 1	Fibronectins bind cell surfaces and various compounds including collagen, fibrin, heparin, DNA, and actin. Fibronectins are involved in cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape.
N566 3	M31159	IGFBP3	7p13	1	IGFBP 3	IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth-promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors.
N566 4	U44975	COPEB	10p15.2	1	core promoter element binding protein; DNA- binding protein CPBP	Transcriptional activator (by similarity). Binds a GC box motif. Could play a role in B-cell growth and development.
N566 5	U58514	CHI3L2	1p13.3	1	chitinase 3-like 2	Not detected in brain, spleen, pancreas, and liver. Belongs to family 18 of glycosyl hydrolases.
N566 6	M55543	GBP2	1p22.2	1	guanylate binding protein 2, IFN-inducible	Binds GTP, GDP, and GMP. Induction by IFN-? during macrophage activation.
N566 7	M19154	TGFB2	1q41	1	TGF-beta2; TGFB2	TGF-beta2 has suppressive effects on interleukin-2 dependent t-cell growth.
