Gene Symbol	Common Name	Entrez ID	Fold Change	P-value
UNC5B	unc-5 homolog B (C. elegans)	219699	11.79	0.0136
EMP1	epithelial membrane protein 1	2012	11.28	0.0059
CIDECP	cell death-inducing DFFA-like effector c pseudogene	152302	11.24	0.0059
ENOX1	ecto-NOX disulfide-thiol exchanger 1	55068	11.07	0.0063
TNFAIP8L3	tumor necrosis factor, alpha-induced protein 8-like 3	388121	10.8	0.0062
GPR64	G protein-coupled receptor 64	10149	10.73	0.0059
SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	12	10.52	0.006
DUSP1	dual specificity phosphatase 1	1843	10.49	0.006
TUBA3D	tubulin, alpha 3d	113457	10.45	0.006
SFTPD	surfactant, pulmonary-associated protein D	6441	10.41	0.006
LEFTY1	left-right determination factor 1	10637	10.34	0.006
PTGDS	prostaglandin D2 synthase 21kDa (brain)	5730	10.32	0.006
RGS2	regulator of G-protein signalling 2, 24kDa	5997	10.32	0.006
MAOA	monoamine oxidase A	4128	10.04	0.006
TSC22D3	TSC22 domain family, member 3	1831	9.43	0.0061
GOLSYN	Golgi-localized protein	55638	9.28	0.0062
KLF6	Kruppel-like factor 6	1316	8.83	0.0063
HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	8.82	0.0068
KLF9	Kruppel-like factor 9	687	8.65	0.0121
HRK	harakiri, BCL2 interacting protein (contains only BH3 domain)	8739	8.6	0.0063
EMP2	epithelial membrane protein 2	2013	8.51	0.0063
ANGPTL4	angiopoietin-like 4	51129	8.48	0.0063
PTGER4	prostaglandin E receptor 4 (subtype EP4)	5734	8.45	0.0064
DDIT4	DNA-damage-inducible transcript 4	54541	8.43	0.0063
RASSF4	Ras association (RalGDS/AF-6) domain family 4	83937	8.38	0.0064
STOM	stomatin	2040	8.21	0.0064
HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	8.2	0.0064
KNG1	kininogen 1	3827	8.06	0.0067
HPD	4-hydroxyphenylpyruvate dioxygenase	3242	8.05	0.0419
TMEM61	transmembrane protein 61	199964	8.01	0.0065
RASSF4	Ras association (RalGDS/AF-6) domain family 4	83937	7.97	0.0033
KLHL29	kelch-like 29 (Drosophila)	114818	7.9	0.0065
MT1X	metallothionein 1X	4501	7.82	0.0065
SPRR2D	small proline-rich protein 2D	6703	7.75	0.0072
HP	haptoglobin	3240	7.51	0.0067
SUSD3	sushi domain containing 3	203328	7.48	0.0066
TRIM29	tripartite motif-containing 29	23650	7.43	0.0068
CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	10602	7.41	0.0102
NEXN	nexilin (F actin binding protein)	91624	7.39	0.0108
IFIT1	interferon-induced protein with tetratricopeptide repeats 1	3434	7.39	0.0066
SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	12	7.37	0.0034
HRASLS2	HRAS-like suppressor 2	54979	7.33	0.0066
DOCK4	dedicator of cytokinesis 4	9732	7.32	0.0066
MT1X	metallothionein 1X	4501	7.31	0.0066
EMP2	epithelial membrane protein 2	2013	7.24	0.0024
PLA2G10	phospholipase A2, group X	8399	7.17	0.0067
TNFAIP8L3	tumor necrosis factor, alpha-induced protein 8-like 3	388121	7.12	0.0078
SCNN1A	sodium channel, nonvoltage-gated 1 alpha	6337	7.1	0.0068
SDS	serine dehydratase	10993	7.04	0.0107
ETNK2	ethanolamine kinase 2	55224	7.04	0.0069
CNGB1	cyclic nucleotide gated channel beta 1	1258	6.98	0.007
FOLH1	folate hydrolase (prostate-specific membrane antigen) 1	2346	6.81	0.007
PPL	periplakin	5493	6.79	0.0068
MT1H	metallothionein 1H	4496	6.78	0.0068
LPHN1	latrophilin 1	22859	6.76	0.0069
SLC7A8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	23428	6.73	0.0072
PPP1R14C	protein phosphatase 1, regulatory (inhibitor) subunit 14C	81706	6.71	0.0073
SNAI2	snail homolog 2 (Drosophila)	6591	6.66	0.0076
C5orf4	chromosome 5 open reading frame 4	10826	6.63	0.0071
G0S2	G0/G1switch 2	50486	6.62	0.0052
KRT18	keratin 18	3875	6.55	0.0046
MT1G	metallothionein 1G	4495	6.53	0.0069
HPCAL1	hippocalcin-like 1	3241	6.53	0.007
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4792	6.52	0.0069
C20orf102	chromosome 20 open reading frame 102	128434	6.51	0.007
LOC147710	hypothetical LOC147710	147710	6.46	0.0038
MT2A	metallothionein 2A	4502	6.44	0.007
ERRFI1	ERBB receptor feedback inhibitor 1	54206	6.41	0.0072
FLJ37464	hypothetical protein FLJ37464	283848	6.37	0.0076
LOC400751	hypothetical gene supported by BC031250	400751	6.33	0.007
DOCK4	dedicator of cytokinesis 4	9732	6.33	0.007
MT1E	metallothionein 1E (functional)	4493	6.31	0.007
MT2A	metallothionein 2A	4502	6.19	0.0071
CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	10370	6.18	0.0055
DUSP1	dual specificity phosphatase 1	1843	6.15	0.0071
LOC153346	hypothetical protein LOC153346	153346	6.14	0.0071
MT1H	metallothionein 1H	4496	6.11	0.0071
MT2A	metallothionein 2A	4502	6.08	0.0072
WISP1	WNT1 inducible signaling pathway protein 1	8840	6.07	0.0036
PRG4	proteoglycan 4	10216	6.04	0.0072
SFRP5	secreted frizzled-related protein 5	6425	6.03	0.0084
LOC284858	hypothetical gene supported by AK094477	284858	5.98	0.0206
HRASLS2	HRAS-like suppressor 2	54979	5.9	0.0073
G36754	SHGC-54184 Human Homo sapiens STS cDNA, sequence tagged site		5.89	0.0073
MT1L	metallothionein 1L (pseudogene)	4500	5.89	0.0073
CALD1	caldesmon 1	800	5.89	0.0073
MT1G	metallothionein 1G	4495	5.88	0.0073
ANPEP	alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	290	5.88	0.0033
TG	thyroglobulin	7038	5.85	0.0074
BC018589	cDNA clone IMAGE:3863301		5.82	0.0073
MT1B	metallothionein 1B (functional)	4490	5.82	0.0073
STOM	stomatin	2040	5.81	0.0073
AKAP12	A kinase (PRKA) anchor protein (gravin) 12	9590	5.75	0.0074
MMP28	matrix metallopeptidase 28	79148	5.71	0.0074
NEXN	nexilin (F actin binding protein)	91624	5.65	0.0036
OCA2	oculocutaneous albinism II (pink-eye dilution homolog, mouse)	4948	5.64	0.0083
RHCG	Rh family, C glycoprotein	51458	5.61	0.0075
DNER	delta/notch-like EGF repeat containing	92737	5.61	0.0082
AHNAK	AHNAK nucleoprotein (desmoyokin)	79026	5.6	0.0074
BCDO2	beta-carotene dioxygenase 2	83875	5.55	0.0076
AHNAK	AHNAK nucleoprotein (desmoyokin)	79026	5.52	0.0075
ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	27063	5.51	0.0035
C1R	complement component 1, r subcomponent	715	5.48	0.0059
REEP1	receptor accessory protein 1	65055	5.45	0.0076
TXNIP	thioredoxin interacting protein	10628	5.41	0.0286
STARD13	START domain containing 13	90627	5.36	0.0026
AK055915	cDNA FLJ31353 fis, clone MESAN2000264		5.35	0.008
XKRX	XK, Kell blood group complex subunit-related, X-linked	402415	5.23	0.0086
LOC153346	hypothetical protein LOC153346	153346	5.21	0.0078
CD59	CD59 molecule, complement regulatory protein	966	5.2	0.0077
BIRC3	baculoviral IAP repeat-containing 3	330	5.19	0.0078
CILP2	cartilage intermediate layer protein 2	148113	5.19	0.0447
NUDT10	nudix (nucleoside diphosphate linked moiety X)-type motif 10	170685	5.18	0.0205
NPNT	nephronectin	255743	5.15	0.0081
DMRTC1	DMRT-like family C1	63947	5.11	0.0083
ZHX3	zinc fingers and homeoboxes 3	23051	5.08	0.0079
BCDO2	beta-carotene dioxygenase 2	83875	5.05	0.0083
TSPYL2	TSPY-like 2	64061	5.05	0.0079
LOC387761	hypothetical LOC387761	387761	5.04	0.0122
PLEKHA7	pleckstrin homology domain containing, family A member 7	144100	5.04	0.0079
APOL1	apolipoprotein L, 1	8542	5.03	0.0028
PDZK1	PDZ domain containing 1	5174	4.99	0.008
CD38	CD38 molecule	952	4.99	0.0079
POU5F1	POU domain, class 5, transcription factor 1	5460	4.98	0.0079
EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	64097	4.94	0.0103
KRT18	keratin 18	3875	4.94	0.008
C4orf12	chromosome 4 open reading frame 12	404201	4.87	0.0032
STOM	stomatin	2040	4.84	0.0081
AA334114	EST38270 Embryo, 9 week Homo sapiens cDNA 5 end similar to similar to keratin 18		4.83	0.0081
C14orf58	chromosome 14 open reading frame 58	55640	4.83	0.0084
FAM139A	family with sequence similarity 139, member A	285966	4.82	0.0086
SRCAP	Snf2-related CREBBP activator protein	10847	4.81	0.0081
CAPN8	calpain 8	388743	4.81	0.0038
TNFAIP8L3	tumor necrosis factor, alpha-induced protein 8-like 3	388121	4.81	0.0391
CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	10602	4.8	0.0062
SLC4A11	solute carrier family 4, sodium bicarbonate transporter-like, member 11	83959	4.79	0.0081
HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	4.79	0.0034
ATOH8	atonal homolog 8 (Drosophila)	84913	4.79	0.0081
GYPC	glycophorin C (Gerbich blood group)	2995	4.73	0.0366
DNAH5	dynein, axonemal, heavy chain 5	1767	4.73	0.0029
CEP70	centrosomal protein 70kDa	80321	4.7	0.0083
TMPRSS2	transmembrane protease, serine 2	7113	4.7	0.0088
SLC6A15	solute carrier family 6, member 15	55117	4.69	0.0087
ATP10A	ATPase, Class V, type 10A	57194	4.69	0.0082
MMP19	matrix metallopeptidase 19	4327	4.69	0.0034
FGD4	FYVE, RhoGEF and PH domain containing 4	121512	4.69	0.0082
AICDA	activation-induced cytidine deaminase	57379	4.68	0.0103
PRR15	proline rich 15	222171	4.67	0.0046
NFE2L1	nuclear factor (erythroid-derived 2)-like 1	4779	4.65	0.0083
PNMT	phenylethanolamine N-methyltransferase	5409	4.65	0.0117
PLAGL2	pleiomorphic adenoma gene-like 2	5326	4.63	0.0089
CPM	carboxypeptidase M	1368	4.62	0.0092
CLDN7	claudin 7	1366	4.61	0.0084
HAO1	hydroxyacid oxidase (glycolate oxidase) 1	54363	4.61	0.0112
CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	10370	4.58	0.0084
SH3TC1	SH3 domain and tetratricopeptide repeats 1	54436	4.57	0.0084
KITLG	KIT ligand	4254	4.56	0.0029
CD59	CD59 molecule, complement regulatory protein	966	4.55	0.0084
DOCK4	dedicator of cytokinesis 4	9732	4.54	0.0089
SDPR	serum deprivation response (phosphatidylserine binding protein)	8436	4.52	0.0085
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	1051	4.52	0.0085
IQGAP1	IQ motif containing GTPase activating protein 1	8826	4.52	0.0087
NDRG1	N-myc downstream regulated gene 1	10397	4.5	0.0084
C1orf116	chromosome 1 open reading frame 116	79098	4.49	0.0085
ADRA1B	adrenergic, alpha-1B-, receptor	147	4.48	0.0029
PHLDB2	pleckstrin homology-like domain, family B, member 2	90102	4.46	0.0085
APOL2	apolipoprotein L, 2	23780	4.46	0.0085
SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	57556	4.46	0.0058
LPHN1	latrophilin 1	22859	4.41	0.0086
MLLT1	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to,	4298	4.38	0.0102
PTPRN2	protein tyrosine phosphatase, receptor type, N polypeptide 2	5799	4.38	0.0089
FLJ21438	hypothetical protein FLJ21438	64926	4.36	0.0091
C12orf39	chromosome 12 open reading frame 39	80763	4.34	0.0087
RHOBTB2	Rho-related BTB domain containing 2	23221	4.32	0.0033
PKP2	plakophilin 2	5318	4.32	0.0088
GALNTL4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4	374378	4.32	0.0087
FRZB	frizzled-related protein	2487	4.32	0.0036
FLJ41603	FLJ41603 protein	389337	4.3	0.0088
NFE2L1	nuclear factor (erythroid-derived 2)-like 1	4779	4.28	0.0087
PER1	period homolog 1 (Drosophila)	5187	4.27	0.0088
DSP	desmoplakin	1832	4.27	0.0099
FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	10160	4.22	0.0088
ALPP	alkaline phosphatase, placental (Regan isozyme)	250	4.21	0.0089
LCN2	lipocalin 2 (oncogene 24p3)	3934	4.21	0.0092
MTSS1	metastasis suppressor 1	9788	4.2	0.0122
LOC400752	hypothetical gene supported by BC006119	400752	4.19	0.0112
HOMER2	homer homolog 2 (Drosophila)	9455	4.17	0.0089
PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	9659	4.16	0.0095
EEA1	early endosome antigen 1, 162kD	8411	4.16	0.0089
EMP2	epithelial membrane protein 2	2013	4.13	0.009
ITGB4	integrin, beta 4	3691	4.12	0.009
GLUL	glutamate-ammonia ligase (glutamine synthetase)	2752	4.12	0.0101
DIP	death-inducing-protein	23151	4.12	0.009
CEP70	centrosomal protein 70kDa	80321	4.1	0.0091
ABLIM3	actin binding LIM protein family, member 3	22885	4.08	0.0091
MUC1	mucin 1, cell surface associated	4582	4.07	0.0091
AKAP13	A kinase (PRKA) anchor protein 13	11214	4.05	0.0091
BAIAP2	BAI1-associated protein 2	10458	4.04	0.0093
PDZK1IP1	PDZK1 interacting protein 1	10158	4.02	0.0043
DPCR1	diffuse panbronchiolitis critical region 1	135656	4.02	0.0042
MT1A	metallothionein 1A (functional)	4489	4.01	0.0092
TMEM61	transmembrane protein 61	199964	4.01	0.0247
SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	6518	4	0.0139
B2M	beta-2-microglobulin	567	4	0.0132
PKP2	plakophilin 2	5318	3.97	0.0472
AI890644			3.97	0.0094
ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	6833	3.95	0.0093
LCE3D	late cornified envelope 3D	84648	3.95	0.0115
LOC399959	hypothetical gene supported by BX647608	399959	3.94	0.0097
SEPP1	selenoprotein P, plasma, 1	6414	3.94	0.0096
CALD1	caldesmon 1	800	3.94	0.0093
RBMS3	RNA binding motif, single stranded interacting protein	27303	3.93	0.0328
CAV1	caveolin 1, caveolae protein, 22kDa	857	3.93	0
TNS4	tensin 4	84951	3.89	0.0094
PSCA	prostate stem cell antigen	8000	3.89	0.0098
FRMD6	FERM domain containing 6	122786	3.85	0.0057
FAM43A	family with sequence similarity 43, member A	131583	3.81	0.0426
PTGER2	prostaglandin E receptor 2 (subtype EP2), 53kDa	5732	3.81	0.0097
C1orf51	chromosome 1 open reading frame 51	148523	3.8	0.0173
ERRFI1	ERBB receptor feedback inhibitor 1	54206	3.79	0.0096
PDZK1IP1	PDZK1 interacting protein 1	10158	3.78	0.0099
DIP	death-inducing-protein	23151	3.77	0.0099
PDK4	pyruvate dehydrogenase kinase, isozyme 4	5166	3.76	0.015
HRBL	HIV-1 Rev binding protein-like	3268	3.76	0.0097
PDK4	pyruvate dehydrogenase kinase, isozyme 4	5166	3.76	0.0097
APOL2	apolipoprotein L, 2	23780	3.75	0.0127
NOTCH2NL	Notch homolog 2 (Drosophila) N-terminal like	388677	3.73	0.0098
C18orf4	chromosome 18 open reading frame 4	92126	3.72	0.012
FGA	fibrinogen alpha chain	2243	3.71	0.01
CAPN2	calpain 2, (m/II) large subunit	824	3.7	0.0098
ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	427	3.7	0.0103
PRKAG2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	51422	3.68	0.0099
MGC102966	similar to Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)	644945	3.68	0.0121
KRT18	keratin 18	3875	3.67	0.0099
KRT8	keratin 8	3856	3.64	0.0099
CYB5R3	cytochrome b5 reductase 3	1727	3.64	0.0119
ERGIC1	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	57222	3.64	0.01
PRKAG2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	51422	3.64	0.01
KRT18	keratin 18	3875	3.63	0.01
ANXA2	annexin A2	302	3.62	0.01
AHNAK	AHNAK nucleoprotein (desmoyokin)	79026	3.62	0.01
ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	8992	3.6	0.0062
DKFZp779M0652	hypothetical protein DKFZp779M0652	374387	3.6	0.0168
SYNC1	syncoilin, intermediate filament 1	81493	3.6	0.0101
SPINK1	serine peptidase inhibitor, Kazal type 1	6690	3.58	0.0108
BNC2	basonuclin 2	54796	3.58	0.0101
CRTAC1	cartilage acidic protein 1	55118	3.57	0.012
HES2	hairy and enhancer of split 2 (Drosophila)	54626	3.57	0.0041
IGFBP1	insulin-like growth factor binding protein 1	3484	3.57	0.0046
EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	54566	3.56	0.0102
THRA	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	7067	3.56	0.0102
PKD2L1	polycystic kidney disease 2-like 1	9033	3.56	0.0065
FLJ40504	hypothetical protein FLJ40504	284085	3.55	0.0102
PAMCI	peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor	9182	3.53	0.0103
LOC730091	hypothetical protein LOC730091	730091	3.52	0.0103
CD59	CD59 molecule, complement regulatory protein	966	3.51	0.0103
PXN	paxillin	5829	3.51	0.0046
ERGIC1	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	57222	3.51	0.0103
NNMT	nicotinamide N-methyltransferase	4837	3.5	0.0103
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	488	3.5	0.0076
SHROOM3	shroom family member 3	57619	3.5	0.0104
PSORS1C2	psoriasis susceptibility 1 candidate 2	170680	3.5	0.0144
CYP3A7	cytochrome P450, family 3, subfamily A, polypeptide 7	1551	3.49	0.0103
COBLL1	COBL-like 1	22837	3.49	0.0107
TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	11138	3.49	0.0103
DKKL1	dickkopf-like 1 (soggy)	27120	3.48	0.0122
ANXA8	annexin A8	244	3.48	0.0104
FLJ11235	hypothetical protein FLJ11235	54508	3.47	0.0106
TRIM31	tripartite motif-containing 31	11074	3.47	0.0121
STARD13	START domain containing 13	90627	3.47	0.0125
FRMD3	FERM domain containing 3	257019	3.46	0.0097
UST	uronyl-2-sulfotransferase	10090	3.45	0.0067
C1RL	complement component 1, r subcomponent-like	51279	3.45	0.0105
B4GALT1	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 1	2683	3.45	0.0054
SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	5054	3.45	0.0001
MARVELD1	MARVEL domain containing 1	83742	3.45	0.0113
GPR115	G protein-coupled receptor 115	221393	3.44	0.0041
SERINC2	serine incorporator 2	347735	3.41	0.0046
PYGB	phosphorylase, glycogen; brain	5834	3.41	0.0106
C12orf39	chromosome 12 open reading frame 39	80763	3.4	0.0116
BTG1	B-cell translocation gene 1, anti-proliferative	694	3.4	0.0107
RNF130	ring finger protein 130	55819	3.39	0.0112
LIFR	leukemia inhibitory factor receptor alpha	3977	3.38	0.0083
LOC283278	hypothetical protein LOC283278	283278	3.38	0.011
LIFR	leukemia inhibitory factor receptor alpha	3977	3.37	0.0114
DKK3	dickkopf homolog 3 (Xenopus laevis)	27122	3.36	0.0107
BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	604	3.36	0.0107
FGD4	FYVE, RhoGEF and PH domain containing 4	121512	3.36	0.0119
ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	1891	3.35	0.0043
POU5F1P4	POU class 5 homeobox 1 pseudogene 4	645682	3.35	0.0121
SLC25A16	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16	8034	3.35	0.0109
MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2	9645	3.34	0.0108
APOL4	apolipoprotein L, 4	80832	3.34	0.0117
C15orf52	chromosome 15 open reading frame 52	388115	3.34	0.0108
GGTLA1	gamma-glutamyltransferase-like activity 1	2687	3.34	0.0412
FRMD3	FERM domain containing 3	257019	3.34	0.0108
SLPI	secretory leukocyte peptidase inhibitor	6590	3.32	0.0059
SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	6392	3.31	0.0146
POU5F1	POU domain, class 5, transcription factor 1	5460	3.31	0.0115
HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	3.31	0.0109
ANKRD25	ankyrin repeat domain 25	25959	3.29	0.0043
MAOB	monoamine oxidase B	4129	3.29	0.0157
CRYAB	crystallin, alpha B	1410	3.28	0.011
TTYH2	tweety homolog 2 (Drosophila)	94015	3.28	0.0071
ATP1A4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	480	3.28	0.011
HIPK2	homeodomain interacting protein kinase 2	28996	3.27	0.0055
CORO2A	coronin, actin binding protein, 2A	7464	3.27	0.0051
MUC3B	mucin 3B, cell surface associated	57876	3.27	0.0111
EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	64097	3.27	0.0112
ALKBH7	alkB, alkylation repair homolog 7 (E. coli)	84266	3.26	0.0082
HIPK2	homeodomain interacting protein kinase 2	28996	3.25	0.0111
SOCS1	suppressor of cytokine signaling 1	8651	3.24	0.0282
NR1H4	nuclear receptor subfamily 1, group H, member 4	9971	3.24	0.0117
TNFAIP3	tumor necrosis factor, alpha-induced protein 3	7128	3.24	0.0115
FRAT2	frequently rearranged in advanced T-cell lymphomas 2	23401	3.23	0.0112
PLA2G3	phospholipase A2, group III	50487	3.22	0.0153
MT1F	metallothionein 1F (functional)	4494	3.21	0.0112
C14orf78	chromosome 14 open reading frame 78	113146	3.2	0.0113
SSBP2	single-stranded DNA binding protein 2	23635	3.2	0.0113
CDH1	cadherin 1, type 1, E-cadherin (epithelial)	999	3.19	0.0006
SLPI	secretory leukocyte peptidase inhibitor	6590	3.19	0.0065
LPAL2	lipoprotein, Lp(a)-like 2	80350	3.19	0.0136
C1orf172	chromosome 1 open reading frame 172	126695	3.19	0.0118
HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	3156	3.18	0.0118
SC4MOL	sterol-C4-methyl oxidase-like	6307	3.18	0.0106
CDK5RAP3	CDK5 regulatory subunit associated protein 3	80279	3.18	0.007
C3orf25	chromosome 3 open reading frame 25	90288	3.18	0.0114
KIAA1881	KIAA1881	114782	3.18	0.0157
CXXC5	CXXC finger 5	51523	3.17	0.0459
MYPN	myopalladin	84665	3.16	0.0057
NR1I3	nuclear receptor subfamily 1, group I, member 3	9970	3.16	0.0119
CAV1	caveolin 1, caveolae protein, 22kDa	857	3.15	0.0115
VAMP8	vesicle-associated membrane protein 8 (endobrevin)	8673	3.15	0.0143
FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	10160	3.15	0.0115
RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	10235	3.15	0.0397
ZC3H12A	zinc finger CCCH-type containing 12A	80149	3.14	0.0046
ANKRD29	ankyrin repeat domain 29	147463	3.14	0.0046
NEBL	nebulette	10529	3.13	0.0116
LDHD	lactate dehydrogenase D	197257	3.13	0.0116
C6orf170	chromosome 6 open reading frame 170	221322	3.12	0.0165
LAMA3	laminin, alpha 3	3909	3.11	0.0116
FGA	fibrinogen alpha chain	2243	3.11	0.0117
UBL3	ubiquitin-like 3	5412	3.11	0.0386
CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4	1576	3.11	0.0129
CAPS	calcyphosine	828	3.11	0.0117
POU5F1	POU domain, class 5, transcription factor 1	5460	3.11	0.0121
EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	54566	3.1	0.0117
ZBTB16	zinc finger and BTB domain containing 16	7704	3.1	0.012
PRKCD	protein kinase C, delta	5580	3.09	0
DKK3	dickkopf homolog 3 (Xenopus laevis)	27122	3.09	0.0117
MDH2	malate dehydrogenase 2, NAD (mitochondrial)	4191	3.09	0.0162
LOC440792	proline dehydrogenase (oxidase) 1 pseudogene	440792	3.09	0.0121
C1orf51	chromosome 1 open reading frame 51	148523	3.08	0.0149
ABHD2	abhydrolase domain containing 2	11057	3.07	0.0118
SGMS2	sphingomyelin synthase 2	166929	3.07	0.0119
TSPYL2	TSPY-like 2	64061	3.07	0.0176
PRODH	proline dehydrogenase (oxidase) 1	5625	3.07	0.0119
PIM3	pim-3 oncogene	415116	3.06	0.0119
HGD	homogentisate 1,2-dioxygenase (homogentisate oxidase)	3081	3.06	0.0119
KIF3B	kinesin family member 3B	9371	3.06	0.0112
