t-value	Parametric p-value	% CV support	Average ratios in the High-risk group	Average ratios in the Low-risk group	Unique id	Description	Clone	UG cluster	Gene symbol	Map
3.65	0.000571	90	1.232	1.062	163109	mitochondrial ribosomal protein L43	1451660	Hs.151945	MRPL43	10q24.1-q24.3
6.37	p < 0.000001	100	1.229	0.824	166068	ectodermal-neural cortex (with BTB-like domain)	1731061	Hs.104925	ENC1	5q12-q13.3
3.84	0.000311	100	1.227	1.01	168511	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	769182	Hs.78934	MSH2	2p22-p21
4.45	0.00004	100	1.219	0.977	166837	ESTs	2359527	Hs.279482		2
5.99	p < 0.000001	100	1.201	0.896	160943	Homo sapiens clone 24630 mRNA sequence	1476214	Hs.171553		3
4.04	0.000164	100	1.187	0.998	161661	hypothetical protein FLJ10520	2223152	Hs.77510	FLJ10520	16q22.3
3.89	0.000263	100	1.174	1.002	169310	nucleoporin 62kDa	2085746	Hs.9877	NUP62	19q13.33
3.6	0.000688	58	1.173	0.981	161354	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)	2632434	Hs.64056	PAK1	11q13-q14
5.37	0.000001	100	1.164	0.929	161233	Incyte EST	1602194
4.35	0.000058	100	1.154	0.878	166849	p53-responsive gene 5	1510581
4.63	0.000022	100	1.153	0.953	161066	hypothetical protein from clone 24796	1732772	Hs.27191	LOC57146	16p12
4.05	0.000159	100	1.15	0.926	163071	Homo sapiens cDNA: FLJ21409 fis, clone COL03924, mRNA sequence	1340424	Hs.172129		5
3.65	0.000572	90	1.141	0.985	161518	H2A histone family, member A	3249277	Hs.121017	H2AFA	6p22.2-p21.1
4.71	0.000016	100	1.14	0.951	169490	hypothetical protein DKFZp564K0322	2608167	Hs.97876	DKFZP564 K032	19q13.32
4.04	0.000162	100	1.138	0.906	164262	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	2171614	Hs.108931	MPP6	7p15
3.83	0.00033	100	1.138	0.936	169742	ESTs, Moderately similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2899601	Hs.143992		2
-4.47	0.000037	100	1.124	1.642	161856	glutathione-S-transferase like; glutathione transferase omega	4500105	Hs.11465	GSTTLp28	10q24.33
3.59	0.000684	73	1.124	0.963	163579	ESTs	3563809	Hs.194441		6
5.16	0.000003	100	1.12	0.89	168509	ESTs, Weakly similar to KHLX_HUMAN Kelch-like protein X [H.sapiens]	1760693	Hs.99398		14
3.53	0.000822	54	1.111	0.953	165413	WIRE protein	1291538	Hs.13996	WIRE	17q21.1
3.47	0.000996	36	1.098	0.826	160605	P311 protein	1555545	Hs.142827	P311	5q22.1
3.98	0.000199	100	1.087	0.914	164713	Homo sapiens full length insert cDNA clone ZC18H06, mRNA sequence	1907346	Hs.384561		19
3.49	0.000953	36	1.083	0.92	166833	solute carrier family 17 (anion/sugar transporter), member 5	2296344	Hs.117865	SLC17A5	6q14-q15
3.74	0.000428	100	1.081	0.871	163536	transducer of ERBB2, 2	2827692	Hs.4994	TOB2	22q13.2-q13.31
3.56	0.000759	63	1.08	0.941	166348	epidermal growth factor receptor pathway substrate 8-related protein 1	1395088	Hs.28907	EPS8R1	19q13.42
-3.54	0.000799	53	1.068	1.459	169569	spermidine/spermine N1-acetyltransferase	63038	Hs.28491	SAT	Xp22.1
4.31	0.000066	100	1.063	0.844	168965	formin binding protein 3	2346542	Hs.107213	FNBP3	2q23.3
4.49	0.000035	100	1.06	0.93	166408	hypothetical protein FLJ39514	2858723	Hs.48565	FLJ39514	4q11
-3.91	0.000244	100	1.059	1.761	168931	heat shock 105kD	1922468	Hs.36927	HSP105B	13q12.2
4.12	0.000126	100	1.058	0.922	165465	KIAA0195 gene product	3203789	Hs.301132	KIAA0195	17q25.2
3.96	0.000213	100	1.058	0.893	163495	hypothetical protein FLJ11280	2989812	Hs.3346	FLJ11280	1q21.2
-4.83	0.000011	100	1.057	1.872	164576	forkhead box O1A (rhabdomyosarcoma)	2901287	Hs.170133	FOXO1A	13q14.1
4.73	0.000015	100	1.055	0.889	169508	ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome)	2929674	Hs.606	ATP7A	Xq13.2-q13.3
3.57	0.000725	64	1.048	0.9	163115	ESTs, Moderately similar to hypothetical protein FLJ20234 [Homo sapiens] [H.sapiens]	2908878	Hs.119629		14
-4.62	0.000023	100	1.04	1.351	160731	histone deacetylase 6	1984876	Hs.6764	HDAC6	Xp11.23
-3.54	0.000812	54	1.04	1.362	160982	ras responsive element binding protein 1	1866866	Hs.171942	RREB1	6p25
4.67	0.000019	100	1.035	0.775	169403	protein phosphatase 1, regulatory (inhibitor) subunit 12A	624654	Hs.16533	PPP1R12A	12q15-q21
4.18	0.000102	100	1.027	0.872	166228	huntingtin (Huntington disease)	3293711	Hs.79391	HD	4p16.3
4.37	0.000053	100	1.021	0.816	167919	KIAA1361 protein	2041462	Hs.15119	KIAA1361	17q11.1
-3.83	0.000322	100	1.017	1.192	162707	Homo sapiens clone 25038 mRNA sequence	3520261	Hs.306359		15
3.67	0.000537	93	1.014	0.841	164845	thioredoxin domain containing 4 (endoplasmic reticulum)	1433187	Hs.154023	TXNDC4	9q22.33
-3.51	0.000891	44	1.012	1.281	160125	tumor protein, translationally-controlled 1	3027978	Hs.401448	TPT1	13q12-q14
-3.5	0.000915	41	1.009	1.267	160129	MAP/microtubule affinity-regulating kinase 2	3043906	Hs.157199	MARK2	11q12-q13
-3.5	0.000914	39	1.005	1.238	165593	transmembrane 7 superfamily member 1 (upregulated in kidney)	830684	Hs.15791	TM7SF1	1q42-q43
-4.65	0.00002	100	1.003	1.661	165565	phosphatidylinositol (4,5) bisphosphate 5-phosphatase homolog; phosphatidylinositol polyphosphate 5-phosphatase type IV	1849177	Hs.25156	PPI5PIV	9q34.3
-3.73	0.000444	100	0.998	1.308	162773	calcium channel, voltage-dependent, beta 2 subunit	3517320	Hs.30941	CACNB2	10p12
-4.65	0.00002	100	0.996	1.169	160476	likely ortholog of mouse deleted in polyposis 1	1940201	Hs.178112	DP1	5q22-q23
-4.17	0.000107	100	0.992	1.266	162067	splicing factor 3b, subunit 1, 155kDa	1977	Hs.334826	SF3B1	2q33.1
-3.5	0.000901	41	0.991	1.197	161606	Fc fragment of IgG, receptor, transporter, alpha	1871295	Hs.111903	FCGRT	19q13.3
-4.54	0.000041	100	0.988	1.3	161838	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa	2743905	Hs.84549	NDUFC1	4q28.2-q31.1
-6.53	p < 0.000001	100	0.985	1.607	168023	Fc fragment of IgG, high affinity Ia, receptor for (CD64)	1622987	Hs.77424	FCGR1A	1q21.2-q21.3
-4.62	0.000023	100	0.98	1.326	168995	ring finger protein 13	1802379	Hs.6900	RNF13	3q25.1
3.7	0.000484	97	0.976	0.854	161334	hypothetical protein 20D7-FC4	3747555	Hs.128702	20D7-FC4	19q13.3
-4.93	0.000007	100	0.972	1.427	159896	neural precursor cell expressed, developmentally down-regulated 4	4165176	Hs.1565	NEDD4	15q
-3.77	0.000401	100	0.969	1.28	162934	leucine carboxyl methyltransferase	1274939	Hs.8054	LCMT	16p12.3-16p12.1
4.67	0.000019	100	0.967	0.784	165515	3-phosphoinositide dependent protein kinase-1	2193812	Hs.154729	PDPK1	16p13.3
-3.75	0.000411	100	0.964	1.164	162323	EST	553251	Hs.426542		4
-3.52	0.000859	53	0.958	1.507	167552	lysosomal-associated membrane protein 2	2503017	Hs.8262	LAMP2	Xq24
-3.59	0.000703	71	0.95	1.228	167868	general transcription factor IIB	2446736	Hs.258561	GTF2B	1p22-p21
-4.06	0.000152	100	0.949	1.293	169563	zinc finger protein 103 homolog (mouse)	1843290	Hs.155968	ZFP103	2p11.2
3.61	0.000661	71	0.947	0.82	162677	Human BRCA2 region, mRNA sequence CG011	3255853	Hs.142907		13
-3.58	0.000727	61	0.947	1.225	165329	Rab9 effector p40	1295430	Hs.19012	RAB9P40	9q34.11
-3.58	0.000706	64	0.942	1.096	167779	general transcription factor IIE, polypeptide 2, beta 34kDa	571766	Hs.77100	GTF2E2	8p21-p12
-4.11	0.000126	100	0.941	1.258	162938	PTD013 protein	1726424	Hs.22679	PTD013	6q13-q22.33
3.48	0.000971	39	0.938	0.81	165174	Homo sapiens cDNA FLJ35787 fis, clone TESTI2005672, highly similar to UBIQUINOL-CYTOCHROME C REDUCTASE COMPLEX CORE PROTEIN 2 PRECURSOR (EC 1.10.2.2), mRNA sequence	1740678	Hs.265591		16
-3.64	0.000582	93	0.935	1.054	162882	RAB3A interacting protein (rabin3)-like 1	2357233	Hs.13759	RAB3IL1	11q12-q13.1
-4.65	0.000025	100	0.93	1.204	161778	protein phosphatase 1D magnesium-dependent, delta isoform	3068755	Hs.100980	PPM1D	17q23.2
-4.54	0.000029	100	0.926	1.178	160011	general transcription factor IIA, 2, 12kDa	2457833	Hs.76362	GTF2A2	15q21.3
-4.68	0.000018	100	0.918	1.294	163597	hypothetical protein FLJ20366	1755193	Hs.8358	FLJ20366	8q23.2
-4.57	0.000026	100	0.912	1.66	168655	complement component 1, q subcomponent, beta polypeptide	2102756	Hs.8986	C1QB	1p36.3-p34.1
-4.24	0.000083	100	0.91	1.142	162711	mitofusin 2	634825	Hs.3363	MFN2	1p36.21
-3.85	0.000298	100	0.91	1.172	167551	microtubule-associated protein 7	1995692	Hs.146388	MAP7	6q23.2
-4.54	0.00003	100	0.907	1.181	167754	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 926491, mRNA sequence	1506962	Hs.98401		19
-5	0.000006	100	0.903	1.145	163549	ESTs, Weakly similar to ARF protein [Homo sapiens] [H.sapiens]	1697490	Hs.422650		17
-3.87	0.000282	100	0.899	1.223	167617	selenoprotein P, plasma, 1	2959255	Hs.275775	SEPP1	5q31
3.68	0.00052	97	0.898	0.781	161620	H4 histone family, member A [Homo sapiens], mRNA sequence	3728255	Hs.278483		3
-4.47	0.000038	100	0.893	1.216	163456	phytanoyl-CoA hydroxylase (Refsum disease)	4073867	Hs.172887	PHYH	10pter-p11.2
-4.38	0.000051	100	0.892	1.14	160759	glucuronidase, beta	1874311	Hs.183868	GUSB	7q21.11
-4.39	0.000059	100	0.884	1.231	162036	Dombrock blood group	4085481	Hs.13776	DO	12q13.2-q13.3
-3.73	0.000454	98	0.88	1.1	166579	interleukin 18 receptor 1	3401281	Hs.159301	IL18R1	2q12
-6.1	p < 0.000001	100	0.876	1.18	161756	albumin	4087621	Hs.184411	ALB	4q11-q13
-4.62	2.20E-05	100	0.875	1.013	164997	N-acetylgalactosaminidase, alpha-	1664863	Hs.75372	NAGA	22q13-qter
-5.02	5.00E-06	100	0.87	2.237	163633	leptin receptor	1849302	Hs.226627	LEPR	1p31
-5.9	p < 0.000001	100	0.864	1.181	163874	KIAA0092 gene product	1489295	Hs.151791	KIAA0092	11q21
-5.44	0.000001	100	0.861	1.512	162878	ESTs, Highly similar to alpha 1 type XI collagen, isoform B preproprotein; collagen XI, alpha-1 polypeptide [Homo sapiens] [H.sapiens]	1805089	Hs.7967		1
-3.71	0.000469	98	0.859	1.179	163509	Hermansky-Pudlak syndrome 3	604991	Hs.282804	HPS3	3q24
5.17	0.000003	100	0.855	0.668	166434	hypothetical protein FLJ13213	2382190	Hs.331328	FLJ13213	15q21.2
-3.8	0.000349	100	0.854	1.28	162202	transferrin	843421	Hs.396489	TF	3q21
3.64	0.000582	92	0.853	0.653	161085	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	1297314	Hs.99890	POLD1	19q13.3
-4.29	0.00007	100	0.852	1.098	166532	phosphatidylcholine transfer protein	1358753	Hs.285218	PCTP	17q21-q24
-5.57	p < 0.000001	100	0.843	1.087	162884	intracellular membrane-associated calcium-independent phospholipase A2 gamma	1382505	Hs.44198	IPLA2(GA MMA)	7q31
-5	0.000006	100	0.842	1.141	163676	inositol(myo)-1(or 4)-monophosphatase 1	1403168	Hs.171776	IMPA1	8q21.13-q21.3
-4.01	0.000179	100	0.841	1.036	159850	Homo sapiens cDNA FLJ34315 fis, clone FEBRA2008341, mRNA sequence	1734634	Hs.376655		14
4.61	0.000024	100	0.838	0.632	169587	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	515453	Hs.433714	KRAS2	12p12.1
-3.55	0.000775	58	0.838	1.215	165788	potassium inwardly-rectifying channel, subfamily J, member 8	605831	Hs.102308	KCNJ8	12p11.23
-3.95	0.000219	100	0.828	1.188	165559	c-mer proto-oncogene tyrosine kinase	1623270	Hs.306178	MERTK	2q14.1
-3.95	0.000221	100	0.816	1.224	165133	basic leucine zipper and W2 domains 1	2059208	Hs.155291	BZW1	2q33
-4.37	0.000054	100	0.811	1.062	161636	Homo sapiens clone 24405 mRNA sequence	2500225	Hs.23729		1
-4.3	0.000068	100	0.809	2.181	165974	insulin-like growth factor binding protein 1	1448718	Hs.102122	IGFBP1	7p13-p12
-3.82	0.000334	100	0.809	1.044	165115	aconitase 1, soluble	1998307	Hs.154721	ACO1	9p22-p13
-4.23	0.000086	100	0.807	1.049	165670	toll-like receptor 2	1401002	Hs.63668	TLR2	4q32
-5.42	0.000002	100	0.803	1.296	161780	Incyte EST	3441835
-4.37	0.000052	100	0.797	1.284	162192	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	1988940	Hs.79158	ACADM	1p31
-3.55	0.00079	51	0.795	1.166	167385	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	702860	Hs.169919	ETFA	15q23-q25
-4.15	0.000114	100	0.794	1.029	162329	estrogen receptor binding site associated, antigen, 9	723888	Hs.9222	EBAG9	8q23
-3.97	0.000202	100	0.79	0.997	164028	ESTs, Weakly similar to ATDA_HUMAN Diamine acetyltransferase (Spermidine/spermine N(1)-acetyltransferase) (SSAT) (Putrescine acetyltransferase) [H.sapiens]	1708552	Hs.356269		X
-3.52	0.000844	53	0.79	1.057	164368	Similar to RIKEN cDNA 1810013D05 gene [Homo sapiens], mRNA sequence	1736429	Hs.32699		12
-5.67	p < 0.000001	100	0.786	1.071	160436	Similar to hypothetical protein PRO2831 [Homo sapiens], mRNA sequence	1661015	Hs.406646		15
-4.24	0.000083	100	0.784	1.391	160370	serum/glucocorticoid regulated kinase	444676	Hs.296323	SGK	6q23
-4.8	0.000012	100	0.78	1.259	165739	hypothetical gene CG018	1297988	Hs.22174	CG018	13q12-q13
-5.34	0.000002	100	0.779	0.978	163144	KIAA1724 protein	2190518	Hs.127243	KIAA1724	2p23.3
-3.62	0.000636	81	0.769	1.162	165530	cytochrome P450, subfamily IIJ (arachidonic acid epoxygenase) polypeptide 2	1597231	Hs.152096	CYP2J2	1p31.3-p31.2
-5.25	0.000002	100	0.768	1.052	161138	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	2952701	Hs.297681	SERPINA1	14q32.1
-5.42	0.000001	100	0.767	1.181	164656	N-chimaerin (AA 1-299) [Homo sapiens], mRNA sequence	1852659	Hs.385460		2
-4.14	0.000117	100	0.767	1.029	163052	fused toes homolog (mouse)	2925132	Hs.288929	FTS	16q12.1
-4.7	0.000017	100	0.766	1.43	161801	solute carrier family 10 (sodium/bile acid cotransporter family), member 1	5034123	Hs.952	SLC10A1	14q24.1
3.84	0.000311	100	0.765	0.619	161813	KIAA0874 protein	4289192	Hs.27973	KIAA0874	18p11.21
-5.65	p < 0.000001	100	0.761	1.382	160795	hepatic leukemia factor	1321055	Hs.433707	HLF	17q22
-3.53	0.00083	49	0.756	0.967	166818	tropomodulin	1721744	Hs.374849	TMOD	9q22.3
-5.93	p < 0.000001	100	0.756	1.276	164136	acyl-Coenzyme A dehydrogenase, long chain	1300469	Hs.1209	ACADL	2q34-q35
3.96	0.000209	100	0.749	0.557	168500	Homo sapiens cDNA: FLJ21930 fis, clone HEP04301, highly similar to HSU90916 Human clone 23815 mRNA sequence	1901271	Hs.82845		11
-3.88	0.000277	100	0.749	0.985	161689	growth hormone receptor	2639411	Hs.125180	GHR	5p13-p12
-4.34	0.000058	100	0.746	1.211	168452	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	1297179	Hs.172665	MTHFD1	14q24
-3.89	0.000265	100	0.746	1.159	166110	2,4-dienoyl CoA reductase 1, mitochondrial	2380381	Hs.81548	DECR1	8q21.3
-5	0.000006	100	0.741	1.14	163572	hypothetical protein DKFZp564D0462	1803721	Hs.44197	DKFZP564 D046	6q23.1-q24.3
-4.25	0.00008	100	0.739	1.044	159764	annexin A7	1805836	Hs.386741	ANXA7	10q21.1-q21.2
-3.82	0.000327	100	0.732	1.378	165737	fatty acid binding protein 1, liver	990375	Hs.380135	FABP1	2p11
-4.92	0.000008	100	0.73	1.087	163778	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	1911016	Hs.20894	NDST1	5q32-q33.1
-5.88	p < 0.000001	100	0.728	0.925	163096	CGI-26 protein	2170202	Hs.24332	CGI-26	12p12.3
-4.88	0.000009	100	0.724	1.417	163254	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	1970427	Hs.85226	LIPA	10q23.2-q23.3
-4.8	0.000012	100	0.719	1.091	167087	solute carrier family 31 (copper transporters), member 2	1424573	Hs.24030	SLC31A2	9q31-q32
-6.04	p < 0.000001	100	0.719	1.224	162290	UDP-N-acteylglucosamine pyrophosphorylase 1	1997038	Hs.21293	UAP1	1q23.1
-4.08	0.000142	100	0.718	1.057	165794	epoxide hydrolase 2, cytoplasmic	234123	Hs.113	EPHX2	8p21-p12
-3.82	0.000389	100	0.718	1.152	161732	plexin B1	3426809	Hs.278311	PLXNB1	3p21.31
-4.79	0.000012	100	0.716	0.987	165277	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)	1315115	Hs.771	PYGL	14q21-q22
-3.52	0.000851	47	0.713	0.894	160956	hypothetical protein A-211C6.1	2807070	Hs.28607	LOC57149	16p11.2
-4.12	0.000124	100	0.712	0.997	160399	cullin 3	2057912	Hs.78946	CUL3	2q36.3
-5.44	0.000001	100	0.707	1.191	166252	CD5 antigen-like (scavenger receptor cysteine rich family)	1534733	Hs.52002	CD5L	1q21-q23
-4.9	0.000008	100	0.705	1.067	159807	kidney ankyrin repeat-containing protein	3330595	Hs.77546	KANK	9p24.3
-3.77	0.000394	100	0.701	0.97	168394	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	1997828	Hs.146812	HADHB	2p23
-5.33	0.000002	100	0.694	1.361	169477	mannose receptor, C type 1	1986605	Hs.75182	MRC1	10p13
-4	0.000182	100	0.69	1.057	167281	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	546754	Hs.59498	CDC2L5	7p13
-3.99	0.00019	100	0.69	0.939	162599	haptoglobin	1740889	Hs.75990	HP	16q22.1
-3.75	0.000419	100	0.689	1.067	160471	translational inhibitor protein p14.5	532254	Hs.18426	UK114	8q22
-6.18	p < 0.000001	100	0.688	1.112	160302	myosin IB	2206062	Hs.121576	MYO1B	2q12-q34
-3.77	0.000389	100	0.687	1.101	164532	catalase	1727734	Hs.395771	CAT	11p13
-5.25	0.000003	100	0.685	1.043	169635	ESTs, Weakly similar to ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome; Ubiquitously transcribed TPR gene on Y chromosome [Homo sapiens] [H.sapiens]	1000777	Hs.87980		2
-4.98	0.000006	100	0.681	0.994	162636	signal recognition particle 54kDa	1984158	Hs.49346	SRP54	14q13.1
-4.05	0.000157	100	0.678	0.841	168476	nucleoporin 88kDa	797600	Hs.172108	NUP88	17p13.2
3.67	0.000538	97	0.677	0.528	162564	A kinase (PRKA) anchor protein (yotiao) 9	1996806	Hs.58103	AKAP9	7q21-q22
-3.85	0.000305	100	0.673	0.909	163040	Incyte EST	2593385
-3.55	0.000795	46	0.671	0.802	163088	hypothetical protein FLJ21918	2242612	Hs.282093	FLJ21918	16q22.1
-5.26	0.000002	100	0.669	0.896	162659	RAB6A, member RAS oncogene family	3519825	Hs.5636	RAB6A	11q13.3
-3.72	0.00046	100	0.665	1.113	161872	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7	4795635	Hs.76838	SERPINA7	Xq22.2
-3.79	0.000365	100	0.662	0.953	169717	progesterone receptor membrane component 1	1846226	Hs.90061	PGRMC1	Xq22-q24
-3.55	0.000778	51	0.662	1.001	167386	nicotinamide N-methyltransferase	604856
-4.04	0.000161	100	0.66	1.011	167801	Sec23 homolog A (S. cerevisiae)	974896	Hs.272927	SEC23A	14q13.2
-3.71	0.000467	97	0.659	1.159	162012	lipoprotein, Lp(a)	4416544	Hs.119520	LPA	6q26-q27
-5.48	p < 0.000001	100	0.657	1.065	166910	SIPL protein	2058620	Hs.64322	SIPL	2p25.3
-4.2	9.30E-05	100	0.651	1.058	167287	cytochrome b-5	2103752	Hs.83834	CYB5	18q23
-5.58	p < 0.000001	100	0.65	0.912	168437	KIAA0843 protein	958330	Hs.26777	KIAA0843	5q32
-4.12	0.000124	100	0.649	0.837	165894	protein kinase, cAMP-dependent, regulatory, type II, beta	1968465	Hs.77439	PRKAR2B	7q22-q31.1
-3.93	0.000231	100	0.649	0.78	167543	coagulation factor VIII, procoagulant component (hemophilia A)	1760838	Hs.79345	F8	Xq28
-3.65	0.000577	90	0.649	0.875	164314	KIAA1450 protein	2674167	Hs.83243	KIAA1450	4q32.1
-3.86	0.000291	100	0.644	0.938	161484	cytochrome P450, subfamily IVF, polypeptide 3 (leukotriene B4 omega hydroxylase)	2515733	Hs.106242	CYP4F3	19p13.2
-6.46	p < 0.000001	100	0.643	1.175	162315	calcium channel, voltage-dependent, beta 3 subunit	489032	Hs.250712	CACNB3	12q13
-4.25	0.000081	100	0.642	0.88	164249	aminocarboxymuconate semialdehyde decarboxylase	4073445	Hs.114088	ACMSD	2q21.2
-4.87	0.000009	100	0.64	1.076	164602	complement component 1, s subcomponent	1904751	Hs.169756	C1S	12p13
-4.15	0.000115	100	0.639	0.936	164393	Homo sapiens mRNA; cDNA DKFZp762O1615 (from clone DKFZp762O1615), mRNA sequence	1956063	Hs.284252		5
-4.56	0.000027	100	0.636	1.205	164394	CD163 antigen	1559730	Hs.74076	CD163	12p13.3
-4.54	0.000031	100	0.634	0.922	161895	nuclear receptor subfamily 1, group I, member 2	4991215	Hs.118138	NR1I2	3q12-q13.3
-4.98	0.000006	100	0.633	0.933	166021	inositol polyphosphate-5-phosphatase, 145kDa	340155	Hs.155939	INPP5D	2q36-q37
-5.14	0.000004	100	0.627	1.044	162301	interleukin 1 receptor accessory protein	1431707	Hs.173880	IL1RAP	3q28
-3.52	0.000858	46	0.625	0.933	166778	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	1631511	Hs.75812	PCK2	14q11.2
-4.01	0.00018	100	0.624	0.786	165731	tumor protein D52-like 1	763607	Hs.16611	TPD52L1	6q22-q23
-3.75	0.00042	100	0.624	0.823	163224	DC2 protein	2457103	Hs.103180	DC2	4q25
-5.01	0.000006	100	0.622	1.035	166915	hypothetical protein FLJ12666	2298788	Hs.23767	FLJ12666	1p34.2
-4.29	0.00007	100	0.622	0.933	161234	plakophilin 2	3030681	Hs.25051	PKP2	12p11
-4.09	0.000137	100	0.622	0.958	160328	pre-alpha (globulin) inhibitor, H3 polypeptide	480791	Hs.76716	ITIH3	3p21.2-p21.1
-4.3	0.000068	100	0.62	0.767	167501	propionyl Coenzyme A carboxylase, alpha polypeptide	196975	Hs.80741	PCCA	13q32
-3.57	0.000735	54	0.62	1.11	166857	plasminogen	2515873	Hs.75576	PLG	6q26
-5.73	p < 0.000001	100	0.616	1.133	160233	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	614679	Hs.38018	DYRK3	1q32
4.21	0.000091	100	0.614	0.427	169583	neurogranin (protein kinase C substrate, RC3)	1943863	Hs.26944	NRGN	11q24
-4.43	0.000043	100	0.611	1.011	162472	angiogenin, ribonuclease, RNase A family, 5	2263493	Hs.332764	ANG	14q11.1-q11.2
-3.52	0.000848	44	0.609	1.001	160667	sorbitol dehydrogenase	1856587	Hs.878	SORD	15q15.3
-4.21	0.000091	100	0.604	0.838	164495	Homo sapiens, clone IMAGE:3833472, mRNA, mRNA sequence	1968776	Hs.234898		12
-3.85	0.000299	100	0.604	0.895	169703	phosphoglucomutase 1	1985244	Hs.1869	PGM1	1p31
-7.28	p < 0.000001	100	0.603	0.903	160198	cofilin 2 (muscle)	1682939	Hs.180141	CFL2	14q
-3.84	0.000311	100	0.602	0.807	165566	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	1550727
-5.21	0.000003	100	0.598	0.815	162745	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	2098990	Hs.91139	SLC1A1	9p24
-4.67	0.000019	100	0.598	0.848	160741	aldehyde dehydrogenase 8 family, member A1	2043488	Hs.18443	ALDH8A1	6q23.2
-4.2	0.000094	100	0.597	1.015	162446	electron-transferring-flavoprotein dehydrogenase	1833352	Hs.323468	ETFDH	4q32-q35
-3.82	0.000334	100	0.596	0.86	168366	sterol carrier protein 2	1287840	Hs.75760	SCP2	1p32
