UniqID	GenBank ID	UniGene ID	Gene Description
24744	AF003595	Hs.96398	8-oxoguanine DNA glycosylase
26416	AL049365	Hs.349755	Homo sapiens mRNA; cDNA DKFZp586A0618 (from clone DKFZp586A0618)
26976	L13616	Hs.740	PTK2 protein tyrosine kinase 2
27378	U10485	Hs.40202	lymphoid-restricted membrane protein
27379	U10485	Hs.40202	lymphoid-restricted membrane protein
28014	X66087	Hs.300592	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
29811		Hs.104350	ESTs
30593		NA	NA
32182		NA	NA
32570	AB032998	Hs.125134	pre-mRNA splicing SR protein rA4
33095	AB016816	Hs.24724	malignant fibrous histiocytoma amplified sequence 1
15864	J03779	Hs.1298	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
16654	X83368	Hs.32942	phosphoinositide-3-kinase, catalytic, gamma polypeptide
17333	L13616	Hs.740	PTK2 protein tyrosine kinase 2
24264	U10485	Hs.40202	lymphoid-restricted membrane protein
24666	AB018351	Hs.184297	KIAA0808 gene product
24738	J03779	Hs.1298	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
24921	AB018351	Hs.184297	KIAA0808 gene product
24971	AB018350	Hs.101474	KIAA0807 protein
24988	X66087	Hs.300592	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
25246	U10485	Hs.40202	lymphoid-restricted membrane protein
26344	U47414	Hs.79069	cyclin G2
26385	J03779	Hs.1298	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
26657	AF030107	Hs.17165	regulator of G-protein signalling 13
28384	X89984	Hs.211563	B-cell CLL/lymphoma 7A
28591	X68502	Hs.78881	MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B)
28937	X58399	Hs.81221	Homo sapiens, clone MGC:3963 IMAGE:3621362, mRNA, complete cds
29822	AL137648	Hs.1098	DKFZp434J1813 protein
30458		NA	NA
30878		Hs.374083	ESTs, Weakly similar to ALUE_HUMAN !!!! ALU CLASS E WARNING ENTRY !!! [H.sapiens]
31587		Hs.228201	Homo sapiens, clone MGC:11120 IMAGE:3833673, mRNA, complete cds
31931	AB011420	Hs.9075	serine/threonine kinase 17a (apoptosis-inducing)
15925	U07349	Hs.82979	mitogen-activated protein kinase kinase kinase kinase 2
16438		NA	NA
17151	AL137648	Hs.1098	DKFZp434J1813 protein
17671	U10485	Hs.40202	lymphoid-restricted membrane protein
19254	J03779	Hs.1298	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
19321	U10485	Hs.40202	lymphoid-restricted membrane protein
23973		NA	NA
24265	J03779	Hs.1298	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
24361		Hs.163222	ESTs
24436	X68502	Hs.78881	MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B)
24882		NA	NA
24885	AB058713	Hs.334819	HRD1 protein
24996		Hs.349755	Homo sapiens mRNA; cDNA DKFZp586A0618 (from clone DKFZp586A0618)
26004	X16396	Hs.154672	methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase
26227		NA	NA
26913	U47414	Hs.79069	cyclin G2
27292	NM_015990	Hs.355609	lymphocyte activation-associated protein
27647	AL137648	Hs.1098	DKFZp434J1813 protein
28423	J03779	Hs.1298	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
28542	U00115	Hs.155024	B-cell CLL/lymphoma 6 (zinc finger protein 51)
29136		NA	NA
30172	U47414	Hs.79069	cyclin G2
30651	AB058713	Hs.334819	HRD1 protein
32319	U07349	Hs.82979	mitogen-activated protein kinase kinase kinase kinase 2
32967	AB023483	Hs.121128	BCR downstream signaling 1
34779		Hs.344476	ESTs
19279		Hs.49614	ESTs, Weakly similar to germinal center expressed transcript [M.musculus]
29804		Hs.362401	ESTs
32171	J03779	Hs.1298	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
