Rank	Entrez	Gene Symbol	Good Outcome Centroid	Poor Outcome Centroid	Affy Reporter	Vijver Reporter	Chr	Ensembl Gene	UniGene	RefseqRNA	Description
27	9787	DLG7	-0.017523513	0.450622483	203764_at	NM_014750	14	ENSG00000126787	Hs.77695	NM_014750.3	Discs, large homolog 7 (Drosophila)
28	3015	H2AFZ	-0.148711033	0.20660612	200853_at	NM_002106	chr4		Hs.119192		H2A histone family, member Z
29	5348	FXYD1	0.10445767	-0.190936861	205384_at	NM_005031	19	ENSG00000203403	Hs.442498		FXYD domain containing ion transport regulator 1 (phospholemman)
30	699	BUB1	0.02050774	0.430493039	209642_at	NM_004336	2	ENSG00000169679	Hs.469649	NM_004336.2	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
31	4085	MAD2L1	0.022311522	0.550317942	203362_s_at	NM_002358	4	ENSG00000164109	Hs.591697	NM_002358.2	MAD2 mitotic arrest deficient-like 1 (yeast)
32	5230	PGK1	-0.080299607	0.316683218	200737_at	NM_000291	X	ENSG00000102144	Hs.78771	NM_000291.2	Phosphoglycerate kinase 1
33	79682	MLF1IP	-0.15348946	0.411276718	218883_s_at	Contig64688	4	ENSG00000164306	Hs.481307 Hs.575032	NM_152683.1 NM_024629.2	MLF1 interacting protein
34	6776	STAT5A	0.02126484	-0.172714794	203010_at	NM_003152	17	ENSG00000126561	Hs.437058	NM_003152.2	Signal transducer and activator of transcription 5A
35	56920	SEMA3G	0.125178282	-0.226554742	219689_at	NM_020163	3	ENSG00000010319	Hs.59729	NM_020163.1	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G
36	55355	DKFZp762E1312	-0.078711807	0.230581934	218726_at	NM_018410	2	ENSG00000123485	Hs.532968	NM_018410.3	Hypothetical protein DKFZp762E1312
37	6387	CXCL12	0.053932765	-0.539910328	209687_at	U16752	chr10		Hs.522891		Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)
38	259266	ASPM	-0.118445841	0.437067457	219918_s_at	NM_018136	1	ENSG00000066279	Hs.121028	NM_018136.2	Asp (abnormal spindle) homolog, microcephaly associated (Drosophila)
39	991	CDC20	-0.094591019	0.502399158	202870_s_at	NM_001255	chr1		Hs.524947		Cell division cycle 20 homolog (S. cerevisiae)
40	1058	CENPA	-0.007972173	0.4488891	204962_s_at	NM_001809	chr2		Hs.1594		Centromere protein A
41	3479	IGF1	0.291519696	-0.352029257	209541_at	X57025	12	ENSG00000017427	Hs.160562	NM_000618.2	Insulin-like growth factor 1 (somatomedin C)
42	2617	GARS	-0.076311405	0.185759167	208693_s_at	NM_002047	7	ENSG00000106105	Hs.404321	NM_002047.2	Glycyl-tRNA synthetase
43	9928	KIF14	0.002887507	0.396831371	206364_at	NM_014875	1	ENSG00000118193	Hs.3104	NM_014875.1	Kinesin family member 14
44	1746	DLX2	0.382300579	-0.091350246	207147_at	NM_004405	chr2		Hs.419		Distal-less homeobox 2
45	54210	TREM1	-0.032544161	0.202609399	219434_at	NM_018643	chr6		Hs.283022		Triggering receptor expressed on myeloid cells 1
46	10742	RAI2	0.267781567	-0.277419071	219440_at	Contig51749_RC	X	ENSG00000131831	Hs.446680	NM_021785.2	Retinoic acid induced 2
47	1164	CKS2	-0.182267316	0.35966639	204170_s_at	NM_001827	chr9		Hs.83758		CDC28 protein kinase regulatory subunit 2
48	6472	SHMT2	-0.03042949	0.153787525	214095_at	NM_005412	chr12		Hs.75069		Serine hydroxymethyltransferase 2 (mitochondrial)
49	10212	DDX39	-0.143527826	0.173573034	201584_s_at	NM_005804	chr19		Hs.311609		DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
50	26040	SETBP1	0.089173869	-0.325978791	205933_at	NM_015559	chr18		Hs.435458		SET binding protein 1
51	60481	ELOVL5	0.089506066	-0.338400172	208788_at	AF111849	chr6		Hs.520189		ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
52	730	C7	0.266711212	-0.133003727	202992_at	NM_000587	5	ENSG00000112936	Hs.78065	NM_000587.2	Complement component 7
53	11130	ZWINT	-0.208578886	0.241120876	204026_s_at	NM_007057			Hs.591363		ZW10 interactor
54	85458	DIXDC1	0.140746258	-0.177888834	214724_at	AF070621	11	ENSG00000150764	Hs.446249	NM_001037954.2 NM_033425.3	DIX domain containing 1
55	705	BYSL	-0.063517231	0.142996259	203612_at	NM_004053	chr6		Hs.106880		Bystin-like
56	3838	KPNA2	-0.148032461	0.266324291	201088_at	NM_002266	17	ENSG00000182481	Hs.594238	NM_002266.2 XR_015622.1 XR_016441.1 XR_019062.1	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
57	10024	TROAP	-0.053422427	0.149886028	204649_at	NM_005480	12	ENSG00000135451	Hs.524399	NM_005480.2	Trophinin associated protein (tastin)
58	51466	EVL	0.105566866	-0.429702212	217838_s_at	NM_016337	chr14		Hs.125867		Enah/Vasp-like
59	1153	CIRBP	0.004397724	-0.284844749	200811_at	NM_001280			Hs.634522		Cold inducible RNA binding protein
60	9493	KIF23	-0.022180315	0.266427909	204709_s_at	NM_004856	15	ENSG00000137807	Hs.270845	NM_004856.4 NM_138555.1	Kinesin family member 23
61	1978	EIF4EBP1	-0.04071771	0.388904121	221539_at	NM_004095			Hs.411641		Eukaryotic translation initiation factor 4E binding protein 1
62	8604	SLC25A12	0.093250579	-0.152247455	203339_at	NM_003705	2	ENSG00000115840	Hs.470608	NM_003705.2	Solute carrier family 25 (mitochondrial carrier, Aralar), member 12
63	23371	TENC1	0.02615616	-0.197927997	212494_at	AB028998	12	ENSG00000167778	Hs.6147 Hs.343334	NM_032840.1	Tensin like C1 domain containing phosphatase (tensin 2)
64	890	CCNA2	0.008298444	0.373746327	203418_at	NM_001237	4	ENSG00000145386	Hs.58974	NM_001237.2	Cyclin A2
65	2532	DARC	0.281310258	-0.254252111	208335_s_at	NM_002036	1	ENSG00000162706	Hs.153381	NM_002036.2 NM_021189.2	Duffy blood group, chemokine receptor
66	4036	LRP2	0.392212713	-0.162536744	205710_at	NM_004525	2	ENSG00000081479	Hs.470538	NM_004525.1	Low density lipoprotein-related protein 2
67	10460	TACC3	-0.121377265	0.205734347	218308_at	NM_006342	4	ENSG00000013810	Hs.104019	NM_006342.1	Transforming, acidic coiled-coil containing protein 3
68	4915	NTRK2	0.394616409	-0.277419037	221796_at	Contig55838_RC	9	ENSG00000148053	Hs.494312	NM_001007097.1 NM_001018064.1 NM_001018065.1 NM_001018066.1 NM_0	Neurotrophic tyrosine kinase, receptor, type 2
69	9077	DIRAS3	0.16598801	-0.115891229	215506_s_at	NM_004675	1	ENSG00000162595	Hs.194695	NM_004675.2	DIRAS family, GTP-binding RAS-like 3
70	7832	BTG2	0.077100904	-0.381191247	201236_s_at	NM_006763	1	ENSG00000159388	Hs.519162	NM_006763.2	BTG family, member 2
71	7079	TIMP4	0.261803911	-0.091794645	206243_at	NM_003256	3	ENSG00000157150	Hs.591665	NM_003256.2	TIMP metallopeptidase inhibitor 4
72	7123	CLEC3B	0.167135137	-0.21129504	205200_at	NM_003278	chr3		Hs.476092		C-type lectin domain family 3, member B
73	51026	GOLT1B	-0.035868861	0.268534917	218193_s_at	NM_016072	12	ENSG00000111711	Hs.62275	NM_016072.2	Golgi transport 1 homolog B (S. cerevisiae)
74	2597	GAPDH	-0.042782907	0.223919453	213453_x_at	NM_002046	12	ENSG00000111640	Hs.479728 Hs.544577 Hs.592355	NM_002046.3 XR_015948.1 XR_015966.1 XR_016380.1 XR_016474.1 XR_0	Glyceraldehyde-3-phosphate dehydrogenase
75	6252	RTN1	0.533535689	-0.105286403	203485_at	L10333	14	ENSG00000139970	Hs.368626	NM_021136.2 NM_206852.1 NM_206857.1	Reticulon 1
76	23387	KIAA0999	0.075388847	-0.246138799	213034_at	AB023216	chr11		Hs.167451		KIAA0999 protein
77	5898	RALA	-0.134906162	0.156855014	214435_x_at	NM_005402	7	ENSG00000006451	Hs.6906	NM_005402.2	V-ral simian leukemia viral oncogene homolog A (ras related)
78	79801	SHCBP1	-0.05900496	0.156045173	219493_at	Contig34952	16	ENSG00000171241	Hs.123253	NM_024745.2	SHC SH2-domain binding protein 1
79	7272	TTK	0.038275955	0.474147224	204822_at	NM_003318	6	ENSG00000112742	Hs.169840	NM_003318.3	TTK protein kinase
80	3182	HNRPAB	-0.073952269	0.135761546	201277_s_at	NM_004499	5	ENSG00000197451	Hs.248746 Hs.591731	NM_004499.3 NM_031266.2	Heterogeneous nuclear ribonucleoprotein A/B
81	8742	TNFSF12	0.008155496	-0.168906952	205611_at	NM_003809
82	10351	ABCA8	0.419616753	-0.10829403	204719_at	NM_007168	17	ENSG00000141338	Hs.58351	NM_007168.2	ATP-binding cassette, sub-family A (ABC1), member 8
83	3131	HLF	0.087479775	-0.132692515	204754_at	NM_002126	17	ENSG00000108924	Hs.196952	NM_002126.4	Hepatic leukemia factor
84	1389	CREBL2	0.009963309	-0.302480511	201990_s_at	NM_001310	12	ENSG00000111269	Hs.591156	NM_001310.2	CAMP responsive element binding protein-like 2
85	216	ALDH1A1	0.248513002	-0.166629491	212224_at	NM_000689	9	ENSG00000165092	Hs.76392	NM_000689.3	Aldehyde dehydrogenase 1 family, member A1
86	5468	PPARG	0.100022583	-0.127726678	208510_s_at	NM_005037	chr3		Hs.162646		Peroxisome proliferator-activated receptor gamma
87	9936	CD302	0.064059083	-0.302935966	203799_at	NM_014880			Hs.653235		CD302 molecule
88	83461	CDCA3	-0.044074155	0.232977889	221436_s_at	Contig57584_RC	chr12		Hs.524216		Cell division cycle associated 3
89	57088	PLSCR4	0.05478731	-0.31053701	218901_at	NM_020353	3	ENSG00000114698	Hs.477869	NM_020353.1	Phospholipid scramblase 4
90	4751	NEK2	-0.060468502	0.397760157	204641_at	NM_002497	1	ENSG00000117650	Hs.153704	NM_002497.2 XR_017052.1 XR_017623.1 XR_019610.1	NIMA (never in mitosis gene a)-related kinase 2
91	9289	GPR56	-0.172944481	0.214381714	212070_at	NM_005682	16	ENSG00000205336	Hs.513633	NM_005682.4 NM_201524.1 NM_201525.1	G protein-coupled receptor 56
92	2956	MSH6	-0.090517801	0.128155098	202911_at	Contig29781_RC	2	ENSG00000116062	Hs.445052	NM_000179.1	MutS homolog 6 (E. coli)
93	3489	IGFBP6	0.134287579	-0.198470317	203851_at	M62402	12	ENSG00000167780	Hs.274313	NM_003578.2	Insulin-like growth factor binding protein 6
94	4175	MCM6	-0.079841306	0.219207971	201930_at	NM_005915	2	ENSG00000076003	Hs.444118	NM_005915.4	Minichromosome maintenance deficient 6 homolog (S. cerevisiae)
95	51514	DTL	-0.138033447	0.330986402	218585_s_at	NM_016448	1	ENSG00000143476	Hs.126774	NM_016448.1	Denticleless homolog (Drosophila)
96	4081	MAB21L1	0.168623438	-0.058762156	206163_at	NM_005584	13	ENSG00000180660	Hs.584776	NM_005584.2	Mab-21-like 1 (C. elegans)
97	25840	METTL7A	0.054362219	-0.282432236	207761_s_at	AF113007
98	30001	ERO1L	-0.03303143	0.195329883	218498_s_at	Contig57222_RC	14	ENSG00000197930	Hs.592304	NM_014584.1	ERO1-like (S. cerevisiae)
99	11004	KIF2C	-0.044143383	0.289043972	209408_at	NM_006845	1	ENSG00000142945	Hs.69360	NM_006845.2	Kinesin family member 2C
100	6713	SQLE	-0.133922669	0.369254314	209218_at	NM_003129	8	ENSG00000104549	Hs.71465	NM_003129.3	Squalene epoxidase
101	29105	C16orf80	-0.067418285	0.173400523	217957_at	NM_013242	chr16		Hs.532755		Chromosome 16 open reading frame 80
102	29087	THYN1	0.063185855	-0.172766021	218491_s_at	NM_014174	11	ENSG00000151500	Hs.13645	NM_001037304.1 NM_001037305.1 NM_014174.2 NM_199297.1 NM_199298.	Thymocyte nuclear protein 1
103	55969	C20orf24	-0.052460538	0.214563643	217835_x_at	NM_018840			Hs.584985		Chromosome 20 open reading frame 24
104	4605	MYBL2	-0.050344118	0.180133902	201710_at	NM_002466	chr20		Hs.179718		V-myb myeloblastosis viral oncogene homolog (avian)-like 2
105	79901	CYBRD1	0.27051159	-0.275646854	217889_s_at	Contig52737_RC	2	ENSG00000071967	Hs.221941	NM_024843.2	Cytochrome b reductase 1
106	8318	CDC45L	-0.064537999	0.176168533	204126_s_at	NM_003504	22	ENSG00000093009	Hs.474217	NM_003504.3	CDC45 cell division cycle 45-like (S. cerevisiae)
107	57017	COQ9	-0.073858165	0.153508425	212228_s_at	AF161444	chr16		Hs.513632		Coenzyme Q9 homolog (S. cerevisiae)
108	10381	TUBB3	-0.074121708	0.180610011	213476_x_at	NM_006086	chr16		Hs.511743		Tubulin, beta 3
109	51022	GLRX2	-0.125435581	0.125996763	219933_at	NM_016066	chr1		Hs.458283		Glutaredoxin 2
110	51155	HN1	-0.112890814	0.309938314	217755_at	NM_016185	chr17		Hs.532803		Hematological and neurological expressed 1
111	6358	CCL14	0.211765823	-0.1553194	205392_s_at	NM_004166
112	2066	ERBB4	0.132855833	-0.496585297	214053_at	NM_005235	2	ENSG00000178568	Hs.390729	NM_001042599.1 NM_005235.2	V-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)
113	10615	SPAG5	-0.023774907	0.318389179	203145_at	NM_006461	17	ENSG00000076382	Hs.514033	NM_006461.3	Sperm associated antigen 5
114	686	BTD	0.000564874	-0.200410605	204167_at	NM_000060	3	ENSG00000169814	Hs.517830	NM_000060.2	Biotinidase
115	55165	CEP55	-0.046329439	0.374810382	218542_at	NM_018131	10	ENSG00000138180	Hs.14559	NM_018131.3	Centrosomal protein 55kDa
116	57019	CIAPIN1	-0.05861342	0.152747629	208424_s_at	NM_020313	chr16		Hs.4900		Cytokine induced apoptosis inhibitor 1
117	8140	SLC7A5	-0.045130923	0.476803914	201195_s_at	NM_003486	chr16		Hs.513797		Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
118	10687	PNMA2	0.199910472	-0.130494598	209598_at	AB020690	8	ENSG00000171362	Hs.591838	NM_007257.4	Paraneoplastic antigen MA2
119	10328	COX4NB	-0.074653914	0.161807091	218057_x_at	NM_006067	16	ENSG00000131148	Hs.173162	NM_006067.3	COX4 neighbor
120	10213	PSMD14	-0.067389841	0.154296198	212296_at	NM_005805			Hs.567410		Proteasome (prosome, macropain) 26S subunit, non-ATPase, 14
121	23345	SYNE1	0.047734369	-0.210438615	209447_at	AB033088	6	ENSG00000131018	Hs.12967	NM_015293.1 NM_033071.1 NM_133650.1 NM_182961.1	Spectrin repeat containing, nuclear envelope 1
122	79846	FLJ21062	0.08518157	-0.135310074	219455_at	Contig31398_RC	chr7		Hs.521012		Hypothetical protein FLJ21062
123	9768	KIAA0101	-0.158636794	0.276969907	202503_s_at	NM_014736
124	4288	MKI67	-0.049525646	0.258520519	212022_s_at	NM_002417	10	ENSG00000148773	Hs.80976	NM_002417.3	Antigen identified by monoclonal antibody Ki-67
125	5733	PTGER3	0.344363288	-0.206267231	213933_at	NM_000957	1	ENSG00000050628	Hs.445000	NM_000957.2 NM_198712.2 NM_198713.1 NM_198714.1 NM_198715.2 NM_1	Prostaglandin E receptor 3 (subtype EP3)
126	50853	VILL	0.038428847	-0.122047035	209950_s_at	NM_015873	3	ENSG00000136059	Hs.103665	NM_015873.3	Villin-like
127	3161	HMMR	-0.023413494	0.303491281	207165_at	NM_012484	5	ENSG00000072571	Hs.72550	NM_012484.1 NM_012485.1	Hyaluronan-mediated motility receptor (RHAMM)
