Probe Set	FC(C)	P(C)	Gene	Gene ID	Unigene	Chromosome	Description
205642_at	10	0.0004	CEP1	11064	Hs.246344	9q33-q34	centrosomal protein 1
204401_at	5	0.0004	KCNN4	3783	Hs.10082	19q13.2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
37512_at	90	0.0005	RODH	8630	Hs.524513	12q13	3-hydroxysteroid epimerase
218645_at	20	0.0005	ZNF277	11179	Hs.489722	7q31.1	zinc finger protein (C2H2 type) 277
222102_at	26	0.0007	GSTA3	2940	Hs.102484	6p12.1	glutathione S-transferase A3
210809_s_at	17	0.0007	POSTN	10631	Hs.136348	13q13.3	periostin, osteoblast specific factor
218179_s_at	29	0.0008	FLJ12716	60684	Hs.443240	4q35.1	FLJ12716 protein
203374_s_at	9	0.0008	TPP2	7174	Hs.432424	13q32-q33	tripeptidyl peptidase II
220954_s_at	7	0.0008	PILRB	29990	Hs.530084	7q22.1	paired immunoglobin-like type 2 receptor beta
219281_at	5	0.0008	MSRA	4482	Hs.490981	8p23.1	methionine sulfoxide reductase A
201555_at	2	0.0008	MCM3	4172	Hs.179565	6p12	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
203263_s_at	16	0.0009	ARHGEF9	23229	Hs.54697	Xq11.2	Cdc42 guanine nucleotide exchange factor (GEF) 9
205933_at	8	0.0009	SETBP1	26040	Hs.435458	18q21.1	SET binding protein 1
220269_at	69	0.001	FLJ23049	79740	Hs.478143	3q26.2	hypothetical protein FLJ23049
211297_s_at	59	0.001	CDK7	1022	Hs.184298	5q12.1	cyclin-dependent kinase 7
206799_at	50	0.001	SCGB1D2	10647	Hs.204096	11q13	secretoglobin, family 1D, member 2
221685_s_at	50	0.001	FLJ20364	54908	Hs.368710	5q35.1	hypothetical protein FLJ20364
219880_at	32	0.001	FLJ23053	64942	Hs.458412	5q35.3	hypothetical protein FLJ23053
37577_at	22	0.001	ARHGAP19	84986	Hs.80305	10q24.2	Rho GTPase activating protein 19
201582_at	17	0.001	SEC23B	10483	Hs.369373	20p11.23	Sec23 homolog B (S. cerevisiae)
206526_at	16	0.001	RIBC2	26150	Hs.475110	22q13.31	chromosome 22 open reading frame 11
212560_at	13	0.001	SORL1	6653	Hs.368592	11q23.2-q24.2	sortilin-related receptor, L(DLR class) A repeats-containing
217529_at	12	0.001	FLJ20013	84917	Hs.440667	7q22.1	Hypothetical protein FLJ20013
218966_at	10	0.001	MYO5C	55930	Hs.487036	15q21	myosin VC
222087_at	9	0.001	PVT1	5820	Hs.133107	8q24	Pvt1 oncogene homolog, MYC activator (mouse)
204720_s_at	6	0.001	DNAJC6	9829	Hs.536063	1pTER-q31.3	DnaJ (Hsp40) homolog, subfamily C, member 6
205427_at	6	0.001	ZNF354A	6940	Hs.484324	5q35.3	zinc finger protein 354A
203775_at	4	0.001	SLC25A13	10165	Hs.489190	7q21.3	solute carrier family 25, member 13 (citrin)
218769_s_at	3	0.001	ANKRA2	57763	Hs.239154	5q12-q13	ankyrin repeat, family A (RFXANK-like), 2
200709_at	2	0.001	FKBP1A	2280	Hs.471933	20p13	FK506 binding protein 1A, 12kDa
207434_s_at	2	0.001	FXYD2	486	Hs.413137	11q23	FXYD domain containing ion transport regulator 2
214358_at	2	0.001	ACACA	31	Hs.160556	17q21	acetyl-Coenzyme A carboxylase alpha
218885_s_at	59	0.002	GALNT12	79695	Hs.47099	9q31.1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12
203690_at	31	0.002	TUBGCP3	10426	Hs.224152	13q34	tubulin, gamma complex associated protein 3
203218_at	28	0.002	MAPK9	5601	Hs.484371	5q35	mitogen-activated protein kinase 9
204493_at	26	0.002	BID	637	Hs.474150	22q11.1	BH3 interacting domain death agonist
204079_at	23	0.002	TPST2	8459	Hs.474441	22q12.1	tyrosylprotein sulfotransferase 2
219918_s_at	23	0.002	ASPM	259266	Hs.121028	1q31	asp (abnormal spindle)-like, microcephaly associated
221584_s_at	22	0.002	KCNMA1	3778	Hs.144795	10q22-q23	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
205980_s_at	16	0.002	ARHGAP8	23779	Hs.102336	22q13.31	Rho GTPase activating protein 8
220308_at	16	0.002	NESG1	25790	Hs.158450	1q22	nasopharyngeal epithelium specific protein 1
203659_s_at	14	0.002	RFP2	10206	Hs.436922	13q14	ret finger protein 2
214844_s_at	12	0.002	DOK5	55816	Hs.473133	20q13.2	docking protein 5
202922_at	11	0.002	GCLC	2729	Hs.271264	6p12	glutamate-cysteine ligase, catalytic subunit
218009_s_at	11	0.002	PRC1	9055	Hs.459362	15q26.1	protein regulator of cytokinesis 1
217196_s_at	10	0.002	KIAA1078	23271	Hs.23585	1q32.1	KIAA1078 protein
203508_at	9	0.002	TNFRSF1B	7133	Hs.256278	1p36.3-p36.2	tumor necrosis factor receptor superfamily, member 1B
201353_s_at	7	0.002	BAZ2A	11176	Hs.314263	12q24.3-qTER	bromodomain adjacent to zinc finger domain, 2A
201645_at	7	0.002	TNC	3371	Hs.143250	9q33	tenascin C (hexabrachion)
213058_at	7	0.002	KIAA1043	23331	Hs.387856	22q12.1	KIAA1043 protein
211033_s_at	6	0.002	PEX7	5191	Hs.280932	6q21-q22.2	peroxisomal biogenesis factor 7
218857_s_at	6	0.002	ASRGL1	80150	Hs.535326	11q12.3	asparaginase like 1
203187_at	5	0.002	DOCK1	1793	Hs.159195	10q26.13-q26.3	dedicator of cytokinesis 1
209972_s_at	4	0.002	HRI	27102	Hs.520205	7p22	JTV1 gene
214438_at	4	0.002	HLX1	3142	Hs.74870	1q41-q42.1	H2.0-like homeo box 1 (Drosophila)
203932_at	3	0.002	HLA-DMB	3109	Hs.1162	6p21.3	major histocompatibility complex, class II, DM beta
217810_x_at	2	0.002	LARS	51520	Hs.432674	5q32	leucyl-tRNA synthetase
218097_s_at	1	0.002	CUEDC2	79004	Hs.500874	10q24.32	CUE domain containing 2
219667_s_at	36	0.003	BANK1	55024	Hs.480400	4q24	B-cell scaffold protein with ankyrin repeats 1
206002_at	28	0.003	GPR64	10149	Hs.146978	Xp22.22	G protein-coupled receptor 64
202495_at	19	0.003	TBCC	6903	Hs.75064	6pTER-p12.1	tubulin-specific chaperone c
216237_s_at	19	0.003	MCM5	4174	Hs.517582	22q13.1	MCM5 minichromosome maintenance deficient 5, cell division cycle 46
212306_at	17	0.003	CLASP2	23122	Hs.108614	3p22.3	cytoplasmic linker associated protein 2
215665_at	14	0.003	HSD3B1	3283	Hs.364941	1p13.1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2
219767_s_at	11	0.003	CRYZL1	9946	Hs.352671	21q21.3	crystallin, zeta (quinone reductase)-like 1
209631_s_at	10	0.003	GPR37	2861	Hs.406094	7q31	G protein-coupled receptor 37
206822_s_at	8	0.003	C20orf194	25943	Hs.516853	20q13.12	l(3)mbt-like (Drosophila)
214338_at	8	0.003	DNAJB12	54788	Hs.500013	10q22.2	DnaJ (Hsp40) homolog, subfamily B, member 12
204487_s_at	7	0.003	KCNQ1	3784	Hs.95162	11p15.5	potassium voltage-gated channel, KQT-like subfamily, member 1
209533_s_at	7	0.003	PLAA	9373	Hs.27182	9p21	phospholipase A2-activating protein
210653_s_at	7	0.003	BCKDHB	594	Hs.436387	6q13-q15	branched chain keto acid dehydrogenase E1, beta polypeptide
222361_at	7	0.003	CS0DF038YJ21	286222	Hs.433616	9q34.3	cDNA clone similar to beta-tubulin 4Q
217955_at	6	0.003	BCL2L13	23786	Hs.546359	22q11	BCL2-like 13 (apoptosis facilitator)
218462_at	6	0.003	RPF1	80135	Hs.481202	1p22.3	RNA processing factor 1
202439_s_at	5	0.003	IDS	3423	Hs.303154	Xq28	iduronate 2-sulfatase (Hunter syndrome)
212532_s_at	5	0.003	FLJ30656	124801	Hs.355570	17q21.31	hypothetical protein FLJ30656
205225_at	4	0.003	ESR1	2099	Hs.208124	6q25.1	estrogen receptor 1
205406_s_at	4	0.003	SPA17	53340	Hs.286233	11q24.2	sperm autoantigenic protein 17
212981_s_at	4	0.003	KIAA0738	9747	Hs.406492	7q35	KIAA0738 gene product
203575_at	3	0.003	CSNK2A2	1459	Hs.82201	16p13.3-p13.2	casein kinase 2, alpha prime polypeptide
206566_at	3	0.003	SLC7A1	6541	Hs.14846	13q12-q14	solute carrier family 7, member 1
212641_at	3	0.003	HIVEP2	3097	Hs.510172	6q23-q24	human immunodeficiency virus type I enhancer binding protein 2
221631_at	3	0.003	CACNA1I	8911	Hs.125116	22q13.1	calcium channel, voltage-dependent, alpha 1I subunit
202218_s_at	2	0.003	FADS2	9415	Hs.502745	11q12-q13.1	fatty acid desaturase 2
203892_at	2	0.003	WFDC2	10406	Hs.2719	20q12-q13.2	WAP four-disulfide core domain 2
209709_s_at	2	0.003	HMMR	3161	Hs.72550	5q33.2-qTER	hyaluronan-mediated motility receptor (RHAMM)
222139_at	83	0.004	KIAA1466	57612	Hs.147710	7q33	KIAA1466 protein
219132_at	55	0.004	PELI2	57161	Hs.105103	14q21	pellino homolog 2 (Drosophila)
39248_at	23	0.004	AQP3	360	Hs.234642	9p13	aquaporin 3
220302_at	19	0.004	MAK	4117	Hs.446125	6q22	male germ cell-associated kinase
209934_s_at	15	0.004	ATP2C1	27032	Hs.546361	3q22.1	ATPase, Ca++ transporting, type 2C, member 1
215102_at	14	0.004	LOC89231	89231	Hs.331147	7p14.3	LOC89231
204489_s_at	13	0.004	CD44	960	Hs.502328	11p13	CD44 antigen
213161_at	13	0.004	C9orf97	158427	Hs.494595	9q22.33	chromosome 9 open reading frame 97
220035_at	12	0.004	NUP210	23225	Hs.475525	3p25.2-p25.1	nucleoporin 210
221096_s_at	9	0.004	PRO1580	55374	Hs.546401	5q31.3	hypothetical protein PRO1580
206825_at	8	0.004	OXTR	5021	Hs.2820	3p25	oxytocin receptor
212804_s_at	8	0.004	DKFZP434C212	26130	Hs.495134	9q34.11	DKFZP434C212 protein
212599_at	7	0.004	AUTS2	26053	Hs.21631	7q11.22-q11.23	autism susceptibility candidate 2
212902_at	7	0.004	SEC24A	10802	Hs.211612	5q31.2	SEC24 related gene family, member A (S. cerevisiae)
219277_s_at	7	0.004	OGDHL	55753	Hs.17860	10q11.23	oxoglutarate dehydrogenase-like
201798_s_at	6	0.004	FER1L3	26509	Hs.500572	10q24	fer-1-like 3, myoferlin (C. elegans)
202860_at	6	0.004	KIAA0476	9909	Hs.6684	1p36.13-q31.3	KIAA0476
204113_at	6	0.004	CUGBP1	10658	Hs.530727	11p11	CUG triplet repeat, RNA binding protein 1
204057_at	5	0.004	IRF8	3394	Hs.137427	16q24.1	interferon consensus sequence binding protein 1
208979_at	5	0.004	NCOA6	23054	Hs.368971	20q11	nuclear receptor coactivator 6
201911_s_at	4	0.004	FARP1	10160	Hs.403917	13q32.2-q32.3	FERM, RhoGEF and pleckstrin domain protein 1
206891_at	4	0.004	ACTN3	89	Hs.445037	11q13-q14	actinin, alpha 3
210364_at	4	0.004	SCN2B	6327	Hs.129783	11q23	sodium channel, voltage-gated, type II, beta
220450_at	4	0.004	FLJ13262	79975	Hs.388294	4q31.21	SMAD, mothers against DPP homolog 1 (Drosophila)
220993_s_at	3	0.004	GPR63	81491	Hs.485990	6q16.1-q16.3	G protein-coupled receptor 63
204308_s_at	2	0.004	KIAA0329	9895	Hs.195667	14q32.33	KIAA0329
214271_x_at	2	0.004	RPL12	6136	Hs.408054	9q34	ribosomal protein L12
266_s_at	26	0.005	CD24	934	Hs.375108	6q21	CD24 antigen (small cell lung carcinoma cluster 4 antigen)
219850_s_at	25	0.005	EHF	26298	Hs.502306	11p12	ets homologous factor
41660_at	24	0.005	CELSR1	9620	Hs.252387	22q13.3	cadherin, EGF LAG seven-pass G-type receptor 1
209946_at	18	0.005	VEGFC	7424	Hs.435215	4q34.1-q34.3	vascular endothelial growth factor C
213839_at	15	0.005	KIAA0500	57237	Hs.525566	14q32.2	KIAA0500 protein
201940_at	11	0.005	CPD	1362	Hs.446079	17p11.1-q11.2	carboxypeptidase D
222142_at	11	0.005	CYLD	1540	Hs.432993	16q12-q13	cylindromatosis (turban tumor syndrome)
208107_s_at	9	0.005	LOC81691	81691	Hs.177926	16p13.11	exonuclease NEF-sp
221190_s_at	9	0.005	C18orf8	29919	Hs.529006	18q11.2	chromosome 18 open reading frame 8
202659_at	8	0.005	PSMB10	5699	Hs.9661	16q22.1	proteasome (prosome, macropain) subunit, beta type, 10
205548_s_at	8	0.005	BTG3	10950	Hs.473420	21q21.1-q21.2	BTG family, member 3
201307_at	6	0.005	11-Sep	55752	Hs.128199	4q21.22	hypothetical protein FLJ10849
209737_at	6	0.005	AIP1	9863	Hs.488945	7q21	atrophin-1 interacting protein 1
203163_at	5	0.005	KATNB1	10300	Hs.275675	16q13	katanin p80 (WD repeat containing) subunit B 1
209064_x_at	5	0.005	PAIP1	10605	Hs.482038	5p12	poly(A) binding protein interacting protein 1
220771_at	5	0.005	LOC51152	51152	Hs.132526	1q21.1	melanoma antigen
203848_at	4	0.005	AKAP8	10270	Hs.199029	19p13.1-q12	A kinase (PRKA) anchor protein 8
204964_s_at	4	0.005	SSPN	8082	Hs.183428	12p11.2	sarcospan (Kras oncogene-associated gene)
204764_at	3	0.005	FNTB	2342	Hs.509651	14q23-q24	farnesyltransferase, CAAX box, beta
213925_at	3	0.005	DKFZp761P211	375057	Hs.116827	1q42.13	similar to hypothetical protein Y97E10AL.1
36499_at	2	0.005	CELSR2	1952	Hs.57652	1p21	cadherin, EGF LAG seven-pass G-type receptor 2
210161_at	2	0.005	NFATC1	4772	Hs.534074	18q23	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
218305_at	2	0.005	IPO4	79711	Hs.411865	14q11.2	importin 4
221490_at	2	0.005	UBAP1	51271	Hs.268963	9p22-p21	ubiquitin associated protein 1
205584_at	38	0.006	CXorf45	79868	Hs.443061	Xq23	hypothetical protein FLJ23018
211596_s_at	31	0.006	LRIG1	26018	Hs.518055	3p14	leucine-rich repeats and immunoglobulin-like domains 1
213993_at	19	0.006	SPON1	10418	Hs.445818	11p15.2	spondin 1, extracellular matrix protein
213880_at	13	0.006	LGR5	8549	Hs.172176	12q22-q23	G protein-coupled receptor 49
203159_at	11	0.006	GLS	2744	Hs.116448	2q32-q34	glutaminase
204846_at	11	0.006	CP	1356	Hs.282557	3q23-q25	ceruloplasmin (ferroxidase)
206528_at	11	0.006	TRPC6	7225	Hs.159003	11q21-q22	transient receptor potential cation channel, subfamily C, member 6
214633_at	11	0.006	SOX3	6658	Hs.157429	Xq26-q27	SRY (sex determining region Y)-box 3
202742_s_at	10	0.006	PRKACB	5567	Hs.487325	1p36.1	protein kinase, cAMP-dependent, catalytic, beta
209353_s_at	9	0.006	SIN3B	23309	Hs.13999	19p13.12	SIN3 homolog B, transcriptional regulator (yeast)
212692_s_at	9	0.006	LRBA	987	Hs.480938	4q31.23	LPS-responsive vesicle trafficking, beach and anchor containing
204373_s_at	8	0.006	CAP350	9857	Hs.413045	1p36.13-q41	centrosome-associated protein 350
218297_at	8	0.006	C10orf97	80013	Hs.158870	10p13	chromosome 10 open reading frame 97
220018_at	7	0.006	CBLL1	79872	Hs.546435	7q22.3	Cas-Br-M ecotropic retroviral transforming sequence-like 1
200771_at	6	0.006	LAMC1	3915	Hs.497039	1q31	laminin, gamma 1 (formerly LAMB2)
202078_at	5	0.006	COPS3	8533	Hs.6076	17p11.2	COP9 constitutive photomorphogenic homolog subunit 3
206414_s_at	5	0.006	DDEF2	8853	Hs.467662	2p25	development and differentiation enhancing factor 2
212172_at	5	0.006	AK2	204	Hs.470907	1p34	adenylate kinase 2
210146_x_at	4	0.006	LILRB2	10288	Hs.515601	19q13.4	leukocyte immunoglobulin-like receptor, subfamily B, member 2
212543_at	4	0.006	AIM1	202	Hs.486074	6q21	absent in melanoma 1
213648_at	3	0.006	EXOSC7	23016	Hs.115792	3p21.32	exosome component 7
49485_at	2	0.006	PRDM4	11108	Hs.506655	12q23-q24.1	PR domain containing 4
204522_at	2	0.006	DOM3Z	1797	Hs.153299	6p21.3	dom-3 homolog Z (C. elegans)
211888_x_at	2	0.006	CASP10	843	Hs.5353	2q33-q34	caspase 10, apoptosis-related cysteine protease
214795_at	2	0.006	PRKCBP1	23613	Hs.446240	20q13.13	protein kinase C binding protein 1
217256_x_at	2	0.006	RPL36A	6173	Hs.432485	11p15.1	ribosomal protein L36a-like
218004_at	1	0.006	FLJ10276	55108	Hs.353454	1p34.3	hypothetical protein FLJ10276
219470_x_at	1	0.006	CCNJ	54619	Hs.281348	10pTER-q26.12	cyclin J
214078_at	52	0.007	PAK3	5063	Hs.390616	Xq22.3-q23	p21 (CDKN1A)-activated kinase 3
201458_s_at	15	0.007	BUB3	9184	Hs.418533	10q26	BUB3 budding uninhibited by benzimidazoles 3 homolog
213355_at	15	0.007	SIAT10	10402	Hs.148716	3q12.2	sialyltransferase 10 (alpha-2,3-sialyltransferase VI)
209028_s_at	9	0.007	ABI1	10006	Hs.508148	10p11.2	abl-interactor 1
211763_s_at	8	0.007	UBE2B	7320	Hs.385986	5q23-q31	ubiquitin-conjugating enzyme E2B (RAD6 homolog)
219041_s_at	7	0.007	REPIN1	29803	Hs.521289	7q36.1	replication initiator 1
201724_s_at	6	0.007	GALNT1	2589	Hs.514806	18q12.1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1
203376_at	6	0.007	CDC40	51362	Hs.428147	6q22.1	cell division cycle 40 homolog (yeast)
201454_s_at	5	0.007	NPEPPS	9520	Hs.443837	17q21	aminopeptidase puromycin sensitive
203581_at	4	0.007	RAB4A	5867	Hs.296169	1q42-q43	RAB4A, member RAS oncogene family
221582_at	4	0.007	HIST3H2A	92815	Hs.26331	1q42.13	histone 3, H2a
213700_s_at	3	0.007	FLJ10803	55744	Hs.289007	15q22	pyruvate kinase, muscle
205950_s_at	2	0.007	CA1	759	Hs.23118	8q13-q22.1	carbonic anhydrase I
208649_s_at	2	0.007	VCP	7415	Hs.529782	9p13-p12	valosin-containing protein
221097_s_at	2	0.007	KCNMB2	10242	Hs.478368	3q26.2-q27.1	potassium large conductance calcium-activated channel, subfamily M, beta member 2
207414_s_at	50	0.008	PCSK6	5046	Hs.498494	15q26	paired basic amino acid cleaving system 4
205761_s_at	22	0.008	PP35	11062	Hs.97627	7q22-q31	protein similar to E.coli yhdg and R. capsulatus nifR3
205590_at	16	0.008	RASGRP1	10125	Hs.511010	15q15	RAS guanyl releasing protein 1 (calcium and DAG-regulated)
222368_at	8	0.008	DCDC2	51473	Hs.512603	6p22.1	doublecortin domain containing 2
215117_at	7	0.008	RAG2	5897	Hs.159376	11p13	recombination activating gene 2
218899_s_at	7	0.008	BAALC	79870	Hs.533446	8q22.3	brain and acute leukemia, cytoplasmic
218932_at	7	0.008	FLJ20729	54680	Hs.5111	1p22.3	hypothetical protein FLJ20729
206669_at	6	0.008	GAD1	2571	Hs.420036	2q31	glutamate decarboxylase 1 (brain, 67kDa)
220212_s_at	6	0.008	THADA	63892	Hs.369592	2p22.1	thyroid adenoma associated
221257_x_at	5	0.008	FBXO38	81545	Hs.483772	5q33.1	likely ortholog of mouse modulator of KLF7 activity
201832_s_at	2	0.008	VDP	8615	Hs.292689	4q21.21	vesicle docking protein p115
220177_s_at	2	0.008	TMPRSS3	64699	Hs.208600	21q22.3	transmembrane protease, serine 3
216379_x_at	87	0.009	KIAA1919	91749	Hs.400572	6q22	KIAA1919
219703_at	23	0.009	MNS1	55329	Hs.444483	15q21.2	meiosis-specific nuclear structural protein 1
220770_s_at	16	0.009	LOC63920	63920		5q34	transposon-derived Buster3 transposase-like
213923_at	12	0.009	RAP2B	5912	Hs.98643	3q25.2	RAP2B, member of RAS oncogene family
211682_x_at	10	0.009	UGT2B28	54490	Hs.137585	4q13.3	UDP glycosyltransferase 2 family, polypeptide B28
218568_at	10	0.009	FLJ10842	55750	Hs.260238	7q34	hypothetical protein FLJ10842
201489_at	9	0.009	PPIF	10105	Hs.381072	10q22-q23	peptidylprolyl isomerase F (cyclophilin F)
207547_s_at	6	0.009	TU3A	11170	Hs.8022	3p21.1	TU3A protein
219887_at	6	0.009	FLJ10786	55231	Hs.121072	11q13.1	hypothetical protein FLJ10786
209567_at	5	0.009	RRS1	23212	Hs.71827	8q12.3	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)
217161_x_at	4	0.009	AGC1	176	Hs.2159	15q26.1	aggrecan 1
203971_at	3	0.009	SLC31A1	1317	Hs.532315	9q31-q32	solute carrier family 31 (copper transporters), member 1
213353_at	3	0.009	ABCA5	23461	Hs.421474	17q24.3	ATP-binding cassette, sub-family A (ABC1), member 5
206587_at	2	0.009	CCT6B	10693	Hs.73072	17q21.1	chaperonin containing TCP1, subunit 6B (zeta 2)
212847_at	2	0.009	NEXN	91624	Hs.22370	1p31.1	nexilin (F actin binding protein)
219174_at	99	0.01	CCDC2	80173	Hs.145402	9p21.1	coiled-coil domain containing 2
218819_at	64	0.01	DDX26	26512	Hs.439440	13q14.12-q14.2	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26
205415_s_at	27	0.01	ATXN3	4287	Hs.532632	14q24.3-q32.2	Machado-Joseph disease
207802_at	22	0.01	CRISP3	10321	Hs.404466	6p12.3	cysteine-rich secretory protein 3
204686_at	19	0.01	IRS1	3667	Hs.471508	2q36	insulin receptor substrate 1
218858_at	19	0.01	DEPDC6	64798	Hs.303788	8q24.12	DEP domain containing 6
213403_at	17	0.01	MGC11332	84804	Hs.98798	2q12.1	hypothetical protein MGC11332
220774_at	16	0.01	FLJ20071	54808	Hs.162996	18q12-q21.1	dymeclin
204871_at	13	0.01	MTERF	7978	Hs.532216	7q21-q22	transcription termination factor, mitochondrial
203122_at	12	0.01	TTC15	51112	Hs.252713	2p25.3	tetratricopeptide repeat domain 15
204741_at	12	0.01	BICD1	636	Hs.505202	12p11.2-p11.1	Bicaudal D homolog 1 (Drosophila)
207571_x_at	12	0.01	C1orf38	9473	Hs.10649	1p35.3	chromosome 1 open reading frame 38
208879_x_at	12	0.01	C20orf14	24148	Hs.31334	20q13.33	chromosome 20 open reading frame 14
210377_at	12	0.01	SAH	6296	Hs.160976	16p13.11	SA hypertension-associated homolog (rat)
205443_at	11	0.01	SNAPC1	6617	Hs.179312	14q22	small nuclear RNA activating complex, polypeptide 1, 43kDa
207564_x_at	11	0.01	OGT	8473	Hs.405410	Xq13	O-linked N-acetylglucosamine transferase
218879_s_at	11	0.01	FLJ12998	64779	Hs.343627	16q24.1	hypothetical protein FLJ12998
219498_s_at	11	0.01	BCL11A	53335	Hs.370549	2p16.1	B-cell CLL/lymphoma 11A (zinc finger protein)
212070_at	10	0.01	GPR56	9289	Hs.513633	16q13	G protein-coupled receptor 56
214783_s_at	10	0.01	ANXA11	311	Hs.530291	10q23	annexin A11
212841_s_at	9	0.01	PPFIBP2	8495	Hs.16019	11p15.4	PTPRF interacting protein, binding protein 2
214268_s_at	9	0.01	MTMR4	9110	Hs.514373	17q22-q23	myotubularin related protein 4
218516_s_at	9	0.01	IMPA3	54928	Hs.438689	8q11.23	hypothetical protein FLJ20421
218442_at	8	0.01	TTC4	7268	Hs.412482	1p31.3	tetratricopeptide repeat domain 4
219289_at	8	0.01	FLJ20718	55027	Hs.313917	16q12.1	hypothetical protein FLJ20718
220649_at	8	0.01	LOC340351	340351	Hs.546546	7q33	hypothetical protein LOC340351
204612_at	7	0.01	PKIA	5569	Hs.433700	8q21.11	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
210843_s_at	7	0.01	MFAP3L	9848	Hs.178121	4q32.3	KIAA0626 gene product
218338_at	7	0.01	PHC1	1911	Hs.305985	12p13	polyhomeotic-like 1 (Drosophila)
212247_at	6	0.01	NUP205	23165	Hs.490238	7q33	nucleoporin 205kDa
218622_at	6	0.01	NUP37	79023	Hs.444276	12q23.3	nucleoporin 37kDa
220140_s_at	6	0.01	SNX11	29916	Hs.15827	17q21.32	sorting nexin 11
201607_at	5	0.01	PWP1	11137	Hs.506652	12q24.11	nuclear phosphoprotein similar to S. cerevisiae PWP1
203164_at	5	0.01	SLC33A1	9197	Hs.478031	3q25.31	solute carrier family 33 (acetyl-CoA transporter), member 1
204294_at	5	0.01	AMT	275	Hs.102	3p21.2-p21.1	aminomethyltransferase (glycine cleavage system protein T)
208025_s_at	5	0.01	HMGA2	8091	Hs.505924	12q15	high mobility group AT-hook 2
209794_at	5	0.01	SRGAP3	9901	Hs.475364	3p25.3	SLIT-ROBO Rho GTPase activating protein 2
210230_at	5	0.01	RNU2	6066		17q12-q21	RNA, U2 small nuclear
213125_at	5	0.01	OLFML2B	25903	Hs.507515	1q23.1	olfactomedin-like 2B
215338_s_at	5	0.01	NKTR	4820	Hs.529509	3p23-p21	natural killer-tumor recognition sequence
219649_at	5	0.01	ALG6	29929	Hs.80042	1p31.3	asparagine-linked glycosylation 6 homolog
202160_at	4	0.01	CREBBP	1387	Hs.459759	16p13.3	CREB binding protein (Rubinstein-Taybi syndrome)
