Ref Seq	locus link	Gene Symbol	cytoband	gene median class 1	gene median class 2	pvalue ttest gene	correlation with closest relevant clone	pvalue correlation with closest relevant clone	% class2 DOWN	best pvalue correlation with the relevant clones in the relevant region	ref seq best correlated clone	p-value ttest best correlated clone	median class (poor)	median class (good)	% class (poor) UP	% class (good)UP	% class (poor) DOWN	% class (good) DOWN
AL137316	57707	KIAA1609,MGC25024	16q23.3	7.35E-03	-1.15E-01	1.02E-02	5.92E-01	1.07E-07	1.25E+01	1.52E-08	RP5-991G20	4.64E-03	-1.25E-01	-2.74E-01	0	0	13.6	37.5
AL050101	25839	COG4,COD1,DKFZp586E1519	16q22.1	2.56E-02	-6.14E-02	1.13E-02	5.27E-01	3.80E-06	0	1.07E-06	RP11-254F19	1.39E-04	-3.91E-02	-1.86E-01	2.3	0	6.8	12.5
NM_002428	4324	MMP15,MTMMP2,SMCP-2,MT2-MMP	16q13	1.94E-02	-7.25E-02	1.15E-02	3.78E-01	1.48E-03	0	7.30E-05	RP11-452G23	1.35E-02	-2.62E-02	-1.70E-01	4.5	0	6.8	4.2
AF176701	26231	FBXL9,FBL9	16q22.1	-1.91E-02	3.95E-02	1.38E-02	-8.20E-02	5.06E-01	8.33E+00	3.08E-01	RP11-165M2	1.17E-04	-8.84E-02	-2.96E-01	0	0	6.8	41.7
NM_017503	6835	SURF2,SURF-2	16q12.2	3.94E-02	-2.08E-02	1.46E-02	6.81E-03	9.56E-01	2.08E+01	8.37E-02	RP11-200H5	1.09E-04	-1.57E-02	-1.04E-01	0	0	0	0
NM_012201	2734	GLG1,CFR-1,ESL-1,MG160,MG-160	16q22.3	4.17E-02	-4.27E-02	1.56E-02	4.28E-01	2.69E-04	4.17E+00	3.51E-07	RP11-417N10	1.87E-03	4.61E-03	-1.48E-01	4.5	0	2.3	4.2
NM_006750	6645	SNTB2,SNT3,SNTL,SNT2B2,EST25263,D16S2531E	16q22.1	1.35E-02	-6.64E-02	1.59E-02	4.92E-01	2.00E-05	2.08E+01	2.00E-05	RP11-123C5	7.13E-04	-3.18E-02	-2.11E-01	2.3	0	2.3	20.8
AB046832	55239	FLJ10826	16q12.2	3.52E-02	-2.59E-02	1.62E-02	5.57E-01	7.95E-07	25	3.80E-07	RP11-481J2	1.26E-04	2.13E-02	-1.47E-01	2.3	0	0	8.3
U79260	79068	FTO,MGC5149,KIAA1752	16q12.2	-1.09E-01	-6.00E-02	1.62E-02	2.33E-01	5.63E-02	8.33E+00	5.63E-02	RP11-357N13	2.03E-03	-2.12E-02	-1.84E-01	2.3	0	2.3	8.3
NM_001114	113	ADCY7,KIAA0037	16q12.1	6.46E-03	-1.08E-01	1.79E-02	3.35E-01	5.27E-03	2.08E+01	3.12E-05	RP11-328J14	1.34E-04	-1.43E-02	-1.69E-01	0	0	0	4.2
NM_001793	1001	CDH3,CDHP,HJMD,PCAD	16q22.1	-2.14E-03	-1.94E-01	1.80E-02	4.30E-01	2.48E-04	0	3.62E-06	RP11-311C24	3.60E-04	-5.98E-02	-2.08E-01	2.3	0	2.3	8.3
AI701096	51105	CGI-72	16q23.1	2.89E-02	-6.76E-02	1.90E-02	1.40E-01	2.55E-01	3.33E+01	4.64E-03	RP11-165M2	1.17E-04	-8.84E-02	-2.96E-01	0	0	6.8	41.7
AL832904	81577	MGC11335	16q22.1	8.79E-02	-1.00E-03	2.08E-02	5.39E-01	2.13E-06	8.33E+00	3.62E-09	RP11-76H6	4.76E-05	-1.90E-02	-2.17E-01	0	0	4.5	33.3
NM_007088	794	CALB2,CAL2	16q22.1	-1.34E-01	-4.10E-01	2.09E-02	4.60E-01	7.82E-05	4.17E+00	1.73E-07	RP11-556H2	5.67E-04	-7.90E-02	-2.69E-01	0	0	11.4	33.3
AL833902	54921	FLJ20400,CTF8,DERPC	16q22.1	2.22E-02	-4.08E-02	2.13E-02	4.74E-01	4.44E-05	2.08E+01	1.15E-05	RP11-311C24	3.60E-04	-5.98E-02	-2.08E-01	2.3	0	2.3	8.3
AL137334	123872	LOC123872	16q23.3	-2.55E-01	-6.28E-02	2.47E-02	-2.48E-01	4.14E-02	3.33E+01	7.81E-01	RP11-417N10	1.87E-03	4.61E-03	-1.48E-01	4.5	0	2.3	4.2
BC018509	865	CBFB,PEBP2B	16q22.1	5.94E-02	-5.30E-03	2.55E-02	4.10E-01	5.24E-04	0	7.71E-05	RP11-200H5	1.09E-04	-1.57E-02	-1.04E-01	0	0	0	0
NM_001795	1003	CDH5,7B4	16q21	-1.07E-01	1.96E-02	2.87E-02	-1.23E-01	3.16E-01	0	5.18E-01	RP11-417N10	1.87E-03	4.61E-03	-1.48E-01	4.5	0	2.3	4.2
NM_001128	164	AP1G1,ADTG,CLAPG1,MGC18255	16q22.1	5.41E-02	-1.35E-02	3.25E-02	-6.38E-02	6.05E-01	4.17E+00	8.78E-03	RP11-200H5	1.09E-04	-1.57E-02	-1.04E-01	0	0	0	0
NM_017839	54947	FLJ20481	16q12.2	5.62E-02	-3.50E-02	3.38E-02	2.96E-01	1.44E-02	2.08E+01	8.43E-06	RP11-405F3	7.69E-05	1.61E-02	-1.54E-01	2.3	0	2.3	0
NM_018092	81831	NETO2,NEOT2,FLJ10430,FLJ14724,FLJ90456	16q11.2	-2.29E-02	-8.88E-02	3.55E-02	3.64E-01	2.26E-03	8.33E+00	4.56E-05	RP11-437L22	7.78E-05	-5.50E-02	-2.54E-01	2.3	0	9.1	20.8
AI652868		0	16q24.1	-4.31E-02	5.24E-02	3.90E-02	-1.70E-01	1.65E-01	4.17E+00	1.65E-01	RP11-514D23	2.06E-04	-1.90E-02	-1.43E-01	2.3	0	0	4.2
AK000685	81669	CCNL2,PCEE,SB138,HLA-ISO,ania-6b,HCLA-ISO	16q13	-1.41E-01	-5.08E-02	4.02E-02	-1.35E-01	2.71E-01	0	7.35E-01	RP11-229O3	6.91E-04	-5.83E-02	-2.58E-01	0	0	6.8	25
AL833295	123722	LOC123722	16q22.1	-2.33E-03	-1.44E-01	4.13E-02	3.54E-01	3.07E-03	8.33E+00	1.07E-03	RP11-446C5	5.29E-05	1.23E-02	-1.83E-01	6.8	0	2.3	8.3
BC009078	404550	MGC17624	16q24.1	-4.34E-02	2.61E-02	4.20E-02	-2.56E-01	3.51E-02	0	8.49E-01	RP11-165M2	1.17E-04	-8.84E-02	-2.96E-01	0	0	6.8	41.7
AI887898		0	16q22.1	-1.63E-01	-1.12E-02	4.42E-02	-1.81E-01	1.40E-01	0	6.81E-01	RP11-417N10	1.87E-03	4.61E-03	-1.48E-01	4.5	0	2.3	4.2
NM_021197	58189	WFDC1,PS20	16q23.3	-3.92E-03	-3.27E-02	4.47E-02	8.55E-02	4.88E-01	3.33E+01	6.76E-03	RP5-991G20	4.64E-03	-1.25E-01	-2.74E-01	0	0	13.6	37.5
NM_001257	1012	CDH13,CDHH	16q23.3	-7.76E-02	-3.46E-02	4.84E-02	-2.86E-01	1.81E-02	3.33E+01	9.61E-01	RP11-283C7	1.56E-03	-4.80E-02	-1.84E-01	2.3	0	2.3	8.3
NM_001740	794	CALB2,CAL2	16q22.1	-1.39E-01	-4.51E-01	4.87E-02	4.55E-01	9.58E-05	4.17E+00	2.04E-07	RP11-556H2	5.67E-04	-7.90E-02	-2.69E-01	0	0	11.4	33.3
U80736	27324	TNRC9,CAGF9	16q12.1	-1.24E-01	1.32E-02	5.10E-02	-1.54E-01	2.10E-01	5.42E+01	7.48E-01	RP11-452G23	1.35E-02	-2.62E-02	-1.70E-01	4.5	0	6.8	4.2
NM_017939	55027	FLJ20718	16q12.1	-3.83E-03	-1.14E-01	5.29E-02	2.74E-01	2.40E-02	2.08E+01	2.40E-02	RP11-147B17	1.52E-05	2.84E-02	-1.93E-01	0	0	0	20.8
AB009282	80777	CYB5-M	16q22.1	-2.64E-03	-6.22E-02	5.72E-02	3.01E-01	1.25E-02	8.33E+00	4.12E-04	RP11-63M22	4.24E-05	2.14E-02	-1.34E-01	0	0	0	0
NM_005886	10300	KATNB1,KAT	16q12.2	5.69E-03	-2.99E-02	6.09E-02	3.80E-01	1.39E-03	0	1.16E-04	RP11-77K12	2.58E-04	-2.00E-02	-1.12E-01	0	0	0	4.2
AK093871	80319	CXXC4	16q12.2	-3.87E-02	3.08E-02	6.27E-02	6.89E-02	5.77E-01	8.33E+00	4.30E-01	RP11-452G23	1.35E-02	-2.62E-02	-1.70E-01	4.5	0	6.8	4.2
AB033006	65009	NDRG4,SMAP-8,KIAA1180,MGC19632	16q13	-5.22E-02	-1.23E-01	6.83E-02	2.58E-01	3.38E-02	8.33E+00	2.74E-02	RP11-123C5	7.13E-04	-3.18E-02	-2.11E-01	2.3	0	2.3	20.8
NM_003791	8720	MBTPS1,S1P,PCSK8,SKI-1,KIAA0091	16q23.3	-3.93E-02	6.32E-03	7.92E-02	2.45E-01	4.43E-02	3.33E+01	1.10E-04	RP11-122K22	4.62E-03	-7.79E-02	-3.05E-01	2.3	0	11.4	54.2
AI953008	199953	0	16q12.2	5.62E-02	3.74E-02	8.11E-02	-1.48E-02	9.05E-01	8.33E+00	3.74E-01	RP11-405F3	7.69E-05	1.61E-02	-1.54E-01	2.3	0	2.3	0
AF086101	4915	NTRK2	16q24.1	-1.36E-01	-4.87E-02	8.28E-02	-1.32E-01	2.83E-01	4.17E+00	2.83E-01	RP11-514D23	2.06E-04	-1.90E-02	-1.43E-01	2.3	0	0	4.2
NM_006324	10428	CFDP1,p97,BCNT,CP27	16q22.3	5.69E-03	-9.32E-02	8.69E-02	5.91E-01	1.15E-07	4.17E+00	7.04E-09	RP5-991G20	4.64E-03	-1.25E-01	-2.74E-01	0	0	13.6	37.5
NM_014761	9798	KIAA0174	16q22.1	2.32E-02	-5.36E-02	8.99E-02	5.93E-01	9.95E-08	4.17E+00	2.12E-10	RP11-328J14	1.34E-04	-1.43E-02	-1.69E-01	0	0	0	4.2
AK027414	84166	NOD27,FLJ21709	16q12.2	6.56E-03	-3.39E-02	9.86E-02	2.58E-01	3.39E-02	25	1.59E-02	RP11-229O3	6.91E-04	-5.83E-02	-2.58E-01	0	0	6.8	25
X71490	9114	ATP6V0D1,P39,VATX,Vma6,ATP6D,ATP6DV,VPATPD	16q22.1	4.30E-02	1.84E-02	1.04E-01	3.07E-01	1.10E-02	8.33E+00	4.11E-04	RP11-24I3	1.52E-04	-3.03E-02	-2.26E-01	0	0	4.5	16.7
AL834342		0	16q23.1	1.44E-02	3.06E-02	1.06E-01	-2.45E-01	4.42E-02	1.67E+01	3.98E-01	RP11-483P21	1.60E-04	-4.88E-02	-2.04E-01	2.3	0	4.5	33.3
AJ291679	64180	DPEP3	16q22.1	4.16E-02	-2.52E-03	1.08E-01	8.99E-02	4.66E-01	8.33E+00	7.63E-02	RP11-394B2	7.55E-05	1.85E-02	-1.16E-01	0	0	0	0
NM_006141	1783	DNCLI2,LIC2	16q22.1	3.12E-02	-4.27E-02	1.17E-01	5.85E-01	1.61E-07	0	9.77E-11	RP11-357N13	2.03E-03	-2.12E-02	-1.84E-01	2.3	0	2.3	8.3
AI582222		0	16q12.1	-1.10E-01	3.85E-02	1.21E-01	-9.85E-02	4.24E-01	8.33E+00	4.53E-01	RP11-122K22	4.62E-03	-7.79E-02	-3.05E-01	2.3	0	11.4	54.2
NM_015958	51611	CGI-30	16q22.1	-3.32E-02	4.56E-02	1.23E-01	-2.16E-01	7.72E-02	3.33E+01	8.25E-01	RP11-7O2	5.81E-03	-1.55E-02	-1.70E-01	2.3	4.2	2.3	20.8
AJ278219	79152	FA2H,FAAH,FAXDC1	16q22.3	-2.04E-02	-7.76E-02	1.34E-01	2.01E-01	9.96E-02	4.17E+00	1.65E-03	RP11-452G23	1.35E-02	-2.62E-02	-1.70E-01	4.5	0	6.8	4.2
AB067510	79726	FLJ12270,KIAA1923,MGC11230	16q22.3	5.16E-02	-3.70E-02	1.38E-01	6.22E-01	1.48E-08	4.17E+00	1.48E-08	RP11-77K12	2.58E-04	-2.00E-02	-1.12E-01	0	0	0	4.2
NM_004483	2653	GCSH,GCE,NKH	16q23.1	7.87E-03	-5.10E-02	1.38E-01	6.67E-01	5.26E-10	0	4.05E-10	RP11-437L22	7.78E-05	-5.50E-02	-2.54E-01	2.3	0	9.1	20.8
AF161368	93517	HSPC105	16q23.2	8.22E-03	-6.00E-02	1.43E-01	4.61E-01	7.49E-05	2.08E+01	3.65E-07	RP11-303E16	1.99E-04	-4.12E-02	-1.55E-01	2.3	0	0	0
NM_002996	6376	CX3CL1,NTN,NTT,CXC3,CXC3C,SCYD1,ABCD-3,C3Xkine	16q12.2	-1.02E-02	-2.16E-01	1.45E-01	4.51E-01	1.15E-04	0	2.32E-05	RP11-478M13	2.28E-05	-3.00E-03	-1.67E-01	0	0	0	0
AB040897	57610	RANBP10,KIAA1464	16q22.1	2.34E-02	-4.02E-02	1.54E-01	3.89E-01	1.04E-03	8.33E+00	3.33E-06	RP11-122K22	4.62E-03	-7.79E-02	-3.05E-01	2.3	0	11.4	54.2
AL080215		0	16q22.1	-1.10E-01	-5.85E-02	1.60E-01	-1.61E-01	1.88E-01	0	4.68E-01	RP11-200H5	1.09E-04	-1.57E-02	-1.04E-01	0	0	0	0
NM_014062	28987	NOB1P,ART-4	16q22.1	1.22E-02	-2.92E-02	1.62E-01	4.91E-01	2.17E-05	8.33E+00	2.03E-06	RP11-200H5	1.09E-04	-1.57E-02	-1.04E-01	0	0	0	0
AW070240	54205	CYCS	16q22.1	-1.73E-02	3.83E-02	1.70E-01	-2.89E-01	1.69E-02	3.33E+01	2.05E-01	RP11-5L1	7.81E-07	7.04E-03	-1.18E-01	0	0	0	4.2
